Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.018303,0.935605,-0.019299,0.352044,0.005627,85.773178,11.72593,0.000475,0.953323,0.054103,0.297064,0.382297,93.636169,11.543056,-0.008449,0.960081,0.016557,0.279104,-0.207746,112.413536,13.49677,0.069618,0.96882,0.002132,0.237775,-0.739464,133.279022,14.06211,0.054713,0.9813,-0.03235,0.181685,2.0868,147.698715,12.933704,0.04056,0.896233,0.131154,0.421805,-4.143696,127.248383,12.147241,0.269842,-0.52547,0.086646,-0.802221,-15.871509,130.603561,-1.494038,0.119006,0.278367,-0.471047,-0.828531,-6.405225,121.3591,-18.913528,0.297193,0.373566,-0.603995,-0.638212,3.477036,142.214783,-10.314287,-0.095246,0.982382,0.103348,0.123179,2.337155,127.301979,16.264326,0.213122,0.895713,-0.014555,-0.389956,19.749617,130.26062,21.053474,-0.164579,0.222454,0.465532,-0.840659,32.984497,121.660652,5.907923,0.059671,-0.031891,0.66089,-0.747426,21.565624,142.563187,0.516242,0.031289,0.919936,0.15464,0.358923,-7.210346,85.971573,5.393437,0.075232,0.953485,-0.020222,0.291201,-5.418541,54.111565,-4.899291,0.025048,0.934145,-0.009008,0.355899,-12.479325,9.18133,-5.13819,-0.07496,0.902059,-0.068262,0.419537,7.221599,85.574783,18.058422,-0.015021,0.877549,-0.147412,0.456018,9.835538,52.734802,24.296497,0.016591,0.833853,-0.010792,0.551632,4.919727,9.249756,36.686913,0.025048,0.934145,-0.009008,0.355899,-3.24045,2.449253,-15.897081,0.016591,0.833853,-0.010792,0.551632,17.918566,2.490044,31.050613
1,0.008333,0.018359,0.935538,-0.019725,0.352198,0.004192,85.775803,11.708725,0.000578,0.953303,0.053737,0.297196,0.384087,93.638504,11.519952,-0.008406,0.960051,0.016387,0.279217,-0.198294,112.414642,13.461322,0.069687,0.968804,0.001965,0.237823,-0.726388,133.280396,14.020276,0.05443,0.981329,-0.032234,0.181638,2.102205,147.694702,12.888156,0.040713,0.896135,0.131172,0.421993,-4.131256,127.249786,12.10642,0.269442,-0.525341,0.086846,-0.802418,-15.852812,130.611023,-1.538742,0.119058,0.278179,-0.470978,-0.828626,-6.382129,121.369507,-18.957401,0.297577,0.373414,-0.604088,-0.638034,3.510491,142.228455,-10.363558,-0.095208,0.982388,0.103059,0.123405,2.348639,127.303459,16.225008,0.213521,0.895764,-0.014655,-0.389615,19.759333,130.261185,21.021137,-0.164071,0.222845,0.465683,-0.840571,32.998367,121.6436,5.889235,0.060181,-0.031663,0.660955,-0.747338,21.595421,142.546982,0.472373,0.031181,0.919785,0.154869,0.359221,-7.209662,85.972252,5.37376,0.075457,0.953335,-0.020749,0.291596,-5.402264,54.116558,-4.929561,0.025201,0.934078,-0.008995,0.356065,-12.496217,9.191373,-5.131667,-0.074842,0.901967,-0.06846,0.419724,7.218047,85.579353,18.043688,-0.015244,0.87746,-0.147393,0.456187,9.817945,52.740013,24.290987,0.016831,0.833829,-0.010758,0.551662,4.918315,9.255052,36.688141,0.025201,0.934078,-0.008995,0.356065,-3.255319,2.458081,-15.888058,0.016831,0.833829,-0.010758,0.551662,17.915176,2.492452,31.050745
2,0.016667,0.018469,0.93551,-0.020111,0.352243,0.006244,85.77597,11.692093,0.000637,0.953302,0.053291,0.297279,0.389905,93.638367,11.498253,-0.008365,0.960031,0.016185,0.279299,-0.185427,112.4133,13.423917,0.069978,0.968787,0.001839,0.237808,-0.709542,133.279343,13.975231,0.053932,0.981402,-0.032123,0.181411,2.126882,147.685867,12.841962,0.040812,0.896075,0.1312,0.422103,-4.115262,127.248718,12.062974,0.269498,-0.525338,0.086731,-0.802415,-15.833134,130.614059,-1.584341,0.119246,0.278227,-0.470865,-0.828647,-6.361392,121.375366,-19.003927,0.297801,0.373499,-0.60397,-0.637992,3.534898,142.232437,-10.411794,-0.09516,0.982387,0.102769,0.123691,2.363942,127.302612,16.18265,0.213834,0.895797,-0.014772,-0.389364,19.772385,130.258835,20.987881,-0.16353,0.223176,0.465841,-0.840501,33.014153,121.626854,5.866577,0.060788,-0.031468,0.661386,-0.746916,21.625584,142.531845,0.425794,0.031098,0.919582,0.155265,0.359576,-7.206928,85.971748,5.356329,0.075558,0.953249,-0.021184,0.291821,-5.380771,54.123951,-4.968087,0.025229,0.934043,-0.009205,0.35615,-12.494846,9.201807,-5.136908,-0.074687,0.901809,-0.06868,0.420053,7.219415,85.580193,18.027857,-0.015479,0.877317,-0.147356,0.456466,9.801426,52.741314,24.28499,0.016883,0.833799,-0.010847,0.551704,4.918215,9.256021,36.687439,0.025229,0.934043,-0.009205,0.35615,-3.253441,2.462588,-15.889154,0.016883,0.833799,-0.010847,0.551704,17.914385,2.490477,31.051981
3,0.025,0.018605,0.935526,-0.020382,0.352178,0.012113,85.771263,11.671548,0.000578,0.953309,0.052889,0.297328,0.399256,93.633408,11.474442,-0.008344,0.960013,0.016018,0.279373,-0.173866,112.41188,13.385181,0.070276,0.968778,0.001736,0.237755,-0.695263,133.278168,13.929997,0.053516,0.981481,-0.03206,0.181114,2.149281,147.678833,12.795986,0.040948,0.896007,0.131077,0.422273,-4.101495,127.247406,12.019068,0.269333,-0.52545,0.086594,-0.802411,-15.813698,130.616028,-1.632296,0.119381,0.27828,-0.470597,-0.828762,-6.3461,121.384621,-19.057989,0.298143,0.373645,-0.603733,-0.637971,3.561495,142.236374,-10.463342,-0.095014,0.982438,0.102407,0.123698,2.377074,127.301704,16.139729,0.214055,0.895927,-0.014901,-0.38894,19.786455,130.254471,20.943651,-0.16318,0.223512,0.465798,-0.840504,33.038525,121.61071,5.838121,0.061217,-0.031027,0.66173,-0.746594,21.655533,142.512543,0.375336,0.030986,0.919321,0.155766,0.360036,-7.201828,85.967674,5.336685,0.075717,0.953154,-0.021738,0.292049,-5.351346,54.129837,-5.014104,0.025388,0.933993,-0.00939,0.356264,-12.493784,9.212059,-5.140825,-0.074547,0.901645,-0.069005,0.420378,7.226054,85.574852,18.006411,-0.015716,0.8772,-0.147353,0.456684,9.788134,52.737576,24.280136,0.016967,0.833844,-0.010747,0.551634,4.920839,9.252879,36.690945,0.025388,0.933993,-0.00939,0.356264,-3.252684,2.4663,-15.889224,0.016967,0.833844,-0.010747,0.551634,17.915905,2.488441,31.05162
4,0.033333,0.018809,0.935574,-0.020747,0.35202,0.013426,85.767776,11.648221,0.000506,0.953318,0.052444,0.297379,0.405566,93.629562,11.44682,-0.008257,0.959986,0.015851,0.279477,-0.165279,112.411118,13.340891,0.070374,0.968801,0.001812,0.237632,-0.681278,133.277695,13.879964,0.053228,0.981577,-0.032032,0.180686,2.163897,147.671753,12.748822,0.04108,0.896013,0.130958,0.422284,-4.088694,127.247307,11.969929,0.269068,-0.525461,0.086597,-0.802492,-15.800166,130.618484,-1.68144,0.119525,0.27828,-0.470381,-0.828864,-6.333102,121.392632,-19.110367,0.298542,0.373763,-0.603502,-0.637934,3.585263,142.241287,-10.515828,-0.094738,0.982496,0.101815,0.123933,2.389006,127.301003,16.09197,0.214107,0.896071,-0.015272,-0.388564,19.79818,130.245865,20.90151,-0.16291,0.224084,0.465747,-0.840432,33.062077,121.592651,5.811767,0.061656,-0.03065,0.66187,-0.74645,21.689886,142.491119,0.32003,0.030808,0.919045,0.156338,0.360506,-7.202519,85.965477,5.315676,0.075852,0.953178,-0.022289,0.291893,-5.321721,54.138901,-5.064211,0.025643,0.933922,-0.00963,0.356425,-12.490351,9.225183,-5.14569,-0.074499,0.901434,-0.069302,0.420789,7.229371,85.570076,17.980766,-0.015929,0.877046,-0.147374,0.456966,9.777234,52.735065,24.27215,0.017165,0.833803,-0.010581,0.551694,4.922028,9.251532,36.691769,0.025643,0.933922,-0.00963,0.356425,-3.249916,2.470474,-15.889044,0.017165,0.833803,-0.010581,0.551694,17.916967,2.487942,31.051126
5,0.041667,0.019269,0.935841,-0.020695,0.351287,0.034534,85.752647,11.617535,-0.000119,0.953392,0.051954,0.297229,0.433008,93.614197,11.419127,-0.008145,0.959983,0.01576,0.279497,-0.154933,112.409485,13.289859,0.070708,0.968831,0.001715,0.23741,-0.665388,133.27626,13.826606,0.052774,0.981711,-0.031982,0.180101,2.188335,147.664215,12.694505,0.041288,0.896005,0.130949,0.422283,-4.074339,127.246567,11.917109,0.268591,-0.525594,0.086688,-0.802555,-15.785212,130.62442,-1.733127,0.119585,0.278291,-0.470112,-0.829005,-6.324935,121.404526,-19.168901,0.299245,0.373676,-0.603131,-0.638006,3.606161,142.247528,-10.571254,-0.094645,0.982516,0.101575,0.124047,2.403219,127.298996,16.039389,0.214656,0.896154,-0.015204,-0.388071,19.81201,130.241257,20.851925,-0.162144,0.224454,0.465958,-0.840365,33.082344,121.567192,5.779825,0.062434,-0.030432,0.662152,-0.746144,21.727953,142.467117,0.257968,0.030781,0.918837,0.156916,0.36079,-7.190964,85.959343,5.29618,0.076,0.953149,-0.022891,0.291903,-5.291173,54.144775,-5.117027,0.025813,0.933835,-0.009801,0.356636,-12.488437,9.235576,-5.150353,-0.074245,0.901148,-0.069976,0.421335,7.260033,85.545952,17.93889,-0.01615,0.876832,-0.147479,0.457335,9.769553,52.714706,24.265238,0.017013,0.833883,-0.010191,0.551585,4.922398,9.23464,36.700146,0.025813,0.933835,-0.009801,0.356636,-3.246149,2.47452,-15.888122,0.017013,0.833883,-0.010191,0.551585,17.920492,2.482692,31.052837
6,0.05,0.018779,0.935563,-0.022225,0.351959,0.003779,85.764381,11.608264,0.000754,0.953387,0.051175,0.297379,0.403639,93.625191,11.384904,-0.007967,0.959998,0.015683,0.279454,-0.143798,112.40461,13.235516,0.070795,0.968907,0.001744,0.237073,-0.646205,133.271606,13.771259,0.052378,0.98186,-0.032006,0.1794,2.208299,147.656738,12.639493,0.041424,0.896035,0.13093,0.422211,-4.057649,127.243126,11.86239,0.268126,-0.5258,0.08659,-0.802586,-15.770329,130.624832,-1.785344,0.119528,0.278245,-0.469933,-0.82913,-6.318808,121.416534,-19.231983,0.299829,0.373637,-0.602734,-0.638129,3.622399,142.255295,-10.631698,-0.094681,0.982512,0.101533,0.124084,2.42032,127.293274,15.984053,0.215376,0.896212,-0.014955,-0.387548,19.828522,130.236847,20.797909,-0.161484,0.224939,0.466144,-0.840259,33.103031,121.538605,5.743436,0.062872,-0.029622,0.662107,-0.74618,21.768091,142.439682,0.18946,0.03034,0.918522,0.157711,0.361281,-7.21301,85.951569,5.276359,0.076161,0.953116,-0.023513,0.29192,-5.260909,54.151978,-5.172862,0.026072,0.933734,-0.009957,0.356878,-12.488461,9.247634,-5.156686,-0.07444,0.900988,-0.069614,0.421702,7.220566,85.577202,17.94017,-0.016449,0.876704,-0.14741,0.457592,9.74955,52.744514,24.251228,0.017667,0.833697,-0.010685,0.551836,4.925457,9.263479,36.691696,0.026072,0.933734,-0.009957,0.356878,-3.244591,2.479786,-15.888812,0.017667,0.833697,-0.010685,0.551836,17.915995,2.489644,31.053215
7,0.058333,0.018828,0.935687,-0.022805,0.35159,0.004812,85.757462,11.581978,0.000536,0.953465,0.050453,0.297251,0.408517,93.617828,11.350186,-0.007722,0.960024,0.015588,0.279379,-0.138434,112.399605,13.172458,0.070711,0.968982,0.001871,0.23679,-0.629855,133.266876,13.707296,0.052078,0.981968,-0.031977,0.178895,2.219771,147.648544,12.577812,0.04179,0.896092,0.131014,0.422028,-4.044762,127.240097,11.799279,0.268047,-0.525967,0.086542,-0.802508,-15.761998,130.634323,-1.841424,0.11967,0.278245,-0.469745,-0.829216,-6.317799,121.427872,-19.293001,0.30003,0.373888,-0.602219,-0.638374,3.631157,142.260818,-10.694584,-0.094608,0.982527,0.10135,0.124173,2.433915,127.287056,15.919863,0.216175,0.896279,-0.014752,-0.386956,19.84181,130.228561,20.736078,-0.160834,0.225382,0.466431,-0.840106,33.121304,121.502197,5.702294,0.06348,-0.028842,0.662424,-0.745877,21.809029,142.408173,0.119163,0.030185,0.918286,0.158483,0.361556,-7.216928,85.941818,5.255642,0.076259,0.953048,-0.024234,0.292055,-5.233187,54.157948,-5.235373,0.026614,0.93361,-0.009947,0.357163,-12.488159,9.258088,-5.160363,-0.074363,0.900732,-0.06995,0.422208,7.226552,85.573112,17.908314,-0.016726,0.876453,-0.147489,0.458037,9.737735,52.742798,24.238811,0.017987,0.833678,-0.010543,0.551857,4.926098,9.264713,36.694412,0.026614,0.93361,-0.009947,0.357163,-3.244317,2.485108,-15.889272,0.017987,0.833678,-0.010543,0.551857,17.914455,2.489289,31.052818
8,0.066667,0.018817,0.935758,-0.023628,0.351347,-0.002489,85.753418,11.553258,0.000616,0.953552,0.04979,0.297083,0.405551,93.613182,11.309185,-0.007524,0.960075,0.015516,0.279211,-0.130552,112.391411,13.108063,0.070921,0.969053,0.002224,0.236437,-0.613123,133.258911,13.642409,0.051596,0.982115,-0.032069,0.178211,2.239282,147.642212,12.522873,0.042021,0.896166,0.131068,0.421832,-4.031211,127.233482,11.7358,0.267586,-0.526232,0.086457,-0.802498,-15.753775,130.6353,-1.898444,0.11942,0.278115,-0.469682,-0.829331,-6.321091,121.439384,-19.361805,0.300108,0.374115,-0.601822,-0.638579,3.633361,142.266235,-10.761763,-0.094532,0.982562,0.101027,0.124217,2.448953,127.277885,15.854078,0.217004,0.896318,-0.014689,-0.386404,19.856974,130.218094,20.670647,-0.160143,0.225882,0.466747,-0.839928,33.139442,121.460251,5.657805,0.064197,-0.028034,0.662584,-0.745705,21.852222,142.372101,0.042715,0.029953,0.918063,0.159259,0.361801,-7.227517,85.932159,5.230511,0.076312,0.953018,-0.024937,0.29208,-5.207648,54.163898,-5.30081,0.027146,0.933483,-0.009964,0.357454,-12.485741,9.26792,-5.166484,-0.074464,0.900614,-0.070149,0.422409,7.222538,85.574677,17.876005,-0.016962,0.876173,-0.147605,0.458526,9.732645,52.74725,24.221869,0.018331,0.833599,-0.010636,0.551964,4.927988,9.273007,36.693562,0.027146,0.933483,-0.009964,0.357454,-3.241816,2.489179,-15.891689,0.018331,0.833599,-0.010636,0.551964,17.913277,2.490017,31.053984
9,0.075,0.018996,0.935956,-0.024278,0.350766,-0.00351,85.743584,11.519161,0.00048,0.953701,0.049199,0.296704,0.410602,93.602753,11.266239,-0.007367,0.960176,0.015346,0.278876,-0.12296,112.379601,13.042237,0.071071,0.969177,0.002413,0.23588,-0.597059,133.247406,13.571763,0.051161,0.982301,-0.031975,0.177328,2.257027,147.632263,12.456369,0.042381,0.89627,0.131027,0.421588,-4.018824,127.222847,11.669045,0.267075,-0.526607,0.086369,-0.802432,-15.747814,130.634811,-1.95713,0.118991,0.278097,-0.469632,-0.829427,-6.331746,121.449593,-19.435087,0.300064,0.37444,-0.601628,-0.638592,3.624272,142.268021,-10.825322,-0.0944,0.982633,0.10057,0.124126,2.46425,127.265755,15.782757,0.217559,0.896593,-0.014629,-0.385455,19.874018,130.203857,20.594299,-0.159368,0.226541,0.466717,-0.839914,33.177971,121.423271,5.613793,0.065143,-0.026985,0.662866,-0.74541,21.903084,142.331772,-0.046512,0.029767,0.917916,0.160025,0.361851,-7.236244,85.921494,5.205208,0.076317,0.952878,-0.025704,0.29247,-5.185452,54.168892,-5.367282,0.027579,0.933376,-0.009974,0.357699,-12.484297,9.276512,-5.169681,-0.074536,0.900421,-0.070437,0.42276,7.229224,85.565674,17.833115,-0.017229,0.875818,-0.147817,0.459126,9.732946,52.741669,24.199223,0.018627,0.833558,-0.0106,0.552017,4.932098,9.273952,36.695122,0.027579,0.933376,-0.009974,0.357699,-3.240094,2.493171,-15.891735,0.018627,0.833558,-0.0106,0.552017,17.915113,2.487251,31.054773
