Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.007398,0.937385,-0.003566,0.348197,-0.44828,85.365166,12.570733,-0.010834,0.952305,0.063693,0.298229,-0.319516,93.238243,12.558659,0.008626,0.959447,0.015283,0.281342,-1.471738,112.728569,14.815943,0.064228,0.973861,0.007352,0.217749,-1.305669,133.595627,15.529635,0.035683,0.989046,-0.037942,0.13811,1.300085,148.189514,14.431396,0.081673,0.926407,0.071481,0.360541,-4.902141,127.696358,13.557763,-0.623644,0.282903,0.621214,-0.380956,-18.200245,131.408813,1.546876,-0.814006,-0.362468,0.247383,0.380543,-16.710161,113.336441,-10.687428,0.466709,0.207076,-0.530232,-0.676873,1.310293,136.150314,-14.405998,-0.096439,0.979411,0.097376,0.148225,1.5594,127.503227,17.700935,0.19719,0.910616,-0.014077,-0.362899,18.714705,130.431931,23.357925,-0.163489,0.242771,0.418549,-0.859738,33.126743,122.352554,9.021751,0.034483,0.052354,0.665991,-0.743321,20.143909,141.861694,2.171351,0.027118,0.923205,0.129706,0.360741,-7.721369,85.474503,6.301739,0.069094,0.945388,-0.030345,0.317092,-6.26252,53.122734,-2.384228,0.022659,0.922664,0.022419,0.384285,-13.079638,8.158475,-1.76761,-0.051719,0.909772,-0.067102,0.406372,6.824808,85.255829,18.839725,-0.012157,0.881307,-0.109789,0.459451,8.151513,52.207886,24.342875,-0.019751,0.828341,0.014541,0.559688,4.537614,7.835513,33.652538,0.022659,0.922664,0.022419,0.384285,-3.004181,2.274519,-12.269783,-0.019751,0.828341,0.014541,0.559688,18.190826,2.266778,28.266413
1,0.008333,0.007497,0.937539,-0.003651,0.347779,-0.428843,85.364883,12.569304,-0.010243,0.952293,0.064485,0.298121,-0.298162,93.237923,12.556459,0.004338,0.959399,0.01469,0.281637,-1.439568,112.764229,14.85496,0.069133,0.973363,0.007024,0.218486,-1.438545,133.634338,15.494519,0.035371,0.98913,-0.038221,0.13751,1.309416,148.193329,14.421706,0.083091,0.926001,0.071375,0.361281,-4.986959,127.699936,13.541135,-0.623132,0.28335,0.620019,-0.3834,-18.256968,131.459763,1.513931,-0.814696,-0.362527,0.247964,0.378626,-16.713078,113.335129,-10.636112,0.466357,0.206397,-0.530978,-0.676737,1.282591,136.14473,-14.430693,-0.093624,0.979838,0.098054,0.146758,1.472889,127.572487,17.689484,0.196756,0.911383,-0.012087,-0.361279,18.663612,130.403336,23.28845,-0.163445,0.242621,0.418267,-0.859927,33.134453,122.367111,8.987302,0.035118,0.052126,0.665876,-0.74341,20.139853,141.861542,2.139577,0.027312,0.9233,0.129567,0.360532,-7.707489,85.475479,6.306788,0.069119,0.945365,-0.03022,0.317166,-6.266036,53.121994,-2.375679,0.022449,0.92266,0.022471,0.384304,-13.081752,8.157364,-1.771085,-0.051591,0.909878,-0.067137,0.406145,6.849802,85.254288,18.83182,-0.011991,0.881409,-0.10999,0.459213,8.169096,52.205776,24.333269,-0.019759,0.828355,0.014492,0.559668,4.536009,7.837051,33.652851,0.022449,0.92266,0.022471,0.384304,-3.003246,2.276995,-12.272338,-0.019759,0.828355,0.014492,0.559668,18.188732,2.267244,28.266598
2,0.016667,0.007578,0.937736,-0.003775,0.347247,-0.409258,85.363106,12.568781,-0.01028,0.952456,0.064593,0.297572,-0.276709,93.236122,12.554468,0.004001,0.959558,0.014547,0.281105,-1.419552,112.763176,14.857395,0.068978,0.973499,0.00674,0.217935,-1.429995,133.633591,15.487274,0.035159,0.989217,-0.038314,0.136917,1.314,148.193985,14.40319,0.08294,0.926233,0.071245,0.360746,-4.977096,127.696205,13.540551,-0.622708,0.283051,0.620394,-0.383704,-18.262144,131.448517,1.527606,-0.81447,-0.36222,0.248811,0.378852,-16.731182,113.322784,-10.622413,0.465971,0.205721,-0.531649,-0.676683,1.253758,136.136093,-14.456344,-0.093788,0.979914,0.098234,0.14602,1.487389,127.574448,17.681841,0.196959,0.911191,-0.012066,-0.361652,18.684895,130.413116,23.255978,-0.162765,0.242016,0.418339,-0.860191,33.140434,122.370552,8.942914,0.035892,0.051677,0.665702,-0.743561,20.134827,141.859955,2.104326,0.027466,0.923458,0.129481,0.360146,-7.694993,85.474403,6.314521,0.069126,0.945352,-0.030138,0.317212,-6.268766,53.119995,-2.367,0.02238,0.922683,0.022485,0.384252,-13.082799,8.155009,-1.769995,-0.05144,0.909995,-0.067182,0.405894,6.876476,85.251816,18.82304,-0.011844,0.881486,-0.110206,0.459018,8.186897,52.202671,24.32284,-0.019757,0.828372,0.014514,0.559642,4.535025,7.837939,33.654095,0.02238,0.922683,0.022485,0.384252,-3.004621,2.275797,-12.272213,-0.019757,0.828372,0.014514,0.559642,18.187538,2.268634,28.266779
3,0.025,0.007743,0.937946,-0.003821,0.346674,-0.387832,85.359367,12.568012,-0.010417,0.952641,0.064663,0.296961,-0.252598,93.23233,12.553851,0.003706,0.95974,0.01442,0.280496,-1.400008,112.760353,14.858691,0.068951,0.973633,0.00665,0.21735,-1.420362,133.631012,15.480022,0.034844,0.989308,-0.038569,0.136264,1.322323,148.194519,14.390823,0.082782,0.926467,0.071154,0.3602,-4.966874,127.69101,13.540217,-0.622224,0.282809,0.620743,-0.384101,-18.267294,131.43605,1.542015,-0.814246,-0.36189,0.249704,0.37906,-16.74931,113.306221,-10.603532,0.465418,0.205082,-0.53234,-0.676714,1.224399,136.122971,-14.479899,-0.093892,0.979999,0.097989,0.145553,1.5029,127.57428,17.673388,0.196945,0.910998,-0.012495,-0.362131,18.704683,130.419937,23.230743,-0.162212,0.241617,0.418262,-0.860445,33.145321,122.372543,8.905354,0.036546,0.051304,0.665559,-0.743683,20.126413,141.855347,2.068253,0.027654,0.923612,0.129338,0.359788,-7.681152,85.473412,6.32265,0.069171,0.945391,-0.030047,0.317094,-6.273413,53.117226,-2.355263,0.021704,0.922773,0.022202,0.384091,-13.088599,8.152309,-1.766518,-0.051332,0.910214,-0.067238,0.405407,6.905488,85.245331,18.813374,-0.011614,0.881605,-0.110446,0.458737,8.210722,52.195942,24.312939,-0.01977,0.828359,0.014525,0.559661,4.533324,7.835543,33.654724,0.021704,0.922773,0.022202,0.384091,-3.007957,2.272689,-12.266146,-0.01977,0.828359,0.014525,0.559661,18.186262,2.266713,28.268
4,0.033333,0.00787,0.938175,-0.003811,0.346051,-0.364227,85.354965,12.567457,-0.010576,0.952815,0.064739,0.296378,-0.227186,93.227898,12.554039,0.00347,0.959905,0.014266,0.279941,-1.380243,112.759277,14.861012,0.068714,0.973792,0.006663,0.216709,-1.407928,133.630188,15.473443,0.034589,0.989411,-0.038924,0.135478,1.325991,148.194611,14.380789,0.082607,0.926775,0.070931,0.359491,-4.954383,127.688004,13.540271,-0.621703,0.28255,0.62115,-0.384479,-18.274538,131.423248,1.560927,-0.814026,-0.361466,0.250636,0.379322,-16.77224,113.28981,-10.581192,0.464706,0.204532,-0.533048,-0.676813,1.192121,136.106232,-14.502703,-0.094003,0.980096,0.098043,0.144789,1.520197,127.575516,17.666023,0.197185,0.910751,-0.012603,-0.362618,18.729326,130.427963,23.197094,-0.161702,0.241047,0.418291,-0.860687,33.150375,122.371162,8.857266,0.037004,0.051106,0.665292,-0.743913,20.119169,141.849747,2.031081,0.027814,0.923775,0.129254,0.359387,-7.665792,85.471436,6.331783,0.069188,0.945452,-0.029857,0.316926,-6.273769,53.114384,-2.345455,0.022295,0.922655,0.022579,0.384318,-13.084875,8.148643,-1.772297,-0.051214,0.910437,-0.067334,0.404904,6.937338,85.238495,18.803131,-0.011325,0.88187,-0.110709,0.458172,8.235797,52.189167,24.304625,-0.019853,0.828387,0.014521,0.559616,4.530242,7.833463,33.657597,0.022295,0.922655,0.022579,0.384318,-3.003785,2.272813,-12.273613,-0.019853,0.828387,0.014521,0.559616,18.183369,2.26591,28.270031
5,0.041667,0.007882,0.93834,-0.003999,0.345601,-0.345458,85.353661,12.570084,-0.010596,0.952983,0.064868,0.295808,-0.207217,93.226563,12.553891,0.003167,0.96008,0.014059,0.279354,-1.361156,112.757515,14.866179,0.068633,0.973941,0.006292,0.216074,-1.398197,133.628754,15.466794,0.034231,0.989517,-0.039137,0.13473,1.333891,148.192566,14.360666,0.082378,0.927093,0.070729,0.358761,-4.944127,127.683746,13.541315,-0.620992,0.28212,0.621475,-0.385416,-18.284866,131.407654,1.581357,-0.813852,-0.361205,0.251752,0.379205,-16.789644,113.263725,-10.54595,0.464074,0.203934,-0.533648,-0.676954,1.152904,136.087112,-14.526412,-0.094042,0.980219,0.097875,0.144039,1.535526,127.576744,17.659246,0.197203,0.910529,-0.012984,-0.363154,18.752319,130.43457,23.163616,-0.161196,0.240557,0.418235,-0.860946,33.156067,122.37265,8.809288,0.037588,0.050624,0.664896,-0.74427,20.111267,141.844055,1.989958,0.027993,0.923934,0.1291,0.35902,-7.653,85.469162,6.341393,0.069199,0.945479,-0.029683,0.31686,-6.279217,53.110111,-2.331288,0.022234,0.922641,0.022617,0.384353,-13.086242,8.143565,-1.77292,-0.051163,0.910705,-0.067299,0.404313,6.962084,85.238159,18.798775,-0.011044,0.882063,-0.110958,0.457747,8.26197,52.188156,24.295887,-0.019828,0.8284,0.014374,0.559602,4.52798,7.836902,33.658623,0.022234,0.922641,0.022617,0.384353,-3.003502,2.269389,-12.273581,-0.019828,0.8284,0.014374,0.559602,18.179781,2.26537,28.271803
6,0.05,0.007897,0.938524,-0.004203,0.345098,-0.325614,85.352951,12.57427,-0.010582,0.953182,0.064976,0.295144,-0.186058,93.22583,12.55507,0.002877,0.960287,0.013857,0.278657,-1.339105,112.755844,14.872289,0.06834,0.974123,0.006127,0.215353,-1.384967,133.627396,15.461443,0.033947,0.98962,-0.039449,0.133951,1.337743,148.192627,14.346069,0.082171,0.927427,0.070502,0.357989,-4.930919,127.67968,13.544376,-0.620413,0.281946,0.621975,-0.385669,-18.293163,131.392593,1.605021,-0.813572,-0.360711,0.252791,0.379584,-16.82085,113.245239,-10.519945,0.463464,0.203236,-0.5343,-0.677066,1.111564,136.067505,-14.548725,-0.094186,0.980333,0.097653,0.143316,1.554734,127.577957,17.652987,0.197207,0.910242,-0.013509,-0.363849,18.778143,130.445099,23.131783,-0.160475,0.239952,0.418263,-0.861236,33.159691,122.376701,8.758836,0.038592,0.049934,0.66467,-0.744467,20.101912,141.841858,1.947153,0.028154,0.924113,0.129043,0.358568,-7.639822,85.467438,6.353388,0.069201,0.945557,-0.029517,0.316641,-6.281672,53.107994,-2.320308,0.022188,0.922631,0.022615,0.38438,-13.083981,8.140575,-1.774679,-0.051094,0.911012,-0.067243,0.403641,6.988595,85.238472,18.795153,-0.01072,0.882263,-0.111223,0.457304,8.289896,52.187492,24.286066,-0.019817,0.828368,0.014276,0.559651,4.523495,7.840952,33.658173,0.022188,0.922631,0.022615,0.38438,-3.00013,2.266794,-12.274496,-0.019817,0.828368,0.014276,0.559651,18.175243,2.266883,28.273838
7,0.058333,0.00795,0.938752,-0.004276,0.344475,-0.305454,85.352684,12.578288,-0.010409,0.9534,0.065043,0.29443,-0.164724,93.22554,12.558201,0.002335,0.960496,0.013673,0.277949,-1.310311,112.75518,14.880797,0.068053,0.974323,0.005753,0.214549,-1.375362,133.62706,15.456324,0.033683,0.989749,-0.039607,0.133021,1.339132,148.192764,14.325444,0.081977,0.927796,0.070192,0.357139,-4.918397,127.67469,13.548348,-0.619623,0.281555,0.622525,-0.386338,-18.304035,131.375854,1.631578,-0.813332,-0.360339,0.253916,0.379702,-16.851994,113.221359,-10.485131,0.462865,0.202502,-0.5351,-0.677064,1.062404,136.047165,-14.569669,-0.094333,0.980464,0.097619,0.142343,1.573349,127.581879,17.647535,0.19743,0.909926,-0.013833,-0.364506,18.805914,130.45842,23.092506,-0.159862,0.239218,0.418358,-0.861508,33.162697,122.378326,8.701387,0.039482,0.04953,0.664111,-0.744946,20.092739,141.838501,1.906233,0.028283,0.924307,0.128935,0.358096,-7.627892,85.467728,6.36711,0.069248,0.945588,-0.029323,0.316556,-6.284766,53.106911,-2.303774,0.022218,0.922619,0.022689,0.384404,-13.085525,8.139053,-1.775543,-0.050969,0.911264,-0.067191,0.403096,7.016985,85.23764,18.789465,-0.010518,0.882319,-0.111491,0.457135,8.315374,52.185333,24.273085,-0.01986,0.828407,0.014172,0.559594,4.523416,7.843825,33.658672,0.022218,0.922619,0.022689,0.384404,-3.001098,2.26696,-12.275746,-0.01986,0.828407,0.014172,0.559594,18.174191,2.267932,28.273767
8,0.066667,0.008028,0.938994,-0.004322,0.343812,-0.28281,85.351875,12.582745,-0.010285,0.953627,0.065118,0.293684,-0.140688,93.224701,12.562301,0.001877,0.960715,0.013456,0.277205,-1.280734,112.755562,14.890188,0.06783,0.974497,0.00552,0.21383,-1.361206,133.627762,15.451778,0.033279,0.989854,-0.039891,0.132254,1.346659,148.196198,14.310038,0.081606,0.928205,0.069935,0.356209,-4.902522,127.671349,13.55326,-0.618809,0.281086,0.623043,-0.387149,-18.314663,131.355423,1.661014,-0.813052,-0.36002,0.255166,0.379766,-16.879303,113.192795,-10.445502,0.46227,0.201703,-0.535847,-0.67712,1.011336,136.02626,-14.591154,-0.094633,0.980568,0.097501,0.141505,1.595595,127.58638,17.642513,0.197556,0.909571,-0.014342,-0.365303,18.834793,130.477646,23.058615,-0.159029,0.238447,0.418358,-0.861876,33.163937,122.387001,8.645886,0.040523,0.049001,0.663774,-0.745225,20.076647,141.837982,1.862169,0.028479,0.92447,0.128901,0.357671,-7.613996,85.468117,6.381913,0.069281,0.945626,-0.029159,0.316451,-6.287857,53.107464,-2.292208,0.022203,0.922595,0.022684,0.384462,-13.086674,8.139142,-1.77834,-0.050854,0.911462,-0.067032,0.402688,7.048376,85.235634,18.783577,-0.010303,0.882296,-0.111822,0.457103,8.346502,52.181114,24.25392,-0.018821,0.828393,0.015136,0.559627,4.523809,7.845923,33.656876,0.022203,0.922595,0.022684,0.384462,-3.0008,2.267003,-12.277131,-0.018821,0.828393,0.015136,0.559627,18.171024,2.276154,28.256622
9,0.075,0.008199,0.939279,-0.00432,0.343029,-0.26057,85.34906,12.588739,-0.009713,0.953889,0.064882,0.292903,-0.115952,93.22184,12.569133,0.001203,0.96093,0.01343,0.276462,-1.229888,112.754486,14.895784,0.067108,0.974732,0.005384,0.212991,-1.336682,133.626801,15.4486,0.03292,0.989972,-0.040261,0.13134,1.349208,148.200073,14.2953,0.081077,0.92873,0.06967,0.355012,-4.873136,127.66497,13.558043,-0.617956,0.280502,0.623792,-0.387727,-18.319574,131.326141,1.697501,-0.812571,-0.359662,0.256542,0.380207,-16.910721,113.161316,-10.408835,0.461467,0.200859,-0.5366,-0.677322,0.95342,136.004425,-14.611429,-0.095887,0.980542,0.097804,0.140629,1.631331,127.590218,17.637383,0.198657,0.90898,-0.014618,-0.366165,18.870827,130.527954,23.027452,-0.157316,0.237431,0.418691,-0.862309,33.153313,122.393677,8.593,0.041779,0.048352,0.663314,-0.745608,20.057552,141.837463,1.815337,0.028692,0.924622,0.128931,0.357249,-7.602029,85.468506,6.400139,0.069299,0.945615,-0.029028,0.316493,-6.29227,53.10918,-2.281421,0.022141,0.922599,0.022639,0.384459,-13.088882,8.140391,-1.779592,-0.05074,0.911716,-0.066879,0.402152,7.080888,85.229614,18.77734,-0.010025,0.88227,-0.112189,0.457071,8.379483,52.172939,24.234526,-0.018951,0.828391,0.015132,0.559625,4.519518,7.844728,33.655128,0.022141,0.922599,0.022639,0.384459,-3.002628,2.267702,-12.277706,-0.018951,0.828391,0.015132,0.559625,18.167925,2.277013,28.255779
