hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p04_hook_right_main_001,0.191665442,0.427682201,0.261862421,0.292443152,0.135540739,0.243564987,0.067351822,0.050692292,0.047621885,0.532951553,0.622971183,0.264317747,0.209536369,Main
p04_hook_right_main_002,0.13283123,0.352740016,0.191274379,0.264310345,0.102912348,0.18184007,0.059005221,0.048460796,0.047619055,0.407673539,0.498677092,0.212287141,0.198242153,Post
p04_hook_right_main_003,0.140379157,0.396090638,0.238003674,0.23962256,0.118875307,0.211945954,0.063088813,0.052040594,0.047621433,0.529359118,0.465462149,0.231514422,0.202295739,Pre
p04_hook_right_main_004,0.088778685,0.27412847,0.095948815,0.179094175,0.068237454,0.108607132,0.056747939,0.048119407,0.047619335,0.373167549,0.188658316,0.142862509,,
p04_hook_right_main_005,0.119488556,0.317170316,0.168583362,0.209481218,0.10382922,0.145122158,0.058191099,0.048520004,0.04761905,0.40107764,0.368658009,0.184813161,,
p04_hook_right_main_006,0.118037054,0.367091319,0.221451004,0.203235536,0.119086108,0.191048058,0.057938232,0.048630418,0.047619369,0.526910205,0.376365346,0.211492714,,
p04_hook_right_main_007,0.113778206,0.300198069,0.146317774,0.228006563,0.086213502,0.153165593,0.056223505,0.048236429,0.04761917,0.381421079,0.36644346,0.179988729,,
p04_hook_right_main_008,0.142381089,0.390549046,0.205138014,0.237474801,0.114768882,0.205540471,0.054283876,0.048486066,0.047622103,0.52978284,0.435184203,0.223071818,,
p04_hook_right_main_009,0.123861977,0.360542357,0.240401164,0.242564888,0.108772604,0.197471478,0.057704465,0.048444887,0.047619134,0.500403815,0.454866804,0.221807821,,
p04_hook_right_main_010,0.077105742,0.296297747,0.143556675,0.214704362,0.085325376,0.11736153,0.056655924,0.048338152,0.047619048,0.440984208,0.233132938,0.165346054,,
p04_hook_right_main_011,0.176976919,0.431399844,0.256180934,0.283935966,0.144858238,0.228654379,0.060028126,0.052757658,0.047621558,0.52784247,0.610043507,0.259658664,,
p04_hook_right_main_012,0.107291299,0.338543976,0.159598202,0.257636364,0.108917235,0.155177129,0.057828162,0.048386555,0.047619049,0.435979355,0.393230609,0.196608746,,
p04_hook_right_main_013,0.142878582,0.402006345,0.227087084,0.243823821,0.119435525,0.195855364,0.05904944,0.052482934,0.047619665,0.462720792,0.517026838,0.227779933,,
p04_hook_right_main_014,0.129707616,0.342398746,0.168280453,0.227368027,0.114583691,0.193887365,0.058616025,0.048195593,0.047619069,0.404420356,0.460269767,0.203824162,,
p04_hook_right_main_015,0.152140162,0.361850859,0.219413501,0.254517111,0.108175453,0.186941609,0.055834968,0.048075832,0.047619133,0.47667086,0.478330757,0.22130631,,
p04_hook_right_main_016,0.124230033,0.298220704,0.166726656,0.197331177,0.085480478,0.138462302,0.056648636,0.048037037,0.047619222,0.419008709,0.308743649,0.176011451,,
p04_hook_right_main_017,0.103948399,0.312141416,0.159113143,0.182735123,0.08044302,0.132318056,0.055974411,0.048313791,0.047619052,0.438660222,0.252547715,0.168623038,,
p04_hook_right_main_018,0.15126702,0.356381417,0.16762993,0.225321915,0.111883532,0.181627272,0.060288895,0.048452909,0.047619053,0.386182733,0.478754359,0.20425959,,
p04_hook_right_main_019,0.159728469,0.323249444,0.165652367,0.243922957,0.104941513,0.162840638,0.05365199,0.048048752,0.047619255,0.398994778,0.450470192,0.199756993,,
p04_hook_right_main_020,0.084595387,0.274474785,0.135361679,0.15029624,0.077983597,0.088682351,0.05887427,0.048394879,0.047619049,0.438643613,0.119367831,0.142579929,,
p04_hook_right_main_021,0.131437286,0.346312026,0.184252735,0.203669972,0.100239615,0.180299463,0.056406224,0.048610659,0.047619051,0.422886263,0.41120793,0.197346025,,
