hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p04_hook_right_main_001,0.283386062,0.488515258,0.319854701,0.297588544,0.255403207,0.280187756,0.06152716,0.055137212,0.052732055,0.552506864,0.900779405,0.796297643,0.735619669,-0.044646269
p04_hook_right_main_002,0.258316731,0.488365241,0.328856282,0.290581341,0.254650297,0.278540647,0.053083217,0.055063084,0.052595749,0.548614387,0.899360291,0.79413652,0.690617084,
p04_hook_right_main_003,0.241263417,0.475763808,0.299967635,0.295206602,0.239854642,0.267626585,0.054542917,0.053737995,0.051517673,0.532294377,0.850796777,0.755246057,0.735263353,
p04_hook_right_main_004,0.181348524,0.421697673,0.240415111,0.278052291,0.164150654,0.169469031,0.051329088,0.047984443,0.047649976,0.505248944,0.586130802,0.561866244,,
p04_hook_right_main_005,0.250186716,0.476153522,0.306225584,0.272949589,0.224132997,0.260733098,0.050957292,0.053560619,0.047827616,0.535524869,0.821049665,0.735392226,,
p04_hook_right_main_006,0.235175684,0.465660947,0.30034371,0.270450489,0.233853523,0.26391799,0.053192399,0.052511894,0.048070685,0.545397185,0.80181234,0.724887793,,
p04_hook_right_main_007,0.229669977,0.471770191,0.267289432,0.290589069,0.205137959,0.26789707,0.051455075,0.049532827,0.048383584,0.48645931,0.830406276,0.727222186,,
p04_hook_right_main_008,0.204664664,0.451530636,0.269906968,0.307361054,0.220031436,0.244490874,0.051663324,0.048386573,0.048839486,0.525891207,0.781082434,0.704525066,,
p04_hook_right_main_009,0.241402831,0.48885975,0.333562486,0.288385478,0.238301039,0.252807828,0.052104718,0.053289839,0.048439482,0.541778456,0.866449118,0.769047919,,
p04_hook_right_main_010,0.1946026,0.438613343,0.258779606,0.309436443,0.20721912,0.206290167,0.051949983,0.05055938,0.04762055,0.550426266,0.677502806,0.639379844,,
p04_hook_right_main_011,0.257113742,0.492507306,0.311475006,0.308682073,0.24025908,0.266211342,0.051621278,0.051927949,0.049078941,0.546931817,0.887575002,0.785382047,,
p04_hook_right_main_012,0.227724375,0.475551334,0.285933091,0.331114632,0.234599695,0.248710296,0.051822893,0.053696207,0.047868592,0.548632521,0.833061687,0.747732938,,
p04_hook_right_main_013,0.23546079,0.477614158,0.3032818,0.287577763,0.235630869,0.249259522,0.053658792,0.054432784,0.048552226,0.482940795,0.875235656,0.757547198,,
p04_hook_right_main_014,0.250378396,0.482598108,0.312053215,0.271462482,0.246345962,0.245247684,0.052808926,0.055775813,0.048538792,0.485726343,0.882501643,0.763469053,,
p04_hook_right_main_015,0.276574633,0.481454607,0.333956473,0.298184514,0.236014614,0.234024389,0.050290811,0.050869884,0.048704456,0.549034414,0.868242513,0.772480083,,
p04_hook_right_main_016,0.237254894,0.465360455,0.285074431,0.276540465,0.216741684,0.202241763,0.051890042,0.051639072,0.048014384,0.494167343,0.77076834,0.687788041,,
p04_hook_right_main_017,0.238044175,0.44533232,0.300777331,0.266562902,0.214710532,0.200271781,0.050757329,0.051364514,0.047629293,0.548622505,0.707417865,0.659779257,,
p04_hook_right_main_018,0.27316146,0.492632734,0.289606773,0.262828408,0.254885562,0.260586834,0.053698141,0.058342988,0.047898631,0.493605729,0.882001415,0.765482709,,
p04_hook_right_main_019,0.276915057,0.470111907,0.307227342,0.285176379,0.232985551,0.25277187,0.050159525,0.049826292,0.048543229,0.519489338,0.869230205,0.764307945,,
p04_hook_right_main_020,0.197202491,0.38534438,0.227157434,0.23289102,0.17237819,0.151508679,0.052962906,0.050246164,0.047619139,0.536799814,0.467399251,0.48821942,,
p04_hook_right_main_021,0.261215434,0.479827004,0.286836693,0.260115682,0.241595008,0.242875821,0.050630873,0.054481555,0.047832489,0.481614302,0.850154638,0.739592538,,
p04_hook_right_main_022,0.25252503,0.486093001,0.339950859,0.25162315,0.250142701,0.238547727,0.05371561,0.054494661,0.04984115,0.489119224,0.886098315,0.767004588,,
p04_hook_right_main_023,0.274042331,0.498179938,0.321781369,0.251796688,0.256743823,0.245264204,0.05722696,0.055375916,0.048240891,0.49186959,0.891838814,0.771848046,,
