jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,,
p04_jap_main_001,0.302114959,0.499891721,0.327578312,0.28248117,0.229102966,0.185945471,0.048358487,0.047911216,0.047620264,0.514913794,0.857822063,0.876874662,0.485501676
p04_jap_main_002,0.252031837,0.479287431,0.288247982,0.23323777,0.206849465,0.174089881,0.048719786,0.048135689,0.047619173,0.484016531,0.731893619,0.796032377,
p04_jap_main_003,0.291351986,0.486271511,0.331274246,0.242024499,0.218475477,0.234289828,0.04800103,0.048837542,0.047621256,0.496806476,0.862404753,0.310530702,
p04_jap_main_004,0.260625571,0.47797403,0.26034945,0.263065285,0.212314549,0.219752075,0.04842311,0.047963345,0.047619056,0.474410657,0.796735935,,
p04_jap_main_005,0.256263868,0.495421931,0.286089951,0.260498956,0.22620681,0.263233483,0.048252972,0.04787583,0.047619301,0.492766025,0.865325166,,
p04_jap_main_006,0.254165448,0.496411812,0.308759146,0.264747117,0.241378104,0.275671397,0.048486868,0.048787684,0.047628047,0.517749511,0.892849509,,
p04_jap_main_007,0.257824593,0.505774256,0.313463115,0.260042651,0.237817455,0.280120518,0.048090041,0.048372741,0.047640053,0.509217257,0.908360106,,
p04_jap_main_008,0.234670241,0.490148311,0.305728378,0.261902331,0.259648417,0.230316934,0.047845261,0.047858174,0.047620903,0.458927868,0.907057404,,
p04_jap_main_009,0.237585108,0.486474522,0.275301159,0.268450746,0.240618269,0.230452464,0.048524052,0.047846992,0.047619148,0.473687975,0.850990928,,
p04_jap_main_010,0.238050507,0.486522932,0.265247771,0.249975352,0.22414995,0.229911029,0.048885898,0.048496163,0.047619347,0.485975199,0.794202121,,
p04_jap_main_011,0.248670271,0.504610613,0.302624541,0.268316465,0.222419518,0.249387676,0.04885058,0.047839377,0.047619998,0.472920971,0.893167576,,
p04_jap_main_012,0.235726003,0.490968799,0.272529832,0.265252666,0.217594484,0.201855994,0.048851,0.047956298,0.047619336,0.426212122,0.842337397,,
p04_jap_main_013,0.237326364,0.497738725,0.32302462,0.270679174,0.225792308,0.230348827,0.048509881,0.047890416,0.047620849,0.469758146,0.892701848,,
p04_jap_main_014,0.242678219,0.494386942,0.334438204,0.255200529,0.229054296,0.231581322,0.049210882,0.048057442,0.047619266,0.478002171,0.884714918,,
p04_jap_main_015,0.248333529,0.503762184,0.288129308,0.262080612,0.213022737,0.227112306,0.048635238,0.04797505,0.047619801,0.433536969,0.878338676,,
p04_jap_main_016,0.262179135,0.503036077,0.355439979,0.279151092,0.229888195,0.2755022,0.048492455,0.048567025,0.047651887,0.548768876,0.915477146,,
p04_jap_main_017,0.259320614,0.497364352,0.35747213,0.280574299,0.236922777,0.251077334,0.050104806,0.049205419,0.047670123,0.532153159,0.910454638,,
