straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p04_straight_main_001,0.228351309,0.435766745,0.246780803,0.312290035,0.221666732,0.24239954,0.049770446,0.047830775,0.048584062,0.460640799,0.834968514,0.7226702,0.709333586,0.111012449
p04_straight_main_002,0.217932123,0.435198043,0.261338823,0.303199154,0.227971479,0.221423956,0.051849114,0.047802288,0.048501631,0.442269701,0.843411406,0.723068895,0.719879552,
p04_straight_main_003,0.157110524,0.373758443,0.205687388,0.264891632,0.205965713,0.177038924,0.051121092,0.047746382,0.047790198,0.373603933,0.678146951,0.586784046,0.608867103,
p04_straight_main_004,0.146309841,0.38227445,0.22997692,0.275550335,0.202390217,0.231939273,0.052070885,0.048070128,0.047768193,0.406933816,0.723679315,0.628655666,,
p04_straight_main_005,0.199045386,0.426356874,0.205054496,0.261874504,0.21759466,0.224077626,0.051298323,0.048069886,0.047909278,0.369871723,0.788318482,0.662784454,,
p04_straight_main_006,0.162839578,0.395515244,0.21194288,0.249556876,0.218492593,0.260392449,0.053340462,0.047804513,0.047619178,0.409327885,0.739752888,0.640625387,,
p04_straight_main_007,0.203750637,0.455413911,0.215672485,0.24875971,0.231865887,0.25517816,0.055065404,0.048655192,0.048052609,0.395102172,0.819592857,0.692245652,,
p04_straight_main_008,0.223777263,0.488791649,0.251061155,0.228630929,0.230327999,0.238912648,0.052117984,0.048224247,0.050491046,0.383260388,0.863119368,0.719161674,,
p04_straight_main_009,0.206062708,0.467239721,0.244007315,0.257961747,0.230442437,0.271250234,0.052764936,0.049486002,0.048796794,0.418979409,0.856224166,0.725050739,,
p04_straight_main_010,0.178948808,0.419617498,0.229874527,0.241778933,0.225938449,0.230387703,0.054771905,0.047843946,0.047846436,0.361639593,0.806071894,0.672742203,,
p04_straight_main_011,0.227723213,0.482393775,0.311950031,0.238047215,0.247070375,0.292036642,0.051920767,0.056071623,0.051478696,0.439070143,0.929888246,0.782642815,,
p04_straight_main_012,0.228569702,0.475012353,0.324501965,0.242506264,0.234631026,0.299942248,0.052690188,0.053440236,0.049536779,0.448944577,0.932454794,0.787401729,,
p04_straight_main_013,0.191682142,0.39785032,0.226751063,0.23421475,0.209446072,0.28065194,0.052854228,0.047757039,0.047671816,0.400031892,0.781243766,0.666880204,,
p04_straight_main_014,0.147827852,0.385244886,0.202590666,0.231167149,0.206496829,0.263132,0.055529806,0.047793301,0.047621271,0.395244538,0.699129646,0.607964114,,
p04_straight_main_015,0.211059379,0.461969569,0.278801211,0.24119669,0.235466176,0.301214387,0.052884012,0.050529254,0.048890245,0.423791978,0.902336199,0.758772933,,
p04_straight_main_016,0.190588507,0.445560545,0.242298667,0.241390101,0.213700562,0.29326131,0.050729271,0.047799658,0.047748522,0.439024167,0.80743491,0.696911687,,
p04_straight_main_017,0.203155183,0.419385429,0.206257692,0.237808124,0.219808754,0.304193979,0.05344767,0.04807932,0.049690894,0.417417881,0.799438303,0.684832177,,
p04_straight_main_018,0.18780736,0.406654125,0.213093243,0.235957427,0.228787036,0.30630872,0.054766528,0.047792897,0.047899118,0.411983736,0.80775286,0.689022123,,
