uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p04_uppercut_left_main_001,0.208460026,0.440071597,0.337659997,0.333827539,0.226943875,0.251344635,0.048406619,0.04773708,0.047621056,0.55743609,0.856198299,0.766569636,0.746579716,0.235306558
p04_uppercut_left_main_002,0.199381847,0.423878343,0.333768204,0.349201224,0.230647028,0.250939221,0.048280691,0.047709898,0.047619653,0.556039121,0.858693799,0.767897395,0.724448085,
p04_uppercut_left_main_003,0.202344789,0.412760533,0.340043089,0.33803184,0.231137304,0.24368069,0.048134727,0.047696537,0.047620996,0.557291159,0.842413178,0.756876572,0.489141527,
p04_uppercut_left_main_004,0.191427253,0.435742196,0.345969947,0.3369158,0.223253428,0.222453805,0.048372364,0.047691208,0.047634455,0.550260938,0.829807399,0.745943461,,
p04_uppercut_left_main_005,0.188810882,0.44705959,0.336710523,0.331428988,0.230522558,0.244004733,0.048303306,0.047696573,0.04762048,0.57226027,0.82773716,0.751094093,,
p04_uppercut_left_main_006,0.201270316,0.449524578,0.302494843,0.299463896,0.241046875,0.25548632,0.048112216,0.047676469,0.047619471,0.524541118,0.84050831,0.745718152,,
p04_uppercut_left_main_007,0.202000449,0.472821007,0.306797558,0.327697532,0.235656646,0.230315622,0.04807032,0.047684124,0.047620031,0.523044639,0.856493764,0.756459027,,
p04_uppercut_left_main_008,0.179119081,0.45377674,0.265155951,0.323198027,0.221037814,0.214725111,0.048256872,0.04770966,0.047619189,0.549908607,0.732776113,0.677915862,,
p04_uppercut_left_main_009,0.19454715,0.454764665,0.327801772,0.340586517,0.241628351,0.220377187,0.048209833,0.04770296,0.047620089,0.540867261,0.854677438,0.760534385,,
p04_uppercut_left_main_010,0.22859747,0.455993391,0.324199282,0.300476227,0.234938775,0.213714011,0.048234335,0.048131441,0.047710087,0.494653529,0.860176616,0.750519689,,
p04_uppercut_left_main_011,0.240451396,0.457067705,0.328328504,0.294476018,0.232400252,0.222887342,0.048174764,0.048066626,0.047653247,0.501869528,0.864800824,0.755921436,,
p04_uppercut_left_main_012,0.219783353,0.460282317,0.344480679,0.326126987,0.246269874,0.26306077,0.048333556,0.047690426,0.047619694,0.589862466,0.871271064,0.786848485,,
p04_uppercut_left_main_013,0.205790655,0.455288628,0.30194567,0.298935211,0.24451615,0.233016492,0.048301631,0.047708135,0.047619748,0.479364772,0.869433123,0.752412618,,
p04_uppercut_left_main_014,0.213395289,0.460147642,0.31945147,0.315276249,0.229683477,0.228494019,0.048509432,0.047867295,0.047637708,0.495314107,0.873322692,0.759920117,,
p04_uppercut_left_main_015,0.226353385,0.441197651,0.319162877,0.299102398,0.225623057,0.213961755,0.048395944,0.04793557,0.047630936,0.516775897,0.81373046,0.724644091,,
p04_uppercut_left_main_016,0.225477882,0.448885518,0.330075909,0.291598545,0.220362631,0.221336234,0.048687075,0.048168111,0.047671461,0.475177963,0.863361691,0.746906573,,
p04_uppercut_left_main_017,0.217736407,0.467535365,0.327888722,0.30252049,0.226384158,0.21258723,0.049307643,0.048011263,0.047629084,0.48593862,0.864254625,0.750759824,,
p04_uppercut_left_main_018,0.214822067,0.447936356,0.341314448,0.297064253,0.220640506,0.224096632,0.0484701,0.047897231,0.047637028,0.522005807,0.831402477,0.738583476,,
p04_uppercut_left_main_019,0.207674645,0.460661861,0.309496807,0.337341351,0.24067022,0.208519144,0.048559751,0.04769784,0.047622952,0.514955471,0.854902767,0.752918578,,
p04_uppercut_left_main_020,0.238094943,0.457619206,0.316516591,0.321384989,0.24181272,0.207693054,0.048144484,0.047701062,0.047620499,0.51285408,0.865251351,0.75953217,,
p04_uppercut_left_main_021,0.221458916,0.452195978,0.302886039,0.316836883,0.240414251,0.207911095,0.048929934,0.047725597,0.047619349,0.49243785,0.848774148,0.741873259,,
p04_uppercut_left_main_022,0.214576129,0.461655553,0.349809158,0.321275592,0.238701054,0.249555362,0.048458781,0.047698281,0.047625242,0.580563841,0.854496197,0.77231649,,
p04_uppercut_left_main_023,0.200872429,0.454101421,0.318624866,0.319776544,0.249061139,0.246736444,0.04905543,0.047696889,0.047620647,0.528509957,0.871517625,0.768615324,,
p04_uppercut_left_main_024,0.196151112,0.451266357,0.337271606,0.305918446,0.232098178,0.244744753,0.048582464,0.047686862,0.047620996,0.535557695,0.847098491,0.753636252,,
p04_uppercut_left_main_025,0.209553495,0.466650031,0.326407313,0.312187838,0.229437225,0.236274703,0.048735569,0.048093463,0.04763868,0.503929503,0.87748719,0.765419884,,
p04_uppercut_left_main_026,0.198841223,0.449579985,0.302076588,0.341665504,0.240370921,0.256757748,0.048993617,0.047726341,0.047621464,0.545706793,0.858352034,0.764558462,,
p04_uppercut_left_main_027,0.1885179,0.420063478,0.350181943,0.316567582,0.224643491,0.232956763,0.048330318,0.047679977,0.04762276,0.527366808,0.839450617,0.745825475,,
p04_uppercut_left_main_028,0.200813069,0.445710333,0.338553421,0.344278091,0.248381098,0.243502273,0.048533253,0.047699514,0.047619635,0.562088359,0.875356758,0.781376238,,
p04_uppercut_left_main_029,0.220842787,0.461698558,0.323909482,0.30558642,0.223950229,0.244982994,0.048613619,0.048025677,0.04767784,0.513320221,0.867162184,0.761009595,,
p04_uppercut_left_main_030,0.143514245,0.377400921,0.253969329,0.275717586,0.165574857,0.172253397,0.048453918,0.047671821,0.047619126,0.541835729,0.531763042,0.534784848,,
p04_uppercut_left_post_001,0.216168223,0.438342308,0.280016361,0.276241855,0.215573199,0.200891197,0.047888062,0.047668722,0.047619252,0.432694973,0.81117047,0.697627821,,
p04_uppercut_left_post_002,0.206195939,0.455742613,0.314858206,0.301019523,0.234868557,0.223621148,0.048343004,0.047713782,0.047639982,0.470760297,0.874336553,0.753263676,,
p04_uppercut_left_post_003,0.208138559,0.448853379,0.294773888,0.30654948,0.231808107,0.209397987,0.048685519,0.047815055,0.047665956,0.455171034,0.855327942,0.73528087,,
p04_uppercut_left_post_004,0.193492262,0.459140863,0.291385555,0.328699591,0.251119485,0.205968025,0.048694557,0.047694966,0.047621679,0.488210689,0.855616886,0.745395027,,
p04_uppercut_left_post_005,0.203865957,0.452155877,0.311465878,0.287500531,0.229251061,0.227919674,0.048493402,0.047809068,0.047626646,0.46073829,0.863504228,0.742674447,,
p04_uppercut_left_post_006,0.202347085,0.447370737,0.255152489,0.287330514,0.21604392,0.225315679,0.048745586,0.047718364,0.047619502,0.457988378,0.794635296,0.69364122,,
p04_uppercut_left_post_007,0.193382365,0.430449741,0.29759013,0.312059756,0.221657856,0.195232561,0.048468807,0.047703723,0.047622341,0.481562935,0.796578346,0.702073723,,
p04_uppercut_left_post_008,0.204430536,0.449571573,0.312538474,0.324225295,0.236182825,0.207724431,0.048616966,0.047715427,0.047620759,0.495356522,0.851443185,0.744617186,,
p04_uppercut_left_post_009,0.205281753,0.439813651,0.309709776,0.2944542,0.22080585,0.203778174,0.048238353,0.047657222,0.04761945,0.512973681,0.781393245,0.700867376,,
p04_uppercut_left_post_010,0.218942015,0.447984729,0.325531707,0.280125859,0.226360944,0.207730458,0.048449799,0.047777908,0.047627835,0.479450987,0.836006009,0.729039503,,
p04_uppercut_left_pre_001,0.180062036,0.280246418,0.284555435,0.248033939,0.137227678,0.093531457,0.050083086,0.047789578,0.047619048,0.428088448,0.521573016,0.493527646,,
p04_uppercut_left_pre_002,0.154935445,0.27870475,0.299879432,0.270813604,0.130058819,0.066346762,0.049570512,0.04774182,0.047619048,0.415771785,0.530772925,0.496272583,,
p04_uppercut_left_pre_003,0.159860063,0.220776181,0.234284079,0.190776221,0.134507988,0.071085442,0.04880459,0.047736971,0.047619052,0.372102605,0.396096296,0.388898188,,
p04_uppercut_left_pre_004,0.155033876,0.26285272,0.277848061,0.261470114,0.147233637,0.066225508,0.049344647,0.047770755,0.047619048,0.417043197,0.502934146,0.477166861,,
