uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p04_uppercut_right_main_001,0.261561263,0.420685827,0.318495384,0.282581431,0.145665906,0.190648772,0.063107828,0.05699657,0.047619855,0.545581603,0.654292112,0.621678959,0.663186642,-0.007497229
p04_uppercut_right_main_002,0.229683787,0.397188415,0.269572152,0.242538187,0.177029575,0.172851656,0.057964789,0.048083554,0.04762097,0.42813287,0.679788055,0.604291499,0.635099143,
p04_uppercut_right_main_003,0.203123623,0.424885408,0.285173959,0.24739036,0.191287531,0.161326175,0.057398951,0.048206268,0.047652149,0.436265227,0.69462249,0.617115311,0.642596372,
p04_uppercut_right_main_004,0.215343957,0.390031297,0.271129811,0.269190728,0.175172586,0.157595741,0.055167688,0.048013571,0.0476263,0.433215394,0.678000113,0.604564697,,
p04_uppercut_right_main_005,0.217929646,0.405571459,0.275429497,0.280284414,0.175466493,0.199099573,0.056677913,0.049631176,0.047646168,0.470424978,0.705445377,0.634939257,,
p04_uppercut_right_main_006,0.210759129,0.438965841,0.301215853,0.258467703,0.19928515,0.184345373,0.054124381,0.048132656,0.047751017,0.465165151,0.739722527,0.657355314,,
p04_uppercut_right_main_007,0.215158448,0.425393489,0.330287388,0.278377249,0.167001665,0.205661856,0.058559747,0.05354159,0.047621008,0.50407551,0.723300243,0.657532823,,
p04_uppercut_right_main_008,0.212965551,0.43897537,0.309757798,0.26675765,0.196877922,0.157777553,0.053972538,0.048053434,0.04770817,0.466156358,0.727528794,0.649117063,,
p04_uppercut_right_main_009,0.237869112,0.487870346,0.336663672,0.296983194,0.196679747,0.215145789,0.060609363,0.057170947,0.047985968,0.509420395,0.820206769,0.726970856,,
p04_uppercut_right_main_010,0.196650109,0.430891564,0.312344112,0.284372784,0.160084085,0.198112203,0.060558917,0.056263278,0.047630604,0.528736452,0.659898843,0.620550125,,
p04_uppercut_right_main_011,0.241961063,0.467960882,0.342654212,0.318936323,0.196538182,0.199455154,0.05878082,0.055363937,0.04824627,0.524121608,0.812214049,0.725786317,,
p04_uppercut_right_main_012,0.229630787,0.479153148,0.356884287,0.302720413,0.187977124,0.211236806,0.06494505,0.058267987,0.047646722,0.542796125,0.78577408,0.712880694,,
p04_uppercut_right_main_013,0.225696784,0.467686104,0.323450583,0.306080588,0.197661112,0.200319819,0.060847349,0.055743361,0.047719254,0.497769881,0.798057577,0.707971268,,
p04_uppercut_right_main_014,0.237424155,0.488709934,0.341344094,0.298790504,0.202720821,0.225209163,0.060604855,0.057952733,0.048475265,0.519444097,0.833568087,0.73933089,,
p04_uppercut_right_main_015,0.227859546,0.438553005,0.323947018,0.307191588,0.185928496,0.199208425,0.052538382,0.049755989,0.047725552,0.502591681,0.787881051,0.70229424,,
p04_uppercut_right_main_016,0.233187423,0.446139551,0.342424066,0.302643507,0.193625552,0.214197454,0.060074404,0.055288926,0.047646242,0.515786305,0.800796908,0.715293727,,
p04_uppercut_right_main_017,0.228643032,0.41420353,0.330630894,0.307428305,0.18293891,0.169505064,0.05670438,0.047959224,0.047630767,0.480808228,0.766723126,0.680948656,,
p04_uppercut_right_main_018,0.23899669,0.47498862,0.326666768,0.301924486,0.187491856,0.213310891,0.055488035,0.050157552,0.047797738,0.503359358,0.817603129,0.723329998,,
p04_uppercut_right_main_019,0.211123147,0.46935212,0.323299793,0.287103857,0.180378922,0.227559588,0.060558966,0.052538048,0.047630903,0.523658672,0.759833493,0.688981047,,
p04_uppercut_right_main_020,0.231296752,0.468565028,0.333978006,0.268534885,0.211432613,0.20775429,0.053028518,0.048370454,0.049066076,0.493405514,0.816404607,0.719504879,,
p04_uppercut_right_main_021,0.181789974,0.424870396,0.308601048,0.272885424,0.155974647,0.165679551,0.057845395,0.051939674,0.047623499,0.534461651,0.599868338,0.580246332,,
p04_uppercut_right_main_022,0.223431534,0.485369298,0.337912473,0.321092937,0.198411445,0.185479363,0.058819419,0.055408698,0.047681111,0.518560738,0.804642815,0.718818192,,
p04_uppercut_right_main_023,0.207487441,0.412953586,0.26241668,0.286571669,0.168336153,0.15927646,0.05814026,0.050914327,0.04763401,0.432021771,0.687401646,0.610787684,,
p04_uppercut_right_main_024,0.187311183,0.439353507,0.326211775,0.304106463,0.19147782,0.170032904,0.053337272,0.047937519,0.047708144,0.520455954,0.719788248,0.65998856,,
p04_uppercut_right_main_025,0.177672843,0.426582322,0.275771951,0.27330498,0.181645428,0.135486723,0.056252921,0.047839389,0.047626353,0.45179596,0.649425661,0.59013675,,
p04_uppercut_right_main_026,0.203096956,0.437666065,0.315615616,0.279039733,0.181384429,0.139359206,0.05586435,0.047791924,0.047629522,0.477264083,0.693794512,0.628835383,,
p04_uppercut_right_main_027,0.182387696,0.411013486,0.280724866,0.252519032,0.15881739,0.133543862,0.054979506,0.048038425,0.047628961,0.449781806,0.605742055,0.55895398,,
p04_uppercut_right_main_028,0.228665493,0.462096241,0.335788217,0.286521735,0.186911456,0.183307927,0.062466674,0.057633936,0.047642211,0.501072147,0.755875697,0.679434632,,
p04_uppercut_right_main_029,0.218676108,0.472910626,0.338323772,0.284133786,0.199493129,0.195942777,0.060855211,0.054648378,0.047716686,0.491318811,0.795168762,0.704013777,,
p04_uppercut_right_main_030,0.210751891,0.439878266,0.27098295,0.242908089,0.227054268,0.162229919,0.065547001,0.049076388,0.047808654,0.38207236,0.77046379,0.653946361,,
p04_uppercut_right_post_001,0.290771195,0.460533989,0.320276393,0.307260504,0.191623436,0.200465416,0.057266155,0.0538101,0.047699472,0.511081809,0.817764655,0.725759801,,
p04_uppercut_right_post_002,0.257234739,0.428941105,0.32145574,0.298391059,0.200630534,0.191575077,0.058640069,0.052763117,0.04783162,0.460474232,0.822926937,0.714191126,,
p04_uppercut_right_post_003,0.208296442,0.440403635,0.305624172,0.270502884,0.17565909,0.173855198,0.060003328,0.052952328,0.047636089,0.487397626,0.687289958,0.627322259,,
p04_uppercut_right_post_004,0.242410593,0.473012625,0.339959035,0.334553042,0.195348563,0.215630641,0.061837985,0.056373573,0.047645835,0.563613598,0.800419926,0.729378028,,
p04_uppercut_right_post_005,0.17091042,0.411464099,0.263920979,0.274570161,0.149900781,0.181977882,0.058068785,0.050202552,0.047620345,0.49285683,0.59436827,0.563914838,,
p04_uppercut_right_post_006,0.1944136,0.441297664,0.315960938,0.277733108,0.1779352,0.190698549,0.064203577,0.057692495,0.047629592,0.517623758,0.677449324,0.629501654,,
p04_uppercut_right_post_007,0.239763865,0.440490207,0.3010964,0.305655002,0.177215751,0.184819133,0.056599657,0.048044906,0.047724701,0.455407359,0.790597801,0.690040668,,
p04_uppercut_right_post_008,0.202407785,0.386793782,0.252723882,0.264434845,0.170032575,0.162291411,0.055657395,0.048008081,0.047622748,0.397402151,0.682498753,0.596969772,,
p04_uppercut_right_post_009,0.200755021,0.388556356,0.260212656,0.263718074,0.163787723,0.17604065,0.055478863,0.048142401,0.04762287,0.421404172,0.671737165,0.596637267,,
p04_uppercut_right_post_010,0.141532493,0.386891642,0.251105893,0.244869229,0.1333018,0.145200657,0.060199976,0.054734519,0.047619515,0.48613966,0.473477316,0.477276019,,
p04_uppercut_right_pre_001,0.311256804,0.427132812,0.290102978,0.31740738,0.181563112,0.223748777,0.059282856,0.052704224,0.047888193,0.523087464,0.787510277,0.708183433,,
p04_uppercut_right_pre_002,0.155250247,0.336575962,0.188357241,0.112053938,0.092304348,0.163379636,0.053329916,0.049177408,0.047619173,0.491954758,0.24466417,0.318851346,,
p04_uppercut_right_pre_003,0.279677416,0.389717552,0.304880803,0.287706441,0.161018372,0.188053326,0.056274674,0.048206365,0.047621495,0.54539919,0.666199553,0.629959444,,
p04_uppercut_right_pre_004,0.263569053,0.420379334,0.257827265,0.24213699,0.168490484,0.204753718,0.052128932,0.047931859,0.047627147,0.485246803,0.667961613,0.61314717,,
p04_uppercut_right_pre_005,0.287529102,0.457545013,0.318502742,0.256301262,0.201117174,0.200976554,0.052589756,0.048622423,0.047804216,0.480589503,0.80787424,0.709688819,,
p04_uppercut_right_pre_006,0.295754064,0.406104227,0.332287168,0.265976175,0.198318433,0.233998737,0.053571386,0.048056472,0.047663925,0.507351027,0.813340614,0.721543738,,
p04_uppercut_right_pre_007,0.272042313,0.383840365,0.286007809,0.292351599,0.158750871,0.188557216,0.05470145,0.047873777,0.047630668,0.48324949,0.702783635,0.636923392,,
p04_uppercut_right_pre_008,0.291573631,0.444100808,0.288509863,0.27020408,0.205087023,0.170666874,0.053264384,0.048620338,0.047680997,0.470750139,0.770269291,0.680413546,,
p04_uppercut_right_pre_009,0.283768925,0.450410516,0.288479385,0.273561289,0.198614034,0.179454779,0.05063571,0.048856011,0.047738892,0.460706142,0.787085667,0.689171809,,
p04_uppercut_right_pre_010,0.286606559,0.465385729,0.297732823,0.319793637,0.207908661,0.183418996,0.055176064,0.052555474,0.047773474,0.509175014,0.807612175,0.718081027,,
AVG,0.228073188,0.434560843,0.303854457,0.279811254,0.181387168,0.186004465,0.057494636,0.051440967,0.047736942,0.488012628,0.724353286,0.653451089,,
