uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p04_uppercut_right_main_001,0.247924269,0.431019244,0.297368829,0.263243245,0.139818924,0.178411104,0.060073467,0.054846897,0.047619382,0.552310219,0.590152311,0.261000455,0.260581083,Main
p04_uppercut_right_main_002,0.178603609,0.370076666,0.246428199,0.227058196,0.123596065,0.147042742,0.055323206,0.048050587,0.047620131,0.42531868,0.522621224,0.219786766,0.250158966,Post
p04_uppercut_right_main_003,0.197018385,0.43095152,0.254888704,0.242949277,0.182089849,0.174916941,0.056449724,0.048010319,0.047651357,0.460484853,0.640352552,0.250589761,0.261833179,Pre
p04_uppercut_right_main_004,0.170699445,0.387827671,0.22026547,0.257598982,0.143831578,0.151762968,0.054753164,0.047939523,0.047620013,0.410758397,0.57900077,0.228014373,,
p04_uppercut_right_main_005,0.172688034,0.40325984,0.245906157,0.27043742,0.14709806,0.185373048,0.054628285,0.048423981,0.047626487,0.464330363,0.609353103,0.244872444,,
p04_uppercut_right_main_006,0.204243248,0.449882406,0.274801604,0.259778078,0.191123475,0.175590128,0.054197735,0.048025608,0.047688195,0.469771076,0.69491378,0.262919279,,
p04_uppercut_right_main_007,0.173439072,0.406074527,0.284576868,0.269736832,0.137846767,0.169393174,0.053550759,0.051412451,0.047619298,0.477870514,0.602652376,0.24662108,,
p04_uppercut_right_main_008,0.205014697,0.444453472,0.278538649,0.267729522,0.188924107,0.169756321,0.052117233,0.047915075,0.047676228,0.485158443,0.682036991,0.262980794,,
p04_uppercut_right_main_009,0.224954447,0.44330658,0.332125424,0.290489247,0.189019458,0.205641956,0.059312904,0.052514301,0.047841662,0.481580621,0.793491006,0.286948099,,
p04_uppercut_right_main_010,0.157494545,0.387441529,0.290347285,0.268505628,0.126772418,0.165189471,0.05691272,0.050596052,0.04762314,0.511022163,0.537961053,0.240823026,,
p04_uppercut_right_main_011,0.230642112,0.439005793,0.321145968,0.327414377,0.189437475,0.186706797,0.05596938,0.052975146,0.047957656,0.509187026,0.777179672,0.288653776,,
p04_uppercut_right_main_012,0.21370171,0.441427704,0.342599848,0.296160274,0.177554827,0.197282699,0.060994323,0.054264959,0.047634311,0.524415,0.735223936,0.284506506,,
p04_uppercut_right_main_013,0.216819329,0.470564629,0.311415313,0.303840271,0.193040167,0.194821929,0.058994963,0.05541479,0.047676661,0.511020923,0.757704055,0.286162278,,
p04_uppercut_right_main_014,0.232954263,0.507378606,0.332802226,0.307872395,0.204021665,0.216813241,0.059366095,0.056947571,0.048036192,0.51847648,0.835421605,0.303649589,,
p04_uppercut_right_main_015,0.193372044,0.416424967,0.305272865,0.300592304,0.15714783,0.183000581,0.050048889,0.049244167,0.047622472,0.500243064,0.688544529,0.267140624,,
p04_uppercut_right_main_016,0.200435685,0.445722813,0.325061815,0.30265358,0.176023256,0.19304106,0.05601869,0.052235152,0.047630865,0.510441952,0.740285338,0.281322399,,
p04_uppercut_right_main_017,0.18262108,0.415742473,0.232158181,0.303185871,0.159596792,0.178959097,0.054962211,0.047785922,0.047621442,0.425110063,0.686263244,0.252348576,,
p04_uppercut_right_main_018,0.201647618,0.444528067,0.307016737,0.298338672,0.166596463,0.201242917,0.053688719,0.049680397,0.04768852,0.467201,0.767914148,0.277234557,,
p04_uppercut_right_main_019,0.171543679,0.408913694,0.296089971,0.274563856,0.157608186,0.199296325,0.055208204,0.050312186,0.04762139,0.494098599,0.651999852,0.259848046,,
p04_uppercut_right_main_020,0.228095933,0.481350829,0.314891225,0.289149876,0.211062688,0.198071047,0.052038975,0.048106979,0.04829567,0.495515138,0.811918485,0.29117505,,
p04_uppercut_right_main_021,0.163317846,0.374991046,0.288741019,0.261114201,0.139535235,0.151667798,0.055052161,0.050223464,0.047620861,0.519833138,0.521882353,0.238922395,,
p04_uppercut_right_main_022,0.187863712,0.416873677,0.306370888,0.316278214,0.163322718,0.167167145,0.056090319,0.052412418,0.047639525,0.504643988,0.678728097,0.267902869,,
p04_uppercut_right_main_023,0.166498374,0.370575905,0.213624618,0.264132542,0.134131478,0.134496092,0.055205529,0.048827582,0.047620282,0.424869018,0.524368084,0.220178099,,
p04_uppercut_right_main_024,0.182407413,0.451901057,0.298339952,0.293136444,0.18083286,0.15267584,0.052712802,0.047917281,0.047698653,0.507167026,0.670579396,0.265215032,,
