uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p05_uppercut_right_main_001,0.184780614,0.378394453,0.210478507,0.236978228,0.198921516,0.233806748,0.05372644,0.047833022,0.047636277,0.413844347,0.680457059,0.600473245,0.646075877,-0.001557014
p05_uppercut_right_main_002,0.224511272,0.365972321,0.204607828,0.197543998,0.222792719,0.229787048,0.053061448,0.047819841,0.047620663,0.441187185,0.640102061,0.580427598,0.649671858,
p05_uppercut_right_main_003,0.169936655,0.412437385,0.254617708,0.218376567,0.264039086,0.249463079,0.051210241,0.048214844,0.047624108,0.5197323,0.682968864,0.633997895,0.651228872,
p05_uppercut_right_main_004,0.197843787,0.411314603,0.208151257,0.2041469,0.209453162,0.255294541,0.053938816,0.047804028,0.047620382,0.474096335,0.633768511,0.585866858,,
p05_uppercut_right_main_005,0.135117947,0.365656481,0.249540764,0.212426914,0.219208648,0.21332107,0.051546954,0.048992607,0.047620209,0.49972189,0.567785945,0.547366728,,
p05_uppercut_right_main_006,0.209478474,0.445988219,0.253991942,0.241550991,0.257291387,0.260264437,0.054122489,0.047799978,0.047630672,0.458172876,0.808331465,0.703283888,,
p05_uppercut_right_main_007,0.2398128,0.407401381,0.254322177,0.272298648,0.285486234,0.266758298,0.054155506,0.047858437,0.047688577,0.48723277,0.843795761,0.736826864,,
p05_uppercut_right_main_008,0.177805349,0.412686555,0.234007465,0.278335789,0.223789414,0.253904274,0.055046026,0.047893675,0.047660685,0.461162975,0.748822495,0.662524639,,
p05_uppercut_right_main_009,0.22902233,0.406394096,0.235316668,0.286387681,0.272188137,0.259462129,0.054008761,0.047962145,0.047641737,0.480867562,0.81705835,0.716201114,,
p05_uppercut_right_main_010,0.216268618,0.38996792,0.213991564,0.237706524,0.22020875,0.252243208,0.05423828,0.047850035,0.04762085,0.467559793,0.689050001,0.622602939,,
p05_uppercut_right_main_011,0.169123637,0.422462925,0.288321329,0.261485748,0.256790982,0.223972074,0.051839175,0.048507659,0.04762487,0.511006498,0.738710956,0.670399618,,
p05_uppercut_right_main_012,0.22581864,0.396517561,0.211186693,0.226445543,0.227416441,0.250057973,0.054255732,0.047798277,0.047619623,0.462369071,0.694699649,0.625000475,,
p05_uppercut_right_main_013,0.162877993,0.41283912,0.257033435,0.268820367,0.244272139,0.225410662,0.051585576,0.048863852,0.047623625,0.501163796,0.707195195,0.645385775,,
p05_uppercut_right_main_014,0.23291396,0.410604252,0.271153795,0.270288099,0.228490975,0.258545,0.053494237,0.047798016,0.047621028,0.46543171,0.813462935,0.709053568,,
p05_uppercut_right_main_015,0.174939969,0.418144112,0.310341686,0.275990384,0.255094674,0.221063742,0.051267153,0.04789546,0.047627571,0.539107214,0.745366245,0.683488535,,
p05_uppercut_right_main_016,0.254936784,0.410928988,0.23483392,0.239701875,0.245280775,0.254481161,0.052960765,0.047921132,0.047675859,0.459081432,0.780182612,0.683852258,,
p05_uppercut_right_main_017,0.191999593,0.44901143,0.291344285,0.296853278,0.285953754,0.226739794,0.052413237,0.049483386,0.047936097,0.508121554,0.836276111,0.737829744,,
p05_uppercut_right_main_018,0.170124003,0.405641127,0.324549567,0.288787294,0.25609381,0.20909396,0.051105803,0.048959062,0.047635647,0.524109933,0.763870218,0.691942132,,
p05_uppercut_right_main_019,0.124234236,0.359391742,0.255457547,0.204939111,0.210323205,0.189185611,0.052269805,0.047933375,0.047619837,0.483988591,0.539777498,0.523040826,,
p05_uppercut_right_main_020,0.151444662,0.390155217,0.247595073,0.246355424,0.204545647,0.206618487,0.051273988,0.048523564,0.047621426,0.461699603,0.638966866,0.585786687,,
p05_uppercut_right_main_021,0.219156502,0.391308191,0.211554088,0.220237668,0.221704341,0.259119492,0.054870623,0.047978777,0.047620036,0.440250083,0.70599933,0.626274556,,
p05_uppercut_right_main_022,0.182989466,0.430251131,0.293668125,0.256786555,0.268002845,0.219503725,0.051192935,0.049752297,0.0476207,0.439682975,0.826585024,0.71051441,,
p05_uppercut_right_main_023,0.239326759,0.402818273,0.230194266,0.237134306,0.215835938,0.263880583,0.05297501,0.047817583,0.047621552,0.44275057,0.765979116,0.669010552,,
