Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.033461,0.90611,-0.025713,0.420933,-2.859114,84.837029,17.19805,0.003519,0.906479,0.086495,0.413282,-2.26307,92.054871,17.06456,-0.012097,0.910551,0.01994,0.412738,-3.196065,106.168732,19.353138,0.048581,0.951548,-0.059221,0.297809,-3.845117,123.013115,19.797077,0.059132,0.981739,-0.043903,0.175397,-1.105102,136.294449,17.209141,0.031478,0.843131,0.124938,0.522044,-6.426507,117.279099,17.316919,0.328557,-0.510631,0.101503,-0.788038,-14.334101,120.483055,2.086233,0.224007,0.364622,-0.405729,-0.807623,-4.954203,110.332657,-13.033146,0.331101,0.459693,-0.324081,-0.757645,4.387873,129.223816,-3.637695,-0.137192,0.939037,0.074614,0.306301,-1.770739,117.318466,22.630554,0.438116,0.844427,0.217719,-0.218167,11.75397,121.018578,33.030582,0.161207,0.16862,0.51924,-0.822173,22.424597,107.807907,21.575245,0.20175,0.027978,0.665204,-0.718344,14.348536,123.792412,12.684088,0.080927,0.878968,0.119916,0.454407,-8.542652,85.181465,10.444296,0.099526,0.960996,0.008122,0.257906,-9.736853,50.803448,0.241806,-0.027761,0.922691,0.016573,0.384182,-18.270931,6.10053,-2.811789,-0.109371,0.860683,-0.067138,0.492701,2.824425,84.492584,23.951805,-0.043908,0.782974,-0.121246,0.608542,7.205709,49.794582,31.965374,-0.022475,0.844396,0.02705,0.534564,3.611035,5.698967,43.063152,-0.027761,0.922691,0.016573,0.384182,-8.5217,1.058524,-12.196759,-0.022475,0.844396,0.02705,0.534564,15.941087,0.894954,37.280567
1,0.008333,0.033326,0.906187,-0.025947,0.420763,-2.874393,84.836945,17.219633,0.002887,0.90671,0.08572,0.412942,-2.278719,92.054749,17.082148,-0.011637,0.910779,0.019629,0.412264,-3.218544,106.179428,19.344742,0.04839,0.951648,-0.059939,0.297374,-3.848912,123.024597,19.785892,0.059263,0.981753,-0.043994,0.175252,-1.110026,136.301941,17.176346,0.031684,0.843352,0.124381,0.521807,-6.439134,117.29287,17.309662,0.328419,-0.511127,0.10195,-0.787716,-14.354891,120.49192,2.082191,0.224115,0.364052,-0.405535,-0.807948,-4.999483,110.324669,-13.041024,0.331522,0.458967,-0.324299,-0.757808,4.369592,129.211777,-3.660835,-0.13679,0.939265,0.074018,0.305927,-1.777684,117.328278,22.618341,0.438164,0.844514,0.217311,-0.218139,11.758862,121.023643,33.004642,0.161427,0.168761,0.519263,-0.822087,22.428244,107.80584,21.556393,0.202191,0.028065,0.665262,-0.718163,14.355144,123.786613,12.656625,0.080739,0.878867,0.120142,0.454576,-8.560614,85.17762,10.467947,0.099611,0.961076,0.008301,0.25757,-9.733523,50.801338,0.257166,-0.027719,0.922701,0.016694,0.384157,-18.271776,6.100228,-2.811167,-0.109648,0.860938,-0.067366,0.492163,2.811828,84.496277,23.971319,-0.043499,0.783589,-0.120985,0.607831,7.206743,49.80481,32.005726,-0.022526,0.844442,0.027025,0.534491,3.607645,5.700165,43.066147,-0.027719,0.922701,0.016694,0.384157,-8.52305,1.060755,-12.198021,-0.022526,0.844442,0.027025,0.534491,15.937026,0.896324,37.281982
2,0.016667,0.033125,0.906239,-0.026176,0.420651,-2.886495,84.840347,17.241274,0.00262,0.9069,0.084966,0.412683,-2.29208,92.058167,17.09948,-0.011499,0.910948,0.019245,0.411911,-3.229356,106.187668,19.339931,0.048488,0.951708,-0.06045,0.297062,-3.849984,123.03344,19.771442,0.059167,0.981794,-0.044144,0.175016,-1.105909,136.307053,17.148417,0.031946,0.843669,0.123911,0.52139,-6.445327,117.301682,17.300674,0.328325,-0.511625,0.102365,-0.787377,-14.375692,120.498466,2.080329,0.22428,0.363429,-0.405394,-0.808253,-5.044625,110.314491,-13.046679,0.332244,0.458036,-0.324721,-0.757874,4.350455,129.197861,-3.686465,-0.136794,0.939493,0.073892,0.305254,-1.779731,117.337669,22.605701,0.438577,0.844477,0.217038,-0.217725,11.771139,121.037315,32.971783,0.161896,0.168693,0.519352,-0.821952,22.4331,107.799782,21.539423,0.202503,0.028257,0.665506,-0.717841,14.361747,123.78006,12.63133,0.080694,0.878675,0.120424,0.45488,-8.57461,85.17617,10.490943,0.099433,0.961311,0.00833,0.25676,-9.731734,50.804234,0.26374,-0.027669,0.922929,0.016828,0.383605,-18.256426,6.099934,-2.795792,-0.109986,0.861087,-0.067674,0.491785,2.80162,84.504524,23.991606,-0.042972,0.784414,-0.120643,0.606872,7.209577,49.821369,32.054695,-0.022477,0.844405,0.026983,0.534553,3.605597,5.70502,43.066715,-0.027669,0.922929,0.016828,0.383605,-8.518916,1.062937,-12.195607,-0.022477,0.844405,0.026983,0.534553,15.93519,0.899502,37.284409
3,0.025,0.032938,0.906267,-0.026314,0.420599,-2.896837,84.841248,17.261282,0.00213,0.90708,0.084254,0.412436,-2.304038,92.059143,17.116505,-0.011097,0.911132,0.01879,0.411536,-3.245278,106.196121,19.333698,0.048627,0.951737,-0.060918,0.296851,-3.847057,123.042786,19.757071,0.058903,0.981799,-0.044478,0.174997,-1.096666,136.31279,17.122414,0.032233,0.84401,0.123313,0.520963,-6.450767,117.312599,17.291431,0.328016,-0.512362,0.102927,-0.786954,-14.396032,120.505463,2.078028,0.224356,0.362676,-0.405178,-0.808679,-5.100602,110.301712,-13.057595,0.333316,0.456852,-0.32561,-0.757737,4.329013,129.180893,-3.716322,-0.136616,0.939649,0.073421,0.304967,-1.780672,117.346207,22.592522,0.43891,0.844473,0.216674,-0.217428,11.778016,121.046516,32.948143,0.162156,0.169015,0.519542,-0.821715,22.433277,107.791641,21.529642,0.202603,0.028504,0.665651,-0.717669,14.374021,123.769615,12.605795,0.080596,0.878333,0.120696,0.455486,-8.585954,85.173103,10.511594,0.099834,0.961048,0.00837,0.257586,-9.720837,50.804745,0.2699,-0.027665,0.922641,0.016622,0.384306,-18.276783,6.107807,-2.80985,-0.110261,0.861169,-0.067848,0.491556,2.792278,84.509399,24.010969,-0.042592,0.784944,-0.120398,0.606262,7.212864,49.832283,32.093113,-0.022853,0.844486,0.026793,0.534418,3.603937,5.707592,43.070045,-0.027665,0.922641,0.016622,0.384306,-8.525801,1.066031,-12.19313,-0.022853,0.844486,0.026793,0.534418,15.933972,0.90322,37.287716
4,0.033333,0.032686,0.906275,-0.026453,0.420592,-2.901754,84.842278,17.281372,0.001776,0.907256,0.083501,0.412203,-2.311415,92.060303,17.133226,-0.010951,0.911298,0.018468,0.411186,-3.25255,106.203201,19.327387,0.048327,0.95182,-0.061666,0.29648,-3.845213,123.050377,19.743122,0.059093,0.981815,-0.044495,0.174838,-1.098303,136.316513,17.085436,0.033039,0.84502,0.121947,0.519595,-6.453814,117.320374,17.282251,0.328368,-0.512706,0.103001,-0.786574,-14.446963,120.507492,2.092752,0.225054,0.361622,-0.404856,-0.809118,-5.166586,110.290955,-13.043483,0.334075,0.455893,-0.325845,-0.757879,4.306788,129.160172,-3.747303,-0.136249,0.939835,0.072932,0.304677,-1.779612,117.35408,22.579714,0.439285,0.844424,0.216393,-0.217143,11.788748,121.049179,32.924522,0.162368,0.169336,0.519826,-0.821427,22.435579,107.777176,21.518055,0.202822,0.028963,0.665847,-0.717407,14.391769,123.756409,12.578593,0.080598,0.878099,0.120971,0.455865,-8.591261,85.169067,10.53177,0.099925,0.961029,0.008353,0.25762,-9.712603,50.805481,0.272589,-0.027486,0.922642,0.016707,0.384313,-18.276686,6.110162,-2.808099,-0.110434,0.861097,-0.067886,0.491638,2.787752,84.51548,24.030973,-0.042276,0.785365,-0.120213,0.605775,7.216702,49.841492,32.121918,-0.022818,0.84446,0.02676,0.534463,3.602427,5.710274,43.070824,-0.027486,0.922642,0.016707,0.384313,-8.527037,1.068576,-12.192858,-0.022818,0.84446,0.02676,0.534463,15.932584,0.904613,37.289841
5,0.041667,0.032558,0.906265,-0.026675,0.42061,-2.914303,84.843079,17.298878,0.001511,0.907431,0.082787,0.411962,-2.324296,92.06105,17.147049,-0.010752,0.911478,0.018065,0.410812,-3.263495,106.21022,19.320349,0.048481,0.951901,-0.062152,0.296092,-3.844296,123.058044,19.726709,0.059072,0.981875,-0.044605,0.174476,-1.09132,136.320374,17.056356,0.033226,0.845419,0.121305,0.519084,-6.458852,117.328384,17.271353,0.328269,-0.513409,0.103449,-0.786098,-14.4701,120.507683,2.089748,0.225229,0.360852,-0.404653,-0.809514,-5.223061,110.271362,-13.053518,0.33482,0.454806,-0.326099,-0.758094,4.284053,129.136276,-3.780183,-0.135966,0.939975,0.072337,0.304513,-1.780239,117.362,22.564924,0.439542,0.844448,0.216295,-0.216628,11.794291,121.055237,32.902298,0.162775,0.169791,0.519919,-0.821194,22.441048,107.768486,21.51293,0.202727,0.029498,0.66639,-0.716907,14.406845,123.740959,12.550608,0.080461,0.877785,0.121191,0.456434,-8.603697,85.166153,10.548999,0.10007,0.960761,0.008259,0.258566,-9.702442,50.804806,0.279841,-0.027841,0.922655,0.016608,0.384262,-18.278307,6.111991,-2.804482,-0.110791,0.861058,-0.06789,0.491626,2.77509,84.519997,24.048754,-0.041934,0.785705,-0.120037,0.605393,7.225722,49.851707,32.152222,-0.022516,0.844455,0.026789,0.534483,3.602051,5.714014,43.071892,-0.027841,0.922655,0.016608,0.384262,-8.526534,1.071758,-12.187767,-0.022516,0.844455,0.026789,0.534483,15.930035,0.904595,37.289383
6,0.05,0.032386,0.906235,-0.026811,0.420678,-2.923627,84.841011,17.315334,0.001249,0.90758,0.082143,0.411763,-2.335029,92.059044,17.160706,-0.01037,0.911645,0.01759,0.410471,-3.273258,106.21579,19.315163,0.048371,0.95197,-0.062629,0.295788,-3.835596,123.064445,19.712414,0.059031,0.981895,-0.044812,0.174328,-1.083054,136.32399,17.027792,0.033513,0.845902,0.120544,0.518456,-6.458197,117.336227,17.2623,0.32834,-0.514359,0.103703,-0.785413,-14.491516,120.508133,2.090819,0.225444,0.359953,-0.404382,-0.80999,-5.286647,110.252258,-13.064903,0.335513,0.453568,-0.326171,-0.758498,4.261233,129.111557,-3.817721,-0.135956,0.940068,0.071651,0.304392,-1.775513,117.36779,22.552282,0.440145,0.844397,0.216012,-0.21588,11.801691,121.068748,32.883381,0.163361,0.170451,0.52025,-0.820731,22.43996,107.752922,21.5201,0.202876,0.029993,0.666226,-0.716997,14.429626,123.716202,12.52608,0.080343,0.877595,0.121449,0.456751,-8.612209,85.160271,10.564592,0.100277,0.960991,0.008357,0.257625,-9.691253,50.802074,0.282837,-0.027601,0.922583,0.016692,0.384448,-18.285782,6.113193,-2.806466,-0.111092,0.860945,-0.067846,0.491761,2.764955,84.521751,24.066076,-0.04161,0.786124,-0.119926,0.604892,7.234131,49.857815,32.177967,-0.02257,0.84447,0.026796,0.534456,3.600503,5.715227,43.074501,-0.027601,0.922583,0.016692,0.384448,-8.532311,1.072559,-12.18777,-0.02257,0.84447,0.026796,0.534456,15.92862,0.906761,37.291492
7,0.058333,0.032259,0.906164,-0.027137,0.42082,-2.934514,84.842636,17.331537,0.000984,0.90771,0.081522,0.411601,-2.345585,92.060532,17.171959,-0.00993,0.911803,0.017148,0.410149,-3.283106,106.221893,19.307655,0.048158,0.952044,-0.06322,0.295459,-3.825661,123.071373,19.697607,0.059112,0.981909,-0.044881,0.174202,-1.075435,136.327713,16.994875,0.033711,0.846406,0.119783,0.517796,-6.456658,117.34507,17.25201,0.3281,-0.515391,0.104255,-0.784763,-14.5134,120.506874,2.090838,0.225445,0.358754,-0.404203,-0.810611,-5.35677,110.227203,-13.077983,0.336072,0.452099,-0.326259,-0.75909,4.238806,129.081375,-3.862285,-0.135976,0.940177,0.071137,0.304166,-1.770118,117.373634,22.538593,0.440802,0.84439,0.21556,-0.215021,11.811707,121.081779,32.861038,0.164087,0.171235,0.520654,-0.820167,22.441446,107.731796,21.529882,0.20316,0.030358,0.666193,-0.716932,14.459172,123.685387,12.496894,0.079992,0.877661,0.121673,0.456628,-8.62113,85.157326,10.578923,0.100727,0.960926,0.00855,0.257687,-9.672125,50.798988,0.294728,-0.027645,0.922369,0.016456,0.384968,-18.300898,6.118655,-2.822614,-0.111314,0.860675,-0.067677,0.492208,2.752101,84.527939,24.08415,-0.041391,0.78642,-0.119799,0.604549,7.236631,49.865898,32.195667,-0.022572,0.844446,0.026715,0.534497,3.59918,5.718857,43.072872,-0.027645,0.922369,0.016456,0.384968,-8.537291,1.072923,-12.190623,-0.022572,0.844446,0.026715,0.534497,15.927464,0.90856,37.291737
8,0.066667,0.032148,0.906127,-0.027325,0.420897,-2.943598,84.841965,17.342436,0.000494,0.90778,0.080982,0.411555,-2.354967,92.059814,17.179762,-0.009296,0.911886,0.016796,0.409994,-3.298928,106.226112,19.296131,0.04803,0.952093,-0.063825,0.295191,-3.817075,123.076401,19.684134,0.059192,0.981926,-0.045033,0.17404,-1.06661,136.329102,16.963865,0.034111,0.84695,0.118876,0.517088,-6.457212,117.353584,17.240232,0.328261,-0.516432,0.104603,-0.783965,-14.538566,120.508507,2.090733,0.225685,0.35755,-0.403946,-0.811204,-5.428911,110.203659,-13.089286,0.336426,0.450752,-0.326142,-0.759784,4.215878,129.050369,-3.91081,-0.135733,0.940296,0.070289,0.304103,-1.768698,117.376068,22.525093,0.441237,0.844466,0.215121,-0.214267,11.816762,121.085945,32.842129,0.164539,0.172061,0.520946,-0.819718,22.444056,107.709,21.540495,0.203378,0.031281,0.666579,-0.716471,14.485044,123.654732,12.471949,0.07974,0.877605,0.121952,0.456704,-8.629188,85.153427,10.588808,0.100922,0.960842,0.008494,0.257926,-9.654232,50.797073,0.295345,-0.027593,0.922355,0.016384,0.385009,-18.30051,6.120253,-2.823829,-0.111499,0.860576,-0.067643,0.492343,2.741991,84.53051,24.096064,-0.041252,0.786483,-0.119654,0.604505,7.237735,49.871109,32.212658,-0.022727,0.844459,0.026646,0.534474,3.599026,5.719871,43.07238,-0.027593,0.922355,0.016384,0.385009,-8.536831,1.072194,-12.190511,-0.022727,0.844459,0.026646,0.534474,15.927977,0.910275,37.292091
9,0.075,0.032113,0.906059,-0.027562,0.42103,-2.953639,84.839981,17.353657,0.000217,0.907888,0.080361,0.411438,-2.363992,92.057678,17.187742,-0.009023,0.912007,0.016444,0.409746,-3.307962,106.23275,19.285765,0.047968,0.952101,-0.064395,0.295053,-3.812727,123.083618,19.666862,0.059369,0.981883,-0.045195,0.174177,-1.060064,136.332642,16.930998,0.034661,0.847538,0.117833,0.516326,-6.458688,117.361816,17.226864,0.328157,-0.517414,0.105295,-0.783268,-14.566215,120.51178,2.09032,0.225801,0.356141,-0.403718,-0.811905,-5.504098,110.17672,-13.097601,0.33645,0.449428,-0.325834,-0.76069,4.196055,129.016068,-3.959751,-0.135391,0.940427,0.06948,0.304039,-1.767233,117.382881,22.509121,0.441397,0.844686,0.214985,-0.213203,11.822835,121.090912,32.820751,0.165307,0.172824,0.520779,-0.819509,22.462944,107.693886,21.555033,0.203454,0.032399,0.667056,-0.715957,14.507386,123.619667,12.447886,0.079473,0.877612,0.122216,0.456667,-8.637287,85.149017,10.598285,0.101129,0.96071,0.008404,0.258337,-9.637204,50.79425,0.297083,-0.027438,0.922315,0.016521,0.38511,-18.302147,6.121093,-2.822748,-0.111659,0.860467,-0.067554,0.492509,2.730011,84.530945,24.10903,-0.041144,0.78664,-0.119561,0.604326,7.237063,49.873234,32.226551,-0.022715,0.844494,0.02662,0.534421,3.598257,5.719146,43.074654,-0.027438,0.922315,0.016521,0.38511,-8.537468,1.074805,-12.189339,-0.022715,0.844494,0.02662,0.534421,15.926254,0.908762,37.292984
