uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p06_uppercut_right_main_001,0.37172484,0.45034851,0.263423371,0.317200697,0.168896089,0.221729537,0.047822329,0.047717167,0.047731762,0.592765693,0.744681908,0.699107044
p06_uppercut_right_main_002,0.364265715,0.447337283,0.30647407,0.339295048,0.171674206,0.185230033,0.048155587,0.051284354,0.048081618,0.564590888,0.787492757,0.720622196
p06_uppercut_right_main_003,0.369542075,0.472736125,0.303994088,0.33191077,0.197825352,0.165320549,0.049182883,0.051083676,0.04806447,0.608583378,0.75693724,0.712431081
p06_uppercut_right_main_004,0.363788142,0.470125453,0.299572895,0.327018794,0.200087221,0.164311414,0.049251305,0.049845411,0.048074101,0.613900837,0.741087968,0.702931829
p06_uppercut_right_main_005,0.338086272,0.472100755,0.280790675,0.301832203,0.182395839,0.141499225,0.048112081,0.051554743,0.047838945,0.484875781,0.771634166,0.685606651
p06_uppercut_right_main_006,0.353990003,0.476451765,0.269088495,0.29534514,0.182393993,0.147123415,0.048191369,0.049942758,0.047692307,0.495243225,0.761765064,0.681808513
p06_uppercut_right_main_007,0.343812651,0.457116301,0.240623494,0.316110395,0.153263088,0.164519917,0.047837931,0.048144004,0.047694264,0.493691448,0.736738587,0.663824445
p06_uppercut_right_main_008,0.345406348,0.491844273,0.278377893,0.305017431,0.186603662,0.151982982,0.04869327,0.053445873,0.047806564,0.515586942,0.767742964,0.692096158
p06_uppercut_right_main_009,0.303439611,0.425864919,0.243646694,0.282305482,0.148487697,0.153791685,0.048091027,0.047670888,0.047619671,0.490418925,0.649819657,0.601999437
p06_uppercut_right_main_010,0.20936127,0.305745778,0.107882674,0.134592332,0.096202742,0.111804516,0.048398742,0.04783117,0.047619065,0.509356254,0.141146906,0.25160971
p06_uppercut_right_main_011,0.334858877,0.478101408,0.264865514,0.297755449,0.184002974,0.148098743,0.047893199,0.048525899,0.047662547,0.483343822,0.769283637,0.683501692
p06_uppercut_right_main_012,0.356746487,0.471952391,0.277530971,0.296408325,0.173973081,0.147925461,0.048353517,0.048310021,0.047640715,0.504342422,0.755516869,0.680164535
p06_uppercut_right_main_013,0.347722245,0.403962572,0.241505309,0.302307561,0.146434281,0.215352793,0.047997508,0.04765945,0.047983933,0.534199964,0.684906509,0.639694545
p06_uppercut_right_main_014,0.365946826,0.491354035,0.279790769,0.282243269,0.205248224,0.165318357,0.055064562,0.049938846,0.047641944,0.520757131,0.779310664,0.701744604
p06_uppercut_right_main_015,0.297438474,0.449399301,0.258741265,0.29867443,0.125207387,0.152071705,0.048004609,0.047668224,0.047619452,0.485583194,0.67092546,0.61532278
p06_uppercut_right_main_016,0.238728345,0.366680189,0.137864086,0.163777716,0.123381071,0.115001788,0.048036486,0.047719852,0.047619076,0.499056262,0.293535736,0.355191894
p06_uppercut_right_main_017,0.349971374,0.461776608,0.240255971,0.306305902,0.164978266,0.201842007,0.048073675,0.047948322,0.048188421,0.539851986,0.727694473,0.671341727
p06_uppercut_right_main_018,0.176429204,0.272362636,0.120118488,0.116349616,0.073528922,0.088548355,0.048377853,0.047867263,0.047619059,0.475821107,0.088109048,0.204422665
p06_uppercut_right_main_019,0.346740488,0.434703814,0.243029251,0.306747993,0.124581579,0.227310684,0.047893458,0.047686529,0.047661176,0.527217891,0.722302577,0.663777171
p06_uppercut_right_main_020,0.234919319,0.395829774,0.17034266,0.114852637,0.171914356,0.117983034,0.054079274,0.048798696,0.047619182,0.510013281,0.320110115,0.377081065
p06_uppercut_right_main_021,0.359024847,0.475926509,0.27532962,0.319701925,0.195292587,0.192787083,0.048455886,0.051818216,0.049209703,0.592773509,0.750558609,0.703223079
p06_uppercut_right_main_022,0.226283141,0.322417212,0.11490766,0.115586071,0.114901187,0.148956742,0.048278158,0.048058344,0.047619048,0.539188533,0.173070629,0.282906
p06_uppercut_right_main_023,0.337209503,0.456963295,0.251490737,0.289750494,0.192762301,0.163978301,0.051263185,0.048158616,0.047656624,0.497241756,0.738265627,0.665958466
