Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.001881,0.863987,0.028262,0.502716,-7.291333,77.175468,24.972504,-0.006419,0.87967,0.045197,0.473388,-7.485891,84.894142,25.364685,-0.007378,0.885635,0.003838,0.464308,-8.46972,103.008545,26.700569,0.212816,0.905779,-0.040433,0.364197,-8.81087,123.517593,26.699486,0.113444,0.965343,-0.083343,0.219767,-1.534888,136.329285,26.515154,-0.014874,0.754794,0.078201,0.651114,-11.549243,117.483376,23.8904,0.189566,-0.497286,0.076811,-0.843132,-14.345158,118.946838,5.726841,0.057835,0.095073,-0.491694,-0.863628,-2.71778,111.454712,-13.339853,0.200777,0.219234,-0.624755,-0.722015,11.230412,135.530579,-10.335769,-0.120485,0.90532,0.053304,0.403781,-7.30598,117.554283,30.026844,0.226918,0.964625,-0.059013,-0.120514,4.582983,120.782509,43.741978,-0.176066,0.495572,0.373921,-0.763932,25.028526,110.135246,38.896145,-0.087782,0.138692,0.671716,-0.722396,19.44759,128.2966,23.664448,0.00657,0.819071,0.30587,0.485307,-11.95398,77.474022,16.783461,0.144243,0.918143,-0.054837,0.364967,-1.966135,49.100731,-0.930138,-0.08376,0.9563,-0.015249,0.279717,-15.687638,6.240481,-1.136774,-0.208301,0.815722,0.135782,0.522276,-2.628686,76.876915,33.161545,0.12643,0.818668,-0.163477,0.535792,14.185217,46.285313,33.024006,-0.052467,0.770656,0.033515,0.634203,-3.014575,5.125847,38.972889,-0.08376,0.9563,-0.015249,0.279717,-7.156149,0.451238,-12.593493,-0.052467,0.770656,0.033515,0.634203,11.515866,0.716766,36.33009
1,0.008333,0.001935,0.86393,0.028293,0.502812,-7.296399,77.178177,24.978737,-0.006293,0.879652,0.045219,0.473422,-7.490512,84.896812,25.371731,-0.007425,0.885626,0.003831,0.464323,-8.47069,103.010475,26.710379,0.212698,0.905794,-0.040442,0.364226,-8.813443,123.519501,26.70813,0.11341,0.965337,-0.083232,0.219854,-1.540229,136.332748,26.522545,-0.014943,0.754705,0.078351,0.651197,-11.551247,117.484901,23.899286,0.189484,-0.497352,0.076758,-0.843116,-14.343102,118.950317,5.73526,0.057693,0.095126,-0.491748,-0.863601,-2.718469,111.4617,-13.334481,0.200696,0.219318,-0.624659,-0.722096,11.226206,135.538834,-10.324248,-0.120567,0.905323,0.053399,0.403735,-7.308201,117.556488,30.035877,0.226912,0.964634,-0.058974,-0.120478,4.581393,120.786156,43.750126,-0.17598,0.495595,0.37391,-0.763942,25.027472,110.139404,38.905411,-0.087433,0.138989,0.671461,-0.722619,19.447903,128.296585,23.672686,0.006523,0.819082,0.305835,0.485311,-11.95722,77.477959,16.7887,0.144234,0.918111,-0.054761,0.365063,-1.967821,49.103119,-0.92153,-0.083785,0.95632,-0.015277,0.279642,-15.68617,6.241894,-1.135569,-0.208319,0.815709,0.135823,0.522279,-2.635578,76.878395,33.168774,0.126417,0.818641,-0.163389,0.535864,14.180681,46.288105,33.029747,-0.052567,0.770643,0.033428,0.634215,-3.014709,5.125782,38.971512,-0.083785,0.95632,-0.015277,0.279642,-7.15625,0.451984,-12.593121,-0.052567,0.770643,0.033428,0.634215,11.516063,0.716667,36.330597
2,0.016667,0.002007,0.863946,0.028277,0.502785,-7.300174,77.180962,24.984867,-0.006271,0.879638,0.045266,0.473443,-7.493191,84.899612,25.378197,-0.007362,0.885608,0.003845,0.46436,-8.473358,103.010468,26.718538,0.212895,0.905742,-0.040258,0.364261,-8.81409,123.519531,26.717991,0.11318,0.965374,-0.083261,0.219796,-1.537737,136.3311,26.539703,-0.015001,0.754745,0.078395,0.651144,-11.552258,117.485443,23.908417,0.18937,-0.497315,0.07663,-0.843175,-14.346598,118.950142,5.744718,0.057627,0.09517,-0.491808,-0.863566,-2.719294,111.469414,-13.326493,0.200683,0.21947,-0.624629,-0.722079,11.221642,135.548279,-10.312724,-0.120653,0.905355,0.053508,0.403624,-7.309708,117.556084,30.045357,0.226875,0.964639,-0.058986,-0.120498,4.58243,120.787369,43.757011,-0.175966,0.495566,0.373892,-0.763973,25.029064,110.142097,38.911385,-0.087318,0.139103,0.671489,-0.722585,19.447567,128.298035,23.679018,0.006546,0.819054,0.305771,0.485398,-11.961498,77.481735,16.795155,0.144232,0.918054,-0.054662,0.365219,-1.973698,49.104206,-0.911668,-0.083707,0.956309,-0.015303,0.279698,-15.688658,6.241956,-1.13615,-0.208322,0.815745,0.135784,0.522231,-2.63885,76.880196,33.174576,0.126425,0.81867,-0.163308,0.535842,14.176231,46.289246,33.036827,-0.052481,0.77067,0.033432,0.634189,-3.015833,5.124709,38.972919,-0.083707,0.956309,-0.015303,0.279698,-7.15829,0.450706,-12.592686,-0.052481,0.77067,0.033432,0.634189,11.514151,0.714009,36.330334
3,0.025,0.002055,0.863943,0.028267,0.502792,-7.302602,77.181358,24.990055,-0.006258,0.879634,0.045372,0.47344,-7.494896,84.900009,25.383631,-0.007348,0.88561,0.003871,0.464356,-8.476494,103.011063,26.727634,0.21281,0.905754,-0.040221,0.364285,-8.817204,123.520126,26.72827,0.113128,0.965366,-0.083224,0.219874,-1.543263,136.333054,26.550236,-0.015103,0.754691,0.078475,0.651195,-11.555406,117.486206,23.918373,0.189268,-0.497311,0.076516,-0.843211,-14.347208,118.95015,5.754219,0.057484,0.095214,-0.49189,-0.863524,-2.718878,111.476257,-13.319047,0.200615,0.219497,-0.624598,-0.722116,11.217062,135.557312,-10.299685,-0.120626,0.905365,0.053478,0.403613,-7.312799,117.556488,30.055281,0.226772,0.964667,-0.058918,-0.120502,4.579885,120.787384,43.76656,-0.175878,0.4956,0.373886,-0.763974,25.028683,110.146881,38.919598,-0.087254,0.139057,0.67147,-0.722619,19.448811,128.300232,23.684778,0.006529,0.818999,0.305842,0.485447,-11.963807,77.482834,16.800299,0.144575,0.917671,-0.054764,0.366031,-1.971515,49.108322,-0.908843,-0.083441,0.956118,-0.015754,0.280407,-15.717188,6.25599,-1.148551,-0.208382,0.81579,0.135681,0.522162,-2.641397,76.879883,33.17981,0.126482,0.818744,-0.163144,0.535765,14.173383,46.288734,33.048698,-0.052441,0.770639,0.033529,0.634225,-3.0147,5.120686,38.971916,-0.083441,0.956118,-0.015754,0.280407,-7.173213,0.451823,-12.588403,-0.052441,0.770639,0.033529,0.634225,11.515781,0.71143,36.329632
4,0.033333,0.002129,0.863935,0.028211,0.502809,-7.305662,77.183212,24.995237,-0.006166,0.879628,0.045371,0.473453,-7.496552,84.901901,25.388645,-0.007434,0.885601,0.003963,0.46437,-8.475241,103.013542,26.734209,0.212528,0.905819,-0.040221,0.364288,-8.820807,123.522522,26.736563,0.113137,0.965357,-0.083101,0.219955,-1.553771,136.339325,26.55547,-0.015104,0.75469,0.078573,0.651185,-11.557487,117.48819,23.926067,0.190055,-0.497154,0.075985,-0.843175,-14.349757,118.954445,5.762175,0.057904,0.095502,-0.492047,-0.863375,-2.710263,111.484703,-13.305911,0.200614,0.219648,-0.624647,-0.722028,11.214006,135.572388,-10.285523,-0.12063,0.905331,0.053587,0.403673,-7.3151,117.558968,30.06312,0.226658,0.964698,-0.058818,-0.120515,4.575761,120.788109,43.776386,-0.175812,0.495672,0.37386,-0.763956,25.026846,110.152985,38.927288,-0.087302,0.139012,0.671372,-0.722713,19.450089,128.302094,23.690475,0.006512,0.81894,0.305898,0.485512,-11.966537,77.485367,16.805321,0.144738,0.91741,-0.054883,0.366604,-1.969983,49.113213,-0.905167,-0.083141,0.956044,-0.015959,0.280738,-15.73245,6.266296,-1.149178,-0.208437,0.815785,0.135679,0.52215,-2.644787,76.88105,33.185154,0.126512,0.818717,-0.163088,0.535817,14.172852,46.29147,33.056046,-0.052546,0.770694,0.033309,0.634161,-3.015167,5.122456,38.972744,-0.083141,0.956044,-0.015959,0.280738,-7.184135,0.454468,-12.581894,-0.052546,0.770694,0.033309,0.634161,11.51443,0.710216,36.330582
5,0.041667,0.00217,0.863931,0.028212,0.502815,-7.308597,77.184944,25.001949,-0.006001,0.879632,0.045384,0.473447,-7.498939,84.903641,25.395679,-0.007515,0.885604,0.003996,0.464364,-8.472449,103.013313,26.744381,0.212535,0.905817,-0.040185,0.364293,-8.821616,123.522232,26.746399,0.112979,0.96538,-0.083003,0.219971,-1.554752,136.339157,26.56638,-0.015102,0.754744,0.078679,0.651109,-11.557275,117.487373,23.936043,0.190005,-0.497062,0.075816,-0.843255,-14.353189,118.955948,5.772901,0.057887,0.095606,-0.492151,-0.863305,-2.708201,111.494614,-13.295117,0.200665,0.219808,-0.624702,-0.721918,11.209169,135.585678,-10.269958,-0.120676,0.905339,0.053634,0.403635,-7.314816,117.55899,30.073032,0.226563,0.964722,-0.058799,-0.120515,4.576765,120.789085,43.785446,-0.175854,0.495626,0.37382,-0.763995,25.029881,110.158142,38.935764,-0.087334,0.138862,0.671332,-0.722775,19.449211,128.308014,23.699409,0.006521,0.818885,0.305917,0.485593,-11.969352,77.487778,16.811991,0.144715,0.917787,-0.054633,0.365704,-1.970905,49.116455,-0.898772,-0.083253,0.956058,-0.016034,0.280651,-15.72374,6.26649,-1.149101,-0.208535,0.815673,0.135883,0.522232,-2.647841,76.882111,33.191906,0.126559,0.818608,-0.163132,0.535958,14.181919,46.299221,33.057007,-0.052373,0.770677,0.033188,0.634203,-3.012538,5.132574,38.971443,-0.083253,0.956058,-0.016034,0.280651,-7.176344,0.453582,-12.58195,-0.052373,0.770677,0.033188,0.634203,11.515416,0.714291,36.330368
6,0.05,0.002422,0.863926,0.02815,0.502826,-7.319046,77.193977,25.004465,-0.00578,0.879641,0.045417,0.473431,-7.505545,84.912704,25.399326,-0.007529,0.885617,0.004039,0.464338,-8.472127,103.015182,26.752354,0.212736,0.905783,-0.040026,0.364278,-8.822603,123.524078,26.755672,0.112745,0.965428,-0.082947,0.219902,-1.552348,136.339157,26.581869,-0.01508,0.754806,0.078889,0.651012,-11.558043,117.48922,23.945099,0.190127,-0.496999,0.075574,-0.843287,-14.358647,118.96315,5.783113,0.058196,0.095909,-0.492338,-0.863144,-2.708962,111.509064,-13.284872,0.20131,0.220229,-0.624463,-0.721816,11.194893,135.607346,-10.255046,-0.120807,0.905353,0.053871,0.403534,-7.315227,117.56073,30.081844,0.22648,0.964745,-0.058807,-0.120479,4.578195,120.791916,43.792408,-0.17595,0.495526,0.373739,-0.764077,25.033495,110.164558,38.944065,-0.087414,0.138699,0.671303,-0.722823,19.444836,128.315018,23.709944,0.006512,0.818842,0.305723,0.485787,-11.979567,77.500336,16.814501,0.144603,0.917943,-0.054388,0.365395,-1.983013,49.120708,-0.884025,-0.083425,0.95608,-0.016017,0.280526,-15.719062,6.265429,-1.146127,-0.208444,0.815642,0.135762,0.522348,-2.658525,76.887611,33.194427,0.126385,0.81855,-0.162969,0.536139,14.162339,46.299809,33.06506,-0.052453,0.770671,0.033355,0.634194,-3.013383,5.124405,38.972996,-0.083425,0.95608,-0.016017,0.280526,-7.172704,0.454389,-12.580708,-0.052453,0.770671,0.033355,0.634194,11.516014,0.711431,36.330971
7,0.058333,0.002439,0.863917,0.028147,0.502841,-7.321673,77.195915,25.01055,-0.005763,0.87965,0.045433,0.473412,-7.50793,84.914642,25.405506,-0.007509,0.885633,0.004126,0.464307,-8.474148,103.015793,26.759266,0.212721,0.905795,-0.03989,0.364271,-8.825552,123.524666,26.766142,0.112581,0.965448,-0.082906,0.219915,-1.556961,136.340744,26.595661,-0.015103,0.754816,0.079038,0.650982,-11.560919,117.490173,23.954725,0.19006,-0.496933,0.075421,-0.843355,-14.362921,118.966972,5.793186,0.05805,0.095987,-0.492442,-0.863086,-2.709033,111.520889,-13.275356,0.201081,0.220424,-0.624387,-0.721886,11.188256,135.622055,-10.238363,-0.12084,0.905367,0.053987,0.403477,-7.317665,117.560814,30.091179,0.226419,0.964766,-0.058799,-0.120434,4.577175,120.791565,43.80061,-0.17617,0.495573,0.373642,-0.764044,25.034285,110.166931,38.953941,-0.087436,0.138787,0.670768,-0.7233,19.444595,128.317978,23.722849,0.006702,0.818799,0.30568,0.485884,-11.981903,77.502533,16.820433,0.144281,0.918233,-0.054211,0.364819,-1.995587,49.121262,-0.881223,-0.083574,0.956213,-0.015776,0.28004,-15.700144,6.255868,-1.138494,-0.208453,0.815613,0.135789,0.522384,-2.661442,76.88929,33.200668,0.126418,0.818579,-0.162898,0.536107,14.160794,46.302242,33.070904,-0.052417,0.770676,0.03336,0.63419,-3.013812,5.125511,38.97282,-0.083574,0.956213,-0.015776,0.28004,-7.163569,0.451532,-12.583777,-0.052417,0.770676,0.03336,0.63419,11.515326,0.711966,36.330338
8,0.066667,0.002288,0.863921,0.028233,0.50283,-7.315089,77.193382,25.018856,-0.005915,0.879652,0.04548,0.473401,-7.504033,84.912048,25.413778,-0.007515,0.885637,0.004199,0.464299,-8.476048,103.015518,26.766628,0.212677,0.90582,-0.039943,0.364228,-8.829075,123.524368,26.776051,0.112425,0.965483,-0.082735,0.219905,-1.561113,136.340775,26.603291,-0.015167,0.754778,0.079184,0.651007,-11.564018,117.490005,23.963938,0.189836,-0.496996,0.075256,-0.843383,-14.364772,118.968605,5.802354,0.057791,0.096165,-0.492463,-0.863072,-2.712679,111.533646,-13.271626,0.200793,0.220867,-0.623792,-0.722346,11.18154,135.634598,-10.21908,-0.120868,0.905386,0.054112,0.403409,-7.320654,117.560219,30.100323,0.226237,0.964753,-0.059541,-0.120514,4.575948,120.790253,43.808399,-0.176545,0.495662,0.37334,-0.764047,25.036011,110.169563,38.965542,-0.087562,0.13864,0.670716,-0.723362,19.438856,128.321793,23.733147,0.006742,0.818863,0.305856,0.485665,-11.975551,77.498337,16.828806,0.144637,0.918004,-0.054349,0.365233,-1.990265,49.124626,-0.885548,-0.083293,0.956051,-0.016092,0.280658,-15.727798,6.269831,-1.149589,-0.208366,0.815669,0.135786,0.522331,-2.654627,76.888428,33.208908,0.126473,0.818604,-0.162876,0.536063,14.162864,46.298794,33.074806,-0.052344,0.770684,0.033446,0.634182,-3.014347,5.122664,38.973312,-0.083293,0.956051,-0.016092,0.280658,-7.17984,0.455794,-12.581447,-0.052344,0.770684,0.033446,0.634182,11.51468,0.70966,36.329304
9,0.075,0.00239,0.863927,0.028248,0.502819,-7.317573,77.192764,25.02149,-0.005908,0.879642,0.045703,0.473398,-7.505266,84.911415,25.417408,-0.007519,0.885634,0.004165,0.464305,-8.480834,103.013206,26.777426,0.212646,0.90585,-0.039842,0.364184,-8.833366,123.522064,26.785528,0.112343,0.965526,-0.082672,0.219783,-1.567211,136.339523,26.614655,-0.015163,0.754768,0.079267,0.651009,-11.568415,117.487587,23.973764,0.189732,-0.496992,0.074994,-0.843431,-14.369057,118.968307,5.812338,0.057609,0.096287,-0.492566,-0.863011,-2.714923,111.546051,-13.265342,0.200696,0.220945,-0.624378,-0.721842,11.172245,135.64978,-10.202522,-0.120845,0.905413,0.05424,0.403339,-7.325138,117.558098,30.110205,0.22622,0.964759,-0.059431,-0.12055,4.573748,120.785736,43.81686,-0.176667,0.495637,0.373369,-0.764021,25.033764,110.16629,38.971115,-0.087694,0.1385,0.670513,-0.72356,19.436518,128.321747,23.742849,0.006834,0.818816,0.305808,0.485773,-11.978223,77.499519,16.831617,0.144535,0.917958,-0.054295,0.365398,-1.997505,49.123848,-0.882171,-0.083381,0.956085,-0.016042,0.280522,-15.725069,6.265882,-1.149727,-0.208407,0.81569,0.135796,0.52228,-2.656923,76.886009,33.211361,0.126515,0.818677,-0.162838,0.535953,14.163083,46.297752,33.077267,-0.05253,0.77069,0.033291,0.634168,-3.014627,5.121464,38.973217,-0.083381,0.956085,-0.016042,0.280522,-7.179343,0.453737,-12.584214,-0.05253,0.77069,0.033291,0.634168,11.514795,0.708512,36.33131
