hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p07_hook_left_main_001,0.20236886,0.353151404,0.261109586,0.29407114,0.269458576,0.27572521,0.074424979,0.072147524,0.047680656,0.530579445,0.727402841,0.668355822,0.70820523,-0.000720913
p07_hook_left_main_002,0.224708816,0.383009024,0.296979618,0.310056218,0.215125552,0.289384639,0.066481739,0.065415876,0.048019102,0.508083395,0.807886383,0.717945487,0.645658037,
p07_hook_left_main_003,0.204072249,0.353447333,0.290624299,0.328044772,0.267988271,0.283673112,0.07450025,0.074109011,0.047989865,0.532975439,0.797451612,0.71810876,0.64637895,
p07_hook_left_main_004,0.219012142,0.378241198,0.303726475,0.323305529,0.232993927,0.3436346,0.066965661,0.065311823,0.047926363,0.592829777,0.809009924,0.74415588,,
p07_hook_left_main_005,0.235269894,0.373637702,0.304932562,0.300168065,0.23568106,0.266312837,0.068780044,0.066674412,0.047823428,0.490173994,0.822587773,0.722863639,,
p07_hook_left_main_006,0.235204381,0.392906574,0.30698911,0.333578044,0.232298697,0.285379523,0.066855265,0.065473159,0.047865717,0.561649809,0.81136518,0.736450568,,
p07_hook_left_main_007,0.22459561,0.386110737,0.307709077,0.33713028,0.227066765,0.303649378,0.065566555,0.065101603,0.047904719,0.562666029,0.82104412,0.743530693,,
p07_hook_left_main_008,0.230801767,0.385997307,0.310745832,0.331630418,0.223641772,0.290308859,0.065572238,0.065200451,0.047862525,0.552211687,0.815187403,0.736294688,,
p07_hook_left_main_009,0.210643785,0.375097695,0.298000418,0.329032088,0.238376339,0.293523035,0.067936873,0.066082125,0.047787349,0.564794556,0.783206419,0.71768286,,
p07_hook_left_main_010,0.206742615,0.375777464,0.291422958,0.339466395,0.235492364,0.213623906,0.072707204,0.071999269,0.04807534,0.520992518,0.742126123,0.675786041,,
p07_hook_left_main_011,0.199533498,0.336279947,0.265294284,0.317966205,0.27830101,0.271792746,0.074461238,0.076475968,0.047732613,0.53859338,0.741504237,0.68063098,,
p07_hook_left_main_012,0.241214729,0.363973846,0.301908389,0.337565053,0.218357273,0.29925381,0.064798069,0.063814206,0.047967914,0.554643509,0.812430617,0.735094484,,
p07_hook_left_main_013,0.228052604,0.344056559,0.280372587,0.32027556,0.253494258,0.278680596,0.070696933,0.07711897,0.047827013,0.529622991,0.774173555,0.700808386,,
p07_hook_left_main_014,0.227747755,0.352928883,0.292491306,0.34344304,0.266217327,0.260508417,0.074061338,0.077037692,0.048327371,0.529300016,0.808402381,0.724671671,,
p07_hook_left_main_015,0.25325808,0.330373467,0.288958712,0.208058249,0.241003361,0.22454808,0.070733895,0.067604359,0.04785345,0.452271409,0.698791854,0.624835721,,
p07_hook_left_main_016,0.206311671,0.338138927,0.294909011,0.200313542,0.242951865,0.217400821,0.070694303,0.066516277,0.047853063,0.440219504,0.684525041,0.61123338,,
p07_hook_left_main_017,0.255761041,0.33714588,0.301922803,0.214756593,0.227771083,0.251898927,0.070389288,0.06721233,0.047933235,0.444005294,0.746940054,0.656059626,,
p07_hook_left_main_018,0.255028845,0.352749547,0.299425434,0.337350171,0.211988262,0.31586516,0.064413081,0.064505788,0.047880827,0.573217907,0.803230935,0.734227026,,
p07_hook_left_main_019,0.203848297,0.328077781,0.270477346,0.318595165,0.268123339,0.275949975,0.074429786,0.082188982,0.047719534,0.543140959,0.727735352,0.672357034,,
p07_hook_left_main_020,0.232584503,0.364248055,0.291042423,0.326112104,0.255096775,0.268974326,0.070803269,0.07662155,0.048052303,0.516683295,0.810238822,0.722172164,,
p07_hook_left_main_021,0.235163322,0.385972821,0.307310675,0.34034318,0.226387999,0.282435555,0.065742163,0.06452576,0.047979218,0.548935393,0.821965014,0.740056128,,
p07_hook_left_main_022,0.213700005,0.351938439,0.29519227,0.309344428,0.283235093,0.256566787,0.075031467,0.071118185,0.048273242,0.540484923,0.772408709,0.702831574,,
p07_hook_left_main_023,0.228924355,0.374992266,0.301686294,0.334037677,0.220919528,0.281057393,0.066252426,0.065039867,0.047856133,0.5455551,0.79735555,0.721815415,,
p07_hook_left_main_024,0.189771894,0.373107987,0.305625856,0.200955851,0.215563734,0.191300385,0.070356479,0.067340433,0.047773737,0.453947713,0.640182012,0.584311722,,
p07_hook_left_main_025,0.261610779,0.375451561,0.313182082,0.273911821,0.205805401,0.299673724,0.066677873,0.0641547,0.047971499,0.52195374,0.797569222,0.714884578,,
p07_hook_left_main_026,0.244461889,0.374073711,0.308598863,0.347148029,0.21782659,0.311947364,0.064809223,0.063202388,0.047940189,0.58086224,0.82213317,0.749751891,,
p07_hook_left_main_027,0.257250142,0.394066575,0.315482293,0.355016408,0.217248125,0.306890649,0.063692269,0.063975483,0.048063554,0.585932524,0.843572696,0.766280644,,
p07_hook_left_main_028,0.249638083,0.373513827,0.29464979,0.342593768,0.247678595,0.274576413,0.07036284,0.074338742,0.048498843,0.532681072,0.829295449,0.740311136,,
p07_hook_left_main_029,0.260274687,0.36705452,0.29354199,0.357036002,0.242560211,0.267873527,0.07036726,0.075251591,0.048745903,0.54201677,0.824000446,0.739405343,,
p07_hook_left_main_030,0.238966406,0.347388708,0.284569293,0.333636548,0.242387919,0.261109453,0.071651635,0.06931756,0.047786365,0.529275579,0.778016396,0.703394151,,
p07_hook_left_post_001,0.197942617,0.32239558,0.253285383,0.291515126,0.261508938,0.269819877,0.075207705,0.079760394,0.047649506,0.54019536,0.666971371,0.628938568,,
p07_hook_left_post_002,0.209717695,0.322508829,0.275178524,0.197823399,0.250182297,0.186877843,0.071208276,0.067701426,0.047720079,0.410279948,0.657037117,0.583009967,,
p07_hook_left_post_003,0.238165906,0.348679398,0.314029201,0.219379307,0.233496958,0.206249254,0.069674963,0.067346704,0.047996916,0.440612302,0.72757108,0.641483446,,
p07_hook_left_post_004,0.251169325,0.371998417,0.312213908,0.342376752,0.21855185,0.277086857,0.066176152,0.064276926,0.048054431,0.554573865,0.8124787,0.735107249,,
p07_hook_left_post_005,0.239785771,0.371908537,0.308806138,0.354155084,0.211758942,0.284701496,0.064600797,0.064347832,0.048152051,0.541954374,0.830136622,0.743681948,,
p07_hook_left_post_006,0.249161595,0.321803569,0.294582592,0.201237787,0.225217317,0.219907241,0.071150548,0.067333031,0.047746221,0.436677447,0.685985403,0.611193016,,
p07_hook_left_post_007,0.259881035,0.313811977,0.282567068,0.204670837,0.217827694,0.206306668,0.070735609,0.066343228,0.047708376,0.44113777,0.655952662,0.591508195,,
p07_hook_left_post_008,0.259609758,0.342535533,0.294129983,0.322129084,0.195134868,0.26906502,0.065481445,0.063672193,0.047784033,0.514552372,0.77477287,0.69670672,,
p07_hook_left_post_009,0.23262993,0.320780961,0.286186468,0.282007228,0.251728277,0.213888306,0.074717712,0.06920778,0.047755356,0.513424254,0.681981543,0.631414356,,
p07_hook_left_post_010,0.230675262,0.331121369,0.280901705,0.329978643,0.189623462,0.163076652,0.071434033,0.07268601,0.047781757,0.508841355,0.629835001,0.593536907,,
p07_hook_left_pre_001,0.206239367,0.383543864,0.27627303,0.277637527,0.276180696,0.253735305,0.074724264,0.070125483,0.047725049,0.547762456,0.717361297,0.666481645,,
p07_hook_left_pre_002,0.193947494,0.354009526,0.284541984,0.218610014,0.242916756,0.254967384,0.071439947,0.068953836,0.047722964,0.444144083,0.720738309,0.637760041,,
p07_hook_left_pre_003,0.206239207,0.374735344,0.296053336,0.220994663,0.210426056,0.281416316,0.064693975,0.064629057,0.047739541,0.505045003,0.699360175,0.641065623,,
p07_hook_left_pre_004,0.159341541,0.363985777,0.271666605,0.179751116,0.208037099,0.277486097,0.06420653,0.06416738,0.047643484,0.495270946,0.600357886,0.568831804,,
p07_hook_left_pre_005,0.180273008,0.351472623,0.28308701,0.178071889,0.203209433,0.314375084,0.064056296,0.065332451,0.047678492,0.469012432,0.676834544,0.614487911,,
p07_hook_left_pre_006,0.200482595,0.408879021,0.326886304,0.315053031,0.217923594,0.295650494,0.065805079,0.069672868,0.04807595,0.559397195,0.795620675,0.724753631,,
p07_hook_left_pre_007,0.179171535,0.34094773,0.286590166,0.21828617,0.238794265,0.226448646,0.071320952,0.068972749,0.047717684,0.441810976,0.673255293,0.603821998,,
p07_hook_left_pre_008,0.203097925,0.364085216,0.287192128,0.287305901,0.246252625,0.208548598,0.07126376,0.068204778,0.047823333,0.498381314,0.706575494,0.64411724,,
p07_hook_left_pre_009,0.239972947,0.351206608,0.285017592,0.22818461,0.238577029,0.226658755,0.070596344,0.06824953,0.047832322,0.453179895,0.717794301,0.638409979,,
p07_hook_left_pre_010,0.221612724,0.394098379,0.297665126,0.315585085,0.214933045,0.315527244,0.065765487,0.065517892,0.04803992,0.560794303,0.794030484,0.724059629,,
AVG,0.224712799,0.35954836,0.293514718,0.290593912,0.234266445,0.263906247,0.06928951,0.068627553,0.047906371,0.515946952,0.753927802,0.682533547,,
