jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p07_jap_main_001,0.191823299,0.411064427,0.273285543,0.287424714,0.253719585,0.241538347,0.048055686,0.048652881,0.047663457,0.503596985,0.794811195,0.707446932,0.758940965,0.103772168
p07_jap_main_002,0.191542822,0.434008447,0.295880453,0.28755561,0.266345874,0.22781507,0.047881769,0.048908594,0.04762604,0.498943648,0.826626804,0.728321857,0.77123579,
p07_jap_main_003,0.182149503,0.463500029,0.270356241,0.305322727,0.286396509,0.322387175,0.048259202,0.049149649,0.047637078,0.603213876,0.836802844,0.766726153,0.667463622,
p07_jap_main_004,0.19474937,0.434114118,0.277279975,0.317930902,0.313600365,0.294888372,0.0485443,0.050554526,0.047682986,0.588326176,0.863178894,0.780723079,,
p07_jap_main_005,0.195258036,0.434787484,0.283756173,0.306974851,0.290634197,0.256715119,0.048239789,0.049618269,0.047657404,0.538073758,0.851478204,0.75745687,,
p07_jap_main_006,0.199343078,0.453708929,0.286711146,0.314122492,0.300594951,0.275182043,0.048077753,0.048844302,0.047633883,0.57885332,0.859861217,0.775558848,,
p07_jap_main_007,0.194134238,0.461976778,0.291442445,0.319999746,0.30545645,0.282170357,0.048324893,0.049509749,0.04770078,0.589450209,0.871070064,0.786584107,,
p07_jap_main_008,0.20143112,0.459526006,0.294890753,0.292878557,0.275619605,0.277399195,0.04816353,0.04961072,0.047658894,0.535257104,0.873663566,0.772141628,,
p07_jap_main_009,0.196901743,0.467562825,0.298455743,0.313628371,0.287105689,0.298318441,0.048052443,0.048499373,0.047649849,0.603683054,0.863007922,0.785210462,,
p07_jap_main_010,0.187064472,0.464302771,0.309910747,0.338187794,0.305258705,0.288502957,0.048142478,0.048085366,0.047691651,0.644010931,0.855469914,0.792032219,,
p07_jap_main_011,0.165970344,0.404975162,0.236382285,0.269529629,0.26480308,0.246636065,0.048117231,0.049896443,0.047619961,0.552547686,0.678609154,0.640790713,,
p07_jap_main_012,0.21496933,0.475099938,0.312731599,0.340726949,0.275759945,0.282046434,0.048486656,0.051506205,0.047837553,0.578025612,0.911777516,0.811651945,,
p07_jap_main_013,0.218455519,0.431502207,0.296122834,0.324405412,0.262344895,0.272016233,0.0480249,0.04802454,0.047685071,0.55771425,0.862757309,0.771244391,,
p07_jap_main_014,0.20145007,0.444065496,0.282913097,0.316954785,0.303192029,0.273934679,0.048965184,0.055513919,0.047645398,0.574685259,0.853718698,0.770008666,,
p07_jap_main_015,0.197521621,0.437797888,0.300807492,0.3002247,0.295345289,0.324680972,0.048196969,0.048980572,0.047626657,0.652866564,0.819717363,0.769662123,,
p07_jap_main_016,0.198364971,0.429400311,0.269276191,0.304106106,0.255780839,0.292414189,0.048156748,0.051314887,0.047630218,0.551235118,0.817714058,0.737770376,,
p07_jap_main_017,0.189432266,0.41214863,0.274050886,0.300422954,0.285292037,0.320376795,0.048442247,0.050399609,0.047632048,0.588010499,0.82859623,0.756420511,,
p07_jap_main_018,0.207027628,0.427287988,0.294932381,0.311912877,0.271576946,0.286821122,0.048672762,0.051697015,0.047656152,0.550932237,0.867658619,0.772640705,,
p07_jap_main_019,0.201202105,0.436296268,0.291708855,0.307581144,0.26155788,0.280358886,0.048035849,0.04807313,0.04762358,0.578605225,0.816458359,0.745102419,,
p07_jap_main_020,0.213434533,0.428471509,0.305497826,0.326604712,0.270895774,0.326433708,0.048599599,0.051080492,0.04767075,0.604163638,0.884947767,0.800712528,,
p07_jap_main_021,0.199208613,0.449677217,0.305826357,0.302751676,0.282783115,0.301541763,0.04821507,0.049448325,0.04764858,0.59732275,0.855369514,0.777955485,,
p07_jap_main_022,0.202977651,0.45155964,0.301689007,0.309604985,0.2653214,0.290878959,0.048976412,0.052165044,0.047657793,0.567661479,0.858657977,0.771359028,,
p07_jap_main_023,0.200098267,0.483284946,0.318252058,0.337573375,0.240889232,0.32798348,0.048376034,0.04917985,0.047726401,0.6062159,0.899209148,0.811311174,,
p07_jap_main_024,0.193640941,0.46776942,0.310262495,0.319804899,0.258214013,0.279720679,0.048418981,0.052106546,0.047650382,0.575600145,0.853395499,0.770056892,,
p07_jap_main_025,0.221309252,0.440649188,0.300536183,0.310797233,0.277589805,0.307278726,0.048245604,0.049267617,0.047645883,0.597288252,0.869815783,0.788057523,,
p07_jap_main_026,0.217883607,0.458687241,0.31015789,0.319177061,0.274702845,0.293638632,0.048189709,0.0496053,0.047669151,0.624611651,0.848669222,0.781451951,,
p07_jap_main_027,0.211550513,0.462841443,0.318437976,0.342396127,0.244667222,0.327467074,0.048435212,0.050771931,0.047771833,0.610510399,0.899178495,0.812578066,,
p07_jap_main_028,0.168729271,0.401456887,0.263836788,0.26386493,0.196575243,0.210683086,0.048037275,0.050060322,0.04761944,0.528095649,0.626511593,0.59698681,,
p07_jap_main_029,0.199109218,0.417011286,0.29026659,0.289186687,0.261148003,0.256403731,0.047939763,0.049124135,0.047621027,0.523760994,0.817938173,0.729685019,,
p07_jap_main_030,0.195476467,0.428016994,0.269976087,0.267405077,0.265557255,0.264853019,0.048200945,0.048129776,0.047622941,0.548795324,0.765631263,0.700580481,,
p07_jap_post_001,0.192337424,0.445823614,0.275475326,0.278661129,0.22121068,0.218245848,0.04825596,0.048997868,0.047626961,0.497415812,0.752800614,0.676185174,,
p07_jap_post_002,0.227487392,0.425670807,0.328884226,0.315792499,0.23824947,0.271655571,0.048301911,0.048962886,0.04764533,0.550317081,0.868789014,0.773247434,,
p07_jap_post_003,0.221195385,0.419680885,0.319614484,0.255338494,0.30504723,0.279199045,0.048437753,0.049642872,0.047631227,0.568879671,0.846181486,0.762990941,,
p07_jap_post_004,0.223810692,0.46119397,0.354241578,0.295930038,0.289076936,0.31856129,0.048468581,0.050546608,0.047677927,0.637517386,0.896830134,0.819036309,,
p07_jap_post_005,0.223578399,0.443238769,0.332439968,0.310720701,0.272813492,0.290591044,0.04865411,0.051574036,0.047672966,0.580802557,0.893674736,0.799813082,,
