Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.028245,0.955067,0.029052,0.293606,1.369711,86.256607,19.322309,-0.037607,0.976231,0.104824,0.185932,0.823532,93.922844,19.621567,-0.03076,0.983434,0.096612,0.150256,-1.562283,114.621162,23.668728,0.077238,0.994344,0.017732,0.07071,-3.438401,135.14447,27.456818,0.119138,0.976362,-0.177667,-0.030941,-0.972737,149.546326,26.272287,-0.026792,0.911813,0.132302,0.387782,-6.84648,129.317825,25.875446,0.273462,-0.59545,0.006949,-0.755387,-19.04924,130.257767,13.385124,0.060486,0.192585,-0.466377,-0.861247,-11.828895,121.910522,-8.858052,0.189996,0.307688,-0.566304,-0.740628,1.262911,143.959991,-1.514506,-0.029052,0.984383,0.126842,0.118561,0.2482,129.552109,28.11993,0.316528,0.866715,0.166729,-0.347587,17.214167,130.026352,32.330631,-0.030803,0.124336,0.464166,-0.876437,31.069439,119.280258,14.74878,-0.011712,-0.181661,0.666757,-0.722701,17.853725,139.447922,10.099034,0.077553,0.929501,0.192761,0.304724,-6.378022,85.910568,14.046428,0.091028,0.991356,-0.020426,0.092255,-7.345442,52.797802,-0.653581,-0.057682,0.969825,0.046337,0.232302,-16.109261,6.061149,0.473895,-0.068397,0.93394,-0.048702,0.347429,9.117445,86.602638,24.59819,0.060821,0.879819,-0.18819,0.432208,12.521191,50.87167,29.617523,-0.033422,0.86047,0.028118,0.507626,-0.306886,7.028017,42.867626,-0.057682,0.969825,0.046337,0.232302,-9.031427,1.672608,-12.401545,-0.033422,0.86047,0.028118,0.507626,12.482697,2.112611,35.983055
1,0.008333,-0.028248,0.955066,0.02904,0.293613,1.367474,86.256119,19.322506,-0.037584,0.976232,0.104824,0.185933,0.821303,93.922363,19.621563,-0.030822,0.983443,0.096475,0.150272,-1.563842,114.623177,23.669348,0.077199,0.99435,0.017588,0.070707,-3.441735,135.147446,27.451399,0.119284,0.976322,-0.177791,-0.030951,-0.976929,149.549088,26.262592,-0.026824,0.911825,0.132192,0.38779,-6.849285,129.320068,25.871553,0.273658,-0.595445,0.006894,-0.755321,-19.051777,130.257507,13.380784,0.060636,0.192599,-0.466359,-0.861242,-11.831055,121.906624,-8.860906,0.190043,0.307644,-0.566325,-0.740618,1.261032,143.956329,-1.520531,-0.02902,0.984384,0.126823,0.118581,0.245267,129.555542,28.11631,0.316543,0.866758,0.166447,-0.347601,17.21113,130.028671,32.327557,-0.030841,0.124445,0.464231,-0.876386,31.065416,119.276489,14.748655,-0.011621,-0.181582,0.666877,-0.722612,17.853571,139.446899,10.095328,0.077599,0.929453,0.192781,0.304846,-6.380182,85.909966,14.04652,0.091002,0.991348,-0.020469,0.092355,-7.348323,52.798283,-0.655888,-0.057734,0.969829,0.046289,0.232285,-16.110216,6.061348,0.474924,-0.068402,0.933923,-0.048685,0.347474,9.115129,86.602272,24.598492,0.060808,0.879782,-0.188191,0.432286,12.519416,50.871231,29.61697,-0.033003,0.860403,0.028275,0.507757,-0.308734,7.027471,42.866646,-0.057734,0.969829,0.046289,0.232285,-9.032352,1.671815,-12.400161,-0.033003,0.860403,0.028275,0.507757,12.479851,2.109709,35.981903
2,0.016667,-0.028256,0.955067,0.029064,0.293606,1.364675,86.255981,19.32246,-0.037572,0.976238,0.104777,0.185929,0.818278,93.922195,19.621853,-0.030882,0.98345,0.096384,0.150278,-1.565958,114.623108,23.667778,0.077204,0.994349,0.017397,0.070762,-3.445764,135.147949,27.445724,0.119331,0.976304,-0.177875,-0.03085,-0.980306,149.549042,26.251534,-0.026831,0.911825,0.132134,0.387809,-6.852757,129.319962,25.866934,0.273739,-0.595416,0.006955,-0.755313,-19.054703,130.256485,13.375566,0.060674,0.192581,-0.466406,-0.861218,-11.832352,121.901321,-8.863976,0.189998,0.307637,-0.566289,-0.74066,1.257622,143.952637,-1.525887,-0.029017,0.984392,0.12676,0.118583,0.241711,129.556519,28.111845,0.316688,0.866733,0.166275,-0.347614,17.20756,130.029816,32.323112,-0.030889,0.124507,0.464378,-0.876297,31.056866,119.268944,14.745611,-0.011608,-0.181439,0.666888,-0.722638,17.852058,139.444672,10.091348,0.077561,0.929457,0.192803,0.304831,-6.383049,85.909813,14.046576,0.090995,0.991356,-0.020448,0.092275,-7.348365,52.798306,-0.656417,-0.057753,0.969835,0.046303,0.232251,-16.109348,6.061172,0.473173,-0.068411,0.933925,-0.04866,0.347471,9.112399,86.602142,24.598345,0.060769,0.879798,-0.188192,0.432258,12.517884,50.871014,29.615358,-0.032997,0.860434,0.028284,0.507705,-0.306657,7.026842,42.867168,-0.057753,0.969835,0.046303,0.232251,-9.032166,1.672148,-12.402457,-0.032997,0.860434,0.028284,0.507705,12.481077,2.109197,35.980762
3,0.025,-0.028291,0.955067,0.029051,0.293602,1.362234,86.255867,19.322973,-0.037567,0.976233,0.104816,0.185937,0.815383,93.922066,19.622007,-0.03092,0.983465,0.096164,0.15031,-1.569695,114.628891,23.670755,0.077195,0.994347,0.017374,0.070808,-3.449824,135.155411,27.43943,0.119425,0.976256,-0.178076,-0.030817,-0.984455,149.556488,26.244684,-0.026927,0.911851,0.13198,0.387794,-6.856684,129.326721,25.862965,0.273918,-0.595397,0.006933,-0.755264,-19.05887,130.257996,13.371438,0.060801,0.192596,-0.466391,-0.861214,-11.835369,121.898666,-8.86617,0.189974,0.307639,-0.566305,-0.740653,1.254692,143.949936,-1.530702,-0.028903,0.984396,0.126742,0.118603,0.237607,129.56427,28.108322,0.316743,0.866767,0.166156,-0.347537,17.203527,130.03363,32.319744,-0.030838,0.124624,0.464434,-0.876253,31.05377,119.267151,14.746399,-0.011571,-0.181446,0.666883,-0.722642,17.85321,139.443771,10.086351,0.077555,0.929458,0.192865,0.30479,-6.385489,85.908989,14.047135,0.090977,0.991359,-0.020492,0.092256,-7.34956,52.799152,-0.659685,-0.057762,0.969831,0.046276,0.232273,-16.109217,6.061882,0.474452,-0.068435,0.933937,-0.048636,0.347438,9.109958,86.602745,24.598812,0.060823,0.879852,-0.188178,0.432146,12.517849,50.871681,29.614702,-0.03301,0.860409,0.028213,0.507751,-0.308937,7.027623,42.864704,-0.057762,0.969831,0.046276,0.232273,-9.031385,1.672194,-12.400595,-0.03301,0.860409,0.028213,0.507751,12.479313,2.108426,35.98037
4,0.033333,-0.028283,0.955066,0.029026,0.293611,1.357673,86.256828,19.322426,-0.037531,0.976243,0.104712,0.185945,0.811053,93.923058,19.621128,-0.030926,0.983462,0.096188,0.150314,-1.571002,114.624336,23.664635,0.077157,0.994353,0.017167,0.070817,-3.451554,135.150665,27.434212,0.119405,0.976257,-0.178093,-0.030773,-0.986849,149.551331,26.233387,-0.026918,0.911854,0.131986,0.387785,-6.85829,129.321976,25.857454,0.273972,-0.595367,0.006919,-0.755268,-19.060734,130.253571,13.366207,0.060819,0.192576,-0.466449,-0.861186,-11.835448,121.89357,-8.870563,0.189955,0.307655,-0.566362,-0.740608,1.251984,143.946716,-1.537032,-0.029033,0.984413,0.126507,0.118677,0.235976,129.559555,28.102886,0.316719,0.866803,0.166025,-0.347531,17.201015,130.034042,32.317272,-0.030796,0.124649,0.464401,-0.876268,31.052191,119.265747,14.74579,-0.011449,-0.181369,0.666994,-0.72256,17.85001,139.441711,10.083442,0.077495,0.929461,0.192876,0.304788,-6.389964,85.909966,14.046463,0.090953,0.991372,-0.020475,0.092136,-7.349823,52.799763,-0.659795,-0.05768,0.969853,0.046315,0.232192,-16.10689,6.062001,0.473989,-0.068489,0.933916,-0.048601,0.347489,9.105309,86.603683,24.598391,0.060801,0.879876,-0.188185,0.432096,12.517488,50.87291,29.613422,-0.033343,0.860454,0.028097,0.507659,-0.307027,7.028845,42.865608,-0.05768,0.969853,0.046315,0.232192,-9.031979,1.672669,-12.402781,-0.033343,0.860454,0.028097,0.507659,12.482245,2.111721,35.981697
5,0.041667,-0.028291,0.955061,0.029007,0.293625,1.355148,86.255875,19.322136,-0.037489,0.976245,0.104688,0.185958,0.808487,93.922112,19.620518,-0.030993,0.983465,0.09609,0.150342,-1.5717,114.623688,23.663334,0.077171,0.994351,0.017053,0.070853,-3.45452,135.15062,27.428427,0.119406,0.976235,-0.178218,-0.030752,-0.989114,149.550903,26.224432,-0.027052,0.911868,0.131957,0.387753,-6.860575,129.321259,25.852657,0.274042,-0.595346,0.006834,-0.75526,-19.06362,130.248032,13.361636,0.060835,0.192594,-0.466492,-0.861157,-11.837062,121.88945,-8.875249,0.189962,0.307637,-0.566352,-0.740621,1.247789,143.943863,-1.541788,-0.029098,0.984411,0.126493,0.118696,0.233505,129.560028,28.098557,0.316765,0.866822,0.166052,-0.347428,17.198259,130.036743,32.313854,-0.030667,0.124666,0.46436,-0.876292,31.051558,119.265732,14.745699,-0.011388,-0.181348,0.66692,-0.722635,17.848124,139.439041,10.07957,0.077509,0.929427,0.19288,0.304885,-6.39232,85.908775,14.04594,0.090933,0.991369,-0.020484,0.092192,-7.351437,52.798855,-0.661024,-0.057671,0.96985,0.046323,0.232206,-16.1068,6.060779,0.473263,-0.068502,0.933906,-0.048545,0.34752,9.102616,86.602966,24.598331,0.06075,0.879819,-0.188223,0.432204,12.516925,50.871937,29.610073,-0.033323,0.860461,0.028084,0.507649,-0.306441,7.028663,42.865974,-0.057671,0.96985,0.046323,0.232206,-9.0316,1.671614,-12.403408,-0.033323,0.860461,0.028084,0.507649,12.482434,2.110923,35.981758
6,0.05,-0.028265,0.955066,0.028944,0.293618,1.350382,86.254715,19.323721,-0.037538,0.976244,0.104703,0.185946,0.804384,93.921036,19.621296,-0.030981,0.983483,0.095928,0.150331,-1.578522,114.62796,23.665476,0.077279,0.99434,0.017013,0.070895,-3.459786,135.156219,27.42408,0.119392,0.976198,-0.178437,-0.030723,-0.99106,149.555878,26.21925,-0.027226,0.911825,0.131832,0.387884,-6.866293,129.326614,25.850227,0.274044,-0.595329,0.006934,-0.755271,-19.06547,130.246796,13.354939,0.060825,0.1926,-0.466602,-0.861097,-11.837962,121.884598,-8.880289,0.190054,0.30763,-0.566335,-0.740613,1.241401,143.942734,-1.547222,-0.029017,0.984416,0.12646,0.118702,0.227848,129.565567,28.095913,0.316762,0.866876,0.165953,-0.347344,17.192713,130.039627,32.311077,-0.030591,0.124749,0.464308,-0.876311,31.048983,119.265511,14.747174,-0.011303,-0.181234,0.66694,-0.722646,17.844322,139.436508,10.075611,0.07743,0.929454,0.192992,0.304753,-6.397194,85.90773,14.047672,0.090934,0.991372,-0.020519,0.092152,-7.350555,52.800041,-0.664698,-0.057621,0.969846,0.046268,0.232244,-16.106287,6.062123,0.473273,-0.068531,0.93393,-0.048497,0.347458,9.097959,86.601707,24.599771,0.060734,0.879858,-0.188241,0.432119,12.515734,50.870617,29.608711,-0.032962,0.860462,0.028237,0.507663,-0.305781,7.027787,42.867882,-0.057621,0.969846,0.046268,0.232244,-9.030647,1.671079,-12.402521,-0.032962,0.860462,0.028237,0.507663,12.480744,2.108426,35.98045
7,0.058333,-0.028257,0.95507,0.028942,0.293608,1.346739,86.253761,19.322662,-0.037497,0.976256,0.104586,0.185957,0.800873,93.92009,19.620251,-0.031038,0.983476,0.095953,0.150349,-1.579166,114.625481,23.659388,0.077283,0.99434,0.016891,0.070924,-3.462996,135.153397,27.418587,0.119357,0.976189,-0.178514,-0.030688,-0.993858,149.552673,26.210299,-0.027176,0.911864,0.131799,0.387808,-6.86875,129.323441,25.844378,0.274221,-0.595322,0.006805,-0.755214,-19.070089,130.24437,13.351258,0.060917,0.192622,-0.466622,-0.861075,-11.842096,121.881882,-8.883697,0.190046,0.30764,-0.566377,-0.740579,1.235811,143.94136,-1.552206,-0.029061,0.984409,0.126385,0.118831,0.225255,129.563156,28.090412,0.316717,0.866902,0.165813,-0.347387,17.188955,130.038437,32.310097,-0.030633,0.124852,0.464306,-0.876296,31.045177,119.263794,14.746493,-0.011288,-0.181142,0.66687,-0.722734,17.841938,139.434418,10.071651,0.077412,0.929459,0.19302,0.304723,-6.400955,85.906898,14.046781,0.090904,0.99138,-0.02054,0.092088,-7.352938,52.799797,-0.666985,-0.057603,0.969854,0.046296,0.23221,-16.105989,6.06145,0.473735,-0.068589,0.933931,-0.048465,0.347448,9.094432,86.600624,24.598543,0.060741,0.879836,-0.18829,0.43214,12.517025,50.869896,29.606768,-0.033021,0.860486,0.028166,0.507621,-0.307328,7.028908,42.869282,-0.057603,0.969854,0.046296,0.23221,-9.031397,1.671011,-12.402836,-0.033021,0.860486,0.028166,0.507621,12.478748,2.108657,35.981663
8,0.066667,-0.028273,0.955067,0.028982,0.293612,1.343371,86.253036,19.320301,-0.037455,0.976247,0.104651,0.185975,0.797083,93.919312,19.618399,-0.031083,0.983481,0.095818,0.150393,-1.582425,114.629639,23.661554,0.077275,0.994337,0.016836,0.07098,-3.467455,135.158524,27.41489,0.11937,0.976149,-0.178731,-0.030649,-0.998281,149.557678,26.205162,-0.027185,0.911901,0.131614,0.387783,-6.872817,129.328003,25.841946,0.274394,-0.5953,0.006785,-0.755169,-19.074799,130.245987,13.349229,0.060967,0.192556,-0.466674,-0.861058,-11.845465,121.879471,-8.883784,0.189911,0.30756,-0.566428,-0.740608,1.23083,143.940659,-1.557099,-0.028946,0.984407,0.126409,0.118852,0.220951,129.568604,28.088634,0.316753,0.866893,0.166112,-0.347235,17.184715,130.039734,32.308559,-0.030447,0.124872,0.464237,-0.876336,31.045061,119.267593,14.746655,-0.011302,-0.181107,0.666731,-0.722871,17.839678,139.433868,10.066664,0.077419,0.929471,0.193049,0.304667,-6.404263,85.906097,14.044331,0.09088,0.991365,-0.020583,0.09226,-7.356905,52.799885,-0.671396,-0.057726,0.969844,0.046272,0.232228,-16.108284,6.061295,0.472076,-0.068596,0.933902,-0.04847,0.347523,9.091005,86.599968,24.59627,0.060698,0.879816,-0.188244,0.432208,12.513483,50.869339,29.605276,-0.03338,0.860473,0.028096,0.507624,-0.30646,7.026193,42.864918,-0.057726,0.969844,0.046272,0.232228,-9.032009,1.671148,-12.403676,-0.03338,0.860473,0.028096,0.507624,12.482597,2.109587,35.980225
9,0.075,-0.02826,0.955064,0.028981,0.293622,1.339665,86.25251,19.320004,-0.03742,0.976252,0.104609,0.18598,0.793571,93.9188,19.618134,-0.031125,0.983481,0.095786,0.150404,-1.583958,114.627518,23.65943,0.07724,0.994344,0.01664,0.070966,-3.470557,135.156555,27.411139,0.11934,0.976134,-0.178826,-0.030677,-1.002073,149.555344,26.195612,-0.027169,0.911914,0.131561,0.387772,-6.875459,129.325684,25.838535,0.274511,-0.595298,0.006706,-0.755129,-19.077787,130.243378,13.346139,0.06097,0.192493,-0.466773,-0.861018,-11.848251,121.876404,-8.886631,0.189848,0.307504,-0.566433,-0.740643,1.22458,143.941299,-1.563535,-0.029016,0.984409,0.126316,0.118918,0.218225,129.566956,28.085423,0.316699,0.866935,0.165944,-0.347259,17.181303,130.040604,32.307823,-0.030445,0.125004,0.464201,-0.876336,31.042517,119.267441,14.747231,-0.01129,-0.181041,0.666584,-0.723024,17.837164,139.432266,10.061449,0.077431,0.929448,0.193079,0.304715,-6.407882,85.905807,14.043893,0.090853,0.991381,-0.020603,0.092119,-7.359885,52.80056,-0.674039,-0.057731,0.969841,0.046288,0.232235,-16.108759,6.061581,0.472884,-0.068639,0.933884,-0.048413,0.347571,9.087213,86.599213,24.596115,0.060666,0.879775,-0.188319,0.432265,12.513823,50.868618,29.602549,-0.032971,0.860478,0.02821,0.507637,-0.307307,7.027793,42.868717,-0.057731,0.969841,0.046288,0.232235,-9.032227,1.671953,-12.402904,-0.032971,0.860478,0.02821,0.507637,12.478765,2.107889,35.980839
