jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,,
p08_jap_main_001,0.237328042,0.46993104,0.250319009,0.266954241,0.213194593,0.23959495,0.047913807,0.048717242,0.047634113,0.359908,0.907893787,0.910858497,-0.075232785
p08_jap_main_002,0.245903012,0.476052131,0.26382489,0.301327219,0.220136747,0.21446672,0.047903422,0.048623883,0.047622097,0.408516848,0.896357859,0.818954151,
p08_jap_main_003,0.259523407,0.482128619,0.336367117,0.317328575,0.23551594,0.217853187,0.048072085,0.052861238,0.047644088,0.493545481,0.919911983,0.894186937,
p08_jap_main_004,0.258525575,0.487773726,0.316812354,0.31658955,0.251980019,0.222456745,0.048108526,0.053000793,0.047667418,0.498396701,0.917451135,,
p08_jap_main_005,0.240202799,0.485415628,0.324689368,0.30812659,0.231948944,0.218001122,0.047922672,0.049456129,0.047632082,0.510435132,0.878334614,,
p08_jap_main_006,0.264326474,0.496077938,0.284328529,0.319134687,0.257720312,0.18942061,0.048360187,0.05052458,0.047622532,0.521835211,0.852144229,,
p08_jap_main_007,0.300871242,0.49949512,0.333539468,0.342653554,0.269486775,0.220073429,0.047904102,0.052930236,0.047823813,0.574977415,0.927329947,,
p08_jap_main_008,0.282242365,0.485880751,0.351181635,0.315972481,0.267396094,0.235504217,0.04800141,0.050337727,0.047639698,0.561070491,0.931808636,,
p08_jap_main_009,0.30561248,0.498309985,0.34061895,0.329607533,0.27978884,0.215176944,0.048240501,0.050454477,0.047929493,0.578239457,0.925850388,,
p08_jap_main_010,0.265632024,0.502117685,0.316839907,0.322368318,0.303534038,0.225689978,0.047906895,0.049307544,0.04768126,0.578490317,0.913749388,,
p08_jap_main_011,0.292558217,0.499029887,0.324527256,0.290700904,0.294988296,0.164225654,0.047925276,0.04811297,0.047619887,0.544656543,0.87126754,,
p08_jap_main_012,0.262137108,0.476955914,0.328016236,0.312619663,0.30876742,0.229139967,0.047797634,0.048753441,0.047742015,0.552089871,0.9346632,,
p08_jap_main_013,0.279164019,0.486107811,0.325284603,0.336044703,0.298555523,0.204359509,0.048099895,0.049655725,0.047689058,0.563684705,0.92100122,,
