uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,,
p08_uppercut_right_main_001,0.345643585,0.390654534,0.308254187,0.301742996,0.331747918,0.23118727,0.0554889,0.047774579,0.048251659,0.562669007,0.909082731,0.867157681,0.011981249
p08_uppercut_right_main_002,0.353855296,0.395153187,0.294641829,0.283335985,0.324744239,0.235549428,0.056466812,0.048203937,0.048055777,0.554942971,0.888659242,0.872530194,
p08_uppercut_right_main_003,0.344222637,0.401827979,0.288439911,0.261820547,0.32656709,0.25331131,0.056808612,0.047903414,0.048009152,0.535033718,0.898321341,0.860548945,
p08_uppercut_right_main_004,0.353129439,0.372300913,0.30285152,0.268354131,0.327076089,0.24593024,0.055237509,0.048071751,0.048273969,0.518150111,0.915312442,,
p08_uppercut_right_main_005,0.366773591,0.416916968,0.323031625,0.272508135,0.340664915,0.259672277,0.061375172,0.053634693,0.049056724,0.575820941,0.926390207,,
p08_uppercut_right_main_006,0.341164905,0.390840284,0.319414762,0.280584558,0.320569003,0.24832253,0.056667185,0.048007244,0.048209228,0.552117364,0.909877458,,
p08_uppercut_right_main_007,0.323873951,0.42782313,0.313341918,0.307106912,0.311186492,0.262469163,0.05616043,0.051142184,0.048360846,0.583786645,0.910669898,,
p08_uppercut_right_main_008,0.35395893,0.354192944,0.29770604,0.279823088,0.312202424,0.223338143,0.054685982,0.047881832,0.047834819,0.488964668,0.907203152,,
p08_uppercut_right_main_009,0.364916409,0.430899891,0.269874752,0.29575087,0.31998008,0.273403693,0.064653131,0.049732557,0.047638946,0.682494956,0.798107384,,
p08_uppercut_right_main_010,0.294859639,0.383899568,0.23256476,0.282938917,0.281987723,0.226484711,0.057279439,0.048208879,0.049575518,0.604077482,0.691381414,,
p08_uppercut_right_main_011,0.353072199,0.437716605,0.315136177,0.270611394,0.307330291,0.226051002,0.055672367,0.047927536,0.050474819,0.558249995,0.883693412,,
p08_uppercut_right_main_012,0.352582463,0.381384659,0.309439429,0.259258629,0.275175154,0.221113691,0.0533566,0.048078784,0.049705185,0.456951185,0.899737838,,
p08_uppercut_right_main_013,0.331596396,0.423117677,0.311891136,0.288645251,0.304988725,0.256369709,0.062321762,0.055258293,0.048918917,0.549342881,0.903331211,,
p08_uppercut_right_main_014,0.348565874,0.408579869,0.28839119,0.25639881,0.278669941,0.20979407,0.05477371,0.048062174,0.048650271,0.452551881,0.891577067,,
p08_uppercut_right_main_015,0.313269346,0.439094963,0.305508107,0.266820305,0.272504646,0.238349976,0.055396349,0.047982373,0.048490924,0.541259668,0.859652251,,
p08_uppercut_right_main_016,0.329529605,0.442201169,0.313162857,0.265289722,0.309984979,0.251603325,0.055051691,0.047904058,0.047729303,0.573597761,0.881808187,,
p08_uppercut_right_main_017,0.325037078,0.419048616,0.313089818,0.279633015,0.316550117,0.242400742,0.056040445,0.047912594,0.048204236,0.546889735,0.903490032,,
p08_uppercut_right_main_018,0.346986863,0.406820634,0.315101543,0.248318195,0.319033723,0.262402157,0.055267229,0.048202854,0.050878202,0.543996327,0.901577932,,
p08_uppercut_right_main_019,0.2829359,0.30941305,0.225544599,0.138602237,0.259445025,0.237232583,0.054481451,0.048060247,0.047628602,0.478553249,0.600070763,,
p08_uppercut_right_main_020,0.341237853,0.431609595,0.346856627,0.242167118,0.299184335,0.23195646,0.055598812,0.047894376,0.049229197,0.535606382,0.896417583,,
p08_uppercut_right_main_021,0.326595736,0.428798505,0.311081722,0.257681223,0.312000499,0.240996377,0.056594258,0.047982502,0.048534313,0.532649195,0.893254897,,
p08_uppercut_right_main_022,0.277805336,0.434805711,0.296861545,0.255640956,0.281433584,0.194600924,0.055433729,0.047972394,0.047688496,0.529052127,0.807340782,,
p08_uppercut_right_main_023,0.336600537,0.436866849,0.324281495,0.238776423,0.308156254,0.257591917,0.056027249,0.048037733,0.048142867,0.569711728,0.87399497,,
p08_uppercut_right_main_024,0.327225197,0.439789391,0.310801113,0.229762499,0.290313867,0.232879876,0.055761417,0.048000526,0.048266616,0.506573822,0.870308915,,
p08_uppercut_right_main_025,0.33953144,0.425418432,0.323155169,0.243843263,0.314198013,0.24885917,0.055432399,0.047970057,0.048112841,0.563430551,0.87934858,,
p08_uppercut_right_main_026,0.270551993,0.445685641,0.304752974,0.267668723,0.25048302,0.203735507,0.054776386,0.048062429,0.047839333,0.552615083,0.78348004,,
p08_uppercut_right_main_027,0.341606187,0.447545521,0.333424328,0.223305124,0.314518804,0.25374744,0.054206762,0.047863297,0.05019387,0.569669828,0.878025103,,
p08_uppercut_right_main_028,0.317074297,0.410539677,0.306091396,0.23538589,0.305416968,0.249452637,0.054896508,0.047952955,0.047790113,0.523212019,0.86596924,,
p08_uppercut_right_main_029,0.350490969,0.417975533,0.33640645,0.260387905,0.344388749,0.2506469,0.062981041,0.059261227,0.052406853,0.575495651,0.905068103,,
p08_uppercut_right_main_030,0.318217881,0.428200695,0.305835794,0.225412283,0.336208216,0.214592696,0.054601198,0.047934887,0.048900372,0.503690414,0.881578256,,
p08_uppercut_right_main_031,0.337209793,0.399676602,0.306252488,0.253087647,0.321211712,0.219638042,0.053917624,0.048979797,0.048317593,0.504869045,0.894458726,,
p08_uppercut_right_post_001,0.353856984,0.397188513,0.310590189,0.253910492,0.321365779,0.219707945,0.053278875,0.048298068,0.04842752,0.51451255,0.898200482,,
p08_uppercut_right_post_002,0.352492882,0.393994733,0.326013025,0.277187435,0.321543788,0.207782496,0.056115592,0.048034895,0.048265773,0.541875821,0.892896853,,
p08_uppercut_right_post_003,0.342301916,0.408545312,0.311691374,0.28109417,0.333073348,0.220206873,0.056568181,0.047910793,0.048597698,0.546710977,0.901634359,,
p08_uppercut_right_post_004,0.31981239,0.430179572,0.326030765,0.285865099,0.317708049,0.220223666,0.056426258,0.048011089,0.048646633,0.553364715,0.899229479,,
p08_uppercut_right_post_005,0.357671442,0.389338957,0.323166025,0.264515118,0.327577642,0.231251551,0.055090173,0.049124586,0.049883148,0.530382405,0.913139627,,
