hook_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p08_hook_left_main_001,0.325779162,0.435836385,0.307652829,0.30391483,0.28190356,0.223601436,0.052545405,0.049642301,0.047743825,0.547913709,0.881808922,0.781640358,0.765397185,0.020501601
p08_hook_left_main_002,0.31641145,0.423193142,0.320574591,0.254771987,0.295016523,0.187853774,0.053295127,0.048056025,0.047628832,0.54348713,0.818161235,0.735759003,0.764296615,
p08_hook_left_main_003,0.241444312,0.36585051,0.315009945,0.272617759,0.249078279,0.265444665,0.050601417,0.049117505,0.047738926,0.459692721,0.875801761,0.750969049,0.743795014,
p08_hook_left_main_004,0.30951159,0.368280697,0.310689092,0.291684463,0.265202302,0.239542409,0.050721341,0.049217903,0.048054367,0.494199302,0.88652189,0.768825114,,
p08_hook_left_main_005,0.325238667,0.40178762,0.3092644,0.307327827,0.284717878,0.169148076,0.052187721,0.050600795,0.0478604,0.48350893,0.881558196,0.762143416,,
p08_hook_left_main_006,0.308844139,0.360090939,0.321958767,0.259278143,0.251694432,0.251871275,0.050882375,0.048467489,0.047804096,0.462130881,0.889546504,0.761321817,,
p08_hook_left_main_007,0.327821887,0.400755291,0.317100611,0.310883612,0.292346658,0.226836544,0.052554453,0.049623113,0.048406628,0.550996732,0.891791944,0.789553381,,
p08_hook_left_main_008,0.293873782,0.362781106,0.325461772,0.278037362,0.273318502,0.245387684,0.05120369,0.050339366,0.047757342,0.486883554,0.8901461,0.769167336,,
p08_hook_left_main_009,0.319383438,0.417483633,0.321402008,0.285795407,0.295035814,0.196972875,0.053098848,0.048762497,0.047686058,0.525527153,0.869745951,0.766480311,,
p08_hook_left_main_010,0.296958561,0.369231418,0.327890176,0.262818224,0.252244965,0.232352545,0.050881814,0.048102081,0.047841955,0.46399788,0.875865745,0.752305385,,
p08_hook_left_main_011,0.259625234,0.419400876,0.343757106,0.281795656,0.275370215,0.236086202,0.05441166,0.053013747,0.047827469,0.527592906,0.872632576,0.769120675,,
p08_hook_left_main_012,0.224307701,0.349611388,0.341538323,0.270908306,0.234100424,0.251231889,0.050926969,0.048696739,0.047668599,0.460414476,0.84851676,0.732086075,,
p08_hook_left_main_013,0.236841378,0.368561185,0.332967072,0.260657881,0.253906423,0.263420248,0.050995864,0.049047103,0.047698188,0.455095582,0.885770796,0.756568232,,
p08_hook_left_main_014,0.246497845,0.35628941,0.323441141,0.258246116,0.251790153,0.263376308,0.050721099,0.048858292,0.047798314,0.43754315,0.887413785,0.752452594,,
p08_hook_left_main_015,0.298475183,0.453132217,0.331806806,0.297056053,0.31056546,0.24066206,0.055000797,0.053792811,0.047706914,0.574294573,0.901440278,0.803296567,,
p08_hook_left_main_016,0.301141552,0.402543827,0.32732266,0.310575209,0.294640872,0.274103661,0.054727321,0.054262679,0.048022855,0.560641624,0.918930632,0.81144393,,
p08_hook_left_main_017,0.304789023,0.397655793,0.339900291,0.274385636,0.278236915,0.255023468,0.052296442,0.04945191,0.047655309,0.538061092,0.888564056,0.783413167,,
p08_hook_left_main_018,0.310351468,0.419469863,0.328422259,0.261459867,0.272687032,0.245203853,0.05356263,0.050762169,0.047740547,0.517332387,0.885237932,0.774866269,,
p08_hook_left_main_019,0.268908375,0.419496657,0.321687352,0.262359122,0.272872817,0.220429804,0.053885273,0.048052669,0.047623077,0.485109948,0.864146293,0.75043539,,
p08_hook_left_main_020,0.257113937,0.353142274,0.318582264,0.226096938,0.246659186,0.265266202,0.05080864,0.049032981,0.047680343,0.42027345,0.867113194,0.733061271,,
p08_hook_left_main_021,0.30162872,0.401095351,0.327794705,0.285583156,0.276095308,0.239331196,0.052541838,0.050630337,0.047633565,0.526119028,0.881448592,0.774849723,,
p08_hook_left_main_022,0.334779251,0.41692913,0.335801584,0.253073149,0.270027854,0.18931673,0.052842617,0.048227832,0.047777004,0.534001584,0.826335797,0.738635533,,
p08_hook_left_main_023,0.259198936,0.373442659,0.322894739,0.246801781,0.237598954,0.248896838,0.050905658,0.048796774,0.047660061,0.445471909,0.854989427,0.732134171,,
p08_hook_left_main_024,0.301382111,0.422878465,0.335081032,0.293661499,0.26151081,0.211355095,0.053667568,0.048148327,0.047632679,0.547920218,0.847560597,0.757668483,,
p08_hook_left_main_025,0.266469934,0.365652166,0.318578926,0.277832158,0.253249967,0.247501851,0.050553159,0.049681507,0.048315572,0.44742851,0.89554185,0.761107848,,
p08_hook_left_main_026,0.309125267,0.401653083,0.332899853,0.293680077,0.266485714,0.233856011,0.051389495,0.048825948,0.04789306,0.530975259,0.885546124,0.779174864,,
p08_hook_left_main_027,0.279441491,0.397824329,0.334056692,0.301457336,0.26519298,0.237951074,0.05183047,0.049282427,0.047715877,0.506166399,0.903162955,0.784063988,,
p08_hook_left_main_028,0.295614923,0.359640451,0.314477695,0.279045648,0.24975011,0.252650509,0.050483764,0.048729155,0.047784923,0.468292414,0.890741128,0.764006514,,
p08_hook_left_main_029,0.31750727,0.39640337,0.341831697,0.278850224,0.271019357,0.228997045,0.051951564,0.049616203,0.04779143,0.51920065,0.889173769,0.778181833,,
p08_hook_left_main_030,0.32438918,0.420866976,0.314876468,0.304488564,0.270164634,0.230384999,0.052572833,0.048263006,0.047831048,0.525498967,0.899333663,0.787183254,,
p08_hook_left_post_001,0.294183286,0.415348167,0.336640341,0.281217097,0.247743238,0.211670469,0.051982169,0.049424436,0.047930797,0.492086644,0.875890127,0.760749082,,
p08_hook_left_post_002,0.321906382,0.40440902,0.331497778,0.286224974,0.271068828,0.226419196,0.051987385,0.051038449,0.047854833,0.5091296,0.898553848,0.781726574,,
p08_hook_left_post_003,0.294562036,0.391294376,0.339621,0.275661204,0.271877121,0.245627953,0.052299744,0.048599179,0.047638596,0.526991098,0.874027572,0.76991663,,
p08_hook_left_post_004,0.290096429,0.425562692,0.348345518,0.308690666,0.252272451,0.188241469,0.052926636,0.049131027,0.047648259,0.540382582,0.846846745,0.754907496,,
p08_hook_left_post_005,0.285360985,0.366589989,0.33609022,0.294927176,0.250479939,0.238578536,0.051088939,0.048907575,0.047679145,0.512004597,0.861889909,0.756924315,,
p08_hook_left_post_006,0.235997034,0.409473672,0.32743144,0.264615161,0.272226893,0.23195867,0.054962281,0.051192195,0.047635705,0.502706964,0.836008143,0.736017789,,
p08_hook_left_post_007,0.260135556,0.423284598,0.304697178,0.303999761,0.286670282,0.235460578,0.052679276,0.04894869,0.047827773,0.505090968,0.898586265,0.780537676,,
p08_hook_left_post_008,0.301049792,0.431401459,0.33637986,0.323541677,0.271742339,0.212996682,0.052565924,0.048120087,0.047790757,0.551820973,0.893238477,0.790813226,,
p08_hook_left_post_009,0.240450131,0.366200329,0.342286014,0.23725637,0.236962302,0.263897851,0.050498065,0.048313274,0.047692606,0.443410589,0.868639522,0.741070842,,
p08_hook_left_post_010,0.269860177,0.385888264,0.334060692,0.285005534,0.270393858,0.25780922,0.051826592,0.050544038,0.047708654,0.52874563,0.873826897,0.770302517,,
p08_hook_left_pre_001,0.324231781,0.407528756,0.31404064,0.243763446,0.280324517,0.231032484,0.051466268,0.048940715,0.04773074,0.535970127,0.832953166,0.743858254,,
p08_hook_left_pre_002,0.33533572,0.410338134,0.335433362,0.239160147,0.260816428,0.238650835,0.050920432,0.049047277,0.047701517,0.547233321,0.833837217,0.747856048,,
p08_hook_left_pre_003,0.330159845,0.412664313,0.311911572,0.245929974,0.262929039,0.25070593,0.051026654,0.048948201,0.047731518,0.544897556,0.830903284,0.745101565,,
p08_hook_left_pre_004,0.320048611,0.437743163,0.338249786,0.284614715,0.288781738,0.254884239,0.052505276,0.049150675,0.047845884,0.605662235,0.873834252,0.793382647,,
p08_hook_left_pre_005,0.339531235,0.388276091,0.321060266,0.239046984,0.272767381,0.285089494,0.05070477,0.048457745,0.048058297,0.552256094,0.866246624,0.772049465,,
p08_hook_left_pre_006,0.291372938,0.331233789,0.334613908,0.220518131,0.222274982,0.259691484,0.050809035,0.048120724,0.047625093,0.556911344,0.718922946,0.670319465,,
p08_hook_left_pre_007,0.326797637,0.361822272,0.327451727,0.23705303,0.25641459,0.276574199,0.051019576,0.048076845,0.047634478,0.565932473,0.807602541,0.735101521,,
p08_hook_left_pre_008,0.308649647,0.42668253,0.323907773,0.263372352,0.283848504,0.234597308,0.052167563,0.048024354,0.047661224,0.553740745,0.855768883,0.765160442,,
p08_hook_left_pre_009,0.305625348,0.387044316,0.319631298,0.232856942,0.269318677,0.246267587,0.052144926,0.048685052,0.047637813,0.553456671,0.791255661,0.719915964,,
p08_hook_left_pre_010,0.315563118,0.380428011,0.300556766,0.249345408,0.262253973,0.267641508,0.050883772,0.048256103,0.047699895,0.519915578,0.841757279,0.745204769,,
AVG,0.295075469,0.395283883,0.3265726,0.273238895,0.266873024,0.23863704,0.052010263,0.049340567,0.047774257,0.513882358,0.866702756,0.760856637,,
