jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p08_jap_main_001,0.231157304,0.490501914,0.254996299,0.275205722,0.213481533,0.253583209,0.048086482,0.048532394,0.047631086,0.393458717,0.907531485,0.753309655,0.803376847,0.01731262
p08_jap_main_002,0.241428491,0.486435816,0.266032461,0.293009636,0.223327412,0.229658105,0.047996709,0.048675812,0.047620414,0.419415909,0.899579192,0.755530207,0.739059407,
p08_jap_main_003,0.250696433,0.486223818,0.333110327,0.30982927,0.234736222,0.229319893,0.048176831,0.052570483,0.047670551,0.497573329,0.91258162,0.788079133,0.721746788,
p08_jap_main_004,0.247946696,0.496038009,0.315630425,0.318114642,0.246682829,0.231641486,0.048276745,0.053233298,0.04773051,0.510419556,0.906702691,0.78781775,,
p08_jap_main_005,0.23378822,0.492833041,0.323304627,0.291230875,0.231424284,0.231610071,0.047947444,0.049050121,0.047640781,0.506934164,0.876703136,0.765772444,,
p08_jap_main_006,0.256664466,0.494895358,0.29612571,0.310538419,0.261547029,0.194200279,0.048611337,0.050617594,0.047676844,0.521542056,0.858444379,0.757373682,,
p08_jap_main_007,0.282665278,0.50442898,0.332718906,0.348927662,0.274784951,0.22439188,0.048078722,0.052499555,0.047832719,0.585792335,0.924376724,0.822801407,,
p08_jap_main_008,0.273888504,0.491797991,0.349763789,0.312742943,0.273111113,0.253289026,0.047969792,0.049486689,0.04766658,0.58162164,0.928761904,0.824619825,,
p08_jap_main_009,0.294031555,0.485636201,0.341918145,0.316446634,0.284942692,0.223553545,0.048407952,0.050253198,0.047728252,0.567601449,0.924965163,0.817756049,,
p08_jap_main_010,0.256287845,0.503218397,0.322865078,0.313942566,0.3108,0.239935219,0.047806938,0.04881177,0.047694538,0.596981647,0.90972509,0.815902057,,
p08_jap_main_011,0.270190111,0.480968471,0.310990149,0.297815875,0.302306191,0.169916405,0.048034302,0.047866779,0.047622221,0.527215382,0.874306937,0.770179471,,
p08_jap_main_012,0.252732767,0.487560295,0.338321374,0.308010301,0.320485434,0.244596503,0.047773109,0.048404944,0.047690097,0.594701594,0.924959453,0.825882095,,
p08_jap_main_013,0.270561145,0.489377524,0.330194478,0.325888839,0.31176747,0.215584455,0.04798157,0.048818286,0.047786607,0.588739688,0.912349539,0.815266584,,
p08_jap_main_014,0.283812554,0.505347335,0.341158987,0.319182474,0.290958868,0.214077485,0.04807278,0.049221819,0.047671531,0.575527326,0.923860728,0.819360707,,
p08_jap_main_015,0.270827132,0.49195854,0.3394059,0.314347443,0.276626332,0.228222865,0.047806037,0.048054247,0.047630012,0.57723463,0.906288225,0.807572146,,
