Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.025623,0.929681,0.036994,0.365608,-4.188425,85.1007,16.354088,-0.024489,0.956098,0.086944,0.278779,-4.762928,92.76104,16.73904,9.6e-05,0.962527,0.112318,0.246833,-6.789324,113.676468,19.983683,0.131571,0.977181,-0.028487,0.164302,-7.947318,134.101913,24.515341,0.179662,0.967599,-0.166134,0.062234,-3.48442,147.928207,22.562851,0.005764,0.897958,0.105306,0.427258,-11.381883,128.630905,21.997898,0.349132,-0.569087,0.107018,-0.736746,-22.48329,130.385513,8.600926,0.195462,0.127098,-0.440127,-0.867139,-14.304656,116.602882,-10.365287,0.278182,0.239489,-0.546256,-0.752904,1.141208,138.243362,-9.077838,-0.006597,0.958697,0.168598,0.228979,-4.844137,128.216736,25.53532,0.369541,0.876682,0.17418,-0.254025,10.807697,127.087738,33.251804,0.041844,0.181973,0.508435,-0.840612,25.652063,113.196182,18.995644,0.086391,-0.11076,0.682401,-0.717354,15.395309,133.858444,10.419123,0.027743,0.897401,0.210811,0.386601,-11.048383,84.907547,9.959899,0.096918,0.971673,-0.064559,0.205646,-6.945592,51.942635,-4.530197,-0.065605,0.955871,0.054699,0.281094,-17.167109,5.66808,-0.458744,-0.129802,0.902194,-0.01568,0.411037,2.671532,85.293846,22.748276,0.015412,0.858078,-0.185231,0.478701,10.692714,50.290932,27.640894,-0.063144,0.855268,0.042476,0.512567,0.999568,6.012863,42.059135,-0.065605,0.955871,0.054699,0.281094,-8.755096,1.650359,-12.633631,-0.063144,0.855268,0.042476,0.512567,14.18401,1.919594,35.384747
1,0.008333,-0.025739,0.92977,0.037328,0.365339,-4.134983,85.100571,16.351545,-0.024488,0.956122,0.087441,0.278543,-4.712898,92.760437,16.740786,-0.000222,0.962533,0.112705,0.246634,-6.743749,113.666809,20.005127,0.131465,0.977237,-0.027869,0.164162,-7.917615,134.088608,24.549133,0.179166,0.967774,-0.16572,0.062055,-3.460756,147.919113,22.612801,0.005727,0.897972,0.105855,0.427094,-11.348337,128.61618,22.029556,0.349075,-0.569276,0.106307,-0.73673,-22.454681,130.377228,8.637515,0.195039,0.126932,-0.440322,-0.867159,-14.279207,116.619003,-10.347785,0.277744,0.239392,-0.546474,-0.752938,1.160097,138.264923,-9.059958,-0.00667,0.958676,0.169117,0.228683,-4.809131,128.20546,25.564688,0.369268,0.876614,0.174586,-0.25438,10.847421,127.076492,33.271618,0.041738,0.18135,0.50824,-0.84087,25.692856,113.206314,18.995779,0.086612,-0.11111,0.682122,-0.717539,15.415012,133.869629,10.445638,0.028182,0.897494,0.210517,0.386513,-10.998517,84.907463,9.961188,0.096858,0.971826,-0.06444,0.204991,-6.934039,51.935352,-4.523345,-0.065912,0.955998,0.054909,0.280552,-17.145079,5.65823,-0.454748,-0.129533,0.902383,-0.015914,0.410698,2.728552,85.293671,22.741901,0.015756,0.858148,-0.185494,0.478462,10.727339,50.28624,27.63887,-0.062365,0.855256,0.043081,0.512633,0.998255,6.01846,42.06451,-0.065912,0.955998,0.054909,0.280552,-8.743477,1.648536,-12.63947,-0.062365,0.855256,0.043081,0.512633,14.179662,1.928062,35.382355
2,0.016667,-0.025905,0.929856,0.037637,0.365077,-4.080256,85.09967,16.349401,-0.024637,0.95615,0.087922,0.278279,-4.662162,92.759056,16.742281,-0.000386,0.962558,0.113069,0.246368,-6.703506,113.658272,20.024307,0.131013,0.977362,-0.027161,0.163896,-7.886489,134.076614,24.581442,0.178973,0.967905,-0.165238,0.061844,-3.446098,147.914703,22.661499,0.005815,0.898012,0.106096,0.426947,-11.315401,128.603836,22.060171,0.348794,-0.569309,0.105979,-0.736884,-22.426098,130.370728,8.672512,0.19449,0.126711,-0.440685,-0.86713,-14.249049,116.631058,-10.325539,0.277293,0.239496,-0.546836,-0.752808,1.176776,138.287842,-9.038927,-0.006853,0.95865,0.16957,0.22845,-4.774246,128.19458,25.591862,0.369144,0.876526,0.174699,-0.254787,10.885936,127.069496,33.291973,0.041445,0.180944,0.508165,-0.841017,25.725657,113.211288,18.998579,0.086477,-0.111365,0.681917,-0.717711,15.436575,133.879028,10.47122,0.028527,0.897632,0.21037,0.386249,-10.94722,84.905563,9.962764,0.097048,0.971826,-0.064487,0.204884,-6.913592,51.930393,-4.523417,-0.065705,0.956008,0.05501,0.280545,-17.142487,5.657363,-0.453199,-0.129246,0.902418,-0.016074,0.410705,2.786707,85.293785,22.73604,0.016115,0.858225,-0.185685,0.478238,10.762316,50.281345,27.635056,-0.06292,0.855274,0.042401,0.512591,0.999026,6.021395,42.061607,-0.065705,0.956008,0.05501,0.280545,-8.742929,1.648544,-12.639618,-0.06292,0.855274,0.042401,0.512591,14.181749,1.922709,35.387142
3,0.025,-0.025982,0.929959,0.037988,0.364771,-4.026188,85.094841,16.345125,-0.024968,0.956183,0.088253,0.278034,-4.611039,92.753754,16.742771,-0.000313,0.96256,0.113685,0.246078,-6.669186,113.653137,20.035242,0.13075,0.977461,-0.02698,0.163547,-7.854197,134.065643,24.617989,0.178768,0.968061,-0.164619,0.061652,-3.423127,147.906998,22.70005,0.005782,0.897971,0.106522,0.426929,-11.283314,128.595154,22.092012,0.34852,-0.569471,0.105719,-0.736926,-22.394566,130.367279,8.705507,0.193909,0.126524,-0.44094,-0.867158,-14.223927,116.641876,-10.305607,0.276796,0.239457,-0.547226,-0.752721,1.194191,138.307724,-9.016273,-0.006769,0.958699,0.169744,0.228118,-4.74003,128.183075,25.619432,0.368755,0.876527,0.174969,-0.25516,10.925488,127.055801,33.308365,0.041068,0.180487,0.507923,-0.84128,25.769987,113.221153,18.997114,0.086394,-0.111727,0.68154,-0.718023,15.461191,133.888779,10.496662,0.028781,0.897813,0.210261,0.385868,-10.897272,84.901505,9.962896,0.097313,0.971803,-0.064568,0.204842,-6.889406,51.924061,-4.525259,-0.065645,0.956,0.055027,0.280584,-17.14386,5.656922,-0.452407,-0.128933,0.902513,-0.016242,0.410589,2.844896,85.28817,22.727356,0.016381,0.858197,-0.185955,0.478174,10.796011,50.270264,27.627077,-0.062787,0.855291,0.042567,0.512566,0.999881,6.020698,42.063202,-0.065645,0.956,0.055027,0.280584,-8.743874,1.648077,-12.638519,-0.062787,0.855291,0.042567,0.512566,14.181754,1.924046,35.385807
4,0.033333,-0.0259,0.930066,0.038272,0.364475,-3.979278,85.093651,16.341877,-0.025193,0.956195,0.088703,0.277827,-4.564417,92.752296,16.744223,-0.000288,0.962568,0.114076,0.245866,-6.636007,113.645348,20.052185,0.1308,0.977484,-0.026496,0.163444,-7.823048,134.054123,24.650991,0.17821,0.968209,-0.164381,0.061573,-3.392973,147.897644,22.746412,0.005722,0.898,0.107092,0.426726,-11.252163,128.5849,22.12228,0.348577,-0.56956,0.105165,-0.73691,-22.369503,130.362885,8.741611,0.193555,0.126437,-0.441158,-0.867139,-14.198105,116.654709,-10.281591,0.276338,0.239329,-0.547429,-0.752782,1.210232,138.325851,-8.990392,-0.00679,0.958684,0.170079,0.22793,-4.707325,128.171402,25.646645,0.368486,0.876515,0.174556,-0.255871,10.961177,127.043243,33.329357,0.040341,0.180491,0.507596,-0.841511,25.797493,113.221481,18.997204,0.085109,-0.111951,0.681281,-0.718387,15.471366,133.889847,10.512479,0.029001,0.897935,0.210073,0.385671,-10.854483,84.903427,9.963994,0.097516,0.971911,-0.064494,0.204256,-6.869483,51.921165,-4.519501,-0.065476,0.956044,0.055061,0.280468,-17.13866,5.656874,-0.451357,-0.128837,0.902837,-0.016365,0.4099,2.895926,85.283875,22.719759,0.016754,0.858155,-0.186263,0.478116,10.84096,50.264465,27.618629,-0.062834,0.855289,0.042288,0.512587,1.00151,6.026962,42.062275,-0.065476,0.956044,0.055061,0.280468,-8.743162,1.647241,-12.640304,-0.062834,0.855289,0.042288,0.512587,14.183044,1.924081,35.388039
5,0.041667,-0.025963,0.930175,0.038604,0.364158,-3.928017,85.088913,16.338406,-0.02529,0.95626,0.089129,0.277457,-4.515775,92.747116,16.745344,-0.000538,0.962617,0.114486,0.245482,-6.595051,113.636909,20.070154,0.130585,0.97757,-0.026144,0.163158,-7.794565,134.041733,24.683174,0.178022,0.968326,-0.163947,0.061444,-3.372975,147.888992,22.786005,0.005687,0.898075,0.107427,0.426483,-11.221252,128.571533,22.153299,0.348682,-0.569657,0.104414,-0.736892,-22.345842,130.352524,8.779057,0.193264,0.126403,-0.441326,-0.867123,-14.172103,116.667221,-10.25961,0.275924,0.239246,-0.547552,-0.75287,1.228504,138.343079,-8.965002,-0.006893,0.95868,0.170508,0.227624,-4.673608,128.160782,25.672773,0.36817,0.87646,0.175013,-0.256201,10.999732,127.034485,33.34589,0.039886,0.180136,0.507128,-0.841891,25.839224,113.236115,18.994471,0.084181,-0.111778,0.68114,-0.718657,15.483698,133.898773,10.533579,0.029219,0.898093,0.210123,0.385258,-10.807494,84.89959,9.965105,0.097956,0.971808,-0.064691,0.204473,-6.841866,51.919769,-4.529275,-0.065221,0.955942,0.054875,0.28091,-17.155985,5.666095,-0.454132,-0.128478,0.902936,-0.016406,0.409793,2.95146,85.278244,22.711704,0.016966,0.858044,-0.186585,0.478184,10.87284,50.252228,27.601654,-0.062782,0.85527,0.042281,0.512624,1.000416,6.026837,42.059875,-0.065221,0.955942,0.054875,0.28091,-8.752053,1.649443,-12.634953,-0.062782,0.85527,0.042281,0.512624,14.182077,1.922975,35.38649
6,0.05,-0.025907,0.930291,0.038733,0.36385,-3.886376,85.08567,16.338074,-0.025383,0.956295,0.089514,0.277205,-4.473912,92.743767,16.747374,-0.000534,0.962638,0.114842,0.245232,-6.560382,113.628517,20.086838,0.130299,0.977666,-0.025658,0.162891,-7.762204,134.029922,24.714369,0.177913,0.968427,-0.163541,0.061243,-3.351546,147.882156,22.828167,0.005707,0.898239,0.10776,0.426054,-11.18891,128.560669,22.182455,0.348412,-0.569678,0.104072,-0.737052,-22.32629,130.345673,8.819403,0.1928,0.126225,-0.44149,-0.867169,-14.150206,116.679337,-10.231876,0.275465,0.239257,-0.547678,-0.752944,1.245403,138.359344,-8.935959,-0.006973,0.958673,0.17084,0.227402,-4.639438,128.149002,25.698412,0.368374,0.876123,0.176284,-0.25619,11.037386,127.024063,33.364601,0.040296,0.17933,0.507497,-0.841822,25.869686,113.239075,18.992918,0.08472,-0.112777,0.68061,-0.718939,15.521137,133.907623,10.557354,0.029509,0.898232,0.209989,0.384986,-10.770119,84.897926,9.969336,0.097861,0.971951,-0.064614,0.203863,-6.831601,51.915264,-4.525945,-0.065426,0.956105,0.054964,0.280287,-17.13303,5.658874,-0.449568,-0.128271,0.903097,-0.016476,0.4095,2.997366,85.273415,22.706812,0.01722,0.857998,-0.186871,0.478144,10.904921,50.243713,27.592718,-0.062718,0.855314,0.04224,0.512562,0.999507,6.029317,42.062008,-0.065426,0.956105,0.054964,0.280287,-8.742627,1.6458,-12.640883,-0.062718,0.855314,0.04224,0.512562,14.179535,1.92336,35.386688
7,0.058333,-0.025886,0.93041,0.039023,0.363517,-3.840225,85.08477,16.334093,-0.025685,0.956336,0.089844,0.27693,-4.428934,92.742531,16.747862,-0.000353,0.96265,0.115448,0.244902,-6.530502,113.623306,20.097513,0.130184,0.977747,-0.025286,0.162553,-7.729638,134.01889,24.7514,0.177653,0.96855,-0.163184,0.060996,-3.324957,147.874146,22.8734,0.005625,0.898309,0.108113,0.425819,-11.157946,128.552719,22.214983,0.348133,-0.569834,0.103704,-0.737115,-22.302364,130.339523,8.858032,0.192282,0.126117,-0.441587,-0.86725,-14.13131,116.691544,-10.208551,0.274943,0.2393,-0.547674,-0.753123,1.261507,138.373795,-8.905892,-0.006911,0.958661,0.171238,0.227155,-4.606063,128.136795,25.725952,0.367935,0.876126,0.176461,-0.256688,11.074732,127.008095,33.383472,0.039993,0.178913,0.507383,-0.841993,25.910395,113.248741,18.990698,0.084869,-0.113264,0.680692,-0.718767,15.548285,133.921402,10.578296,0.029775,0.898348,0.209899,0.384742,-10.728529,84.899071,9.970224,0.098037,0.971983,-0.064651,0.203611,-6.81376,51.914818,-4.527874,-0.065323,0.956142,0.054922,0.280194,-17.130873,5.662149,-0.448895,-0.128045,0.903206,-0.016579,0.409327,3.048078,85.27047,22.697962,0.017466,0.857953,-0.187127,0.478116,10.939017,50.236816,27.582363,-0.062864,0.855306,0.042025,0.512576,1.002415,6.032351,42.060604,-0.065323,0.956142,0.054922,0.280194,-8.74383,1.646791,-12.641775,-0.062864,0.855306,0.042025,0.512576,14.183042,1.923335,35.388344
8,0.066667,-0.025955,0.930542,0.039293,0.363145,-3.792811,85.085388,16.331505,-0.025714,0.956391,0.090276,0.276598,-4.383844,92.742767,16.74897,-0.000538,0.962686,0.115793,0.244596,-6.489947,113.615288,20.115629,0.129925,0.977853,-0.024927,0.162181,-7.698621,134.007507,24.78174,0.177679,0.96866,-0.162627,0.060669,-3.303957,147.866882,22.910725,0.005643,0.898447,0.108524,0.425423,-11.1251,128.540726,22.244167,0.347921,-0.569988,0.10324,-0.737161,-22.281307,130.332764,8.897759,0.191806,0.126045,-0.441666,-0.867326,-14.114184,116.704857,-10.184871,0.27442,0.23935,-0.547548,-0.75339,1.276542,138.389465,-8.874581,-0.007055,0.958648,0.171822,0.226762,-4.570985,128.126724,25.751194,0.367884,0.876038,0.176147,-0.257277,11.11597,127.000557,33.396465,0.039603,0.178457,0.507817,-0.841847,25.938452,113.246201,18.985344,0.085791,-0.113938,0.680341,-0.718884,15.589348,133.938782,10.601448,0.029958,0.898484,0.209923,0.384397,-10.686127,84.899979,9.973056,0.098459,0.971892,-0.064793,0.2038,-6.788143,51.917255,-4.533046,-0.065042,0.956055,0.05465,0.280611,-17.147327,5.674222,-0.451399,-0.127775,0.903356,-0.016768,0.409073,3.100504,85.27079,22.689953,0.017802,0.858111,-0.187366,0.477726,10.969885,50.232594,27.576601,-0.062658,0.855323,0.041944,0.512578,1.001708,6.03776,42.062561,-0.065042,0.956055,0.05465,0.280611,-8.752805,1.649164,-12.635933,-0.062658,0.855323,0.041944,0.512578,14.180396,1.923469,35.389717
9,0.075,-0.026036,0.930625,0.039551,0.362899,-3.745033,85.082596,16.327759,-0.025904,0.956426,0.090657,0.276333,-4.338552,92.739601,16.74861,-0.000482,0.962709,0.116253,0.244288,-6.456045,113.610168,20.129171,0.130282,0.977861,-0.024217,0.161951,-7.665654,133.997925,24.814512,0.177158,0.968788,-0.162577,0.060287,-3.264858,147.858124,22.964077,0.005743,0.898407,0.109193,0.425335,-11.092676,128.532822,22.274097,0.347775,-0.570285,0.103002,-0.737033,-22.251451,130.337585,8.931557,0.191263,0.125961,-0.441716,-0.867433,-14.098713,116.718056,-10.163203,0.273694,0.239348,-0.54737,-0.753784,1.290788,138.403061,-8.843821,-0.006901,0.958671,0.17208,0.226473,-4.536321,128.116867,25.776705,0.367743,0.875871,0.176847,-0.257567,11.155288,126.985252,33.411606,0.039583,0.177956,0.507802,-0.841963,25.975519,113.251564,18.978483,0.085761,-0.114474,0.679954,-0.719169,15.617472,133.946304,10.615389,0.030197,0.898619,0.209818,0.38412,-10.641611,84.897301,9.972849,0.098666,0.971916,-0.064834,0.20357,-6.766676,51.912403,-4.534497,-0.064635,0.956104,0.054763,0.280515,-17.144644,5.673763,-0.450826,-0.127491,0.903544,-0.01696,0.408738,3.151546,85.267891,22.682671,0.018101,0.858179,-0.187566,0.477514,10.998792,50.224911,27.570614,-0.062815,0.855297,0.041951,0.512602,1.000808,6.038216,42.060844,-0.064635,0.956104,0.054763,0.280515,-8.756295,1.647925,-12.639353,-0.062815,0.855297,0.041951,0.512602,14.181167,1.92661,35.389648
