Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.015756,0.955971,0.052553,0.288288,3.230638,85.713127,14.054939,-0.06054,0.942604,0.147046,0.293616,3.229331,93.097847,14.868936,0.023748,0.949186,0.132006,0.284705,-0.283933,109.735748,19.103851,0.063748,0.97718,-0.067066,0.191199,-0.894593,129.304047,24.465096,0.033914,0.979818,-0.178097,0.084186,1.8768,142.825363,21.303469,-0.038079,0.908507,0.169808,0.379908,-4.037421,125.56517,21.733618,0.218293,-0.663578,0.053425,-0.713553,-13.188749,126.338066,12.649569,-0.087984,-0.164592,-0.434726,-0.881012,-9.876818,115.670868,-14.274648,-0.224156,0.213066,-0.559566,-0.768923,2.365675,132.80986,-18.87801,-0.023619,0.938961,0.261619,0.222149,2.027335,124.693634,25.605509,0.216057,0.832643,0.053087,-0.507155,13.655543,123.765099,31.154081,-0.186509,0.036527,0.459923,-0.867382,25.0886,114.846893,5.867276,-0.09118,-0.258465,0.568442,-0.775729,12.813777,132.191986,8.179871,0.083502,0.931046,0.173778,0.309809,-4.319165,86.260605,9.076007,0.084436,0.996329,-0.007146,0.01216,-6.049389,52.762592,-4.506575,0.074248,0.956762,0.017355,0.280701,-13.836074,7.194156,-3.943174,-0.069187,0.929291,-0.081419,0.353557,10.780441,85.165657,19.033871,0.010501,0.878865,-0.142408,0.455199,13.35041,49.803547,26.280487,-0.036582,0.856375,0.031893,0.514068,6.503081,5.456567,37.411137,0.074248,0.956762,0.017355,0.280701,-7.280562,1.258273,-15.824821,-0.036582,0.856375,0.031893,0.514068,18.99946,0.848645,30.931128
1,0.008333,0.015561,0.955906,0.053097,0.288415,3.228131,85.706703,14.060959,-0.061132,0.942639,0.147087,0.293359,3.2216,93.09066,14.88182,0.023777,0.949372,0.131572,0.284281,-0.311436,109.730553,19.113977,0.064431,0.976959,-0.069012,0.191411,-0.913496,129.303436,24.459423,0.035361,0.979085,-0.181445,0.084972,1.887082,142.807495,21.25012,-0.038227,0.908672,0.168847,0.379927,-4.059571,125.562843,21.73403,0.218337,-0.66361,0.053968,-0.71347,-13.210234,126.322762,12.64822,-0.088749,-0.163113,-0.434895,-0.881126,-9.904162,115.631172,-14.267035,-0.224708,0.213756,-0.559268,-0.768788,2.352603,132.778122,-18.7999,-0.023607,0.939002,0.260586,0.223188,2.008663,124.693443,25.600946,0.21954,0.832828,0.057307,-0.504892,13.624925,123.763565,31.174263,-0.182847,0.036011,0.459585,-0.868362,25.103069,114.791153,5.927104,-0.090076,-0.257754,0.568854,-0.775793,12.816042,132.129456,8.1822,0.083485,0.931023,0.174117,0.309692,-4.320447,86.253738,9.080126,0.084459,0.996329,-0.007285,0.011954,-6.043297,52.764069,-4.52393,0.074385,0.956756,0.017241,0.280693,-13.832185,7.1962,-3.946141,-0.069266,0.929229,-0.081113,0.353776,10.776709,85.159668,19.041794,0.010508,0.878752,-0.142533,0.455379,13.358222,49.794754,26.270569,-0.036589,0.856356,0.032013,0.514093,6.502872,5.45108,37.409435,0.074385,0.956756,0.017241,0.280693,-7.279019,1.256528,-15.827185,-0.036589,0.856356,0.032013,0.514093,19.000217,0.846141,30.929169
2,0.016667,0.01543,0.95584,0.053573,0.288551,3.223918,85.698929,14.069286,-0.060711,0.942372,0.147613,0.294039,3.213372,93.082199,14.89633,0.024182,0.949184,0.130815,0.285224,-0.313243,109.714333,19.146328,0.063853,0.976718,-0.07101,0.192098,-0.896166,129.294495,24.467203,0.036487,0.978491,-0.184056,0.085713,1.90219,142.785995,21.203651,-0.038034,0.909022,0.168513,0.379258,-4.042902,125.555206,21.740784,0.218112,-0.663913,0.054708,-0.7132,-13.207078,126.31311,12.668427,-0.089407,-0.162288,-0.434905,-0.881208,-9.92918,115.596436,-14.240307,-0.225057,0.214617,-0.558871,-0.768734,2.337176,132.744461,-18.729383,-0.023124,0.939219,0.259453,0.223647,2.017271,124.681618,25.619389,0.220187,0.832807,0.056036,-0.504788,13.628824,123.743607,31.201155,-0.182046,0.037242,0.460002,-0.868257,25.096502,114.702316,5.97381,-0.089299,-0.256288,0.569194,-0.776119,12.828499,132.064056,8.17108,0.083503,0.930982,0.174462,0.309618,-4.323311,86.246315,9.086441,0.084471,0.996325,-0.007467,0.012029,-6.0403,52.765541,-4.540262,0.075205,0.95673,0.01752,0.280542,-13.830537,7.198107,-3.946287,-0.06943,0.929122,-0.080792,0.354097,10.771148,85.15155,19.05213,0.01058,0.878694,-0.142677,0.455443,13.369536,49.784531,26.264536,-0.036239,0.856334,0.032291,0.514137,6.501431,5.444795,37.41124,0.075205,0.95673,0.01752,0.280542,-7.288853,1.261289,-15.835086,-0.036239,0.856334,0.032291,0.514137,18.997696,0.841377,30.927807
3,0.025,0.015377,0.955782,0.05407,0.288654,3.218057,85.689751,14.071327,-0.060698,0.942292,0.147779,0.294215,3.204528,93.07225,14.905177,0.024434,0.949195,0.130202,0.285445,-0.324773,109.705826,19.160795,0.064031,0.976503,-0.072454,0.192592,-0.892029,129.291992,24.461243,0.037193,0.978111,-0.185514,0.086599,1.920839,142.771744,21.161802,-0.037828,0.909252,0.167737,0.379071,-4.041213,125.552681,21.737688,0.217951,-0.664062,0.055701,-0.713033,-13.209456,126.30677,12.669127,-0.090026,-0.161295,-0.435034,-0.881263,-9.949475,115.553688,-14.227255,-0.225225,0.215462,-0.558191,-0.768942,2.323983,132.705475,-18.666229,-0.023001,0.9394,0.258295,0.224237,2.016951,124.677727,25.619122,0.221217,0.832916,0.055254,-0.504242,13.621826,123.739609,31.214737,-0.180657,0.038275,0.460212,-0.868391,25.095081,114.622131,6.01736,-0.08851,-0.255833,0.569876,-0.775859,12.841,131.996857,8.149961,0.083491,0.930928,0.174723,0.309635,-4.328133,86.238892,9.087103,0.08454,0.99632,-0.007643,0.011901,-6.037958,52.764595,-4.556384,0.074589,0.956726,0.017251,0.28074,-13.834577,7.198477,-3.945265,-0.069682,0.928988,-0.080587,0.354445,10.764246,85.140617,19.055552,0.010648,0.878641,-0.142789,0.455508,13.382125,49.773727,26.261574,-0.036668,0.856401,0.032306,0.513993,6.502978,5.437079,37.413765,0.074589,0.956726,0.017251,0.28074,-7.28253,1.257764,-15.826407,-0.036668,0.856401,0.032306,0.513993,19.000837,0.840315,30.928684
4,0.033333,0.015293,0.955759,0.054179,0.288712,3.209847,85.685303,14.083211,-0.060827,0.942227,0.147763,0.294405,3.194612,93.067657,14.918238,0.024702,0.949203,0.129557,0.285688,-0.338937,109.697601,19.170422,0.064057,0.976326,-0.073756,0.192991,-0.889672,129.290039,24.449417,0.0378,0.977972,-0.185735,0.087431,1.932441,142.759674,21.116737,-0.037605,0.909381,0.166671,0.379254,-4.041401,125.55072,21.7288,0.21807,-0.66429,0.056339,-0.712734,-13.206487,126.300285,12.656671,-0.090404,-0.160011,-0.435178,-0.881387,-9.968328,115.514183,-14.229122,-0.225169,0.216198,-0.558156,-0.768778,2.315666,132.668762,-18.611864,-0.022809,0.939599,0.257228,0.224651,2.014562,124.674294,25.613338,0.222285,0.832949,0.054705,-0.503778,13.614864,123.735062,31.218246,-0.179332,0.03902,0.460529,-0.868465,25.087822,114.547661,6.046137,-0.087351,-0.255002,0.570967,-0.775461,12.847548,131.940674,8.127574,0.083573,0.93083,0.174995,0.309754,-4.335775,86.233612,9.098034,0.084465,0.996326,-0.007706,0.011839,-6.042931,52.767193,-4.565114,0.074701,0.956716,0.017212,0.280746,-13.832709,7.199988,-3.947662,-0.069865,0.928877,-0.080284,0.354769,10.755469,85.136993,19.068388,0.010713,0.878593,-0.142852,0.455581,13.390975,49.768429,26.259745,-0.036729,0.856383,0.032357,0.514016,6.503032,5.433565,37.413601,0.074701,0.956716,0.017212,0.280746,-7.281997,1.257559,-15.828687,-0.036729,0.856383,0.032357,0.514016,19.001982,0.838926,30.929111
5,0.041667,0.015277,0.955734,0.054119,0.28881,3.198786,85.680237,14.096829,-0.060717,0.942217,0.147509,0.294587,3.183499,93.062691,14.930937,0.024858,0.949209,0.128914,0.285946,-0.344424,109.694443,19.175102,0.064106,0.976154,-0.074594,0.19352,-0.88303,129.293304,24.431396,0.03795,0.978004,-0.18505,0.088454,1.947298,142.75621,21.07851,-0.037468,0.909553,0.16581,0.379231,-4.036365,125.553177,21.713764,0.218177,-0.664443,0.057119,-0.712497,-13.202169,126.297256,12.641909,-0.090802,-0.159131,-0.435307,-0.881442,-9.980973,115.473412,-14.230757,-0.225252,0.216689,-0.557781,-0.768887,2.308584,132.630875,-18.571844,-0.022491,0.939794,0.256166,0.225077,2.01735,124.676804,25.60181,0.223055,0.832964,0.053734,-0.503518,13.613068,123.733292,31.215483,-0.178367,0.039948,0.460828,-0.868462,25.081306,114.478981,6.06575,-0.086541,-0.254072,0.571902,-0.775169,12.855637,131.888992,8.096082,0.08358,0.930804,0.175225,0.3097,-4.345827,86.228035,9.110067,0.084437,0.99633,-0.007712,0.011717,-6.048835,52.767529,-4.568042,0.074567,0.95672,0.017213,0.280766,-13.836029,7.199904,-3.949088,-0.070119,0.928711,-0.079981,0.355223,10.743399,85.132431,19.083591,0.010753,0.87846,-0.142874,0.455829,13.40028,49.762924,26.262457,-0.036911,0.856403,0.032434,0.513965,6.504983,5.42872,37.414364,0.074567,0.95672,0.017213,0.280766,-7.283299,1.258257,-15.829391,-0.036911,0.856403,0.032434,0.513965,19.005077,0.838606,30.928881
6,0.05,0.015242,0.955728,0.053907,0.288868,3.187913,85.677094,14.113498,-0.060726,0.942245,0.147079,0.294712,3.172981,93.059906,14.944464,0.025012,0.949241,0.128227,0.286135,-0.350985,109.693649,19.173576,0.06437,0.975958,-0.07518,0.19419,-0.876638,129.299362,24.405537,0.037624,0.978231,-0.183266,0.089791,1.967215,142.756485,21.040913,-0.037355,0.909702,0.164943,0.379263,-4.031988,125.558212,21.691683,0.218422,-0.664629,0.057683,-0.712202,-13.197377,126.296448,12.618934,-0.090972,-0.15817,-0.435319,-0.881592,-9.994439,115.438293,-14.242064,-0.225297,0.217423,-0.557549,-0.768835,2.306684,132.594849,-18.544065,-0.022223,0.939996,0.255225,0.225332,2.02005,124.68219,25.58242,0.224056,0.832963,0.053399,-0.503111,13.613112,123.736069,31.201134,-0.177316,0.040525,0.461096,-0.868509,25.079119,114.422058,6.072438,-0.085873,-0.253355,0.572636,-0.774936,12.866335,131.845001,8.062547,0.083556,0.930843,0.175456,0.30946,-4.356108,86.223236,9.125661,0.084402,0.996337,-0.007671,0.011442,-6.055583,52.768303,-4.566515,0.074385,0.956724,0.017192,0.280805,-13.839322,7.200065,-3.949158,-0.070304,0.928564,-0.079711,0.35563,10.731934,85.130951,19.101334,0.01078,0.878326,-0.142839,0.456096,13.405103,49.760197,26.267988,-0.036909,0.856371,0.032557,0.514009,6.50571,5.42514,37.413975,0.074385,0.956724,0.017192,0.280805,-7.283698,1.258849,-15.828077,-0.036909,0.856371,0.032557,0.514009,19.007019,0.837983,30.928743
7,0.058333,0.015226,0.955765,0.053274,0.288866,3.176157,85.676247,14.139053,-0.061167,0.942497,0.146101,0.294299,3.163723,93.060074,14.960988,0.024832,0.94948,0.127705,0.285593,-0.363218,109.702316,19.155539,0.065238,0.975836,-0.075141,0.194531,-0.886699,129.313828,24.365993,0.037167,0.978599,-0.180789,0.090988,1.982117,142.767426,21.008505,-0.037581,0.909661,0.163921,0.379782,-4.044425,125.568985,21.659975,0.218838,-0.664671,0.05814,-0.711999,-13.1992,126.294136,12.575462,-0.091173,-0.157129,-0.435468,-0.881684,-10.002598,115.401077,-14.27215,-0.225432,0.217828,-0.557232,-0.768911,2.306914,132.562042,-18.53079,-0.022127,0.940205,0.254155,0.225677,2.012234,124.698532,25.544762,0.224807,0.833078,0.052383,-0.502693,13.60139,123.754166,31.171822,-0.176777,0.041316,0.461538,-0.868347,25.072289,114.371147,6.071049,-0.085218,-0.252654,0.573229,-0.774798,12.881054,131.810364,8.024587,0.083625,0.930858,0.175659,0.309282,-4.367894,86.218803,9.150871,0.084259,0.996352,-0.007541,0.011206,-6.069803,52.76984,-4.555584,0.07427,0.956754,0.017256,0.280727,-13.840212,7.199195,-3.94812,-0.070445,0.928446,-0.07939,0.355981,10.720207,85.13369,19.127235,0.010811,0.878226,-0.142768,0.45631,13.408489,49.760677,26.277061,-0.036976,0.856367,0.032597,0.51401,6.506777,5.423811,37.414394,0.07427,0.956754,0.017256,0.280727,-7.28484,1.260517,-15.828447,-0.036976,0.856367,0.032597,0.51401,19.00885,0.838595,30.929262
8,0.066667,0.015189,0.95581,0.052651,0.288833,3.168556,85.677872,14.162761,-0.060691,0.942411,0.145756,0.294845,3.158314,93.062698,14.975712,0.025099,0.949321,0.126938,0.286438,-0.349993,109.701286,19.159845,0.064482,0.975744,-0.074955,0.195315,-0.858795,129.32019,24.343864,0.036688,0.979026,-0.177961,0.092154,1.992721,142.778366,20.989964,-0.037128,0.909793,0.162985,0.379914,-4.016599,125.575508,21.637716,0.218433,-0.664952,0.059287,-0.711766,-13.169659,126.302551,12.551622,-0.091702,-0.157082,-0.435299,-0.88172,-10.002671,115.374794,-14.285399,-0.225562,0.218052,-0.557071,-0.768926,2.313575,132.533188,-18.533167,-0.021696,0.940459,0.25346,0.225443,2.032857,124.703049,25.533264,0.225863,0.83281,0.052735,-0.502625,13.625232,123.753952,31.152893,-0.175444,0.041203,0.461864,-0.868449,25.072319,114.333252,6.055361,-0.084141,-0.252275,0.57444,-0.774142,12.893365,131.783661,7.989119,0.083685,0.930946,0.17582,0.308908,-4.375862,86.216515,9.174709,0.084144,0.996367,-0.007358,0.010893,-6.083559,52.772377,-4.542816,0.074186,0.956732,0.017241,0.280825,-13.843086,7.199693,-3.949707,-0.070518,0.92831,-0.079216,0.35636,10.712976,85.139236,19.150812,0.0108,0.878045,-0.142621,0.456705,13.407804,49.764977,26.292002,-0.036905,0.856382,0.032657,0.513987,6.508224,5.424208,37.415119,0.074186,0.956732,0.017241,0.280825,-7.284467,1.260897,-15.82818,-0.036905,0.856382,0.032657,0.513987,19.009598,0.839359,30.928379
9,0.075,0.015343,0.955805,0.052434,0.288882,3.152165,85.675728,14.169155,-0.060439,0.942553,0.145072,0.294779,3.145002,93.060822,14.979701,0.025148,0.949416,0.12631,0.286395,-0.348802,109.711708,19.145805,0.064511,0.975755,-0.073761,0.195705,-0.848093,129.33696,24.306637,0.036078,0.979501,-0.174972,0.093066,2.00015,142.804138,20.986212,-0.036934,0.909825,0.162282,0.380157,-4.008022,125.590469,21.605501,0.218798,-0.66509,0.059701,-0.711491,-13.156693,126.316162,12.514883,-0.091562,-0.156664,-0.435149,-0.881884,-10.003259,115.356277,-14.310628,-0.225472,0.21828,-0.556825,-0.769066,2.323084,132.507736,-18.546429,-0.021436,0.940683,0.252733,0.225349,2.041755,124.719978,25.500992,0.226593,0.832646,0.052309,-0.502614,13.635508,123.769524,31.117546,-0.174985,0.041479,0.462411,-0.868237,25.064009,114.30304,6.028771,-0.083837,-0.252074,0.575073,-0.77377,12.907891,131.770462,7.947668,0.083564,0.93107,0.175637,0.30867,-4.391652,86.215958,9.180366,0.084017,0.996382,-0.007113,0.010623,-6.099047,52.76572,-4.522319,0.074633,0.956714,0.017784,0.280734,-13.846559,7.190731,-3.949512,-0.070812,0.928184,-0.079247,0.356624,10.695981,85.135498,19.157944,0.010862,0.878018,-0.142464,0.456804,13.407606,49.764603,26.30941,-0.036949,0.856375,0.032764,0.513987,6.508341,5.419815,37.416683,0.074633,0.956714,0.017784,0.280734,-7.292383,1.26383,-15.836379,-0.036949,0.856375,0.032764,0.513987,19.010582,0.838199,30.929333
