Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.002448,0.892657,0.029589,0.449757,1.6739,84.618286,15.882776,-0.048973,0.892644,0.106068,0.43536,1.443691,92.03463,16.25889,-0.009527,0.898576,0.090549,0.429269,-1.772952,109.437668,18.883917,0.106231,0.957611,-0.039585,0.26482,-3.698507,129.39975,22.021086,0.03675,0.986313,-0.14905,0.06017,0.356969,142.842911,20.194304,-0.070151,0.867208,0.128775,0.475864,-5.911121,125.388977,18.806175,0.25194,-0.651609,0.002746,-0.715489,-12.851281,125.400452,7.91131,-0.111503,-0.005889,-0.576848,-0.809184,-8.455694,115.715302,-19.228104,-0.115906,0.290162,-0.603615,-0.733499,-1.180349,136.053223,-16.636881,-0.075405,0.910325,0.157165,0.375395,-1.33569,124.949623,24.410173,0.349395,0.836816,0.361061,-0.217481,7.794281,125.198784,33.545033,0.127787,0.098348,0.467394,-0.869219,27.069176,112.731407,15.580775,0.099902,-0.221195,0.607446,-0.756374,15.384809,129.651718,9.339871,0.067524,0.886686,0.167932,0.425473,-3.720832,84.819839,8.606428,0.100106,0.993937,-0.021347,0.040152,-2.882874,51.002598,-4.250039,0.012607,0.978094,0.034703,0.204864,-12.162319,5.738979,-2.659855,-0.084549,0.90527,-0.067753,0.410789,7.068631,84.416725,23.159126,-0.008701,0.882972,-0.135911,0.449237,10.593893,49.077995,30.112085,-0.033505,0.889511,0.060324,0.451673,5.658727,4.560611,41.569771,0.012607,0.978094,0.034703,0.204864,-6.765507,0.718239,-15.507015,-0.033505,0.889511,0.060324,0.451673,17.196159,0.597343,33.169586
1,0.008333,-0.002502,0.892573,0.029534,0.449927,1.676446,84.622391,15.886903,-0.049029,0.892655,0.105885,0.435376,1.445823,92.03878,16.261871,-0.009651,0.898585,0.090684,0.429219,-1.769371,109.440491,18.879822,0.10628,0.957641,-0.039884,0.264648,-3.701609,129.401474,22.0198,0.037073,0.986572,-0.147216,0.060247,0.356608,142.842667,20.184572,-0.069761,0.867148,0.129197,0.475916,-5.913082,125.390373,18.804527,0.251687,-0.651614,0.002801,-0.715573,-12.853375,125.416054,7.909768,-0.111966,-0.006639,-0.577396,-0.808723,-8.458227,115.738152,-19.232309,-0.116348,0.289973,-0.603555,-0.733554,-1.211481,136.085754,-16.65332,-0.075781,0.910327,0.157211,0.375296,-1.337063,124.951866,24.408112,0.349175,0.836945,0.36086,-0.217669,7.793354,125.209831,33.542282,0.128107,0.098397,0.466892,-0.869436,27.072393,112.751938,15.575896,0.100061,-0.221083,0.607005,-0.75674,15.368983,129.655273,9.328946,0.067535,0.886519,0.167817,0.425866,-3.715503,84.822716,8.608456,0.100171,0.993934,-0.021266,0.040115,-2.876175,51.002777,-4.240835,0.012927,0.978104,0.034803,0.204777,-12.161175,5.740041,-2.657937,-0.08451,0.905144,-0.067759,0.411073,7.068395,84.422066,23.16535,-0.008722,0.883049,-0.135816,0.449113,10.588786,49.082928,30.1187,-0.034132,0.889555,0.059789,0.45161,5.660919,4.5632,41.570442,0.012927,0.978104,0.034803,0.204777,-6.769778,0.720399,-15.507801,-0.034132,0.889555,0.059789,0.45161,17.200546,0.594446,33.175865
2,0.016667,-0.002509,0.892489,0.029452,0.450099,1.676606,84.625664,15.891117,-0.04915,0.892669,0.105648,0.435391,1.446357,92.04213,16.264912,-0.009733,0.898603,0.09078,0.429158,-1.769608,109.447922,18.87384,0.106432,0.95765,-0.040014,0.264534,-3.706307,129.408142,22.015978,0.037308,0.986794,-0.145605,0.060369,0.356403,142.84758,20.177851,-0.069766,0.867106,0.129556,0.475894,-5.917175,125.396812,18.800564,0.250571,-0.651837,0.0033,-0.71576,-12.858001,125.426796,7.90615,-0.112865,-0.007347,-0.577517,-0.808506,-8.479926,115.767159,-19.245192,-0.116724,0.289947,-0.603598,-0.733468,-1.239425,136.118027,-16.667744,-0.075803,0.910378,0.157222,0.375164,-1.340418,124.958862,24.403589,0.348981,0.837065,0.36066,-0.21785,7.792468,125.217857,33.535267,0.12848,0.098249,0.466492,-0.869612,27.074831,112.768257,15.566698,0.100498,-0.221258,0.606915,-0.756703,15.354842,129.658325,9.31961,0.067782,0.886253,0.167696,0.426427,-3.712543,84.825302,8.610577,0.100082,0.993923,-0.021272,0.0406,-2.88467,51.004837,-4.23808,0.012035,0.978102,0.034476,0.204896,-12.162327,5.740467,-2.65888,-0.0845,0.905083,-0.067765,0.411208,7.065754,84.426033,23.171658,-0.008765,0.883041,-0.135742,0.44915,10.584309,49.086834,30.125618,-0.034137,0.889596,0.059752,0.451535,5.662532,4.565299,41.572952,0.012035,0.978102,0.034476,0.204896,-6.759193,0.716525,-15.502132,-0.034137,0.889596,0.059752,0.451535,17.200678,0.595644,33.176762
3,0.025,-0.002529,0.892414,0.029407,0.450251,1.676296,84.628693,15.896073,-0.049192,0.892668,0.105385,0.435451,1.446027,92.045197,16.269102,-0.009837,0.898588,0.090869,0.429169,-1.767178,109.451675,18.868696,0.106514,0.957626,-0.039976,0.264591,-3.70926,129.411148,22.012224,0.037427,0.986991,-0.144081,0.060729,0.355565,142.850189,20.176012,-0.069676,0.867082,0.1298,0.475885,-5.918916,125.399483,18.7964,0.250601,-0.652388,0.002244,-0.715251,-12.86028,125.434479,7.902351,-0.113265,-0.007309,-0.577158,-0.808707,-8.523746,115.809776,-19.268047,-0.117299,0.289729,-0.603565,-0.73349,-1.265118,136.153168,-16.681032,-0.075785,0.910431,0.157366,0.374977,-1.342326,124.962303,24.399622,0.348886,0.837083,0.360651,-0.217948,7.794257,125.22036,33.527618,0.128767,0.098039,0.466203,-0.869748,27.077976,112.77697,15.556209,0.100857,-0.221404,0.606633,-0.756838,15.344235,129.659576,9.311995,0.067607,0.886149,0.167695,0.42667,-3.710373,84.827736,8.613684,0.100263,0.993912,-0.021203,0.040457,-2.867883,51.005554,-4.229487,0.012537,0.978126,0.03455,0.204739,-12.161559,5.744278,-2.655981,-0.084452,0.905176,-0.067782,0.411011,7.062965,84.429657,23.178461,-0.008773,0.883003,-0.135624,0.449261,10.579382,49.090038,30.131382,-0.034955,0.889597,0.059173,0.451545,5.66171,4.565585,41.569088,0.012537,0.978126,0.03455,0.204739,-6.76764,0.719792,-15.502891,-0.034955,0.889597,0.059173,0.451545,17.204849,0.591842,33.181702
4,0.033333,-0.002524,0.892308,0.029208,0.450474,1.67495,84.630394,15.902766,-0.049312,0.892624,0.105185,0.435577,1.445983,92.047073,16.273134,-0.009847,0.898546,0.090954,0.429238,-1.76875,109.456993,18.864418,0.106491,0.957601,-0.039958,0.264694,-3.712895,129.415833,22.010685,0.037513,0.987181,-0.14257,0.061158,0.351565,142.855103,20.175318,-0.069372,0.867035,0.130124,0.475926,-5.921726,125.404488,18.793898,0.25026,-0.652606,0.002048,-0.715172,-12.863167,125.4505,7.899936,-0.113808,-0.007736,-0.577232,-0.808573,-8.543207,115.843758,-19.279467,-0.117968,0.289683,-0.603476,-0.733474,-1.288851,136.187988,-16.693487,-0.075878,0.910516,0.157227,0.37481,-1.345993,124.966812,24.397781,0.348845,0.837196,0.36035,-0.218077,7.793455,125.229248,33.522789,0.129105,0.097917,0.465989,-0.869826,27.075588,112.78447,15.550651,0.101294,-0.221615,0.606518,-0.756811,15.333252,129.658493,9.305584,0.067583,0.886012,0.167699,0.426958,-3.708081,84.828011,8.617648,0.100362,0.993914,-0.021103,0.040221,-2.859747,51.005684,-4.224782,0.011904,0.978111,0.034202,0.204909,-12.161716,5.745849,-2.658588,-0.08454,0.904935,-0.067591,0.411554,7.057981,84.432777,23.187885,-0.00878,0.882879,-0.13561,0.449509,10.581716,49.092354,30.132998,-0.035053,0.889586,0.059058,0.451576,5.662054,4.567543,41.568462,0.011904,0.978111,0.034202,0.204909,-6.757556,0.715087,-15.498739,-0.035053,0.889586,0.059058,0.451576,17.206173,0.592167,33.183193
5,0.041667,-0.002582,0.892204,0.029023,0.450693,1.676063,84.628769,15.910387,-0.049833,0.892623,0.104921,0.435583,1.447478,92.045609,16.277861,-0.009397,0.898608,0.091222,0.429062,-1.7815,109.464752,18.853941,0.106503,0.957641,-0.04036,0.264485,-3.713281,129.421967,22.018118,0.037529,0.987397,-0.140975,0.061356,0.353515,142.858917,20.171066,-0.069159,0.866906,0.130197,0.476172,-5.925769,125.414574,18.798914,0.250049,-0.652943,0.001686,-0.714939,-12.861925,125.467316,7.90162,-0.114199,-0.008085,-0.577196,-0.808541,-8.567558,115.878807,-19.288265,-0.118341,0.289557,-0.603612,-0.733351,-1.31242,136.220551,-16.70521,-0.075848,0.910633,0.157106,0.374582,-1.347733,124.969612,24.400341,0.348823,0.837264,0.360091,-0.218282,7.796241,125.233665,33.520763,0.129383,0.09773,0.465802,-0.869907,27.074045,112.789558,15.543507,0.101765,-0.221676,0.606563,-0.756693,15.322304,129.658493,9.300404,0.067583,0.885946,0.167786,0.427061,-3.70339,84.824059,8.622564,0.10047,0.993899,-0.021113,0.040321,-2.850754,51.003849,-4.225133,0.012208,0.978065,0.03435,0.205085,-12.162744,5.746064,-2.659442,-0.084553,0.904915,-0.067489,0.411612,7.055516,84.433487,23.19821,-0.008793,0.882876,-0.135572,0.449525,10.582693,49.09222,30.137291,-0.03427,0.889617,0.059356,0.451535,5.665407,4.566491,41.570179,0.012208,0.978065,0.03435,0.205085,-6.756887,0.717644,-15.499793,-0.03427,0.889617,0.059356,0.451535,17.203266,0.588477,33.177563
6,0.05,-0.002637,0.892141,0.029014,0.450817,1.67619,84.628838,15.913934,-0.049965,0.892579,0.104753,0.435699,1.446883,92.04567,16.280888,-0.009414,0.898561,0.091239,0.429157,-1.783978,109.465233,18.849104,0.106582,0.957623,-0.040363,0.264516,-3.717032,129.422302,22.013405,0.037558,0.987598,-0.139462,0.061567,0.351979,142.858688,20.167055,-0.068998,0.866852,0.130402,0.476237,-5.928714,125.414932,18.793621,0.249637,-0.653118,0.001364,-0.714924,-12.863853,125.474121,7.895705,-0.114782,-0.008367,-0.577342,-0.808351,-8.582737,115.912186,-19.305641,-0.118795,0.289486,-0.603844,-0.733115,-1.335391,136.255219,-16.717197,-0.076062,0.910692,0.156998,0.374442,-1.351858,124.969955,24.396015,0.348894,0.83732,0.359895,-0.218274,7.794004,125.240776,33.514351,0.129672,0.097718,0.465664,-0.869939,27.069118,112.789429,15.539209,0.101905,-0.22179,0.606247,-0.756895,15.312208,129.652054,9.291644,0.067603,0.885824,0.1678,0.427304,-3.701229,84.823235,8.624582,0.100507,0.993894,-0.02114,0.040327,-2.845963,51.003563,-4.224363,0.013023,0.978076,0.034643,0.204933,-12.161425,5.746576,-2.656358,-0.084601,0.904795,-0.067403,0.411881,7.053608,84.434441,23.203285,-0.008767,0.882876,-0.135573,0.449527,10.584475,49.092941,30.139282,-0.034217,0.889626,0.059373,0.45152,5.665075,4.567188,41.571175,0.013023,0.978076,0.034643,0.204933,-6.767413,0.72195,-15.503179,-0.034217,0.889626,0.059373,0.45152,17.202269,0.588929,33.17775
7,0.058333,-0.00264,0.892104,0.029103,0.450885,1.673061,84.63163,15.916401,-0.049992,0.892567,0.104574,0.435762,1.44308,92.048386,16.284494,-0.009512,0.89853,0.091284,0.429208,-1.785823,109.467819,18.846203,0.106667,0.957597,-0.040605,0.26454,-3.723404,129.424469,22.010303,0.037741,0.98781,-0.137764,0.06188,0.349585,142.858871,20.158268,-0.068976,0.866688,0.130615,0.476482,-5.933828,125.416656,18.790207,0.249162,-0.653206,0.001266,-0.715009,-12.863022,125.48008,7.888537,-0.115406,-0.008744,-0.577659,-0.808032,-8.5886,115.939041,-19.321198,-0.119347,0.289581,-0.603643,-0.733154,-1.357755,136.286469,-16.728693,-0.076195,0.910771,0.156988,0.374226,-1.357637,124.972618,24.393219,0.348966,0.837352,0.359771,-0.21824,7.791869,125.247681,33.507771,0.129951,0.097649,0.465538,-0.869972,27.064911,112.789871,15.534894,0.102142,-0.221743,0.606158,-0.756948,15.30264,129.647278,9.285047,0.067604,0.885645,0.167777,0.427685,-3.70325,84.826729,8.626252,0.100518,0.993893,-0.02111,0.040334,-2.843208,51.006496,-4.220892,0.013308,0.978076,0.034643,0.204915,-12.15954,5.749583,-2.655746,-0.08468,0.904733,-0.067363,0.412007,7.049371,84.436531,23.206551,-0.008749,0.882782,-0.135556,0.449715,10.585623,49.095596,30.142693,-0.032514,0.889522,0.060664,0.451678,5.662947,4.569393,41.571442,0.013308,0.978076,0.034643,0.204915,-6.76904,0.723474,-15.50346,-0.032514,0.889522,0.060664,0.451678,17.193405,0.601917,33.163666
8,0.066667,-0.00269,0.892075,0.029104,0.450942,1.672582,84.630592,15.919417,-0.049559,0.89255,0.104435,0.435881,1.441915,92.047348,16.287178,-0.010258,0.898427,0.091058,0.429455,-1.769995,109.461739,18.849812,0.107193,0.957469,-0.040232,0.264848,-3.731722,129.419479,21.99217,0.037484,0.987998,-0.136354,0.062146,0.35361,142.852264,20.155624,-0.068643,0.866688,0.130988,0.476426,-5.935555,125.40593,18.774696,0.248829,-0.653638,0.000556,-0.714732,-12.867292,125.481224,7.874718,-0.115992,-0.008559,-0.577302,-0.808205,-8.625643,115.976204,-19.352745,-0.119973,0.289632,-0.603472,-0.733172,-1.376233,136.316132,-16.740713,-0.076168,0.910741,0.156794,0.374386,-1.362649,124.972664,24.381233,0.348843,0.837472,0.35963,-0.218211,7.78387,125.248276,33.498764,0.130169,0.097608,0.465369,-0.870035,27.06266,112.791634,15.531243,0.102515,-0.2218,0.606258,-0.7568,15.293264,129.643311,9.279237,0.067734,0.885548,0.16782,0.427847,-3.702791,84.824928,8.628556,0.100462,0.993884,-0.021201,0.040659,-2.847319,51.007027,-4.225014,0.013002,0.978089,0.034536,0.204893,-12.159361,5.749422,-2.65438,-0.084738,0.90465,-0.067311,0.412186,7.047954,84.436249,23.210278,-0.008737,0.88267,-0.13555,0.449938,10.588161,49.095528,30.145496,-0.032662,0.889522,0.06053,0.451685,5.661875,4.569155,41.572029,0.013002,0.978089,0.034536,0.204893,-6.766464,0.722009,-15.500577,-0.032662,0.889522,0.06053,0.451685,17.193218,0.600182,33.166176
9,0.075,-0.002722,0.892021,0.029091,0.45105,1.672122,84.627396,15.924036,-0.050132,0.892533,0.104214,0.435902,1.44107,92.044159,16.291384,-0.009624,0.898475,0.091303,0.429318,-1.787572,109.467934,18.83935,0.107208,0.957453,-0.04036,0.264878,-3.729966,129.424362,22.001953,0.03713,0.988142,-0.135158,0.062684,0.356747,142.856293,20.162298,-0.068669,0.866504,0.131066,0.476737,-5.938742,125.415955,18.781475,0.248334,-0.653946,0.00042,-0.714622,-12.862741,125.493004,7.876591,-0.116494,-0.008982,-0.577193,-0.808206,-8.644615,116.008057,-19.361523,-0.120501,0.28968,-0.603345,-0.733171,-1.390581,136.344986,-16.752472,-0.076303,0.910789,0.156861,0.374214,-1.36394,124.973091,24.385712,0.349002,0.837396,0.359633,-0.218244,7.785389,125.252022,33.500324,0.130602,0.097502,0.465323,-0.870006,27.056875,112.789894,15.528761,0.102815,-0.221809,0.606196,-0.756807,15.284805,129.638031,9.272441,0.067564,0.885586,0.167951,0.427745,-3.701487,84.821167,8.631861,0.10063,0.99389,-0.021126,0.040127,-2.832517,51.00478,-4.224787,0.013413,0.97809,0.034636,0.204844,-12.158797,5.750021,-2.656652,-0.08483,0.904555,-0.067236,0.412387,7.045731,84.433624,23.216211,-0.008713,0.88265,-0.135505,0.449991,10.592635,49.093288,30.149981,-0.033998,0.889604,0.059633,0.451545,5.665617,4.565737,41.571598,0.013413,0.97809,0.034636,0.204844,-6.771276,0.723214,-15.505342,-0.033998,0.889604,0.059633,0.451545,17.20236,0.591259,33.175762
