uppercut_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p10_uppercut_right_main_001,0.3498477,0.472857753,0.280811121,0.324211838,0.26289899,0.259631361,0.056720862,0.050197624,0.047849153,0.578660916,0.892386463,0.798268799,0.768524197,0.010106674
p10_uppercut_right_main_002,0.321358311,0.494634795,0.259845822,0.344560003,0.231213041,0.293071071,0.057915657,0.051524023,0.047756318,0.619694705,0.852182941,0.78243647,0.790211257,
p10_uppercut_right_main_003,0.341834595,0.466540587,0.256869225,0.352978272,0.28207684,0.287537849,0.054981592,0.048138497,0.04793777,0.640322272,0.878509716,0.807053483,0.780104583,
p10_uppercut_right_main_004,0.293168405,0.388255715,0.222073524,0.306726809,0.232181583,0.268858848,0.054159185,0.047951203,0.047627464,0.554577737,0.755735266,0.695388008,,
p10_uppercut_right_main_005,0.376426872,0.498344559,0.260697798,0.334018802,0.248184918,0.337063898,0.107494708,0.065999664,0.047636158,0.647107135,0.836155385,0.77944091,,
p10_uppercut_right_main_006,0.316768602,0.458350126,0.30453177,0.326857346,0.269507427,0.268642732,0.070384138,0.050457852,0.048343909,0.629150699,0.843464627,0.779170448,,
p10_uppercut_right_main_007,0.326072427,0.464366722,0.290180696,0.293728918,0.266634296,0.292885401,0.053969141,0.050123582,0.047993878,0.654267365,0.820711187,0.77077804,,
p10_uppercut_right_main_008,0.348439055,0.486278128,0.268172394,0.310578144,0.258784926,0.295790614,0.064812033,0.056949247,0.047673252,0.633188381,0.832716186,0.772857845,,
p10_uppercut_right_main_009,0.338161232,0.461582059,0.291131322,0.30416368,0.286633486,0.279706962,0.054170072,0.04865165,0.04807494,0.660332385,0.838594454,0.785115833,,
p10_uppercut_right_main_010,0.330966214,0.444528525,0.273827526,0.30104647,0.241624898,0.277894703,0.055028641,0.052478631,0.047660971,0.557906017,0.85562813,0.766311496,,
p10_uppercut_right_main_011,0.326835294,0.487068834,0.296600186,0.322593553,0.256843938,0.302216119,0.060538346,0.053758418,0.047934505,0.616108233,0.891548259,0.808916251,,
p10_uppercut_right_main_012,0.341509154,0.488451752,0.294317589,0.345422969,0.281133314,0.298777534,0.061324995,0.054676459,0.047763557,0.648790326,0.904323727,0.827663707,,
p10_uppercut_right_main_013,0.328002371,0.437854321,0.242187588,0.317916839,0.225127023,0.323112333,0.055570352,0.047929225,0.047654808,0.584836093,0.843715591,0.766051742,,
p10_uppercut_right_main_014,0.323067481,0.455301788,0.329131129,0.353869278,0.259299221,0.273979543,0.05609141,0.04827156,0.048462918,0.659136355,0.880392015,0.814015317,,
p10_uppercut_right_main_015,0.281416186,0.371299714,0.195039987,0.271833074,0.19262044,0.252163354,0.056705677,0.0481066,0.047660873,0.510268028,0.663840717,0.617768911,,
p10_uppercut_right_main_016,0.331378611,0.448890969,0.291800914,0.315406397,0.281012555,0.256728706,0.068188029,0.049299894,0.047698986,0.615214178,0.839003445,0.771866665,,
p10_uppercut_right_main_017,0.352769586,0.456497553,0.250119669,0.308226971,0.249921124,0.315686081,0.090004743,0.062180763,0.047937446,0.600025443,0.805652372,0.743964293,,
p10_uppercut_right_main_018,0.294109557,0.415353596,0.217229163,0.299128685,0.20992412,0.260693941,0.054559591,0.047968336,0.047629716,0.536582004,0.739913044,0.678913732,,
p10_uppercut_right_main_019,0.298223848,0.380087469,0.240138607,0.299743342,0.184522085,0.294525151,0.062577269,0.048213577,0.047644955,0.575476307,0.714520335,0.672807126,,
p10_uppercut_right_main_020,0.35880019,0.43252138,0.27460285,0.321165375,0.255389376,0.322478526,0.059670336,0.047916692,0.047768963,0.600396983,0.899606638,0.809843741,,
p10_uppercut_right_main_021,0.354199141,0.463644569,0.28968317,0.323652815,0.273337586,0.305808619,0.065916726,0.049232127,0.049612952,0.652961242,0.869539573,0.804566074,,
p10_uppercut_right_main_022,0.313140334,0.427679739,0.303960489,0.319557178,0.279146209,0.211435128,0.059523089,0.048408824,0.047864973,0.580901205,0.831847797,0.756563819,,
p10_uppercut_right_main_023,0.338532407,0.441248297,0.307501763,0.319796556,0.285794291,0.233404139,0.065610839,0.048798405,0.047942797,0.598850393,0.860589215,0.782067568,,
p10_uppercut_right_main_024,0.312425797,0.453939598,0.277055522,0.320434879,0.200289733,0.295753485,0.056700011,0.048057875,0.047624815,0.589615261,0.826266369,0.755271037,,
p10_uppercut_right_main_025,0.365819287,0.488517899,0.295642576,0.33968112,0.282260696,0.308626295,0.062453423,0.057935888,0.048100772,0.663928381,0.903969858,0.831957415,,
p10_uppercut_right_main_026,0.349004663,0.423147089,0.351228732,0.30664508,0.27879237,0.2260302,0.066651356,0.048628268,0.047859922,0.638305561,0.833278229,0.774786428,,
p10_uppercut_right_main_027,0.35266134,0.418519737,0.313918608,0.283076817,0.282510414,0.248096233,0.0680999,0.048548907,0.047765844,0.61976983,0.814270922,0.755920594,,
p10_uppercut_right_main_028,0.344351067,0.426035738,0.322334174,0.325232148,0.278571233,0.233648847,0.068750407,0.048892461,0.047791442,0.610480935,0.854297686,0.781152661,,
p10_uppercut_right_main_029,0.350271704,0.450796149,0.282675687,0.301880114,0.260631041,0.325509165,0.054512387,0.047931406,0.047863497,0.610272784,0.897717992,0.81148443,,
p10_uppercut_right_main_030,0.30198876,0.456399053,0.288020282,0.292892473,0.195841037,0.314224313,0.054406467,0.048003911,0.047657196,0.586825107,0.824679328,0.753323061,,
p10_uppercut_right_post_001,0.356054959,0.494308528,0.287466315,0.339319725,0.271923656,0.263532794,0.055555338,0.053149215,0.047980916,0.636995978,0.879858138,0.80699949,,
p10_uppercut_right_post_002,0.329176707,0.44773499,0.24432024,0.302069012,0.209648042,0.249136944,0.05661269,0.053288551,0.047622825,0.546090532,0.769973288,0.702808461,,
p10_uppercut_right_post_003,0.345751185,0.469700675,0.27674467,0.327883707,0.265537735,0.279340264,0.054554848,0.05058798,0.048041895,0.603384828,0.885263412,0.800699837,,
p10_uppercut_right_post_004,0.390261171,0.469048138,0.274090431,0.326772486,0.255090542,0.317172259,0.084431609,0.059004537,0.047772812,0.590144477,0.902744988,0.808964835,,
p10_uppercut_right_post_005,0.328664936,0.419183109,0.323836901,0.277470383,0.278252991,0.253637037,0.063031492,0.0485769,0.047783319,0.621076797,0.80941955,0.752916724,,
p10_uppercut_right_post_006,0.3469237,0.445279677,0.301489651,0.291875983,0.203421347,0.314587476,0.054970943,0.047833555,0.047662387,0.612889512,0.841273046,0.772757986,,
p10_uppercut_right_post_007,0.341289539,0.478152846,0.288392599,0.304540225,0.254868864,0.301248904,0.08232586,0.054892955,0.047850184,0.601988172,0.864624306,0.785833466,,
p10_uppercut_right_post_008,0.366239447,0.458979865,0.308724056,0.317264449,0.292170222,0.299327019,0.054597935,0.049782951,0.048508036,0.665031263,0.898201613,0.828250508,,
p10_uppercut_right_post_009,0.364884682,0.477649912,0.309659591,0.297506814,0.284416982,0.301193186,0.061043921,0.057772962,0.048415747,0.652033123,0.879518646,0.811272989,,
p10_uppercut_right_post_010,0.356222328,0.474077576,0.287276259,0.326590779,0.264254793,0.334819532,0.06153231,0.056171679,0.047797404,0.621024187,0.921858604,0.831608279,,
p10_uppercut_right_pre_001,0.363094734,0.462489085,0.311745387,0.333607909,0.275518803,0.25109035,0.062117902,0.054763805,0.047782749,0.661639418,0.844886097,0.789912094,,
p10_uppercut_right_pre_002,0.286126332,0.404986802,0.214166112,0.304044648,0.224773643,0.282667133,0.056434343,0.048059588,0.047631721,0.599393659,0.708121825,0.675503375,,
p10_uppercut_right_pre_003,0.361202914,0.427150654,0.32899099,0.311042828,0.282015218,0.331155919,0.054748829,0.049929857,0.047880885,0.703705776,0.878420091,0.826005797,,
