Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.003197,0.899105,0.015397,0.43745,-2.44871,90.463577,14.305337,0.006306,0.903934,0.073155,0.421321,-2.508919,98.25695,14.543036,-0.049232,0.902821,0.081841,0.419276,-3.242045,112.691093,16.550348,0.018197,0.954671,-0.00764,0.297009,-6.167225,130.922073,18.52788,0.075403,0.981691,-0.063099,0.163141,-4.510291,145.600952,16.90617,-0.026798,0.856888,0.169161,0.48622,-8.133144,124.932251,15.340713,0.382982,-0.552118,0.026722,-0.740119,-17.653061,127.079308,0.088054,0.051967,-0.047432,-0.589637,-0.804598,-8.383398,116.056419,-18.903961,0.173464,-0.058806,-0.573427,-0.79852,-1.339224,138.208389,-22.133486,-0.18635,0.920134,0.154951,0.307598,-3.237553,125.086426,21.16094,0.317438,0.868515,0.142686,-0.352925,10.185799,129.570023,32.456657,-0.043722,0.21519,0.436534,-0.872479,23.279888,118.827759,15.685365,0.078343,0.167549,0.302301,-0.935095,11.475671,136.335678,8.119067,0.035385,0.887558,0.085566,0.451294,-8.318071,90.646347,6.826376,0.083634,0.923179,-0.04414,0.372554,-7.782692,54.149101,0.000125,-0.015112,0.944946,0.014537,0.326555,-16.741133,7.176929,0.917558,-0.051235,0.900284,-0.094809,0.421753,3.420652,90.280815,21.784296,-0.001714,0.889328,-0.120053,0.441227,3.876703,54.009354,29.728252,-0.088827,0.847554,-0.071867,0.518264,-1.044347,7.560664,40.013348,-0.015112,0.944946,0.014537,0.326555,-7.709604,1.534266,-10.406448,-0.088827,0.847554,-0.071867,0.518264,12.138413,1.116965,34.881607
1,0.008333,0.00318,0.899142,0.015407,0.437375,-2.458978,90.462051,14.310124,0.006305,0.903989,0.073135,0.421208,-2.519475,98.255424,14.547847,-0.049201,0.902875,0.081935,0.419144,-3.252271,112.69281,16.555155,0.018349,0.954616,-0.007486,0.297181,-6.177568,130.923325,18.536728,0.075333,0.981622,-0.06308,0.1636,-4.517152,145.602493,16.921183,-0.026665,0.857037,0.169232,0.485939,-8.144201,124.93399,15.349104,0.38295,-0.552036,0.026795,-0.740195,-17.67428,127.084564,0.103293,0.051642,-0.04727,-0.589594,-0.80466,-8.400452,116.061386,-18.886515,0.173131,-0.059552,-0.574165,-0.798006,-1.353969,138.211975,-22.100603,-0.18632,0.92015,0.154934,0.307577,-3.24689,125.087341,21.167902,0.317255,0.86856,0.142531,-0.35304,10.17735,129.570343,32.462799,-0.043856,0.214928,0.436375,-0.872616,23.273111,118.833176,15.689564,0.078149,0.167392,0.30278,-0.934985,11.458066,136.337753,8.134729,0.035355,0.887824,0.08538,0.450809,-8.329597,90.644585,6.832147,0.083578,0.923423,-0.043809,0.372001,-7.802189,54.144825,0.018759,-0.015316,0.944919,0.014685,0.326615,-16.743574,7.168979,0.914349,-0.051271,0.900301,-0.094698,0.421736,3.411641,90.279518,21.788103,-0.001743,0.889324,-0.120058,0.441232,3.873718,54.006779,29.725834,-0.088849,0.847534,-0.071845,0.518295,-1.045169,7.558221,40.012562,-0.015316,0.944919,0.014685,0.326615,-7.707834,1.532349,-10.409296,-0.088849,0.847534,-0.071845,0.518295,12.138374,1.115514,34.881596
2,0.016667,0.003162,0.899185,0.015477,0.437284,-2.468541,90.461754,14.314394,0.006186,0.904039,0.07316,0.421098,-2.529749,98.255089,14.552978,-0.049061,0.902935,0.082043,0.419011,-3.265864,112.694633,16.559891,0.018506,0.954565,-0.007393,0.297336,-6.187849,130.925018,18.547674,0.075289,0.981549,-0.06309,0.16405,-4.523306,145.604202,16.936569,-0.026579,0.857173,0.169115,0.485745,-8.156392,124.936882,15.358957,0.383099,-0.551946,0.02676,-0.740185,-17.69346,127.086731,0.11742,0.051534,-0.046981,-0.58956,-0.804708,-8.414849,116.0625,-18.86944,0.173005,-0.060052,-0.574311,-0.797891,-1.366048,138.211639,-22.069294,-0.186356,0.920161,0.154966,0.307506,-3.257173,125.08783,21.176214,0.317183,0.868566,0.142393,-0.353146,10.168156,129.572128,32.469296,-0.043951,0.214677,0.436292,-0.872715,23.26252,118.836235,15.694162,0.077868,0.167117,0.303346,-0.934874,11.44005,136.338852,8.150375,0.035323,0.887938,0.085396,0.450585,-8.340673,90.644524,6.83761,0.083527,0.923481,-0.04371,0.371882,-7.812361,54.144814,0.024058,-0.015195,0.944908,0.014737,0.32665,-16.745678,7.167325,0.913895,-0.05132,0.900327,-0.094575,0.421702,3.40359,90.278984,21.791178,-0.001763,0.889319,-0.1201,0.441232,3.873151,54.004883,29.722286,-0.088853,0.847553,-0.071804,0.51827,-1.045827,7.557302,40.013386,-0.015195,0.944908,0.014737,0.32665,-7.71026,1.530967,-10.410139,-0.088853,0.847553,-0.071804,0.51827,12.137632,1.11548,34.881092
3,0.025,0.003094,0.899228,0.015597,0.437191,-2.477284,90.461586,14.318949,0.006084,0.904106,0.073165,0.420953,-2.540239,98.254875,14.558765,-0.048983,0.903013,0.082119,0.418837,-3.278818,112.695038,16.564739,0.018791,0.954531,-0.007132,0.297433,-6.198986,130.925232,18.556845,0.075223,0.981496,-0.063189,0.164358,-4.52838,145.604843,16.955856,-0.026413,0.857352,0.168685,0.485588,-8.169137,124.937759,15.367879,0.382903,-0.551923,0.026734,-0.740305,-17.712025,127.084091,0.129485,0.051106,-0.046821,-0.589499,-0.80479,-8.432117,116.066208,-18.86043,0.172602,-0.060708,-0.575277,-0.797232,-1.379819,138.214752,-22.042137,-0.186466,0.920157,0.155132,0.30737,-3.267588,125.08744,21.183205,0.317153,0.868571,0.142516,-0.353112,10.159272,129.574326,32.473438,-0.043952,0.214351,0.436136,-0.872873,23.255672,118.841431,15.697967,0.07748,0.166969,0.304082,-0.934694,11.422116,136.338562,8.165922,0.035313,0.888011,0.085428,0.450435,-8.350968,90.64418,6.843382,0.08348,0.923566,-0.043624,0.37169,-7.822055,54.144814,0.02799,-0.015376,0.944922,0.01476,0.326601,-16.748045,7.165855,0.913879,-0.05134,0.900323,-0.094484,0.421729,3.396401,90.278992,21.794516,-0.001793,0.889235,-0.120121,0.441394,3.869969,54.003769,29.720215,-0.089469,0.847496,-0.071991,0.518231,-1.04922,7.556683,40.013416,-0.015376,0.944922,0.01476,0.326601,-7.711702,1.531868,-10.410596,-0.089469,0.847496,-0.071991,0.518231,12.139423,1.121152,34.886555
4,0.033333,0.002999,0.899279,0.015716,0.437082,-2.485244,90.461777,14.324379,0.005969,0.904138,0.073248,0.420873,-2.550311,98.255013,14.565218,-0.048958,0.903044,0.082171,0.418764,-3.293031,112.69976,16.572725,0.019088,0.954469,-0.007099,0.297613,-6.213001,130.929718,18.567198,0.075186,0.981438,-0.063101,0.16476,-4.533757,145.60878,16.970251,-0.026213,0.8574,0.168982,0.485411,-8.18364,124.942566,15.377943,0.382916,-0.551874,0.02699,-0.740326,-17.733145,127.099167,0.145146,0.05078,-0.04706,-0.589373,-0.804889,-8.451297,116.072784,-18.838884,0.1719,-0.061659,-0.576884,-0.796149,-1.392908,138.220108,-22.020617,-0.186715,0.920153,0.155208,0.307191,-3.281122,125.091682,21.192467,0.317124,0.868657,0.142092,-0.353097,10.146368,129.58699,32.4786,-0.044049,0.214247,0.435918,-0.873002,23.244154,118.846748,15.708919,0.076987,0.166897,0.305061,-0.934428,11.401603,136.336319,8.182155,0.035406,0.888116,0.085368,0.450232,-8.360745,90.6437,6.850223,0.083364,0.923569,-0.043516,0.371722,-7.84153,54.144062,0.035568,-0.014388,0.944901,0.015448,0.326676,-16.753561,7.162351,0.915745,-0.051384,0.900295,-0.094364,0.421809,3.390256,90.279861,21.798536,-0.001846,0.889215,-0.120128,0.441432,3.869778,54.0033,29.717728,-0.089391,0.84755,-0.071924,0.518165,-1.045615,7.556382,40.013504,-0.014388,0.944901,0.015448,0.326676,-7.724026,1.537614,-10.418756,-0.089391,0.84755,-0.071924,0.518165,12.141627,1.120744,34.883171
5,0.041667,0.002377,0.899304,0.016187,0.437019,-2.47038,90.454071,14.32687,0.005458,0.904162,0.07352,0.420781,-2.547366,98.247131,14.570075,-0.048877,0.903099,0.082181,0.418652,-3.307294,112.70163,16.580013,0.019323,0.954444,-0.006884,0.297686,-6.224452,130.931824,18.57645,0.075182,0.981398,-0.063177,0.16497,-4.540226,145.611221,16.987795,-0.02607,0.857528,0.168861,0.485234,-8.196684,124.945129,15.387322,0.382879,-0.551865,0.027029,-0.74035,-17.752686,127.102867,0.158758,0.050439,-0.047049,-0.589241,-0.805008,-8.470469,116.07621,-18.824936,0.171381,-0.062521,-0.578052,-0.795347,-1.405071,138.221375,-21.996599,-0.186457,0.920195,0.155103,0.307277,-3.292615,125.093246,21.200565,0.316933,0.86868,0.142101,-0.353208,10.136456,129.580902,32.487862,-0.044242,0.214047,0.435713,-0.873144,23.236286,118.849159,15.714325,0.076409,0.166941,0.30623,-0.934085,11.383037,136.33316,8.198177,0.035801,0.888196,0.085342,0.450048,-8.347005,90.62925,6.853435,0.083301,0.923485,-0.043551,0.371941,-7.856084,54.131371,0.027252,-0.015874,0.944811,0.015208,0.326879,-16.764,7.148939,0.910722,-0.051169,0.900286,-0.09443,0.421842,3.406245,90.278893,21.800306,-0.001849,0.889171,-0.120127,0.441521,3.869088,54.001606,29.717171,-0.08935,0.84753,-0.071791,0.518223,-1.047049,7.554686,40.012585,-0.015874,0.944811,0.015208,0.326879,-7.713972,1.53209,-10.411343,-0.08935,0.84753,-0.071791,0.518223,12.141227,1.121511,34.881809
6,0.05,0.002392,0.89935,0.016216,0.436922,-2.485942,90.454971,14.333428,0.005052,0.904238,0.073494,0.420627,-2.562885,98.248009,14.577145,-0.048462,0.903219,0.082289,0.41842,-3.332938,112.704231,16.581749,0.01943,0.954402,-0.006795,0.297812,-6.237373,130.935257,18.589058,0.0752,0.981297,-0.063269,0.165522,-4.550497,145.614761,17.004208,-0.026095,0.857588,0.168652,0.485199,-8.215296,124.951424,15.398113,0.382874,-0.551816,0.027075,-0.740388,-17.772482,127.104446,0.169627,0.049994,-0.047073,-0.58912,-0.805122,-8.487795,116.077133,-18.812477,0.170682,-0.063604,-0.579131,-0.794626,-1.416023,138.221252,-21.972662,-0.186598,0.920188,0.155225,0.307148,-3.30766,125.093521,21.208494,0.31689,0.868736,0.141929,-0.353177,10.122371,129.58519,32.493061,-0.044275,0.213785,0.435559,-0.873284,23.224562,118.851234,15.722775,0.076047,0.16686,0.307648,-0.933663,11.361285,136.330231,8.216489,0.035732,0.888171,0.08538,0.450096,-8.364175,90.630615,6.861268,0.083231,0.923488,-0.043419,0.371963,-7.86707,54.132843,0.034963,-0.015709,0.944818,0.015266,0.326864,-16.764301,7.148209,0.909057,-0.051235,0.900228,-0.094292,0.421987,3.39229,90.279327,21.80559,-0.001869,0.889017,-0.120131,0.44183,3.862656,54.000603,29.715458,-0.089404,0.847379,-0.071803,0.518459,-1.055553,7.553762,40.01025,-0.015709,0.944818,0.015266,0.326864,-7.716262,1.53133,-10.414582,-0.089404,0.847379,-0.071803,0.518459,12.136455,1.122164,34.8871
7,0.058333,0.002356,0.899397,0.016276,0.436823,-2.49644,90.453598,14.340117,0.004718,0.904309,0.07366,0.420448,-2.574271,98.246613,14.584451,-0.048329,0.903332,0.082263,0.418197,-3.354971,112.705467,16.589907,0.01981,0.954355,-0.00692,0.297936,-6.254043,130.937149,18.599152,0.075139,0.981228,-0.063208,0.165983,-4.55502,145.615265,17.014494,-0.025942,0.857566,0.168565,0.485276,-8.235033,124.953842,15.409085,0.38283,-0.551852,0.02731,-0.740375,-17.789799,127.11058,0.179602,0.049597,-0.047125,-0.588939,-0.805277,-8.507633,116.075478,-18.799212,0.170029,-0.064404,-0.579479,-0.794447,-1.42673,138.215622,-21.949986,-0.186513,0.920236,0.155281,0.30703,-3.324363,125.094643,21.216934,0.316809,0.868785,0.141658,-0.353239,10.109453,129.583847,32.497967,-0.044601,0.213724,0.435429,-0.873346,23.211998,118.848404,15.728906,0.07538,0.166938,0.30864,-0.933376,11.343163,136.325562,8.23091,0.03577,0.888271,0.085478,0.449877,-8.376318,90.629105,6.869248,0.083135,0.923475,-0.043393,0.372021,-7.880147,54.132778,0.035161,-0.015791,0.944782,0.015315,0.32696,-16.768084,7.146397,0.909827,-0.051287,0.900197,-0.094173,0.422073,3.383439,90.278091,21.810987,-0.001909,0.889097,-0.120144,0.441665,3.860284,53.998112,29.714691,-0.089512,0.847428,-0.071812,0.518359,-1.053132,7.551601,40.013264,-0.015791,0.944782,0.015315,0.32696,-7.71667,1.5317,-10.412199,-0.089512,0.847428,-0.071812,0.518359,12.138644,1.121281,34.887909
8,0.066667,0.002277,0.899433,0.016336,0.436748,-2.508049,90.454208,14.346843,0.00461,0.904318,0.07381,0.420404,-2.587369,98.247192,14.591476,-0.048236,0.903355,0.082227,0.418166,-3.372781,112.707184,16.599842,0.020623,0.954286,-0.006799,0.298105,-6.268148,130.939407,18.609451,0.074823,0.981218,-0.063259,0.166164,-4.5468,145.616119,17.035851,-0.025869,0.857566,0.168693,0.485236,-8.250577,124.956512,15.419523,0.382648,-0.551917,0.027566,-0.740411,-17.806881,127.117523,0.191614,0.048752,-0.047655,-0.588607,-0.805539,-8.528788,116.076973,-18.78602,0.168468,-0.06612,-0.581011,-0.79352,-1.431488,138.213913,-21.933491,-0.186408,0.92031,0.155322,0.306849,-3.339369,125.096321,21.226942,0.316803,0.868794,0.141512,-0.353281,10.099892,129.583099,32.50246,-0.04464,0.213416,0.435376,-0.873447,23.201216,118.845581,15.733782,0.074983,0.166588,0.310113,-0.932982,11.325075,136.321396,8.248009,0.035649,0.888391,0.085508,0.449643,-8.389183,90.628838,6.87694,0.083111,0.923589,-0.043279,0.371758,-7.885838,54.132259,0.044727,-0.014892,0.944819,0.015814,0.326873,-16.767424,7.144549,0.91279,-0.051359,0.900159,-0.094018,0.422181,3.373085,90.279579,21.816746,-0.001981,0.88908,-0.12013,0.441702,3.858665,53.997982,29.712481,-0.089601,0.84752,-0.071815,0.518194,-1.048501,7.551175,40.012688,-0.014892,0.944819,0.015814,0.326873,-7.726334,1.534747,-10.419908,-0.089601,0.84752,-0.071815,0.518194,12.141974,1.121675,34.882965
9,0.075,0.001709,0.899474,0.016731,0.436651,-2.498855,90.445419,14.351477,0.004126,0.904309,0.07411,0.420375,-2.588806,98.238243,14.597793,-0.048084,0.903371,0.082203,0.418152,-3.391466,112.711754,16.610157,0.020688,0.954251,-0.006893,0.298211,-6.281321,130.944672,18.621407,0.07496,0.981165,-0.063209,0.166438,-4.556979,145.620834,17.04604,-0.025698,0.857789,0.168361,0.484967,-8.265711,124.962616,15.431118,0.382553,-0.5518,0.02772,-0.740542,-17.831793,127.121231,0.209014,0.048516,-0.047932,-0.588401,-0.805688,-8.547951,116.079689,-18.76523,0.167845,-0.066963,-0.582074,-0.792801,-1.440742,138.212051,-21.916431,-0.186209,0.920352,0.155243,0.306885,-3.354111,125.100502,21.238249,0.316789,0.868804,0.141358,-0.35333,10.087029,129.581604,32.513779,-0.044857,0.213394,0.435338,-0.87346,23.187113,118.84227,15.745304,0.07434,0.16651,0.311392,-0.932622,11.310307,136.317093,8.265192,0.035864,0.888528,0.085495,0.449357,-8.381634,90.613594,6.882723,0.083066,0.923293,-0.043325,0.372495,-7.89507,54.117977,0.044097,-0.015144,0.944746,0.016183,0.327055,-16.774979,7.129929,0.910777,-0.051161,0.90016,-0.094081,0.422189,3.383922,90.277252,21.82023,-0.001958,0.889091,-0.120131,0.441681,3.854244,53.995026,29.714016,-0.089605,0.847421,-0.071763,0.518362,-1.054648,7.548222,40.013428,-0.015144,0.944746,0.016183,0.327055,-7.725485,1.532692,-10.421424,-0.089605,0.847421,-0.071763,0.518362,12.138436,1.120605,34.888054
