Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.042652,0.876169,0.046345,0.477872,-2.561434,87.834007,20.746353,-0.024816,0.871155,0.14058,0.469799,-3.50682,95.713081,21.0676,-0.008805,0.877672,0.077972,0.472794,-6.876498,114.149246,25.326942,0.126542,0.935897,-0.000679,0.328761,-8.898932,136.546722,28.241831,0.101564,0.967894,-0.188286,0.131961,-4.144672,150.914764,27.953491,-0.056638,0.783448,0.188006,0.589622,-11.13316,131.308746,24.655457,0.24713,-0.560354,0.056707,-0.788489,-16.115963,133.529877,8.865961,0.109025,-0.034503,-0.397549,-0.910427,-7.105598,124.49955,-12.222958,0.110653,0.180144,-0.603035,-0.76919,10.119074,142.604477,-16.001657,-0.06491,0.924385,0.138848,0.349314,-6.851607,130.857391,31.094254,0.368574,0.874209,0.16798,-0.267759,5.636212,131.241623,42.183735,-0.015244,0.255712,0.487332,-0.834797,20.052692,117.575729,27.593178,-0.039381,0.019304,0.630575,-0.774888,9.801084,138.936218,16.877676,0.014273,0.87644,0.195876,0.439639,-7.788094,87.539116,12.597525,0.130089,0.945025,-0.020257,0.299322,-2.477825,54.24931,-0.240542,0.018391,0.946002,-0.005132,0.323598,-14.577394,8.977657,-2.097229,-0.076355,0.844087,0.023069,0.530241,2.665226,88.128891,28.895182,0.049099,0.816865,-0.134877,0.558685,8.197476,52.515388,30.411249,-0.029479,0.761091,0.006762,0.647939,-2.632207,7.550377,38.172375,0.018391,0.946002,-0.005132,0.323598,-5.925246,2.372715,-13.595828,-0.029479,0.761091,0.006762,0.647939,12.028573,1.970884,36.019814
1,0.008333,-0.042594,0.876265,0.046386,0.477697,-2.554665,87.832108,20.745054,-0.024761,0.871243,0.140536,0.469651,-3.499491,95.711197,21.067484,-0.008819,0.877754,0.077974,0.472642,-6.865433,114.145767,25.32649,0.126336,0.935976,-0.000675,0.328615,-8.887942,136.543198,28.241545,0.101568,0.96792,-0.188192,0.131901,-4.13963,150.913162,27.950346,-0.055876,0.78444,0.187029,0.588687,-11.123149,131.305038,24.656061,0.248009,-0.55989,0.055846,-0.788604,-16.145658,133.519165,8.878167,0.109857,-0.034663,-0.397547,-0.910322,-7.104916,124.503387,-12.203974,0.110769,0.179922,-0.603276,-0.769036,10.118868,142.603287,-16.006405,-0.064457,0.924442,0.138691,0.349311,-6.839365,130.85405,31.093397,0.368357,0.874213,0.168042,-0.268007,5.650494,131.226273,42.180996,-0.015476,0.255574,0.487247,-0.834885,20.0683,117.572525,27.580378,-0.039458,0.019181,0.630321,-0.775094,9.808035,138.935822,16.874876,0.014053,0.876502,0.195936,0.439496,-7.784656,87.53833,12.598324,0.130246,0.945064,-0.020221,0.299135,-2.460663,54.249786,-0.237323,0.018516,0.946046,-0.005332,0.32346,-14.573325,8.981853,-2.099274,-0.076342,0.844207,0.022992,0.530055,2.675326,88.125877,28.891785,0.049209,0.817003,-0.134931,0.55846,8.204198,52.511971,30.410814,-0.02975,0.761188,0.006432,0.647816,-2.634471,7.549322,38.173077,0.018516,0.946046,-0.005332,0.32346,-5.926991,2.370375,-13.598492,-0.02975,0.761188,0.006432,0.647816,12.025573,1.967682,36.021069
2,0.016667,-0.042487,0.876301,0.046265,0.477651,-2.544343,87.829315,20.744997,-0.024793,0.871292,0.140582,0.469545,-3.486756,95.708725,21.066624,-0.008851,0.877801,0.077924,0.472562,-6.853844,114.141693,25.326693,0.126187,0.936006,-0.000634,0.328586,-8.876306,136.539459,28.239239,0.101455,0.967916,-0.188257,0.131929,-4.132525,150.910904,27.947554,-0.055809,0.784513,0.18699,0.588608,-11.112044,131.300781,24.654827,0.248117,-0.559925,0.055795,-0.788549,-16.13789,133.515259,8.87804,0.109876,-0.034745,-0.39768,-0.910258,-7.098786,124.498222,-12.204268,0.110772,0.179803,-0.603458,-0.768921,10.119375,142.602509,-16.011503,-0.064464,0.924454,0.138659,0.34929,-6.827098,130.850708,31.091455,0.368484,0.874111,0.168086,-0.268136,5.663226,131.223648,42.178509,-0.015284,0.255324,0.487366,-0.834896,20.07299,117.567886,27.571827,-0.039328,0.018845,0.630643,-0.774847,9.811415,138.935318,16.871536,0.014137,0.876529,0.195905,0.439452,-7.775353,87.536171,12.598896,0.130235,0.945076,-0.020206,0.299101,-2.458344,54.246902,-0.237776,0.01839,0.94609,-0.005438,0.323335,-14.569694,8.978642,-2.100281,-0.076321,0.844417,0.022911,0.529726,2.686667,88.122459,28.891098,0.049338,0.817167,-0.134956,0.558203,8.211775,52.508057,30.412155,-0.029942,0.761238,0.006077,0.647753,-2.635606,7.547226,38.172798,0.01839,0.94609,-0.005438,0.323335,-5.925325,2.365465,-13.600002,-0.029942,0.761238,0.006077,0.647753,12.023191,1.961385,36.023201
3,0.025,-0.042523,0.876344,0.046292,0.477567,-2.531693,87.828476,20.743885,-0.024821,0.871327,0.140621,0.469467,-3.474782,95.707794,21.065702,-0.008856,0.877837,0.077968,0.472488,-6.84298,114.139412,25.326633,0.126297,0.936034,-0.000613,0.328464,-8.866329,136.536865,28.240978,0.101214,0.967968,-0.18827,0.131711,-4.119941,150.907471,27.950209,-0.056596,0.783566,0.188102,0.58944,-11.102331,131.298294,24.656586,0.247611,-0.560569,0.056385,-0.788208,-16.092495,133.521057,8.869648,0.109274,-0.034713,-0.39788,-0.910245,-7.092252,124.488113,-12.222475,0.110882,0.179681,-0.603607,-0.768817,10.117104,142.601593,-16.016989,-0.06448,0.924484,0.138715,0.349184,-6.816313,130.848053,31.092489,0.368328,0.874154,0.168064,-0.268223,5.676393,131.221375,42.176838,-0.0155,0.255327,0.487285,-0.834938,20.089531,117.572006,27.567524,-0.039436,0.018855,0.63044,-0.775006,9.823899,138.939957,16.871891,0.014172,0.876522,0.195877,0.439478,-7.764208,87.534866,12.598771,0.130297,0.945393,-0.020065,0.29808,-2.449902,54.244888,-0.237188,0.018356,0.946122,-0.005449,0.323243,-14.564721,8.977607,-2.100896,-0.076263,0.844435,0.022859,0.529708,2.700822,88.122086,28.889,0.04939,0.817168,-0.135014,0.558184,8.220467,52.50687,30.410799,-0.029984,0.761267,0.005944,0.647718,-2.633745,7.54801,38.173298,0.018356,0.946122,-0.005449,0.323243,-5.922233,2.364462,-13.602044,-0.029984,0.761267,0.005944,0.647718,12.024269,1.960014,36.023949
4,0.033333,-0.042332,0.876301,0.045848,0.477706,-2.524716,87.816849,20.745176,-0.024808,0.871353,0.140603,0.469425,-3.461833,95.697083,21.062132,-0.008793,0.877887,0.078085,0.472376,-6.830729,114.137878,25.32498,0.126058,0.93611,-0.000669,0.328341,-8.853719,136.534546,28.245567,0.101269,0.967956,-0.188334,0.131668,-4.113606,150.90712,27.950066,-0.056763,0.783602,0.188238,0.589333,-11.090549,131.29686,24.66041,0.247508,-0.560712,0.056365,-0.78814,-16.08428,133.517181,8.874248,0.109155,-0.034904,-0.397929,-0.910231,-7.091822,124.486305,-12.222086,0.110851,0.179489,-0.603691,-0.7688,10.115726,142.6017,-16.023432,-0.064632,0.924523,0.138828,0.34901,-6.802873,130.845047,31.0951,0.368553,0.874009,0.168282,-0.268252,5.693261,131.222641,42.175449,-0.015407,0.255218,0.487405,-0.834903,20.097477,117.569374,27.560966,-0.039546,0.018855,0.630239,-0.775164,9.835582,138.939163,16.868862,0.014215,0.876543,0.195987,0.439386,-7.754975,87.522537,12.598637,0.130399,0.945312,-0.020232,0.298281,-2.441224,54.235756,-0.245829,0.018226,0.946125,-0.005268,0.323246,-14.569159,8.971596,-2.100192,-0.07633,0.844425,0.022925,0.529712,2.705544,88.111168,28.891716,0.049505,0.817141,-0.135081,0.558197,8.231749,52.49691,30.412096,-0.03007,0.761209,0.006293,0.647779,-2.634768,7.540798,38.173271,0.018226,0.946125,-0.005268,0.323246,-5.92416,2.364555,-13.602966,-0.03007,0.761209,0.006293,0.647779,12.026832,1.962288,36.023746
5,0.041667,-0.042485,0.876371,0.046112,0.477538,-2.509547,87.822319,20.744551,-0.024849,0.871381,0.140637,0.469361,-3.450729,95.701958,21.064182,-0.008691,0.877924,0.078032,0.472319,-6.819423,114.132187,25.32531,0.126157,0.936103,-0.000535,0.328323,-8.83702,136.529327,28.24612,0.100887,0.967985,-0.188433,0.131605,-4.095479,150.90152,27.95524,-0.056557,0.783831,0.187954,0.589138,-11.075548,131.292099,24.661318,0.247421,-0.560754,0.056323,-0.788141,-16.077738,133.510559,8.877575,0.109026,-0.035098,-0.39807,-0.910177,-7.087351,124.483231,-12.221153,0.110712,0.179515,-0.603674,-0.768827,10.113476,142.602768,-16.02944,-0.064697,0.924498,0.138822,0.349064,-6.787002,130.839371,31.095362,0.368274,0.874082,0.168382,-0.268334,5.707589,131.218735,42.177383,-0.015422,0.255104,0.487254,-0.835026,20.11974,117.578125,27.558905,-0.039244,0.019003,0.630329,-0.775103,9.847747,138.943329,16.870995,0.014249,0.876579,0.195954,0.439328,-7.742658,87.527634,12.599855,0.13049,0.945355,-0.020278,0.298101,-2.432952,54.239975,-0.244027,0.018961,0.946118,-0.004862,0.32323,-14.570401,8.978212,-2.094539,-0.076191,0.844338,0.022837,0.529874,2.723564,88.117004,28.889244,0.049552,0.817098,-0.135129,0.558243,8.23771,52.500923,30.410757,-0.030366,0.761255,0.006237,0.647712,-2.635377,7.546478,38.172409,0.018961,0.946118,-0.004862,0.32323,-5.932907,2.375735,-13.605566,-0.030366,0.761255,0.006237,0.647712,12.027994,1.972487,36.023247
6,0.05,-0.042535,0.876353,0.046037,0.477574,-2.496441,87.82016,20.74448,-0.02485,0.871413,0.140669,0.469292,-3.437765,95.699844,21.062662,-0.008735,0.877966,0.078119,0.472225,-6.806944,114.130852,25.325346,0.126357,0.936084,-0.000676,0.328298,-8.827858,136.527328,28.248867,0.100394,0.968057,-0.188311,0.131628,-4.079549,150.897247,27.955866,-0.056764,0.783726,0.188239,0.589166,-11.06619,131.2901,24.663973,0.247285,-0.560766,0.056604,-0.788154,-16.066473,133.50914,8.879711,0.108909,-0.035374,-0.398262,-0.910096,-7.078336,124.474457,-12.216827,0.110687,0.179435,-0.603863,-0.768701,10.115546,142.601776,-16.036764,-0.064894,0.924523,0.138921,0.348923,-6.776281,130.837433,31.097115,0.368319,0.874019,0.168422,-0.26845,5.720732,131.222458,42.176212,-0.01557,0.25494,0.487372,-0.835004,20.128193,117.58255,27.552465,-0.038926,0.019463,0.630436,-0.77502,9.856764,138.956421,16.87463,0.014413,0.876657,0.19595,0.439169,-7.728802,87.523994,12.599358,0.130497,0.945087,-0.020478,0.298934,-2.431901,54.236568,-0.250411,0.018972,0.946089,-0.004735,0.323316,-14.57393,8.975753,-2.094073,-0.076088,0.844261,0.022882,0.530009,2.735919,88.116333,28.889603,0.049532,0.816972,-0.135205,0.558411,8.245365,52.499271,30.405287,-0.029051,0.761014,0.008027,0.648034,-2.631699,7.546556,38.171417,0.018972,0.946089,-0.004735,0.323316,-5.933868,2.376632,-13.605094,-0.029051,0.761014,0.008027,0.648034,12.034952,1.986956,36.007412
7,0.058333,-0.042513,0.876474,0.046042,0.477353,-2.489658,87.819687,20.744436,-0.024858,0.871501,0.140664,0.469129,-3.430634,95.699387,21.06308,-0.008721,0.878037,0.078115,0.472095,-6.798694,114.127609,25.325411,0.126326,0.936121,-0.000619,0.328204,-8.818502,136.524124,28.249374,0.100334,0.96805,-0.188434,0.13155,-4.071759,150.894577,27.957052,-0.056812,0.783732,0.188334,0.589123,-11.057954,131.286896,24.665178,0.247413,-0.560801,0.056545,-0.788093,-16.059753,133.506256,8.881433,0.108863,-0.035581,-0.398381,-0.910041,-7.073221,124.470032,-12.215139,0.110563,0.179154,-0.603792,-0.76884,10.114687,142.600266,-16.044136,-0.064841,0.924551,0.138893,0.348868,-6.76614,130.834244,31.097054,0.368399,0.87393,0.168801,-0.268393,5.732384,131.218262,42.174488,-0.015558,0.254947,0.487406,-0.834982,20.138472,117.581093,27.546829,-0.039101,0.019618,0.630047,-0.775324,9.869864,138.953812,16.869692,0.014345,0.876611,0.196025,0.439229,-7.726152,87.523621,12.601966,0.130606,0.945404,-0.020326,0.297892,-2.421711,54.238174,-0.249809,0.01913,0.9461,-0.004849,0.323272,-14.571039,8.979452,-2.096607,-0.076042,0.844258,0.022835,0.530023,2.746837,88.115746,28.886908,0.049605,0.817038,-0.135261,0.558294,8.251646,52.498024,30.403778,-0.029084,0.761065,0.007811,0.647976,-2.632753,7.547414,38.171761,0.01913,0.9461,-0.004849,0.323272,-5.934509,2.375804,-13.60769,-0.029084,0.761065,0.007811,0.647976,12.032306,1.983604,36.007771
8,0.066667,-0.042478,0.876534,0.045933,0.477257,-2.479543,87.816757,20.743959,-0.024967,0.871553,0.140723,0.469008,-3.419169,95.696671,21.061462,-0.008707,0.878112,0.078084,0.47196,-6.791028,114.122459,25.323826,0.125467,0.936314,-0.000314,0.327986,-8.809166,136.519211,28.247162,0.101072,0.967928,-0.188767,0.1314,-4.089247,150.898468,27.953562,-0.05683,0.783755,0.188322,0.589095,-11.04991,131.28186,24.66396,0.247267,-0.560865,0.056661,-0.788085,-16.052736,133.50029,8.880417,0.108761,-0.03569,-0.398454,-0.910017,-7.070381,124.462868,-12.21741,0.110685,0.178899,-0.603956,-0.768753,10.115776,142.597229,-16.050117,-0.064644,0.92455,0.138851,0.348925,-6.756112,130.829422,31.094521,0.368305,0.874021,0.16818,-0.268615,5.74194,131.20755,42.172684,-0.01577,0.255404,0.487226,-0.834944,20.145535,117.56636,27.546322,-0.040123,0.01901,0.630099,-0.775244,9.878468,138.936584,16.853533,0.014371,0.876711,0.196002,0.439038,-7.717861,87.520157,12.602685,0.130616,0.9455,-0.020272,0.297587,-2.418547,54.234135,-0.249715,0.019125,0.946134,-0.004887,0.323173,-14.567854,8.975447,-2.097673,-0.075968,0.84437,0.022743,0.529859,2.758775,88.113358,28.885233,0.049706,0.817168,-0.135266,0.558093,8.255906,52.494514,30.403811,-0.029875,0.761195,0.0062,0.647805,-2.634598,7.544985,38.169502,0.019125,0.946134,-0.004887,0.323173,-5.933863,2.370865,-13.610122,-0.029875,0.761195,0.0062,0.647805,12.02481,1.960617,36.020226
9,0.075,-0.042446,0.876517,0.045691,0.477314,-2.470621,87.810539,20.745335,-0.024958,0.871592,0.140783,0.46892,-3.408003,95.690849,21.059658,-0.00876,0.878174,0.078068,0.471847,-6.780782,114.119232,25.325245,0.125491,0.936341,-0.000256,0.3279,-8.80033,136.516052,28.24707,0.100957,0.967929,-0.188906,0.131286,-4.080467,150.895355,27.954811,-0.055975,0.78492,0.18722,0.587976,-11.041462,131.278152,24.66489,0.248052,-0.560241,0.055906,-0.788337,-16.091541,133.488113,8.895211,0.109612,-0.035966,-0.39843,-0.909915,-7.070508,124.465263,-12.192353,0.11074,0.17881,-0.604085,-0.768664,10.117079,142.594894,-16.054865,-0.064648,0.924564,0.138824,0.3489,-6.746029,130.826706,31.094429,0.368319,0.874032,0.167968,-0.268694,5.752598,131.205444,42.171921,-0.015731,0.255457,0.487198,-0.834945,20.153603,117.56134,27.545729,-0.040103,0.018968,0.63008,-0.775262,9.886007,138.930969,16.849081,0.014502,0.876729,0.196082,0.438962,-7.707929,87.512299,12.603468,0.130621,0.945269,-0.020419,0.29831,-2.415464,54.228817,-0.258312,0.018337,0.946145,-0.005375,0.323179,-14.567825,8.970806,-2.10274,-0.075954,0.844449,0.022748,0.529735,2.766688,88.10878,28.887203,0.049799,0.817292,-0.135325,0.55789,8.263418,52.489807,30.404108,-0.030103,0.761335,0.00581,0.647633,-2.635277,7.542646,38.172016,0.018337,0.946145,-0.005375,0.323179,-5.926312,2.359898,-13.60591,-0.030103,0.761335,0.00581,0.647633,12.022314,1.95393,36.021652
