Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.029307,0.880703,0.073879,0.466953,-0.926273,87.04216,18.454529,-0.031364,0.873807,0.171238,0.454042,-1.887797,94.913086,19.273706,0.006423,0.886825,0.081753,0.45477,-5.757555,112.197876,24.256029,0.150062,0.926562,-0.133603,0.317985,-7.10511,133.311325,27.484274,0.089097,0.968666,-0.168865,0.15885,-0.566784,146.49617,23.709948,-0.043437,0.78359,0.157631,0.599376,-9.720406,127.765312,23.897406,0.179501,-0.542181,0.096971,-0.815117,-14.733116,129.947235,6.695937,-0.009519,0.067227,-0.50153,-0.862472,-5.298621,121.485329,-13.673,0.05548,0.28725,-0.561717,-0.773876,6.845026,142.986008,-10.549043,-0.050233,0.931777,0.203573,0.296354,-5.161239,127.098488,30.161678,0.33764,0.862876,0.215687,-0.308096,9.626612,126.610275,40.498974,0.029613,0.221707,0.515228,-0.827351,23.592279,115.820221,24.249611,0.09472,-0.008483,0.681729,-0.725398,14.421898,136.581619,14.421338,0.025733,0.873524,0.193468,0.445942,-6.391626,87.211067,10.416541,0.168869,0.929906,-0.020563,0.326092,-1.718528,53.376591,-2.803127,-0.011183,0.899727,-0.023408,0.435681,-17.123896,9.056512,-6.185039,-0.096355,0.854138,0.03852,0.509589,4.53908,86.873253,26.492516,0.023946,0.866794,-0.176865,0.465633,12.005416,51.037304,27.679157,-0.031197,0.848096,0.019522,0.528563,2.304172,6.991506,41.053955,-0.011183,0.899727,-0.023408,0.435681,-5.685669,2.273902,-14.887646,-0.031197,0.848096,0.019522,0.528563,15.824842,1.653415,34.629906
1,0.008333,-0.029391,0.880753,0.073786,0.466868,-0.921167,87.050827,18.456612,-0.031408,0.873828,0.171238,0.454,-1.883101,94.92189,19.273952,0.006114,0.886824,0.081608,0.454804,-5.753939,112.206306,24.255646,0.149929,0.926461,-0.133954,0.318195,-7.110511,133.320923,27.47237,0.088695,0.96865,-0.168834,0.159204,-0.571641,146.502975,23.689213,-0.043595,0.783667,0.15764,0.599262,-9.723136,127.771912,23.888203,0.179791,-0.542246,0.096925,-0.815015,-14.7403,129.948807,6.687395,-0.009403,0.067474,-0.501594,-0.862417,-5.308765,121.481087,-13.680498,0.055638,0.287252,-0.561825,-0.773785,6.829681,142.982712,-10.549068,-0.050214,0.931857,0.203433,0.296202,-5.164388,127.110336,30.153334,0.337345,0.863022,0.215337,-0.308256,9.626781,126.62426,40.485985,0.029594,0.221752,0.514942,-0.827518,23.597271,115.84053,24.236567,0.094967,-0.008322,0.681555,-0.725531,14.413529,136.594055,14.405814,0.025852,0.873535,0.193296,0.445988,-6.387974,87.217293,10.419563,0.16882,0.929876,-0.020512,0.326205,-1.727508,53.378384,-2.793219,-0.01073,0.899704,-0.023146,0.435754,-17.126789,9.05656,-6.179964,-0.096278,0.854152,0.038375,0.509591,4.54564,86.884354,26.49366,0.024007,0.866654,-0.176797,0.465916,12.00182,51.046501,27.686512,-0.03121,0.847988,0.019409,0.528739,2.294219,6.998694,41.050095,-0.01073,0.899704,-0.023146,0.435754,-5.691058,2.274828,-14.886531,-0.03121,0.847988,0.019409,0.528739,15.81707,1.658081,34.632729
2,0.016667,-0.029443,0.880846,0.073596,0.46672,-0.916167,87.057266,18.460766,-0.031687,0.873976,0.170909,0.45382,-1.877292,94.928726,19.275234,0.006056,0.88694,0.081697,0.454561,-5.749686,112.212418,24.241587,0.149429,0.926636,-0.133837,0.31797,-7.109315,133.326447,27.460909,0.088756,0.968647,-0.168957,0.159054,-0.585917,146.51503,23.67383,-0.043786,0.783852,0.157503,0.599042,-9.722578,127.777168,23.877621,0.180039,-0.542215,0.096886,-0.814986,-14.748664,129.944153,6.678158,-0.009285,0.067654,-0.501748,-0.862314,-5.315109,121.471931,-13.686933,0.055738,0.287346,-0.561802,-0.77376,6.813993,142.977142,-10.551093,-0.050246,0.931859,0.203258,0.29631,-5.160384,127.116058,30.140295,0.337098,0.863091,0.215024,-0.308552,9.628366,126.632164,40.476521,0.029694,0.221719,0.514785,-0.82762,23.598106,115.856003,24.221424,0.095284,-0.008442,0.681629,-0.725418,14.404963,136.606354,14.38778,0.025993,0.873584,0.193146,0.445949,-6.385604,87.220856,10.425446,0.168734,0.929773,-0.020438,0.326547,-1.739641,53.378231,-2.78293,-0.010688,0.899714,-0.023075,0.435738,-17.128145,9.053385,-6.179177,-0.096047,0.85429,0.038059,0.509426,4.55327,86.893669,26.496086,0.023826,0.866832,-0.17655,0.465687,11.983714,51.050789,27.698475,-0.030142,0.848099,0.01994,0.528604,2.305092,6.993976,41.053398,-0.010688,0.899714,-0.023075,0.435738,-5.692829,2.272915,-14.887278,-0.030142,0.848099,0.01994,0.528604,15.818556,1.649402,34.619572
3,0.025,-0.029441,0.880885,0.073447,0.46667,-0.912203,87.059799,18.461967,-0.031797,0.87404,0.170832,0.453717,-1.87214,94.931618,19.274426,0.005907,0.887006,0.081583,0.454456,-5.746253,112.216103,24.237022,0.149365,0.926689,-0.133742,0.317885,-7.108928,133.331009,27.449327,0.088524,0.968684,-0.169069,0.158841,-0.588486,146.521393,23.663395,-0.044026,0.784025,0.157013,0.598927,-9.721999,127.780022,23.868547,0.180217,-0.542225,0.096637,-0.814969,-14.752274,129.928696,6.668016,-0.00924,0.067928,-0.501892,-0.862209,-5.316963,121.461555,-13.698376,0.055849,0.287482,-0.561947,-0.773596,6.802902,142.970093,-10.552248,-0.050524,0.931874,0.203246,0.296226,-5.158292,127.121902,30.130434,0.337052,0.863088,0.214849,-0.308731,9.631235,126.648102,40.466003,0.029972,0.221736,0.514654,-0.827687,23.597166,115.873108,24.20686,0.095384,-0.008412,0.681948,-0.725106,14.397571,136.617004,14.36478,0.026007,0.873631,0.193045,0.445899,-6.382555,87.221985,10.427243,0.168725,0.929671,-0.0204,0.326846,-1.741634,53.376568,-2.775743,-0.010593,0.899691,-0.023058,0.43579,-17.127129,9.051291,-6.179931,-0.095892,0.854397,0.037916,0.509286,4.558149,86.897621,26.496693,0.023906,0.867145,-0.176458,0.465134,11.973961,51.051765,27.700991,-0.030171,0.848104,0.019878,0.528597,2.301318,6.992254,41.051338,-0.010593,0.899691,-0.023058,0.43579,-5.691828,2.270065,-14.887465,-0.030171,0.848104,0.019878,0.528597,15.814614,1.646573,34.618084
4,0.033333,-0.029415,0.880943,0.073288,0.466586,-0.911102,87.064278,18.462503,-0.031908,0.874113,0.170713,0.453614,-1.869425,94.936493,19.273024,0.005724,0.887062,0.081536,0.454357,-5.744595,112.222382,24.230574,0.149075,0.926703,-0.133957,0.317891,-7.112943,133.337708,27.437691,0.088329,0.968677,-0.169071,0.158989,-0.598396,146.528534,23.643177,-0.044188,0.784106,0.156964,0.598822,-9.725065,127.785019,23.858862,0.18044,-0.542228,0.09666,-0.814915,-14.759398,129.927292,6.658717,-0.009071,0.06824,-0.501941,-0.862158,-5.324442,121.453667,-13.705148,0.056128,0.287609,-0.562217,-0.773332,6.790812,142.963318,-10.550017,-0.05062,0.931907,0.203188,0.296145,-5.159923,127.129875,30.120014,0.336945,0.863146,0.214678,-0.308806,9.630999,126.660606,40.453808,0.030134,0.221795,0.514524,-0.827746,23.598167,115.887383,24.194559,0.095668,-0.00834,0.681768,-0.725238,14.393189,136.625687,14.345449,0.026052,0.873697,0.192862,0.445846,-6.382995,87.225304,10.428802,0.168662,0.929609,-0.020305,0.32706,-1.751805,53.374886,-2.764779,-0.010556,0.899675,-0.022974,0.435827,-17.128345,9.047261,-6.178843,-0.095812,0.854521,0.037727,0.509108,4.56079,86.903252,26.496204,0.023853,0.867173,-0.176291,0.465149,11.964915,51.055229,27.707767,-0.028824,0.847942,0.021043,0.528887,2.303586,6.989929,41.047203,-0.010556,0.899675,-0.022974,0.435827,-5.692299,2.267721,-14.88671,-0.028824,0.847942,0.021043,0.528887,15.814708,1.652017,34.60294
5,0.041667,-0.029325,0.881004,0.073102,0.466507,-0.909942,87.068504,18.463978,-0.031982,0.874166,0.17063,0.453538,-1.865552,94.941238,19.272673,0.005494,0.887101,0.081375,0.454313,-5.741502,112.228897,24.226982,0.148936,0.926745,-0.13385,0.317877,-7.1153,133.345444,27.423658,0.088183,0.96869,-0.169192,0.158862,-0.605389,146.538925,23.63043,-0.044399,0.784137,0.157086,0.598734,-9.726201,127.79026,23.847809,0.180189,-0.542165,0.097073,-0.814963,-14.763638,129.928665,6.648097,-0.009205,0.068397,-0.502039,-0.862087,-5.329264,121.44574,-13.712152,0.056187,0.287906,-0.562286,-0.773167,6.780166,142.957596,-10.5471,-0.050663,0.931937,0.203121,0.29609,-5.160396,127.139488,30.108929,0.336826,0.863202,0.214531,-0.30888,9.631554,126.672813,40.441357,0.030235,0.221819,0.514359,-0.827839,23.600365,115.902176,24.181812,0.09575,-0.008316,0.681743,-0.725251,14.387163,136.635727,14.327973,0.026088,0.873711,0.192738,0.44587,-6.383376,87.229248,10.431324,0.168648,0.929568,-0.020204,0.32719,-1.7582,53.375446,-2.755697,-0.010811,0.899664,-0.02306,0.435839,-17.129976,9.046981,-6.18029,-0.095709,0.854549,0.03754,0.509093,4.563492,86.907761,26.496632,0.023847,0.867244,-0.176135,0.465075,11.954283,51.057251,27.715879,-0.029239,0.847908,0.020291,0.528948,2.301348,6.986752,41.044228,-0.010811,0.899664,-0.02306,0.435839,-5.691127,2.268555,-14.885341,-0.029239,0.847908,0.020291,0.528948,15.813282,1.636618,34.611816
6,0.05,-0.02941,0.881038,0.073088,0.466439,-0.903872,87.076477,18.464054,-0.032009,0.87421,0.170476,0.453509,-1.860514,94.949158,19.271984,0.005293,0.887103,0.081386,0.45431,-5.733998,112.235794,24.220364,0.148554,0.926794,-0.133874,0.317905,-7.11564,133.352356,27.413553,0.088016,0.968675,-0.169338,0.158891,-0.615494,146.549408,23.616013,-0.044573,0.784227,0.15698,0.598631,-9.72441,127.795639,23.838543,0.180297,-0.542179,0.097065,-0.814932,-14.765742,129.926102,6.638981,-0.009197,0.068709,-0.502116,-0.862017,-5.331967,121.440712,-13.720529,0.05614,0.288273,-0.562294,-0.773028,6.770746,142.952682,-10.54266,-0.050824,0.931971,0.202989,0.296044,-5.158521,127.147552,30.09989,0.336654,0.863279,0.214234,-0.309059,9.633817,126.688126,40.432098,0.030267,0.221875,0.514184,-0.827931,23.602892,115.920792,24.170572,0.095924,-0.008247,0.681592,-0.725371,14.381829,136.649506,14.312685,0.026091,0.8738,0.192618,0.445749,-6.378449,87.235504,10.432142,0.168679,0.929525,-0.020154,0.327299,-1.759299,53.378338,-2.748348,-0.01084,0.899643,-0.023104,0.435879,-17.131807,9.050679,-6.180108,-0.095623,0.854543,0.037368,0.509133,4.570706,86.917442,26.495966,0.023797,0.867246,-0.176144,0.46507,11.949818,51.064789,27.723089,-0.030059,0.848123,0.019982,0.528568,2.300615,6.994376,41.054409,-0.01084,0.899643,-0.023104,0.435879,-5.692058,2.271543,-14.883429,-0.030059,0.848123,0.019982,0.528568,15.812975,1.649492,34.618519
7,0.058333,-0.029428,0.881018,0.073143,0.466468,-0.89746,87.086601,18.460489,-0.031989,0.874255,0.170429,0.453441,-1.85478,94.959137,19.269016,0.005062,0.887145,0.081302,0.454245,-5.725242,112.241005,24.215042,0.148507,0.926796,-0.133788,0.317956,-7.113775,133.358261,27.400673,0.08763,0.968683,-0.169524,0.158855,-0.615267,146.556763,23.605324,-0.044669,0.784319,0.157038,0.598488,-9.721045,127.799332,23.827995,0.180604,-0.542332,0.096832,-0.814789,-14.768264,129.927368,6.62986,-0.009125,0.069147,-0.502043,-0.862026,-5.340319,121.442429,-13.732532,0.05604,0.288604,-0.562278,-0.772923,6.761307,142.94841,-10.538137,-0.051108,0.931981,0.202968,0.295979,-5.154214,127.155113,30.08905,0.336626,0.863305,0.214109,-0.309103,9.638478,126.705948,40.421207,0.030346,0.221925,0.514053,-0.827996,23.607141,115.937958,24.159758,0.096032,-0.007986,0.681461,-0.725483,14.380471,136.662155,14.297268,0.026162,0.873803,0.192385,0.445839,-6.371485,87.245872,10.428207,0.168642,0.929573,-0.020079,0.327185,-1.763194,53.382408,-2.739889,-0.010808,0.899682,-0.023024,0.435805,-17.130655,9.053267,-6.175141,-0.09558,0.854637,0.037189,0.508997,4.576565,86.927322,26.492771,0.023819,0.867138,-0.176152,0.465269,11.94656,51.073086,27.728268,-0.029958,0.848094,0.019951,0.528621,2.292165,7.003018,41.056976,-0.010808,0.899682,-0.023024,0.435805,-5.692316,2.275696,-14.881532,-0.029958,0.848094,0.019951,0.528621,15.804185,1.655744,34.62236
8,0.066667,-0.029465,0.881031,0.073098,0.466447,-0.893071,87.093262,18.46059,-0.032027,0.874285,0.170344,0.453412,-1.85056,94.965866,19.268234,0.005047,0.887174,0.08112,0.45422,-5.720187,112.246407,24.210466,0.148611,0.926843,-0.133285,0.317982,-7.105658,133.364944,27.388969,0.087085,0.968711,-0.169957,0.158525,-0.608385,146.568207,23.608135,-0.044835,0.784507,0.157011,0.598236,-9.713927,127.805138,23.81838,0.186865,-0.542502,0.092561,-0.81376,-14.771459,129.926163,6.622413,-0.005769,0.071283,-0.502222,-0.861776,-5.313573,121.448311,-13.72904,0.05595,0.288911,-0.56223,-0.77285,6.751158,142.943481,-10.531164,-0.051328,0.93199,0.202947,0.295929,-5.146739,127.162445,30.079329,0.33666,0.863288,0.213978,-0.309206,9.646197,126.721298,40.411461,0.030447,0.221938,0.513934,-0.828063,23.610714,115.951302,24.147806,0.096089,-0.007782,0.681226,-0.725698,14.378746,136.670105,14.282173,0.026193,0.873828,0.192238,0.445851,-6.367429,87.251457,10.428517,0.16864,0.929551,-0.020008,0.327255,-1.76579,53.383957,-2.731546,-0.010827,0.899684,-0.023004,0.4358,-17.130636,9.054482,-6.174106,-0.095426,0.854604,0.037002,0.509095,4.581287,86.935059,26.492661,0.023728,0.867117,-0.17603,0.465359,11.934721,51.077652,27.734873,-0.030098,0.848111,0.019906,0.528589,2.291686,7.003152,41.057137,-0.010827,0.899684,-0.023004,0.4358,-5.692069,2.277683,-14.880787,-0.030098,0.848111,0.019906,0.528589,15.804309,1.656994,34.622875
9,0.075,-0.029625,0.88121,0.072856,0.466137,-0.89178,87.094788,18.467968,-0.032297,0.874426,0.170026,0.453241,-1.849436,94.967804,19.271389,0.005081,0.887266,0.081087,0.454046,-5.721143,112.249985,24.19953,0.148284,0.926912,-0.133583,0.317807,-7.104047,133.368729,27.377731,0.086994,0.968726,-0.16996,0.158481,-0.613998,146.57193,23.584274,-0.045006,0.784599,0.156583,0.598215,-9.714082,127.808937,23.808407,0.181027,-0.542369,0.096597,-0.814699,-14.771981,129.915619,6.610783,-0.009069,0.06981,-0.502168,-0.8619,-5.34379,121.42894,-13.750771,0.055573,0.289585,-0.562309,-0.772567,6.744453,142.932465,-10.530417,-0.051414,0.932019,0.20271,0.295982,-5.144439,127.166222,30.067562,0.336586,0.863351,0.213697,-0.309303,9.647033,126.730171,40.402016,0.030537,0.22205,0.513826,-0.828097,23.611052,115.959023,24.138681,0.096197,-0.007728,0.681197,-0.725712,14.375344,136.674713,14.265195,0.02615,0.873876,0.192356,0.445708,-6.37157,87.24752,10.43949,0.168666,0.929563,-0.019973,0.327208,-1.765401,53.383194,-2.72715,-0.010954,0.899668,-0.023115,0.435824,-17.131552,9.054411,-6.172806,-0.0952,0.854814,0.036711,0.508805,4.58801,86.942047,26.496443,0.023555,0.867198,-0.175761,0.465319,11.917157,51.079918,27.745852,-0.030013,0.848095,0.020091,0.528612,2.300488,6.99572,41.05508,-0.010954,0.899668,-0.023115,0.435824,-5.691615,2.276409,-14.876756,-0.030013,0.848095,0.020091,0.528612,15.813655,1.652867,34.619205
