Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.030115,0.846848,0.062779,0.527257,-2.665798,87.923164,19.767139,-0.066825,0.831937,0.202274,0.512349,-3.600132,95.817505,20.361599,-0.008616,0.851653,0.049419,0.5217,-9.804088,113.53064,25.584177,0.18145,0.896086,-0.084382,0.396214,-11.221708,134.824203,27.193233,0.120731,0.949483,-0.185246,0.22269,-3.992991,148.112152,25.774935,-0.034419,0.742142,0.11133,0.660035,-13.368058,129.074234,23.616287,0.140799,-0.565314,0.13502,-0.801477,-15.648411,130.804733,5.795398,0.050104,0.016949,-0.444523,-0.894204,-7.866605,121.793663,-15.031305,0.17722,0.273066,-0.599578,-0.731118,7.359677,141.87001,-15.389969,-0.071107,0.90857,0.102248,0.398736,-9.825853,128.787384,30.5331,0.288791,0.921051,0.097638,-0.242345,2.301613,129.647827,43.873375,-0.02747,0.331346,0.487341,-0.807437,19.471962,118.020996,31.810892,0.051885,0.004761,0.720551,-0.691441,11.634338,138.68396,18.766726,0.009862,0.855884,0.185364,0.482706,-6.964517,88.070885,11.048937,0.128492,0.954659,-0.019644,0.267826,-1.028677,53.970146,-0.9208,0.025651,0.951901,0.009069,0.305196,-13.064845,8.516961,-2.394219,-0.098143,0.809315,0.033898,0.578125,1.632921,87.775436,28.485342,0.024461,0.823453,-0.136665,0.550137,8.886518,51.940441,30.631887,-0.049985,0.7913,0.016296,0.609163,-0.082368,6.711123,39.953918,0.025651,0.951901,0.009069,0.305196,-4.858886,2.230777,-14.465608,-0.049985,0.7913,0.016296,0.609163,14.577421,1.691183,36.423618
1,0.008333,-0.030087,0.846936,0.062626,0.527136,-2.667289,87.930382,19.772238,-0.066812,0.832077,0.202046,0.512212,-3.599878,95.825058,20.365017,-0.008693,0.851756,0.049388,0.521534,-9.7978,113.54084,25.581646,0.181404,0.896108,-0.084574,0.396143,-11.217205,134.834473,27.188148,0.12073,0.949437,-0.185471,0.222699,-3.98782,148.121399,25.763601,-0.034436,0.742265,0.111304,0.6599,-13.364273,129.083755,23.612862,0.140924,-0.565444,0.135024,-0.801363,-15.650998,130.812469,5.792621,0.050128,0.016904,-0.444557,-0.894187,-7.87632,121.797707,-15.035141,0.177236,0.272997,-0.599808,-0.730952,7.348497,141.875122,-15.396491,-0.071103,0.908621,0.10205,0.398671,-9.819392,128.798309,30.528355,0.289027,0.920957,0.097839,-0.24234,2.309973,129.661835,43.866695,-0.027177,0.331269,0.487472,-0.807399,19.473875,118.028191,31.801626,0.051973,0.004764,0.720595,-0.69139,11.640669,138.689285,18.754986,0.009846,0.855989,0.185255,0.482562,-6.968521,88.076805,11.055254,0.128395,0.954625,-0.01954,0.268,-1.03763,53.973068,-0.908393,0.025848,0.951933,0.009111,0.305079,-13.062289,8.517131,-2.390887,-0.097954,0.809528,0.03369,0.57787,1.633942,87.783958,28.48922,0.024363,0.823587,-0.136487,0.549984,8.868432,51.94521,30.637753,-0.050126,0.791272,0.016234,0.60919,-0.082021,6.71086,39.953114,0.025848,0.951933,0.009111,0.305079,-4.861446,2.230597,-14.465563,-0.050126,0.791272,0.016234,0.60919,14.578828,1.692185,36.42543
2,0.016667,-0.03006,0.847022,0.062624,0.527,-2.66494,87.937599,19.770252,-0.066891,0.832161,0.202068,0.512056,-3.597057,95.832306,20.363384,-0.008706,0.851856,0.049256,0.521382,-9.797611,113.549126,25.580755,0.181359,0.896134,-0.08469,0.396081,-11.21428,134.843323,27.182404,0.120787,0.949385,-0.185723,0.22268,-3.984994,148.129852,25.753656,-0.034374,0.742307,0.111056,0.659898,-13.363218,129.091888,23.609335,0.141212,-0.565729,0.134751,-0.801156,-15.650192,130.81633,5.788711,0.050136,0.016926,-0.444557,-0.894186,-7.88748,121.80365,-15.044418,0.177153,0.272855,-0.599923,-0.730931,7.337211,141.880966,-15.404995,-0.071265,0.908696,0.10199,0.398485,-9.815878,128.807831,30.523628,0.289182,0.920919,0.097588,-0.242401,2.317999,129.678421,43.85741,-0.026983,0.33129,0.487536,-0.807359,19.476185,118.035828,31.792835,0.052138,0.004635,0.720629,-0.691342,11.64684,138.695389,18.741161,0.009906,0.856044,0.18499,0.482566,-6.969002,88.084229,11.05467,0.128294,0.954593,-0.019391,0.268173,-1.051218,53.973389,-0.895219,0.02578,0.951929,0.009203,0.305092,-13.062993,8.514473,-2.390676,-0.097817,0.809648,0.033407,0.577742,1.639122,87.79097,28.485834,0.02426,0.823626,-0.136367,0.54996,8.854045,51.948868,30.644098,-0.049948,0.791299,0.016371,0.609165,-0.082003,6.710985,39.956104,0.02578,0.951929,0.009203,0.305092,-4.860584,2.231063,-14.465916,-0.049948,0.791299,0.016371,0.609165,14.577939,1.692118,36.424915
3,0.025,-0.030048,0.8471,0.062378,0.526903,-2.667995,87.944725,19.779291,-0.066951,0.832283,0.201858,0.511933,-3.59782,95.839935,20.369322,-0.008738,0.851954,0.049182,0.521229,-9.794694,113.557472,25.579273,0.181422,0.896112,-0.084907,0.396056,-11.210575,134.851959,27.177811,0.120629,0.949344,-0.185979,0.222726,-3.977478,148.135834,25.743935,-0.034463,0.742392,0.111058,0.659797,-13.360849,129.099945,23.606491,0.141299,-0.565846,0.134731,-0.801062,-15.652399,130.821533,5.786179,0.050112,0.016796,-0.444618,-0.89416,-7.895765,121.807053,-15.048437,0.177067,0.272806,-0.600071,-0.730848,7.326277,141.885971,-15.414492,-0.071217,0.908812,0.101792,0.39828,-9.811036,128.817017,30.51956,0.289342,0.920862,0.097639,-0.242408,2.328979,129.689941,43.847595,-0.026745,0.331155,0.487521,-0.807431,19.482569,118.041695,31.78195,0.052288,0.004607,0.72044,-0.691528,11.648627,138.696381,18.729925,0.009822,0.856138,0.184984,0.482402,-6.974045,88.088867,11.064651,0.128601,0.954323,-0.019308,0.268992,-1.053471,53.977741,-0.883055,0.02574,0.951672,0.008882,0.305906,-13.089,8.525955,-2.404083,-0.097618,0.809819,0.033268,0.577544,1.638055,87.800583,28.493935,0.024142,0.823614,-0.136178,0.55003,8.836039,51.954956,30.650234,-0.049942,0.791276,0.016339,0.609197,-0.08194,6.711689,39.953388,0.02574,0.951672,0.008882,0.305906,-4.867111,2.233238,-14.461213,-0.049942,0.791276,0.016339,0.609197,14.578049,1.691989,36.423588
4,0.033333,-0.030033,0.847154,0.062353,0.526821,-2.66392,87.949135,19.776091,-0.066977,0.832367,0.201837,0.511801,-3.593271,95.844414,20.366003,-0.008809,0.85204,0.049071,0.521097,-9.791441,113.566994,25.577211,0.181356,0.896137,-0.084999,0.39601,-11.207202,134.861893,27.170334,0.120674,0.949297,-0.1862,0.222717,-3.974942,148.145828,25.732794,-0.034512,0.742463,0.110994,0.659726,-13.358474,129.108856,23.601254,0.141403,-0.565981,0.134711,-0.800952,-15.653284,130.827194,5.781044,0.050035,0.016714,-0.444673,-0.894138,-7.903691,121.810509,-15.055232,0.176979,0.272643,-0.600062,-0.730937,7.315017,141.889847,-15.423368,-0.071178,0.908899,0.101723,0.398107,-9.806532,128.827911,30.513309,0.289376,0.920848,0.097406,-0.242514,2.338684,129.701401,43.836578,-0.026539,0.331096,0.487461,-0.807498,19.488871,118.049622,31.769497,0.052562,0.004594,0.720428,-0.69152,11.649747,138.700378,18.713192,0.009671,0.856273,0.184725,0.482265,-6.971668,88.09314,11.062284,0.12864,0.954344,-0.019127,0.268912,-1.052757,53.974785,-0.865585,0.025748,0.951702,0.008921,0.305811,-13.087342,8.523294,-2.402827,-0.097462,0.809942,0.03301,0.577413,1.643827,87.80513,28.489897,0.024046,0.823643,-0.136072,0.550017,8.822205,51.95602,30.653683,-0.049916,0.791278,0.016394,0.609195,-0.082771,6.709611,39.95401,0.025748,0.951702,0.008921,0.305811,-4.867776,2.231655,-14.462105,-0.049916,0.791278,0.016394,0.609195,14.57731,1.690707,36.423458
5,0.041667,-0.030004,0.847196,0.062208,0.526772,-2.663322,87.95459,19.777781,-0.066979,0.832479,0.201696,0.511676,-3.591049,95.850174,20.366043,-0.008838,0.852146,0.048995,0.520931,-9.786602,113.577309,25.574505,0.181198,0.896198,-0.085171,0.395906,-11.201418,134.872498,27.164495,0.120733,0.949257,-0.186394,0.222692,-3.971623,148.156982,25.7195,-0.034582,0.74265,0.110409,0.65961,-13.354161,129.118881,23.597244,0.141191,-0.56608,0.134631,-0.800932,-15.65433,130.820755,5.776146,0.049978,0.016708,-0.44469,-0.894133,-7.909117,121.812309,-15.065326,0.177185,0.272686,-0.600217,-0.730744,7.308479,141.891693,-15.43249,-0.071263,0.908983,0.101478,0.397962,-9.799544,128.839066,30.507973,0.289493,0.920824,0.096881,-0.242674,2.349394,129.719589,43.827377,-0.026214,0.331038,0.487385,-0.807578,19.492615,118.057617,31.760242,0.052877,0.004404,0.720502,-0.69142,11.647299,138.702759,18.696033,0.009702,0.856373,0.184517,0.482166,-6.972101,88.097496,11.064466,0.128585,0.95431,-0.018958,0.269069,-1.063812,53.973579,-0.852746,0.025605,0.951653,0.008921,0.305975,-13.089013,8.520147,-2.405775,-0.097261,0.810011,0.032861,0.577359,1.645458,87.811676,28.491095,0.023906,0.823694,-0.135964,0.549973,8.805956,51.958984,30.65468,-0.049999,0.79132,0.016318,0.609135,-0.082122,6.709156,39.954559,0.025605,0.951653,0.008921,0.305975,-4.863612,2.22957,-14.461626,-0.049999,0.79132,0.016318,0.609135,14.577654,1.68996,36.423153
6,0.05,-0.030008,0.847181,0.061798,0.526844,-2.661508,87.954674,19.781517,-0.067067,0.832554,0.201602,0.511578,-3.585908,95.851074,20.364159,-0.00889,0.852237,0.048876,0.520792,-9.784056,113.585541,25.570509,0.181184,0.896235,-0.085297,0.395803,-11.197838,134.881195,27.155226,0.120742,0.949252,-0.186544,0.222583,-3.967386,148.164825,25.70575,-0.034599,0.742768,0.110403,0.659477,-13.351883,129.126678,23.590227,0.141393,-0.566167,0.134598,-0.800841,-15.658325,130.827255,5.769817,0.05008,0.01667,-0.444671,-0.894138,-7.917403,121.814636,-15.07144,0.177281,0.272488,-0.600004,-0.73097,7.300481,141.892395,-15.442536,-0.071324,0.90911,0.101569,0.397637,-9.79502,128.848618,30.49987,0.289439,0.920864,0.096588,-0.242705,2.362945,129.7314,43.81089,-0.026006,0.330917,0.487182,-0.807757,19.506947,118.067993,31.746244,0.053237,0.004355,0.720331,-0.691571,11.647651,138.70459,18.679106,0.009982,0.856395,0.18431,0.482201,-6.968811,88.093414,11.067406,0.128092,0.954453,-0.018901,0.268804,-1.084987,53.964294,-0.847018,0.025669,0.951881,0.009586,0.305241,-13.065742,8.498749,-2.389266,-0.097135,0.810132,0.032736,0.577217,1.645795,87.815941,28.49563,0.023815,0.823622,-0.135838,0.550117,8.794044,51.96085,30.65995,-0.049994,0.791306,0.016405,0.609153,-0.082135,6.707409,39.953583,0.025669,0.951881,0.009586,0.305241,-4.856529,2.226871,-14.465883,-0.049994,0.791306,0.016405,0.609153,14.578268,1.690185,36.421974
7,0.058333,-0.029959,0.847205,0.061692,0.526821,-2.660531,87.962387,19.782019,-0.067003,0.832661,0.201379,0.511501,-3.583353,95.859047,20.36367,-0.009042,0.852302,0.048894,0.520682,-9.774267,113.596169,25.564789,0.181161,0.896248,-0.085332,0.395777,-11.193783,134.891632,27.146965,0.120693,0.949208,-0.186857,0.222535,-3.963626,148.175262,25.696049,-0.034681,0.742842,0.110884,0.659308,-13.347033,129.136017,23.583261,0.141583,-0.566232,0.1348,-0.800728,-15.661324,130.845078,5.764679,0.05017,0.016555,-0.444642,-0.894149,-7.926523,121.819809,-15.073377,0.17719,0.272501,-0.599934,-0.731045,7.292155,141.895432,-15.451577,-0.07136,0.909171,0.10152,0.397504,-9.788429,128.859909,30.492088,0.302315,0.912601,0.147383,-0.232475,2.373145,129.745209,43.799644,-0.005967,0.315829,0.498129,-0.807518,19.384813,118.151947,31.482712,0.053427,0.004359,0.720295,-0.691593,11.647335,138.707809,18.66169,0.009968,0.85648,0.184008,0.482165,-6.968371,88.100807,11.068168,0.127996,0.954427,-0.018979,0.268936,-1.094869,53.963516,-0.827913,0.025403,0.951986,0.009761,0.304929,-13.068904,8.495942,-2.362332,-0.096997,0.810267,0.032591,0.577058,1.64731,87.823967,28.495869,0.023745,0.823714,-0.135741,0.550005,8.781791,51.966213,30.661539,-0.050137,0.791311,0.016237,0.609138,-0.082746,6.709975,39.952663,0.025403,0.951986,0.009761,0.304929,-4.863546,2.231411,-14.445376,-0.050137,0.791311,0.016237,0.609138,14.577739,1.691518,36.423145
8,0.066667,-0.029986,0.84726,0.061609,0.52674,-2.659125,87.969711,19.782602,-0.066897,0.832766,0.201188,0.511419,-3.581573,95.866501,20.363008,-0.009171,0.852354,0.048861,0.520598,-9.764558,113.606262,25.560787,0.181102,0.896291,-0.085441,0.395682,-11.187894,134.901764,27.139027,0.120664,0.949214,-0.187039,0.222372,-3.958342,148.185242,25.68362,-0.034737,0.742967,0.110996,0.659146,-13.340686,129.14502,23.576851,0.14167,-0.566356,0.134828,-0.80062,-15.662572,130.854446,5.759293,0.050209,0.016562,-0.444592,-0.894171,-7.934863,121.825584,-15.079844,0.177168,0.272589,-0.599941,-0.731012,7.286222,141.899704,-15.458484,-0.071233,0.909237,0.101145,0.397471,-9.780764,128.870987,30.485079,0.302192,0.912678,0.146804,-0.232695,2.382411,129.757767,43.791073,-0.00586,0.31591,0.497903,-0.807626,19.392719,118.163834,31.472895,0.053693,0.004371,0.72011,-0.691765,11.646927,138.710266,18.644831,0.010059,0.856479,0.183814,0.48224,-6.968594,88.106712,11.069534,0.1278,0.954398,-0.018515,0.269162,-1.106663,53.964317,-0.817631,0.026853,0.951857,0.009629,0.305211,-13.051378,8.490375,-2.391526,-0.096842,0.810364,0.032399,0.576959,1.650343,87.83271,28.495672,0.023759,0.824222,-0.135631,0.549271,8.767983,51.97184,30.665237,-0.049879,0.791318,0.016376,0.609147,-0.08366,6.712845,39.955215,0.026853,0.951857,0.009629,0.305211,-4.85692,2.20995,-14.473719,-0.049879,0.791318,0.016376,0.609147,14.575568,1.692766,36.422783
9,0.075,-0.03029,0.847271,0.061623,0.526705,-2.651618,87.971794,19.7812,-0.066858,0.832844,0.201042,0.511355,-3.578251,95.868263,20.359268,-0.009289,0.852393,0.048834,0.520533,-9.758639,113.615967,25.555471,0.18109,0.896312,-0.085638,0.395598,-11.185555,134.911484,27.130199,0.120657,0.949217,-0.187177,0.222245,-3.954493,148.193466,25.668694,-0.034725,0.743098,0.110827,0.659027,-13.337818,129.153748,23.569328,0.141679,-0.56641,0.13488,-0.800571,-15.665356,130.858795,5.752088,0.050186,0.01657,-0.444601,-0.894168,-7.941288,121.82766,-15.087406,0.177187,0.272583,-0.599918,-0.731028,7.279988,141.902863,-15.46518,-0.07114,0.909315,0.101011,0.397343,-9.77688,128.881531,30.477106,0.302229,0.912674,0.146657,-0.232759,2.39045,129.767868,43.779331,-0.005671,0.31588,0.497813,-0.807694,19.39827,118.171204,31.460289,0.053973,0.004484,0.719884,-0.691978,11.646542,138.713654,18.626867,0.010162,0.856497,0.183678,0.482257,-6.961454,88.103882,11.068237,0.127807,0.954302,-0.018533,0.269499,-1.110595,53.958,-0.814319,0.026661,0.951823,0.009783,0.305329,-13.055839,8.484301,-2.391016,-0.096641,0.810413,0.03225,0.576932,1.658219,87.839706,28.494164,0.02369,0.824204,-0.135591,0.549311,8.757928,51.975285,30.663759,-0.050899,0.791414,0.015142,0.60897,-0.086757,6.71497,39.953953,0.026661,0.951823,0.009783,0.305329,-4.855402,2.209667,-14.472162,-0.050899,0.791414,0.015142,0.60897,14.572152,1.685099,36.434139
