jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p12_jap_main_001,0.26752432,0.500019138,0.349293445,0.307440947,0.224872578,0.27261484,0.05026625,0.049465327,0.047751396,0.566735324,0.909656344,0.806780038,0.827242177,0.030015895
p12_jap_main_002,0.320626064,0.506445987,0.358009023,0.333937106,0.236372269,0.332510019,0.05155476,0.051654156,0.047763241,0.684611197,0.924910467,0.852820686,0.83375705,
p12_jap_main_003,0.32049816,0.508287055,0.358362295,0.314954829,0.221523203,0.32667513,0.050987051,0.052212058,0.048081052,0.654031119,0.917429121,0.83840972,0.803741155,
p12_jap_main_004,0.305921773,0.505173399,0.339029618,0.329219138,0.18753392,0.316886297,0.077965164,0.071802961,0.047710777,0.588261653,0.878756728,0.791608205,,
p12_jap_main_005,0.331073642,0.500293132,0.312891073,0.333063239,0.213082792,0.288902843,0.049389106,0.050249355,0.047753259,0.626675582,0.878246393,0.80277515,,
p12_jap_main_006,0.308311555,0.49051405,0.354721557,0.325471304,0.217941089,0.344781698,0.052790756,0.053112539,0.048186581,0.655161492,0.918802028,0.839709867,,
p12_jap_main_007,0.312677811,0.489844843,0.344664528,0.28564311,0.215793036,0.295218891,0.050547343,0.050150069,0.047891526,0.59205151,0.888928618,0.799865485,,
p12_jap_main_008,0.317034374,0.502146205,0.344516441,0.323662118,0.231669927,0.332856023,0.048535394,0.051421204,0.047838107,0.658778979,0.922263291,0.843217997,,
p12_jap_main_009,0.323513407,0.477011959,0.339842044,0.318296877,0.217607177,0.295180509,0.048029617,0.050865882,0.050191482,0.5973731,0.910056949,0.816251795,,
p12_jap_main_010,0.315529377,0.498180353,0.316361692,0.291408338,0.232091164,0.321343203,0.051156868,0.049221923,0.047634946,0.593473892,0.914486146,0.81818247,,
p12_jap_main_011,0.331764442,0.506783987,0.343666641,0.311517412,0.219396593,0.292867345,0.048002369,0.049678876,0.047669644,0.619144173,0.910668377,0.823211116,,
p12_jap_main_012,0.320793218,0.484258139,0.338755372,0.288908932,0.226610465,0.287048407,0.047981467,0.049650806,0.047999817,0.572140719,0.91305773,0.810782627,,
p12_jap_main_013,0.30539193,0.495655658,0.325471315,0.270131584,0.233763233,0.336755532,0.048153941,0.049505168,0.047913131,0.592109601,0.915514855,0.818493279,,
p12_jap_main_014,0.295432577,0.49489146,0.353176071,0.325624452,0.236825715,0.316487677,0.050242795,0.049410148,0.047694693,0.641343837,0.923423896,0.838799878,,
p12_jap_main_015,0.325012825,0.473818885,0.311265494,0.278515042,0.232715555,0.328861448,0.048114749,0.048835899,0.048737265,0.564952819,0.926749703,0.818210638,,
p12_jap_main_016,0.32834037,0.474616039,0.32844645,0.27931152,0.231005371,0.325971338,0.048303947,0.04988968,0.048341713,0.577344303,0.929026079,0.823521547,,
p12_jap_main_017,0.319607367,0.493408017,0.347355222,0.321542028,0.225779412,0.306139717,0.048098277,0.050572743,0.047719084,0.616034892,0.93130266,0.83672233,,
p12_jap_main_018,0.308497961,0.490545019,0.33409161,0.285769341,0.239958068,0.32642791,0.048633823,0.05065153,0.048538313,0.600056534,0.92211607,0.82549821,,
p12_jap_main_019,0.309654166,0.491188402,0.34341103,0.303882459,0.247893484,0.339155455,0.050279914,0.050653889,0.048504362,0.618024498,0.952328834,0.852037533,,
p12_jap_main_020,0.309684871,0.497841538,0.359798752,0.324628127,0.175104329,0.308063514,0.066026579,0.068567479,0.04766609,0.577324528,0.898157365,0.801907514,,
