Format Version,1.23,Take Name,p13_jap_main_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-08-25 11.33.32.574 오전,Total Frames in Take,1199,Total Exported Frames,1199,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.010141,0.946023,0.033649,0.322189,2.778094,87.992386,23.871098,-0.008679,0.941474,0.121865,0.314167,2.480988,95.243965,24.286417,-0.006205,0.942122,0.121831,0.312290,1.325928,107.304337,27.071217,-0.001328,0.967260,-0.061731,0.246160,0.009550,121.853600,30.455479,0.002420,0.977241,-0.115593,0.177854,1.236487,135.279449,27.260845,0.019163,0.857754,0.278299,0.431786,-3.025212,116.426422,27.979538,0.254025,-0.570717,0.005196,-0.780850,-13.934958,121.184830,15.263985,-0.019476,0.206290,-0.552491,-0.807353,-5.228011,113.738159,-6.937376,0.185533,0.198688,-0.459546,-0.845528,0.712802,130.992386,-0.016417,-0.110059,0.941672,0.303529,0.094925,2.681930,115.969765,32.162666,0.278543,0.724706,0.140709,-0.614342,19.363060,118.576286,36.440079,-0.042105,-0.062372,0.501053,-0.862139,21.611465,112.809227,12.235740,0.108652,-0.198124,0.580556,-0.782238,11.905301,129.815002,15.201189,0.076666,0.909149,0.154519,0.379071,-4.244846,88.014511,18.460804,0.065721,0.901967,-0.041421,0.424760,-5.074327,52.958786,5.821779,-0.021591,0.938644,0.018075,0.343735,-12.346014,6.232223,6.715178,-0.056939,0.928548,-0.059339,0.361989,9.801035,87.970261,29.281389,0.059926,0.911806,-0.103840,0.392729,12.141117,51.200630,34.925430,-0.011513,0.861610,0.033511,0.506333,3.114685,5.262885,41.655632,-0.021591,0.938644,0.018075,0.343735,-3.470194,1.127536,-3.541671,-0.011513,0.861610,0.033511,0.506333,15.017056,0.437864,34.940445
1,0.008333,-0.010130,0.946071,0.033591,0.322054,2.778521,87.991737,23.869965,-0.008723,0.941505,0.121901,0.314057,2.481895,95.243385,24.284584,-0.006227,0.942161,0.121788,0.312188,1.325770,107.304428,27.070204,-0.001833,0.967251,-0.062399,0.246024,0.009541,121.853996,30.453217,0.002651,0.977272,-0.115219,0.177924,1.226986,135.275681,27.237505,0.019211,0.857827,0.278237,0.431681,-3.025534,116.426445,27.978489,0.253926,-0.570720,0.005308,-0.780879,-13.938396,121.184372,15.265428,-0.019608,0.206008,-0.552584,-0.807358,-5.231699,113.736107,-6.935497,0.185503,0.198286,-0.459707,-0.845542,0.710647,130.995560,-0.019265,-0.110019,0.941705,0.303487,0.094776,2.682513,115.970444,32.160454,0.278621,0.724629,0.140584,-0.614426,19.364939,118.577484,36.432499,-0.042051,-0.062402,0.501185,-0.862062,21.605982,112.805412,12.228664,0.108741,-0.198180,0.580379,-0.782343,11.905313,129.814072,15.194096,0.076671,0.909170,0.154507,0.379023,-4.245966,88.013626,18.461674,0.065738,0.901962,-0.041390,0.424771,-5.076824,52.957664,5.823395,-0.021767,0.938623,0.017991,0.343786,-12.348730,6.231064,6.713433,-0.056932,0.928536,-0.059294,0.362026,9.803008,87.969849,29.278255,0.059905,0.911725,-0.103913,0.392900,12.143620,51.199768,34.919113,-0.011655,0.861622,0.033440,0.506313,3.115091,5.263215,41.654594,-0.021767,0.938623,0.017991,0.343786,-3.470283,1.125960,-3.540939,-0.011655,0.861622,0.033440,0.506313,15.018055,0.438466,34.940258
2,0.016667,-0.010189,0.946116,0.033501,0.321928,2.779251,87.993828,23.871098,-0.008735,0.941552,0.121875,0.313927,2.482284,95.245537,24.284241,-0.006236,0.942211,0.121730,0.312059,1.326669,107.304749,27.068871,-0.001853,0.967271,-0.062511,0.245919,0.011183,121.854744,30.450344,0.002568,0.977297,-0.115123,0.177848,1.228324,135.275665,27.231348,0.019240,0.857854,0.278301,0.431584,-3.024497,116.426834,27.977144,0.253934,-0.570828,0.005355,-0.780798,-13.940218,121.185699,15.266888,-0.019682,0.205894,-0.552621,-0.807360,-5.239682,113.734016,-6.935315,0.185478,0.198154,-0.459677,-0.845595,0.702939,130.994202,-0.021050,-0.109967,0.941749,0.303406,0.094660,2.684685,115.971443,32.157631,0.279292,0.724399,0.141302,-0.614228,19.368271,118.578445,36.425171,-0.041511,-0.062783,0.501116,-0.862101,21.602768,112.805954,12.220834,0.108809,-0.198236,0.580373,-0.782323,11.903165,129.810394,15.187977,0.076685,0.909247,0.154501,0.378840,-4.246644,88.014122,18.464632,0.065699,0.901985,-0.041370,0.424729,-5.081162,52.958202,5.826494,-0.021487,0.938604,0.018030,0.343855,-12.348960,6.230965,6.716731,-0.056922,0.928445,-0.059169,0.362282,9.805146,87.973526,29.277563,0.059873,0.911700,-0.103988,0.392943,12.146900,51.202255,34.910137,-0.011786,0.861608,0.033151,0.506353,3.118070,5.266809,41.652756,-0.021487,0.938604,0.018030,0.343855,-3.471734,1.124167,-3.537856,-0.011786,0.861608,0.033151,0.506353,15.021367,0.437006,34.942642
3,0.025000,-0.010129,0.946154,0.033564,0.321813,2.779947,87.994720,23.868101,-0.008692,0.941594,0.121853,0.313810,2.483569,95.246384,24.282417,-0.006242,0.942251,0.121720,0.311944,1.329645,107.303703,27.066553,-0.001958,0.967314,-0.062499,0.245750,0.014491,121.853767,30.447865,0.002524,0.977342,-0.115071,0.177639,1.227942,135.274841,27.228107,0.019283,0.857954,0.278265,0.431406,-3.021603,116.425667,27.975574,0.253967,-0.570951,0.005319,-0.780697,-13.942612,121.183586,15.269515,-0.019704,0.205793,-0.552587,-0.807409,-5.249082,113.730789,-6.935050,0.185263,0.198136,-0.459148,-0.845933,0.696528,130.990524,-0.023263,-0.110023,0.941740,0.303493,0.094410,2.688599,115.970612,32.154697,0.279435,0.724354,0.141452,-0.614181,19.373400,118.581757,36.414909,-0.041260,-0.063089,0.500968,-0.862177,21.606766,112.808975,12.210542,0.109071,-0.198417,0.580444,-0.782188,11.903693,129.808441,15.182824,0.076661,0.909311,0.154492,0.378693,-4.247278,88.016304,18.463377,0.065683,0.902018,-0.041316,0.424668,-5.082475,52.959908,5.826611,-0.021743,0.938623,0.017934,0.343791,-12.346692,6.232047,6.713399,-0.056958,0.928441,-0.059092,0.362301,9.807173,87.973129,29.272827,0.059872,0.911496,-0.104086,0.393391,12.153404,51.201485,34.901134,-0.011920,0.861552,0.033074,0.506450,3.117716,5.267963,41.647675,-0.021743,0.938623,0.017934,0.343791,-3.468571,1.125255,-3.540409,-0.011920,0.861552,0.033074,0.506450,15.023300,0.438170,34.941620
4,0.033333,-0.010168,0.946207,0.033632,0.321648,2.782519,87.995682,23.865860,-0.008806,0.941647,0.121871,0.313642,2.485367,95.247269,24.280981,-0.006208,0.942314,0.121705,0.311760,1.329030,107.305611,27.065117,-0.001888,0.967347,-0.062561,0.245604,0.015648,121.855797,30.446602,0.002429,0.977369,-0.115035,0.177516,1.230649,135.276382,27.225388,0.019334,0.858052,0.278188,0.431260,-3.021583,116.427734,27.975632,0.254061,-0.571058,0.005296,-0.780588,-13.946937,121.184669,15.272936,-0.019677,0.205670,-0.552611,-0.807424,-5.259538,113.728775,-6.932989,0.185341,0.198016,-0.459112,-0.845964,0.686815,130.989517,-0.025684,-0.109883,0.941820,0.303314,0.094344,2.690248,115.972603,32.152523,0.279464,0.724282,0.141487,-0.614245,19.376558,118.580757,36.408676,-0.041159,-0.063156,0.500942,-0.862191,21.605219,112.809464,12.203524,0.109194,-0.198353,0.580356,-0.782253,11.901435,129.808578,15.176113,0.076702,0.909343,0.154454,0.378624,-4.246587,88.016899,18.463575,0.065628,0.902039,-0.041293,0.424633,-5.086598,52.960087,5.828279,-0.021671,0.938634,0.018008,0.343761,-12.345157,6.231356,6.715556,-0.056888,0.928589,-0.059180,0.361917,9.811625,87.974457,29.268143,0.059853,0.911560,-0.104111,0.393239,12.152946,51.202995,34.899647,-0.012041,0.861566,0.033027,0.506428,3.119103,5.269754,41.650562,-0.021671,0.938634,0.018008,0.343761,-3.468172,1.125752,-3.539830,-0.012041,0.861566,0.033027,0.506428,15.025181,0.440506,34.944992
5,0.041667,-0.010217,0.946249,0.033629,0.321525,2.782521,87.998451,23.865667,-0.008781,0.941703,0.121735,0.313525,2.484759,95.250031,24.280558,-0.006226,0.942342,0.121798,0.311639,1.330492,107.308266,27.061697,-0.001813,0.967395,-0.062498,0.245436,0.016153,121.857773,30.445736,0.002330,0.977415,-0.115057,0.177249,1.231868,135.278732,27.226326,0.019352,0.858155,0.278149,0.431078,-3.021014,116.429726,27.974669,0.254232,-0.571224,0.005104,-0.780412,-13.951792,121.184937,15.275992,-0.019688,0.205617,-0.552548,-0.807481,-5.273729,113.729622,-6.933779,0.185507,0.197776,-0.459787,-0.845617,0.676406,130.990097,-0.027241,-0.109855,0.941838,0.303307,0.094224,2.691884,115.974640,32.150105,0.279243,0.724243,0.140969,-0.614511,19.379200,118.583252,36.402042,-0.041277,-0.063105,0.501078,-0.862111,21.597700,112.806488,12.197258,0.109380,-0.198394,0.580523,-0.782093,11.897710,129.810730,15.170869,0.076715,0.909393,0.154449,0.378504,-4.247966,88.018753,18.465176,0.065641,0.901966,-0.041283,0.424788,-5.090647,52.961975,5.829954,-0.021913,0.938611,0.017927,0.343813,-12.350108,6.233332,6.714615,-0.056883,0.928526,-0.059205,0.362076,9.813008,87.978149,29.266157,0.059882,0.911541,-0.104077,0.393287,12.152349,51.206856,34.899639,-0.012055,0.861495,0.032969,0.506551,3.116889,5.273273,41.646095,-0.021913,0.938611,0.017927,0.343813,-3.469801,1.128021,-3.538043,-0.012055,0.861495,0.032969,0.506551,15.024694,0.442842,34.944447
