Format Version,1.23,Take Name,p13_jap_post_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-08-25 11.40.48.816 오전,Total Frames in Take,1197,Total Exported Frames,1197,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.021661,0.941597,0.054398,0.331614,6.191459,87.392769,21.880369,0.000370,0.937258,0.121683,0.326711,5.632645,94.612465,22.520632,0.001589,0.934133,0.146798,0.325336,4.623952,107.031441,25.442883,-0.003806,0.967172,-0.025535,0.252807,3.236126,121.380638,29.571039,0.009609,0.976824,-0.120232,0.176822,4.179760,135.019363,27.321758,0.046164,0.862656,0.279174,0.419233,0.262607,116.103836,26.723612,-0.131457,0.716760,0.013393,0.684686,-10.957846,121.567963,14.574744,-0.091874,-0.028195,-0.442016,-0.891844,-11.653616,117.318153,-10.034588,0.091130,0.085822,-0.451968,-0.883207,0.318314,132.953568,-9.425242,-0.116651,0.930741,0.333051,0.095868,5.852290,115.405502,31.030155,0.228778,0.737165,0.142186,-0.619703,22.475094,118.075249,35.491653,-0.070051,-0.067944,0.473755,-0.875233,25.654400,114.051224,11.040412,0.087814,-0.236023,0.573208,-0.779753,14.935371,130.267334,14.706045,0.088908,0.901608,0.165264,0.389725,-0.715724,87.350975,16.323166,0.083702,0.924185,-0.066126,0.366748,-1.890006,52.702511,2.632253,0.003998,0.968591,0.013397,0.248266,-11.501576,6.481433,5.509390,-0.058531,0.924141,-0.055830,0.373391,13.098642,87.434563,27.437574,0.078753,0.902378,-0.135626,0.401395,15.576966,50.648521,32.913082,-0.006160,0.854122,0.025175,0.519426,3.704891,5.677783,41.499962,0.003998,0.968591,0.013397,0.248266,-5.110981,1.039970,-6.305505,-0.006160,0.854122,0.025175,0.519426,15.711462,0.580050,35.183605
1,0.008333,-0.021716,0.941570,0.054521,0.331666,6.194611,87.391869,21.870560,0.000287,0.937238,0.121704,0.326761,5.634417,94.611328,22.512215,0.001654,0.934103,0.146932,0.325363,4.623492,107.029129,25.433975,-0.003671,0.967156,-0.025563,0.252868,3.236057,121.377144,29.566374,0.009614,0.976835,-0.120014,0.176914,4.183727,135.015640,27.317411,0.046243,0.862588,0.279257,0.419307,0.262461,116.101326,26.717209,-0.131422,0.716723,0.013439,0.684731,-10.955559,121.569672,14.568001,-0.091972,-0.028060,-0.441998,-0.891847,-11.648697,117.322968,-10.041941,0.091004,0.085816,-0.451849,-0.883282,0.324226,132.957535,-9.426172,-0.116580,0.930706,0.333153,0.095939,5.851896,115.401459,31.023827,0.228637,0.737134,0.142362,-0.619752,22.474798,118.067642,35.487087,-0.070243,-0.067986,0.473758,-0.875213,25.654310,114.054962,11.034012,0.087685,-0.236015,0.573285,-0.779713,14.935196,130.270844,14.704794,0.088949,0.901587,0.165295,0.389751,-0.711917,87.349937,16.312546,0.083698,0.924007,-0.066299,0.367166,-1.887598,52.702774,2.618454,0.006170,0.968448,0.013759,0.248759,-11.505975,6.483790,5.506395,-0.058497,0.924088,-0.056069,0.373492,13.101140,87.433792,27.428574,0.078735,0.902443,-0.135518,0.401289,15.569787,50.649445,32.919846,-0.006214,0.854118,0.025321,0.519425,3.704207,5.675671,41.499771,0.006170,0.968448,0.013759,0.248759,-5.125920,1.037545,-6.311990,-0.006214,0.854118,0.025321,0.519425,15.712049,0.582115,35.182465
2,0.016667,-0.021724,0.941536,0.054533,0.331758,6.194202,87.389931,21.861898,0.000304,0.937220,0.121797,0.326777,5.633785,94.609367,22.503624,0.001691,0.934091,0.146957,0.325385,4.622540,107.025215,25.427378,-0.003588,0.967170,-0.025397,0.252832,3.235817,121.373009,29.560810,0.009754,0.976864,-0.119909,0.176816,4.184373,135.012238,27.316730,0.046098,0.862566,0.279340,0.419313,0.262012,116.097580,26.711130,-0.131177,0.716657,0.013515,0.684845,-10.956291,121.562805,14.560774,-0.092111,-0.027890,-0.441920,-0.891877,-11.644801,117.328011,-10.051346,0.090923,0.085936,-0.451773,-0.883317,0.331642,132.960434,-9.427523,-0.116553,0.930688,0.333188,0.096025,5.851237,115.397049,31.017912,0.228581,0.737097,0.142448,-0.619796,22.473785,118.061134,35.483734,-0.070402,-0.067948,0.473822,-0.875168,25.651825,114.053917,11.029572,0.087426,-0.236086,0.573376,-0.779654,14.935144,130.270523,14.701962,0.088955,0.901499,0.165484,0.389873,-0.711236,87.348053,16.302528,0.083725,0.923982,-0.066612,0.367164,-1.879745,52.705620,2.595851,0.006283,0.968408,0.013572,0.248923,-11.511164,6.490996,5.510067,-0.058518,0.924106,-0.056213,0.373422,13.099641,87.431808,27.421268,0.078729,0.902518,-0.135483,0.401132,15.566084,50.648846,32.922791,-0.006200,0.854177,0.025364,0.519326,3.703784,5.674076,41.502048,0.006283,0.968408,0.013572,0.248923,-5.128901,1.039090,-6.304514,-0.006200,0.854177,0.025364,0.519326,15.710277,0.581339,35.181522
3,0.025000,-0.021673,0.941500,0.054531,0.331866,6.193153,87.388214,21.853098,0.000217,0.937085,0.122032,0.327077,5.633366,94.607697,22.494968,0.001915,0.934006,0.146956,0.325628,4.617063,107.023193,25.423479,-0.003638,0.967130,-0.025570,0.252967,3.235530,121.370972,29.558695,0.009895,0.976870,-0.119686,0.176924,4.184512,135.009415,27.309954,0.046116,0.862538,0.279350,0.419363,0.260407,116.097473,26.706812,-0.131104,0.716537,0.013389,0.684987,-10.956393,121.563828,14.555576,-0.092156,-0.027766,-0.442000,-0.891837,-11.636160,117.328194,-10.056647,0.090975,0.086019,-0.451687,-0.883348,0.338303,132.962982,-9.427340,-0.116439,0.930669,0.333299,0.095960,5.847375,115.393486,31.015957,0.228788,0.737046,0.142870,-0.619684,22.471279,118.054199,35.478748,-0.070340,-0.068060,0.473864,-0.875142,25.651546,114.052246,11.024016,0.087278,-0.236333,0.573583,-0.779444,14.938053,130.268127,14.698837,0.088826,0.901506,0.165561,0.389854,-0.711048,87.347290,16.292187,0.083750,0.923861,-0.066784,0.367432,-1.868928,52.705055,2.584104,0.006285,0.968412,0.013422,0.248913,-11.509305,6.493014,5.509598,-0.058502,0.924103,-0.056330,0.373415,13.097355,87.429146,27.414013,0.078619,0.902368,-0.135470,0.401495,15.559443,50.647026,32.923077,-0.006239,0.854127,0.025393,0.519407,3.703506,5.670282,41.500774,0.006285,0.968412,0.013422,0.248913,-5.127746,1.037198,-6.303559,-0.006239,0.854127,0.025393,0.519407,15.711692,0.578743,35.182499
4,0.033333,-0.021704,0.941437,0.054561,0.332037,6.195595,87.384239,21.842194,0.000347,0.937084,0.122188,0.327024,5.635121,94.603653,22.484224,0.001929,0.934038,0.146748,0.325629,4.621144,107.013786,25.416512,-0.003776,0.967125,-0.025299,0.253012,3.242034,121.363388,29.546192,0.010002,0.976865,-0.119532,0.177050,4.185636,135.003235,27.303747,0.046249,0.862593,0.279405,0.419199,0.265987,116.089272,26.696432,-0.130976,0.716472,0.013482,0.685078,-10.955173,121.558891,14.550697,-0.092178,-0.027619,-0.441953,-0.891862,-11.630409,117.331490,-10.063055,0.091014,0.086101,-0.451629,-0.883365,0.346237,132.964905,-9.428367,-0.116587,0.930602,0.333361,0.096217,5.852950,115.386047,31.005707,0.229044,0.736903,0.143228,-0.619676,22.473934,118.048080,35.478565,-0.070255,-0.068036,0.473910,-0.875126,25.648821,114.049362,11.022604,0.086961,-0.236219,0.573573,-0.779521,14.937928,130.265259,14.694762,0.088789,0.901529,0.165603,0.389792,-0.706573,87.343163,16.278763,0.083794,0.923789,-0.066963,0.367571,-1.861671,52.701485,2.569056,0.006372,0.968369,0.013368,0.249083,-11.512431,6.492415,5.507113,-0.058476,0.924061,-0.056269,0.373532,13.097765,87.425323,27.405626,0.078583,0.902463,-0.135577,0.401253,15.559098,50.642467,32.910110,-0.006212,0.854146,0.025345,0.519378,3.704570,5.667940,41.501354,0.006372,0.968369,0.013368,0.249083,-5.127864,1.034579,-6.303483,-0.006212,0.854146,0.025345,0.519378,15.711832,0.574909,35.182529
5,0.041667,-0.021899,0.941364,0.054758,0.332198,6.201475,87.379440,21.828743,0.000709,0.937054,0.122128,0.327130,5.637284,94.598412,22.472420,0.001393,0.933926,0.147065,0.325809,4.631937,107.011543,25.406832,-0.004150,0.967058,-0.025823,0.253208,3.233929,121.358406,29.539665,0.010456,0.976848,-0.119122,0.177391,4.172044,134.995987,27.281145,0.046390,0.862525,0.279535,0.419236,0.265586,116.081642,26.686768,-0.130873,0.716418,0.013541,0.685152,-10.954048,121.557640,14.542484,-0.092317,-0.027488,-0.441856,-0.891900,-11.625531,117.336357,-10.072435,0.090798,0.086023,-0.451605,-0.883408,0.355662,132.967819,-9.431053,-0.116585,0.930558,0.333440,0.096370,5.850910,115.383682,30.999029,0.228994,0.736900,0.143231,-0.619697,22.470896,118.043434,35.476994,-0.070312,-0.067947,0.473969,-0.875096,25.645626,114.046814,11.020658,0.086802,-0.236360,0.573440,-0.779593,14.936307,130.264465,14.690906,0.088728,0.901585,0.165614,0.389672,-0.698652,87.336449,16.262787,0.083837,0.923912,-0.067110,0.367226,-1.851171,52.694233,2.554219,0.006354,0.968372,0.013506,0.249063,-11.509527,6.487689,5.507176,-0.058388,0.923998,-0.056318,0.373694,13.101602,87.422424,27.394699,0.078483,0.902431,-0.135663,0.401316,15.554598,50.639214,32.900574,-0.006200,0.854153,0.025404,0.519364,3.704768,5.665398,41.502079,0.006354,0.968372,0.013506,0.249063,-5.124836,1.033577,-6.305080,-0.006200,0.854153,0.025404,0.519364,15.712031,0.573575,35.182266
