Format Version,1.23,Take Name,p13_straight_post_007,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-08-25 11.59.06.694 오전,Total Frames in Take,1248,Total Exported Frames,1248,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.008876,0.934801,0.052040,0.351227,-0.034991,86.631378,24.442408,0.004808,0.928299,0.166134,0.332622,-0.421374,93.860405,25.104362,-0.015806,0.932446,0.139570,0.332890,-1.825476,106.917679,29.411528,-0.000708,0.963230,0.015713,0.268217,-3.660913,121.321533,33.156822,0.045017,0.973558,-0.102417,0.199173,-2.879353,135.110291,32.050484,0.043616,0.867725,0.272620,0.413315,-6.440584,115.902687,30.381254,0.221689,-0.679665,-0.024946,-0.698775,-17.840624,121.146049,18.302494,0.069824,-0.064706,-0.451379,-0.887240,-15.970227,114.488373,-5.704618,0.211439,0.120540,-0.534185,-0.809574,-4.224234,130.412598,-9.280946,-0.133862,0.949972,0.201426,0.197642,-0.924919,115.452805,34.814487,0.260647,0.782451,0.204403,-0.527308,14.507151,118.495712,42.293938,-0.032774,-0.018755,0.454392,-0.890001,22.202492,113.690926,19.016054,0.106548,-0.190570,0.538691,-0.813721,10.356810,130.006073,20.292219,0.088845,0.908465,0.158475,0.376409,-6.711634,86.808334,18.612778,0.082202,0.929913,-0.008448,0.358377,-8.281662,51.995182,5.387202,-0.029559,0.960895,0.036467,0.272907,-15.798989,5.343688,3.343642,-0.091422,0.916274,-0.015830,0.389658,6.641651,86.454430,30.272038,0.037402,0.872966,-0.135312,0.467144,12.426505,49.822380,34.008999,-0.032848,0.877192,0.049672,0.476433,3.358584,4.389229,43.530022,-0.029559,0.960895,0.036467,0.272907,-8.411262,0.753130,-8.248998,-0.032848,0.877192,0.049672,0.476433,15.035042,0.242713,36.012859
1,0.008333,-0.008854,0.934873,0.051931,0.351051,-0.045348,86.634041,24.447571,0.004979,0.928405,0.165596,0.332592,-0.430746,93.863228,25.108231,-0.015770,0.932449,0.139584,0.332877,-1.825469,106.926559,29.404024,-0.001391,0.963216,0.015285,0.268290,-3.659996,121.330330,33.150089,0.045276,0.973485,-0.102261,0.199548,-2.893207,135.118591,32.027481,0.043676,0.867987,0.272301,0.412968,-6.440060,115.911774,30.374353,0.221685,-0.679486,-0.024601,-0.698963,-17.849915,121.149467,18.302404,0.070185,-0.064750,-0.450569,-0.887620,-15.966516,114.482079,-5.700996,0.211106,0.120449,-0.533656,-0.810023,-4.191311,130.383224,-9.284165,-0.133901,0.949940,0.201292,0.197904,-0.924259,115.461372,34.807373,0.260997,0.782459,0.204455,-0.527103,14.503831,118.504524,42.294930,-0.032504,-0.018612,0.454528,-0.889944,22.200853,113.685211,19.020601,0.106646,-0.190395,0.538587,-0.813819,10.360983,130.003235,20.286686,0.088852,0.908635,0.158398,0.376028,-6.724197,86.810509,18.620453,0.082015,0.929966,-0.008315,0.358285,-8.302527,51.995625,5.400440,-0.029677,0.960908,0.036618,0.272826,-15.799215,5.341014,3.352209,-0.091462,0.916348,-0.015737,0.389478,6.633502,86.457565,30.274689,0.037379,0.872993,-0.135335,0.467087,12.424525,49.825840,34.005253,-0.033939,0.877210,0.049300,0.476361,3.358073,4.393116,43.529701,-0.029677,0.960908,0.036618,0.272826,-8.411934,0.755322,-8.242641,-0.033939,0.877210,0.049300,0.476361,15.040936,0.252111,36.019451
2,0.016667,-0.008790,0.934974,0.051907,0.350787,-0.052988,86.634888,24.452187,0.004769,0.928413,0.165738,0.332503,-0.437212,93.864128,25.112963,-0.015715,0.932514,0.139266,0.332829,-1.838042,106.924507,29.409939,-0.001311,0.963205,0.015030,0.268344,-3.667686,121.331001,33.147942,0.045248,0.973451,-0.102261,0.199722,-2.896740,135.118530,32.019234,0.043532,0.867715,0.272462,0.413449,-6.449775,115.911674,30.375723,0.221407,-0.679522,-0.024034,-0.699036,-17.846199,121.151482,18.292007,0.070289,-0.064468,-0.450022,-0.887909,-15.963859,114.473434,-5.708511,0.211392,0.120526,-0.533078,-0.810318,-4.167399,130.360870,-9.282723,-0.134037,0.949991,0.201086,0.197776,-0.933496,115.462158,34.808235,0.261104,0.782594,0.204524,-0.526822,14.495089,118.512367,42.291904,-0.032430,-0.018538,0.454618,-0.889903,22.204092,113.686058,19.022993,0.107015,-0.190142,0.539036,-0.813532,10.366769,130.007507,20.285210,0.088873,0.908885,0.158206,0.375501,-6.735131,86.812004,18.628868,0.081831,0.930127,-0.007948,0.357916,-8.328123,51.992870,5.421808,-0.030318,0.960896,0.036535,0.272808,-15.797183,5.334845,3.350567,-0.091506,0.916383,-0.015686,0.389387,6.629156,86.457764,30.275505,0.037346,0.872974,-0.135330,0.467126,12.424978,49.826515,34.003273,-0.034251,0.877215,0.049110,0.476350,3.361093,4.393440,43.528481,-0.030318,0.960896,0.036535,0.272808,-8.404177,0.752038,-8.241775,-0.034251,0.877215,0.049110,0.476350,15.045627,0.251994,36.021069
3,0.025000,-0.008807,0.935032,0.051867,0.350639,-0.061460,86.637161,24.455479,0.004712,0.928422,0.165632,0.332530,-0.445604,93.866463,25.115696,-0.015694,0.932513,0.139104,0.332902,-1.847168,106.928925,29.409838,-0.001156,0.963166,0.014955,0.268489,-3.674905,121.336784,33.143482,0.045151,0.973410,-0.102329,0.199907,-2.898889,135.123993,32.014179,0.043576,0.867748,0.272105,0.413610,-6.457529,115.917137,30.372433,0.221139,-0.679465,-0.023420,-0.699197,-17.849195,121.154694,18.283255,0.070448,-0.064185,-0.449465,-0.888200,-15.961499,114.465141,-5.713640,0.211639,0.120660,-0.532663,-0.810506,-4.143038,130.338867,-9.279930,-0.133945,0.950016,0.200976,0.197831,-0.941923,115.467964,34.805817,0.261055,0.782737,0.204435,-0.526669,14.486766,118.515610,42.290314,-0.032518,-0.018375,0.454656,-0.889884,22.205118,113.685463,19.025295,0.107097,-0.189954,0.539342,-0.813362,10.368679,130.008514,20.283327,0.088896,0.909147,0.157998,0.374949,-6.745440,86.813622,18.634247,0.081690,0.930297,-0.007613,0.357516,-8.354029,51.989891,5.441192,-0.029793,0.960872,0.036744,0.272925,-15.800283,5.329177,3.348483,-0.091540,0.916506,-0.015619,0.389092,6.622521,86.460701,30.276711,0.037349,0.873024,-0.135359,0.467024,12.423797,49.829762,33.999023,-0.034116,0.877187,0.049143,0.476407,3.359481,4.397440,43.527435,-0.029793,0.960872,0.036744,0.272925,-8.409247,0.747778,-8.245671,-0.034116,0.877187,0.049143,0.476407,15.043980,0.254984,36.020531
4,0.033333,-0.008737,0.935101,0.051732,0.350476,-0.071695,86.638245,24.457853,0.004799,0.928498,0.165254,0.332505,-0.454079,93.867767,25.116657,-0.015723,0.932508,0.139136,0.332901,-1.849989,106.935333,29.402798,-0.001274,0.963171,0.014512,0.268493,-3.678857,121.342896,33.137032,0.045261,0.973415,-0.102050,0.200003,-2.902688,135.129044,31.995100,0.043688,0.867958,0.271798,0.413359,-6.461040,115.923157,30.365730,0.221187,-0.679205,-0.023035,-0.699447,-17.859579,121.157623,18.281689,0.070782,-0.064089,-0.449001,-0.888415,-15.953371,114.456131,-5.710410,0.211704,0.120552,-0.532155,-0.810839,-4.118105,130.315933,-9.278379,-0.133961,0.950006,0.200847,0.198000,-0.945444,115.474213,34.799149,0.261301,0.782760,0.204310,-0.526561,14.480763,118.522049,42.288677,-0.032546,-0.018166,0.454865,-0.889780,22.198370,113.677582,19.026392,0.106806,-0.189901,0.539686,-0.813185,10.369663,130.005981,20.277613,0.088831,0.909486,0.157733,0.374253,-6.757723,86.814865,18.638981,0.081568,0.930581,-0.007207,0.356812,-8.379777,51.984024,5.466366,-0.030498,0.960836,0.036889,0.272955,-15.803349,5.320871,3.347655,-0.091543,0.916584,-0.015569,0.388910,6.614333,86.461624,30.276728,0.037292,0.873106,-0.135348,0.466879,12.418001,49.830612,33.994598,-0.034078,0.877186,0.049154,0.476412,3.360476,4.397610,43.526203,-0.030498,0.960836,0.036889,0.272955,-8.404351,0.748894,-8.245138,-0.034078,0.877186,0.049154,0.476412,15.044782,0.254922,36.019131
5,0.041667,-0.008664,0.935164,0.051629,0.350326,-0.080068,86.638535,24.461153,0.004510,0.928474,0.165575,0.332416,-0.460838,93.868233,25.118992,-0.015518,0.932599,0.138797,0.332798,-1.866696,106.932892,29.410559,-0.001086,0.963161,0.014035,0.268557,-3.686064,121.343468,33.137798,0.045111,0.973381,-0.101916,0.200269,-2.901197,135.128204,31.984680,0.043593,0.867721,0.271731,0.413911,-6.472230,115.923897,30.370163,0.221178,-0.679173,-0.022615,-0.699495,-17.855158,121.159401,18.271868,0.070984,-0.063866,-0.448580,-0.888627,-15.945774,114.443954,-5.716080,0.211755,0.120845,-0.531468,-0.811233,-4.093915,130.293091,-9.279145,-0.133841,0.950073,0.200724,0.197884,-0.955567,115.474068,34.802166,0.261400,0.782824,0.204518,-0.526336,14.473372,118.519890,42.286892,-0.032617,-0.018054,0.454944,-0.889740,22.200251,113.673889,19.027992,0.106693,-0.189743,0.539604,-0.813291,10.375159,130.003235,20.276463,0.088890,0.909736,0.157335,0.373797,-6.767986,86.815567,18.644464,0.081427,0.930648,-0.006679,0.356679,-8.412182,51.976170,5.497233,-0.030004,0.960785,0.037173,0.273148,-15.805888,5.310139,3.337845,-0.091540,0.916666,-0.015475,0.388722,6.607851,86.461502,30.277842,0.037260,0.873088,-0.135393,0.466902,12.414821,49.830227,33.987984,-0.034043,0.877143,0.049196,0.476488,3.357657,4.398149,43.524368,-0.030004,0.960785,0.037173,0.273148,-8.406572,0.741858,-8.256205,-0.034043,0.877143,0.049196,0.476488,15.043116,0.256043,36.018768
