Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.008015,0.92661,0.072875,0.368807,-1.910308,84.494301,23.068172,0.022114,0.918028,0.152186,0.36548,-2.409056,91.685692,24.006966,0.010297,0.919868,0.132917,0.368876,-3.43493,105.521645,28.299725,0.015194,0.952899,0.007031,0.302826,-4.621316,119.984184,32.080544,0.049284,0.960208,-0.153574,0.228005,-3.258277,133.725128,30.943438,0.064129,0.852695,0.262622,0.447021,-7.536419,114.772125,29.05879,-0.183466,0.713436,0.013098,0.676149,-17.849337,120.766342,16.367718,-0.011808,0.032455,-0.43851,-0.898062,-18.307171,114.668678,-7.855679,0.157861,0.215611,-0.462791,-0.845232,-6.034707,130.413727,-6.481984,-0.107768,0.938598,0.24465,0.218097,-2.376852,113.94249,33.851398,0.33051,0.732203,0.246649,-0.542039,12.97862,115.607323,41.900497,0.034386,-0.072395,0.507794,-0.857742,17.823219,110.195587,17.996376,0.173266,-0.264734,0.716996,-0.621137,8.183592,128.01973,19.812599,0.097433,0.898879,0.172239,0.39097,-8.362773,84.839149,16.99856,0.097864,0.920888,-0.018964,0.376867,-9.871645,50.484585,2.617188,-0.038704,0.932617,0.071975,0.351493,-19.072746,4.127133,0.780322,-0.117626,0.912561,0.00675,0.391601,4.542157,84.149452,29.137785,0.011415,0.866327,-0.159676,0.473128,12.741186,47.910469,32.112415,-0.051914,0.892271,0.082167,0.440914,4.659323,3.037184,44.686966,-0.038704,0.932617,0.071975,0.351493,-9.720919,0.588712,-9.710806,-0.051914,0.892271,0.082167,0.440914,15.960479,-0.057722,36.157822
1,0.008333,-0.008103,0.92655,0.07285,0.368962,-1.902456,84.49543,23.068129,0.022482,0.917964,0.152049,0.365675,-2.402414,91.686859,24.006039,0.009739,0.919731,0.132949,0.369222,-3.417556,105.51828,28.297281,0.015195,0.952761,0.007087,0.303259,-4.621107,119.980911,32.072353,0.049353,0.960122,-0.153393,0.228473,-3.25733,133.722,30.937815,0.064175,0.852682,0.262707,0.44699,-7.528551,114.765099,29.049709,-0.183337,0.71329,0.012992,0.67634,-17.842237,120.761681,16.360384,-0.011631,0.032531,-0.438286,-0.898172,-18.289509,114.666489,-7.863833,0.157994,0.215623,-0.462879,-0.845156,-6.009271,130.40567,-6.490482,-0.107939,0.938543,0.244608,0.218296,-2.372443,113.941933,33.84716,0.330405,0.732349,0.246569,-0.541942,12.978716,115.610764,41.903652,0.034451,-0.072277,0.507666,-0.857826,17.832026,110.197113,18.001732,0.173341,-0.264681,0.716983,-0.621154,8.185947,128.019302,19.813004,0.097531,0.898816,0.172145,0.391131,-8.352874,84.838882,16.996262,0.097832,0.921001,-0.018956,0.376598,-9.868495,50.483322,2.617988,-0.038772,0.93268,0.072032,0.351308,-19.06708,4.125237,0.784265,-0.117587,0.912524,0.006782,0.391697,4.547962,84.151978,29.139996,0.01142,0.866166,-0.15968,0.473423,12.745049,47.91235,32.112164,-0.051984,0.892252,0.082134,0.44095,4.658391,3.039181,44.684071,-0.038772,0.93268,0.072032,0.351308,-9.718616,0.588962,-9.710587,-0.051984,0.892252,0.082134,0.44095,15.960651,-0.055652,36.156361
2,0.016667,-0.008136,0.9265,0.072859,0.369084,-1.892898,84.495583,23.065796,0.022275,0.917906,0.152036,0.365838,-2.393465,91.686989,24.003576,0.009769,0.919671,0.132974,0.369361,-3.414912,105.521355,28.292904,0.015193,0.952696,0.007255,0.303459,-4.618489,119.983757,32.068817,0.049456,0.960069,-0.153309,0.228733,-3.255608,133.725327,30.939159,0.064153,0.852502,0.262726,0.447324,-7.525435,114.768425,29.044891,-0.183193,0.713264,0.012681,0.676412,-17.828794,120.767303,16.348265,-0.011566,0.032667,-0.438089,-0.898263,-18.273836,114.667007,-7.874711,0.158122,0.215749,-0.462786,-0.84515,-5.986798,130.401093,-6.497573,-0.108158,0.938488,0.244718,0.218301,-2.370799,113.944473,33.843784,0.330318,0.732545,0.246556,-0.541737,12.978639,115.6194,41.902294,0.034442,-0.072238,0.507526,-0.857912,17.84598,110.202812,18.003883,0.173423,-0.264659,0.717099,-0.621006,8.192776,128.023849,19.814604,0.097422,0.898827,0.172059,0.391171,-8.341701,84.838722,16.992193,0.098096,0.920968,-0.018992,0.376609,-9.852125,50.479378,2.62242,-0.03838,0.932586,0.072325,0.35154,-19.074728,4.126319,0.782272,-0.117613,0.912568,0.006673,0.39159,4.555904,84.152451,29.139397,0.011517,0.866169,-0.159665,0.473419,12.75187,47.913162,32.118778,-0.05192,0.892262,0.082183,0.440929,4.657964,3.039771,44.685238,-0.03838,0.932586,0.072325,0.35154,-9.72381,0.593851,-9.711676,-0.05192,0.892262,0.082183,0.440929,15.959483,-0.054646,36.156395
3,0.025,-0.008178,0.92645,0.072823,0.369215,-1.88276,84.496666,23.062876,0.022116,0.917834,0.152044,0.366024,-2.383831,91.688133,23.999887,0.009828,0.919596,0.132996,0.369538,-3.410723,105.525719,28.288504,0.015248,0.952623,0.007574,0.303678,-4.613638,119.987915,32.065411,0.049432,0.96002,-0.153313,0.22894,-3.251385,133.730316,30.945127,0.064028,0.852447,0.262667,0.447483,-7.520218,114.773285,29.039907,-0.18309,0.713156,0.012522,0.676557,-17.819187,120.76889,16.338169,-0.011373,0.032789,-0.437914,-0.898347,-18.256306,114.667976,-7.884798,0.158303,0.215971,-0.462809,-0.845047,-5.96371,130.397034,-6.506634,-0.108257,0.938435,0.244579,0.218636,-2.367444,113.948143,33.840595,0.330255,0.73273,0.246581,-0.541513,12.976149,115.624306,41.909981,0.034457,-0.071968,0.507454,-0.857977,17.857637,110.20491,18.015089,0.173245,-0.264641,0.716929,-0.621261,8.199904,128.024384,19.81638,0.097548,0.898747,0.171953,0.391371,-8.329843,84.839066,16.987404,0.098053,0.921071,-0.018996,0.376369,-9.848652,50.478828,2.62063,-0.038982,0.932656,0.072039,0.351346,-19.068157,4.124984,0.784806,-0.117569,0.912518,0.0066,0.391721,4.564323,84.154266,29.138348,0.011555,0.866129,-0.159639,0.473501,12.754848,47.91415,32.122593,-0.051998,0.89223,0.082173,0.440986,4.657813,3.040042,44.684456,-0.038982,0.932656,0.072039,0.351346,-9.717061,0.591029,-9.708486,-0.051998,0.89223,0.082173,0.440986,15.960938,-0.053638,36.157463
4,0.033333,-0.008177,0.926379,0.072787,0.369401,-1.874281,84.498627,23.059425,0.022083,0.917748,0.152045,0.366241,-2.375337,91.69017,23.995848,0.009751,0.919498,0.133039,0.369768,-3.404146,105.528107,28.28401,0.01556,0.952556,0.007958,0.30386,-4.610624,119.990005,32.060944,0.049327,0.960028,-0.153325,0.228922,-3.242897,133.732925,30.953798,0.063986,0.85238,0.262651,0.447625,-7.515059,114.775177,29.033703,-0.183052,0.713071,0.012501,0.676658,-17.809799,120.770439,16.328371,-0.011238,0.03293,-0.437741,-0.898428,-18.240803,114.671013,-7.895078,0.158386,0.21603,-0.462774,-0.845036,-5.942783,130.395096,-6.514224,-0.108326,0.938388,0.244531,0.218857,-2.364677,113.950386,33.837021,0.3302,0.732897,0.246654,-0.541287,12.97502,115.627098,41.913689,0.034319,-0.071759,0.507449,-0.858002,17.870552,110.2061,18.022034,0.172959,-0.264659,0.716923,-0.621339,8.211472,128.025131,19.818911,0.097578,0.898643,0.171733,0.391699,-8.318933,84.841042,16.981375,0.098104,0.921182,-0.018937,0.376086,-9.841191,50.475616,2.627407,-0.039085,0.932713,0.072078,0.351175,-19.063562,4.12251,0.787493,-0.11754,0.912484,0.006514,0.391811,4.570369,84.156212,29.137474,0.011554,0.866067,-0.1596,0.473626,12.756085,47.915489,32.127552,-0.051876,0.892261,0.082186,0.440936,4.659043,3.040215,44.685253,-0.039085,0.932713,0.072078,0.351175,-9.71528,0.590575,-9.708986,-0.051876,0.892261,0.082186,0.440936,15.960368,-0.054705,36.15633
5,0.041667,-0.008216,0.926307,0.072719,0.369594,-1.867102,84.499634,23.056946,0.02217,0.917657,0.151961,0.3665,-2.368515,91.691307,23.992146,0.009635,0.919369,0.133079,0.370079,-3.395238,105.528793,28.278419,0.015567,0.952472,0.008169,0.304118,-4.606615,119.990448,32.054733,0.049267,0.960011,-0.153219,0.229078,-3.239771,133.733963,30.953827,0.064002,0.852345,0.262552,0.447748,-7.508115,114.775215,29.025379,-0.182779,0.713036,0.012261,0.676773,-17.798937,120.770439,16.316864,-0.011065,0.033071,-0.437474,-0.898555,-18.227173,114.673019,-7.90713,0.158777,0.216225,-0.462737,-0.844933,-5.920067,130.390076,-6.524199,-0.108306,0.938355,0.244392,0.219163,-2.36097,113.951157,33.832287,0.330103,0.733013,0.246825,-0.541111,12.974217,115.625549,41.917995,0.034148,-0.071572,0.507421,-0.858042,17.882469,110.208702,18.028015,0.172678,-0.264556,0.717116,-0.621238,8.220551,128.027878,19.822172,0.097578,0.898657,0.171572,0.391736,-8.309205,84.841225,16.976151,0.098206,0.92119,-0.018894,0.376043,-9.83582,50.471687,2.632479,-0.038981,0.932673,0.072196,0.351269,-19.065546,4.12032,0.785556,-0.117537,0.912405,0.006487,0.391995,4.575001,84.158043,29.137739,0.011567,0.866042,-0.159561,0.473686,12.759152,47.917248,32.131168,-0.051492,0.892306,0.082234,0.440881,4.661852,3.040823,44.684601,-0.038981,0.932673,0.072196,0.351269,-9.715807,0.590478,-9.710327,-0.051492,0.892306,0.082234,0.440881,15.959445,-0.057799,36.152084
6,0.05,-0.008304,0.926239,0.072626,0.36978,-1.857547,84.501877,23.054508,0.022113,0.917571,0.151975,0.366712,-2.359828,91.693726,23.987898,0.009553,0.919277,0.133087,0.370307,-3.389229,105.531395,28.273779,0.015493,0.952397,0.007998,0.304361,-4.603906,119.993034,32.049091,0.049312,0.959981,-0.152917,0.229392,-3.23692,133.736176,30.94368,0.063971,0.852316,0.262385,0.447905,-7.503366,114.777443,29.018398,-0.182496,0.712901,0.011995,0.676996,-17.789415,120.770538,16.305014,-0.011004,0.033217,-0.437392,-0.89859,-18.207701,114.675568,-7.919775,0.159109,0.216404,-0.462713,-0.844837,-5.89769,130.390854,-6.53259,-0.108454,0.938287,0.244399,0.219374,-2.358589,113.953995,33.82795,0.33026,0.733139,0.247091,-0.540723,12.972257,115.631119,41.92131,0.034053,-0.071394,0.507432,-0.858054,17.896288,110.208824,18.035818,0.1723,-0.264408,0.717152,-0.621364,8.233323,128.028976,19.825796,0.097606,0.898659,0.171436,0.391784,-8.297183,84.841675,16.971003,0.098278,0.92127,-0.018907,0.375827,-9.829066,50.46907,2.635248,-0.038393,0.93267,0.072572,0.351264,-19.065893,4.119089,0.789076,-0.117401,0.912363,0.006387,0.392135,4.582089,84.162071,29.13801,0.011562,0.866008,-0.15955,0.47375,12.75373,47.918793,32.135567,-0.050212,0.892385,0.082554,0.44081,4.656392,3.042033,44.68774,-0.038393,0.93267,0.072572,0.351264,-9.720352,0.593186,-9.711864,-0.050212,0.892385,0.082554,0.44081,15.944033,-0.064809,36.145054
7,0.058333,-0.008273,0.926156,0.072494,0.370015,-1.85007,84.500847,23.052771,0.02203,0.917481,0.15194,0.366957,-2.351459,91.692986,23.984432,0.009544,0.919188,0.133039,0.370544,-3.383857,105.531525,28.268396,0.015654,0.952324,0.008164,0.304576,-4.599222,119.993546,32.042019,0.049172,0.959985,-0.152749,0.229518,-3.228825,133.736847,30.942865,0.063855,0.852196,0.262456,0.448109,-7.497597,114.777969,29.01026,-0.182144,0.712795,0.011656,0.677209,-17.777815,120.770302,16.291801,-0.010985,0.033391,-0.437321,-0.898618,-18.188137,114.677498,-7.933667,0.159473,0.216715,-0.462696,-0.844699,-5.875593,130.391357,-6.540531,-0.108431,0.938249,0.244259,0.219701,-2.355305,113.95446,33.822453,0.330305,0.733217,0.247044,-0.540612,12.970717,115.628983,41.925491,0.033743,-0.071101,0.507737,-0.85791,17.899319,110.201096,18.042206,0.171884,-0.264358,0.717125,-0.621533,8.247413,128.027283,19.827461,0.097559,0.898675,0.171397,0.391776,-8.286631,84.840607,16.966009,0.098381,0.9212,-0.018951,0.375969,-9.81668,50.466301,2.634147,-0.038971,0.932686,0.072208,0.351233,-19.063686,4.118401,0.786611,-0.117413,0.912342,0.006325,0.392182,4.586491,84.161087,29.139534,0.011625,0.86602,-0.159487,0.473749,12.757027,47.917973,32.142036,-0.052165,0.892289,0.082038,0.440872,4.657417,3.039429,44.686401,-0.038971,0.932686,0.072208,0.351233,-9.714789,0.588762,-9.710088,-0.052165,0.892289,0.082038,0.440872,15.959313,-0.055583,36.158268
8,0.066667,-0.008281,0.926078,0.072427,0.370224,-1.844663,84.504387,23.048933,0.022074,0.917395,0.151917,0.367178,-2.346021,91.696671,23.979534,0.009438,0.919086,0.133062,0.370791,-3.377939,105.534073,28.262701,0.015613,0.95225,0.008031,0.304814,-4.597508,119.995972,32.035439,0.049187,0.959973,-0.152414,0.229787,-3.226456,133.738953,30.93305,0.063773,0.852059,0.26253,0.448338,-7.49343,114.779938,29.002131,-0.181919,0.712721,0.01139,0.677351,-17.766853,120.772781,16.278423,-0.011042,0.033483,-0.437271,-0.898638,-18.171633,114.679741,-7.947083,0.159522,0.216904,-0.46191,-0.845071,-5.858416,130.391006,-6.549708,-0.108441,0.938201,0.244227,0.219936,-2.353715,113.957237,33.817215,0.330252,0.733383,0.247166,-0.540363,12.968627,115.63015,41.92754,0.033462,-0.070854,0.507742,-0.857938,17.912418,110.201691,18.047522,0.171374,-0.264273,0.717246,-0.621569,8.259373,128.027344,19.830002,0.097444,0.898663,0.171266,0.391888,-8.278481,84.843842,16.959255,0.098519,0.921263,-0.018944,0.375779,-9.803147,50.464535,2.638802,-0.039039,0.932699,0.07219,0.351194,-19.062185,4.119184,0.787693,-0.117478,0.912354,0.006197,0.392137,4.589155,84.16494,29.138613,0.011713,0.866072,-0.15939,0.473684,12.760447,47.92284,32.151344,-0.051491,0.892311,0.082212,0.440876,4.658887,3.041583,44.684715,-0.039039,0.932699,0.07219,0.351194,-9.713615,0.589735,-9.709362,-0.051491,0.892311,0.082212,0.440876,15.956327,-0.057595,36.152195
9,0.075,-0.008222,0.925978,0.072334,0.370493,-1.839152,84.506149,23.044147,0.022037,0.917286,0.151963,0.367435,-2.33948,91.698631,23.973686,0.009363,0.918984,0.133049,0.37105,-3.374216,105.537628,28.257978,0.015813,0.952172,0.007888,0.305051,-4.596744,119.999672,32.02919,0.049031,0.959988,-0.1521,0.229968,-3.218634,133.741821,30.925316,0.063675,0.852033,0.262347,0.448507,-7.490643,114.783302,28.994528,-0.181761,0.712596,0.011423,0.677525,-17.759218,120.771881,16.264902,-0.010941,0.033765,-0.437139,-0.898693,-18.155094,114.686821,-7.962751,0.159799,0.217078,-0.462552,-0.844622,-5.836841,130.395844,-6.556849,-0.108394,0.938174,0.244193,0.220117,-2.353633,113.961159,33.812592,0.330171,0.73357,0.247111,-0.540184,12.966293,115.631142,41.928078,0.03302,-0.070564,0.50795,-0.857856,17.9224,110.198906,18.051481,0.170957,-0.264169,0.717173,-0.621813,8.276305,128.028442,19.832472,0.097487,0.898557,0.171019,0.39223,-8.26945,84.846329,16.950794,0.098564,0.921345,-0.018865,0.37557,-9.799056,50.461334,2.644545,-0.038871,0.932722,0.072282,0.351133,-19.059599,4.116541,0.786994,-0.117461,0.9123,0.006128,0.392269,4.591146,84.16597,29.137499,0.011712,0.865987,-0.159376,0.473845,12.758829,47.923504,32.155636,-0.050175,0.892387,0.082555,0.44081,4.655659,3.041822,44.686451,-0.038871,0.932722,0.072282,0.351133,-9.713562,0.587801,-9.712552,-0.050175,0.892387,0.082555,0.44081,15.943014,-0.065485,36.143555
