Format Version,1.23,Take Name,p14_hook_left_post_010,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-08-25 05.56.17.527 오후,Total Frames in Take,1253,Total Exported Frames,1253,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.012453,0.931303,0.008670,0.363929,-4.687619,84.640450,23.169609,-0.067993,0.917652,0.130777,0.369039,-4.913095,92.278732,23.223745,0.021593,0.927420,0.047304,0.370390,-9.025977,110.055351,26.751604,0.087409,0.947720,-0.077893,0.296848,-8.924774,130.149841,28.847460,0.052199,0.965554,-0.150122,0.206018,-4.840220,143.826797,25.951639,0.115501,0.934399,0.007465,0.336902,-12.399405,124.148895,26.296789,0.382069,-0.483427,0.405623,-0.675124,-26.858177,128.428085,14.132553,0.473987,-0.475682,0.324469,-0.666170,-21.462473,104.116127,5.045166,0.562234,-0.461045,0.251810,-0.638688,-13.847780,84.152534,-2.327446,-0.003059,0.892876,-0.055289,0.446885,-7.001804,123.589584,31.398560,0.596634,0.800037,0.062913,-0.003208,4.633362,124.652794,46.852646,0.593115,0.781610,0.165360,0.099784,12.269075,99.355736,44.726452,0.564761,0.752989,0.302945,0.149259,17.998478,79.461014,43.894108,0.075419,0.905220,0.183309,0.375882,-11.535440,84.483093,16.850475,0.099596,0.938050,0.027628,0.330725,-11.490396,51.639187,3.000028,-0.048297,0.932771,0.009821,0.357084,-19.070362,7.635677,-2.292785,-0.086311,0.910762,-0.046701,0.401102,2.160202,84.797806,29.488743,0.021314,0.902443,-0.123475,0.412186,6.428828,49.839478,34.989002,-0.041112,0.857594,0.018332,0.512354,0.122199,6.287184,44.219566,-0.048297,0.932771,0.009821,0.357084,-9.183232,2.345852,-12.606174,-0.041112,0.857594,0.018332,0.512354,12.926495,1.282650,37.653881
1,0.008333,-0.012702,0.931543,0.008299,0.363314,-4.644593,84.638222,23.217375,-0.068258,0.917856,0.130566,0.368555,-4.871521,92.276505,23.264999,0.021386,0.927593,0.047157,0.369987,-8.988693,110.053825,26.784241,0.087104,0.947864,-0.078063,0.296433,-8.892124,130.149231,28.871468,0.052260,0.965709,-0.149433,0.205780,-4.816339,143.826797,25.966204,0.115510,0.934608,0.007125,0.336324,-12.367029,124.146095,26.326347,0.382854,-0.483343,0.405909,-0.674567,-26.840792,128.421967,14.178785,0.474559,-0.475565,0.325650,-0.665269,-21.453091,104.093338,5.131349,0.562903,-0.460472,0.253767,-0.637736,-13.871154,84.105698,-2.181701,-0.003293,0.893144,-0.055143,0.446365,-6.964853,123.590683,31.423695,0.596955,0.799840,0.062381,-0.002997,4.688266,124.658379,46.863930,0.592755,0.781923,0.165244,0.099656,12.303777,99.353172,44.762466,0.564903,0.752920,0.302908,0.149144,18.048935,79.474045,43.933029,0.075747,0.905072,0.183475,0.376090,-11.500622,84.473877,16.907326,0.099859,0.938245,0.027978,0.330065,-11.468761,51.637833,3.038218,-0.047527,0.932798,0.010074,0.357110,-19.063854,7.640773,-2.286464,-0.085875,0.911000,-0.046591,0.400667,2.211436,84.802559,29.527422,0.021693,0.902640,-0.123461,0.411737,6.457794,49.838142,35.006161,-0.041056,0.857657,0.018371,0.512251,0.125565,6.287014,44.224659,-0.047527,0.932798,0.010074,0.357110,-9.183494,2.349086,-12.605383,-0.041056,0.857657,0.018371,0.512251,12.927946,1.282478,37.655247
2,0.016667,-0.012953,0.931820,0.008040,0.362601,-4.601143,84.636162,23.261026,-0.068737,0.918032,0.130216,0.368152,-4.830177,92.274414,23.303745,0.021464,0.927721,0.047108,0.369666,-8.957252,110.052086,26.806248,0.086754,0.948024,-0.078042,0.296030,-8.856309,130.147552,28.892803,0.052231,0.965860,-0.148870,0.205483,-4.791942,143.827515,25.982845,0.115445,0.934864,0.006774,0.335643,-12.333865,124.144814,26.350292,0.383705,-0.483503,0.406129,-0.673836,-26.825937,128.414734,14.222476,0.475406,-0.475526,0.326599,-0.664227,-21.455864,104.068901,5.210867,0.562888,-0.461084,0.254041,-0.637198,-13.901375,84.053894,-2.044651,-0.003457,0.893188,-0.055458,0.446237,-6.928204,123.588791,31.443876,0.596725,0.800048,0.061908,-0.003112,4.729285,124.667343,46.880066,0.592710,0.782014,0.165187,0.099308,12.359302,99.365601,44.789391,0.565044,0.752854,0.302783,0.149196,18.110544,79.484810,43.950588,0.076153,0.905068,0.183616,0.375948,-11.466699,84.465530,16.961510,0.099974,0.938437,0.028322,0.329454,-11.459126,51.637604,3.073187,-0.047263,0.932872,0.010158,0.356950,-19.057009,7.644346,-2.278892,-0.085544,0.911384,-0.046650,0.399857,2.264412,84.806793,29.560543,0.022223,0.902976,-0.123427,0.410983,6.492610,49.838722,35.030029,-0.040974,0.857707,0.018548,0.512168,0.126316,6.288913,44.231323,-0.047263,0.932872,0.010158,0.356950,-9.182704,2.351736,-12.603134,-0.040974,0.857707,0.018548,0.512168,12.927517,1.287367,37.657330
3,0.025000,-0.012942,0.932036,0.007724,0.362052,-4.569506,84.635796,23.295763,-0.068760,0.918273,0.129870,0.367669,-4.796610,92.274124,23.334175,0.021269,0.927907,0.047080,0.369216,-8.916414,110.048058,26.825544,0.086999,0.948093,-0.077935,0.295766,-8.821321,130.143967,28.908083,0.051798,0.966001,-0.148368,0.205295,-4.752460,143.823349,26.001682,0.115507,0.935138,0.006364,0.334866,-12.298964,124.139381,26.370070,0.384440,-0.483760,0.406156,-0.673215,-26.810688,128.407211,14.265042,0.476232,-0.475735,0.327569,-0.663007,-21.455025,104.049667,5.276544,0.563673,-0.461128,0.255024,-0.636079,-13.939497,84.005013,-1.924651,-0.003399,0.893153,-0.056108,0.446226,-6.888217,123.586464,31.458591,0.596637,0.800132,0.061674,-0.003128,4.769675,124.674202,46.893837,0.592531,0.782107,0.165608,0.098944,12.405241,99.373558,44.810181,0.564736,0.752902,0.303130,0.149412,18.168552,79.496109,43.950848,0.076091,0.905284,0.183985,0.375261,-11.442486,84.463081,17.004404,0.100224,0.938529,0.028419,0.329105,-11.431151,51.644135,3.094871,-0.046942,0.932957,0.009971,0.356775,-19.049015,7.655886,-2.269898,-0.085298,0.911698,-0.046676,0.399189,2.303474,84.808502,29.587120,0.022608,0.903206,-0.123376,0.410472,6.519110,49.837612,35.048241,-0.041083,0.857731,0.018520,0.512119,0.128642,6.288230,44.234745,-0.046942,0.932957,0.009971,0.356775,-9.182508,2.354558,-12.597120,-0.041083,0.857731,0.018520,0.512119,12.929961,1.287638,37.660259
4,0.033333,-0.012990,0.932263,0.007428,0.361472,-4.539559,84.633080,23.324066,-0.069013,0.918476,0.129556,0.367225,-4.765675,92.271461,23.358143,0.021226,0.928073,0.046962,0.368815,-8.888210,110.047127,26.837482,0.086804,0.948210,-0.077993,0.295432,-8.792077,130.143555,28.914955,0.051691,0.966131,-0.147738,0.205165,-4.729541,143.823730,26.003504,0.115590,0.935368,0.006036,0.334199,-12.271692,124.138214,26.381451,0.385109,-0.483809,0.406515,-0.672581,-26.799961,128.405685,14.296158,0.476671,-0.475934,0.328578,-0.662049,-21.462246,104.030846,5.343925,0.564115,-0.461044,0.256286,-0.635240,-13.983354,83.951500,-1.816202,-0.003433,0.893200,-0.056314,0.446107,-6.856509,123.586746,31.465412,0.596518,0.800206,0.061864,-0.003019,4.805513,124.678970,46.897213,0.592361,0.782191,0.165958,0.098707,12.448654,99.380699,44.812557,0.564562,0.752986,0.303353,0.149197,18.222342,79.506493,43.938438,0.076250,0.905234,0.184204,0.375241,-11.420343,84.457413,17.041328,0.100361,0.938680,0.028598,0.328618,-11.413435,51.645958,3.114128,-0.046535,0.933009,0.009932,0.356693,-19.040184,7.661101,-2.265789,-0.084958,0.912005,-0.046741,0.398552,2.341225,84.808739,29.606804,0.022873,0.903387,-0.123365,0.410061,6.536911,49.834148,35.059635,-0.041066,0.857796,0.018551,0.512012,0.129477,6.285614,44.238354,-0.046535,0.933009,0.009932,0.356693,-9.179880,2.354138,-12.596040,-0.041066,0.857796,0.018551,0.512012,12.929135,1.285429,37.660328
5,0.041667,-0.012935,0.932482,0.007130,0.360914,-4.512520,84.626961,23.343119,-0.068886,0.918740,0.129491,0.366611,-4.736197,92.265427,23.373383,0.020941,0.928321,0.046845,0.368221,-8.849742,110.035835,26.853806,0.086421,0.948373,-0.078175,0.294974,-8.761206,130.133194,28.922590,0.051645,0.966269,-0.147029,0.205038,-4.709604,143.814346,26.000467,0.115598,0.935600,0.005660,0.333554,-12.240961,124.125000,26.396042,0.385941,-0.484355,0.406347,-0.671812,-26.785845,128.388809,14.329454,0.477386,-0.476333,0.329636,-0.660719,-21.468945,104.004013,5.391987,0.564489,-0.461430,0.257651,-0.634074,-14.041829,83.897324,-1.715023,-0.003403,0.893239,-0.056671,0.445982,-6.819086,123.578476,31.473394,0.596553,0.800206,0.061501,-0.003602,4.847239,124.675545,46.901600,0.592209,0.782401,0.165897,0.098054,12.487941,99.377640,44.803574,0.564490,0.753117,0.303420,0.148669,18.272760,79.513641,43.911953,0.076340,0.905237,0.184351,0.375145,-11.400843,84.450111,17.068678,0.100411,0.938813,0.028779,0.328208,-11.397098,51.643467,3.130127,-0.046270,0.933102,0.009969,0.356484,-19.024939,7.660442,-2.263231,-0.084674,0.912277,-0.046884,0.397974,2.375803,84.803810,29.617559,0.023129,0.903604,-0.123329,0.409579,6.552479,49.826748,35.069050,-0.040990,0.857806,0.018656,0.511997,0.130454,6.278488,44.238846,-0.046270,0.933102,0.009969,0.356484,-9.171947,2.351265,-12.599322,-0.040990,0.857806,0.018656,0.511997,12.929675,1.279692,37.658916
