Format Version,1.23,Take Name,p14_uppercut_right_main_009,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-08-25 06.36.36.833 오후,Total Frames in Take,1196,Total Exported Frames,1196,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Hip,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Ab,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Chest,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Neck,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:Head,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LShoulder,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LUArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LFArm,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:LHand,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RShoulder,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RUArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RFArm,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:RHand,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LThigh,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LShin,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:LFoot,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RThigh,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RShin,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:RFoot,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:LToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe,asdf:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.039030,0.912821,0.017208,0.406127,-3.499146,83.254257,24.495375,-0.072517,0.926411,0.100711,0.355474,-4.150473,90.868248,24.493179,-0.013490,0.939068,0.012050,0.343256,-7.828142,108.174370,26.904560,0.041508,0.944006,-0.158570,0.286332,-8.507173,128.364899,27.174696,0.075062,0.937149,-0.257336,0.223372,-5.080395,141.431259,21.729015,0.038695,0.919837,0.117285,0.372353,-11.846275,122.021957,25.383589,0.231124,-0.426353,0.218318,-0.846843,-25.789679,125.093224,12.288356,0.151641,0.010722,-0.506484,-0.848743,-11.444698,110.066391,-4.179257,0.294287,0.182880,-0.552225,-0.758286,-0.794338,128.950531,-7.142228,-0.128973,0.948008,0.102918,0.272129,-6.155983,122.149063,30.187691,0.308766,0.872112,0.029967,-0.378400,9.703696,125.801399,40.698032,0.003421,0.470366,0.490064,-0.733881,23.567057,112.125610,22.710638,0.131806,0.236140,0.590576,-0.760319,21.754395,128.942291,6.418604,0.082727,0.879911,0.203459,0.421329,-9.715801,82.720467,17.573154,0.104589,0.943710,0.013448,0.313514,-8.793972,50.514519,2.325644,-0.046155,0.943316,0.043913,0.325725,-17.290922,6.550300,-1.764392,-0.100661,0.906752,-0.023123,0.408821,2.717510,83.788040,31.417597,0.025310,0.909204,-0.118049,0.398461,8.550531,48.903610,35.846031,-0.041489,0.879422,0.057549,0.470727,2.251054,5.250221,44.591167,-0.046155,0.943316,0.043913,0.325725,-8.056452,2.120378,-13.042861,-0.041489,0.879422,0.057549,0.470727,14.528158,1.214628,36.523315
1,0.008333,-0.039729,0.912997,0.017401,0.405654,-3.440003,83.246811,24.553492,-0.073137,0.926535,0.101010,0.354938,-4.102262,90.859863,24.549982,-0.013597,0.939249,0.011977,0.342757,-7.802653,108.160690,26.965240,0.040831,0.944162,-0.158534,0.285932,-8.484563,128.351166,27.231493,0.074471,0.937290,-0.257117,0.223233,-5.079037,141.420288,21.779108,0.038609,0.920256,0.116749,0.371494,-11.824563,122.007309,25.445362,0.231156,-0.425800,0.219197,-0.846885,-25.793003,125.064514,12.373546,0.151935,0.009544,-0.506822,-0.848503,-11.443439,110.003746,-4.059036,0.294849,0.182190,-0.552739,-0.757859,-0.804572,128.891785,-7.075314,-0.128466,0.948173,0.102625,0.271907,-6.129215,122.136391,30.243418,0.308419,0.871995,0.029608,-0.378979,9.740211,125.774872,40.743847,0.004774,0.468754,0.489947,-0.734982,23.591698,112.110725,22.738457,0.133201,0.235179,0.592921,-0.758547,21.702463,128.919830,6.446016,0.083130,0.879676,0.204433,0.421267,-9.662791,82.702301,17.637617,0.104660,0.944255,0.013313,0.311852,-8.736506,50.529461,2.320662,-0.045417,0.943620,0.043778,0.324964,-17.250412,6.566262,-1.744963,-0.100122,0.906992,-0.022647,0.408445,2.782785,83.791313,31.469362,0.025685,0.909028,-0.118254,0.398779,8.597197,48.897629,35.849049,-0.040982,0.879436,0.057730,0.470723,2.256715,5.250320,44.594883,-0.045417,0.943620,0.043778,0.324964,-8.041377,2.124496,-13.039565,-0.040982,0.879436,0.057730,0.470723,14.530152,1.212272,36.522675
2,0.016667,-0.039846,0.913133,0.017396,0.405336,-3.403646,83.227417,24.599161,-0.073228,0.926655,0.101201,0.354552,-4.067503,90.840332,24.595093,-0.013799,0.939381,0.011875,0.342390,-7.772960,108.142647,27.017408,0.040225,0.944325,-0.158170,0.285682,-8.461038,128.333008,27.277231,0.073900,0.937356,-0.257167,0.223086,-5.076293,141.408752,21.827770,0.038474,0.920643,0.116263,0.370700,-11.800410,121.987473,25.495863,0.233584,-0.426258,0.218220,-0.846241,-25.792074,125.029900,12.445453,0.153394,0.009671,-0.506896,-0.848194,-11.440514,109.960007,-3.977010,0.295445,0.181652,-0.553004,-0.757563,-0.809055,128.838348,-7.020468,-0.129133,0.948200,0.102587,0.271509,-6.101407,122.120010,30.289476,0.308653,0.871742,0.028957,-0.379422,9.769728,125.785149,40.778042,0.005204,0.468244,0.489795,-0.735406,23.595766,112.101952,22.767574,0.134151,0.235021,0.592436,-0.758807,21.677109,128.906219,6.473531,0.083031,0.879649,0.205582,0.420785,-9.631065,82.680687,17.687637,0.105016,0.944501,0.013017,0.311000,-8.670997,50.540264,2.304852,-0.044614,0.943756,0.043529,0.324714,-17.226707,6.583065,-1.737845,-0.100276,0.907317,-0.022447,0.407697,2.823772,83.774147,31.510687,0.026145,0.909589,-0.117926,0.397564,8.657474,48.882015,35.877132,-0.041071,0.879522,0.058122,0.470506,2.302716,5.229897,44.588516,-0.044614,0.943756,0.043529,0.324714,-8.031956,2.126161,-13.038113,-0.041071,0.879522,0.058122,0.470506,14.574432,1.203174,36.508049
3,0.025000,-0.040376,0.913172,0.017591,0.405187,-3.368164,83.218117,24.636061,-0.073168,0.926734,0.101392,0.354303,-4.040618,90.830269,24.631535,-0.014096,0.939461,0.011754,0.342165,-7.744586,108.125854,27.061081,0.039730,0.944376,-0.158199,0.285568,-8.442196,128.315994,27.312405,0.073263,0.937473,-0.256904,0.223109,-5.071227,141.393036,21.857491,0.038369,0.920987,0.115914,0.369966,-11.779365,121.968094,25.535366,0.232659,-0.425597,0.219341,-0.846538,-25.792408,124.998947,12.505223,0.153236,0.008640,-0.507136,-0.848090,-11.437048,109.904312,-3.891171,0.296067,0.181208,-0.553467,-0.757088,-0.809237,128.793198,-6.972814,-0.129404,0.948256,0.102505,0.271216,-6.078190,122.105446,30.326262,0.308819,0.871562,0.028807,-0.379711,9.796400,125.782814,40.805317,0.005739,0.467577,0.489633,-0.735934,23.605339,112.092300,22.787281,0.134983,0.234567,0.591663,-0.759403,21.649834,128.891739,6.492198,0.082978,0.879512,0.206570,0.420597,-9.597042,82.663750,17.726460,0.105379,0.944881,0.012800,0.309728,-8.605905,50.551712,2.286463,-0.044027,0.943892,0.043187,0.324445,-17.203573,6.600872,-1.736307,-0.100042,0.907416,-0.022270,0.407543,2.860716,83.772484,31.545662,0.026482,0.909621,-0.117914,0.397472,8.685348,48.876427,35.892849,-0.041272,0.879536,0.058148,0.470459,2.304355,5.225637,44.591721,-0.044027,0.943892,0.043187,0.324445,-8.021689,2.128460,-13.040913,-0.041272,0.879536,0.058148,0.470459,14.577004,1.202424,36.510918
4,0.033333,-0.040759,0.913319,0.017705,0.404814,-3.326123,83.205124,24.660717,-0.073586,0.926782,0.101538,0.354048,-4.004609,90.816742,24.655685,-0.014180,0.939527,0.011818,0.341978,-7.725017,108.116165,27.086636,0.039295,0.944460,-0.158086,0.285411,-8.426639,128.306152,27.339357,0.072786,0.937567,-0.256752,0.223044,-5.069306,141.386063,21.882915,0.038329,0.921132,0.116265,0.369499,-11.763223,121.957657,25.563297,0.233170,-0.425278,0.219827,-0.846432,-25.789753,124.990257,12.548070,0.153772,0.008049,-0.507240,-0.847937,-11.431265,109.867500,-3.819655,0.296455,0.180882,-0.553557,-0.756948,-0.806893,128.754364,-6.936105,-0.129588,0.948309,0.102501,0.270945,-6.060168,122.095909,30.351931,0.308754,0.871448,0.028419,-0.380055,9.818278,125.781441,40.822281,0.006080,0.466977,0.489263,-0.736558,23.615503,112.088524,22.797096,0.135435,0.234070,0.590987,-0.760002,21.616785,128.881149,6.502289,0.083106,0.879268,0.207546,0.420602,-9.560058,82.644875,17.756149,0.105721,0.945185,0.012405,0.308699,-8.546166,50.563187,2.254652,-0.043309,0.943959,0.042974,0.324374,-17.187954,6.617942,-1.734613,-0.099505,0.907293,-0.022284,0.407948,2.907813,83.765373,31.565285,0.026510,0.909403,-0.117929,0.397966,8.695791,48.861729,35.900497,-0.041014,0.879538,0.058636,0.470418,2.307248,5.211389,44.596107,-0.043309,0.943959,0.042974,0.324374,-8.015264,2.132386,-13.041478,-0.041014,0.879538,0.058636,0.470418,14.578779,1.197169,36.509129
5,0.041667,-0.040970,0.913342,0.017798,0.404736,-3.300908,83.195297,24.675703,-0.073672,0.926831,0.101596,0.353885,-3.982911,90.806602,24.670706,-0.014355,0.939586,0.011842,0.341808,-7.707335,108.109375,27.103687,0.039068,0.944487,-0.158004,0.285400,-8.415893,128.299133,27.355007,0.072317,0.937615,-0.256629,0.223138,-5.065289,141.380829,21.898680,0.038087,0.921403,0.115711,0.369023,-11.750897,121.949341,25.580648,0.235865,-0.425773,0.218277,-0.845837,-25.791777,124.963608,12.576643,0.155323,0.008786,-0.507156,-0.847697,-11.419652,109.850334,-3.787868,0.296763,0.180586,-0.553640,-0.756838,-0.798336,128.723221,-6.909116,-0.129790,0.948358,0.102724,0.270593,-6.046192,122.089973,30.367247,0.308720,0.871354,0.028054,-0.380325,9.837602,125.782227,40.827103,0.006284,0.466124,0.488977,-0.737286,23.625036,112.085434,22.797371,0.135844,0.233710,0.590772,-0.760207,21.575899,128.879852,6.512332,0.083155,0.878970,0.208374,0.420805,-9.535696,82.632103,17.772146,0.105923,0.945485,0.012048,0.307725,-8.495267,50.575542,2.220520,-0.042560,0.944061,0.042724,0.324212,-17.168072,6.633368,-1.735062,-0.099311,0.907223,-0.022404,0.408145,2.933880,83.758492,31.579260,0.026660,0.909507,-0.117851,0.397741,8.704986,48.852478,35.917862,-0.040959,0.879571,0.059081,0.470305,2.309097,5.201202,44.603363,-0.042560,0.944061,0.042724,0.324212,-8.007121,2.133332,-13.045687,-0.040959,0.879571,0.059081,0.470305,14.579749,1.197698,36.509747
