Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.01769,0.908126,0.032137,0.417086,3.066538,91.145416,17.355989,-0.001703,0.911125,0.132121,0.390374,3.107211,98.766647,17.914803,-0.012837,0.919105,0.080738,0.385438,1.268157,115.469933,22.05875,0.088503,0.959881,0.014625,0.265673,-0.466067,135.40358,24.857321,0.078454,0.973808,-0.185372,0.105739,2.831385,149.580688,24.34222,0.004577,0.842339,0.136669,0.521311,-3.305526,129.228027,21.960678,0.196469,-0.474822,0.138107,-0.846682,-12.148183,132.138031,4.970215,0.061819,-0.10551,-0.563248,-0.817189,1.396698,120.992241,-14.906197,0.167448,0.153009,-0.640735,-0.73349,9.442208,142.264343,-20.580587,-0.101243,0.961781,0.087644,0.238843,1.927141,128.940231,27.25325,0.245947,0.81357,0.011619,-0.526763,18.693216,131.902069,36.497849,5.2e-05,0.141765,0.536936,-0.831626,27.284019,121.617676,13.624435,0.244613,-0.161945,0.61506,-0.731874,18.461056,142.179382,8.194246,0.059817,0.880371,0.149134,0.446238,-3.004518,91.694679,10.306919,0.112318,0.973244,0.009828,0.200211,-2.014426,57.890392,-0.955818,0.01798,0.965759,-0.155477,0.206916,-11.667841,14.069364,-3.838225,-0.076444,0.817631,-0.028454,0.569936,9.137593,90.596153,24.40506,0.036269,-0.612239,0.097181,-0.783839,12.437315,55.425571,29.169611,0.049808,0.781191,-0.107144,0.613009,7.583961,11.428961,37.076706,0.01798,0.965759,-0.155477,0.206916,-6.759299,4.006641,-14.170271,0.049808,0.781191,-0.107144,0.613009,19.555992,2.346857,34.568878
1,0.008333,0.0175,0.908067,0.032241,0.417215,3.067089,91.150208,17.35644,-0.001539,0.911134,0.131755,0.390479,3.104383,98.771439,17.915483,-0.013158,0.919007,0.081274,0.385548,1.273763,115.48922,22.052879,0.088778,0.959829,0.014133,0.265794,-0.481009,135.419022,24.865978,0.078462,0.973786,-0.185419,0.105854,2.827885,149.593063,24.339821,0.00416,0.842143,0.136678,0.521628,-3.313458,129.242874,21.963768,0.196294,-0.474898,0.138286,-0.84665,-12.143413,132.141098,4.964697,0.061472,-0.10554,-0.563297,-0.817178,1.395005,120.991112,-14.91376,0.167185,0.152973,-0.640467,-0.733792,9.438188,142.267776,-20.580616,-0.101069,0.961851,0.087701,0.238614,1.917816,128.956223,27.257776,0.245937,0.813612,0.011494,-0.526706,18.68947,131.912125,36.494148,0.000119,0.141822,0.536809,-0.831698,27.283684,121.624054,13.623659,0.244627,-0.161807,0.615207,-0.731776,18.45516,142.182343,8.189173,0.059945,0.880019,0.149419,0.446819,-3.002091,91.697105,10.305573,0.11249,0.97314,0.009534,0.200632,-2.003289,57.900002,-0.977908,0.02023,0.965412,-0.154692,0.208906,-11.675618,14.081931,-3.841843,-0.076442,0.817618,-0.028521,0.56995,9.136269,90.603302,24.407307,0.036252,-0.612214,0.097095,-0.78387,12.433013,55.432964,29.175711,0.049954,0.781214,-0.107201,0.612958,7.584438,11.434737,37.07679,0.02023,0.965412,-0.154692,0.208906,-6.752704,4.025844,-14.17351,0.049954,0.781214,-0.107201,0.612958,19.55348,2.349218,34.567074
2,0.016667,0.017182,0.908061,0.032458,0.417225,3.075168,91.158157,17.355448,-0.002215,0.911124,0.131877,0.390456,3.106658,98.779343,17.915476,-0.012792,0.919054,0.081349,0.385434,1.252612,115.50071,22.048702,0.088839,0.959834,0.013887,0.265769,-0.489385,135.430389,24.870502,0.078376,0.973784,-0.185387,0.105989,2.822955,149.603394,24.337856,0.00428,0.84199,0.136547,0.521909,-3.326418,129.257126,21.966635,0.196214,-0.474835,0.138692,-0.846638,-12.144988,132.158081,4.962118,0.061519,-0.105647,-0.563248,-0.817194,1.39068,120.992661,-14.909542,0.167283,0.153082,-0.640522,-0.733699,9.435841,142.268661,-20.582039,-0.100859,0.961904,0.087731,0.238479,1.906315,128.965179,27.258911,0.245776,0.813722,0.011415,-0.526612,18.682117,131.913651,36.490135,0.000119,0.141871,0.536684,-0.831771,27.285805,121.62883,13.621741,0.244799,-0.161804,0.615002,-0.731891,18.451977,142.183609,8.185088,0.06,0.880195,0.149183,0.446544,-2.994058,91.70137,10.304336,0.112487,0.973271,0.009679,0.199992,-2.009885,57.899712,-0.966789,0.020603,0.965408,-0.154397,0.209104,-11.681212,14.081839,-3.837035,-0.076291,0.817616,-0.028634,0.569968,9.144395,90.614944,24.406561,0.03632,-0.612147,0.097043,-0.783926,12.427774,55.443428,29.175495,0.05017,0.781216,-0.107397,0.612903,7.585944,11.444741,37.078125,0.020603,0.965408,-0.154397,0.209104,-6.758395,4.030539,-14.173404,0.05017,0.781216,-0.107397,0.612903,19.549469,2.352077,34.567986
3,0.025,0.017172,0.908057,0.032406,0.417237,3.072062,91.159912,17.355871,-0.001775,0.911102,0.131784,0.390543,3.10373,98.781151,17.915123,-0.013276,0.918963,0.081344,0.385635,1.265596,115.493011,22.048697,0.088759,0.959799,0.014017,0.265916,-0.494937,135.422211,24.862347,0.07837,0.973783,-0.185375,0.10602,2.814565,149.596008,24.333364,0.004807,0.842147,0.136435,0.521681,-3.325172,129.245468,21.959251,0.196415,-0.47489,0.138532,-0.846587,-12.152778,132.160187,4.961777,0.061611,-0.105638,-0.563146,-0.817258,1.382433,120.996681,-14.911273,0.167208,0.152952,-0.640413,-0.733839,9.432533,142.268677,-20.585503,-0.101276,0.961922,0.087176,0.238433,1.90506,128.959946,27.254349,0.245765,0.813761,0.011042,-0.526564,18.678442,131.929306,36.483265,0.000102,0.14192,0.536578,-0.831831,27.285046,121.634003,13.620695,0.244876,-0.16172,0.61499,-0.731894,18.446404,142.18689,8.182046,0.059921,0.880548,0.148839,0.445972,-2.996983,91.70256,10.304559,0.112432,0.973339,0.009984,0.199678,-2.026431,57.892914,-0.94377,0.020012,0.965418,-0.154361,0.209143,-11.688434,14.07446,-3.836579,-0.076213,0.817507,-0.028781,0.570128,9.141108,90.617264,24.407185,0.03633,-0.612318,0.096902,-0.783809,12.413012,55.445503,29.182199,0.050198,0.781222,-0.107299,0.612911,7.583194,11.44442,37.078838,0.020012,0.965418,-0.154361,0.209143,-6.755017,4.027093,-14.17172,0.050198,0.781222,-0.107299,0.612911,19.547506,2.353193,34.567234
4,0.033333,0.017175,0.908026,0.032351,0.417309,3.068694,91.160721,17.356672,-0.001841,0.911106,0.131769,0.390538,3.10071,98.782013,17.915176,-0.013303,0.918981,0.081284,0.385602,1.260728,115.494011,22.047396,0.088717,0.959815,0.01426,0.26586,-0.499754,135.423584,24.858488,0.078494,0.973754,-0.185549,0.105897,2.806685,149.598328,24.335707,0.004782,0.842154,0.136422,0.521674,-3.330144,129.246429,21.956415,0.19633,-0.474824,0.138612,-0.846631,-12.158057,132.160034,4.95891,0.061575,-0.105747,-0.563102,-0.817277,1.379322,120.995453,-14.912065,0.167353,0.152662,-0.64016,-0.734086,9.430801,142.266434,-20.589563,-0.101333,0.961901,0.087154,0.2385,1.900451,128.961639,27.251196,0.245743,0.813839,0.011195,-0.526452,18.672152,131.933014,36.48251,0.000164,0.141965,0.536425,-0.831922,27.285627,121.641861,13.620658,0.244827,-0.161531,0.614959,-0.731979,18.440622,142.189194,8.178552,0.060059,0.879926,0.149329,0.447017,-2.999237,91.703018,10.304375,0.112481,0.973237,0.009571,0.200164,-2.007956,57.904964,-0.97695,0.020662,0.965372,-0.154609,0.209106,-11.680196,14.086768,-3.839303,-0.076252,0.817534,-0.028802,0.570082,9.136624,90.618423,24.40897,0.036307,-0.61237,0.096859,-0.783775,12.410152,55.447163,29.186571,0.050175,0.781228,-0.107362,0.612894,7.582592,11.445186,37.079628,0.020662,0.965372,-0.154609,0.209106,-6.759118,4.030362,-14.171535,0.050175,0.781228,-0.107362,0.612894,19.546383,2.353117,34.568596
5,0.041667,0.017491,0.907998,0.032114,0.417375,3.056549,91.155746,17.356726,-0.001895,0.911087,0.131944,0.390523,3.094422,98.777107,17.913958,-0.013142,0.919048,0.08078,0.385554,1.251303,115.479622,22.048918,0.088643,0.959786,0.014625,0.265968,-0.495237,135.412674,24.844053,0.078249,0.97374,-0.185615,0.106088,2.806692,149.588821,24.331339,0.004949,0.842171,0.136664,0.52158,-3.330257,129.235077,21.947441,0.196484,-0.474792,0.138516,-0.846629,-12.161901,132.158539,4.953566,0.061753,-0.105657,-0.563113,-0.817268,1.378512,120.994713,-14.915764,0.167525,0.15264,-0.640343,-0.733892,9.429677,142.263565,-20.594061,-0.101444,0.961771,0.08767,0.238788,1.900952,128.95105,27.241655,0.245415,0.813938,0.011329,-0.526448,18.666451,131.920303,36.484921,8.1e-05,0.141906,0.536328,-0.831995,27.288651,121.645721,13.6189,0.245554,-0.160732,0.615213,-0.731697,18.438234,142.191452,8.180673,0.059858,0.880033,0.149236,0.446865,-3.010155,91.701576,10.303643,0.112438,0.973191,0.009702,0.200409,-2.011301,57.899845,-0.965954,0.020508,0.965425,-0.154454,0.208992,-11.676732,14.081013,-3.84143,-0.076428,0.817482,-0.028761,0.570136,9.123253,90.609917,24.409807,0.036271,-0.612343,0.09682,-0.783803,12.408352,55.440407,29.192326,0.050218,0.78122,-0.107026,0.612959,7.581189,11.437517,37.080513,0.020508,0.965425,-0.154454,0.208992,-6.755297,4.028882,-14.177651,0.050218,0.78122,-0.107026,0.612959,19.548618,2.351157,34.566158
6,0.05,0.017649,0.908014,0.031975,0.417345,3.050952,91.154587,17.357788,-0.001913,0.911085,0.131902,0.39054,3.091933,98.776001,17.914101,-0.013212,0.919037,0.080749,0.385586,1.248343,115.482399,22.048357,0.088781,0.959741,0.014648,0.266084,-0.500421,135.415573,24.841196,0.078085,0.973718,-0.185731,0.106204,2.805376,149.590927,24.330679,0.004675,0.842173,0.136745,0.521559,-3.334593,129.237381,21.94503,0.196483,-0.4748,0.138422,-0.84664,-12.167199,132.153381,4.950373,0.061815,-0.105607,-0.563103,-0.817277,1.374167,120.99366,-14.920627,0.167654,0.152646,-0.640315,-0.733885,9.426517,142.262558,-20.598757,-0.101509,0.961763,0.087762,0.23876,1.89623,128.954453,27.239687,0.245313,0.814062,0.011438,-0.526301,18.661743,131.925323,36.48241,4.4e-05,0.141931,0.536122,-0.832123,27.294804,121.656502,13.617895,0.245419,-0.160647,0.615065,-0.731886,18.434874,142.19696,8.179034,0.059678,0.880389,0.148926,0.446291,-3.016117,91.702011,10.305141,0.112274,0.973317,0.010017,0.199872,-2.023412,57.892139,-0.940581,0.017195,0.965799,-0.155572,0.206723,-11.670575,14.070547,-3.835403,-0.076569,0.817499,-0.028692,0.570096,9.118021,90.607162,24.410433,0.036312,-0.611991,0.096831,-0.784074,12.414339,55.438911,29.19451,0.050127,0.781286,-0.107076,0.612874,7.585195,11.436471,37.083977,0.017195,0.965799,-0.155572,0.206723,-6.754339,4.009733,-14.165651,0.050127,0.781286,-0.107076,0.612874,19.552656,2.350517,34.568295
7,0.058333,0.01762,0.907999,0.031979,0.417378,3.049566,91.156059,17.35816,-0.00191,0.911075,0.131854,0.390581,3.090091,98.777481,17.914339,-0.013272,0.919015,0.080757,0.385635,1.246951,115.48526,22.047325,0.088729,0.959744,0.014717,0.266086,-0.504297,135.41832,24.839418,0.078093,0.973706,-0.185826,0.106141,2.799575,149.594162,24.330429,0.004939,0.84225,0.136467,0.521505,-3.337461,129.239746,21.943089,0.196517,-0.474718,0.138493,-0.846666,-12.172166,132.158493,4.949986,0.062002,-0.105712,-0.563069,-0.817272,1.372303,120.995392,-14.916994,0.167832,0.15268,-0.640355,-0.733803,9.425512,142.261978,-20.604071,-0.101676,0.961764,0.087727,0.238698,1.892773,128.95752,27.238365,0.245272,0.814165,0.011526,-0.52616,18.65811,131.935165,36.479229,0.000102,0.141885,0.535945,-0.832245,27.300131,121.669151,13.616837,0.245447,-0.160607,0.614946,-0.731985,18.432119,142.202621,8.178245,0.059768,0.879977,0.149283,0.446971,-3.017011,91.703018,10.305054,0.11246,0.973228,0.009718,0.200212,-2.009623,57.901501,-0.964425,0.020565,0.965428,-0.154425,0.208995,-11.677238,14.083138,-3.839734,-0.076508,0.817459,-0.028782,0.570157,9.116143,90.6091,24.411266,0.036289,-0.612211,0.096767,-0.783911,12.40489,55.440544,29.198376,0.050156,0.781261,-0.106918,0.612931,7.581133,11.436844,37.084126,0.020565,0.965428,-0.154425,0.208995,-6.756514,4.031354,-14.176631,0.050156,0.781261,-0.106918,0.612931,19.550375,2.353448,34.567661
8,0.066667,0.017598,0.907975,0.032001,0.417429,3.047827,91.157631,17.359394,-0.001927,0.911042,0.131805,0.390673,3.087878,98.779045,17.915743,-0.013294,0.91897,0.080758,0.385739,1.244315,115.488457,22.047081,0.088726,0.959735,0.014975,0.266106,-0.508075,135.421478,24.838686,0.078208,0.973648,-0.186172,0.10599,2.793851,149.598022,24.336956,0.004236,0.842341,0.136312,0.521404,-3.34042,129.242828,21.941734,0.196624,-0.474673,0.137956,-0.846754,-12.179414,132.134979,4.94632,0.062204,-0.10548,-0.563194,-0.817201,1.375182,120.993088,-14.925659,0.168139,0.152704,-0.640454,-0.733642,9.424088,142.262344,-20.609203,-0.101717,0.961771,0.087729,0.238652,1.888607,128.960754,27.238211,0.245045,0.814226,0.011067,-0.526181,18.65448,131.940094,36.477558,-8.1e-05,0.142199,0.535788,-0.832292,27.301226,121.67028,13.618663,0.245275,-0.160491,0.614608,-0.732352,18.430672,142.197556,8.17295,0.059766,0.880008,0.149274,0.446912,-3.017958,91.704422,10.305594,0.112427,0.97323,0.009731,0.200224,-2.011496,57.902706,-0.9634,0.020533,0.965426,-0.154442,0.208997,-11.675993,14.083695,-3.839366,-0.076594,0.817378,-0.028641,0.570269,9.113611,90.610847,24.413193,0.03633,-0.611694,0.096781,-0.784311,12.41241,55.44265,29.195972,0.050236,0.781207,-0.106961,0.612985,7.584748,11.439455,37.082161,0.020533,0.965426,-0.154442,0.208997,-6.754796,4.031695,-14.175829,0.050236,0.781207,-0.106961,0.612985,19.552847,2.354048,34.567532
9,0.075,0.017561,0.907964,0.031975,0.417458,3.046755,91.158134,17.361378,-0.00195,0.911048,0.131651,0.390711,3.086444,98.779594,17.917137,-0.013362,0.918951,0.080802,0.385775,1.243932,115.491531,22.043592,0.088714,0.959732,0.014943,0.26612,-0.511784,135.424194,24.835684,0.078207,0.973646,-0.186186,0.105983,2.790065,149.600739,24.333038,0.004097,0.842297,0.136471,0.521434,-3.342913,129.245193,21.938274,0.196584,-0.474641,0.138018,-0.846771,-12.180734,132.136185,4.942052,0.062253,-0.105522,-0.563204,-0.817184,1.374558,120.992729,-14.928576,0.16828,0.152689,-0.640503,-0.733569,9.422688,142.262024,-20.615091,-0.101753,0.961761,0.087703,0.238685,1.885677,128.963776,27.235216,0.245133,0.814259,0.011314,-0.526083,18.650663,131.944519,36.475712,-1.7e-05,0.142048,0.53573,-0.832356,27.300558,121.67733,13.616837,0.245201,-0.160595,0.614481,-0.732461,18.42576,142.202011,8.175346,0.059826,0.879817,0.14946,0.447219,-3.018611,91.704117,10.307156,0.11251,0.97319,0.009588,0.200378,-2.005924,57.906872,-0.974672,0.020117,0.965373,-0.154753,0.209049,-11.679736,14.089295,-3.841161,-0.076507,0.817343,-0.028678,0.570328,9.112122,90.612152,24.415598,0.036341,-0.611978,0.096741,-0.784094,12.404068,55.443161,29.197268,0.050186,0.781251,-0.106879,0.612949,7.582669,11.43935,37.083847,0.020117,0.965373,-0.154753,0.209049,-6.751813,4.03249,-14.169741,0.050186,0.781251,-0.106879,0.612949,19.55209,2.35626,34.567142
