Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.006819,0.936186,-0.013077,0.351195,2.626085,86.086563,15.364681,-0.032286,0.934034,0.093075,0.34333,2.795462,93.798882,15.212722,0.005651,0.938893,0.049559,0.340576,0.63645,110.841476,17.849281,0.105829,0.97116,-0.005045,0.213596,0.161902,131.241852,19.83617,0.031252,0.99479,-0.079782,0.055237,3.969967,145.395416,18.642553,0.012632,0.917789,0.03708,0.395132,-2.990808,125.839508,17.259996,0.201924,-0.429376,0.506456,-0.719976,-14.674843,126.731682,4.948142,0.46132,-0.039994,0.003342,-0.886326,-11.88793,105.462585,-4.80076,0.636503,-0.026214,-0.148015,-0.756485,10.323513,104.508331,-6.31181,0.015669,0.927586,-0.010797,0.373124,2.781527,125.50602,22.062811,0.523748,0.780629,-0.28116,-0.193018,15.037415,125.148903,33.833965,0.283282,0.601416,0.352176,-0.658803,23.917208,103.324471,33.672878,0.268961,0.469866,0.622521,-0.565114,23.258492,106.16996,10.778681,0.049063,0.924229,0.122931,0.358165,-4.461333,86.12027,9.175709,0.063125,0.962086,0.01883,0.264671,-4.554069,52.121185,-0.068798,-0.038162,0.967206,0.050947,0.245887,-9.705895,6.315765,-3.286967,-0.044355,0.918282,-0.08679,0.383742,9.713502,86.052856,21.553654,0.029263,0.897055,-0.114547,0.42581,10.236758,51.488674,28.369131,-0.031974,0.821585,0.022549,0.568742,3.303433,6.573913,36.713493,-0.038162,0.967206,0.050947,0.245887,-2.442759,1.905089,-16.109028,-0.031974,0.821585,0.022549,0.568742,16.951414,1.51284,31.740501
1,0.008333,0.006758,0.936215,-0.012989,0.351124,2.631895,86.089546,15.36772,-0.032428,0.934055,0.093019,0.343273,2.799914,93.80191,15.216679,0.005786,0.938913,0.049673,0.340501,0.636973,110.845856,17.850061,0.106057,0.971135,-0.004855,0.213602,0.166195,131.245712,19.843235,0.031398,0.994762,-0.08005,0.055264,3.979536,145.398407,18.656443,0.012665,0.917758,0.037222,0.395189,-2.98785,125.844681,17.265936,0.202012,-0.429477,0.506505,-0.719856,-14.670343,126.739845,4.952841,0.461283,-0.039986,0.003215,-0.886346,-11.889918,105.469193,-4.794488,0.636383,-0.026299,-0.14811,-0.756564,10.320197,104.520203,-6.307769,0.015506,0.927752,-0.010495,0.372727,2.785218,125.508751,22.067699,0.523809,0.780568,-0.281266,-0.192944,15.051328,125.15271,33.828228,0.283312,0.601427,0.352094,-0.658825,23.92943,103.327538,33.67384,0.269258,0.469815,0.622129,-0.565445,23.268661,106.1698,10.780316,0.049113,0.924246,0.122951,0.358106,-4.456485,86.122787,9.179847,0.063206,0.962098,0.01884,0.264609,-4.552506,52.124405,-0.067215,-0.038327,0.967172,0.050886,0.246009,-9.711509,6.319961,-3.287846,-0.044203,0.918182,-0.086817,0.383994,9.720275,86.056305,21.555592,0.029154,0.896942,-0.114543,0.426058,10.231122,51.491512,28.368912,-0.031778,0.821611,0.022728,0.568708,3.304668,6.576094,36.715427,-0.038327,0.967172,0.050886,0.246009,-2.443604,1.908926,-16.10708,-0.031778,0.821611,0.022728,0.568708,16.951519,1.515947,31.7384
2,0.016667,0.006815,0.93625,-0.012937,0.351031,2.63727,86.087715,15.36887,-0.032302,0.934078,0.09309,0.343205,2.805816,93.800087,15.218876,0.005706,0.938932,0.049643,0.340455,0.646215,110.844513,17.856318,0.106322,0.971072,-0.00494,0.213755,0.172869,131.244522,19.847277,0.031365,0.994738,-0.080175,0.055543,3.99454,145.394974,18.660463,0.012712,0.91774,0.037331,0.39522,-2.980685,125.842789,17.270866,0.202008,-0.429559,0.506559,-0.719771,-14.66229,126.740906,4.957139,0.461246,-0.040158,0.003193,-0.886357,-11.887724,105.469765,-4.790822,0.636377,-0.026291,-0.148068,-0.756577,10.324759,104.518021,-6.31157,0.015597,0.927763,-0.010439,0.372697,2.792872,125.508163,22.072134,0.523803,0.780551,-0.281239,-0.193066,15.059654,125.148537,33.831856,0.283375,0.601318,0.352156,-0.658863,23.935863,103.322639,33.672379,0.269416,0.469759,0.622159,-0.565384,23.271095,106.167046,10.779482,0.049159,0.924251,0.122963,0.358083,-4.452315,86.122337,9.182386,0.063238,0.962091,0.018855,0.264626,-4.551293,52.124466,-0.066541,-0.038266,0.967173,0.050891,0.246014,-9.71265,6.320441,-3.289416,-0.044187,0.918255,-0.086914,0.383799,9.726855,86.053101,21.555353,0.029267,0.897073,-0.114493,0.425788,10.235476,51.489388,28.374353,-0.030876,0.82155,0.023192,0.568827,3.304155,6.573504,36.714317,-0.038266,0.967173,0.050891,0.246014,-2.445235,1.909092,-16.108822,-0.030876,0.82155,0.023192,0.568827,16.94713,1.50927,31.730825
3,0.025,0.007016,0.936249,-0.013113,0.351023,2.630215,86.083992,15.372102,-0.032173,0.934097,0.093178,0.343142,2.802614,93.796249,15.220653,0.005834,0.93897,0.049493,0.340371,0.646334,110.840401,17.862638,0.106158,0.971079,-0.004832,0.213805,0.1802,131.240967,19.849672,0.031644,0.994703,-0.080349,0.055764,3.996813,145.392975,18.665113,0.012552,0.917795,0.036694,0.395157,-2.975672,125.839767,17.274952,0.20187,-0.429742,0.506502,-0.71974,-14.659121,126.724289,4.961988,0.461078,-0.039989,0.002997,-0.886453,-11.889241,105.456863,-4.795412,0.636258,-0.02635,-0.148165,-0.756656,10.325192,104.516556,-6.313815,0.015619,0.92782,-0.010507,0.372553,2.798727,125.504173,22.07514,0.523873,0.780376,-0.281458,-0.193266,15.069142,125.144623,33.831078,0.283255,0.601385,0.352115,-0.658876,23.938242,103.315826,33.672192,0.26947,0.469629,0.622025,-0.565615,23.275791,106.161713,10.778748,0.049076,0.924217,0.123026,0.358161,-4.459423,86.120987,9.185691,0.063235,0.962142,0.01891,0.264435,-4.550579,52.12365,-0.065247,-0.038372,0.967197,0.050806,0.245921,-9.711004,6.319788,-3.291868,-0.044166,0.918219,-0.086833,0.383905,9.719853,86.046997,21.558514,0.029174,0.897063,-0.114505,0.425813,10.228549,51.482159,28.37178,-0.03078,0.8216,0.023389,0.568753,3.304181,6.566027,36.716198,-0.038372,0.967197,0.050806,0.245921,-2.445077,1.906777,-16.111546,-0.03078,0.8216,0.023389,0.568753,16.946524,1.504818,31.727892
4,0.033333,0.007103,0.936263,-0.013124,0.350982,2.632768,86.083275,15.374464,-0.032135,0.934118,0.093201,0.343082,2.806467,93.795509,15.223317,0.005862,0.938996,0.049459,0.340302,0.651038,110.841835,17.866955,0.106271,0.971051,-0.004482,0.213883,0.18658,131.242508,19.853102,0.03186,0.994655,-0.08076,0.055896,4.004544,145.395081,18.679531,0.012693,0.917781,0.036683,0.395184,-2.970044,125.841415,17.27911,0.201704,-0.42927,0.506871,-0.719808,-14.652636,126.730202,4.965643,0.460761,-0.040382,0.002709,-0.886601,-11.881284,105.456474,-4.777578,0.63622,-0.026432,-0.148051,-0.756708,10.324275,104.520348,-6.317206,0.015775,0.927824,-0.010537,0.372535,2.805055,125.505653,22.078442,0.523858,0.780343,-0.281495,-0.193385,15.075755,125.141541,33.833939,0.283288,0.60135,0.352119,-0.658891,23.943413,103.31218,33.671673,0.269578,0.469501,0.622016,-0.565678,23.279165,106.15802,10.778049,0.049079,0.924205,0.12306,0.358179,-4.457392,86.121735,9.188661,0.063288,0.962095,0.018913,0.264596,-4.547716,52.125,-0.064538,-0.038295,0.967199,0.050706,0.245942,-9.712173,6.321764,-3.293576,-0.044143,0.918272,-0.086924,0.38376,9.722927,86.044815,21.560266,0.029253,0.897209,-0.114451,0.425513,10.228739,51.480953,28.378672,-0.031047,0.82167,0.023078,0.568649,3.302729,6.564119,36.717918,-0.038295,0.967199,0.050706,0.245942,-2.446614,1.905312,-16.112276,-0.031047,0.82167,0.023078,0.568649,16.944412,1.499961,31.730806
5,0.041667,0.006978,0.936293,-0.012985,0.350909,2.640161,86.083076,15.376228,-0.032125,0.934189,0.093063,0.342927,2.811292,93.795395,15.226403,0.005925,0.939065,0.049462,0.34011,0.65836,110.841873,17.865992,0.106009,0.971079,-0.004244,0.213892,0.196698,131.242508,19.853224,0.032181,0.994616,-0.080918,0.056173,4.005972,145.397842,18.684772,0.012698,0.91785,0.036808,0.395014,-2.961514,125.841835,17.2803,0.20182,-0.429488,0.50675,-0.719731,-14.648676,126.7323,4.97129,0.460866,-0.040373,0.002689,-0.886547,-11.880399,105.460106,-4.776151,0.636242,-0.026475,-0.148261,-0.756646,10.32533,104.52478,-6.315724,0.01575,0.927804,-0.010448,0.37259,2.815538,125.505295,22.07723,0.523475,0.78037,-0.281918,-0.193697,15.084871,125.140884,33.834148,0.283355,0.601197,0.351811,-0.659167,23.96578,103.316963,33.665501,0.269839,0.469345,0.621951,-0.565756,23.283173,106.157303,10.777712,0.049173,0.924226,0.123058,0.358113,-4.450995,86.120277,9.191557,0.063305,0.962103,0.018913,0.264561,-4.548114,52.124153,-0.063777,-0.038061,0.967197,0.05086,0.245957,-9.714224,6.321129,-3.293116,-0.044051,0.918268,-0.08699,0.383765,9.731318,86.045876,21.560898,0.029274,0.897194,-0.114436,0.425548,10.229326,51.482262,28.38113,-0.031085,0.82165,0.023106,0.568675,3.301818,6.56521,36.717999,-0.038061,0.967197,0.05086,0.245957,-2.450397,1.907241,-16.113684,-0.031085,0.82165,0.023106,0.568675,16.944307,1.502374,31.731743
6,0.05,0.006843,0.936334,-0.012752,0.350812,2.649811,86.089539,15.377337,-0.032135,0.934192,0.093114,0.342903,2.817715,93.801979,15.230125,0.005922,0.939058,0.049614,0.340107,0.664023,110.84726,17.871132,0.106128,0.971061,-0.004237,0.213914,0.200135,131.247284,19.864147,0.032478,0.994588,-0.081123,0.056212,4.012761,145.401794,18.696754,0.012952,0.917733,0.037165,0.395244,-2.957483,125.846992,17.289688,0.201877,-0.429496,0.506937,-0.719579,-14.638236,126.750412,4.975537,0.460907,-0.040574,0.002727,-0.886516,-11.879172,105.474281,-4.765942,0.636263,-0.026426,-0.148306,-0.756622,10.327476,104.533134,-6.312753,0.015786,0.927962,-0.010243,0.372201,2.819597,125.509727,22.086533,0.52345,0.780432,-0.281854,-0.193607,15.098751,125.141357,33.833073,0.283607,0.600891,0.351922,-0.659279,23.982512,103.318596,33.665264,0.270074,0.469212,0.622105,-0.565584,23.286497,106.161224,10.777587,0.049229,0.924275,0.123017,0.357993,-4.44267,86.125923,9.194179,0.063376,0.962041,0.018894,0.26477,-4.545666,52.12949,-0.059968,-0.038336,0.967157,0.050759,0.246092,-9.717772,6.327218,-3.290429,-0.043968,0.91822,-0.087083,0.383869,9.742292,86.053154,21.560495,0.02929,0.89711,-0.114433,0.425723,10.231595,51.490166,28.38451,-0.030959,0.821615,0.023229,0.568727,3.301223,6.57315,36.719193,-0.038336,0.967157,0.050759,0.246092,-2.447824,1.912711,-16.107313,-0.030959,0.821615,0.023229,0.568727,16.943935,1.511154,31.732687
7,0.058333,0.006674,0.936381,-0.01258,0.350695,2.660637,86.096039,15.380353,-0.032244,0.934195,0.093134,0.342879,2.825155,93.808578,15.234698,0.005996,0.939054,0.049696,0.340106,0.668161,110.850273,17.874605,0.106117,0.971046,-0.004351,0.213988,0.206004,131.249924,19.871801,0.03278,0.994558,-0.081222,0.056422,4.019206,145.404037,18.701469,0.013109,0.917722,0.037166,0.395263,-2.952086,125.850426,17.296257,0.20191,-0.429612,0.506943,-0.719496,-14.632196,126.758766,4.981857,0.460944,-0.04066,0.002719,-0.886493,-11.878118,105.482651,-4.761043,0.636305,-0.026451,-0.148293,-0.756588,10.328031,104.540001,-6.311322,0.015931,0.928012,-0.010325,0.372067,2.824998,125.511696,22.092995,0.523465,0.780512,-0.281702,-0.193467,15.107372,125.139725,33.836056,0.283717,0.600733,0.352049,-0.659307,23.99295,103.317688,33.669151,0.270479,0.469134,0.621948,-0.565628,23.292221,106.164047,10.778758,0.049322,0.924303,0.123023,0.357907,-4.433428,86.130623,9.199003,0.063454,0.962001,0.018871,0.264901,-4.543203,52.134926,-0.057766,-0.038208,0.967124,0.050742,0.246245,-9.722373,6.333494,-3.288819,-0.043839,0.918215,-0.087237,0.383861,9.754702,86.061447,21.561703,0.029319,0.89711,-0.114331,0.42575,10.231562,51.499546,28.392147,-0.031107,0.821573,0.023105,0.568786,3.302549,6.580525,36.717136,-0.038208,0.967124,0.050742,0.246245,-2.449742,1.917609,-16.103708,-0.031107,0.821573,0.023105,0.568786,16.946569,1.518095,31.734657
8,0.066667,0.006764,0.936407,-0.012553,0.350625,2.661673,86.099754,15.382128,-0.032124,0.934236,0.093027,0.342808,2.827331,93.812286,15.237327,0.006057,0.939082,0.049727,0.340023,0.676303,110.850212,17.874657,0.106057,0.971037,-0.00416,0.214059,0.216208,131.24971,19.873957,0.033107,0.994517,-0.081419,0.056668,4.026817,145.404968,18.70899,0.013097,0.917747,0.037312,0.395192,-2.942796,125.850723,17.298447,0.201861,-0.429705,0.507022,-0.719398,-14.624825,126.760567,4.985984,0.460862,-0.040694,0.002675,-0.886534,-11.87831,105.484184,-4.758485,0.636247,-0.026619,-0.148124,-0.756664,10.327026,104.542732,-6.311075,0.015906,0.928,-0.01036,0.372097,2.835123,125.51104,22.094109,0.523316,0.780536,-0.281807,-0.19362,15.11676,125.140312,33.837971,0.283745,0.600705,0.351868,-0.659417,24.006895,103.320168,33.66581,0.270791,0.46906,0.621576,-0.565949,23.298861,106.161842,10.779648,0.049364,0.924338,0.122953,0.357833,-4.433286,86.136116,9.201816,0.063424,0.962,0.018929,0.264905,-4.54832,52.139507,-0.051562,-0.038173,0.967132,0.050678,0.246232,-9.723413,6.337923,-3.286995,-0.043828,0.918229,-0.087249,0.383825,9.756632,86.0634,21.562439,0.029322,0.897071,-0.114291,0.425842,10.232682,51.501572,28.393328,-0.031966,0.821528,0.022323,0.568834,3.304163,6.581715,36.714207,-0.038173,0.967132,0.050678,0.246232,-2.451588,1.919932,-16.101612,-0.031966,0.821528,0.022323,0.568834,16.951916,1.515185,31.746138
9,0.075,0.006885,0.936393,-0.012692,0.350655,2.661213,86.09745,15.385063,-0.032071,0.934252,0.092994,0.342779,2.829374,93.809906,15.238923,0.006082,0.939101,0.049744,0.339968,0.680189,110.850998,17.876341,0.105743,0.971052,-0.003999,0.214148,0.22097,131.250412,19.876642,0.033761,0.994458,-0.081626,0.057008,4.022166,145.408447,18.714684,0.01321,0.917745,0.037345,0.395189,-2.938508,125.851654,17.301256,0.201949,-0.429815,0.506982,-0.719336,-14.620501,126.765465,4.989058,0.460929,-0.040839,0.002803,-0.886493,-11.876525,105.489113,-4.75618,0.636235,-0.026709,-0.148087,-0.756678,10.329011,104.539513,-6.311848,0.015982,0.928032,-0.010353,0.372014,2.839967,125.511551,22.096218,0.52352,0.780313,-0.282048,-0.193617,15.123621,125.138283,33.837887,0.283742,0.600685,0.352043,-0.659343,24.003759,103.313995,33.67651,0.273237,0.468435,0.619887,-0.567142,23.300508,106.159248,10.797699,0.04946,0.924288,0.122919,0.357961,-4.433323,86.135017,9.204277,0.063107,0.962079,0.019001,0.26469,-4.554202,52.138485,-0.049283,-0.038059,0.967316,0.050781,0.245506,-9.700168,6.333447,-3.282315,-0.043815,0.918236,-0.087175,0.383827,9.75575,86.059883,21.565849,0.029312,0.89706,-0.114355,0.425849,10.232982,51.497059,28.391594,-0.031251,0.821571,0.023031,0.568783,3.302696,6.578523,36.718094,-0.038059,0.967316,0.050781,0.245506,-2.448236,1.91699,-16.108727,-0.031251,0.821571,0.023031,0.568783,16.947529,1.51675,31.737194
