Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.015616,0.944893,-0.006185,0.326948,1.565634,84.571991,16.157578,-0.03299,0.945311,0.090545,0.311608,1.369487,92.269936,15.988901,-0.011982,0.949666,0.057502,0.307709,-0.762849,109.885406,18.692451,0.049759,0.972528,-0.010632,0.227159,-1.969517,130.495102,20.805948,0.043191,0.985454,-0.100322,0.130194,0.337964,144.897598,19.149708,-0.01219,0.926349,0.074428,0.369039,-5.070599,125.395706,18.47327,-0.47598,0.664865,-0.296712,0.493314,-16.475071,125.902939,7.724092,-0.56773,0.634147,-0.184322,0.491493,-17.940115,103.363541,-1.370785,-0.635875,0.611488,-0.07821,0.464359,-14.816988,81.333748,-11.49225,-0.022901,0.949174,0.023419,0.313042,1.017572,125.300812,22.874569,0.599023,0.793478,0.077463,0.074592,13.608037,125.752579,32.209457,0.536513,0.809173,0.23446,0.049209,20.21192,102.324203,32.832081,0.512392,0.776143,0.364338,0.048119,29.398188,82.803978,29.06654,0.06345,0.935517,0.125543,0.32407,-5.814688,84.256813,10.355802,0.073366,0.976182,0.024063,0.202748,-7.110594,50.931782,0.778433,-0.010522,0.971891,0.037299,0.232219,-13.134267,6.342134,-2.684168,-0.054518,0.926574,-0.107043,0.356414,8.945955,84.887177,21.959356,-0.004635,0.908002,-0.110761,0.404034,9.803935,51.190437,30.190771,-0.010194,0.854609,0.009433,0.519087,6.144752,7.171914,39.436932,-0.010522,0.971891,0.037299,0.232219,-6.554901,1.345346,-15.627748,-0.010194,0.854609,0.009433,0.519087,18.808914,1.445078,32.908947
1,0.008333,-0.015809,0.945085,-0.006658,0.326373,1.561545,84.558029,16.17581,-0.032729,0.945292,0.09053,0.311699,1.364867,92.255783,15.999392,-0.012073,0.949553,0.057509,0.308051,-0.759198,109.875999,18.70582,0.049354,0.972445,-0.010345,0.227615,-1.970305,130.485565,20.817999,0.04346,0.98526,-0.101372,0.130757,0.325491,144.890717,19.168633,-0.012576,0.926005,0.074707,0.369833,-5.068967,125.385689,18.483162,-0.475811,0.664737,-0.296655,0.493684,-16.454746,125.88694,7.7139,-0.567679,0.633794,-0.18414,0.492076,-17.909845,103.352013,-1.393631,-0.63533,0.611508,-0.077544,0.465189,-14.761821,81.334579,-11.529359,-0.022632,0.949281,0.023632,0.31272,1.016002,125.291756,22.888908,0.599314,0.793419,0.07677,0.073593,13.613166,125.733757,32.215237,0.53632,0.809289,0.234917,0.047177,20.207308,102.302124,32.818161,0.51214,0.776129,0.364952,0.046331,29.41927,82.788887,28.968739,0.063281,0.935415,0.126386,0.324068,-5.825717,84.236526,10.383216,0.073729,0.976091,0.023625,0.203109,-7.091235,50.924755,0.755797,-0.010149,0.971638,0.03809,0.233166,-13.153462,6.33803,-2.677041,-0.054666,0.926501,-0.106747,0.356669,8.948807,84.879532,21.968403,-0.004552,0.907957,-0.110926,0.40409,9.821451,51.179504,30.184818,-0.010801,0.854695,0.00924,0.518936,6.148839,7.164219,39.441032,-0.010149,0.971638,0.03809,0.233166,-6.551448,1.361106,-15.616748,-0.010801,0.854695,0.00924,0.518936,18.815638,1.441703,32.914368
2,0.016667,-0.015832,0.945149,-0.006595,0.326188,1.566664,84.556442,16.178864,-0.032746,0.945235,0.0906,0.31185,1.36929,92.254196,16.003292,-0.012164,0.949458,0.057609,0.308322,-0.75583,109.867813,18.71059,0.048717,0.972375,-0.009994,0.228065,-1.972442,130.476791,20.825188,0.043837,0.985052,-0.102302,0.131475,0.304682,144.885727,19.182941,-0.012851,0.925753,0.074856,0.370423,-5.068688,125.37664,18.487778,-0.475891,0.664781,-0.296211,0.493815,-16.440559,125.8731,7.703604,-0.56768,0.633217,-0.183738,0.492966,-17.885656,103.343353,-1.418354,-0.635628,0.61046,-0.078175,0.466052,-14.699647,81.37767,-11.563138,-0.022158,0.949347,0.023743,0.312546,1.01374,125.283287,22.897047,0.599578,0.793412,0.075776,0.072542,13.614986,125.710251,32.218563,0.536158,0.809429,0.235223,0.04505,20.20117,102.276054,32.808918,0.512734,0.775554,0.365609,0.044166,29.435184,82.774269,28.87632,0.063156,0.935473,0.126764,0.323779,-5.82285,84.234917,10.389142,0.073898,0.976086,0.023391,0.203094,-7.074541,50.928688,0.740758,-0.011232,0.9718,0.037385,0.232555,-13.155952,6.343225,-2.674452,-0.054583,0.926822,-0.106813,0.355827,8.956178,84.877968,21.968584,-0.004441,0.907997,-0.110978,0.403987,9.82932,51.178295,30.186394,-0.010834,0.854698,0.009268,0.51893,6.146805,7.163948,39.443153,-0.011232,0.9718,0.037385,0.232555,-6.559941,1.353718,-15.612374,-0.010834,0.854698,0.009268,0.51893,18.814011,1.44259,32.91626
3,0.025,-0.015812,0.945125,-0.006492,0.326261,1.577149,84.553932,16.175219,-0.032976,0.945141,0.090863,0.312032,1.379563,92.251724,16.001228,-0.012165,0.949381,0.057699,0.308541,-0.756674,109.862198,18.71423,0.04768,0.972356,-0.009342,0.228391,-1.974943,130.470749,20.832058,0.044592,0.984825,-0.103329,0.132118,0.269893,144.886169,19.202349,-0.013099,0.925523,0.074886,0.370982,-5.069941,125.370934,18.492285,-0.47596,0.664286,-0.296254,0.494388,-16.428583,125.861977,7.693942,-0.567937,0.63246,-0.182864,0.493967,-17.842916,103.332176,-1.432674,-0.636002,0.608763,-0.075469,0.468202,-14.599462,81.425285,-11.596418,-0.021703,0.949446,0.023966,0.31226,1.010454,125.27697,22.904339,0.599837,0.793385,0.074819,0.071678,13.617924,125.688507,32.218121,0.536198,0.809419,0.235556,0.042959,20.195038,102.251602,32.801968,0.512723,0.775447,0.366052,0.04246,29.443127,82.752914,28.783407,0.063269,0.935267,0.126774,0.324348,-5.811482,84.233391,10.384322,0.073981,0.976108,0.023289,0.202973,-7.064369,50.928326,0.732078,-0.009967,0.971652,0.03802,0.233126,-13.155357,6.343541,-2.674966,-0.054656,0.926798,-0.106736,0.355901,8.96578,84.874474,21.966118,-0.004285,0.90797,-0.111099,0.404016,9.844853,51.17421,30.180874,-0.010984,0.854642,0.009293,0.519019,6.14485,7.162171,39.441639,-0.009967,0.971652,0.03802,0.233126,-6.556489,1.363409,-15.61504,-0.010984,0.854642,0.009293,0.519019,18.815052,1.443671,32.918064
4,0.033333,-0.015857,0.945088,-0.006493,0.326366,1.588122,84.553574,16.17099,-0.032665,0.94503,0.091044,0.312351,1.389907,92.251343,15.996732,-0.012603,0.949219,0.057922,0.308982,-0.739981,109.871765,18.720222,0.047144,0.972247,-0.0089,0.228984,-1.979352,130.478806,20.840607,0.044922,0.984614,-0.104226,0.132868,0.249537,144.897919,19.221682,-0.013599,0.925289,0.074886,0.371548,-5.067341,125.376556,18.496859,-0.475946,0.663827,-0.296501,0.494869,-16.412397,125.854507,7.683648,-0.568359,0.632542,-0.183036,0.493313,-17.804186,103.322876,-1.441938,-0.636203,0.609658,-0.074759,0.466878,-14.560948,81.348915,-11.603716,-0.021122,0.949588,0.024259,0.311847,1.008799,125.287392,22.914875,0.599999,0.793409,0.074003,0.070894,13.625147,125.679161,32.217484,0.536477,0.80919,0.236028,0.041173,20.198223,102.240959,32.794388,0.512161,0.775441,0.367037,0.040807,29.451746,82.730133,28.692617,0.06329,0.935251,0.126844,0.324363,-5.799197,84.232231,10.378461,0.07432,0.975263,0.023932,0.206799,-7.051701,50.928574,0.721293,-0.006358,0.97115,0.039355,0.235114,-13.146901,6.351068,-2.772398,-0.054641,0.926787,-0.106687,0.355947,8.975441,84.874924,21.96352,-0.004227,0.907969,-0.111209,0.403989,9.854396,51.173828,30.174902,-0.011086,0.854678,0.009183,0.518959,6.145882,7.163957,39.442524,-0.006358,0.97115,0.039355,0.235114,-6.531409,1.384121,-15.709056,-0.011086,0.854678,0.009183,0.518959,18.815544,1.444301,32.918911
5,0.041667,-0.01581,0.945064,-0.006497,0.326437,1.596967,84.552162,16.168192,-0.032793,0.944934,0.091335,0.312542,1.399478,92.249954,15.994099,-0.012658,0.949133,0.05801,0.309226,-0.738673,109.869263,18.725664,0.046694,0.972191,-0.008239,0.22934,-1.981866,130.475815,20.848463,0.04518,0.984459,-0.104962,0.133351,0.231275,144.899231,19.246328,-0.013901,0.924985,0.075007,0.372269,-5.067964,125.373505,18.502357,-0.475996,0.663558,-0.296641,0.495099,-16.395954,125.845924,7.671028,-0.568571,0.632049,-0.182928,0.493739,-17.774364,103.312241,-1.451523,-0.636597,0.609013,-0.074708,0.467189,-14.501354,81.361404,-11.607736,-0.020681,0.949699,0.024361,0.31153,1.005895,125.284492,22.92351,0.600303,0.793321,0.073178,0.070166,13.629015,125.662422,32.217499,0.536417,0.809164,0.236565,0.039335,20.189365,102.22052,32.788994,0.512517,0.774988,0.367636,0.039541,29.457832,82.718697,28.60721,0.06329,0.935138,0.127081,0.324595,-5.789513,84.231636,10.374546,0.074311,0.976006,0.022805,0.203398,-7.034122,50.932156,0.701966,-0.008331,0.971485,0.038707,0.233773,-13.161484,6.349778,-2.671142,-0.054662,0.926739,-0.106644,0.356082,8.983445,84.872696,21.961838,-0.004163,0.907947,-0.111294,0.404014,9.863642,51.171124,30.171104,-0.011204,0.854574,0.009635,0.51912,6.146488,7.16291,39.443161,-0.008331,0.971485,0.038707,0.233773,-6.56158,1.377958,-15.613887,-0.011204,0.854574,0.009635,0.51912,18.822424,1.456008,32.920563
6,0.05,-0.015878,0.945017,-0.006416,0.326574,1.61108,84.550682,16.162725,-0.033018,0.944833,0.091681,0.312722,1.412209,92.248459,15.989445,-0.012706,0.94906,0.0581,0.309432,-0.73793,109.86496,18.729689,0.04623,0.972153,-0.007674,0.229613,-1.984646,130.471039,20.855145,0.045453,0.98434,-0.105458,0.133742,0.212682,144.898376,19.266695,-0.014121,0.924709,0.075233,0.372901,-5.069069,125.368706,18.506886,-0.476733,0.664498,-0.295615,0.493741,-16.382099,125.839005,7.659835,-0.569562,0.630838,-0.1815,0.494672,-17.791718,103.303978,-1.45461,-0.637024,0.607994,-0.075143,0.467865,-14.420893,81.397171,-11.634339,-0.02041,0.949847,0.024602,0.311079,1.002852,125.279762,22.9307,0.600426,0.793366,0.072203,0.069612,13.635135,125.647713,32.212631,0.536459,0.809115,0.236946,0.037432,20.192055,102.205017,32.790932,0.513063,0.774396,0.368327,0.037578,29.469671,82.712219,28.529787,0.063485,0.934985,0.127286,0.324917,-5.773675,84.229431,10.366922,0.074619,0.975098,0.023252,0.207546,-7.022849,50.935291,0.676587,-0.008209,0.971373,0.038232,0.23432,-13.154347,6.358907,-2.767515,-0.05464,0.926754,-0.106636,0.356048,8.995835,84.871933,21.95853,-0.004136,0.907738,-0.111366,0.404465,9.875134,51.170074,30.166725,-0.011389,0.854599,0.00961,0.519074,6.148586,7.163283,39.441757,-0.008209,0.971373,0.038232,0.23432,-6.54253,1.372799,-15.698677,-0.011389,0.854599,0.00961,0.519074,18.825521,1.458525,32.919231
7,0.058333,-0.015875,0.945007,-0.006383,0.326602,1.621817,84.548958,16.158543,-0.033187,0.944747,0.091953,0.312883,1.422834,92.246735,15.985757,-0.012835,0.948981,0.058181,0.309654,-0.7367,109.862396,18.733078,0.045805,0.972125,-0.007113,0.229834,-1.990031,130.467941,20.85976,0.045729,0.984257,-0.105776,0.134006,0.192414,144.899033,19.285007,-0.014272,0.924445,0.075347,0.373525,-5.071935,125.364983,18.509556,-0.47665,0.664055,-0.295891,0.494251,-16.370214,125.833824,7.647084,-0.569654,0.630354,-0.18174,0.495095,-17.759117,103.297783,-1.468026,-0.63729,0.607375,-0.075235,0.468291,-14.362769,81.392105,-11.641561,-0.019882,0.949985,0.024866,0.310668,0.997869,125.27729,22.936302,0.600563,0.793407,0.071149,0.069046,13.638815,125.627342,32.207127,0.536653,0.809008,0.237154,0.035609,20.191557,102.183685,32.794041,0.514102,0.773621,0.368676,0.035887,29.467178,82.702377,28.460258,0.063495,0.935036,0.127112,0.324836,-5.762603,84.227966,10.362299,0.074746,0.975136,0.023349,0.207309,-7.017262,50.930847,0.682924,-0.008114,0.971332,0.038395,0.234464,-13.158926,6.356585,-2.770593,-0.054593,0.926762,-0.10672,0.356009,9.006236,84.869942,21.954788,-0.004058,0.907686,-0.11136,0.404585,9.880747,51.16898,30.16715,-0.011423,0.854516,0.009749,0.519208,6.146747,7.161999,39.438309,-0.008114,0.971332,0.038395,0.234464,-6.543953,1.374434,-15.701667,-0.011423,0.854516,0.009749,0.519208,18.826889,1.461168,32.918575
8,0.066667,-0.015848,0.945042,-0.00617,0.326507,1.635872,84.541855,16.146078,-0.033365,0.944675,0.092362,0.312964,1.43619,92.239685,15.97654,-0.012914,0.948925,0.058261,0.309808,-0.735039,109.859344,18.736504,0.045262,0.972125,-0.006542,0.22996,-1.99286,130.464417,20.865116,0.045995,0.984199,-0.10596,0.1342,0.17099,144.899719,19.303244,-0.014548,0.924189,0.07559,0.374098,-5.073043,125.36116,18.513302,-0.476388,0.66379,-0.296147,0.494707,-16.357635,125.826309,7.636447,-0.569864,0.629633,-0.182171,0.495612,-17.736786,103.292168,-1.484821,-0.637881,0.606124,-0.075592,0.469049,-14.30344,81.382698,-11.644119,-0.019699,0.950235,0.025416,0.309871,0.9953,125.274086,22.942062,0.600944,0.793306,0.069619,0.06844,13.651993,125.614128,32.191753,0.536926,0.808976,0.236953,0.033496,20.186457,102.165878,32.798397,0.514876,0.773186,0.368723,0.033618,29.458397,82.692184,28.389894,0.06367,0.9349,0.127247,0.325139,-5.749725,84.222641,10.351233,0.074865,0.974994,0.022955,0.207981,-7.009385,50.929459,0.658987,-0.008309,0.9713,0.038473,0.234578,-13.166473,6.355155,-2.766326,-0.05455,0.926725,-0.106961,0.35604,9.021468,84.861061,21.940924,-0.004004,0.907765,-0.111478,0.404375,9.886856,51.163334,30.167532,-0.011546,0.854611,0.009813,0.519048,6.146329,7.158697,39.447128,-0.008309,0.9713,0.038473,0.234578,-6.546244,1.376544,-15.696074,-0.011546,0.854611,0.009813,0.519048,18.825623,1.461223,32.922817
9,0.075,-0.015846,0.945014,-0.006216,0.326588,1.644789,84.539131,16.141914,-0.03353,0.944678,0.092347,0.312939,1.445389,92.236961,15.971708,-0.012996,0.948932,0.058508,0.309735,-0.731498,109.858788,18.729733,0.044888,0.972172,-0.005794,0.229855,-1.995524,130.46257,20.867058,0.046197,0.984194,-0.106033,0.134111,0.152553,144.902206,19.323509,-0.014803,0.924002,0.075733,0.374522,-5.074426,125.359322,18.513561,-0.475776,0.662957,-0.29677,0.496037,-16.348843,125.819862,7.625969,-0.569649,0.629035,-0.183323,0.496193,-17.692173,103.290543,-1.512589,-0.638236,0.605149,-0.076521,0.469674,-14.243111,81.374092,-11.64381,-0.019437,0.950384,0.025743,0.309401,0.994565,125.272324,22.941437,0.601257,0.793266,0.068031,0.067748,13.660706,125.601852,32.178566,0.537302,0.808943,0.236486,0.031483,20.181435,102.150261,32.803757,0.515803,0.772817,0.368381,0.031568,29.444223,82.679482,28.32925,0.063641,0.935003,0.127049,0.324927,-5.739819,84.219688,10.345825,0.074963,0.975082,0.023128,0.207509,-7.004412,50.922741,0.667145,-0.006332,0.971025,0.039653,0.235581,-13.168435,6.350479,-2.772253,-0.054439,0.926775,-0.107033,0.355904,9.029397,84.858582,21.938005,-0.003998,0.907782,-0.111528,0.404323,9.887086,51.161087,30.166388,-0.011456,0.85463,0.009936,0.519017,6.144685,7.157457,39.450047,-0.006332,0.971025,0.039653,0.235581,-6.540257,1.391742,-15.705564,-0.011456,0.85463,0.009936,0.519017,18.82332,1.461623,32.923023
