Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.002391,0.945632,-0.003469,0.325212,3.650164,80.391098,17.884132,-0.049332,0.947262,0.117128,0.29418,3.633873,87.581085,17.825773,-0.002121,0.951144,0.133698,0.278292,1.115282,102.591087,20.81749,0.026655,0.972072,-0.095166,0.212859,-0.238152,119.226517,25.184948,0.008028,0.982434,-0.118693,0.143776,1.733648,132.207962,21.261534,0.032116,0.910386,0.207649,0.356438,-3.130728,113.709595,22.486441,0.317452,-0.5987,0.088956,-0.72998,-16.371744,117.385544,11.171268,0.324528,0.130161,-0.542505,-0.763825,-9.940856,105.115494,-8.499682,0.511074,0.555933,-0.476669,-0.450031,-3.060219,121.76123,-11.293467,-0.087308,0.957118,0.25209,0.112932,2.795808,113.216042,26.202953,0.342873,0.704945,0.205812,-0.585775,19.871227,115.177498,30.834692,0.196315,-0.149441,0.437962,-0.864475,21.762589,109.348045,7.568906,0.367712,-0.367252,0.41309,-0.747844,10.858197,124.909592,9.217191,0.061776,0.92824,0.133691,0.341587,-3.263548,80.331657,12.491055,0.090941,0.971875,-0.015287,0.216691,-4.08288,46.768593,2.302413,6.7e-05,0.961637,0.080666,0.262196,-12.010412,4.276526,1.883226,-0.04245,0.926012,-0.099492,0.361665,10.563877,80.450531,23.27721,-0.022472,0.900176,-0.148895,0.408667,10.797313,46.18655,30.819336,-0.015957,0.894196,0.03344,0.446141,7.285522,4.919606,43.200954,6.7e-05,0.961637,0.080666,0.262196,-5.137228,0.69123,-10.174501,-0.015957,0.894196,0.03344,0.446141,18.098551,0.209529,35.053722
1,0.008333,-0.002388,0.94568,-0.003369,0.325074,3.643041,80.392479,17.886492,-0.049029,0.947277,0.117377,0.294082,3.626316,87.582481,17.829508,-0.002725,0.951193,0.133176,0.278367,1.118634,102.567886,20.826786,0.027767,0.97192,-0.094804,0.213572,-0.249946,119.208023,25.171543,0.007509,0.982303,-0.118775,0.144628,1.752838,132.190094,21.265882,0.032456,0.910336,0.207622,0.356551,-3.137148,113.685074,22.479633,0.317421,-0.598637,0.088888,-0.730053,-16.374493,117.372452,11.163887,0.324544,0.130371,-0.542483,-0.763798,-9.939397,105.106331,-8.508129,0.511297,0.555887,-0.476655,-0.44985,-3.059798,121.753716,-11.296288,-0.087688,0.957079,0.251947,0.11328,2.78876,113.201462,26.198452,0.342802,0.705048,0.205987,-0.585631,19.859003,115.173233,30.844873,0.196018,-0.14922,0.438204,-0.864458,21.760786,109.348,7.578886,0.368477,-0.365577,0.41615,-0.746591,10.860452,124.916054,9.223178,0.061563,0.928245,0.133726,0.341596,-3.27224,80.333672,12.495422,0.091814,0.970656,-0.015209,0.221734,-4.076741,46.769417,2.309503,2.1e-05,0.961026,0.080247,0.264556,-12.073078,4.290929,1.825725,-0.042508,0.926035,-0.099433,0.361615,10.558324,80.451294,23.277563,-0.022451,0.900293,-0.148824,0.408436,10.79741,46.186836,30.817366,-0.016959,0.894181,0.033235,0.446148,7.289719,4.917988,43.193787,2.1e-05,0.961026,0.080247,0.264556,-5.143132,0.693298,-10.195783,-0.016959,0.894181,0.033235,0.446148,18.111134,0.215064,35.053566
2,0.016667,-0.002404,0.945635,-0.003388,0.325203,3.640605,80.392181,17.887915,-0.049457,0.947187,0.116954,0.294471,3.623753,87.582176,17.830597,-0.002144,0.951037,0.133666,0.278671,1.102653,102.58989,20.814724,0.02767,0.971706,-0.096341,0.21387,-0.252979,119.225624,25.180397,0.007367,0.982287,-0.118127,0.145275,1.757524,132.194717,21.235809,0.031933,0.910231,0.207693,0.356825,-3.143841,113.708794,22.479853,0.317425,-0.598722,0.089194,-0.729944,-16.375433,117.38205,11.15279,0.324666,0.13042,-0.54224,-0.76391,-9.947863,105.104256,-8.514403,0.511323,0.555938,-0.476626,-0.449788,-3.059961,121.746315,-11.299868,-0.087533,0.957086,0.251855,0.113551,2.779732,113.214958,26.201046,0.342956,0.705275,0.205965,-0.585275,19.848757,115.179398,30.855026,0.196373,-0.148803,0.438126,-0.864489,21.765545,109.341034,7.593556,0.367719,-0.366662,0.413156,-0.748094,10.859574,124.903534,9.218654,0.061691,0.928166,0.13376,0.341775,-3.273208,80.332985,12.494967,0.090877,0.971849,-0.015276,0.216837,-4.083211,46.77047,2.303749,-1e-06,0.961656,0.08059,0.262149,-12.005103,4.277358,1.88365,-0.042574,0.925862,-0.099353,0.362071,10.554419,80.451378,23.280863,-0.022522,0.900151,-0.148802,0.408753,10.796185,46.186188,30.817253,-0.016876,0.894187,0.033278,0.446137,7.290459,4.917031,43.193211,-1e-06,0.961656,0.08059,0.262149,-5.132653,0.690523,-10.174034,-0.016876,0.894187,0.033278,0.446137,18.111086,0.214133,35.051929
3,0.025,-0.002487,0.945582,-0.003356,0.325358,3.639129,80.391373,17.888697,-0.049521,0.947132,0.116979,0.294626,3.621015,87.581367,17.831423,-0.002172,0.951001,0.133584,0.278833,1.097343,102.588676,20.815281,0.028149,0.97168,-0.095913,0.214119,-0.25916,119.225143,25.177824,0.007169,0.982236,-0.11841,0.145395,1.762854,132.196838,21.247677,0.031905,0.910215,0.207609,0.356917,-3.14931,113.707993,22.477194,0.31749,-0.598648,0.08919,-0.729976,-16.378626,117.379929,11.147051,0.324671,0.130577,-0.542256,-0.763869,-9.946811,105.101372,-8.518273,0.511612,0.555763,-0.47641,-0.449904,-3.06007,121.747353,-11.30026,-0.087645,0.957066,0.251776,0.113811,2.77299,113.214539,26.200462,0.342905,0.705404,0.205891,-0.585175,19.839211,115.18071,30.863964,0.196106,-0.148544,0.438391,-0.86446,21.763308,109.338867,7.603982,0.368446,-0.365065,0.416208,-0.746824,10.861767,124.908279,9.223071,0.061741,0.928045,0.133686,0.342123,-3.272899,80.330978,12.493479,0.090874,0.971849,-0.015253,0.216839,-4.084152,46.767506,2.305541,-5.3e-05,0.961666,0.080746,0.262065,-12.005413,4.274297,1.883481,-0.042593,0.925809,-0.09933,0.36221,10.551157,80.451759,23.283915,-0.022525,0.90008,-0.148876,0.408883,10.7936,46.186371,30.819363,-0.015943,0.894197,0.033493,0.446135,7.283648,4.919138,43.200523,-5.3e-05,0.961666,0.080746,0.262065,-5.134165,0.692071,-10.176255,-0.015943,0.894197,0.033493,0.446135,18.096661,0.210188,35.052635
4,0.033333,-0.002514,0.945544,-0.003283,0.325469,3.637451,80.392326,17.887779,-0.049589,0.947071,0.117286,0.294689,3.618638,87.582329,17.831369,-0.002486,0.951033,0.133069,0.278969,1.093692,102.565445,20.818945,0.027911,0.971866,-0.094188,0.214073,-0.268761,119.206604,25.161699,0.007535,0.982221,-0.119029,0.144971,1.737161,132.193588,21.274006,0.032278,0.910148,0.207686,0.357009,-3.15653,113.685524,22.466543,0.317579,-0.598527,0.089139,-0.730044,-16.382668,117.371117,11.137115,0.324764,0.130773,-0.542283,-0.763778,-9.943396,105.093369,-8.526286,0.51174,0.555841,-0.476302,-0.449777,-3.059713,121.740578,-11.305301,-0.08794,0.957038,0.251641,0.114115,2.764692,113.198021,26.192314,0.342561,0.705595,0.20575,-0.585196,19.826605,115.172005,30.868298,0.195758,-0.14826,0.438545,-0.864509,21.760828,109.334923,7.607949,0.368499,-0.364715,0.416274,-0.746932,10.859355,124.908806,9.2229,0.061524,0.928013,0.133765,0.34222,-3.273315,80.331894,12.490942,0.091079,0.971821,-0.015333,0.216873,-4.067526,46.768036,2.302937,7.8e-05,0.961637,0.080743,0.262172,-12.007337,4.27826,1.88346,-0.042599,0.925809,-0.099352,0.362204,10.548218,80.452751,23.284616,-0.022565,0.900099,-0.148763,0.408878,10.790484,46.187706,30.821646,-0.016935,0.894203,0.033282,0.446102,7.287772,4.917726,43.195694,7.8e-05,0.961637,0.080743,0.262172,-5.134662,0.694992,-10.175155,-0.016935,0.894203,0.033282,0.446102,18.108334,0.215654,35.053844
5,0.041667,-0.002553,0.945491,-0.003231,0.325621,3.635969,80.393776,17.88722,-0.04977,0.947008,0.117128,0.294922,3.616391,87.583778,17.831339,-0.002259,0.950951,0.133251,0.279162,1.084918,102.578751,20.814295,0.028118,0.971773,-0.094502,0.214327,-0.272728,119.218277,25.164812,0.007374,0.982168,-0.119084,0.145297,1.741781,132.202103,21.271044,0.032016,0.910099,0.207622,0.357195,-3.161649,113.699631,22.465908,0.317667,-0.598437,0.089382,-0.730049,-16.383648,117.377258,11.129075,0.324937,0.130823,-0.542237,-0.763728,-9.941297,105.089775,-8.527224,0.511814,0.55592,-0.476312,-0.449585,-3.056777,121.735001,-11.307791,-0.088105,0.956985,0.251719,0.114255,2.758075,113.208023,26.193514,0.342017,0.706185,0.204329,-0.585301,19.81781,115.185867,30.875778,0.194667,-0.146769,0.43944,-0.864556,21.764099,109.318565,7.624048,0.366629,-0.365074,0.414423,-0.748704,10.877647,124.902939,9.20146,0.061556,0.92827,0.133654,0.34156,-3.273053,80.333008,12.488156,0.09097,0.971783,-0.015281,0.217093,-4.079305,46.767342,2.307041,1.9e-05,0.961642,0.080823,0.262129,-12.008939,4.275706,1.883468,-0.042612,0.925777,-0.099387,0.362275,10.544991,80.454552,23.286283,-0.022478,0.899936,-0.148566,0.409313,10.786634,46.190063,30.825871,-0.017314,0.894045,0.033232,0.446407,7.278217,4.914695,43.180313,1.9e-05,0.961642,0.080823,0.262129,-5.136594,0.695008,-10.176098,-0.017314,0.894045,0.033232,0.446407,18.107483,0.216001,35.048103
6,0.05,-0.002649,0.945436,-0.003286,0.325781,3.634425,80.394165,17.888662,-0.049764,0.946936,0.117145,0.295149,3.613804,87.584152,17.831573,-0.002328,0.950888,0.133124,0.279438,1.082038,102.576591,20.813982,0.027982,0.971731,-0.094352,0.214601,-0.277903,119.217278,25.159342,0.007454,0.982122,-0.119105,0.145585,1.733781,132.202667,21.269369,0.031974,0.909775,0.209062,0.357184,-3.165336,113.697968,22.460213,0.317873,-0.598371,0.089657,-0.72998,-16.387701,117.392113,11.129168,0.325378,0.130621,-0.54221,-0.763594,-9.943911,105.090355,-8.517739,0.512014,0.555984,-0.476253,-0.449341,-3.056925,121.730659,-11.31276,-0.088141,0.956963,0.251704,0.114444,2.752222,113.20726,26.191378,0.341795,0.7062,0.204251,-0.58544,19.810196,115.184631,30.88027,0.194978,-0.147436,0.439092,-0.864549,21.75596,109.323799,7.626858,0.368535,-0.36424,0.41651,-0.747014,10.86177,124.908401,9.224113,0.061589,0.928269,0.133576,0.341585,-3.27277,80.331467,12.487281,0.090916,0.971745,-0.015271,0.217285,-4.082763,46.764629,2.310324,-5e-06,0.961674,0.08101,0.261957,-12.007674,4.272124,1.88535,-0.042675,0.925644,-0.099311,0.362629,10.541619,80.456863,23.290045,-0.022601,0.900063,-0.148713,0.408974,10.786409,46.191685,30.826395,-0.017054,0.894247,0.033231,0.446012,7.286964,4.920557,43.197567,-5e-06,0.961674,0.08101,0.261957,-5.13886,0.696724,-10.177801,-0.017054,0.894247,0.033231,0.446012,18.10677,0.218682,35.0546
7,0.058333,-0.002633,0.945399,-0.003328,0.325887,3.632199,80.394348,17.887857,-0.049834,0.946893,0.11716,0.295269,3.611995,87.584335,17.830273,-0.002323,0.950855,0.133106,0.279558,1.077606,102.576912,20.812208,0.028468,0.971626,-0.094933,0.214757,-0.282548,119.217766,25.156862,0.007121,0.982167,-0.118601,0.145709,1.745911,132.197113,21.255386,0.031891,0.909774,0.208912,0.357281,-3.169602,113.69854,22.457151,0.317982,-0.598278,0.089712,-0.730002,-16.389692,117.388794,11.122194,0.325451,0.130691,-0.542317,-0.763475,-9.941031,105.08329,-8.520751,0.512034,0.556111,-0.476242,-0.449171,-3.059223,121.724739,-11.316999,-0.088165,0.957,0.251282,0.115048,2.747016,113.207611,26.189774,0.341681,0.706266,0.204323,-0.585401,19.799894,115.182243,30.898302,0.194862,-0.146694,0.439424,-0.864533,21.751564,109.325859,7.644275,0.367929,-0.364331,0.416054,-0.747523,10.858382,124.917511,9.216675,0.061577,0.928253,0.133474,0.341672,-3.273781,80.331673,12.484927,0.090918,0.971819,-0.015186,0.216961,-4.084591,46.762814,2.314712,9.8e-05,0.961653,0.081058,0.262016,-12.008184,4.270106,1.88526,-0.04258,0.925719,-0.099542,0.362386,10.538179,80.457031,23.290789,-0.02256,0.899977,-0.14832,0.409308,10.772843,46.194515,30.839544,-0.016983,0.894038,0.033493,0.446415,7.279678,4.913139,43.178223,9.8e-05,0.961653,0.081058,0.262016,-5.138726,0.69527,-10.177688,-0.016983,0.894038,0.033493,0.446415,18.10717,0.216768,35.042309
8,0.066667,-0.002806,0.945387,-0.003071,0.325923,3.631928,80.402634,17.884302,-0.049829,0.946867,0.11714,0.295361,3.608166,87.592628,17.829403,-0.002373,0.950825,0.133058,0.279682,1.075193,102.577164,20.808954,0.028506,0.971626,-0.09441,0.214982,-0.28671,119.218445,25.151428,0.007167,0.982074,-0.119083,0.145937,1.741076,132.202148,21.264174,0.031869,0.909779,0.208827,0.35732,-3.172849,113.698814,22.451553,0.318035,-0.598141,0.089722,-0.73009,-16.391991,117.387566,11.114996,0.325331,0.130665,-0.542819,-0.763174,-9.935503,105.081894,-8.525278,0.512447,0.556077,-0.475697,-0.44932,-3.072534,121.732262,-11.327558,-0.088268,0.956931,0.251612,0.114822,2.742794,113.208511,26.185804,0.341664,0.706313,0.204248,-0.58538,19.796885,115.187096,30.888294,0.194581,-0.146839,0.439375,-0.864596,21.750317,109.328163,7.635051,0.367119,-0.365041,0.414124,-0.748645,10.854384,124.922646,9.218081,0.061556,0.9282,0.133296,0.341888,-3.273628,80.338547,12.480842,0.090934,0.971779,-0.01512,0.217134,-4.085054,46.766171,2.322298,8.9e-05,0.961673,0.080907,0.261989,-12.008723,4.273558,1.885599,-0.042634,0.925685,-0.09946,0.362487,10.537483,80.466713,23.287764,-0.022682,0.900095,-0.148581,0.408947,10.776917,46.203377,30.832676,-0.016003,0.894403,0.033786,0.445698,7.288867,4.929176,43.196796,8.9e-05,0.961673,0.080907,0.261989,-5.140197,0.694728,-10.176698,-0.016003,0.894403,0.033786,0.445698,18.095808,0.22807,35.036324
9,0.075,-0.002759,0.945315,-0.003279,0.326131,3.63006,80.397797,17.883938,-0.04982,0.946821,0.117109,0.295523,3.607935,87.587776,17.826422,-0.002464,0.950784,0.133013,0.279843,1.074557,102.575111,20.805243,0.028306,0.971604,-0.09429,0.215158,-0.290645,119.216797,25.145138,0.007293,0.982038,-0.119091,0.146169,1.732255,132.201981,21.260244,0.033101,0.911274,0.206492,0.354746,-3.175242,113.696526,22.444933,0.319323,-0.597469,0.088121,-0.730273,-16.456806,117.378319,11.179296,0.327493,0.129697,-0.542685,-0.762509,-9.947982,105.101379,-8.461694,0.512379,0.556165,-0.475849,-0.449127,-3.074174,121.72493,-11.33375,-0.088231,0.956983,0.251127,0.115476,2.739126,113.207314,26.181343,0.341234,0.706379,0.204436,-0.585486,19.788084,115.180946,30.904478,0.194495,-0.146481,0.439281,-0.864724,21.749685,109.341904,7.646923,0.367096,-0.364995,0.414393,-0.74853,10.850312,124.927055,9.220452,0.061374,0.92821,0.133409,0.341849,-3.273118,80.333305,12.477446,0.091075,0.971734,-0.01524,0.217268,-4.070435,46.761482,2.31594,0.000116,0.961686,0.081,0.261914,-12.007995,4.271394,1.885566,-0.042616,0.925632,-0.099515,0.362611,10.533238,80.462288,23.290428,-0.022691,0.900163,-0.148594,0.408793,10.769096,46.199615,30.838453,-0.015217,0.894418,0.03397,0.445679,7.283381,4.925781,43.204445,0.000116,0.961686,0.081,0.261914,-5.141312,0.69494,-10.178484,-0.015217,0.894418,0.03397,0.445679,18.08362,0.219659,35.037994
