hook_right,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p17_hook_right_main_001,0.227776198,0.432369946,0.231224082,0.275424354,0.166623671,0.116644275,0.053002612,0.047750814,0.047627621,0.384678102,0.673307273,0.586718522,0.618975049,0.008702429
p17_hook_right_main_002,0.252141945,0.427162862,0.253787506,0.277058231,0.183850312,0.138367358,0.054568149,0.047928236,0.047619277,0.414833954,0.717552208,0.626736732,0.641605128,
p17_hook_right_main_003,0.279028635,0.4330803,0.26081364,0.280285516,0.173094844,0.136679242,0.054206329,0.047998894,0.047619175,0.428312069,0.720861675,0.633096793,0.632902699,
p17_hook_right_main_004,0.22465263,0.421546036,0.223926392,0.295716301,0.172316455,0.159572766,0.053277101,0.047862638,0.047667667,0.372958748,0.746617549,0.634519909,,
p17_hook_right_main_005,0.234016489,0.424500357,0.234366249,0.285721738,0.171491205,0.140353658,0.053835793,0.047798954,0.047619823,0.409156114,0.694529892,0.608917758,,
p17_hook_right_main_006,0.23548077,0.41175544,0.23711701,0.291855761,0.170760034,0.142711274,0.053390893,0.047803958,0.04762074,0.413717418,0.692618493,0.608948171,,
p17_hook_right_main_007,0.167489118,0.28234472,0.207188087,0.145724374,0.055086843,0.125519837,0.053622558,0.048089585,0.047619257,0.389809784,0.312591801,0.335757196,,
p17_hook_right_main_008,0.148553678,0.262247471,0.200325289,0.132706985,0.047386633,0.111673328,0.052404223,0.047925426,0.04761926,0.402332755,0.237394043,0.286875657,,
p17_hook_right_main_009,0.20574961,0.365023848,0.210255907,0.290106758,0.145358626,0.093976071,0.051125861,0.047691825,0.047672003,0.349948898,0.61922987,0.538445578,,
p17_hook_right_main_010,0.255099663,0.483150026,0.364460303,0.305512402,0.206141003,0.127503268,0.052695505,0.049568053,0.047639095,0.513225338,0.796655334,0.711626335,,
p17_hook_right_main_011,0.191847351,0.384141161,0.261271054,0.301586001,0.18724315,0.068978404,0.053531514,0.048318019,0.047621533,0.456581791,0.580802115,0.543536018,,
p17_hook_right_main_012,0.257557355,0.467033047,0.365773369,0.273994354,0.209700604,0.13829549,0.053848479,0.054291484,0.047634188,0.509540599,0.770219789,0.692016032,,
p17_hook_right_main_013,0.239857321,0.425968644,0.264937828,0.206883419,0.128037953,0.137501753,0.05259214,0.047901293,0.047619668,0.369743506,0.646419529,0.563416722,,
p17_hook_right_main_014,0.250938393,0.468158447,0.33371087,0.258405881,0.196377676,0.141770055,0.053709036,0.052049137,0.047624472,0.49031873,0.734841195,0.661484456,,
p17_hook_right_main_015,0.259558938,0.424517105,0.237636222,0.274735958,0.165643668,0.116234615,0.054252172,0.047823051,0.047625516,0.392737002,0.682676523,0.595694667,,
p17_hook_right_main_016,0.241300363,0.447833735,0.256276549,0.204712192,0.182850333,0.159725001,0.054563355,0.049020227,0.047619922,0.46721108,0.625838231,0.578250086,,
p17_hook_right_main_017,0.279000975,0.493227982,0.346902457,0.284722467,0.272775165,0.153160664,0.055165956,0.057129301,0.048209975,0.547075731,0.82449707,0.741270669,,
p17_hook_right_main_018,0.250356149,0.434432863,0.250238467,0.277063428,0.165610188,0.107102757,0.054129268,0.047880935,0.047619967,0.404150978,0.677841426,0.595734291,,
p17_hook_right_main_019,0.235956192,0.393879916,0.207723197,0.287243121,0.16226229,0.116964909,0.053478313,0.047728694,0.047629509,0.371866769,0.655398509,0.570338987,,
p17_hook_right_main_020,0.280769937,0.48902183,0.345045028,0.296670713,0.245471768,0.167372868,0.055597046,0.057081378,0.047679204,0.542834336,0.824194759,0.739786632,,
p17_hook_right_main_021,0.290044061,0.469335866,0.358602113,0.289794732,0.274347432,0.172737638,0.052965924,0.051326974,0.048100288,0.557118888,0.852623675,0.763972239,,
p17_hook_right_main_022,0.228387264,0.397697684,0.203865285,0.280515391,0.139480637,0.143726269,0.052862569,0.047729562,0.047619986,0.374078642,0.64314584,0.562425681,,
p17_hook_right_main_023,0.278459956,0.494427387,0.332852862,0.297743234,0.269123181,0.160557362,0.056338857,0.056821925,0.047999247,0.533982223,0.839408577,0.747780671,,
p17_hook_right_main_024,0.275698725,0.471157647,0.33833739,0.289491107,0.258204025,0.152171401,0.054029764,0.051100719,0.047892747,0.515362612,0.83173909,0.736826147,,
p17_hook_right_main_025,0.237891828,0.433847683,0.249782314,0.273188843,0.166288578,0.135342574,0.055343046,0.047982439,0.047619315,0.407781554,0.689877272,0.605248557,,
p17_hook_right_main_026,0.269585066,0.452636384,0.370664506,0.280870595,0.287467218,0.175483051,0.052972238,0.052206643,0.048049573,0.565336975,0.843934981,0.760355579,,
p17_hook_right_main_027,0.224200851,0.395250092,0.212346603,0.29181152,0.157745188,0.113867578,0.053434519,0.047746248,0.047624335,0.371623587,0.653218439,0.568739984,,
p17_hook_right_main_028,0.274136338,0.474075277,0.3412686,0.289174426,0.240155205,0.181166353,0.055580279,0.04965163,0.047707852,0.548844133,0.812922026,0.733698658,,
p17_hook_right_main_029,0.236218407,0.400166918,0.215286954,0.278324976,0.146756359,0.123417843,0.053096255,0.047723965,0.047620423,0.375378072,0.649082441,0.56697113,,
p17_hook_right_main_030,0.242687042,0.414326276,0.312332271,0.290179959,0.216362724,0.141952502,0.053326397,0.048110323,0.048043204,0.456586084,0.761551112,0.670061603,,
p17_hook_right_post_001,0.306589425,0.484748301,0.313443324,0.286581235,0.20213921,0.121127537,0.054377908,0.04978456,0.047773492,0.492344414,0.766920223,0.684547481,,
p17_hook_right_post_002,0.257728346,0.434954818,0.247391534,0.26501342,0.168515937,0.13473899,0.055510557,0.047821083,0.047627558,0.383940279,0.723000728,0.621282593,,
p17_hook_right_post_003,0.271118043,0.423156703,0.237666144,0.263814389,0.141208734,0.13743952,0.055447739,0.047901209,0.047619348,0.387569114,0.674717688,0.588573116,,
p17_hook_right_post_004,0.245669658,0.390137489,0.195206337,0.274120377,0.118525325,0.118093517,0.052876423,0.047755027,0.047620162,0.344625297,0.615657296,0.534347697,,
p17_hook_right_post_005,0.294835316,0.482261399,0.313704712,0.262378502,0.210345317,0.125831688,0.053599616,0.054997348,0.047729268,0.492962312,0.743729624,0.66849943,,
p17_hook_right_post_006,0.279781999,0.437118675,0.328114534,0.278279048,0.243929607,0.151022767,0.055857431,0.048710042,0.047848728,0.471487755,0.824697615,0.718734657,,
p17_hook_right_post_007,0.245390538,0.404101161,0.22908627,0.279861332,0.146392353,0.144350242,0.05293619,0.047721409,0.047655561,0.369622151,0.685373561,0.590648138,,
