straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p17_straight_main_001,0.264117196,0.438949635,0.262025885,0.29222153,0.229026424,0.155437234,0.048426734,0.047862132,0.047652402,0.425229467,0.810918572,0.69521184,0.698157616,0.002448014
p17_straight_main_002,0.265087259,0.417025081,0.271185311,0.279863765,0.211768263,0.183635794,0.04836035,0.04776402,0.047636579,0.472266427,0.759246713,0.673152627,0.688161127,
p17_straight_main_003,0.277091898,0.433336502,0.261637977,0.294018366,0.214679174,0.171917248,0.048413753,0.047874956,0.047633496,0.459744786,0.784951764,0.68738967,0.685713113,
p17_straight_main_004,0.275478638,0.439056601,0.280776506,0.298287563,0.226640358,0.175246259,0.048123058,0.047870449,0.047625555,0.495729516,0.794189133,0.704651248,,
p17_straight_main_005,0.281020158,0.4346309,0.282100861,0.29523911,0.226370508,0.179289444,0.048211716,0.047899074,0.047642994,0.5030334,0.792478972,0.705645301,,
p17_straight_main_006,0.281847381,0.47982334,0.309151929,0.296615324,0.265342723,0.169341611,0.048365949,0.048128031,0.047696927,0.515385532,0.849642467,0.749365386,,
p17_straight_main_007,0.284533694,0.415664238,0.263751715,0.303318201,0.225186842,0.16939207,0.048023354,0.047738874,0.047624042,0.508856159,0.749622149,0.677392352,,
p17_straight_main_008,0.271259965,0.421969553,0.26475294,0.28439809,0.212723398,0.182559359,0.048051152,0.047768775,0.047624698,0.476845884,0.759093962,0.674419539,,
p17_straight_main_009,0.26946387,0.417474334,0.245838119,0.291306403,0.23406011,0.16816506,0.048175138,0.047812865,0.047629507,0.482497103,0.744748493,0.666073076,,
p17_straight_main_010,0.294782263,0.468708146,0.300652061,0.281270339,0.235243245,0.179899185,0.048442174,0.047893872,0.047657265,0.464215931,0.858254451,0.740042895,,
p17_straight_main_011,0.290379679,0.438868353,0.272608836,0.276602391,0.240966811,0.170517728,0.048239239,0.047890939,0.047639229,0.461277179,0.810701716,0.705874355,,
p17_straight_main_012,0.266612395,0.439297891,0.270611373,0.277626852,0.228425682,0.175491848,0.048198083,0.047866805,0.04762842,0.462460034,0.796094521,0.696004175,,
p17_straight_main_013,0.259637987,0.411414499,0.252104689,0.287367384,0.205009245,0.165153184,0.048351255,0.047768257,0.047650305,0.445303238,0.741874098,0.65290284,,
