Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.012658,0.935548,-0.050392,0.349357,1.480448,86.997589,20.766157,-0.026663,0.941667,0.072609,0.327537,1.931397,94.613304,20.111904,-0.003081,0.946848,0.006523,0.321601,0.266814,111.433319,22.142488,0.09223,0.962492,-0.113302,0.228615,0.080019,130.055405,22.335651,0.04115,0.989466,-0.067472,0.121286,4.182368,143.425171,18.164835,0.035508,0.935172,0.004102,0.352384,-3.48136,124.659729,20.684685,0.491857,-0.541437,0.38088,-0.565556,-16.00647,125.818466,9.670011,-0.594394,0.561852,-0.27956,0.502856,-12.980789,102.225075,3.847834,-0.668745,0.576516,-0.143082,0.447142,-7.752163,78.854797,-1.882796,-0.008007,0.95094,-0.014556,0.308929,2.440385,124.671959,25.232098,0.649255,0.758001,0.062099,0.006749,15.966472,125.076935,35.05172,0.614506,0.773183,0.156726,0.00276,19.807392,100.952766,33.327621,0.627011,0.733039,0.262071,-0.028806,25.260649,79.760948,29.130978,0.079338,0.906132,0.141038,0.390817,-5.575048,86.889961,14.650265,0.088564,0.96182,-0.019489,0.258221,-6.817674,51.782207,2.883389,-0.022971,0.966106,0.052034,0.251802,-15.104175,6.611344,2.504607,-0.081881,0.914399,-0.057549,0.392249,8.535944,87.105217,26.88205,-0.010007,0.893427,-0.100852,0.437626,12.411059,50.799347,33.160957,-0.013734,0.877629,0.057249,0.475712,9.178333,5.816579,41.839439,-0.022971,0.966106,0.052034,0.251802,-7.894419,2.151307,-10.190203,-0.013734,0.877629,0.057249,0.475712,21.328857,1.379553,33.733376
1,0.008333,0.012619,0.935556,-0.050334,0.349346,1.493054,86.997261,20.757343,-0.026891,0.94167,0.072676,0.327494,1.943129,94.613075,20.103706,-0.003108,0.946863,0.006814,0.321549,0.270731,111.430862,22.13378,0.092168,0.962593,-0.112812,0.228458,0.079503,130.052795,22.336882,0.041303,0.989502,-0.067314,0.121034,4.176351,143.427933,18.177879,0.035657,0.935278,0.004435,0.352087,-3.480769,124.65715,20.683435,0.492181,-0.541526,0.380586,-0.565386,-16.01255,125.824524,9.677258,-0.594244,0.562185,-0.279186,0.502868,-12.98065,102.231682,3.856089,-0.668927,0.576246,-0.143079,0.447219,-7.761374,78.870186,-1.894831,-0.008093,0.950851,-0.014487,0.309203,2.441479,124.668381,25.2302,0.648931,0.758234,0.0626,0.007123,15.96187,125.075485,35.057587,0.614707,0.773045,0.156604,0.003388,19.823174,100.954643,33.332504,0.627082,0.733068,0.261864,-0.028405,25.264477,79.758301,29.160038,0.079352,0.906187,0.141017,0.390695,-5.562612,86.889343,14.641645,0.088638,0.961789,-0.019598,0.258305,-6.80836,51.781319,2.875911,-0.022952,0.9661,0.052046,0.251825,-15.103856,6.612057,2.504225,-0.081812,0.914762,-0.057712,0.39139,8.548719,87.105171,26.873039,-0.009949,0.893414,-0.10097,0.437627,12.420289,50.799858,33.157372,-0.013664,0.87766,0.057287,0.475651,9.178029,5.81918,41.843147,-0.022952,0.9661,0.052046,0.251825,-7.89367,2.152212,-10.190411,-0.013664,0.87766,0.057287,0.475651,21.327021,1.382224,33.734741
2,0.016667,0.012626,0.935561,-0.050379,0.349325,1.505668,86.997009,20.748291,-0.027062,0.941623,0.072892,0.327566,1.956075,94.612755,20.094042,-0.003089,0.946825,0.007069,0.321656,0.276058,111.425194,22.128471,0.091739,0.962687,-0.112367,0.228453,0.082413,130.046997,22.340757,0.041517,0.989497,-0.06722,0.12105,4.164997,143.429245,18.190617,0.035738,0.935391,0.004782,0.351773,-3.4768,124.651733,20.68384,0.492194,-0.541653,0.380321,-0.565432,-16.01576,125.825813,9.686566,-0.594883,0.562406,-0.278688,0.502142,-12.980728,102.236069,3.854497,-0.668602,0.577882,-0.141118,0.446217,-7.752584,78.839523,-1.89576,-0.008286,0.950768,-0.014466,0.309456,2.444425,124.661461,25.231937,0.648897,0.75822,0.063095,0.007396,15.959473,125.074577,35.066414,0.614655,0.773074,0.156653,0.004009,19.822714,100.954453,33.335823,0.626625,0.733509,0.261797,-0.027719,25.266684,79.754723,29.183746,0.079403,0.906194,0.14096,0.390689,-5.550261,86.888954,14.632908,0.088743,0.961792,-0.019702,0.258249,-6.80125,51.780331,2.869491,-0.023862,0.966105,0.051578,0.251818,-15.108416,6.61315,2.504963,-0.081887,0.914459,-0.057619,0.392096,8.561597,87.105064,26.863676,-0.00984,0.893422,-0.101148,0.437572,12.436056,50.799858,33.146862,-0.013702,0.877663,0.057149,0.475662,9.178173,5.82228,41.842834,-0.023862,0.966105,0.051578,0.251818,-7.890158,2.146994,-10.182859,-0.013702,0.877663,0.057149,0.475662,21.327065,1.382259,33.73597
3,0.025,0.01229,0.935656,-0.050032,0.349132,1.534265,87.002884,20.730362,-0.027657,0.941608,0.07337,0.327454,1.977869,94.619286,20.07917,-0.003005,0.946846,0.007406,0.321589,0.274315,111.422455,22.121664,0.091184,0.9628,-0.112364,0.228203,0.079616,130.044098,22.34688,0.041959,0.989513,-0.066873,0.120958,4.145629,143.429825,18.191694,0.035818,0.935479,0.005006,0.351527,-3.479519,124.649765,20.686731,0.49222,-0.541765,0.380015,-0.565508,-16.024071,125.829041,9.696394,-0.594833,0.562563,-0.278464,0.50215,-12.983565,102.242973,3.852348,-0.668698,0.57781,-0.140999,0.446204,-7.758009,78.848907,-1.909185,-0.008363,0.950692,-0.014507,0.309683,2.442353,124.656693,25.23399,0.648836,0.75823,0.063562,0.007607,15.952643,125.072769,35.074871,0.614072,0.773699,0.155849,0.004089,19.819599,100.95372,33.337437,0.628742,0.732133,0.260402,-0.029251,25.291937,79.770149,29.21693,0.079545,0.906257,0.140733,0.390596,-5.524332,86.891411,14.618118,0.088741,0.961825,-0.019715,0.258127,-6.792755,51.779736,2.865731,-0.022816,0.966115,0.051999,0.251789,-15.100086,6.612566,2.503478,-0.081549,0.914777,-0.058014,0.391365,8.592863,87.114357,26.842606,-0.009826,0.893466,-0.101185,0.437475,12.43802,50.808449,33.139713,-0.01339,0.877623,0.057005,0.475762,9.178473,5.831533,41.838516,-0.022816,0.966115,0.051999,0.251789,-7.892303,2.150357,-10.191688,-0.01339,0.877623,0.057005,0.475762,21.32575,1.38349,33.733631
4,0.033333,0.012349,0.935661,-0.050195,0.349093,1.543707,87.000969,20.72348,-0.027654,0.941594,0.073446,0.327477,1.989001,94.617104,20.070263,-0.003168,0.946826,0.007763,0.321636,0.284706,111.419533,22.115114,0.090871,0.962888,-0.111867,0.228198,0.079988,130.040924,22.350945,0.04207,0.989516,-0.066792,0.120939,4.134556,143.433548,18.206818,0.035974,0.935568,0.004765,0.351278,-3.476083,124.645653,20.687355,0.492138,-0.541821,0.379841,-0.565641,-16.026112,125.827049,9.703493,-0.594738,0.562812,-0.278266,0.502093,-12.982159,102.244102,3.848624,-0.668745,0.577686,-0.139989,0.446611,-7.763305,78.843491,-1.926461,-0.008443,0.9506,-0.01446,0.309966,2.445325,124.653152,25.235218,0.64881,0.758194,0.064228,0.007914,15.949728,125.071419,35.084091,0.614361,0.773368,0.156323,0.005076,19.818127,100.953308,33.336987,0.627064,0.733407,0.26105,-0.027516,25.277176,79.750679,29.233271,0.079542,0.906276,0.140738,0.39055,-5.515376,86.889511,14.611795,0.088799,0.961852,-0.019774,0.258001,-6.784035,51.777912,2.859198,-0.022655,0.966128,0.05199,0.251754,-15.097845,6.611893,2.501819,-0.081479,0.914819,-0.058093,0.39127,8.602791,87.112434,26.835165,-0.009807,0.893554,-0.101212,0.437288,12.44163,50.806355,33.135193,-0.013642,0.877656,0.05681,0.475718,9.181296,5.829904,41.83609,-0.022655,0.966128,0.05199,0.251754,-7.892609,2.148192,-10.194273,-0.013642,0.877656,0.05681,0.475718,21.329132,1.380277,33.732903
5,0.041667,0.012396,0.935677,-0.05026,0.34904,1.554335,86.999039,20.714594,-0.028031,0.941616,0.073696,0.327325,2.000608,94.615051,20.060673,-0.002995,0.94689,0.008071,0.321444,0.281898,111.414703,22.109423,0.09032,0.96307,-0.11122,0.227965,0.079614,130.03598,22.358225,0.042455,0.989511,-0.066777,0.120859,4.114057,143.438461,18.22636,0.036055,0.935638,0.005037,0.351079,-3.477814,124.642273,20.692358,0.492175,-0.541966,0.379468,-0.565721,-16.03233,125.829468,9.714252,-0.594722,0.563021,-0.277951,0.502053,-12.982151,102.250923,3.844942,-0.668768,0.577811,-0.139699,0.446508,-7.766375,78.853539,-1.943532,-0.008553,0.950508,-0.014468,0.310247,2.445454,124.645889,25.237803,0.648767,0.758189,0.064704,0.008027,15.943961,125.067833,35.094597,0.614323,0.773376,0.156415,0.005646,19.814974,100.95092,33.336685,0.626783,0.73357,0.261311,-0.027126,25.276789,79.741646,29.249657,0.079572,0.906273,0.140719,0.390559,-5.505413,86.888023,14.60367,0.088834,0.961812,-0.019879,0.258128,-6.776537,51.776375,2.851466,-0.022691,0.966145,0.051928,0.251701,-15.095851,6.611314,2.501416,-0.081404,0.914914,-0.058109,0.391062,8.614084,87.110046,26.825518,-0.00979,0.893496,-0.101333,0.43738,12.448785,50.803196,33.123581,-0.013545,0.877631,0.05683,0.475763,9.181232,5.828962,41.833214,-0.022691,0.966145,0.051928,0.251701,-7.891732,2.146112,-10.194777,-0.013545,0.877631,0.05683,0.475763,21.329102,1.378496,33.730534
6,0.05,0.012367,0.935696,-0.050297,0.348986,1.568939,86.996544,20.7059,-0.028184,0.9417,0.073636,0.327085,2.014958,94.612518,20.051275,-0.003016,0.946993,0.008533,0.321128,0.293167,111.405968,22.096081,0.089895,0.963219,-0.110487,0.227861,0.084717,130.026932,22.360998,0.042511,0.989489,-0.066746,0.121034,4.102692,143.439316,18.245232,0.036181,0.935794,0.005462,0.350642,-3.471986,124.633469,20.692869,0.49216,-0.542149,0.379089,-0.565812,-16.036451,125.829681,9.727129,-0.594681,0.563287,-0.277627,0.501981,-12.981936,102.255928,3.840888,-0.668594,0.578125,-0.139045,0.446564,-7.772882,78.864494,-1.961339,-0.008898,0.950336,-0.014369,0.310768,2.454309,124.635193,25.234371,0.64878,0.758121,0.065331,0.008265,15.941802,125.067291,35.105793,0.614164,0.773425,0.156773,0.006281,19.811817,100.951042,33.336754,0.626641,0.733607,0.26162,-0.026391,25.282455,79.739586,29.262596,0.0796,0.906352,0.140696,0.390378,-5.491537,86.884842,14.595829,0.088913,0.961834,-0.019961,0.258015,-6.767546,51.773026,2.844656,-0.022658,0.966135,0.051953,0.251736,-15.095761,6.60955,2.50101,-0.08133,0.91497,-0.058211,0.39093,8.629416,87.108246,26.815971,-0.009777,0.893296,-0.101407,0.437771,12.457078,50.801384,33.118256,-0.013614,0.877648,0.056737,0.47574,9.181675,5.828503,41.831963,-0.022658,0.966135,0.051953,0.251736,-7.891014,2.144812,-10.194994,-0.013614,0.877648,0.056737,0.47574,21.329338,1.376586,33.729767
7,0.058333,0.012317,0.935723,-0.050229,0.348924,1.585463,86.996674,20.694998,-0.02847,0.941693,0.073885,0.327024,2.030358,94.612762,20.041042,-0.002982,0.947009,0.008915,0.321069,0.296765,111.404633,22.090738,0.090017,0.96328,-0.109527,0.228018,0.084941,130.02536,22.369558,0.042275,0.989461,-0.067009,0.121197,4.101534,143.446487,18.281036,0.036258,0.935862,0.005908,0.350446,-3.470984,124.632492,20.697857,0.49222,-0.542384,0.378722,-0.565782,-16.039856,125.836395,9.738008,-0.594604,0.56353,-0.277326,0.501966,-12.984148,102.266144,3.838323,-0.668349,0.578506,-0.138969,0.446462,-7.778764,78.870201,-1.981171,-0.008736,0.950237,-0.014563,0.311065,2.455878,124.63192,25.238615,0.648677,0.758145,0.066052,0.008526,15.937281,125.060997,35.118484,0.614114,0.773423,0.156952,0.006847,19.813665,100.946716,33.336536,0.626885,0.733406,0.261636,-0.026022,25.285154,79.739166,29.278526,0.079664,0.906389,0.14062,0.390306,-5.475844,86.884605,14.585892,0.088965,0.961802,-0.020065,0.258109,-6.759292,51.771961,2.837986,-0.022684,0.966147,0.051961,0.251687,-15.094492,6.609723,2.501389,-0.081269,0.914964,-0.058275,0.390948,8.64677,87.108742,26.804104,-0.009738,0.893282,-0.101578,0.437761,12.468288,50.801701,33.109062,-0.013619,0.877682,0.056601,0.475694,9.182886,5.831948,41.835117,-0.022684,0.966147,0.051961,0.251687,-7.890746,2.145416,-10.195335,-0.013619,0.877682,0.056601,0.475694,21.32914,1.376616,33.732693
8,0.066667,0.012299,0.935783,-0.050105,0.348782,1.604144,86.995468,20.682077,-0.028815,0.941696,0.074218,0.32691,2.048021,94.611755,20.02973,-0.002919,0.94704,0.009266,0.320967,0.299615,111.404671,22.086802,0.0899,0.963342,-0.108755,0.228173,0.085877,130.025177,22.378775,0.042047,0.989421,-0.06717,0.121516,4.095664,143.454605,18.310871,0.036142,0.93597,0.006347,0.350162,-3.469837,124.633095,20.704048,0.492354,-0.543158,0.377938,-0.565446,-16.04563,125.838593,9.752323,-0.595026,0.563405,-0.276772,0.501911,-13.00209,102.27401,3.823737,-0.668302,0.578866,-0.139424,0.445922,-7.778813,78.903175,-1.996982,-0.009172,0.950174,-0.014042,0.311268,2.458007,124.629959,25.243521,0.648691,0.758065,0.066775,0.008792,15.934917,125.067558,35.129139,0.613982,0.77346,0.15726,0.007465,19.810118,100.954056,33.334057,0.626677,0.733497,0.261924,-0.025557,25.289679,79.740616,29.288879,0.079728,0.906434,0.14055,0.390214,-5.45902,86.884033,14.575111,0.089031,0.961766,-0.020202,0.258209,-6.750043,51.77071,2.830096,-0.022639,0.966162,0.051965,0.251631,-15.094241,6.610075,2.503149,-0.081259,0.914935,-0.05836,0.391005,8.667309,87.106895,26.789042,-0.009608,0.893252,-0.101795,0.437774,12.485316,50.80048,33.099701,-0.01345,0.877687,0.056731,0.475675,9.180373,5.834538,41.838001,-0.022639,0.966162,0.051965,0.251631,-7.892391,2.145514,-10.194555,-0.01345,0.877687,0.056731,0.475675,21.325371,1.380268,33.73312
9,0.075,0.011951,0.935803,-0.049812,0.348782,1.630785,86.99955,20.671728,-0.029178,0.94168,0.074411,0.326879,2.068108,94.616417,20.021706,-0.003031,0.947045,0.009759,0.320938,0.306506,111.403015,22.080349,0.089254,0.963396,-0.108605,0.228269,0.08293,130.023148,22.388382,0.042331,0.989358,-0.067017,0.122015,4.074883,143.457886,18.320503,0.036012,0.936075,0.00754,0.349872,-3.47003,124.63063,20.709223,0.492468,-0.543418,0.377392,-0.565462,-16.052927,125.846085,9.766765,-0.595044,0.563489,-0.276088,0.502174,-13.003008,102.287056,3.819482,-0.667665,0.579604,-0.13885,0.446099,-7.769868,78.945114,-2.025789,-0.009289,0.950096,-0.013815,0.311514,2.458088,124.626717,25.248337,0.648594,0.758092,0.067389,0.00897,15.929802,125.065742,35.140968,0.613918,0.773446,0.157555,0.007909,19.811041,100.954163,33.333286,0.626425,0.733616,0.262228,-0.025213,25.293653,79.740639,29.295891,0.079832,0.906525,0.140477,0.390007,-5.432536,86.883949,14.565021,0.089185,0.961756,-0.020316,0.258185,-6.735352,51.770317,2.822222,-0.022642,0.966141,0.051895,0.251727,-15.095687,6.612611,2.50192,-0.081062,0.915045,-0.058495,0.390768,8.694106,87.115158,26.778435,-0.009522,0.893277,-0.101908,0.437698,12.496548,50.807537,33.091579,-0.01346,0.877684,0.056403,0.475718,9.180763,5.843565,41.835926,-0.022642,0.966141,0.051895,0.251727,-7.891457,2.146109,-10.193752,-0.01346,0.877684,0.056403,0.475718,21.325153,1.380941,33.734726
