Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.028931,0.93188,-0.07176,0.35442,-2.836387,87.382904,20.759123,0.011656,0.944124,0.012603,0.329142,-2.034027,94.948273,19.892076,0.025965,0.946563,-0.040519,0.318909,-1.793953,112.444664,20.44301,0.135684,0.953125,-0.174885,0.206294,-0.397168,130.982422,19.322844,0.035152,0.995371,-0.031969,0.083538,4.867154,142.926331,13.888463,0.073574,0.927396,-0.059312,0.361948,-4.416962,125.807678,18.063602,-0.466891,0.61522,-0.418701,0.477711,-16.574787,127.371445,6.6932,-0.564845,0.654867,-0.286073,0.412627,-19.210035,103.506729,1.873333,-0.642818,0.662812,-0.110342,0.367816,-19.728159,79.854355,-3.392373,0.034576,0.959893,-0.064383,0.270675,1.52061,125.633636,22.586998,0.674089,0.737761,-0.006641,0.035625,15.750284,125.10656,31.349569,0.662088,0.739092,0.07385,0.099644,17.921711,100.760818,32.85611,0.612716,0.755698,0.21016,0.096603,20.234329,78.547035,33.96302,0.072245,0.9024,0.138036,0.401747,-9.812694,87.41143,14.552185,0.067516,0.960352,-0.00531,0.27044,-10.534244,52.161934,3.171926,-0.025314,0.962421,0.049098,0.265883,-16.621824,6.657025,1.963191,-0.095983,0.911275,-0.05352,0.396865,4.13992,87.35437,26.966063,-0.032651,0.887161,-0.094839,0.450427,9.047043,51.201195,33.402336,-0.016764,0.873473,0.044973,0.484502,7.783954,6.199083,42.481461,-0.025314,0.962421,0.049098,0.265883,-9.033971,2.136734,-10.487599,-0.016764,0.873473,0.044973,0.484502,20.060423,1.485401,34.729023
1,0.008333,0.029027,0.932119,-0.07171,0.353794,-2.825126,87.380623,20.740957,0.011764,0.944379,0.012513,0.328411,-2.022248,94.946022,19.874599,0.025705,0.946856,-0.03967,0.318166,-1.777205,112.43824,20.423494,0.134642,0.953677,-0.173608,0.205502,-0.400491,130.979034,19.329016,0.035025,0.995456,-0.031524,0.082744,4.824389,142.945358,13.915708,0.073145,0.927316,-0.057409,0.362545,-4.417148,125.802216,18.068306,-0.467334,0.616532,-0.413497,0.480111,-16.562611,127.374352,6.685852,-0.563083,0.658311,-0.290171,0.406652,-19.064962,103.53936,1.652784,-0.642282,0.663614,-0.113124,0.366462,-19.919167,79.783836,-3.418036,0.034243,0.960491,-0.062361,0.269063,1.527697,125.627243,22.582108,0.671934,0.739876,-0.00821,0.031954,15.787239,125.088486,31.295277,0.662526,0.739311,0.070867,0.097246,18.112858,100.752243,32.723392,0.614561,0.755316,0.207482,0.093616,20.422337,78.522362,33.839737,0.072348,0.902611,0.138079,0.40124,-9.809618,87.412117,14.543244,0.06736,0.960354,-0.00544,0.270467,-10.54313,52.164616,3.157584,-0.025353,0.962474,0.049042,0.265697,-16.620161,6.657896,1.964042,-0.09603,0.911409,-0.053246,0.396581,4.159365,87.349129,26.938671,-0.032549,0.887027,-0.095314,0.450598,9.079817,51.194454,33.356361,-0.015786,0.873303,0.045557,0.484786,7.786827,6.200018,42.469296,-0.025353,0.962474,0.049042,0.265697,-9.03676,2.136268,-10.488976,-0.015786,0.873303,0.045557,0.484786,20.062119,1.487536,34.714272
2,0.016667,0.029524,0.932381,-0.071966,0.353009,-2.822295,87.374184,20.726017,0.011942,0.94457,0.01271,0.327847,-2.011686,94.938576,19.858051,0.025378,0.947057,-0.038966,0.317679,-1.762668,112.432953,20.415436,0.133986,0.954056,-0.172793,0.204859,-0.406336,130.976425,19.341152,0.034556,0.995562,-0.030919,0.081891,4.792645,142.957047,13.940496,0.072389,0.927123,-0.055307,0.363515,-4.418927,125.796913,18.078581,-0.467881,0.619506,-0.406878,0.481404,-16.54451,127.368835,6.674924,-0.561335,0.661288,-0.29475,0.400904,-18.960932,103.579071,1.392085,-0.641565,0.663377,-0.119178,0.366226,-20.140509,79.70562,-3.469729,0.033728,0.96113,-0.059904,0.2674,1.530788,125.622871,22.585993,0.669347,0.742369,-0.009041,0.027948,15.821321,125.074516,31.247633,0.663036,0.739406,0.067941,0.095114,18.328676,100.749825,32.560177,0.615963,0.755271,0.204675,0.090899,20.62921,78.490677,33.693047,0.072398,0.902658,0.138217,0.401077,-9.816594,87.413826,14.539421,0.067191,0.960374,-0.005554,0.270438,-10.55124,52.169682,3.14344,-0.023855,0.962572,0.04916,0.265462,-16.616341,6.660989,1.964315,-0.096241,0.911562,-0.053062,0.396203,4.172004,87.334541,26.912615,-0.032343,0.88707,-0.095889,0.450406,9.114722,51.181423,33.321934,-0.016916,0.873456,0.044729,0.484549,7.783042,6.195861,42.473007,-0.023855,0.962572,0.04916,0.265462,-9.053812,2.130627,-10.498217,-0.016916,0.873456,0.044729,0.484549,20.060572,1.478092,34.724739
3,0.025,0.029594,0.932655,-0.071809,0.352309,-2.807599,87.371918,20.709913,0.012306,0.94483,0.012797,0.32708,-1.997484,94.9366,19.843956,0.024818,0.947368,-0.038082,0.316902,-1.737074,112.422684,20.407925,0.13339,0.954549,-0.171461,0.204071,-0.411776,130.969742,19.357037,0.034049,0.995679,-0.030577,0.080799,4.75932,142.970444,13.981472,0.07103,0.926644,-0.052353,0.365439,-4.418298,125.785652,18.09399,-0.468225,0.624393,-0.398536,0.481734,-16.503504,127.34684,6.646087,-0.559922,0.663881,-0.299561,0.394983,-18.888617,103.624809,1.053509,-0.638533,0.664957,-0.128201,0.365613,-20.379137,79.657135,-3.568012,0.032982,0.96195,-0.056068,0.265369,1.539201,125.614761,22.591232,0.666286,0.745261,-0.009671,0.023576,15.867583,125.051369,31.189144,0.663798,0.739371,0.063983,0.092784,18.586218,100.742401,32.365261,0.618594,0.754543,0.201471,0.086112,20.863781,78.455925,33.537632,0.072462,0.902863,0.138349,0.400559,-9.811045,87.414917,14.533697,0.067156,0.960297,-0.005767,0.270714,-10.552465,52.174164,3.127691,-0.025553,0.962548,0.048783,0.26546,-16.619448,6.665263,1.966522,-0.096388,0.911734,-0.052902,0.395793,4.195846,87.328926,26.886133,-0.032075,0.887154,-0.096417,0.450147,9.15596,51.176632,33.286694,-0.016907,0.873417,0.044627,0.48463,7.783102,6.198812,42.4697,-0.025553,0.962548,0.048783,0.26546,-9.040616,2.137878,-10.487184,-0.016907,0.873417,0.044627,0.48463,20.061462,1.478291,34.724434
4,0.033333,0.029516,0.932957,-0.071442,0.351592,-2.785137,87.371582,20.693735,0.012154,0.944953,0.013282,0.326711,-1.978761,94.937126,19.831938,0.024725,0.94748,-0.037245,0.316674,-1.728887,112.411034,20.409716,0.132941,0.954901,-0.170602,0.203435,-0.416952,130.960602,19.386904,0.033293,0.995814,-0.030115,0.079618,4.736754,142.982071,14.023098,0.069586,0.926085,-0.049502,0.367524,-4.420467,125.775696,18.117718,-0.467203,0.628392,-0.39081,0.483852,-16.461363,127.322235,6.621233,-0.557407,0.666442,-0.305399,0.389723,-18.793146,103.681709,0.672367,-0.632408,0.669499,-0.138736,0.36412,-20.627203,79.636871,-3.714829,0.031662,0.9626,-0.052828,0.263835,1.539258,125.601997,22.611898,0.662555,0.748731,-0.009389,0.018284,15.89764,125.048912,31.16029,0.664016,0.739857,0.059865,0.090055,18.869942,100.760742,32.135468,0.621678,0.753624,0.19757,0.080831,21.161798,78.429504,33.34391,0.072616,0.903038,0.138493,0.400086,-9.798102,87.416756,14.528344,0.067119,0.960203,-0.006028,0.271051,-10.551345,52.180607,3.108878,-0.023803,0.962619,0.049004,0.265323,-16.621145,6.671533,1.969519,-0.096484,0.911787,-0.052801,0.39566,4.227829,87.326408,26.859123,-0.031796,0.887253,-0.096882,0.449872,9.198308,51.174702,33.254917,-0.015866,0.873216,0.045461,0.484949,7.786194,6.203494,42.464302,-0.023803,0.962619,0.049004,0.265323,-9.063037,2.136319,-10.493928,-0.015866,0.873216,0.045461,0.484949,20.064577,1.489624,34.715019
5,0.041667,0.029176,0.933249,-0.070962,0.350941,-2.7548,87.372253,20.6814,0.011882,0.945022,0.013897,0.326497,-1.956452,94.939156,19.824028,0.024289,0.947536,-0.036363,0.316643,-1.722595,112.40094,20.418579,0.133531,0.955086,-0.169415,0.203173,-0.436459,130.953735,19.421667,0.032053,0.995956,-0.029995,0.078382,4.72977,142.996536,14.084543,0.067886,0.925237,-0.0464,0.370371,-4.432889,125.76506,18.145535,-0.464905,0.63125,-0.384572,0.487332,-16.411348,127.290749,6.581243,-0.553605,0.668947,-0.312178,0.385456,-18.682531,103.738174,0.271034,-0.625606,0.67388,-0.14955,0.363507,-20.891386,79.624588,-3.9076,0.03089,0.963433,-0.049304,0.261556,1.527443,125.593315,22.638988,0.65851,0.752404,-0.009136,0.013032,15.927484,125.029396,31.116306,0.663607,0.740913,0.056222,0.086675,19.169533,100.768539,31.891176,0.624364,0.752962,0.193901,0.07497,21.515627,78.414474,33.102615,0.072797,0.903292,0.138713,0.399402,-9.776671,87.415672,14.526144,0.067194,0.960155,-0.006293,0.271198,-10.543895,52.185993,3.087641,-0.025725,0.96255,0.048679,0.265455,-16.626665,6.678137,1.968862,-0.096435,0.91192,-0.052809,0.395366,4.267071,87.328842,26.836658,-0.03157,0.887119,-0.097271,0.450068,9.236112,51.176506,33.230011,-0.015957,0.873172,0.045261,0.485044,7.787405,6.210932,42.461159,-0.025725,0.96255,0.048679,0.265455,-9.046433,2.149219,-10.483432,-0.015957,0.873172,0.045261,0.485044,20.067326,1.493204,34.716663
6,0.05,0.029563,0.933281,-0.070994,0.350816,-2.746651,87.365623,20.676504,0.011709,0.945044,0.01446,0.326414,-1.942719,94.932106,19.82065,0.023954,0.94759,-0.035654,0.316589,-1.72096,112.39386,20.431808,0.133545,0.955375,-0.168232,0.202788,-0.455025,130.949158,19.455835,0.031104,0.996088,-0.029789,0.077167,4.705396,143.011444,14.14378,0.066225,0.924334,-0.043506,0.373267,-4.446002,125.757614,18.174309,-0.462134,0.634527,-0.37796,0.49087,-16.359898,127.261528,6.540676,-0.549453,0.671251,-0.318797,0.381958,-18.587355,103.812744,-0.159554,-0.61681,0.679146,-0.160786,0.363942,-21.161139,79.628487,-4.163746,0.030128,0.964263,-0.04542,0.259281,1.515086,125.587212,22.666811,0.654588,0.755894,-0.009651,0.006816,15.956304,125.009552,31.072859,0.662823,0.742575,0.051065,0.081493,19.456644,100.778732,31.634623,0.627017,0.75297,0.188587,0.065742,21.893497,78.390182,32.837494,0.072788,0.903426,0.138956,0.399018,-9.769737,87.415749,14.522684,0.067262,0.960439,-0.006455,0.270169,-10.533863,52.19096,3.068935,-0.025604,0.962549,0.048597,0.265483,-16.627775,6.684131,1.969269,-0.096829,0.911993,-0.052435,0.39515,4.276436,87.315491,26.830324,-0.031235,0.887095,-0.097736,0.450038,9.284411,51.165878,33.208694,-0.015893,0.873162,0.045516,0.48504,7.789403,6.206694,42.46357,-0.025604,0.962549,0.048597,0.265483,-9.048229,2.151968,-10.482265,-0.015893,0.873162,0.045516,0.48504,20.069868,1.494579,34.716511
7,0.058333,0.029333,0.93356,-0.07079,0.350135,-2.721322,87.358704,20.676714,0.01131,0.945075,0.015287,0.326299,-1.922385,94.925835,19.821939,0.023723,0.947578,-0.03528,0.316683,-1.72328,112.376999,20.455437,0.132518,0.955785,-0.167135,0.202437,-0.469796,130.933685,19.490049,0.030448,0.996188,-0.029513,0.076232,4.658792,143.022858,14.194565,0.064109,0.923275,-0.040062,0.376629,-4.456995,125.740143,18.204876,-0.45821,0.637805,-0.372295,0.494616,-16.295811,127.214874,6.491135,-0.544982,0.673496,-0.324486,0.379612,-18.519306,103.88237,-0.604709,-0.608065,0.684409,-0.171338,0.363984,-21.429514,79.656342,-4.500308,0.029072,0.965096,-0.041532,0.256941,1.503362,125.571312,22.698406,0.649854,0.759993,-0.009989,0.00076,15.987057,124.989952,31.030792,0.661953,0.744267,0.047173,0.075233,19.792086,100.801064,31.377012,0.628109,0.754117,0.183158,0.056926,22.330688,78.370193,32.496567,0.072828,0.903661,0.139506,0.398284,-9.753572,87.407219,14.533356,0.067378,0.96047,-0.006824,0.270022,-10.512978,52.194237,3.043064,-0.025954,0.962609,0.048436,0.265264,-16.6264,6.689304,1.973933,-0.096782,0.912061,-0.052193,0.395037,4.310928,87.310181,26.820072,-0.031025,0.88684,-0.098257,0.450442,9.323706,51.158024,33.180176,-0.01691,0.873295,0.044619,0.48485,7.785676,6.207019,42.467682,-0.025954,0.962609,0.048436,0.265264,-9.049221,2.155346,-10.478386,-0.01691,0.873295,0.044619,0.48485,20.06785,1.486303,34.728584
8,0.066667,0.029146,0.933696,-0.070279,0.349891,-2.695751,87.35218,20.67312,0.011059,0.945014,0.015945,0.326455,-1.902432,94.920586,19.82439,0.023523,0.9475,-0.034712,0.316996,-1.719308,112.362442,20.476477,0.131634,0.956096,-0.166327,0.202208,-0.479273,130.920975,19.529135,0.029565,0.996292,-0.029154,0.075349,4.624807,143.035629,14.243214,0.062125,0.922281,-0.037024,0.379695,-4.46169,125.725601,18.236532,-0.453917,0.641478,-0.366475,0.498158,-16.231352,127.171471,6.449731,-0.540226,0.675889,-0.328897,0.37836,-18.47443,103.968834,-1.054046,-0.599571,0.689016,-0.181258,0.364579,-21.694553,79.715332,-4.920685,0.028022,0.965972,-0.037049,0.25444,1.495854,125.557114,22.733803,0.645157,0.763955,-0.010589,-0.005799,16.024334,124.967209,30.987251,0.660202,0.746731,0.0435,0.068076,20.125664,100.824593,31.104898,0.629081,0.755206,0.178031,0.047178,22.820101,78.365311,32.106422,0.072848,0.90391,0.13989,0.39758,-9.731407,87.401169,14.533666,0.067519,0.960611,-0.007118,0.269477,-10.48946,52.196335,3.018328,-0.025612,0.962669,0.048391,0.265085,-16.623138,6.693521,1.975113,-0.096997,0.912272,-0.051938,0.39453,4.339904,87.303192,26.812574,-0.030548,0.886979,-0.098659,0.450113,9.378179,51.152153,33.158909,-0.01606,0.873117,0.045335,0.485133,7.787983,6.205711,42.45974,-0.025612,0.962669,0.048391,0.265085,-9.054067,2.155478,-10.480651,-0.01606,0.873117,0.045335,0.485133,20.070728,1.491286,34.717705
9,0.075,0.028916,0.93384,-0.070029,0.349575,-2.67747,87.338936,20.684822,0.011057,0.944949,0.016169,0.32663,-1.889053,94.908081,19.838135,0.022997,0.947413,-0.03408,0.317363,-1.708711,112.346245,20.497492,0.130954,0.956518,-0.164559,0.202101,-0.494293,130.907303,19.566704,0.028776,0.996395,-0.02919,0.07428,4.583997,143.050491,14.319524,0.060185,0.921217,-0.034132,0.382848,-4.468377,125.70739,18.26676,-0.448847,0.645019,-0.361726,0.501638,-16.165571,127.12439,6.40455,-0.534828,0.677991,-0.331955,0.379597,-18.462381,104.057396,-1.490937,-0.591015,0.692834,-0.190573,0.366556,-21.926987,79.827232,-5.449385,0.026687,0.966925,-0.031633,0.25168,1.486058,125.543549,22.768322,0.640119,0.768066,-0.012632,-0.012771,16.063684,124.946884,30.934166,0.658004,0.7496,0.040434,0.059127,20.475788,100.858986,30.849749,0.628646,0.757104,0.174105,0.035843,23.357359,78.380569,31.65321,0.072861,0.904042,0.140562,0.397041,-9.717502,87.386032,14.550367,0.067758,0.960419,-0.007542,0.270086,-10.462992,52.195313,2.99118,-0.025896,0.962653,0.048291,0.265133,-16.62752,6.696048,1.975544,-0.097047,0.912332,-0.051291,0.394463,4.362562,87.29184,26.819277,-0.030371,0.886635,-0.09922,0.45068,9.423836,51.136578,33.123108,-0.016092,0.873098,0.045538,0.485147,7.789917,6.199357,42.460819,-0.025896,0.962653,0.048291,0.265133,-9.054552,2.157507,-10.477672,-0.016092,0.873098,0.045538,0.485147,20.074154,1.490562,34.71772
