Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.022506,0.876079,0.019926,0.481229,3.69898,82.496513,15.461755,-0.054903,0.901363,0.093549,0.41926,3.250182,90.139732,15.563223,-0.047541,0.911287,0.089079,0.399201,0.229007,106.767563,17.651018,0.056839,0.953916,-0.030432,0.293066,-2.709257,125.011826,19.96777,0.055791,0.976017,-0.134976,0.161429,0.156173,139.19455,18.066332,-0.055264,0.823757,0.214468,0.521895,-5.132756,119.497696,17.096664,0.182799,-0.621841,0.02438,-0.76112,-12.642243,121.718231,2.324361,0.179223,-0.125705,-0.634114,-0.741604,-7.121531,115.242004,-20.638231,0.472588,0.32977,-0.500663,-0.645948,-3.128132,137.020645,-30.700886,-0.147164,0.94586,0.213892,0.194788,-0.079857,119.613625,22.592203,0.301286,0.882147,0.185698,-0.310741,14.646753,122.875046,29.805681,-0.12218,0.267437,0.468482,-0.833111,29.960421,112.684036,13.639803,-0.041376,0.136467,0.477604,-0.866925,20.000107,132.841522,5.749515,0.059005,0.833116,0.222481,0.50293,-1.304477,82.307358,7.579786,0.163759,0.917811,-0.15888,0.324906,3.343905,49.184887,-8.352966,0.006436,0.957378,0.011283,0.288545,-15.203023,8.040505,0.153953,-0.184865,0.841728,0.053784,0.504407,8.702437,82.685669,23.343723,0.053922,0.828977,-0.2098,0.51563,22.242399,48.384201,26.898527,-0.022148,0.840905,0.019083,0.540393,8.200057,6.768063,40.319626,0.006436,0.957378,0.011283,0.288545,-7.497611,2.223524,-11.670606,-0.022148,0.840905,0.019083,0.540393,21.269394,1.493631,34.454174
1,0.008333,-0.022058,0.876891,0.019585,0.479784,3.676043,82.556946,15.483679,-0.054506,0.902155,0.093237,0.417676,3.235937,90.200676,15.584615,-0.04723,0.912055,0.088704,0.397563,0.237043,106.820595,17.672531,0.056792,0.954201,-0.031348,0.292048,-2.681056,125.068436,19.986607,0.055275,0.976137,-0.134546,0.161239,0.186872,139.246643,18.055523,-0.05511,0.824228,0.214789,0.521034,-5.11848,119.553795,17.128298,0.183063,-0.622032,0.025398,-0.760867,-12.658566,121.777138,2.37201,0.180005,-0.126244,-0.633267,-0.742047,-7.151984,115.253532,-20.580561,0.473584,0.329054,-0.500405,-0.645783,-3.113144,137.004547,-30.68152,-0.146958,0.946186,0.214307,0.192892,-0.045662,119.670441,22.605442,0.301969,0.88163,0.185306,-0.311779,14.70756,122.937843,29.76161,-0.121127,0.265993,0.468761,-0.83357,29.969406,112.728462,13.558369,-0.040449,0.135051,0.477784,-0.867092,19.984034,132.887253,5.697067,0.059369,0.833786,0.222005,0.501987,-1.353729,82.371208,7.618395,0.162875,0.918304,-0.157863,0.324453,3.236011,49.23624,-8.305373,0.007779,0.957402,0.011534,0.288421,-15.206851,8.035749,0.156141,-0.184296,0.842529,0.052683,0.503393,8.705814,82.742683,23.348963,0.053636,0.82967,-0.209056,0.514846,22.176073,48.41695,26.934219,-0.021877,0.840934,0.01927,0.540352,8.202413,6.76932,40.329319,0.007779,0.957402,0.011534,0.288421,-7.518808,2.214976,-11.677853,-0.021877,0.840934,0.01927,0.540352,21.269718,1.495117,34.459129
2,0.016667,-0.021715,0.877975,0.018603,0.477853,3.651246,82.613388,15.524003,-0.054245,0.90307,0.092548,0.415882,3.223149,90.257919,15.615213,-0.046774,0.912889,0.088404,0.395765,0.246864,106.878456,17.69129,0.056654,0.954566,-0.031902,0.290821,-2.646815,125.129875,20.007818,0.05474,0.976269,-0.134368,0.16077,0.217379,139.305908,18.055384,-0.054568,0.824927,0.2145,0.520103,-5.100217,119.615829,17.162052,0.183005,-0.622069,0.027008,-0.760796,-12.674679,121.841133,2.423681,0.180676,-0.127005,-0.63243,-0.742467,-7.17444,115.259087,-20.513716,0.474677,0.328421,-0.49991,-0.645687,-3.092063,136.989487,-30.661562,-0.146065,0.946716,0.213998,0.191306,-0.005457,119.730995,22.61882,0.302445,0.881024,0.18484,-0.313301,14.776886,122.986076,29.720285,-0.12042,0.264524,0.469169,-0.83391,29.978031,112.771759,13.46319,-0.039495,0.133681,0.47751,-0.867498,19.974508,132.935425,5.643071,0.059786,0.834665,0.221817,0.500556,-1.413337,82.42334,7.681197,0.161852,0.918871,-0.156771,0.323886,3.116189,49.285892,-8.254629,0.007981,0.957481,0.011875,0.28814,-15.208067,8.023318,0.161861,-0.183504,0.843414,0.051625,0.502309,8.715829,82.803429,23.36681,0.053279,0.830277,-0.208288,0.514216,22.105139,48.44796,26.970409,-0.021927,0.841038,0.019209,0.54019,8.204076,6.767416,40.338608,0.007981,0.957481,0.011875,0.28814,-7.52799,2.210281,-11.681097,-0.021927,0.841038,0.019209,0.54019,21.269253,1.4925,34.46434
3,0.025,-0.021279,0.879066,0.017673,0.475897,3.621962,82.685249,15.566027,-0.053853,0.904029,0.091915,0.413985,3.206701,90.330582,15.648855,-0.046551,0.913762,0.08794,0.393876,0.257589,106.945251,17.716101,0.057028,0.954876,-0.032588,0.28965,-2.616997,125.2005,20.026266,0.053959,0.976424,-0.134092,0.160327,0.258687,139.371384,18.053427,-0.05393,0.825876,0.21395,0.518888,-5.085016,119.684891,17.196205,0.183114,-0.6221,0.028135,-0.760703,-12.704002,121.907829,2.480446,0.181776,-0.127483,-0.631301,-0.743078,-7.208725,115.280304,-20.44504,0.475959,0.327791,-0.499297,-0.645537,-3.063083,136.976334,-30.637178,-0.145226,0.947242,0.213858,0.189494,0.032332,119.802841,22.631735,0.302998,0.880473,0.184308,-0.314627,14.845922,123.047745,29.672491,-0.119365,0.262929,0.469413,-0.834429,29.98988,112.821541,13.369566,-0.038609,0.131873,0.477815,-0.867647,19.957928,132.982513,5.584743,0.060156,0.835567,0.22146,0.499164,-1.477807,82.492973,7.746109,0.160794,0.919421,-0.155536,0.323448,2.988748,49.347076,-8.189923,0.007462,0.957556,0.011959,0.287903,-15.211352,8.017719,0.168121,-0.182769,0.844511,0.050308,0.500865,8.721731,82.877525,23.385944,0.053013,0.83117,-0.207325,0.513189,22.025501,48.492149,27.020889,-0.021698,0.841179,0.019127,0.539983,8.205463,6.77222,40.350185,0.007462,0.957556,0.011959,0.287903,-7.530915,2.211123,-11.677764,-0.021698,0.841179,0.019127,0.539983,21.265177,1.491694,34.468807
4,0.033333,-0.020836,0.880277,0.017072,0.473695,3.601776,82.760475,15.599426,-0.053822,0.905064,0.091432,0.411828,3.19704,90.406418,15.678422,-0.045867,0.914785,0.087484,0.391678,0.261649,107.017609,17.737619,0.05734,0.955281,-0.033268,0.288172,-2.577548,125.278198,20.049376,0.053195,0.976597,-0.133912,0.159673,0.306689,139.44426,18.054482,-0.053848,0.826662,0.213744,0.51773,-5.066668,119.763931,17.23521,0.182944,-0.622162,0.029568,-0.760639,-12.726124,121.975861,2.538805,0.182748,-0.127996,-0.630155,-0.743724,-7.238666,115.299667,-20.374439,0.477439,0.327184,-0.498506,-0.645363,-3.028725,136.965134,-30.609591,-0.144282,0.947904,0.213331,0.187487,0.077413,119.878815,22.645517,0.303589,0.879866,0.183861,-0.316014,14.925448,123.11467,29.617552,-0.118138,0.261006,0.469659,-0.835068,30.008999,112.877617,13.265486,-0.037461,0.129932,0.478355,-0.867693,19.940399,133.035843,5.523382,0.060496,0.836602,0.220989,0.497595,-1.537385,82.568962,7.805318,0.159816,0.920226,-0.15408,0.322338,2.86037,49.410652,-8.124031,0.006708,0.957701,0.01165,0.28745,-15.21,8.011087,0.167809,-0.181884,0.845511,0.048888,0.499638,8.740937,82.951996,23.393536,0.052661,0.831804,-0.206468,0.512542,21.9457,48.532265,27.064281,-0.022653,0.841418,0.018082,0.539608,8.202065,6.776378,40.359932,0.006708,0.957701,0.01165,0.28745,-7.533241,2.202189,-11.679336,-0.022653,0.841418,0.018082,0.539608,21.259584,1.485604,34.482883
5,0.041667,-0.020647,0.881533,0.016303,0.471389,3.582093,82.840759,15.642543,-0.05336,0.90616,0.090795,0.409613,3.185675,90.487213,15.713592,-0.045504,0.91579,0.086947,0.389486,0.278811,107.100739,17.766645,0.057627,0.955688,-0.033643,0.28672,-2.534783,125.366043,20.072361,0.052348,0.976772,-0.133836,0.158948,0.354925,139.529037,18.063635,-0.054256,0.827628,0.213389,0.516289,-5.041774,119.850754,17.276144,0.183075,-0.622255,0.030431,-0.760497,-12.749568,122.033203,2.600625,0.183904,-0.128255,-0.628889,-0.744465,-7.270328,115.320229,-20.303829,0.478856,0.326435,-0.497695,-0.645319,-2.986205,136.952515,-30.576839,-0.143454,0.948459,0.21328,0.18536,0.128365,119.967339,22.661514,0.305111,0.878788,0.183776,-0.317593,15.010874,123.195114,29.563433,-0.116858,0.258967,0.470395,-0.835469,30.000072,112.921501,13.147677,-0.036974,0.128626,0.478866,-0.867626,19.914309,133.089859,5.457521,0.060845,0.837849,0.220587,0.495629,-1.597922,82.644379,7.875651,0.158723,0.920777,-0.152771,0.321927,2.725624,49.476059,-8.053168,0.00668,0.957775,0.011818,0.287199,-15.215874,8.007633,0.174125,-0.180699,0.846634,0.047432,0.498305,8.76211,83.03714,23.409435,0.052085,0.832298,-0.205457,0.512205,21.849102,48.575199,27.105793,-0.022561,0.8414,0.018223,0.539634,8.201064,6.775498,40.362213,0.00668,0.957775,0.011818,0.287199,-7.544372,2.203609,-11.678807,-0.022561,0.8414,0.018223,0.539634,21.258873,1.486679,34.484062
6,0.05,-0.020208,0.882903,0.015714,0.468858,3.557367,82.931198,15.683274,-0.053163,0.907312,0.090068,0.407243,3.171311,90.578209,15.750649,-0.044893,0.916868,0.086536,0.387104,0.288464,107.181702,17.789995,0.057512,0.956108,-0.035203,0.285149,-2.492439,125.451729,20.098036,0.051722,0.976964,-0.133126,0.158569,0.400637,139.606827,18.039217,-0.052986,0.828635,0.213193,0.514883,-5.020325,119.937363,17.318838,0.183187,-0.622326,0.032175,-0.760341,-12.781135,122.139763,2.674273,0.185187,-0.129055,-0.62734,-0.745315,-7.311543,115.358017,-20.212223,0.48032,0.325519,-0.496819,-0.645369,-2.94402,136.938721,-30.541861,-0.142366,0.949068,0.213297,0.183049,0.178263,120.051781,22.676802,0.305849,0.878106,0.182918,-0.31926,15.099648,123.264313,29.501455,-0.115792,0.257029,0.470902,-0.83593,30.01475,112.970718,13.030815,-0.035652,0.126531,0.479176,-0.867818,19.902262,133.149414,5.389664,0.060858,0.839518,0.219989,0.493062,-1.667427,82.735596,7.946413,0.15769,0.921498,-0.151135,0.321145,2.583945,49.547874,-7.961417,0.006393,0.957837,0.0119,0.286993,-15.221394,8.003762,0.179397,-0.17945,0.847628,0.045985,0.497202,8.782162,83.126801,23.420134,0.051438,0.832748,-0.204396,0.511964,21.746813,48.62151,27.143064,-0.022336,0.841302,0.018567,0.539785,8.20059,6.775707,40.358387,0.006393,0.957837,0.0119,0.286993,-7.551408,2.204283,-11.67674,-0.022336,0.841302,0.018567,0.539785,21.260349,1.491675,34.480263
7,0.058333,-0.019813,0.884245,0.015251,0.466354,3.541664,83.022194,15.717218,-0.051963,0.908493,0.089566,0.404869,3.164453,90.66967,15.782237,-0.045211,0.917854,0.085911,0.384861,0.333168,107.265625,17.828655,0.057663,0.956482,-0.035941,0.28377,-2.4441,125.538589,20.117691,0.050907,0.977136,-0.132832,0.158019,0.453751,139.689117,18.034271,-0.052543,0.82978,0.212912,0.513198,-4.982965,120.018326,17.360302,0.1833,-0.622469,0.033395,-0.760143,-12.803271,122.214172,2.746436,0.1863,-0.12963,-0.625929,-0.746124,-7.346356,115.382614,-20.128263,0.481761,0.32444,-0.495986,-0.645479,-2.900933,136.920197,-30.502918,-0.141735,0.949711,0.212672,0.180919,0.241042,120.144272,22.693222,0.307014,0.877247,0.182408,-0.320792,15.194339,123.358795,29.446724,-0.114143,0.254969,0.471314,-0.836555,30.026447,113.03376,12.920915,-0.03457,0.12468,0.479905,-0.867727,19.883755,133.20845,5.320655,0.061439,0.840961,0.218994,0.490971,-1.727157,82.827835,8.010242,0.156242,0.92188,-0.149715,0.321421,2.411262,49.613014,-7.87078,0.006043,0.957874,0.012381,0.286859,-15.238896,7.987895,0.193807,-0.178305,0.849016,0.044194,0.495404,8.810486,83.216553,23.424194,0.051037,0.833526,-0.203331,0.511161,21.649651,48.668922,27.189142,-0.022555,0.841373,0.018228,0.539677,8.195484,6.77948,40.360157,0.006043,0.957874,0.012381,0.286859,-7.566526,2.204251,-11.66852,-0.022555,0.841373,0.018228,0.539677,21.253862,1.490694,34.48325
8,0.066667,-0.019358,0.885733,0.014441,0.463565,3.517463,83.119545,15.757892,-0.05164,0.909711,0.089046,0.402281,3.152373,90.767662,15.816353,-0.04461,0.919001,0.085311,0.382322,0.344932,107.361603,17.858635,0.0581,0.956935,-0.036559,0.28207,-2.397004,125.640404,20.143637,0.050117,0.977317,-0.132798,0.157178,0.511181,139.785812,18.03993,-0.052036,0.831175,0.212108,0.511323,-4.958046,120.120361,17.406393,0.183456,-0.622202,0.035219,-0.760242,-12.844367,122.300758,2.825722,0.187524,-0.130479,-0.624503,-0.746864,-7.377299,115.398766,-20.025406,0.483248,0.323229,-0.495074,-0.645676,-2.85472,136.897049,-30.46246,-0.140268,0.950377,0.212497,0.178755,0.295868,120.245506,22.709875,0.308229,0.876145,0.183061,-0.322265,15.289031,123.433014,29.387373,-0.112396,0.252682,0.471951,-0.837127,30.038155,113.095856,12.794997,-0.033545,0.122782,0.480061,-0.867952,19.87273,133.267471,5.246137,0.061533,0.842527,0.218394,0.488535,-1.800123,82.924355,8.084499,0.155131,0.922672,-0.147961,0.320496,2.264091,49.690952,-7.776803,0.006152,0.957956,0.012451,0.286577,-15.238957,7.986116,0.196045,-0.177054,0.85062,0.042135,0.493276,8.835049,83.314728,23.431284,0.050597,0.834428,-0.201899,0.510301,21.534388,48.721008,27.246922,-0.022587,0.841273,0.018183,0.539833,8.192963,6.774148,40.349739,0.006152,0.957956,0.012451,0.286577,-7.574505,2.203586,-11.671947,-0.022587,0.841273,0.018183,0.539833,21.253569,1.484844,34.478233
9,0.075,-0.018896,0.887316,0.013616,0.460574,3.495365,83.214203,15.800336,-0.05104,0.910977,0.088511,0.399602,3.142555,90.862946,15.85208,-0.044279,0.920141,0.084586,0.379771,0.367246,107.459496,17.894148,0.058258,0.957386,-0.037715,0.280349,-2.346872,125.743988,20.166824,0.049473,0.977524,-0.132386,0.156438,0.568072,139.882385,18.025688,-0.051892,0.832538,0.211586,0.509332,-4.927626,120.221985,17.452148,0.183773,-0.622065,0.036651,-0.76021,-12.88241,122.380981,2.905524,0.188995,-0.130958,-0.623016,-0.747651,-7.412018,115.417267,-19.926075,0.48504,0.322133,-0.494147,-0.645589,-2.805905,136.868774,-30.415176,-0.139217,0.951081,0.212151,0.176225,0.355749,120.350693,22.726192,0.309571,0.87526,0.181711,-0.32414,15.388762,123.528076,29.318375,-0.111048,0.250663,0.472684,-0.8375,30.03791,113.142136,12.667998,-0.032281,0.120727,0.480919,-0.867813,19.855345,133.327896,5.167483,0.062007,0.843683,0.217647,0.486809,-1.874186,83.018196,8.163239,0.15375,0.923172,-0.146381,0.320449,2.100197,49.76498,-7.679293,0.005888,0.958053,0.012493,0.286259,-15.245674,7.978237,0.20772,-0.17573,0.852347,0.040394,0.49091,8.864917,83.410217,23.437431,0.050055,0.835393,-0.201022,0.509119,21.432528,48.771225,27.278435,-0.022533,0.841509,0.01772,0.539483,8.191056,6.786907,40.362659,0.005888,0.958053,0.012493,0.286259,-7.585915,2.199013,-11.664909,-0.022533,0.841509,0.01772,0.539483,21.24369,1.485534,34.484322
