Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.004136,0.933729,-0.041099,0.35559,0.471021,86.562523,19.790613,-0.031555,0.946141,0.083281,0.311266,0.75396,94.193443,19.225458,-0.013475,0.954123,0.013621,0.298801,-1.136993,110.875298,21.563738,0.064666,0.970083,-0.068741,0.223679,-1.76749,129.485641,21.897844,0.034899,0.988707,-0.055456,0.134779,1.287384,143.398407,18.723175,0.05763,0.958746,-0.020376,0.277614,-5.271383,124.013725,20.380234,-0.518587,0.610777,-0.373897,0.46714,-19.302765,125.672165,11.440757,-0.59674,0.639016,-0.216665,0.434299,-19.932003,101.604424,6.9632,-0.630689,0.675426,-0.053669,0.378353,-17.832624,79.282806,0.003599,-0.025139,0.959156,-0.015176,0.281351,0.859021,124.144936,24.640179,0.659561,0.751163,0.02681,-0.003824,14.910475,125.094009,33.651291,0.609062,0.775774,0.164882,0.005698,18.092302,100.833702,32.644566,0.611405,0.732063,0.300446,0.000593,24.007738,79.125702,28.242636,0.086653,0.901212,0.142124,0.400136,-6.505088,86.36171,13.586633,0.092959,0.955177,-0.01356,0.280733,-8.077695,51.36673,1.526953,-0.028619,0.959921,0.061245,0.271996,-16.583145,6.251147,0.319607,-0.081519,0.914392,-0.065306,0.391123,7.447131,86.763344,25.994596,-0.009097,0.889879,-0.111784,0.442196,11.077688,50.523705,32.781761,-0.038768,0.874202,0.049327,0.481492,7.280996,5.752847,42.288177,-0.028619,0.959921,0.061245,0.271996,-8.782328,2.102003,-12.128794,-0.038768,0.874202,0.049327,0.481492,19.718674,1.461928,34.547184
1,0.008333,0.004214,0.933773,-0.041066,0.355478,0.46774,86.565414,19.795845,-0.03158,0.94613,0.083237,0.311307,0.751552,94.196365,19.23155,-0.013214,0.954105,0.013696,0.298868,-1.139757,110.877609,21.567968,0.064549,0.970091,-0.068901,0.223629,-1.761822,129.488129,21.907606,0.035384,0.988698,-0.055172,0.134836,1.290548,143.400223,18.727566,0.058001,0.958677,-0.020301,0.277781,-5.268011,124.018272,20.387896,-0.518421,0.610871,-0.373952,0.467158,-19.294857,125.689064,11.443615,-0.596715,0.638944,-0.216826,0.434359,-19.931715,101.62233,6.961744,-0.630727,0.675306,-0.053904,0.378471,-17.831284,79.299721,0.006107,-0.024962,0.959138,-0.015245,0.281424,0.861904,124.145416,24.648664,0.659651,0.751084,0.026845,-0.003617,14.912277,125.089493,33.66198,0.609113,0.775741,0.164823,0.006375,18.088369,100.828156,32.661621,0.611278,0.731816,0.301306,0.000419,23.997044,79.127243,28.287653,0.086604,0.901189,0.142256,0.400151,-6.509842,86.366264,13.593472,0.09297,0.955137,-0.013589,0.280866,-8.074967,51.373428,1.526601,-0.028508,0.959934,0.061088,0.271995,-16.581972,6.258112,0.32028,-0.081516,0.914395,-0.065261,0.391123,7.445321,86.764557,25.99822,-0.009075,0.889739,-0.111716,0.442494,11.076953,50.524437,32.782227,-0.038816,0.874084,0.049377,0.481698,7.277971,5.752164,42.281036,-0.028508,0.959934,0.061088,0.271995,-8.782576,2.103621,-12.12722,-0.038816,0.874084,0.049377,0.481698,19.719843,1.463283,34.545662
2,0.016667,0.004491,0.933797,-0.04117,0.355397,0.457637,86.562035,19.799276,-0.031457,0.94612,0.083189,0.311363,0.74593,94.192818,19.234972,-0.01296,0.954085,0.013741,0.29894,-1.141824,110.881172,21.571989,0.06488,0.970041,-0.069055,0.223701,-1.755408,129.491898,21.915993,0.035497,0.988689,-0.055004,0.13494,1.307393,143.401291,18.734211,0.058362,0.958656,-0.020376,0.277773,-5.263888,124.02401,20.394478,-0.518103,0.61077,-0.374259,0.467397,-19.289476,125.70565,11.450248,-0.59656,0.638847,-0.217053,0.434602,-19.931547,101.63958,6.965501,-0.630886,0.6751,-0.054274,0.37852,-17.829639,79.314407,0.008468,-0.025061,0.959105,-0.014757,0.281554,0.865481,124.147324,24.656147,0.659699,0.75103,0.027218,-0.003227,14.913243,125.090012,33.673687,0.609396,0.77546,0.165071,0.007041,18.086311,100.828194,32.675545,0.610434,0.73239,0.301618,0.001434,23.980478,79.11348,28.314781,0.086763,0.901098,0.142221,0.400333,-6.520975,86.367096,13.597925,0.092791,0.955101,-0.013554,0.281049,-8.095211,51.375557,1.528463,-0.02909,0.959936,0.060841,0.271982,-16.585476,6.257093,0.322106,-0.081648,0.914373,-0.065196,0.391159,7.436249,86.756981,26.000631,-0.009095,0.889745,-0.111737,0.442478,11.078396,50.517834,32.784184,-0.038809,0.874134,0.04958,0.481586,7.280406,5.746028,42.285587,-0.02909,0.959936,0.060841,0.271982,-8.781253,2.100435,-12.121649,-0.038809,0.874134,0.04958,0.481586,19.721083,1.4622,34.54549
3,0.025,0.004535,0.933804,-0.041202,0.355375,0.451738,86.565193,19.808071,-0.031351,0.946114,0.083075,0.311423,0.740829,94.19593,19.243546,-0.012755,0.954067,0.013765,0.299004,-1.142363,110.884392,21.577835,0.064952,0.970035,-0.069131,0.223681,-1.748939,129.4953,21.924942,0.035831,0.988685,-0.054851,0.134943,1.316221,143.403778,18.741463,0.058514,0.958601,-0.020311,0.277936,-5.259298,124.028992,20.40205,-0.517635,0.609986,-0.375103,0.468262,-19.28125,125.715866,11.453117,-0.595821,0.638939,-0.217649,0.435181,-19.907417,101.64846,6.973325,-0.630779,0.675139,-0.055141,0.378502,-17.823326,79.32589,0.006486,-0.024861,0.959082,-0.014774,0.281646,0.869579,124.149254,24.664509,0.659647,0.751066,0.027531,-0.00275,14.915928,125.085709,33.684879,0.609692,0.775279,0.164808,0.007571,18.092499,100.824043,32.694225,0.611358,0.731825,0.301117,0.00161,23.969006,79.102867,28.357946,0.086812,0.901113,0.142213,0.400293,-6.527153,86.370834,13.60702,0.092703,0.955109,-0.013444,0.281055,-8.105411,51.379757,1.536738,-0.029234,0.959946,0.060775,0.271947,-16.585192,6.259513,0.323012,-0.08168,0.914379,-0.065072,0.391159,7.430629,86.759552,26.009125,-0.009081,0.889767,-0.111731,0.442435,11.078588,50.519596,32.785255,-0.038712,0.874118,0.04967,0.481614,7.280137,5.747625,42.285706,-0.029234,0.959946,0.060775,0.271947,-8.78059,2.102156,-12.120269,-0.038712,0.874118,0.04967,0.481614,19.720816,1.464726,34.545101
4,0.033333,0.004335,0.933831,-0.040949,0.355338,0.457108,86.571838,19.812494,-0.031352,0.946097,0.083056,0.311478,0.741936,94.202927,19.250479,-0.012596,0.954045,0.013907,0.299077,-1.141104,110.890259,21.583881,0.064624,0.970023,-0.069803,0.22362,-1.743644,129.50116,21.937761,0.036373,0.988665,-0.054474,0.135099,1.316182,143.406036,18.733444,0.058861,0.958494,-0.02078,0.278196,-5.254982,124.036194,20.412344,-0.517272,0.609975,-0.375428,0.468417,-19.270739,125.729439,11.454916,-0.595673,0.638911,-0.218008,0.435246,-19.908224,101.662872,6.972293,-0.631034,0.674778,-0.05535,0.378691,-17.829386,79.333649,0.011384,-0.024915,0.959102,-0.014478,0.281591,0.873303,124.153534,24.675739,0.659809,0.750923,0.02758,-0.002522,14.920608,125.088943,33.694736,0.610123,0.77489,0.165001,0.008392,18.086821,100.825653,32.710705,0.61032,0.732467,0.301649,0.00316,23.941193,79.084366,28.392935,0.086829,0.901156,0.142248,0.400181,-6.522317,86.375694,13.612101,0.092691,0.955103,-0.013412,0.281081,-8.102142,51.385571,1.539289,-0.028299,0.959966,0.061084,0.271906,-16.580061,6.265053,0.322828,-0.081575,0.914385,-0.065097,0.391164,7.436533,86.767975,26.012888,-0.009074,0.889771,-0.111694,0.442437,11.076702,50.526993,32.787697,-0.038578,0.874123,0.049571,0.481626,7.279198,5.754271,42.284977,-0.028299,0.959966,0.061084,0.271906,-8.784973,2.108695,-12.126747,-0.038578,0.874123,0.049571,0.481626,19.718546,1.466919,34.544708
5,0.041667,0.004634,0.933846,-0.04111,0.355275,0.44669,86.569412,19.818254,-0.031191,0.946089,0.083057,0.311518,0.736631,94.200256,19.255545,-0.012378,0.954032,0.013901,0.299127,-1.141954,110.893127,21.591354,0.06484,0.970008,-0.069771,0.223634,-1.7367,129.504257,21.947405,0.036533,0.988661,-0.05447,0.135088,1.328995,143.408386,18.745461,0.059107,0.958419,-0.020585,0.278418,-5.250187,124.040939,20.42099,-0.516923,0.609955,-0.375749,0.46857,-19.260845,125.743591,11.457371,-0.595449,0.638655,-0.218359,0.435751,-19.908962,101.67775,6.972326,-0.630894,0.674645,-0.056252,0.379028,-17.822063,79.350815,0.009256,-0.024059,0.959036,-0.015163,0.281852,0.877729,124.15519,24.684998,0.659749,0.75097,0.027744,-0.002335,14.921519,125.069641,33.711613,0.61033,0.77481,0.164593,0.008659,18.09164,100.806793,32.729237,0.611192,0.731982,0.301061,0.002993,23.929731,79.075089,28.434042,0.086694,0.901149,0.142338,0.400193,-6.533519,86.377457,13.618609,0.092894,0.954898,-0.013378,0.281712,-8.101509,51.387493,1.543773,-0.028355,0.959838,0.060866,0.272401,-16.59536,6.270343,0.31341,-0.081749,0.914408,-0.064978,0.391092,7.426899,86.76136,26.017899,-0.009009,0.889802,-0.111714,0.442371,11.082733,50.521339,32.789394,-0.038928,0.874127,0.049592,0.481589,7.279806,5.748901,42.285854,-0.028355,0.959838,0.060866,0.272401,-8.787609,2.108434,-12.126374,-0.038928,0.874127,0.049592,0.481589,19.721594,1.467111,34.546425
6,0.05,0.004709,0.933843,-0.041058,0.355288,0.442813,86.570587,19.824024,-0.031012,0.946057,0.08303,0.311642,0.733545,94.201485,19.262474,-0.012239,0.953988,0.013899,0.299274,-1.139616,110.897659,21.599466,0.065873,0.969926,-0.069343,0.223823,-1.729474,129.508896,21.956924,0.036208,0.988678,-0.054742,0.134937,1.363124,143.411499,18.774286,0.059251,0.958392,-0.020631,0.278476,-5.243967,124.046669,20.428982,-0.516641,0.610054,-0.37578,0.468728,-19.252964,125.753426,11.463549,-0.595295,0.638693,-0.218712,0.43573,-19.908085,101.689896,6.967132,-0.631115,0.674269,-0.056556,0.379285,-17.830553,79.358047,0.011763,-0.023714,0.959007,-0.015258,0.281977,0.882692,124.158905,24.694851,0.659728,0.750982,0.027953,-0.002068,14.92468,125.063232,33.725292,0.61064,0.774636,0.164243,0.009117,18.096233,100.800446,32.74601,0.612153,0.731548,0.300155,0.003703,23.916471,79.06002,28.474579,0.086735,0.901168,0.142304,0.400154,-6.53721,86.380272,13.624122,0.092669,0.955116,-0.013295,0.28105,-8.109499,51.39011,1.550405,-0.029133,0.95998,0.06056,0.271886,-16.582527,6.268928,0.324533,-0.081764,0.914401,-0.064842,0.391127,7.422835,86.760895,26.02393,-0.009011,0.889739,-0.111729,0.442492,11.083417,50.519741,32.786808,-0.038832,0.874093,0.049596,0.481658,7.278718,5.747628,42.284084,-0.029133,0.95998,0.06056,0.271886,-8.78088,2.104636,-12.118281,-0.038832,0.874093,0.049596,0.481658,19.720898,1.464569,34.545982
7,0.058333,0.004741,0.933842,-0.041046,0.355291,0.439685,86.571907,19.830111,-0.030848,0.946024,0.083014,0.311763,0.730816,94.20282,19.268911,-0.012143,0.953942,0.013912,0.299423,-1.137209,110.899208,21.606897,0.065957,0.96988,-0.06974,0.223873,-1.723833,129.510529,21.965807,0.036481,0.98867,-0.054542,0.135007,1.373735,143.409698,18.77306,0.059671,0.958276,-0.021056,0.278754,-5.238834,124.049057,20.436296,-0.516491,0.610908,-0.375388,0.468095,-19.240992,125.764885,11.461908,-0.595701,0.638175,-0.218721,0.435929,-19.932795,101.70488,6.95213,-0.630942,0.67414,-0.057372,0.379679,-17.825111,79.380753,0.008191,-0.023598,0.958966,-0.015272,0.282122,0.886524,124.159828,24.704071,0.659759,0.750952,0.028026,-0.001852,14.925949,125.060631,33.738846,0.610862,0.77451,0.163981,0.009574,18.095505,100.797363,32.765137,0.612482,0.731395,0.299852,0.004111,23.902712,79.049858,28.515669,0.086677,0.901206,0.142348,0.400065,-6.540293,86.38224,13.630134,0.092631,0.955158,-0.013217,0.280924,-8.108563,51.392281,1.555318,-0.028369,0.959999,0.060851,0.271835,-16.576488,6.270266,0.324652,-0.081802,0.914384,-0.064719,0.391179,7.419662,86.761574,26.030087,-0.009024,0.889754,-0.111791,0.442448,11.086033,50.519699,32.785973,-0.038881,0.87417,0.049531,0.481519,7.28039,5.748865,42.28891,-0.028369,0.959999,0.060851,0.271835,-8.782985,2.107874,-12.123903,-0.038881,0.87417,0.049531,0.481519,19.720327,1.464813,34.547752
8,0.066667,0.004792,0.933841,-0.040948,0.355303,0.436454,86.572426,19.834528,-0.030767,0.946,0.082967,0.311855,0.727782,94.203445,19.275007,-0.011884,0.953915,0.013969,0.299516,-1.137657,110.90274,21.612486,0.06608,0.969879,-0.069758,0.223833,-1.715748,129.514236,21.976236,0.036685,0.988678,-0.054534,0.134891,1.385123,143.412704,18.783644,0.059779,0.958219,-0.021061,0.278924,-5.232987,124.054787,20.444622,-0.515921,0.610309,-0.376043,0.468978,-19.231533,125.773773,11.465218,-0.595028,0.638166,-0.219474,0.436483,-19.911627,101.714668,6.948854,-0.630771,0.674036,-0.058242,0.380016,-17.819483,79.396385,0.004658,-0.023332,0.958949,-0.015136,0.282212,0.891629,124.161591,24.71356,0.659813,0.750902,0.028106,-0.001588,14.929777,125.052597,33.751286,0.611087,0.77441,0.163588,0.010023,18.095869,100.788589,32.784599,0.612831,0.73132,0.299315,0.004421,23.888641,79.038223,28.561419,0.086686,0.901185,0.14231,0.400123,-6.543347,86.384285,13.634311,0.092832,0.95489,-0.013176,0.281769,-8.112589,51.393639,1.561611,-0.02913,0.959859,0.060389,0.272353,-16.595789,6.274944,0.31469,-0.081877,0.914405,-0.064635,0.391129,7.416256,86.760567,26.034746,-0.008943,0.88977,-0.111791,0.442417,11.090565,50.518799,32.78688,-0.039106,0.874138,0.049497,0.481564,7.278608,5.74784,42.286716,-0.02913,0.959859,0.060389,0.272353,-8.782671,2.105951,-12.119349,-0.039106,0.874138,0.049497,0.481564,19.721123,1.466154,34.548401
9,0.075,0.004845,0.933825,-0.040868,0.355356,0.432868,86.57254,19.839188,-0.030487,0.945968,0.0829,0.311999,0.724554,94.203651,19.281113,-0.011866,0.953863,0.01394,0.299684,-1.131529,110.903465,21.619133,0.067095,0.969832,-0.069024,0.223964,-1.708713,129.514999,21.98197,0.036414,0.988715,-0.054933,0.13453,1.41642,143.414307,18.816736,0.059689,0.958205,-0.021118,0.278989,-5.225721,124.055695,20.449333,-0.515643,0.610484,-0.376054,0.469047,-19.223438,125.771202,11.467953,-0.594976,0.63836,-0.219736,0.436138,-19.914379,101.71447,6.94063,-0.631044,0.673785,-0.05797,0.380048,-17.839218,79.389885,0.00938,-0.023203,0.958855,-0.015363,0.282529,0.897407,124.162331,24.720413,0.659657,0.751026,0.028487,-0.001271,14.929782,125.051437,33.7673,0.611523,0.774113,0.163341,0.010435,18.106026,100.788788,32.80019,0.611476,0.732699,0.298702,0.00519,23.875696,79.021866,28.593904,0.086673,0.901184,0.142327,0.400123,-6.546229,86.385811,13.638128,0.092813,0.95491,-0.013141,0.281707,-8.114086,51.395344,1.564734,-0.029096,0.95987,0.060366,0.27232,-16.59483,6.276247,0.315727,-0.082063,0.914413,-0.064649,0.39107,7.411964,86.75927,26.040251,-0.008779,0.88999,-0.111757,0.441985,11.098735,50.519897,32.798447,-0.038929,0.87417,0.049519,0.481518,7.279396,5.747971,42.290737,-0.029096,0.95987,0.060366,0.27232,-8.782916,2.106308,-12.118754,-0.038929,0.87417,0.049519,0.481518,19.719675,1.464291,34.549915
