Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.023935,0.913721,-0.063088,0.4007,1.430331,87.17028,17.209986,-0.032243,0.928385,0.053421,0.366343,2.152372,94.757607,16.474081,-0.008166,0.934397,-0.002103,0.356135,0.504568,111.27092,17.731737,0.095882,0.945905,-0.116759,0.287121,0.248235,129.892288,17.550228,0.132855,0.953615,-0.175894,0.205012,4.816666,143.18988,13.641387,0.03856,0.926188,-0.005566,0.375045,-3.165958,124.450447,15.746924,-0.489876,0.573607,-0.402642,0.518533,-15.132314,125.57489,4.124262,-0.589519,0.591797,-0.273784,0.476745,-14.698629,101.586685,-0.782765,-0.656509,0.608884,-0.126057,0.427043,-11.164586,78.94236,-6.485642,-0.019559,0.942998,-0.008965,0.332104,2.405445,124.575569,20.71583,0.644053,0.76372,0.030274,0.031799,15.424137,125.291862,31.182199,0.597294,0.779816,0.183015,0.040404,19.547306,101.153816,31.416687,0.586488,0.741645,0.320945,0.054677,26.059225,79.394569,27.83873,0.083438,0.889971,0.110209,0.434562,-4.898252,87.106598,10.34407,0.088346,0.952283,-0.038163,0.289647,-6.851755,51.474369,0.389882,-0.030493,0.958306,0.054665,0.278802,-15.594627,6.398845,1.377607,-0.075577,0.891989,-0.073198,0.439643,7.758914,87.233963,24.075901,-0.015702,0.873406,-0.106344,0.474981,10.369505,51.006138,31.375725,-0.030292,0.863375,0.037243,0.502274,6.989574,6.141341,40.592133,-0.030493,0.958306,0.054665,0.278802,-7.616965,2.082474,-10.900693,-0.030292,0.863375,0.037243,0.502274,19.650654,1.426698,33.485786
1,0.008333,0.024149,0.913657,-0.063424,0.400781,1.432184,87.168427,17.206476,-0.031783,0.928397,0.053064,0.366407,2.159346,94.754944,16.467281,-0.008167,0.934382,-0.002434,0.356171,0.530372,111.266518,17.71916,0.096622,0.945585,-0.120901,0.28621,0.278413,129.887833,17.526114,0.128072,0.95627,-0.164649,0.205028,4.892069,143.137848,13.510286,0.038802,0.926271,-0.006052,0.374806,-3.136901,124.445679,15.725888,-0.489769,0.573622,-0.402807,0.518489,-15.108603,125.571655,4.108888,-0.589548,0.591767,-0.274017,0.476612,-14.682287,101.582787,-0.795471,-0.656334,0.609131,-0.126121,0.426941,-11.152514,78.934357,-6.487264,-0.019458,0.943032,-0.009208,0.332004,2.434113,124.572563,20.695183,0.644433,0.763408,0.030219,0.031641,15.455135,125.288406,31.158676,0.597596,0.77957,0.183186,0.039909,19.554823,101.146317,31.387943,0.586403,0.741715,0.321,0.054305,26.052942,79.383614,27.783978,0.083537,0.88988,0.110043,0.434771,-4.894998,87.105766,10.339263,0.088275,0.952067,-0.038181,0.290374,-6.858136,51.472061,0.392274,-0.03035,0.958301,0.054765,0.278817,-15.596098,6.395519,1.376784,-0.075622,0.892016,-0.073203,0.439579,7.759366,87.231079,24.07369,-0.015655,0.873532,-0.106388,0.47474,10.373324,51.00383,31.375134,-0.030289,0.863456,0.03727,0.502133,6.990299,6.139767,40.59396,-0.03035,0.958301,0.054765,0.278817,-7.619282,2.080727,-10.902618,-0.030289,0.863456,0.03727,0.502133,19.649181,1.42573,33.483315
2,0.016667,0.024363,0.913622,-0.063665,0.400808,1.43817,87.167526,17.200686,-0.031583,0.928411,0.05269,0.366443,2.169822,94.753418,16.459465,-0.00803,0.934375,-0.002743,0.356189,0.551739,111.264565,17.70203,0.097286,0.945264,-0.124432,0.285532,0.308641,129.885895,17.500017,0.123322,0.958625,-0.153835,0.205339,4.962077,143.09433,13.394075,0.03902,0.926259,-0.006343,0.374808,-3.109182,124.444496,15.702259,-0.489917,0.574481,-0.40246,0.517666,-15.080273,125.573578,4.08493,-0.590162,0.591269,-0.274073,0.476439,-14.688593,101.584938,-0.823458,-0.655957,0.609298,-0.126597,0.427142,-11.132151,78.932381,-6.490134,-0.019118,0.94304,-0.009624,0.331991,2.461675,124.571136,20.671738,0.644685,0.763196,0.030273,0.031582,15.483435,125.280846,31.134733,0.598123,0.77905,0.183716,0.039728,19.5674,101.136055,31.359404,0.585693,0.742026,0.321479,0.054877,26.037819,79.367134,27.728662,0.083652,0.889761,0.109835,0.435044,-4.888408,87.106667,10.3329,0.088248,0.952087,-0.038106,0.290328,-6.862888,51.470993,0.395162,-0.030499,0.958306,0.054751,0.278785,-15.596467,6.393483,1.374244,-0.075528,0.892001,-0.073518,0.439573,7.764748,87.228386,24.068472,-0.01565,0.873669,-0.106226,0.474525,10.362167,51.003498,31.387524,-0.030639,0.863494,0.036959,0.502069,6.988099,6.136248,40.59412,-0.030499,0.958306,0.054751,0.278785,-7.61901,2.07958,-10.905053,-0.030639,0.863494,0.036959,0.502069,19.647631,1.419578,33.486378
3,0.025,0.024565,0.913578,-0.063888,0.400862,1.443105,87.167374,17.195625,-0.031401,0.928433,0.052342,0.36645,2.178975,94.752678,16.452597,-0.007928,0.934384,-0.003109,0.356166,0.570868,111.264038,17.686554,0.097029,0.944957,-0.128702,0.284742,0.336178,129.885361,17.473164,0.118746,0.960805,-0.142452,0.20606,5.009524,143.049576,13.249546,0.038751,0.925915,-0.005863,0.375693,-3.084179,124.444405,15.678878,-0.489409,0.573146,-0.404333,0.518167,-15.033751,125.570549,4.039135,-0.589351,0.591621,-0.274495,0.476762,-14.641023,101.570808,-0.814611,-0.65491,0.611045,-0.126449,0.426295,-11.11711,78.929581,-6.49399,-0.018762,0.943119,-0.010012,0.331773,2.486943,124.571564,20.648045,0.645021,0.762933,0.029843,0.031473,15.513981,125.274345,31.104931,0.598485,0.778757,0.183921,0.039072,19.57703,101.126114,31.338173,0.586096,0.741652,0.321686,0.054433,26.030094,79.357002,27.674616,0.083656,0.8897,0.109762,0.435186,-4.88248,87.108192,10.32691,0.088586,0.951902,-0.038102,0.290832,-6.858012,51.47139,0.393474,-0.030626,0.958103,0.054517,0.279516,-15.621289,6.399333,1.358432,-0.075539,0.8921,-0.07338,0.439394,7.768689,87.226547,24.064341,-0.015656,0.873544,-0.106398,0.474716,10.372834,51.000275,31.374174,-0.030343,0.863457,0.037267,0.502129,6.989625,6.136408,40.593903,-0.030626,0.958103,0.054517,0.279516,-7.624704,2.080213,-10.90658,-0.030343,0.863457,0.037267,0.502129,19.648905,1.423085,33.483498
4,0.033333,0.024711,0.913557,-0.064115,0.400864,1.449484,87.167587,17.192589,-0.031149,0.928461,0.051944,0.366457,2.188789,94.752335,16.447298,-0.007776,0.934388,-0.003457,0.356156,0.593588,111.262253,17.671829,0.098153,0.944571,-0.131464,0.284374,0.368819,129.883575,17.44836,0.113461,0.962856,-0.132007,0.206422,5.089919,143.010025,13.160786,0.038944,0.925985,-0.006169,0.375497,-3.054467,124.443474,15.657075,-0.489675,0.573538,-0.403888,0.517829,-15.008479,125.571869,4.02211,-0.589534,0.591667,-0.274769,0.476322,-14.620163,101.57325,-0.837491,-0.654751,0.610679,-0.125766,0.427264,-11.101389,78.896103,-6.502833,-0.01857,0.943233,-0.010151,0.331456,2.516804,124.570343,20.62608,0.645552,0.762511,0.029373,0.031251,15.551114,125.268578,31.074207,0.598598,0.778633,0.184206,0.038471,19.581274,101.114868,31.312605,0.586032,0.741559,0.32205,0.054228,26.031586,79.345284,27.617741,0.08372,0.889655,0.109653,0.435293,-4.875933,87.109192,10.323713,0.088335,0.952222,-0.038092,0.28986,-6.858064,51.471413,0.395094,-0.030425,0.958305,0.054711,0.278805,-15.598323,6.395209,1.374885,-0.07553,0.892111,-0.073415,0.439367,7.774902,87.225983,24.061464,-0.015604,0.873555,-0.106428,0.474691,10.377577,51.0,31.37323,-0.030429,0.863458,0.037194,0.502127,6.989153,6.136572,40.593178,-0.030425,0.958305,0.054711,0.278805,-7.62118,2.079537,-10.903994,-0.030429,0.863458,0.037194,0.502127,19.64883,1.422688,33.483852
5,0.041667,0.024863,0.913507,-0.064287,0.400941,1.458359,87.166824,17.187599,-0.03076,0.928501,0.051534,0.366448,2.20091,94.751122,16.44092,-0.007721,0.934409,-0.00387,0.356098,0.62317,111.258614,17.657242,0.099045,0.944245,-0.133454,0.284222,0.405772,129.879852,17.420128,0.108167,0.96463,-0.122298,0.206961,5.164056,142.97821,13.087952,0.039552,0.926286,-0.00703,0.374674,-3.019882,124.439796,15.633234,-0.490114,0.575226,-0.402488,0.51663,-14.992934,125.57682,4.018707,-0.590681,0.591111,-0.27436,0.475826,-14.644294,101.58448,-0.874841,-0.654098,0.611503,-0.126635,0.426829,-11.082763,78.899734,-6.511982,-0.018331,0.943301,-0.010553,0.331263,2.552015,124.568115,20.6015,0.645966,0.76217,0.029109,0.031267,15.590888,125.263214,31.044132,0.598835,0.778428,0.184398,0.037987,19.594835,101.105225,31.290363,0.58715,0.740602,0.322344,0.053456,26.032671,79.340233,27.571136,0.083834,0.889622,0.10949,0.43538,-4.865775,87.109634,10.317533,0.088273,0.951994,-0.038176,0.290617,-6.859737,51.470612,0.395755,-0.030437,0.958321,0.054745,0.278743,-15.597674,6.394005,1.377607,-0.07552,0.892166,-0.073485,0.439246,7.782492,87.224022,24.057667,-0.015554,0.873608,-0.106414,0.474598,10.383178,50.998688,31.373383,-0.029338,0.863298,0.038154,0.502394,6.992367,6.13485,40.590443,-0.030437,0.958321,0.054745,0.278743,-7.621879,2.079385,-10.902514,-0.029338,0.863298,0.038154,0.502394,19.65111,1.428984,33.47414
6,0.05,0.024683,0.913509,-0.064292,0.400947,1.474704,87.169449,17.182547,-0.030713,0.928571,0.051096,0.366335,2.214767,94.753876,16.434683,-0.007407,0.934473,-0.004257,0.355931,0.644406,111.258026,17.63793,0.099677,0.943885,-0.135916,0.28403,0.443025,129.879333,17.391548,0.102963,0.966195,-0.112617,0.207807,5.234736,142.94574,13.00021,0.039721,0.926338,-0.007521,0.374518,-2.987955,124.441353,15.608579,-0.489797,0.573319,-0.403789,0.518034,-14.964458,125.577545,3.997528,-0.58917,0.591851,-0.275221,0.476282,-14.559895,101.579216,-0.862214,-0.654165,0.611253,-0.126972,0.426985,-11.059661,78.874825,-6.528363,-0.018275,0.943407,-0.011065,0.330948,2.585785,124.567329,20.574837,0.646396,0.76183,0.028646,0.031091,15.631713,125.266304,31.008402,0.59904,0.778326,0.184253,0.037562,19.608992,101.103989,31.261578,0.587597,0.740211,0.322577,0.052555,26.036163,79.341316,27.529705,0.083992,0.88965,0.109357,0.435327,-4.849499,87.109131,10.312569,0.088306,0.952165,-0.038123,0.290052,-6.858818,51.469929,0.394515,-0.03062,0.958323,0.05469,0.278725,-15.597597,6.393477,1.376042,-0.07533,0.892219,-0.073631,0.439146,7.798906,87.229767,24.052525,-0.015535,0.873672,-0.106475,0.474467,10.383068,51.003899,31.371393,-0.030194,0.863429,0.037168,0.502192,6.989508,6.14118,40.592903,-0.03062,0.958323,0.05469,0.278725,-7.620561,2.078851,-10.903275,-0.030194,0.863429,0.037168,0.502192,19.648031,1.423192,33.484241
7,0.058333,0.024769,0.913505,-0.06455,0.400909,1.485199,87.16745,17.179199,-0.030536,0.928702,0.050584,0.366089,2.228016,94.751297,16.428247,-0.006981,0.934606,-0.004699,0.355584,0.669541,111.258385,17.618374,0.098965,0.943827,-0.138189,0.283372,0.488771,129.879776,17.362324,0.098507,0.96761,-0.103011,0.208366,5.274084,142.925247,12.902288,0.039924,0.926322,-0.007911,0.374528,-2.949587,124.444672,15.584734,-0.490171,0.574885,-0.403226,0.51638,-14.925305,125.582275,3.973003,-0.590227,0.59125,-0.274628,0.476062,-14.586565,101.582787,-0.886037,-0.655082,0.610261,-0.127949,0.426706,-11.037001,78.880043,-6.53575,-0.0181,0.943481,-0.011619,0.330729,2.627933,124.567055,20.546841,0.6469,0.76142,0.028257,0.031001,15.678932,125.266602,30.974033,0.59921,0.778211,0.184301,0.036986,19.624516,101.099159,31.234859,0.587623,0.740266,0.322455,0.052232,26.045111,79.335587,27.478916,0.08409,0.889722,0.109239,0.435191,-4.839494,87.10672,10.309674,0.088402,0.951958,-0.038153,0.290698,-6.860596,51.466824,0.396524,-0.0313,0.958278,0.054295,0.278884,-15.609217,6.392148,1.372157,-0.075254,0.892375,-0.07377,0.438819,7.809892,87.228188,24.048723,-0.015466,0.873798,-0.106491,0.474234,10.387174,51.002979,31.373346,-0.030312,0.863478,0.037063,0.502109,6.989764,6.140378,40.594013,-0.0313,0.958278,0.054295,0.278884,-7.622318,2.072276,-10.898905,-0.030312,0.863478,0.037063,0.502109,19.647507,1.421473,33.484566
8,0.066667,0.024863,0.913516,-0.064751,0.400847,1.49282,87.167946,17.173243,-0.030039,0.928749,0.050102,0.366077,2.238132,94.75132,16.420021,-0.006927,0.934609,-0.005255,0.35557,0.701292,111.256233,17.601082,0.099858,0.943509,-0.139287,0.283582,0.529723,129.877441,17.326408,0.09302,0.968903,-0.094074,0.209105,5.347887,142.904236,12.847177,0.039943,0.926331,-0.008093,0.374501,-2.911357,124.442268,15.554328,-0.489923,0.574616,-0.40401,0.516302,-14.887714,125.578186,3.943099,-0.589878,0.591101,-0.274649,0.476667,-14.564812,101.57386,-0.89303,-0.65373,0.611427,-0.127813,0.42715,-11.009493,78.889656,-6.55703,-0.017925,0.943532,-0.011908,0.330582,2.666324,124.566856,20.516195,0.64724,0.761156,0.027773,0.030811,15.720781,125.264023,30.939209,0.599367,0.778188,0.184023,0.036295,19.645378,101.093254,31.207407,0.588964,0.739472,0.321976,0.051332,26.058552,79.334602,27.43367,0.084069,0.889788,0.109159,0.43508,-4.83271,87.107391,10.30449,0.088632,0.951719,-0.038145,0.291411,-6.856361,51.465927,0.397486,-0.030418,0.9581,0.054636,0.279524,-15.625379,6.394932,1.359625,-0.075173,0.8924,-0.073874,0.438763,7.818349,87.228493,24.041996,-0.015452,0.87388,-0.106537,0.474073,10.387365,51.00354,31.370752,-0.030672,0.863551,0.036634,0.501993,6.988559,6.141803,40.595112,-0.030418,0.9581,0.054636,0.279524,-7.630389,2.07738,-10.906979,-0.030672,0.863551,0.036634,0.501993,19.645649,1.417436,33.488136
9,0.075,0.024954,0.913557,-0.065093,0.400692,1.497675,87.169075,17.17127,-0.029601,0.928809,0.049535,0.36604,2.246216,94.751701,16.413727,-0.006782,0.934617,-0.005754,0.355546,0.729661,111.260948,17.58283,0.099101,0.943059,-0.142783,0.283606,0.569758,129.882019,17.292686,0.088451,0.969863,-0.083756,0.211013,5.393466,142.873352,12.717419,0.040041,0.926388,-0.008479,0.374339,-2.874805,124.447548,15.525268,-0.490046,0.574718,-0.404136,0.515974,-14.854942,125.581802,3.91777,-0.59002,0.591007,-0.275188,0.476297,-14.542772,101.574883,-0.906251,-0.658807,0.60472,-0.127621,0.428954,-10.993499,78.864906,-6.545126,-0.017574,0.943688,-0.01211,0.330147,2.703163,124.572754,20.486799,0.647588,0.760872,0.027491,0.03079,15.767652,125.261017,30.897831,0.599664,0.777974,0.184044,0.035886,19.670303,101.086784,31.173286,0.589061,0.739423,0.32197,0.050957,26.06793,79.328804,27.381807,0.084093,0.889836,0.109128,0.434985,-4.830094,87.107727,10.304585,0.088633,0.951778,-0.038118,0.291221,-6.857355,51.466053,0.399055,-0.03023,0.958217,0.054279,0.279213,-15.625532,6.394884,1.360622,-0.075073,0.892492,-0.074029,0.438568,7.825445,87.230423,24.037954,-0.015449,0.873958,-0.106495,0.473939,10.384391,51.006062,31.373129,-0.030138,0.863498,0.036919,0.502095,6.988609,6.143493,40.594547,-0.03023,0.958217,0.054279,0.279213,-7.64095,2.065598,-10.908628,-0.030138,0.863498,0.036919,0.502095,19.643902,1.418424,33.484833
