Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.014259,0.926978,-0.049408,0.371574,0.40951,87.036049,20.517916,-0.009814,0.939062,0.07584,0.335135,0.893073,94.652603,19.897669,-0.005803,0.945939,0.00566,0.324244,-0.271306,111.266518,22.181513,0.089099,0.965489,-0.095434,0.225357,-0.544121,129.888092,22.31086,0.073932,0.982916,-0.131392,0.105572,3.349554,143.449188,18.581026,0.041571,0.944048,-0.005563,0.327131,-4.071489,124.470673,20.658094,-0.501707,0.577362,-0.374632,0.524018,-17.1548,125.722137,10.323455,-0.59638,0.609095,-0.2462,0.461216,-15.86646,101.920021,4.710984,-0.661267,0.630311,-0.09379,0.395775,-12.58581,79.047653,-1.721615,-0.015465,0.95201,-0.019432,0.305057,1.82441,124.525238,25.238657,0.64952,0.757717,0.056471,0.028274,15.424145,125.215782,34.939911,0.612671,0.76823,0.161147,0.092127,19.21129,101.03315,34.192722,0.527834,0.782953,0.318896,0.081737,24.548128,78.723923,32.908188,0.081135,0.897751,0.135255,0.411298,-6.34605,86.940041,14.072069,0.083483,0.955457,-0.005616,0.28302,-7.621156,51.735275,2.602267,-0.023371,0.956305,0.054493,0.286296,-15.093684,6.452126,0.924862,-0.079247,0.91173,-0.060801,0.398461,7.16507,87.132057,26.963762,-0.01055,0.89714,-0.100343,0.430069,10.723567,50.823257,33.410927,-0.033848,0.881696,0.048507,0.468096,7.629072,5.832115,42.096409,-0.023371,0.956305,0.054493,0.286296,-6.998939,2.072467,-11.253983,-0.033848,0.881696,0.048507,0.468096,19.782713,1.446913,33.966854
1,0.008333,0.014289,0.926839,-0.049659,0.371886,0.399796,87.037186,20.503462,-0.009904,0.938976,0.076344,0.335259,0.885425,94.653343,19.879988,-0.006025,0.945905,0.005896,0.324334,-0.287261,111.257568,22.177515,0.089166,0.965462,-0.094995,0.225627,-0.570768,129.878937,22.312468,0.073151,0.982985,-0.131134,0.105801,3.323665,143.443542,18.596226,0.041239,0.94408,-0.005176,0.327085,-4.094715,124.460007,20.657377,-0.502207,0.577419,-0.373775,0.524088,-17.179935,125.705276,10.324405,-0.596919,0.609353,-0.245227,0.460696,-15.863444,101.908325,4.696618,-0.661497,0.630851,-0.092334,0.394871,-12.573803,79.032608,-1.750186,-0.015933,0.951946,-0.019265,0.305245,1.800273,124.516556,25.23909,0.649396,0.757809,0.056885,0.02783,15.395681,125.220398,34.945454,0.61319,0.767872,0.161294,0.091408,19.191919,101.040115,34.169132,0.529327,0.782002,0.319054,0.080564,24.50581,78.72654,32.849689,0.081188,0.897669,0.135185,0.411489,-6.351414,86.939629,14.053082,0.083403,0.955391,-0.005803,0.283264,-7.629742,51.734085,2.586015,-0.024538,0.956311,0.05393,0.286284,-15.099801,6.449908,0.925259,-0.079104,0.911799,-0.061075,0.398291,7.151006,87.13475,26.95384,-0.010836,0.897115,-0.100159,0.430158,10.692895,50.82674,33.414604,-0.033795,0.881679,0.048467,0.468137,7.628392,5.832773,42.096085,-0.024538,0.956311,0.05393,0.286284,-6.995132,2.064484,-11.244912,-0.033795,0.881679,0.048467,0.468137,19.782139,1.445812,33.967636
2,0.016667,0.014371,0.926787,-0.049731,0.372004,0.390293,87.037849,20.487692,-0.010004,0.938905,0.076771,0.335355,0.87758,94.653862,19.863731,-0.006317,0.945859,0.00632,0.324454,-0.302994,111.251328,22.172741,0.088891,0.96545,-0.094958,0.225806,-0.601916,129.872375,22.319054,0.072532,0.983069,-0.130624,0.106073,3.28578,143.438934,18.602831,0.041061,0.944078,-0.006163,0.327098,-4.120967,124.451569,20.659739,-0.502675,0.577406,-0.3729,0.524277,-17.206404,125.68042,10.325068,-0.597233,0.6096,-0.245174,0.459989,-15.857175,101.889565,4.679267,-0.663917,0.627772,-0.090715,0.39609,-12.573632,78.957108,-1.764199,-0.016165,0.9519,-0.019004,0.305392,1.77281,124.510155,25.242985,0.649444,0.757771,0.057143,0.027208,15.364978,125.218758,34.953545,0.613467,0.767781,0.161173,0.090515,19.159859,101.039291,34.145729,0.5309,0.781181,0.31879,0.079213,24.464489,78.730232,32.796051,0.081155,0.897583,0.135168,0.411688,-6.359242,86.941093,14.035547,0.083316,0.955306,-0.005969,0.283574,-7.633404,51.734818,2.570256,-0.024204,0.956292,0.053974,0.286369,-15.099612,6.449476,0.923892,-0.079007,0.911891,-0.061346,0.398058,7.13983,87.134605,26.939837,-0.011071,0.897048,-0.100011,0.430326,10.668765,50.827915,33.415081,-0.033729,0.881673,0.048505,0.468147,7.627878,5.831683,42.093132,-0.024204,0.956292,0.053974,0.286369,-6.996002,2.062432,-11.246406,-0.033729,0.881673,0.048505,0.468147,19.781387,1.4448,33.964287
3,0.025,0.01443,0.926699,-0.049777,0.372213,0.378759,87.037918,20.471815,-0.009648,0.938849,0.077119,0.335444,0.867279,94.653839,19.84766,-0.006948,0.94582,0.00665,0.324548,-0.30572,111.243286,22.170595,0.088134,0.965587,-0.09419,0.225836,-0.630889,129.863861,22.320881,0.072315,0.983123,-0.130363,0.106041,3.231821,143.441833,18.620378,0.040554,0.944192,-0.004486,0.326859,-4.141958,124.438454,20.659658,-0.502598,0.57675,-0.372519,0.525342,-17.234001,125.669823,10.333655,-0.597045,0.609717,-0.245285,0.46002,-15.833805,101.887619,4.663827,-0.66409,0.627515,-0.089985,0.396374,-12.557976,78.942513,-1.785524,-0.016532,0.951827,-0.018673,0.305619,1.750775,124.504349,25.244146,0.649613,0.757653,0.057144,0.026433,15.337888,125.221359,34.96117,0.613764,0.767648,0.16105,0.089844,19.124052,101.041519,34.123898,0.532555,0.780014,0.319234,0.077798,24.419891,78.721092,32.750614,0.081064,0.897508,0.135086,0.411898,-6.367835,86.94165,14.016586,0.083249,0.955229,-0.006085,0.283849,-7.635933,51.732628,2.559058,-0.024048,0.95628,0.054014,0.286414,-15.098846,6.446391,0.922485,-0.079029,0.91184,-0.061495,0.398148,7.125353,87.134193,26.927046,-0.011229,0.896999,-0.100003,0.430425,10.650696,50.829117,33.413296,-0.034882,0.881778,0.047457,0.467973,7.622148,5.833075,42.096642,-0.024048,0.95628,0.054014,0.286414,-6.995572,2.059143,-11.247964,-0.034882,0.881778,0.047457,0.467973,19.778521,1.435138,33.97805
4,0.033333,0.014435,0.926652,-0.049672,0.372344,0.373913,87.037796,20.455715,-0.009763,0.938784,0.077581,0.335514,0.861995,94.65387,19.833136,-0.007178,0.945788,0.007009,0.324629,-0.319736,111.237251,22.16865,0.088243,0.965526,-0.094324,0.226001,-0.657343,129.857529,22.328775,0.071378,0.983277,-0.129575,0.106214,3.210034,143.433609,18.626196,0.04002,0.944205,-0.003823,0.326897,-4.164511,124.430656,20.664068,-0.502647,0.576674,-0.371808,0.525881,-17.25717,125.652435,10.337711,-0.597099,0.609497,-0.245413,0.460173,-15.826752,101.879166,4.638012,-0.66438,0.626815,-0.090193,0.396948,-12.539688,78.924644,-1.809305,-0.016856,0.95179,-0.018244,0.305744,1.727394,124.498055,25.249599,0.649683,0.757634,0.056986,0.025587,15.31159,125.221062,34.970249,0.614091,0.767544,0.160831,0.088889,19.095463,101.041809,34.106407,0.534048,0.779119,0.319257,0.076432,24.380108,78.723244,32.702946,0.080949,0.897527,0.135083,0.411879,-6.370862,86.9422,13.998577,0.083267,0.955311,-0.006264,0.283564,-7.631713,51.731754,2.544646,-0.024138,0.956282,0.053952,0.28641,-15.101351,6.446007,0.925552,-0.078989,0.911862,-0.061762,0.398063,7.118689,87.133392,26.912853,-0.011388,0.897024,-0.099917,0.43039,10.633924,50.830292,33.415611,-0.035069,0.881802,0.047395,0.46792,7.622295,5.832991,42.09832,-0.024138,0.956282,0.053952,0.28641,-6.997427,2.057779,-11.244106,-0.035069,0.881802,0.047395,0.46792,19.779119,1.436031,33.979874
5,0.041667,0.014398,0.9266,-0.049515,0.372497,0.369486,87.03672,20.440355,-0.009897,0.938725,0.078028,0.335573,0.856243,94.653046,19.819866,-0.007578,0.945758,0.007326,0.3247,-0.334727,111.231659,22.167459,0.087136,0.965702,-0.0936,0.225977,-0.69029,129.851547,22.333885,0.071662,0.983264,-0.129396,0.106361,3.142475,143.440674,18.643227,0.039861,0.944158,-0.003844,0.327051,-4.191971,124.421867,20.66678,-0.502609,0.576526,-0.371299,0.526441,-17.281693,125.638321,10.336067,-0.597173,0.608955,-0.245575,0.460707,-15.824337,101.872757,4.611135,-0.664756,0.625795,-0.090753,0.397799,-12.509436,78.922394,-1.834121,-0.017105,0.95186,-0.017349,0.305563,1.699153,124.49337,25.253254,0.649502,0.757804,0.056958,0.025209,15.286772,125.215088,34.969215,0.614511,0.767247,0.161019,0.088212,19.083094,101.038231,34.092964,0.535031,0.778309,0.319849,0.075322,24.347908,78.724503,32.656479,0.080847,0.897501,0.135094,0.411953,-6.373179,86.941406,13.981009,0.083212,0.955264,-0.006448,0.283735,-7.626022,51.729946,2.529314,-0.022976,0.956271,0.054571,0.286426,-15.095361,6.443569,0.926442,-0.07901,0.911859,-0.061936,0.398039,7.112151,87.132027,26.899702,-0.011507,0.897129,-0.099824,0.43019,10.623746,50.830765,33.414684,-0.03386,0.881688,0.048493,0.468112,7.627495,5.832014,42.095207,-0.022976,0.956271,0.054571,0.286426,-7.001084,2.062745,-11.252303,-0.03386,0.881688,0.048493,0.468112,19.781479,1.446628,33.966263
6,0.05,0.014382,0.926538,-0.049303,0.37268,0.365012,87.03447,20.424818,-0.010042,0.938642,0.078492,0.335692,0.850469,94.651123,19.807329,-0.007834,0.945708,0.007744,0.324832,-0.350398,111.224785,22.167305,0.086676,0.965774,-0.093039,0.226078,-0.72006,129.844284,22.34531,0.071239,0.983327,-0.129088,0.106443,3.097405,143.441116,18.667164,0.039321,0.94407,-0.003002,0.32738,-4.217177,124.413025,20.67382,-0.501921,0.575906,-0.371305,0.527769,-17.301121,125.621498,10.334856,-0.596808,0.608375,-0.246598,0.461399,-15.809049,101.866272,4.57611,-0.66496,0.624802,-0.091826,0.398772,-12.483417,78.905548,-1.853389,-0.017627,0.951851,-0.016729,0.305595,1.67261,124.486092,25.261986,0.649499,0.75781,0.057159,0.02466,15.258974,125.218079,34.978935,0.614734,0.767136,0.161078,0.087507,19.05687,101.042465,34.07592,0.535615,0.777942,0.320026,0.074205,24.315088,78.727531,32.610699,0.080761,0.89751,0.135049,0.411965,-6.375118,86.940178,13.96281,0.08327,0.955241,-0.006605,0.28379,-7.623516,51.726795,2.516559,-0.023909,0.956264,0.054159,0.286453,-15.101918,6.441495,0.925479,-0.079032,0.911918,-0.062143,0.397865,7.105141,87.128761,26.886827,-0.011565,0.897155,-0.099849,0.430128,10.613344,50.829666,33.415699,-0.035013,0.881835,0.047529,0.467848,7.621483,5.831501,42.100727,-0.023909,0.956264,0.054159,0.286453,-6.99872,2.05712,-11.246055,-0.035013,0.881835,0.047529,0.467848,19.777023,1.437202,33.97892
7,0.058333,0.014435,0.92648,-0.04913,0.372844,0.358206,87.032608,20.411087,-0.010283,0.938605,0.078881,0.335698,0.843528,94.649498,19.796438,-0.007818,0.945717,0.008123,0.324795,-0.369157,111.218353,22.165493,0.086558,0.965835,-0.092331,0.226153,-0.742827,129.837646,22.357048,0.070432,0.983412,-0.12885,0.106484,3.067646,143.441467,18.697582,0.038759,0.944106,-0.002334,0.327349,-4.23891,124.406837,20.681908,-0.501274,0.575676,-0.371135,0.528754,-17.325008,125.604919,10.344456,-0.59687,0.607328,-0.247339,0.462301,-15.813758,101.860092,4.547919,-0.664345,0.62489,-0.09338,0.399298,-12.44242,78.886543,-1.866547,-0.017981,0.951789,-0.016559,0.305777,1.651245,124.477852,25.269634,0.649598,0.757737,0.0573,0.023969,15.233463,125.219437,34.991653,0.614779,0.767243,0.160825,0.086725,19.026705,101.044235,34.058163,0.537993,0.776451,0.320067,0.072421,24.288582,78.731941,32.572659,0.080621,0.897445,0.135021,0.412142,-6.379608,86.940262,13.946636,0.083322,0.955242,-0.006723,0.283768,-7.6174,51.724648,2.506083,-0.023693,0.956219,0.054204,0.286612,-15.103415,6.440285,0.924161,-0.079092,0.911957,-0.062263,0.397748,7.09602,87.124947,26.875538,-0.01165,0.897242,-0.099866,0.42994,10.605449,50.827644,33.413757,-0.035003,0.881882,0.047572,0.467757,7.621722,5.829969,42.104141,-0.023693,0.956219,0.054204,0.286612,-6.998271,2.055354,-11.245877,-0.035003,0.881882,0.047572,0.467757,19.7757,1.4366,33.9795
8,0.066667,0.014371,0.926449,-0.048948,0.372948,0.353448,87.028549,20.399937,-0.010463,0.938549,0.079291,0.335751,0.836898,94.645752,19.787546,-0.007962,0.945692,0.008541,0.324855,-0.386107,111.211098,22.167162,0.085678,0.96594,-0.091991,0.226177,-0.769918,129.830032,22.371674,0.070227,0.983451,-0.128448,0.106743,3.014645,143.442001,18.715528,0.038402,0.944136,-0.001997,0.327305,-4.262836,124.398506,20.692293,-0.500604,0.575157,-0.370885,0.530127,-17.3508,125.589058,10.356341,-0.596613,0.606563,-0.248166,0.463192,-15.801221,101.857376,4.516252,-0.664469,0.62384,-0.094378,0.400497,-12.402706,78.869392,-1.890643,-0.018176,0.9518,-0.016265,0.305747,1.626694,124.469521,25.280819,0.649673,0.7577,0.057222,0.023263,15.209285,125.214302,35.00206,0.615044,0.767226,0.160406,0.085766,18.999329,101.039543,34.044582,0.538799,0.776245,0.319518,0.071046,24.254843,78.722763,32.534775,0.080519,0.89744,0.135102,0.412149,-6.382946,86.936264,13.934008,0.083173,0.955489,-0.006823,0.282978,-7.611391,51.721046,2.491232,-0.025177,0.956419,0.053755,0.2859,-15.088284,6.434524,0.928171,-0.079119,0.912016,-0.062376,0.397589,7.089842,87.120834,26.865868,-0.011679,0.897346,-0.099838,0.429729,10.598879,50.824905,33.41185,-0.03513,0.881877,0.047447,0.467769,7.620744,5.826786,42.101864,-0.025177,0.956419,0.053755,0.2859,-6.987287,2.049569,-11.244615,-0.03513,0.881877,0.047447,0.467769,19.775566,1.431967,33.979271
9,0.075,0.014298,0.926405,-0.048805,0.373078,0.348219,87.02549,20.393324,-0.010599,0.938502,0.079612,0.335804,0.829908,94.642929,19.782619,-0.008128,0.94567,0.008909,0.324905,-0.401024,111.205116,22.170458,0.085774,0.965855,-0.092144,0.226443,-0.795136,129.823715,22.38592,0.069197,0.983578,-0.12768,0.107161,2.994401,143.433701,18.727566,0.037874,0.944114,-0.001406,0.327432,-4.28488,124.391258,20.702969,-0.499836,0.5747,-0.370616,0.531533,-17.37142,125.571564,10.364039,-0.596363,0.605751,-0.249701,0.463752,-15.786323,101.854156,4.4757,-0.664616,0.622362,-0.095362,0.402315,-12.371622,78.818275,-1.898665,-0.018408,0.951803,-0.016001,0.305738,1.604133,124.462799,25.292149,0.649645,0.757709,0.05761,0.022791,15.186625,125.21225,35.013168,0.615343,0.767038,0.160387,0.085328,18.979568,101.039146,34.025906,0.539,0.776243,0.319306,0.070497,24.224659,78.707352,32.49736,0.080434,0.897379,0.135191,0.412268,-6.386404,86.932823,13.925555,0.083387,0.955303,-0.006931,0.28354,-7.604881,51.718372,2.479349,-0.025126,0.956271,0.053729,0.286406,-15.102309,6.435263,0.915816,-0.079074,0.911953,-0.062415,0.397737,7.082841,87.118156,26.861092,-0.011799,0.897372,-0.099793,0.42968,10.586607,50.822056,33.408966,-0.035056,0.881858,0.047455,0.467808,7.620646,5.823356,42.100136,-0.025126,0.956271,0.053729,0.286406,-6.989233,2.049289,-11.24855,-0.035056,0.881858,0.047455,0.467808,19.775566,1.427744,33.978123
