Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.002928,0.901724,0.01037,0.432177,-0.26717,87.727478,12.416853,-0.010193,0.917273,0.088075,0.388265,-0.295367,95.382759,12.579431,-0.0004,0.926007,0.046377,0.374647,-2.046588,115.174355,15.66924,0.044328,0.958323,-0.054684,0.27688,-2.707561,133.718246,17.263311,0.022687,0.983241,-0.061979,0.169942,-0.057556,147.806915,14.53156,0.094512,0.91999,0.09018,0.36953,-5.928031,128.414688,14.809095,0.443487,-0.516455,0.386718,-0.622128,-17.782703,132.436554,3.725977,-0.480155,0.586467,-0.300038,0.57921,-13.682096,109.435272,-3.610703,-0.491391,0.614241,-0.110498,0.607481,-10.556674,87.881622,-12.869731,-0.068252,0.926369,0.054553,0.366341,-0.557655,128.160767,19.989904,0.632215,0.759783,0.150652,-0.018378,11.518415,129.606735,31.462559,0.562949,0.808309,0.172226,-0.007928,16.414536,106.216141,26.113848,0.529868,0.807142,0.24528,-0.087171,24.777496,85.486618,21.390915,0.048476,0.85618,0.167014,0.486532,-6.116682,87.860489,5.139401,0.091724,0.873353,-0.098669,0.468086,-3.171092,53.053371,-7.203461,-0.00208,0.933315,-0.017835,0.358611,-14.771417,8.794183,-3.231914,-0.105482,0.932335,-0.138562,0.316899,5.582342,87.594475,19.694305,-0.002639,0.980884,-0.117683,0.154951,9.615724,52.793449,31.743299,0.024635,0.893681,0.001469,0.448024,8.178528,8.139983,42.383732,-0.00208,0.933315,-0.017835,0.358611,-5.448393,2.283081,-13.416095,0.024635,0.893681,0.001469,0.448024,19.136646,1.805341,33.850105
1,0.008333,0.003011,0.901667,0.010164,0.4323,-0.27264,87.737312,12.437922,-0.010557,0.917048,0.087762,0.388856,-0.298357,95.392647,12.598199,-0.000462,0.925721,0.046149,0.375381,-2.060098,115.186157,15.669727,0.044314,0.958102,-0.054884,0.277605,-2.721293,133.730835,17.254549,0.02277,0.983087,-0.062542,0.170617,-0.06684,147.81813,14.519991,0.094165,0.919499,0.090164,0.370845,-5.938541,128.426605,14.7976,0.442221,-0.514971,0.388241,-0.623309,-17.762869,132.440018,3.679056,-0.4785,0.585491,-0.303333,0.579851,-13.645153,109.434021,-3.633206,-0.489854,0.61397,-0.115486,0.608068,-10.558684,87.842033,-12.835058,-0.068438,0.926034,0.054272,0.367194,-0.576382,128.174286,19.986994,0.631932,0.759893,0.151347,-0.01787,11.477932,129.627151,31.481636,0.562975,0.808225,0.172557,-0.007463,16.392496,106.240585,26.132288,0.530204,0.806857,0.245511,-0.08712,24.756708,85.503128,21.416584,0.048258,0.85712,0.16696,0.484914,-6.120152,87.870064,5.158856,0.091666,0.873558,-0.098499,0.467753,-3.186059,53.060047,-7.178553,-0.004161,0.934079,-0.017557,0.35661,-14.773109,8.796805,-3.213462,-0.105377,0.93221,-0.138208,0.317458,5.574872,87.604553,19.716988,-0.002843,0.980808,-0.117645,0.155461,9.602644,52.794624,31.742138,0.024109,0.893672,0.001164,0.448072,8.178874,8.140418,42.381294,-0.004161,0.934079,-0.017557,0.35661,-5.468494,2.313302,-13.432032,0.024109,0.893672,0.001164,0.448072,19.141909,1.804401,33.855007
2,0.016667,0.003052,0.901647,0.009672,0.432353,-0.28218,87.740852,12.462103,-0.010786,0.91693,0.0873,0.389233,-0.304076,95.396332,12.615864,-0.000674,0.925534,0.045998,0.375861,-2.06834,115.192886,15.666181,0.044344,0.957918,-0.055005,0.278209,-2.735548,133.738083,17.242502,0.022936,0.982931,-0.063088,0.171289,-0.076629,147.824402,14.507198,0.09362,0.919147,0.090028,0.371885,-5.948973,128.432053,14.784415,0.441443,-0.514049,0.388835,-0.624251,-17.750874,132.429062,3.636181,-0.477255,0.584544,-0.306582,0.580123,-13.609285,109.426559,-3.673573,-0.488474,0.613847,-0.121439,0.608142,-10.565391,87.805725,-12.797869,-0.068579,0.92561,0.053762,0.368311,-0.592199,128.183182,19.97953,0.631463,0.760104,0.152354,-0.016886,11.433981,129.643692,31.50264,0.563112,0.807996,0.173206,-0.006889,16.379229,106.261574,26.162088,0.531836,0.805824,0.245534,-0.086667,24.731592,85.533394,21.452761,0.048403,0.857321,0.166999,0.484531,-6.128833,87.870338,5.182291,0.091556,0.873715,-0.098266,0.467528,-3.208024,53.062332,-7.163926,-0.003833,0.934125,-0.017124,0.356515,-14.775547,8.793023,-3.209545,-0.105309,0.932267,-0.137977,0.317413,5.564473,87.611359,19.741913,-0.00288,0.980696,-0.117391,0.156354,9.593861,52.795654,31.749767,0.024159,0.893479,0.001251,0.448453,8.16736,8.136004,42.365631,-0.003833,0.934125,-0.017124,0.356515,-5.475002,2.317338,-13.436769,0.024159,0.893479,0.001251,0.448453,19.137568,1.80131,33.847591
3,0.025,0.003228,0.901572,0.009399,0.432515,-0.29,87.750298,12.480046,-0.011095,0.916811,0.086848,0.389604,-0.307686,95.405838,12.631196,-0.000784,0.925366,0.045961,0.376277,-2.077507,115.205292,15.659467,0.044373,0.957747,-0.055312,0.278733,-2.748688,133.75061,17.23266,0.023143,0.982788,-0.063491,0.171936,-0.084228,147.834671,14.491257,0.093261,0.918809,0.089948,0.372829,-5.959156,128.443787,14.772384,0.441201,-0.513336,0.389069,-0.624863,-17.739798,132.430527,3.598013,-0.476033,0.583692,-0.309814,0.580269,-13.571212,109.430733,-3.704896,-0.487651,0.612881,-0.128255,0.608378,-10.572676,87.759315,-12.760091,-0.068606,0.925223,0.053382,0.369333,-0.607056,128.196381,19.972383,0.631255,0.760145,0.153114,-0.015873,11.393813,129.659683,31.521502,0.563104,0.807869,0.17385,-0.006213,16.353506,106.277039,26.196671,0.532633,0.805094,0.2462,-0.086672,24.703329,85.555634,21.497709,0.048671,0.857309,0.166836,0.48458,-6.134024,87.880569,5.198135,0.091286,0.873956,-0.097832,0.467222,-3.235461,53.070461,-7.147415,-0.00607,0.934339,-0.018415,0.355858,-14.761957,8.788809,-3.211505,-0.105203,0.932368,-0.137726,0.317259,5.554023,87.620026,19.761955,-0.003156,0.980444,-0.117295,0.157993,9.58434,52.797531,31.749798,0.024131,0.893406,0.00121,0.448601,8.166327,8.13596,42.358719,-0.00607,0.934339,-0.018415,0.355858,-5.455241,2.302265,-13.426227,0.024131,0.893406,0.00121,0.448601,19.139391,1.800466,33.844955
4,0.033333,0.003344,0.901478,0.009039,0.432718,-0.297603,87.756577,12.498705,-0.011377,0.916803,0.086222,0.389755,-0.311336,95.412209,12.645655,-0.000823,0.925322,0.046113,0.376367,-2.082256,115.215767,15.646328,0.044364,0.957614,-0.055693,0.279115,-2.757084,133.760559,17.224133,0.023331,0.982626,-0.063886,0.172684,-0.088196,147.842041,14.473733,0.092805,0.918553,0.089875,0.373591,-5.966099,128.453796,14.761845,0.441037,-0.512734,0.389246,-0.625362,-17.730547,132.427139,3.565665,-0.474837,0.582933,-0.312857,0.580379,-13.538488,109.429527,-3.730664,-0.486999,0.612223,-0.135645,0.607961,-10.586121,87.710724,-12.722206,-0.068689,0.924752,0.052846,0.37057,-0.615015,128.206009,19.962872,0.631338,0.75997,0.153747,-0.014821,11.354855,129.675247,31.54336,0.562886,0.807783,0.174978,-0.005332,16.311016,106.287514,26.237625,0.532705,0.804763,0.24748,-0.085647,24.672783,85.568901,21.543745,0.048859,0.857309,0.166766,0.484585,-6.138322,87.885925,5.21413,0.091138,0.873657,-0.097745,0.467829,-3.254132,53.075443,-7.133718,-0.003795,0.934197,-0.01695,0.356334,-14.767933,8.789748,-3.206227,-0.104964,0.932264,-0.137562,0.317715,5.543117,87.627235,19.783279,-0.003363,0.980536,-0.117171,0.157509,9.555345,52.797676,31.75667,0.024057,0.893343,0.001412,0.448729,8.163032,8.133552,42.358269,-0.003795,0.934197,-0.01695,0.356334,-5.471073,2.318107,-13.439358,0.024057,0.893343,0.001412,0.448729,19.140572,1.803927,33.845917
5,0.041667,0.003483,0.901358,0.0087,0.432973,-0.306023,87.760078,12.515475,-0.011696,0.916666,0.085884,0.390141,-0.315628,95.415787,12.658663,-0.00083,0.925164,0.04599,0.376771,-2.094311,115.221382,15.641204,0.044334,0.957442,-0.055849,0.279678,-2.768343,133.766586,17.214407,0.02367,0.98245,-0.064436,0.173435,-0.096516,147.847061,14.461692,0.092498,0.918315,0.089728,0.374286,-5.97584,128.459686,14.750483,0.44101,-0.512121,0.389434,-0.625767,-17.724833,132.423096,3.534567,-0.473583,0.58217,-0.315911,0.580515,-13.509163,109.425926,-3.749559,-0.487085,0.610747,-0.143722,0.60752,-10.603868,87.659279,-12.679513,-0.068801,0.924395,0.052496,0.371489,-0.629301,128.212387,19.956207,0.63125,0.760044,0.153823,-0.013961,11.317257,129.686966,31.56007,0.562843,0.807705,0.175495,-0.004696,16.280104,106.293808,26.284582,0.533934,0.803716,0.248332,-0.085356,24.642149,85.579338,21.602509,0.049016,0.857227,0.166765,0.484715,-6.142602,87.889061,5.227573,0.09101,0.873616,-0.097541,0.467973,-3.266505,53.079689,-7.125285,-0.006115,0.934372,-0.01844,0.35577,-14.76224,8.788186,-3.210289,-0.104967,0.932388,-0.137541,0.31736,5.530556,87.631096,19.803377,-0.003429,0.980572,-0.117027,0.157387,9.548031,52.801151,31.773874,0.024182,0.893386,0.001484,0.448635,8.165101,8.133968,42.3638,-0.006115,0.934372,-0.01844,0.35577,-5.457034,2.301439,-13.426261,0.024182,0.893386,0.001484,0.448635,19.139923,1.804712,33.84766
6,0.05,0.003665,0.901224,0.008429,0.433256,-0.313766,87.761581,12.528411,-0.011817,0.916508,0.085729,0.390543,-0.319111,95.417336,12.66906,-0.000876,0.925001,0.045641,0.377212,-2.10112,115.2239,15.64327,0.044248,0.957247,-0.056111,0.280307,-2.772586,133.770294,17.203499,0.023853,0.982266,-0.064918,0.174272,-0.098248,147.849228,14.445358,0.091971,0.918067,0.089821,0.375003,-5.978916,128.462448,14.740077,0.440818,-0.511498,0.389838,-0.62616,-17.713182,132.412247,3.503958,-0.472542,0.581476,-0.318644,0.580565,-13.481696,109.41346,-3.765893,-0.485813,0.611771,-0.151328,0.605659,-10.619148,87.6063,-12.636074,-0.068994,0.924025,0.05214,0.372423,-0.637345,128.217453,19.95101,0.631068,0.760106,0.154351,-0.012934,11.285085,129.699951,31.578659,0.563039,0.807509,0.175788,-0.003777,16.260521,106.30423,26.32645,0.53552,0.802588,0.248665,-0.085066,24.609766,85.587898,21.670897,0.049189,0.857118,0.166725,0.484904,-6.145751,87.891464,5.236846,0.090911,0.873555,-0.097435,0.468128,-3.279341,53.082352,-7.119016,-0.006055,0.934323,-0.01843,0.3559,-14.763401,8.787287,-3.21009,-0.104857,0.932526,-0.137528,0.316996,5.518218,87.631699,19.819975,-0.00372,0.980407,-0.116853,0.158535,9.533195,52.799789,31.785604,0.023693,0.893433,0.001242,0.44857,8.1666,8.129081,42.362755,-0.006055,0.934323,-0.01843,0.3559,-5.455979,2.300218,-13.423841,0.023693,0.893433,0.001242,0.44857,19.144159,1.799665,33.850266
7,0.058333,0.003871,0.901052,0.008153,0.433617,-0.322779,87.761284,12.539814,-0.011803,0.916392,0.08552,0.390862,-0.323504,95.417091,12.678021,-0.001083,0.924881,0.045488,0.377525,-2.102763,115.225098,15.644172,0.044074,0.95709,-0.056333,0.280824,-2.77972,133.772003,17.196024,0.024148,0.982087,-0.065496,0.175023,-0.106065,147.849991,14.432425,0.09173,0.918031,0.089656,0.375189,-5.983088,128.462341,14.732663,0.441057,-0.511189,0.38952,-0.626442,-17.71417,132.403107,3.490059,-0.472159,0.58104,-0.320994,0.580018,-13.455054,109.409378,-3.779643,-0.48589,0.612173,-0.158396,0.603378,-10.637095,87.545364,-12.584263,-0.069105,0.92372,0.051664,0.373226,-0.645049,128.22084,19.947374,0.630879,0.76005,0.155548,-0.011015,11.256844,129.710602,31.595112,0.563324,0.807163,0.176483,-0.00294,16.246239,106.309822,26.378822,0.536734,0.801726,0.248781,-0.085202,24.574739,85.601082,21.737558,0.049354,0.856909,0.166697,0.485265,-6.148889,87.892448,5.243581,0.09082,0.873491,-0.097324,0.468288,-3.288734,53.083862,-7.115217,-0.004879,0.934162,-0.018186,0.356353,-14.761615,8.785287,-3.213181,-0.104841,0.93261,-0.137614,0.316716,5.503332,87.630119,19.836048,-0.00384,0.980424,-0.116629,0.158593,9.518719,52.799709,31.805897,0.024131,0.89339,0.001687,0.448631,8.165606,8.124271,42.36483,-0.004879,0.934162,-0.018186,0.356353,-5.456991,2.292762,-13.426009,0.024131,0.89339,0.001687,0.448631,19.142162,1.80072,33.846691
8,0.066667,0.004029,0.900874,0.007989,0.433988,-0.327846,87.761215,12.54884,-0.011798,0.916286,0.085268,0.391165,-0.325357,95.417038,12.685828,-0.001403,0.924762,0.045491,0.377815,-2.101439,115.226784,15.64229,0.043986,0.956933,-0.05662,0.281315,-2.789958,133.773651,17.189499,0.024445,0.981916,-0.066072,0.175723,-0.114227,147.849945,14.419262,0.091426,0.917881,0.089518,0.375663,-5.988693,128.461594,14.725245,0.443424,-0.512673,0.386686,-0.625312,-17.709726,132.392258,3.468626,-0.473159,0.581379,-0.322744,0.577888,-13.417324,109.415375,-3.834664,-0.483953,0.614678,-0.164361,0.600787,-10.671665,87.501572,-12.534867,-0.06933,0.923452,0.051379,0.373886,-0.653932,128.224319,19.943502,0.631041,0.759973,0.155335,-0.009925,11.230433,129.722824,31.608004,0.563393,0.807213,0.176043,-0.00221,16.210888,106.309937,26.437674,0.53729,0.801324,0.248692,-0.085742,24.534637,85.594872,21.834766,0.049495,0.856799,0.166585,0.485484,-6.147916,87.893745,5.247811,0.090754,0.873311,-0.097311,0.468638,-3.297669,53.083427,-7.108397,-0.001769,0.933846,-0.016608,0.357286,-14.766404,8.78354,-3.209107,-0.104761,0.932589,-0.137813,0.316718,5.492223,87.628677,19.849869,-0.00405,0.980468,-0.116361,0.158513,9.497192,52.801086,31.831371,0.024116,0.893455,0.001847,0.448501,8.167733,8.120066,42.369633,-0.001769,0.933846,-0.016608,0.357286,-5.470809,2.300555,-13.436207,0.024116,0.893455,0.001847,0.448501,19.142973,1.800781,33.84663
9,0.075,0.003928,0.900692,0.00815,0.434364,-0.325997,87.77037,12.55367,-0.011782,0.916168,0.085352,0.391423,-0.326033,95.42617,12.692204,-0.001752,0.924673,0.045108,0.378078,-2.103676,115.235367,15.651456,0.043914,0.956803,-0.057066,0.281678,-2.799275,133.783478,17.180412,0.024703,0.981798,-0.066505,0.176181,-0.120379,147.856934,14.398877,0.091082,0.917743,0.089259,0.376144,-5.994795,128.468002,14.719393,0.443713,-0.512182,0.386828,-0.625422,-17.705862,132.385864,3.447942,-0.472499,0.581316,-0.324798,0.57734,-13.394176,109.405968,-3.834495,-0.481868,0.61719,-0.169944,0.59833,-10.706262,87.447914,-12.488183,-0.069225,0.923258,0.051031,0.374432,-0.66302,128.237518,19.941008,0.631263,0.760012,0.154278,-0.009342,11.208172,129.735764,31.618954,0.563385,0.807275,0.175788,-0.001878,16.175451,106.308517,26.501265,0.539482,0.799943,0.248594,-0.085163,24.492216,85.608116,21.921303,0.049611,0.856806,0.166549,0.485474,-6.139989,87.902542,5.247792,0.090903,0.873088,-0.097398,0.469008,-3.298554,53.092182,-7.1103,-0.001677,0.933683,-0.016897,0.357698,-14.78441,8.796337,-3.215508,-0.1045,0.93257,-0.137873,0.316834,5.487995,87.638199,19.859547,-0.004336,0.980354,-0.116177,0.159345,9.472222,52.807796,31.839817,0.024696,0.893239,0.002241,0.448899,8.162241,8.123061,42.364769,-0.001677,0.933683,-0.016897,0.357698,-5.48208,2.305077,-13.431231,0.024696,0.893239,0.002241,0.448899,19.140938,1.806432,33.84425
