uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p19_uppercut_left_main_001,0.357358288,0.447671349,0.320134231,0.282556463,0.281195209,0.175044472,0.050205832,0.047781264,0.047622587,0.598409585,0.806514587,0.744083087,0.659208031,-0.016696054
p19_uppercut_left_main_002,0.338613167,0.40184693,0.329587698,0.271506172,0.278363007,0.167454464,0.049901353,0.047816858,0.047621217,0.594659158,0.764392447,0.71347246,0.703946662,
p19_uppercut_left_main_003,0.344856789,0.39368431,0.328538411,0.240435192,0.255072123,0.1711127,0.049193933,0.048126929,0.047627714,0.496098729,0.811656929,0.716989469,0.720642716,
p19_uppercut_left_main_004,0.350772387,0.433063231,0.309339347,0.322321718,0.280017196,0.19806696,0.051177974,0.048699754,0.047672421,0.570883646,0.871798568,0.781524092,,
p19_uppercut_left_main_005,0.310398652,0.418150458,0.320819107,0.276503914,0.29469761,0.202007009,0.051112814,0.047869918,0.04761962,0.614743657,0.782393279,0.732098392,,
p19_uppercut_left_main_006,0.209144018,0.26045477,0.195820402,0.148648325,0.151783658,0.086218774,0.049795219,0.047929247,0.047619363,0.584985727,0.16785815,0.292996423,,
p19_uppercut_left_main_007,0.1827004,0.270443644,0.171841881,0.122893305,0.160546091,0.076626848,0.050546024,0.048128087,0.047619217,0.587240697,0.107054678,0.251110484,,
p19_uppercut_left_main_008,0.337732304,0.428455708,0.341318807,0.292713658,0.301919298,0.194569519,0.051525161,0.049580573,0.047627283,0.609233346,0.842192546,0.772304786,,
p19_uppercut_left_main_009,0.190801766,0.280667969,0.189161099,0.149508275,0.146440188,0.078806293,0.049509618,0.047825095,0.047619793,0.574613928,0.16089449,0.285010322,,
p19_uppercut_left_main_010,0.362124314,0.456660048,0.338490923,0.263755645,0.271612247,0.195397978,0.049421884,0.048247108,0.047671659,0.55449599,0.867910602,0.773886218,,
p19_uppercut_left_main_011,0.326899462,0.416391607,0.340133173,0.26296807,0.265554965,0.211707676,0.051220728,0.049033861,0.047623289,0.580269392,0.809794623,0.740937053,,
p19_uppercut_left_main_012,0.332454327,0.443799524,0.310903882,0.297651389,0.23646226,0.139426953,0.050590216,0.047820932,0.04762232,0.577392361,0.741318217,0.69214046,,
p19_uppercut_left_main_013,0.211159394,0.289341213,0.240229194,0.153667504,0.178504587,0.094882979,0.049916576,0.047970698,0.047619792,0.570272843,0.282079705,0.368537647,,
p19_uppercut_left_main_014,0.337166152,0.430974126,0.319360569,0.293747034,0.299307874,0.20092464,0.051184509,0.047804056,0.047621351,0.626708666,0.813676552,0.757586187,,
p19_uppercut_left_main_015,0.329791239,0.425856097,0.330914834,0.237100032,0.253115861,0.175702508,0.04932598,0.04850739,0.047621898,0.54600424,0.771806412,0.70406576,,
p19_uppercut_left_main_016,0.332524244,0.44414193,0.340908598,0.29177181,0.296603759,0.209577491,0.051300949,0.048830202,0.047624662,0.601573009,0.862941989,0.784531295,,
p19_uppercut_left_main_017,0.349527026,0.423649795,0.298563384,0.303499097,0.284759841,0.179595646,0.050944754,0.047781727,0.047620268,0.64366213,0.754944513,0.721559798,,
p19_uppercut_left_main_018,0.252130279,0.349318171,0.215709434,0.22781332,0.202796998,0.11364029,0.050771305,0.047826166,0.047619056,0.640835409,0.357394939,0.44242708,,
p19_uppercut_left_main_019,0.332532307,0.420392265,0.32884126,0.294255308,0.292419481,0.187616339,0.050816984,0.047842396,0.047619871,0.632174319,0.790245667,0.742824263,,
