uppercut_left,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p19_uppercut_left_main_001,0.341627629,0.427372505,0.275860963,0.303352287,0.264391507,0.181915893,0.04800855,0.047675523,0.047621959,0.604610655,0.7512032,0.707225437,0.626352646,-0.017600363
p19_uppercut_left_main_002,0.317694908,0.405819804,0.296745812,0.313185113,0.252098031,0.173565292,0.048001543,0.047752863,0.047621218,0.629257292,0.710320348,0.686001431,0.654557783,
p19_uppercut_left_main_003,0.337248661,0.383335945,0.333714264,0.29262689,0.239207548,0.183669411,0.048158982,0.048018057,0.04763418,0.552343291,0.79747874,0.723938105,0.672158146,
p19_uppercut_left_main_004,0.332547181,0.447721472,0.288736911,0.285787129,0.270459586,0.205018517,0.048531735,0.047850456,0.04762584,0.560978035,0.824499608,0.745443136,,
p19_uppercut_left_main_005,0.284295365,0.415036797,0.263133255,0.281436838,0.284368697,0.20592794,0.048091674,0.047662807,0.047621324,0.627662313,0.700813756,0.678868323,,
p19_uppercut_left_main_006,0.198577718,0.266921571,0.192141006,0.183221031,0.143823418,0.096297178,0.047991974,0.047686252,0.04762033,0.649677959,0.136957712,0.290773786,,
p19_uppercut_left_main_007,0.179717631,0.26195435,0.153886189,0.134916894,0.158989878,0.086052491,0.048170837,0.047695277,0.047619229,0.613994144,0.079633414,0.239941633,,
p19_uppercut_left_main_008,0.313781772,0.417408949,0.327610413,0.285140372,0.28057695,0.1857687,0.048333092,0.047745397,0.047628898,0.633578895,0.753646263,0.717626052,,
p19_uppercut_left_main_009,0.18836219,0.263888178,0.198610215,0.197312583,0.143280336,0.079759117,0.048081266,0.047693606,0.047619677,0.653158233,0.129917744,0.28688989,,
p19_uppercut_left_main_010,0.343741292,0.42642705,0.330381797,0.299861791,0.256816547,0.195037103,0.048409655,0.048265486,0.04764223,0.586714368,0.821636392,0.751159785,,
p19_uppercut_left_main_011,0.311821645,0.41342765,0.330381694,0.294716467,0.250818762,0.209611382,0.048646068,0.047853314,0.047628921,0.641500255,0.749011141,0.716757875,,
p19_uppercut_left_main_012,0.31093223,0.432054375,0.281999473,0.280089986,0.218283657,0.136996767,0.048028855,0.047649459,0.047630659,0.556201136,0.681445318,0.643872063,,
p19_uppercut_left_main_013,0.19851292,0.288575576,0.213401778,0.2116652,0.173607081,0.100614135,0.048158547,0.047695181,0.047619752,0.639538644,0.240985228,0.360551253,,
p19_uppercut_left_main_014,0.318787074,0.413940806,0.26660638,0.278381212,0.285122727,0.208364009,0.048186738,0.047657681,0.047625702,0.612518139,0.738319962,0.700579415,,
p19_uppercut_left_main_015,0.309816164,0.399691249,0.318530944,0.281180271,0.236659279,0.187777357,0.04815668,0.047895257,0.047621353,0.590817973,0.729123713,0.687631991,,
p19_uppercut_left_main_016,0.294685536,0.428610599,0.313918339,0.274766088,0.272662873,0.200386503,0.048218623,0.047692006,0.047631421,0.576960689,0.787001501,0.723989257,,
p19_uppercut_left_main_017,0.334821478,0.405337735,0.251579121,0.272896392,0.268785662,0.190627242,0.047983128,0.047647547,0.047622203,0.627127999,0.674702348,0.660430043,,
p19_uppercut_left_main_018,0.239108072,0.316021375,0.179351299,0.215252708,0.190840569,0.129620449,0.047840333,0.047651805,0.047619362,0.641444748,0.292739949,0.397351388,,
p19_uppercut_left_main_019,0.310009835,0.42959175,0.299327798,0.277856107,0.272747692,0.198690494,0.047894099,0.047681995,0.047620037,0.649575943,0.715123305,0.695459097,,
p19_uppercut_left_main_020,0.326046508,0.425194251,0.323616628,0.280267882,0.270556247,0.186982376,0.048364448,0.047666871,0.047623242,0.633938974,0.745190608,0.711815118,,
p19_uppercut_left_main_021,0.326987105,0.425322469,0.300400258,0.27551825,0.25070277,0.174422545,0.048018461,0.047682422,0.047624098,0.596923969,0.72622058,0.687431596,,
p19_uppercut_left_main_022,0.274669272,0.356634282,0.219526234,0.248946687,0.216106223,0.154338838,0.048154488,0.047670639,0.047619433,0.660577975,0.437827807,0.504652857,,
p19_uppercut_left_main_023,0.330707828,0.415302766,0.336273986,0.276862146,0.236351371,0.175175621,0.048259106,0.047991434,0.047626687,0.573214425,0.766509141,0.708520726,,
p19_uppercut_left_main_024,0.320716288,0.408136612,0.319499072,0.275579786,0.23025614,0.170035861,0.048108274,0.04794376,0.047623701,0.564242024,0.736951146,0.685138409,,
p19_uppercut_left_main_025,0.327788134,0.442834245,0.305620636,0.326943887,0.264973757,0.216655994,0.048161244,0.04770533,0.047621614,0.658274461,0.78501206,0.746990781,,
p19_uppercut_left_main_026,0.296011907,0.449228529,0.288180911,0.318248774,0.257004287,0.205520013,0.048093787,0.047687364,0.047620324,0.622664698,0.764626231,0.722037771,,
p19_uppercut_left_main_027,0.310035967,0.406301968,0.328225584,0.316758408,0.273334506,0.194695448,0.048321175,0.047692729,0.047626956,0.633669645,0.773978172,0.731885614,,
p19_uppercut_left_main_028,0.320206763,0.41398362,0.266910692,0.307729766,0.222747698,0.148294762,0.0479923,0.047642799,0.047621991,0.620619886,0.64346504,0.636611494,,
p19_uppercut_left_main_029,0.293791887,0.383636031,0.320998807,0.29295883,0.209932388,0.151895838,0.048221658,0.047823076,0.047621948,0.633581067,0.621292522,0.624979086,,
p19_uppercut_left_main_030,0.322364939,0.408461945,0.252388565,0.286467831,0.220275847,0.116704411,0.04793282,0.047661678,0.047621323,0.540564099,0.648366765,0.616025965,,
p19_uppercut_left_post_001,0.270530352,0.41077772,0.216562004,0.251620644,0.166564794,0.110913133,0.047946522,0.047636297,0.047619515,0.491220382,0.547276254,0.530459492,,
p19_uppercut_left_post_002,0.311944425,0.390832919,0.318805462,0.315443773,0.23886923,0.157633912,0.048245839,0.04783952,0.047624214,0.649973088,0.674274598,0.666984145,,
p19_uppercut_left_post_003,0.33144504,0.452484873,0.264117745,0.280109455,0.224970517,0.170066069,0.047988734,0.047644542,0.047622483,0.520948579,0.759700242,0.688074743,,
p19_uppercut_left_post_004,0.324218925,0.408927933,0.272391021,0.283061768,0.214145502,0.139769475,0.0479196,0.047642006,0.047622383,0.50500954,0.722626072,0.657341112,,
p19_uppercut_left_post_005,0.309703323,0.430943821,0.285331585,0.282396815,0.271031006,0.145653328,0.048022508,0.047647375,0.0476214,0.569661871,0.732561775,0.683691804,,
p19_uppercut_left_post_006,0.333602514,0.427202366,0.284621986,0.314797629,0.248121911,0.182982424,0.048488732,0.047663484,0.047622061,0.572362884,0.782378184,0.719373594,,
p19_uppercut_left_post_007,0.311293954,0.435563649,0.263013039,0.268475507,0.218653325,0.158777624,0.048135687,0.047641656,0.047620846,0.519007697,0.712871946,0.654712671,,
p19_uppercut_left_post_008,0.299959005,0.411872604,0.268522467,0.270813204,0.212080032,0.153610439,0.048204663,0.047653129,0.04762869,0.545486239,0.660308329,0.625861702,,
p19_uppercut_left_post_009,0.317754902,0.450384111,0.284228573,0.267429361,0.173011807,0.127711322,0.049598154,0.047658396,0.047621843,0.520550166,0.666660468,0.622827378,,
p19_uppercut_left_post_010,0.309889059,0.430670685,0.317373105,0.317178829,0.245743892,0.154567911,0.048093284,0.047647334,0.047621975,0.623021123,0.727635498,0.696251185,,
p19_uppercut_left_pre_001,0.344869695,0.439478489,0.294214544,0.336163902,0.282718765,0.184183996,0.048231772,0.048029874,0.047636164,0.638568332,0.795426408,0.748368985,,
p19_uppercut_left_pre_002,0.313372869,0.40651507,0.315311755,0.293656845,0.258078351,0.190739896,0.0483839,0.048114488,0.047634596,0.588361095,0.77186745,0.716815544,,
p19_uppercut_left_pre_003,0.33905573,0.423766413,0.278201661,0.264446843,0.281609473,0.211109556,0.049272258,0.048104096,0.047629671,0.536441986,0.825145876,0.738534709,,
