jap,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall,,
p21_jap_main_001,0.331904045,0.499143062,0.297041498,0.297568869,0.268729581,0.176749412,0.047641866,0.048801488,0.0476193,0.556716798,0.845809612,0.759081768,0.709200887,-0.005643823
p21_jap_main_002,0.371913997,0.486687909,0.286567655,0.24842186,0.262247837,0.165100966,0.047643749,0.047758027,0.047619161,0.525059955,0.816133505,0.72881144,0.736651318,
p21_jap_main_003,0.345547307,0.475068448,0.254397983,0.240218528,0.257963457,0.154992897,0.047637281,0.047716798,0.04761905,0.542378568,0.725108035,0.670289195,0.742295141,
p21_jap_main_004,0.356069208,0.504125102,0.28690687,0.25566758,0.269552634,0.169602464,0.047627758,0.047814393,0.047619373,0.520670564,0.83970028,0.743991366,,
p21_jap_main_005,0.363486261,0.479157931,0.259961939,0.232138947,0.262556265,0.144525701,0.04763205,0.047727898,0.04761905,0.543551564,0.727786709,0.672516166,,
p21_jap_main_006,0.362753571,0.489405547,0.29280078,0.249870693,0.270314407,0.176064899,0.047748055,0.048969451,0.047623372,0.563873559,0.795558421,0.726052963,,
p21_jap_main_007,0.350854899,0.482539455,0.279702917,0.242913755,0.268642665,0.138923124,0.047646913,0.048135041,0.047619109,0.547749409,0.747668969,0.687693101,,
p21_jap_main_008,0.359865021,0.499411078,0.295707298,0.26367915,0.272464232,0.148280727,0.047652403,0.048145951,0.047619497,0.544455567,0.814432607,0.733439495,,
p21_jap_main_009,0.379263636,0.493924111,0.282545224,0.250823407,0.259703245,0.188571865,0.047637299,0.047829684,0.047621153,0.577121546,0.790346978,0.726379349,,
p21_jap_main_010,0.358656196,0.477312923,0.266121431,0.232331538,0.258011452,0.171051893,0.047643872,0.047739371,0.047626562,0.554064299,0.739801593,0.684080405,,
p21_jap_main_011,0.365610735,0.489107166,0.268902743,0.245057971,0.258548441,0.179013274,0.047629798,0.047770164,0.04762028,0.54342237,0.784258331,0.712007543,,
p21_jap_main_012,0.372586809,0.485433993,0.2732811,0.254111588,0.257061849,0.180809818,0.047649179,0.047698415,0.047627874,0.588905838,0.753486247,0.704112124,,
p21_jap_main_013,0.354483905,0.478169256,0.255067744,0.230207502,0.256792975,0.152440063,0.047639891,0.047775184,0.047619124,0.543751303,0.715305635,0.663839335,,
p21_jap_main_014,0.344861317,0.485479833,0.266754568,0.25669952,0.264467931,0.196823768,0.047684217,0.048532294,0.047619501,0.538674733,0.80650694,0.726157278,,
p21_jap_main_015,0.360852282,0.491574281,0.271003371,0.243350904,0.265067589,0.192176093,0.04763094,0.047846357,0.047619091,0.543212048,0.802835401,0.724948395,,
p21_jap_main_016,0.352002801,0.489755741,0.281207755,0.250939836,0.264941918,0.175454134,0.047637289,0.047818656,0.047619189,0.55442204,0.787770576,0.717766015,,
p21_jap_main_017,0.359141304,0.482418026,0.27916924,0.244671861,0.263615896,0.182381881,0.047641278,0.04772514,0.047619288,0.56606467,0.773278297,0.711114209,,
p21_jap_main_018,0.369779675,0.482046367,0.279883541,0.253857832,0.264661835,0.18389947,0.047636168,0.047766153,0.047619144,0.580809796,0.775233378,0.716906303,,
p21_jap_main_019,0.363404996,0.499173122,0.285640403,0.246881894,0.257555506,0.190658555,0.047626967,0.047746098,0.047620033,0.54540006,0.816042107,0.734849493,,
p21_jap_main_020,0.322409166,0.501225885,0.329273298,0.279843284,0.257378107,0.212463526,0.047645341,0.047711006,0.047628022,0.554351396,0.878682257,0.781382999,,
p21_jap_main_021,0.35265604,0.488707033,0.28982866,0.233323145,0.247766428,0.165897387,0.047635436,0.047689236,0.047619051,0.551291929,0.755132032,0.693980001,,
p21_jap_main_022,0.32038759,0.458417574,0.277187882,0.192754695,0.244055175,0.171655499,0.047635242,0.047707819,0.047619061,0.562035565,0.658676451,0.629684185,,
p21_jap_main_023,0.306351685,0.45012853,0.270133348,0.203457153,0.234663055,0.181578129,0.047655305,0.047997063,0.047619066,0.566515639,0.645343545,0.621695173,,
p21_jap_main_024,0.355543104,0.465764661,0.27981085,0.203692206,0.246942585,0.190692345,0.047632111,0.047695327,0.047619064,0.566852942,0.711097678,0.667824257,,
p21_jap_main_025,0.337073247,0.480154421,0.328206257,0.236194923,0.249749627,0.224802558,0.04783971,0.048742336,0.047620049,0.577467672,0.810432531,0.740543073,,
p21_jap_main_026,0.357422629,0.489371421,0.308466445,0.256207035,0.257283324,0.203133244,0.047768883,0.048613077,0.047622399,0.574826483,0.816926368,0.744296402,,
p21_jap_main_027,0.370852341,0.485743953,0.28843805,0.227532273,0.258104464,0.189982028,0.047633292,0.0477495,0.047619181,0.565332368,0.775241715,0.712268911,,
p21_jap_main_028,0.362681897,0.489399658,0.296685258,0.234363806,0.255009254,0.190788151,0.047626818,0.047667756,0.04761971,0.558475332,0.791343491,0.721483043,,
p21_jap_main_029,0.365718101,0.500988183,0.307938154,0.256786309,0.262604806,0.202584456,0.047633568,0.047790712,0.047619242,0.570159638,0.840335802,0.759282952,,
p21_jap_main_030,0.350488626,0.472744729,0.274323467,0.208041357,0.249735998,0.174377043,0.047633079,0.04778677,0.047620144,0.561928493,0.701387298,0.659549657,,
p21_jap_post_001,0.350102772,0.489360654,0.326784026,0.240915727,0.239667599,0.160615559,0.048225532,0.047757635,0.047622422,0.555354245,0.778774387,0.711748344,,
