straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p21_straight_main_001,0.326005355,0.452809534,0.275370378,0.269425451,0.344938014,0.267658443,0.048466528,0.047682632,0.048942827,0.593103968,0.892850223,0.802926346
p21_straight_main_002,0.329615769,0.478184072,0.253519883,0.25774798,0.363019289,0.255678079,0.04821882,0.049405647,0.049488203,0.580278864,0.890332065,0.797316104
p21_straight_main_003,0.127846839,0.303670228,0.097617874,0.102323815,0.208503061,0.153084732,0.049884412,0.048683404,0.047619143,0.639592857,0.074472787,0.244008808
p21_straight_main_004,0.289469814,0.477629449,0.232361752,0.264994059,0.351696119,0.295005846,0.048414497,0.047990595,0.048405708,0.572231058,0.89567856,0.79864431
p21_straight_main_005,0.305061476,0.473392322,0.237872986,0.250298765,0.339836878,0.292785875,0.04830058,0.051188556,0.048083262,0.567173119,0.879887545,0.786073217
p21_straight_main_006,0.302158352,0.493975524,0.267423709,0.290899198,0.371194219,0.33474793,0.051738094,0.058659103,0.049354461,0.646559133,0.938141489,0.850666782
p21_straight_main_007,0.288447578,0.475225695,0.266236326,0.268417982,0.363274973,0.279300352,0.048855424,0.049415017,0.049152937,0.583782335,0.912016003,0.813545903
p21_straight_main_008,0.315493338,0.471194025,0.270801583,0.266461269,0.357650245,0.283645614,0.048749562,0.04967252,0.048619801,0.585309804,0.92334311,0.821933118
p21_straight_main_009,0.279026994,0.453522735,0.248259646,0.281741443,0.275280958,0.2882059,0.050231558,0.048334078,0.047731082,0.560437104,0.838997344,0.755429272
p21_straight_main_010,0.303713905,0.464731508,0.269515499,0.27837131,0.3499819,0.282699305,0.048701786,0.049765381,0.047817031,0.587286384,0.913690489,0.815769258
p21_straight_main_011,0.333898836,0.475916925,0.258268089,0.268523076,0.347910351,0.292639265,0.048526204,0.048650792,0.048186459,0.593592281,0.917149616,0.820082416
p21_straight_main_012,0.308747987,0.469873979,0.255478497,0.264353759,0.350936838,0.302405563,0.04803476,0.049551614,0.04817559,0.590677548,0.909684959,0.813982736
p21_straight_main_013,0.296937956,0.443535131,0.262585653,0.28578669,0.25241132,0.27381817,0.04876175,0.047890929,0.047649251,0.554040771,0.829694775,0.746998574
p21_straight_main_014,0.270852462,0.380415082,0.225427812,0.271911601,0.207846586,0.239999132,0.04939568,0.048012981,0.047625973,0.50315392,0.709921181,0.647891003
p21_straight_main_015,0.324987269,0.473530039,0.249306494,0.25537798,0.360005864,0.250785498,0.048290384,0.049887895,0.051108188,0.583238888,0.867658308,0.782332482
p21_straight_main_016,0.269973154,0.466717584,0.243488142,0.288696377,0.348466624,0.265335942,0.048381693,0.047902891,0.049304674,0.578010082,0.876223619,0.786759558
p21_straight_main_017,0.283367451,0.413356724,0.253718601,0.280231294,0.219046539,0.279308666,0.049400491,0.047906878,0.047628525,0.533466605,0.790447179,0.713353007
p21_straight_main_018,0.202383098,0.343640114,0.193064218,0.181467643,0.18768358,0.238037574,0.048502232,0.047720025,0.047619133,0.535494635,0.480005158,0.496652001
p21_straight_main_019,0.305766421,0.463062218,0.288423947,0.275145546,0.354138389,0.253309203,0.048458631,0.051784472,0.048604616,0.576378889,0.913360579,0.812266072
