Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.017999,0.950786,0.02047,0.308646,0.341038,86.085487,13.068621,-0.015375,0.955817,0.106321,0.27363,0.51411,94.0896,13.469707,0.009491,0.964877,0.016961,0.261982,-1.406668,115.515793,17.742865,0.076422,0.956109,-0.191767,0.207946,-1.184935,139.013428,18.629473,0.063183,0.956205,-0.246878,0.143982,2.957937,152.095169,11.912495,-0.053712,0.905519,0.135972,0.398324,-4.988819,133.704697,17.034933,0.406483,-0.574681,-0.018578,-0.710048,-16.23517,133.888245,4.807018,0.137364,0.221915,-0.560179,-0.786184,-7.596967,122.648857,-16.386133,0.304427,0.328226,-0.548098,-0.706527,-0.793242,146.042053,-11.541533,-0.076765,0.978355,0.112588,0.155733,1.751029,133.492142,20.9828,0.374913,0.841,0.031195,-0.388826,17.363661,135.405106,26.332787,-0.004807,0.207713,0.466908,-0.859552,27.983358,119.94519,9.061275,-0.073139,-0.015118,0.770235,-0.633372,16.502607,139.283661,0.587414,-0.004192,0.90504,0.210043,0.369821,-7.565762,86.543594,7.338376,0.141403,0.956533,-0.079225,0.24243,-1.53573,52.80336,-6.616677,-0.021633,0.947097,0.024169,0.319303,-16.382879,7.268095,-2.627532,-0.114056,0.895536,0.026003,0.429338,8.247837,85.62738,18.798866,0.009547,0.831358,-0.258223,0.49201,16.633951,49.633377,20.699677,0.008443,0.851765,0.025184,0.52325,3.659044,7.990894,40.883003,-0.021633,0.947097,0.024169,0.319303,-7.170978,1.801173,-14.486954,0.008443,0.851765,0.025184,0.52325,16.811949,2.145221,33.938835
1,0.008333,0.017948,0.950779,0.02076,0.308652,0.335696,86.057892,13.070414,-0.015714,0.955775,0.106533,0.273676,0.506542,94.061836,13.475676,0.009827,0.964866,0.017057,0.262003,-1.430521,115.478409,17.751986,0.076479,0.956129,-0.191758,0.20784,-1.194753,138.975601,18.647102,0.063223,0.95627,-0.246679,0.143878,2.948711,152.057175,11.930193,-0.053406,0.905905,0.135609,0.39761,-5.001757,133.669708,17.050501,0.407533,-0.574394,-0.017765,-0.709699,-16.268076,133.85376,4.840979,0.138834,0.221359,-0.560125,-0.78612,-7.611558,122.559807,-16.31567,0.305463,0.327273,-0.548074,-0.706541,-0.793028,145.959976,-11.534326,-0.076635,0.978372,0.112216,0.155956,1.737818,133.451691,20.998539,0.375777,0.84036,0.030837,-0.389405,17.34881,135.361557,26.354425,-0.003964,0.20759,0.46755,-0.859236,27.912443,119.870689,9.076278,-0.072659,-0.014898,0.77132,-0.632111,16.455809,139.223984,0.590139,-0.00435,0.905011,0.210506,0.369626,-7.571069,86.5168,7.340179,0.141483,0.956477,-0.079546,0.242503,-1.520801,52.7911,-6.64123,-0.02164,0.947124,0.024358,0.319209,-16.382534,7.262892,-2.625878,-0.11446,0.895406,0.026441,0.429474,8.242462,85.598984,18.800648,0.00982,0.831417,-0.258589,0.491713,16.668501,49.613529,20.686705,0.009378,0.851768,0.025583,0.52321,3.66178,7.989738,40.88813,-0.02164,0.947124,0.024358,0.319209,-7.172291,1.801377,-14.489087,0.009378,0.851768,0.025583,0.52321,16.807056,2.140178,33.932789
2,0.016667,0.017952,0.950774,0.020956,0.308655,0.326548,86.033165,13.070336,-0.015875,0.95574,0.106932,0.273634,0.496487,94.03698,13.478604,0.01,0.964884,0.01702,0.261934,-1.452064,115.451523,17.76993,0.076475,0.956132,-0.191905,0.207693,-1.207929,138.948608,18.665485,0.063358,0.956289,-0.246624,0.143783,2.93491,152.027985,11.943924,-0.053436,0.906196,0.135405,0.397012,-5.017029,133.644089,17.069347,0.408844,-0.574142,-0.017116,-0.709165,-16.299013,133.82135,4.874208,0.14016,0.220807,-0.560083,-0.78607,-7.626592,122.470299,-16.245329,0.306014,0.326082,-0.548381,-0.706615,-0.794548,145.875015,-11.523329,-0.076138,0.978442,0.111617,0.15619,1.723057,133.423645,21.016371,0.376517,0.839867,0.030826,-0.389754,17.334131,135.319778,26.376873,-0.002919,0.207213,0.467937,-0.859121,27.855518,119.806992,9.092608,-0.071771,-0.014758,0.771647,-0.631816,16.411118,139.159195,0.601489,-0.004437,0.904955,0.21093,0.36952,-7.580177,86.49334,7.340156,0.141489,0.956376,-0.07985,0.242796,-1.514127,52.780914,-6.666406,-0.021739,0.94707,0.024499,0.319352,-16.384462,7.257557,-2.628005,-0.114765,0.895182,0.026742,0.429842,8.233274,85.57299,18.800516,0.010013,0.831415,-0.25877,0.491616,16.687891,49.593899,20.679895,0.009269,0.851719,0.025916,0.523275,3.659624,7.979467,40.886696,-0.021739,0.94707,0.024499,0.319352,-7.16912,1.801075,-14.489564,0.009269,0.851719,0.025916,0.523275,16.8092,2.140011,33.931004
3,0.025,0.01809,0.950781,0.021112,0.308614,0.316835,86.011635,13.067707,-0.015853,0.955717,0.107264,0.273584,0.488123,94.015266,13.479024,0.009759,0.964892,0.017141,0.261906,-1.462646,115.420486,17.783224,0.076864,0.956059,-0.192138,0.20767,-1.230926,138.917603,18.681263,0.063404,0.956341,-0.246522,0.143594,2.923829,151.991333,11.95606,-0.053267,0.906465,0.135115,0.39652,-5.037289,133.611237,17.08474,0.409759,-0.573844,-0.016188,-0.7089,-16.332874,133.787064,4.902171,0.14106,0.220118,-0.56007,-0.786111,-7.641418,122.381676,-16.180239,0.305872,0.325033,-0.548969,-0.706703,-0.794001,145.790665,-11.509916,-0.076045,0.978496,0.111083,0.156281,1.703099,133.393936,21.031427,0.377209,0.839397,0.030114,-0.390152,17.313707,135.289627,26.393461,-0.001994,0.207083,0.468359,-0.858925,27.792667,119.742668,9.11412,-0.070831,-0.014601,0.772233,-0.63121,16.363895,139.09996,0.609007,-0.004522,0.904954,0.211207,0.369363,-7.590297,86.475296,7.338363,0.141464,0.956337,-0.080051,0.242898,-1.513478,52.77158,-6.684466,-0.021572,0.947052,0.024707,0.319402,-16.386438,7.250625,-2.628662,-0.114996,0.894952,0.026976,0.430244,8.223968,85.547981,18.797052,0.010013,0.831184,-0.258895,0.491941,16.700136,49.573727,20.672148,0.008922,0.851674,0.026085,0.523347,3.658041,7.965523,40.882866,-0.021572,0.947052,0.024707,0.319402,-7.171061,1.798428,-14.492169,0.008922,0.851674,0.026085,0.523347,16.813402,2.135612,33.930092
4,0.033333,0.018231,0.950767,0.021364,0.308632,0.309128,85.996162,13.062441,-0.015973,0.955699,0.107702,0.273468,0.481307,93.999542,13.478288,0.009872,0.964937,0.01716,0.261733,-1.479382,115.402451,17.799772,0.077039,0.956061,-0.192339,0.207407,-1.242625,138.899414,18.700054,0.063534,0.956364,-0.246594,0.143259,2.915771,151.969177,11.969382,-0.053375,0.906827,0.134673,0.395827,-5.05063,133.593994,17.104383,0.410745,-0.573634,-0.01566,-0.708511,-16.364075,133.756973,4.938222,0.142299,0.219564,-0.560267,-0.785903,-7.659484,122.307755,-16.114981,0.306952,0.324327,-0.54893,-0.706589,-0.810909,145.728226,-11.504414,-0.075874,0.978521,0.110752,0.156442,1.691144,133.374924,21.048609,0.378245,0.838801,0.029823,-0.390455,17.300949,135.266251,26.414526,-0.000918,0.207089,0.468906,-0.858627,27.727964,119.681129,9.138142,-0.070236,-0.014351,0.772295,-0.631206,16.324297,139.043045,0.611773,-0.004513,0.904959,0.211308,0.369294,-7.597681,86.463966,7.332986,0.141411,0.956357,-0.080121,0.242828,-1.519743,52.763401,-6.69695,-0.021874,0.947028,0.024809,0.319442,-16.389233,7.242093,-2.632384,-0.115229,0.894751,0.02706,0.430594,8.215936,85.528358,18.791897,0.010061,0.831056,-0.258961,0.492122,16.709242,49.55843,20.672203,0.008132,0.85168,0.026129,0.523348,3.655867,7.953611,40.88261,-0.021874,0.947028,0.024809,0.319442,-7.169176,1.795779,-14.494959,0.008132,0.85168,0.026129,0.523348,16.819603,2.136778,33.934738
5,0.041667,0.018344,0.950768,0.021461,0.308617,0.302859,85.985268,13.059566,-0.016029,0.955685,0.108339,0.273261,0.476283,93.98851,13.477445,0.009964,0.965013,0.016937,0.261464,-1.495044,115.403412,17.828739,0.07689,0.956129,-0.192411,0.207085,-1.251083,138.900665,18.71995,0.063883,0.95627,-0.247015,0.143002,2.90066,151.970169,11.984701,-0.053987,0.907144,0.134176,0.395185,-5.061503,133.595703,17.128458,0.411521,-0.573602,-0.015227,-0.708096,-16.389629,133.730301,4.975618,0.143149,0.218827,-0.5603,-0.785931,-7.68251,122.243073,-16.055828,0.307497,0.323148,-0.54914,-0.706729,-0.819303,145.67099,-11.497358,-0.075311,0.978554,0.11051,0.156675,1.682443,133.376236,21.068943,0.378975,0.838296,0.029662,-0.390842,17.292646,135.249741,26.439949,0.000291,0.206872,0.469082,-0.858584,27.676016,119.640526,9.159025,-0.069566,-0.014132,0.772516,-0.631015,16.277817,138.99353,0.61619,-0.004558,0.90501,0.211411,0.369108,-7.604055,86.455742,7.330476,0.141344,0.956355,-0.080185,0.242853,-1.5232,52.758442,-6.706031,-0.021915,0.947021,0.024842,0.319459,-16.388166,7.23629,-2.634407,-0.115426,0.894661,0.02709,0.430726,8.209772,85.514793,18.788654,0.010148,0.831005,-0.258978,0.492197,16.716618,49.548355,20.674566,0.008055,0.85161,0.026224,0.523457,3.653647,7.944554,40.880871,-0.021915,0.947021,0.024842,0.319459,-7.167135,1.791333,-14.496845,0.008055,0.85161,0.026224,0.523457,16.820511,2.131249,33.935974
6,0.05,0.018341,0.950783,0.021482,0.308568,0.298139,85.977486,13.059092,-0.015984,0.955695,0.108806,0.273044,0.471437,93.980713,13.477276,0.009894,0.965083,0.016906,0.261209,-1.502868,115.394272,17.849489,0.076986,0.956149,-0.192591,0.20679,-1.261497,138.891632,18.738394,0.064013,0.95628,-0.247156,0.142638,2.891269,151.957932,11.99753,-0.05409,0.907404,0.134079,0.394608,-5.072062,133.586029,17.149397,0.412349,-0.573528,-0.01482,-0.707682,-16.414961,133.713196,5.010266,0.143938,0.218254,-0.560586,-0.785742,-7.702893,122.188309,-15.998515,0.308187,0.32235,-0.549178,-0.706763,-0.843655,145.625,-11.488769,-0.075234,0.978565,0.110138,0.156908,1.673982,133.367798,21.086353,0.379598,0.837871,0.029637,-0.391151,17.282145,135.239914,26.463762,0.001515,0.206531,0.469276,-0.858558,27.629101,119.612251,9.17768,-0.068639,-0.01403,0.772945,-0.630593,16.234356,138.95813,0.62266,-0.004474,0.905026,0.211494,0.369024,-7.609367,86.448021,7.330827,0.141232,0.956302,-0.080265,0.243102,-1.53317,52.75325,-6.713769,-0.022171,0.947009,0.024951,0.31947,-16.390839,7.229259,-2.635992,-0.115489,0.89455,0.027,0.430944,8.205645,85.506943,18.787355,0.010033,0.830862,-0.258916,0.492474,16.713261,49.541218,20.683359,0.008187,0.851662,0.026565,0.523354,3.655663,7.934084,40.886265,-0.022171,0.947009,0.024951,0.31947,-7.166363,1.789929,-14.498332,0.008187,0.851662,0.026565,0.523354,16.821722,2.127588,33.934151
7,0.058333,0.01842,0.950792,0.021625,0.308524,0.295953,85.980484,13.055862,-0.016027,0.955691,0.109265,0.272873,0.469776,93.983566,13.476602,0.009826,0.965138,0.016967,0.261007,-1.511004,115.3927,17.867664,0.076704,0.956266,-0.192539,0.206397,-1.273276,138.89003,18.758427,0.064476,0.956188,-0.247644,0.142198,2.867857,151.958679,12.014981,-0.054106,0.907714,0.134009,0.393916,-5.083596,133.583908,17.170572,0.413087,-0.573414,-0.01462,-0.707349,-16.444567,133.706039,5.048304,0.144614,0.217662,-0.560656,-0.785732,-7.725515,122.154488,-15.942923,0.308345,0.321533,-0.549659,-0.706693,-0.857545,145.596115,-11.475806,-0.075214,0.97857,0.109871,0.157075,1.664123,133.366501,21.104706,0.379962,0.83754,0.029455,-0.391521,17.270636,135.238739,26.486851,0.002558,0.206069,0.469371,-0.858615,27.58877,119.598915,9.194551,-0.067612,-0.014095,0.773547,-0.629964,16.190042,138.938202,0.635134,-0.004392,0.905101,0.211426,0.36888,-7.612023,86.453339,7.328439,0.141111,0.956307,-0.080253,0.243154,-1.545437,52.756382,-6.715031,-0.022113,0.946979,0.024988,0.319557,-16.392241,7.228952,-2.636124,-0.115546,0.894483,0.026888,0.431075,8.203929,85.507622,18.783287,0.010053,0.830936,-0.258881,0.492366,16.71139,49.542404,20.689716,0.008321,0.851654,0.026689,0.523359,3.656454,7.93359,40.890892,-0.022113,0.946979,0.024988,0.319557,-7.166105,1.790141,-14.497405,0.008321,0.851654,0.026689,0.523359,16.822021,2.128248,33.936893
8,0.066667,0.018487,0.950808,0.021748,0.308462,0.294561,85.989471,13.05214,-0.015981,0.955691,0.10967,0.272712,0.468808,93.992439,13.47508,0.009744,0.965186,0.017109,0.260824,-1.514331,115.399956,17.884272,0.076524,0.956289,-0.193007,0.205922,-1.281871,138.897125,18.780453,0.064891,0.956242,-0.247609,0.141704,2.852476,151.959686,12.021038,-0.054219,0.907992,0.134177,0.393203,-5.091517,133.590469,17.192772,0.41375,-0.573451,-0.014643,-0.70693,-16.470745,133.707703,5.087586,0.145092,0.217167,-0.560748,-0.785716,-7.753889,122.136513,-15.893737,0.308336,0.320985,-0.54974,-0.706883,-0.881285,145.579575,-11.460763,-0.075434,0.97855,0.109941,0.157042,1.657718,133.373749,21.124346,0.380361,0.837238,0.029283,-0.391792,17.263487,135.252838,26.506275,0.003413,0.205801,0.46939,-0.858666,27.55529,119.59877,9.211157,-0.067003,-0.013998,0.77372,-0.629819,16.152674,138.930527,0.643457,-0.004187,0.905136,0.211228,0.36891,-7.614116,86.464294,7.325844,0.140887,0.956242,-0.080216,0.243551,-1.566204,52.761005,-6.710524,-0.022152,0.946973,0.025103,0.319564,-16.393753,7.226935,-2.635671,-0.115488,0.894454,0.026601,0.43117,8.203238,85.514656,18.778437,0.009973,0.831025,-0.258697,0.492314,16.697674,49.547325,20.702934,0.008171,0.851724,0.026802,0.523241,3.659046,7.929215,40.895496,-0.022152,0.946973,0.025103,0.319564,-7.166656,1.791782,-14.497887,0.008171,0.851724,0.026802,0.523241,16.824986,2.129115,33.93782
9,0.075,0.018508,0.950829,0.021808,0.308392,0.294,86.005287,13.049441,-0.015917,0.9557,0.110023,0.272541,0.46831,94.008194,13.473392,0.009523,0.965232,0.017302,0.260647,-1.515501,115.411591,17.898134,0.076435,0.95633,-0.193119,0.205659,-1.295304,138.908661,18.80031,0.06501,0.956195,-0.247973,0.141329,2.8348,151.970001,12.03598,-0.054387,0.908282,0.134083,0.392539,-5.102669,133.600372,17.212606,0.414256,-0.573364,-0.014859,-0.7067,-16.498615,133.707825,5.123073,0.145334,0.216792,-0.560915,-0.785655,-7.77702,122.131279,-15.853318,0.308259,0.320405,-0.550041,-0.706946,-0.906257,145.577087,-11.443985,-0.075594,0.978555,0.109832,0.15701,1.648071,133.386246,21.141731,0.380484,0.837067,0.029005,-0.392058,17.253361,135.271255,26.522964,0.003999,0.205549,0.469157,-0.858851,27.52972,119.610085,9.225101,-0.066657,-0.013948,0.773722,-0.629854,16.111221,138.931305,0.652496,-0.003988,0.905238,0.210939,0.368827,-7.615499,86.48085,7.324347,0.140503,0.956283,-0.079607,0.243812,-1.590032,52.768429,-6.699717,-0.022277,0.946998,0.025212,0.319474,-16.370541,7.214609,-2.675058,-0.115307,0.89453,0.026306,0.431078,8.203499,85.529724,18.774536,0.009801,0.831041,-0.258494,0.492399,16.677029,49.558155,20.71183,0.00825,0.851733,0.026812,0.523225,3.659651,7.929587,40.89653,-0.022277,0.946998,0.025212,0.319474,-7.143967,1.783736,-14.539635,0.00825,0.851733,0.026812,0.523225,16.824598,2.128565,33.937759
