Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.052508,0.912171,-0.012578,0.406237,-2.99231,88.950905,25.720648,0.040822,0.908452,0.029544,0.414941,-2.14252,96.920189,25.878683,0.109563,0.901656,-0.098373,0.406615,-1.029565,119.221817,27.841293,0.255266,0.830718,-0.34536,0.354221,5.497776,141.717529,25.764938,0.307707,0.775587,-0.459077,0.305006,16.437128,149.805161,18.812708,0.088931,0.889745,-0.118014,0.431878,0.958639,137.200256,23.719149,-0.437174,0.667385,-0.460409,0.389231,-9.195139,138.135925,10.601932,-0.501925,0.605724,-0.310419,0.533675,-17.220476,114.119461,7.619402,-0.474558,0.639605,-0.223275,0.562003,-15.537341,92.600723,-0.052382,0.109448,0.869385,-0.168668,0.451377,6.001082,136.281525,29.617123,0.667387,0.708258,0.060104,0.222153,15.447319,135.649521,43.270153,0.60444,0.745631,0.197286,0.199412,15.71463,110.864769,49.248131,0.381038,0.854778,0.248788,0.249538,20.149899,87.959526,50.624233,0.051503,0.864737,0.201124,0.457304,-9.487529,89.787437,18.462864,0.122638,0.951453,0.033715,0.280287,-5.976491,55.970798,3.847246,-0.048663,0.929208,-0.028239,0.36525,-16.283983,9.465223,-2.540154,-0.078947,0.837274,0.092591,0.533072,3.502908,88.114372,32.978432,0.079433,0.791295,-0.129495,0.592262,12.048407,52.203335,30.355385,-0.045688,0.752619,0.045254,0.655309,-1.365283,6.361169,35.682739,-0.048663,0.929208,-0.028239,0.36525,-5.846771,2.902999,-12.708447,-0.045688,0.752619,0.045254,0.655309,13.851903,1.936446,33.620842
1,0.008333,0.052456,0.912087,-0.011645,0.406462,-2.903402,88.958145,25.84042,0.040944,0.908467,0.030278,0.414843,-2.060471,96.927872,26.011959,0.109582,0.901831,-0.097628,0.406401,-0.956442,119.218254,28.005774,0.254824,0.831381,-0.344575,0.353749,5.557349,141.720642,25.959471,0.308072,0.775698,-0.459182,0.304198,16.478104,149.834259,19.008284,0.08947,0.890626,-0.11781,0.430001,1.020044,137.203735,23.90881,-0.439205,0.667355,-0.459855,0.387646,-9.184286,138.168213,10.83297,-0.503577,0.60629,-0.310575,0.531381,-17.18165,114.131454,7.940232,-0.475831,0.640406,-0.224023,0.559713,-15.534899,92.590347,0.34813,0.108611,0.86985,-0.168289,0.450826,6.065139,136.279388,29.803637,0.666231,0.709353,0.060079,0.222136,15.533979,135.661118,43.441635,0.603179,0.746582,0.197593,0.199369,15.880283,110.881248,49.43578,0.380033,0.854968,0.249214,0.249993,20.389805,87.979164,50.822948,0.051702,0.863852,0.201036,0.458989,-9.395158,89.801018,18.580269,0.123833,0.950119,0.035159,0.284085,-5.871313,55.983307,3.970236,-0.040131,0.929897,-0.017766,0.365192,-16.220415,9.515593,-2.622151,-0.078411,0.837527,0.092624,0.532749,3.588352,88.115273,33.100571,0.080446,0.791166,-0.129057,0.592393,12.101178,52.198444,30.450794,-0.045476,0.752569,0.045485,0.655364,-1.365246,6.36096,35.684521,-0.040131,0.929897,-0.017766,0.365192,-5.848549,3.131227,-12.968969,-0.045476,0.752569,0.045485,0.655364,13.852088,1.937294,33.621452
2,0.016667,0.05238,0.911982,-0.010655,0.406733,-2.809947,88.965401,25.945145,0.040884,0.908397,0.031382,0.41492,-1.97463,96.935616,26.130919,0.109605,0.901919,-0.096861,0.406383,-0.893324,119.233391,28.169567,0.25498,0.831558,-0.344486,0.353307,5.60715,141.742569,26.155754,0.30796,0.776119,-0.459046,0.303442,16.526314,149.855911,19.201746,0.089432,0.891295,-0.11793,0.428587,1.072688,137.225876,24.098352,-0.441579,0.667931,-0.458379,0.385701,-9.172204,138.195053,11.05462,-0.505571,0.607148,-0.310787,0.528376,-17.139618,114.13916,8.239187,-0.477266,0.640907,-0.224569,0.557696,-15.546599,92.560577,0.743065,0.108115,0.870473,-0.166961,0.450236,6.11793,136.296158,29.992208,0.665154,0.710429,0.060079,0.221929,15.607998,135.666824,43.614937,0.601896,0.747681,0.197629,0.199092,16.032196,110.890091,49.617039,0.378336,0.855747,0.249328,0.249791,20.620646,87.996849,51.016056,0.052222,0.862782,0.200497,0.461173,-9.297547,89.814629,18.682022,0.125178,0.948731,0.03643,0.287947,-5.788729,55.984886,4.096251,-0.032498,0.930629,-0.006467,0.364461,-16.195808,9.558124,-2.690514,-0.078113,0.83807,0.092621,0.531938,3.677654,88.11618,33.208267,0.081604,0.791314,-0.128751,0.592104,12.169482,52.195869,30.538458,-0.045194,0.752592,0.04544,0.65536,-1.365145,6.368834,35.687084,-0.032498,0.930629,-0.006467,0.364461,-5.888216,3.388786,-13.230207,-0.045194,0.752592,0.04544,0.65536,13.84992,1.938391,33.621815
3,0.025,0.052524,0.911766,-0.009952,0.407216,-2.735429,88.963104,26.054949,0.041141,0.908278,0.032355,0.41508,-1.902681,96.933304,26.252377,0.109012,0.902033,-0.096325,0.406417,-0.829502,119.226303,28.335432,0.254976,0.831762,-0.344118,0.353189,5.636315,141.746445,26.332659,0.307997,0.776493,-0.458713,0.302952,16.552046,149.868591,19.383541,0.089833,0.891787,-0.117557,0.427583,1.108738,137.223816,24.273136,-0.443242,0.667547,-0.458608,0.384183,-9.16234,138.215591,11.251715,-0.506874,0.607524,-0.311325,0.526374,-17.114325,114.142738,8.539561,-0.478589,0.64121,-0.22536,0.555891,-15.558333,92.545067,1.124624,0.107494,0.871102,-0.165354,0.44976,6.155579,136.298889,30.166378,0.664368,0.711405,0.05931,0.221359,15.664336,135.658615,43.775555,0.600135,0.749323,0.197611,0.19825,16.154654,110.887672,49.796482,0.376302,0.856599,0.249655,0.249612,20.857855,88.017288,51.198109,0.051912,0.862676,0.200126,0.461568,-9.215033,89.820175,18.785616,0.126743,0.947839,0.037545,0.290047,-5.692797,55.977051,4.234151,-0.028844,0.932001,0.004646,0.361277,-16.193289,9.596115,-2.720013,-0.077927,0.838291,0.092999,0.531551,3.744176,88.106033,33.324284,0.08276,0.791555,-0.128488,0.591677,12.237945,52.188747,30.620012,-0.045031,0.7526,0.045358,0.655369,-1.366291,6.373471,35.689285,-0.028844,0.932001,0.004646,0.361277,-5.959585,3.685405,-13.477665,-0.045031,0.7526,0.045358,0.655369,13.847193,1.93783,33.62355
4,0.033333,0.052336,0.911658,-0.009223,0.407501,-2.644217,88.968422,26.149405,0.041125,0.908243,0.033261,0.415087,-1.819025,96.939163,26.356512,0.108769,0.902191,-0.095394,0.40635,-0.763795,119.222168,28.475418,0.254451,0.83231,-0.343441,0.352936,5.674445,141.753189,26.50646,0.308128,0.776637,-0.458641,0.302556,16.572599,149.899979,19.558599,0.090574,0.892463,-0.117713,0.42597,1.152175,137.22821,24.440447,-0.445625,0.668387,-0.456647,0.382296,-9.160217,138.248047,11.453889,-0.509141,0.608193,-0.311646,0.523214,-17.077911,114.157333,8.800763,-0.480179,0.641464,-0.226313,0.553836,-15.568084,92.515556,1.496519,0.106823,0.871353,-0.165064,0.44954,6.200696,136.300415,30.331802,0.663212,0.712508,0.05933,0.221274,15.720815,135.673157,43.933643,0.598741,0.750429,0.198166,0.197727,16.291315,110.906891,49.966763,0.374124,0.857439,0.250671,0.248987,21.085049,88.041435,51.35836,0.052351,0.861971,0.199151,0.463255,-9.119686,89.827782,18.876652,0.127962,0.947275,0.039051,0.291155,-5.631237,55.959248,4.37627,-0.023184,0.932863,0.01606,0.359126,-16.189695,9.619254,-2.76062,-0.07753,0.838678,0.092905,0.531014,3.831252,88.109055,33.422157,0.083811,0.791789,-0.128128,0.591295,12.29521,52.185917,30.702299,-0.044718,0.752612,0.04531,0.65538,-1.365747,6.378609,35.690353,-0.023184,0.932863,0.01606,0.359126,-6.027512,3.958729,-13.718763,-0.044718,0.752612,0.04531,0.65538,13.845316,1.935509,33.622765
5,0.041667,0.052281,0.911443,-0.008883,0.407994,-2.568254,88.963394,26.252901,0.041313,0.908133,0.033681,0.415274,-1.746204,96.934334,26.465071,0.108401,0.902285,-0.094254,0.406505,-0.691795,119.211533,28.604389,0.254367,0.832673,-0.342649,0.352909,5.710198,141.75647,26.677147,0.30789,0.777084,-0.458415,0.301994,16.601606,149.923264,19.742201,0.090603,0.893018,-0.117287,0.424915,1.19615,137.227692,24.601524,-0.447465,0.668625,-0.455814,0.380722,-9.145871,138.260193,11.639559,-0.510579,0.608828,-0.312444,0.520593,-17.041025,114.154175,9.059299,-0.481578,0.641491,-0.227779,0.551986,-15.590063,92.486305,1.855557,0.106411,0.871608,-0.163935,0.449558,6.243943,136.297943,30.493187,0.662438,0.713449,0.058729,0.22072,15.766435,135.664917,44.09309,0.597188,0.75197,0.198317,0.196413,16.401733,110.903427,50.139343,0.372114,0.858445,0.250844,0.248355,21.306633,88.06031,51.509136,0.053129,0.860686,0.198311,0.465908,-9.035962,89.824181,18.973421,0.12893,0.946749,0.04077,0.292199,-5.581962,55.936985,4.50844,-0.014384,0.933435,0.026918,0.357446,-16.169786,9.634063,-2.822922,-0.077447,0.83889,0.093253,0.530632,3.899454,88.102608,33.532379,0.085093,0.792255,-0.127883,0.590539,12.370492,52.183311,30.784039,-0.044515,0.752647,0.04493,0.655379,-1.36862,6.390783,35.692451,-0.014384,0.933435,0.026918,0.357446,-6.103235,4.179402,-13.97207,-0.044515,0.752647,0.04493,0.655379,13.838777,1.934779,33.625748
6,0.05,0.052101,0.911196,-0.008112,0.408584,-2.475708,88.960114,26.332464,0.0409,0.908047,0.034801,0.415411,-1.661468,96.931564,26.555246,0.108278,0.90239,-0.093411,0.4065,-0.64514,119.20565,28.732475,0.25407,0.833088,-0.341949,0.352824,5.736026,141.759308,26.838171,0.307752,0.777475,-0.457919,0.301881,16.616144,149.947433,19.910654,0.090758,0.89347,-0.117091,0.423986,1.226318,137.229324,24.755722,-0.44864,0.668535,-0.45577,0.379548,-9.14099,138.2742,11.81496,-0.511841,0.608719,-0.313581,0.518794,-17.027977,114.158295,9.302759,-0.482821,0.641088,-0.229746,0.550552,-15.604999,92.478844,2.20371,0.105606,0.871952,-0.16357,0.449213,6.2746,136.295761,30.646372,0.661414,0.714278,0.05884,0.22108,15.813062,135.677505,44.235767,0.595416,0.753324,0.199127,0.195785,16.509418,110.922981,50.303753,0.370603,0.858962,0.252567,0.247078,21.526485,88.095062,51.658188,0.05371,0.860014,0.197177,0.467559,-8.934366,89.823494,19.045254,0.129956,0.946334,0.04281,0.292798,-5.529682,55.907703,4.635678,-0.003345,0.933081,0.037183,0.357723,-16.145929,9.646702,-2.915938,-0.077215,0.839091,0.093426,0.530316,3.982949,88.096741,33.619675,0.08561,0.792271,-0.127397,0.590549,12.445395,52.177193,30.848274,-0.044579,0.752547,0.044891,0.655493,-1.305697,6.381207,35.690529,-0.003345,0.933081,0.037183,0.357723,-6.15202,4.362824,-14.211729,-0.044579,0.752547,0.044891,0.655493,13.902551,1.925626,33.629112
7,0.058333,0.051852,0.91101,-0.007416,0.409044,-2.391235,88.954468,26.40987,0.040679,0.907922,0.035684,0.415632,-1.585287,96.926506,26.64159,0.107872,0.902453,-0.092437,0.406692,-0.595199,119.19384,28.850349,0.254207,0.8333,-0.341287,0.352866,5.751253,141.760132,26.990318,0.307399,0.778192,-0.45714,0.301575,16.630718,149.961487,20.07744,0.091014,0.893926,-0.116809,0.423046,1.24958,137.225967,24.899595,-0.449536,0.667799,-0.456619,0.378763,-9.142641,138.28746,11.980189,-0.512683,0.608622,-0.314931,0.517256,-17.01895,114.159752,9.549236,-0.484372,0.640572,-0.231712,0.548964,-15.628818,92.441124,2.536368,0.105669,0.872058,-0.161819,0.449625,6.296796,136.29213,30.791109,0.66025,0.715483,0.058205,0.220831,15.8225,135.647766,44.388233,0.593621,0.754982,0.199898,0.194054,16.602894,110.902962,50.485619,0.368697,0.859747,0.253464,0.246278,21.746769,88.122414,51.788158,0.054374,0.859499,0.196141,0.468864,-8.843052,89.81871,19.116709,0.130952,0.945862,0.044724,0.293593,-5.495495,55.878078,4.752317,0.010028,0.931895,0.047371,0.359483,-16.139141,9.658154,-3.009345,-0.076708,0.838664,0.093464,0.531058,4.060582,88.090225,33.703033,0.086541,0.792446,-0.12716,0.590229,12.495703,52.165413,30.916512,-0.044434,0.75251,0.04519,0.655525,-1.310417,6.379035,35.692566,0.010028,0.931895,0.047371,0.359483,-6.203041,4.522692,-14.423951,-0.044434,0.75251,0.04519,0.655525,13.898718,1.927426,33.62915
8,0.066667,0.051453,0.910857,-0.006657,0.409447,-2.300122,88.951859,26.480671,0.039579,0.907882,0.036956,0.415715,-1.505067,96.924728,26.721207,0.108188,0.902504,-0.091672,0.406667,-0.583329,119.19899,28.96203,0.253649,0.83386,-0.340336,0.352861,5.762072,141.768677,27.140137,0.307343,0.778403,-0.456677,0.301786,16.623983,150.001389,20.236937,0.091145,0.894137,-0.116895,0.422549,1.260947,137.237732,25.041315,-0.450814,0.667714,-0.456221,0.377873,-9.144456,138.304428,12.13295,-0.514016,0.608634,-0.316294,0.515083,-16.996414,114.163551,9.754595,-0.485079,0.640517,-0.233,0.547858,-15.646998,92.418114,2.856786,0.105313,0.872383,-0.160944,0.449392,6.307411,136.294434,30.931971,0.65926,0.716415,0.058002,0.220819,15.842575,135.644928,44.522221,0.591915,0.756425,0.200707,0.192808,16.689817,110.907219,50.63942,0.365976,0.860891,0.254577,0.245191,21.950712,88.151909,51.90451,0.055443,0.858861,0.19478,0.470473,-8.746284,89.814857,19.182364,0.131738,0.945372,0.046368,0.294563,-5.48815,55.843533,4.870081,0.021818,0.930369,0.056875,0.361528,-16.146351,9.657868,-3.073406,-0.076054,0.838597,0.093574,0.531239,4.14604,88.088867,33.77898,0.087234,0.792296,-0.127121,0.590337,12.545766,52.158176,30.96146,-0.044391,0.752478,0.045176,0.655565,-1.310974,6.382427,35.692532,0.021818,0.930369,0.056875,0.361528,-6.242384,4.671365,-14.581606,-0.044391,0.752478,0.045176,0.655565,13.897985,1.929621,33.630417
9,0.075,0.051044,0.910694,-0.00601,0.409871,-2.217833,88.94606,26.54501,0.039549,0.907439,0.038106,0.416578,-1.433084,96.919724,26.792679,0.107436,0.902197,-0.091037,0.40769,-0.536432,119.184891,29.079956,0.253355,0.83405,-0.339401,0.353522,5.767709,141.76767,27.27714,0.307039,0.779018,-0.45592,0.301654,16.624195,150.026688,20.396879,0.091325,0.894396,-0.116266,0.422135,1.280048,137.228287,25.167725,-0.452183,0.668107,-0.455389,0.376543,-9.135881,138.311584,12.269239,-0.515499,0.608633,-0.317622,0.512779,-16.975971,114.161942,9.941256,-0.48575,0.640359,-0.234979,0.5466,-15.664479,92.368797,3.157572,0.104474,0.872487,-0.160218,0.449646,6.316022,136.293549,31.068707,0.658346,0.717377,0.057885,0.220455,15.849439,135.658508,44.660862,0.590134,0.757929,0.201444,0.191589,16.766298,110.924301,50.782204,0.363957,0.861679,0.256266,0.243664,22.150692,88.182198,52.01469,0.056183,0.858674,0.193727,0.471161,-8.658026,89.806747,19.241163,0.132685,0.944609,0.047467,0.296404,-5.472919,55.811249,4.96988,0.033604,0.92834,0.06567,0.364339,-16.16795,9.659555,-3.120214,-0.075435,0.838474,0.093598,0.531517,4.22236,88.085365,33.848854,0.087902,0.792259,-0.127022,0.590309,12.58582,52.148067,31.007885,-0.044341,0.752439,0.045358,0.655601,-1.315539,6.381145,35.693264,0.033604,0.92834,0.06567,0.364339,-6.276364,4.803369,-14.694595,-0.044341,0.752439,0.045358,0.655601,13.894331,1.93155,33.63092
