Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.012559,0.943085,0.011236,0.332124,-2.613295,86.562935,17.327646,-0.009308,0.944368,0.086589,0.31715,-2.483232,94.574394,17.564407,0.005162,0.949733,0.006532,0.312951,-4.057498,115.958046,20.987234,0.117341,0.939914,-0.187595,0.26,-3.923078,139.4702,21.354959,0.072547,0.955739,-0.21548,0.18673,1.766824,152.329941,15.382939,-0.052971,0.890857,0.09907,0.440174,-7.538129,134.118607,19.487703,0.454914,-0.576936,0.073552,-0.67438,-17.621052,133.999603,6.283292,0.230068,0.140571,-0.536785,-0.799481,-9.373592,118.086555,-11.850825,0.373902,0.207018,-0.595542,-0.680198,0.109061,140.867172,-12.399399,-0.086129,0.96638,0.088841,0.225387,-1.255239,134.010056,24.13204,0.357148,0.886537,0.035382,-0.291969,13.424601,136.110443,31.62381,-0.031624,0.294334,0.420553,-0.857614,28.069984,120.491341,17.780127,-0.171178,0.058775,0.785448,-0.591875,16.698111,138.281387,6.28206,0.014373,0.899249,0.221596,0.376882,-10.229212,86.86747,11.206526,0.127319,0.968688,-0.037815,0.209768,-5.004536,53.51033,-3.943139,-0.019655,0.955111,0.02902,0.294168,-17.62184,7.145411,-2.989281,-0.109601,0.89932,0.046797,0.420739,5.002621,86.258392,23.448765,0.005094,0.866656,-0.227127,0.444179,13.755149,50.302696,23.746895,-0.008095,0.877102,0.043067,0.478301,3.633668,7.203239,42.449947,-0.019655,0.955111,0.02902,0.294168,-9.051741,1.789281,-15.369004,-0.008095,0.877102,0.043067,0.478301,16.278627,2.094825,34.119205
1,0.008333,0.012114,0.942956,0.011205,0.332507,-2.633354,86.463585,17.321804,-0.00922,0.94414,0.08664,0.317818,-2.509952,94.475243,17.555771,0.00493,0.949469,0.006425,0.313757,-4.083896,115.860519,20.981098,0.117774,0.93984,-0.187126,0.260411,-3.958575,139.372849,21.340765,0.072821,0.955928,-0.214644,0.18662,1.74336,152.235992,15.387565,-0.05266,0.890636,0.09897,0.440682,-7.568523,134.019287,19.469257,0.456967,-0.575605,0.074596,-0.674014,-17.637701,133.910095,6.254268,0.233177,0.141454,-0.536318,-0.798738,-9.319888,117.933151,-11.791327,0.376134,0.20701,-0.595266,-0.679212,0.173637,140.703583,-12.387112,-0.086164,0.966348,0.088679,0.225573,-1.293486,133.914642,24.124294,0.35716,0.886673,0.036046,-0.29146,13.383369,136.016708,31.621452,-0.032248,0.294661,0.420751,-0.857382,28.043493,120.403542,17.78664,-0.172058,0.058629,0.785281,-0.591855,16.6873,138.208862,6.289747,0.013647,0.899137,0.223733,0.375913,-10.244516,86.759766,11.194357,0.127802,0.968494,-0.039371,0.210084,-4.927822,53.471531,-4.074389,-0.019757,0.955104,0.029384,0.294148,-17.62026,7.129991,-2.990009,-0.110266,0.89876,0.048499,0.421567,4.977808,86.167412,23.449251,0.005265,0.866291,-0.228385,0.444243,13.826029,50.234543,23.663597,-0.007987,0.877146,0.043506,0.478183,3.635308,7.190365,42.456146,-0.019757,0.955104,0.029384,0.294148,-9.04847,1.785251,-15.373492,-0.007987,0.877146,0.043506,0.478183,16.279305,2.092231,34.117634
2,0.016667,0.011606,0.942785,0.011539,0.332999,-2.634315,86.368561,17.304155,-0.009887,0.943939,0.086936,0.318313,-2.52049,94.380287,17.540533,0.005499,0.949311,0.006372,0.314226,-4.129458,115.787193,20.971716,0.11792,0.939874,-0.186689,0.260536,-3.978087,139.299271,21.337456,0.073048,0.956014,-0.214243,0.186551,1.725975,152.167679,15.3977,-0.052854,0.890548,0.098511,0.440938,-7.592206,133.950256,19.461054,0.458233,-0.574125,0.077025,-0.674144,-17.653179,133.829605,6.239921,0.236064,0.141432,-0.536219,-0.79796,-9.267381,117.766106,-11.697038,0.379047,0.206686,-0.594639,-0.67824,0.232513,140.533905,-12.374505,-0.085378,0.966223,0.088651,0.226418,-1.321864,133.837372,24.122219,0.35703,0.886636,0.036829,-0.291634,13.346779,135.911575,31.643169,-0.033138,0.295142,0.420719,-0.857198,28.006441,120.316887,17.787037,-0.173712,0.058937,0.784925,-0.591814,16.662771,138.13028,6.291048,0.012924,0.8994,0.225538,0.374227,-10.239312,86.657623,11.168721,0.128325,0.968328,-0.040866,0.210246,-4.852672,53.428017,-4.202841,-0.02004,0.955072,0.029905,0.294179,-17.622627,7.110906,-2.992462,-0.110898,0.898381,0.049663,0.422075,4.970682,86.079498,23.439589,0.005519,0.866023,-0.229444,0.444218,13.895977,50.165421,23.601749,-0.008259,0.877203,0.044081,0.478021,3.639589,7.168087,42.465679,-0.02004,0.955072,0.029905,0.294179,-9.045413,1.78373,-15.379754,-0.008259,0.877203,0.044081,0.478021,16.286163,2.089273,34.119289
3,0.025,0.011327,0.942649,0.011746,0.333387,-2.636567,86.292831,17.279604,-0.010288,0.943735,0.087366,0.318787,-2.528162,94.304588,17.517653,0.005507,0.949137,0.006499,0.314749,-4.161309,115.70829,20.960011,0.118739,0.939767,-0.186507,0.260679,-4.011702,139.220291,21.331614,0.073241,0.956212,-0.213662,0.186127,1.714558,152.084732,15.404675,-0.052412,0.890522,0.098436,0.441061,-7.623433,133.871506,19.449919,0.460379,-0.572606,0.078963,-0.67375,-17.682356,133.763245,6.227124,0.239631,0.141501,-0.535694,-0.797236,-9.223153,117.607559,-11.592174,0.381479,0.205993,-0.594484,-0.677222,0.302776,140.359467,-12.360057,-0.08513,0.966106,0.088879,0.226921,-1.358243,133.757858,24.117985,0.356875,0.886654,0.037274,-0.291712,13.304231,135.820572,31.654102,-0.033694,0.295334,0.420936,-0.857004,27.967199,120.239349,17.786343,-0.17423,0.058842,0.785078,-0.591468,16.637035,138.0672,6.295997,0.01243,0.899402,0.227087,0.3733,-10.236637,86.578156,11.137896,0.128745,0.968143,-0.04224,0.21057,-4.789842,53.399498,-4.322283,-0.02003,0.955016,0.030063,0.294347,-17.625647,7.103732,-2.997257,-0.111712,0.897975,0.050782,0.42259,4.963504,86.007515,23.421312,0.005627,0.865992,-0.229972,0.444004,13.976507,50.115181,23.540325,-0.008417,0.877135,0.044578,0.478096,3.693358,7.141283,42.443054,-0.02003,0.955016,0.030063,0.294347,-9.043798,1.781054,-15.383267,-0.008417,0.877135,0.044578,0.478096,16.345406,2.078002,34.095535
4,0.033333,0.011034,0.942517,0.012016,0.333761,-2.63576,86.225151,17.250015,-0.010765,0.9435,0.088078,0.319271,-2.53333,94.236908,17.490616,0.005659,0.948958,0.006527,0.315285,-4.198846,115.650192,20.956987,0.119062,0.939705,-0.186373,0.260853,-4.043054,139.162094,21.332224,0.073606,0.956245,-0.213541,0.18595,1.692526,152.025848,15.412775,-0.052356,0.890685,0.097827,0.440874,-7.654165,133.814606,19.445671,0.462541,-0.571003,0.080947,-0.673394,-17.718779,133.698196,6.227268,0.243341,0.141349,-0.535217,-0.79646,-9.182222,117.4505,-11.471079,0.384491,0.204713,-0.593583,-0.676697,0.367675,140.178986,-12.342455,-0.084758,0.966025,0.089006,0.227354,-1.394272,133.698517,24.120783,0.35713,0.886503,0.037878,-0.29178,13.263772,135.746796,31.669453,-0.0341,0.295745,0.421519,-0.85656,27.915436,120.165894,17.789377,-0.174594,0.058932,0.784568,-0.592027,16.621721,138.013245,6.298819,0.011691,0.899716,0.228175,0.371901,-10.231082,86.506882,11.102266,0.129192,0.967939,-0.043353,0.211009,-4.728872,53.363575,-4.41403,-0.019971,0.954976,0.030558,0.29443,-17.628099,7.088041,-3.000825,-0.112215,0.897725,0.051392,0.422914,4.959562,85.943428,23.397762,0.005872,0.865979,-0.230822,0.443584,14.024231,50.064041,23.495571,-0.008669,0.87726,0.044829,0.477839,3.693752,7.128057,42.458553,-0.019971,0.954976,0.030558,0.29443,-9.043344,1.779072,-15.390709,-0.008669,0.87726,0.044829,0.477839,16.344759,2.075218,34.103123
5,0.041667,0.010854,0.942347,0.01231,0.334235,-2.634317,86.174431,17.209631,-0.010947,0.943276,0.088667,0.319762,-2.536304,94.186134,17.453768,0.005644,0.948783,0.006838,0.315804,-4.219274,115.59446,20.94063,0.119265,0.939621,-0.186392,0.26105,-4.068973,139.106171,21.329603,0.07389,0.956282,-0.213307,0.185917,1.673829,151.967926,15.412847,-0.052136,0.891085,0.097265,0.440215,-7.676853,133.759003,19.435999,0.464659,-0.569429,0.083258,-0.672987,-17.76152,133.638031,6.232935,0.247011,0.140774,-0.53435,-0.796014,-9.152812,117.288315,-11.336022,0.386114,0.203673,-0.593468,-0.676187,0.449096,139.98555,-12.319242,-0.084837,0.965794,0.089586,0.228076,-1.422077,133.641556,24.117916,0.357276,0.886358,0.038729,-0.291929,13.22459,135.685211,31.689877,-0.034187,0.295999,0.421375,-0.856539,27.866501,120.113289,17.789463,-0.175992,0.059149,0.784311,-0.591933,16.574883,137.954803,6.291004,0.011323,0.899801,0.22878,0.371335,-10.223511,86.454842,11.054264,0.129472,0.967759,-0.04428,0.211468,-4.689837,53.331364,-4.493149,-0.020307,0.954902,0.03088,0.294612,-17.633638,7.070607,-3.005877,-0.112684,0.897504,0.051668,0.423225,4.954877,85.89402,23.364998,0.005932,0.865701,-0.231355,0.443849,14.058646,50.024532,23.462564,-0.008777,0.877272,0.045149,0.477786,3.694721,7.112294,42.460995,-0.020307,0.954902,0.03088,0.294612,-9.039583,1.774043,-15.394616,-0.008777,0.877272,0.045149,0.477786,16.347403,2.069581,34.10199
6,0.05,0.010609,0.94218,0.012684,0.334698,-2.621161,86.142036,17.16728,-0.011487,0.943095,0.089506,0.320044,-2.528965,94.153671,17.4158,0.005777,0.948701,0.007199,0.316039,-4.247355,115.562424,20.929945,0.119462,0.939605,-0.186341,0.261054,-4.096609,139.073837,21.337036,0.074401,0.956188,-0.213698,0.185747,1.651231,151.934753,15.423319,-0.052186,0.891378,0.096961,0.439683,-7.703689,133.72821,19.437527,0.467081,-0.568067,0.08522,-0.672215,-17.803732,133.599121,6.24629,0.251079,0.140438,-0.533764,-0.795194,-9.132884,117.147514,-11.196577,0.389484,0.202236,-0.592571,-0.675472,0.503246,139.821136,-12.29849,-0.084477,0.965649,0.090005,0.228657,-1.451256,133.60701,24.12248,0.357541,0.886067,0.038704,-0.292492,13.18862,135.633804,31.712103,-0.0344,0.29625,0.421731,-0.856268,27.804119,120.055977,17.790512,-0.176339,0.059179,0.783887,-0.592388,16.535727,137.90744,6.292158,0.011097,0.9,0.229053,0.370691,-10.204406,86.420471,11.00449,0.129672,0.967545,-0.045091,0.212154,-4.659236,53.305859,-4.557705,-0.020355,0.954839,0.031235,0.294776,-17.638462,7.057059,-3.008566,-0.113013,0.897449,0.051616,0.42326,4.962084,85.863594,23.330072,0.00612,0.865626,-0.231703,0.443812,14.085813,49.999226,23.441887,-0.008845,0.877217,0.045378,0.477862,3.692234,7.102692,42.459599,-0.020355,0.954839,0.031235,0.294776,-9.038641,1.771194,-15.39788,-0.008845,0.877217,0.045378,0.477862,16.348166,2.06705,34.101242
7,0.058333,0.010384,0.94205,0.01256,0.335076,-2.609672,86.123192,17.132183,-0.011949,0.942915,0.090229,0.320355,-2.52031,94.134956,17.377653,0.005718,0.948592,0.007657,0.316356,-4.269573,115.54644,20.915646,0.119532,0.939605,-0.186205,0.261117,-4.128392,139.057556,21.342337,0.075217,0.956003,-0.214342,0.185631,1.620973,151.919891,15.433201,-0.052004,0.892004,0.096533,0.438528,-7.732072,133.712097,19.435951,0.469779,-0.566243,0.087356,-0.671599,-17.866459,133.577332,6.271142,0.255315,0.139755,-0.53323,-0.794322,-9.108862,117.020821,-11.02852,0.3921,0.200814,-0.592044,-0.674845,0.559516,139.659088,-12.267351,-0.084362,0.965468,0.090328,0.229339,-1.482764,133.589478,24.125036,0.357938,0.885823,0.039538,-0.292633,13.147383,135.607544,31.73571,-0.033865,0.296257,0.421952,-0.856179,27.744181,120.028946,17.79538,-0.176583,0.059363,0.78388,-0.592306,16.486141,137.878174,6.288802,0.010897,0.900173,0.229134,0.370226,-10.188066,86.396729,10.96321,0.129869,0.967375,-0.045674,0.212681,-4.635375,53.284573,-4.60151,-0.020711,0.954789,0.031406,0.294896,-17.644939,7.045758,-3.009395,-0.113257,0.897465,0.051381,0.423189,4.968723,85.849655,23.301157,0.006203,0.86564,-0.231864,0.443697,14.101174,49.987583,23.435575,-0.008559,0.877238,0.045628,0.477805,3.696332,7.098335,42.463558,-0.020711,0.954789,0.031406,0.294896,-9.037628,1.768098,-15.397006,-0.008559,0.877238,0.045628,0.477805,16.34971,2.065359,34.099728
8,0.066667,0.010386,0.941909,0.01289,0.335459,-2.596369,86.136917,17.079004,-0.012386,0.942752,0.091135,0.320562,-2.50886,94.148544,17.329504,0.005696,0.948532,0.008265,0.316522,-4.289296,115.550423,20.897501,0.119322,0.939698,-0.185891,0.261104,-4.158244,139.061096,21.351007,0.076298,0.955675,-0.215457,0.185589,1.583267,151.929794,15.448101,-0.052094,0.892587,0.096219,0.437397,-7.758969,133.716278,19.437239,0.47223,-0.564723,0.089596,-0.670865,-17.925957,133.569641,6.297718,0.259324,0.139097,-0.532576,-0.793578,-9.100951,116.905617,-10.863903,0.394962,0.198964,-0.591523,-0.674181,0.610825,139.517944,-12.23063,-0.08421,0.965308,0.090547,0.229979,-1.5113,133.590958,24.128433,0.358324,0.885516,0.03975,-0.293061,13.109931,135.600113,31.758574,-0.032975,0.295702,0.422256,-0.856255,27.679831,120.013725,17.79882,-0.17598,0.059043,0.784834,-0.591254,16.417126,137.865479,6.295141,0.010856,0.900216,0.228514,0.370507,-10.16974,86.412712,10.903968,0.129931,0.967239,-0.045958,0.213202,-4.626627,53.279465,-4.619241,-0.020602,0.954755,0.031515,0.294999,-17.648415,7.044715,-3.009155,-0.11348,0.897581,0.050553,0.422985,4.977002,85.861115,23.254042,0.006245,0.865692,-0.231735,0.443663,14.098456,49.996517,23.44833,-0.008829,0.877224,0.045459,0.477843,3.696407,7.101572,42.465,-0.020602,0.954755,0.031515,0.294999,-9.039353,1.76923,-15.396476,-0.008829,0.877224,0.045459,0.477843,16.352228,2.067892,34.105293
9,0.075,0.010375,0.941761,0.013326,0.335858,-2.571243,86.171021,17.023554,-0.012814,0.942591,0.092016,0.320768,-2.486347,94.182465,17.280617,0.005597,0.948471,0.009079,0.316683,-4.296856,115.570618,20.877014,0.11902,0.93977,-0.18585,0.261009,-4.182409,139.080673,21.36536,0.077345,0.955368,-0.216526,0.185491,1.549859,151.952484,15.460229,-0.052257,0.893228,0.095954,0.436126,-7.778716,133.736176,19.442402,0.475008,-0.563495,0.091125,-0.669729,-17.982037,133.575699,6.331234,0.263171,0.138672,-0.532116,-0.792694,-9.100438,116.814362,-10.705991,0.397917,0.196996,-0.590655,-0.673781,0.639158,139.401321,-12.190051,-0.084266,0.965106,0.090727,0.230734,-1.532624,133.608292,24.13563,0.358879,0.885127,0.039897,-0.293539,13.076726,135.615051,31.789127,-0.031927,0.295418,0.422601,-0.856223,27.612041,120.013916,17.809811,-0.175201,0.059202,0.785151,-0.591048,16.355986,137.862656,6.298315,0.011108,0.900223,0.227443,0.371141,-10.139383,86.449554,10.842227,0.129877,0.967118,-0.046017,0.21377,-4.631763,53.280586,-4.617185,-0.020371,0.954743,0.031711,0.295034,-17.65073,7.045004,-3.008139,-0.113356,0.897579,0.0495,0.423146,4.996897,85.892479,23.204878,0.006165,0.865675,-0.231412,0.443867,14.07774,50.018005,23.466564,-0.008845,0.877118,0.045327,0.478049,3.691606,7.108593,42.459263,-0.020371,0.954743,0.031711,0.295034,-9.042745,1.773062,-15.397714,-0.008845,0.877118,0.045327,0.478049,16.350742,2.07149,34.106644
