Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.002678,0.929337,0.017609,0.368802,1.171938,86.493568,13.945125,-0.024742,0.936005,0.12528,0.328007,1.027915,94.504509,14.191649,-0.013693,0.947477,0.010231,0.319368,-1.840824,116.100708,19.064913,0.133368,0.947674,-0.14975,0.248399,-2.604666,139.602371,19.315145,0.076252,0.961776,-0.226704,0.133332,3.195138,152.851547,14.392281,-0.081067,0.880875,0.113829,0.45225,-5.987404,134.108673,17.425385,0.44892,-0.501224,0.103961,-0.732419,-15.587105,133.446411,3.881259,0.248398,0.234862,-0.512343,-0.787809,-3.452263,118.089508,-12.458974,0.34671,0.287045,-0.604136,-0.657584,5.546799,140.888519,-9.608326,-0.098765,0.969784,0.041978,0.219095,0.22956,134.260376,22.156427,0.392214,0.853219,-0.016042,-0.343405,14.924706,137.137436,29.354439,0.058,0.236123,0.44143,-0.863725,26.56357,119.79171,14.734086,-0.074622,-0.03046,0.797731,-0.597603,14.573405,137.464508,3.697669,0.014809,0.894977,0.197223,0.399874,-5.944298,86.571869,7.243172,0.146665,0.952219,-0.073474,0.257625,-1.088218,52.460152,-6.259317,-0.052978,0.942852,0.021534,0.328268,-16.331652,6.986177,-3.166261,-0.10257,0.879722,0.033055,0.463115,8.288174,86.415268,20.647079,0.022676,0.833402,-0.229222,0.502378,16.099674,50.267948,22.010622,-0.00928,0.842595,0.040535,0.53694,3.214234,7.30733,39.278011,-0.052978,0.942852,0.021534,0.328268,-6.563569,1.779026,-14.692863,-0.00928,0.842595,0.040535,0.53694,16.847336,2.122907,32.747105
1,0.008333,-0.002616,0.92912,0.017689,0.369345,1.177648,86.477921,13.932425,-0.024612,0.935788,0.125783,0.32844,1.033941,94.488815,14.180432,-0.013688,0.94733,0.009959,0.319811,-1.840245,116.08976,19.077223,0.133604,0.94751,-0.150176,0.248642,-2.599892,139.59169,19.315031,0.076505,0.961649,-0.227199,0.13326,3.210725,152.833252,14.384424,-0.080682,0.880935,0.11359,0.452262,-5.981886,134.097702,17.424829,0.449069,-0.501386,0.104365,-0.732159,-15.583303,133.442978,3.881563,0.248738,0.234326,-0.51218,-0.787968,-3.461057,118.064819,-12.448025,0.346899,0.286419,-0.604026,-0.657859,5.558335,140.858002,-9.623096,-0.098025,0.969687,0.041688,0.21991,0.230654,134.250565,22.161636,0.393614,0.85265,-0.015378,-0.343249,14.918743,137.104446,29.38323,0.058814,0.236263,0.442496,-0.863086,26.507002,119.721016,14.767475,-0.074681,-0.029932,0.798419,-0.596703,14.565271,137.414902,3.71212,0.014913,0.894769,0.197353,0.400272,-5.930752,86.558144,7.222188,0.146746,0.952071,-0.073889,0.258006,-1.071632,52.450455,-6.289365,-0.052867,0.942843,0.021542,0.328312,-16.333406,6.984648,-3.166805,-0.102849,0.879477,0.033268,0.463504,8.286048,86.397705,20.642662,0.022767,0.8332,-0.229392,0.502632,16.122143,50.255672,22.005449,-0.009306,0.842579,0.040629,0.536958,3.216049,7.302931,39.276993,-0.052867,0.942843,0.021542,0.328312,-6.565431,1.776587,-14.69308,-0.009306,0.842579,0.040629,0.536958,16.850197,2.121328,32.746052
2,0.016667,-0.002295,0.928885,0.017643,0.369942,1.171465,86.484947,13.915873,-0.024528,0.935563,0.126094,0.328968,1.032644,94.495895,14.164996,-0.013342,0.947173,0.010037,0.320289,-1.844865,116.090073,19.073387,0.133663,0.9474,-0.150506,0.248828,-2.590375,139.592377,19.319504,0.07685,0.961469,-0.227861,0.133235,3.22519,152.829117,14.381844,-0.08036,0.880998,0.113454,0.452232,-5.973844,134.101181,17.423811,0.449243,-0.501671,0.10441,-0.73185,-15.577886,133.453552,3.882055,0.249048,0.234076,-0.511863,-0.788149,-3.47071,118.064392,-12.448342,0.347186,0.285874,-0.603814,-0.658139,5.571892,140.85405,-9.634503,-0.097636,0.969539,0.041838,0.220706,0.234065,134.248428,22.166868,0.394589,0.852214,-0.015129,-0.343224,14.913026,137.087097,29.412991,0.059439,0.236524,0.443273,-0.862573,26.462978,119.674393,14.801738,-0.074547,-0.029435,0.798857,-0.596157,14.562064,137.379059,3.727551,0.01487,0.894483,0.197022,0.401077,-5.928345,86.570862,7.196615,0.146853,0.952026,-0.073833,0.258128,-1.064157,52.453392,-6.288405,-0.051344,0.942593,0.022376,0.329214,-16.334557,6.989807,-3.175652,-0.103114,0.879229,0.033356,0.46391,8.271276,86.399025,20.635132,0.022788,0.833166,-0.229382,0.502692,16.126724,50.261463,22.004972,-0.009282,0.842515,0.040413,0.537074,3.218196,7.308393,39.273891,-0.051344,0.942593,0.022376,0.329214,-6.559008,1.78978,-14.699141,-0.009282,0.842515,0.040413,0.537074,16.852636,2.120814,32.748295
3,0.025,-0.002215,0.928649,0.017749,0.370528,1.1818,86.500412,13.896686,-0.024758,0.935302,0.126358,0.329592,1.043381,94.511307,14.147782,-0.013025,0.946967,0.01027,0.320901,-1.851125,116.103981,19.06212,0.133054,0.947362,-0.150962,0.249023,-2.586207,139.606445,19.322914,0.077721,0.961185,-0.228595,0.13352,3.216868,152.842789,14.369456,-0.080049,0.881027,0.113421,0.452238,-5.969757,134.118073,17.419243,0.449425,-0.501869,0.10465,-0.73157,-15.575263,133.479019,3.878119,0.249427,0.234021,-0.51152,-0.788269,-3.480733,118.07325,-12.44599,0.34727,0.285856,-0.603709,-0.658198,5.579019,140.852615,-9.638691,-0.097164,0.969417,0.041798,0.221457,0.232145,134.259323,22.170334,0.395329,0.85189,-0.015131,-0.343176,14.903135,137.081604,29.43895,0.059997,0.23666,0.443978,-0.862135,26.424936,119.64328,14.836041,-0.074113,-0.029025,0.799652,-0.595165,14.556795,137.361588,3.746939,0.015108,0.894196,0.196418,0.402001,-5.909525,86.588768,7.168506,0.146792,0.951921,-0.073917,0.258526,-1.065265,52.454269,-6.280541,-0.05285,0.94283,0.021511,0.328354,-16.333498,6.990152,-3.164928,-0.103064,0.879144,0.033047,0.464103,8.273125,86.412056,20.624866,0.022744,0.833255,-0.229248,0.502607,16.114536,50.272202,22.014755,-0.009215,0.842551,0.040379,0.537021,3.21766,7.313028,39.277206,-0.05285,0.94283,0.021511,0.328354,-6.564756,1.781083,-14.690104,-0.009215,0.842551,0.040379,0.537021,16.850475,2.123523,32.749741
4,0.033333,-0.002035,0.9284,0.01782,0.371149,1.190469,86.528954,13.875479,-0.024822,0.935043,0.126601,0.330227,1.054142,94.539818,14.128611,-0.012698,0.946762,0.010516,0.321512,-1.84978,116.128563,19.049728,0.132988,0.947296,-0.15087,0.249364,-2.574196,139.631195,19.325947,0.078184,0.960881,-0.22966,0.133605,3.228876,152.869171,14.376887,-0.079821,0.881109,0.113262,0.452159,-5.957881,134.145706,17.414145,0.449531,-0.502044,0.10453,-0.731401,-15.566984,133.510422,3.875401,0.24964,0.234234,-0.511236,-0.788322,-3.480153,118.103279,-12.453101,0.347865,0.285396,-0.603305,-0.658455,5.590054,140.880768,-9.638479,-0.096788,0.969268,0.041832,0.222265,0.238019,134.280746,22.173233,0.396256,0.851573,-0.01462,-0.342917,14.899521,137.089096,29.466349,0.060792,0.236742,0.444644,-0.861713,26.392984,119.626068,14.870623,-0.073831,-0.028593,0.800151,-0.59455,14.555749,137.352844,3.764553,0.015353,0.89387,0.195537,0.403144,-5.89187,86.62133,7.137898,0.14679,0.951863,-0.073714,0.258797,-1.073161,52.461815,-6.256696,-0.052809,0.942804,0.021458,0.328437,-16.337284,6.994766,-3.163862,-0.102887,0.879058,0.032519,0.464342,8.272809,86.436584,20.61306,0.02259,0.83333,-0.228892,0.502653,16.084484,50.291477,22.033278,-0.009065,0.842508,0.040413,0.537089,3.215969,7.315975,39.276218,-0.052809,0.942804,0.021458,0.328437,-6.567108,1.783848,-14.686979,-0.009065,0.842508,0.040413,0.537089,16.848608,2.124937,32.749622
5,0.041667,-0.001914,0.928147,0.017849,0.37178,1.203596,86.566414,13.853076,-0.025302,0.934779,0.127011,0.330781,1.06873,94.577263,14.107264,-0.012029,0.946609,0.010758,0.321981,-1.86555,116.170731,19.038673,0.132988,0.947235,-0.150862,0.249602,-2.564007,139.673889,19.335447,0.07882,0.960478,-0.231085,0.133675,3.240661,152.91188,14.388287,-0.07986,0.881003,0.113203,0.452373,-5.951964,134.193924,17.415419,0.44905,-0.502304,0.104985,-0.731452,-15.554417,133.557709,3.871997,0.249546,0.234293,-0.510922,-0.788538,-3.485775,118.139664,-12.459676,0.347958,0.285586,-0.603112,-0.6585,5.597686,140.906845,-9.634392,-0.096215,0.969126,0.041789,0.223138,0.239484,134.317749,22.180611,0.397057,0.851293,-0.014099,-0.342705,14.891735,137.106277,29.499891,0.061461,0.236989,0.445231,-0.861295,26.360209,119.623375,14.9083,-0.073663,-0.028093,0.800431,-0.594218,14.555568,137.354279,3.782539,0.015679,0.893571,0.194429,0.40433,-5.869586,86.661423,7.105915,0.146661,0.951695,-0.073466,0.259558,-1.088071,52.470654,-6.222117,-0.052792,0.942802,0.02142,0.328449,-16.33721,6.996462,-3.160605,-0.102529,0.879053,0.031795,0.464481,8.276777,86.471405,20.600237,0.02213,0.832971,-0.228371,0.503504,16.040558,50.317406,22.056337,-0.009083,0.842451,0.040355,0.537183,3.21618,7.317,39.270061,-0.052792,0.942802,0.02142,0.328449,-6.56701,1.784316,-14.683154,-0.009083,0.842451,0.040355,0.537183,16.850061,2.124702,32.747047
6,0.05,-0.001622,0.927867,0.017798,0.372484,1.214386,86.614548,13.82674,-0.025506,0.934501,0.127287,0.331445,1.083978,94.62545,14.081814,-0.011692,0.9464,0.011171,0.322593,-1.864307,116.200462,19.016016,0.133,0.947117,-0.151062,0.249923,-2.554204,139.703568,19.335827,0.079332,0.960211,-0.231922,0.133839,3.254285,152.938782,14.385742,-0.079272,0.880962,0.113559,0.452466,-5.941789,134.226852,17.405897,0.44872,-0.502423,0.105174,-0.731547,-15.544547,133.613663,3.861636,0.24952,0.234588,-0.510507,-0.788727,-3.484006,118.193817,-12.474317,0.347938,0.285863,-0.602868,-0.658614,5.614094,140.954285,-9.629432,-0.096244,0.968938,0.041522,0.223993,0.243614,134.343475,22.17911,0.397435,0.851262,-0.013964,-0.342351,14.88297,137.133133,29.523701,0.061773,0.237333,0.445459,-0.861059,26.34848,119.637085,14.945562,-0.073622,-0.027619,0.800602,-0.594014,14.56058,137.369125,3.800086,0.016066,0.893243,0.193074,0.405687,-5.848576,86.714745,7.068962,0.146492,0.951566,-0.073057,0.260238,-1.113412,52.48605,-6.17802,-0.052669,0.942793,0.021301,0.328502,-16.339905,7.001343,-3.160205,-0.101951,0.879,0.030841,0.464773,8.277349,86.514351,20.584518,0.021568,0.83296,-0.227688,0.503855,15.97099,50.347183,22.085165,-0.009179,0.842465,0.040298,0.537163,3.217018,7.314473,39.270451,-0.052669,0.942793,0.021301,0.328502,-6.570011,1.784564,-14.68091,-0.009179,0.842465,0.040298,0.537163,16.85117,2.122263,32.747944
7,0.058333,-0.00143,0.927617,0.01759,0.373117,1.228369,86.668411,13.802849,-0.025547,0.934242,0.127538,0.332073,1.101876,94.679436,14.055888,-0.011633,0.946181,0.011507,0.323224,-1.854171,116.244446,18.99614,0.133828,0.94689,-0.150968,0.250398,-2.546745,139.747269,19.331356,0.079498,0.959981,-0.232908,0.133682,3.287126,152.976074,14.394006,-0.07854,0.88109,0.113444,0.452375,-5.931243,134.271576,17.393129,0.448614,-0.502341,0.105221,-0.731661,-15.540598,133.677383,3.852691,0.249624,0.235053,-0.510201,-0.788754,-3.476348,118.259766,-12.482635,0.347914,0.286377,-0.602439,-0.658796,5.625482,141.013657,-9.618519,-0.096237,0.96873,0.041532,0.224891,0.247813,134.385452,22.174627,0.397777,0.851305,-0.013687,-0.341857,14.873834,137.172913,29.546589,0.061971,0.237771,0.445596,-0.860853,26.342735,119.666306,14.983788,-0.073797,-0.027098,0.800491,-0.594167,14.571269,137.395233,3.818356,0.016494,0.892966,0.191655,0.406951,-5.825379,86.770782,7.03548,0.146259,0.95151,-0.072559,0.260716,-1.142867,52.502697,-6.128117,-0.052596,0.942802,0.021194,0.328495,-16.338066,7.004449,-3.157122,-0.10138,0.879004,0.029746,0.464962,8.282118,86.566032,20.570219,0.021277,0.833389,-0.226902,0.503513,15.901431,50.385368,22.123823,-0.008969,0.842456,0.040334,0.537179,3.215402,7.317135,39.270378,-0.052596,0.942802,0.021194,0.328495,-6.569396,1.783842,-14.677141,-0.008969,0.842456,0.040334,0.537179,16.848043,2.122486,32.746632
8,0.066667,-0.001236,0.927367,0.01745,0.373744,1.241621,86.729218,13.779805,-0.025374,0.933992,0.127905,0.33265,1.118695,94.740334,14.031839,-0.011906,0.945965,0.011677,0.32384,-1.83874,116.302895,18.98819,0.134138,0.94672,-0.150898,0.250913,-2.546264,139.805237,19.326363,0.080223,0.959656,-0.23389,0.133863,3.299235,153.031952,14.397153,-0.078239,0.880921,0.113784,0.45267,-5.924843,134.327774,17.382816,0.448375,-0.50227,0.105105,-0.731873,-15.526885,133.749054,3.836534,0.249572,0.235783,-0.509849,-0.78878,-3.457786,118.342339,-12.505488,0.348046,0.286821,-0.60198,-0.658952,5.64573,141.093994,-9.606707,-0.09611,0.968557,0.041851,0.225628,0.247886,134.444672,22.1724,0.398082,0.851396,-0.013519,-0.341281,14.863667,137.224106,29.56764,0.061998,0.238292,0.445712,-0.860648,26.340229,119.70575,15.025032,-0.07383,-0.026364,0.799964,-0.594905,14.587808,137.429886,3.84156,0.017034,0.892655,0.190085,0.408343,-5.80297,86.83432,7.002955,0.145933,0.951259,-0.072088,0.261943,-1.183441,52.52322,-6.070533,-0.052475,0.942776,0.021176,0.328589,-16.341976,7.009259,-3.153405,-0.100735,0.879084,0.028484,0.465031,8.286213,86.624107,20.556656,0.020883,0.833691,-0.225985,0.503443,15.820848,50.428356,22.170549,-0.008991,0.842414,0.040359,0.537242,3.211661,7.318592,39.269344,-0.052475,0.942776,0.021176,0.328589,-6.572364,1.786942,-14.671839,-0.008991,0.842414,0.040359,0.537242,16.845587,2.124891,32.747559
9,0.075,-0.001106,0.927164,0.017239,0.374257,1.2565,86.801132,13.758698,-0.025369,0.933765,0.12816,0.333187,1.136628,94.812378,14.008316,-0.011977,0.945766,0.012121,0.324401,-1.826697,116.368309,18.972626,0.134145,0.946604,-0.150785,0.251416,-2.54438,139.870056,19.329048,0.080926,0.959279,-0.234956,0.134274,3.304103,153.097961,14.40658,-0.078417,0.880617,0.114274,0.453107,-5.918386,134.392776,17.377064,0.447566,-0.502075,0.105119,-0.7325,-15.506355,133.818695,3.820611,0.249075,0.236562,-0.50966,-0.788826,-3.427399,118.433334,-12.534234,0.348277,0.287244,-0.601493,-0.65909,5.668844,141.185944,-9.589347,-0.09595,0.96841,0.042122,0.226277,0.248633,134.508347,22.17403,0.398122,0.851664,-0.012785,-0.340592,14.855693,137.279205,29.589705,0.062025,0.238537,0.445667,-0.860601,26.354576,119.766869,15.057468,-0.074018,-0.025913,0.799838,-0.59507,14.606444,137.48616,3.864559,0.01748,0.892417,0.188374,0.409636,-5.780593,86.907234,6.974073,0.145705,0.95119,-0.071361,0.262518,-1.2239,52.549339,-5.998194,-0.052512,0.942748,0.02102,0.328676,-16.346325,7.018969,-3.150398,-0.100067,0.87924,0.027042,0.464965,8.293593,86.69503,20.543324,0.020504,0.834039,-0.224954,0.503344,15.736161,50.483418,22.227261,-0.008941,0.842422,0.04024,0.537239,3.208679,7.327476,39.269539,-0.052512,0.942748,0.02102,0.328676,-6.574589,1.792779,-14.665277,-0.008941,0.842422,0.04024,0.537239,16.841419,2.12992,32.748329
