Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.022562,0.922931,0.018671,0.383851,-3.025321,86.176239,21.136696,-0.020778,0.924711,0.086258,0.370186,-3.474066,94.178513,21.274115,0.007499,0.928415,-0.04977,0.36812,-5.790974,116.472313,24.539047,0.193863,0.919025,-0.196768,0.281234,-4.601882,139.868576,22.495693,0.107282,0.951108,-0.259329,0.128969,3.335792,151.788254,17.173353,-0.052585,0.879737,0.005158,0.472516,-8.224196,134.473923,20.771963,0.430615,-0.610717,0.165324,-0.643634,-17.327646,133.017731,6.950143,0.293883,0.073293,-0.43053,-0.850238,-12.243912,114.181053,-9.464097,0.418089,0.067829,-0.529213,-0.735211,2.948107,133.220306,-12.618136,-0.076759,0.952033,-0.036314,0.293976,-2.528968,134.651443,26.118851,0.406005,0.897961,-0.030974,-0.166935,11.0179,137.434418,35.326092,0.09678,0.389077,0.425599,-0.811245,26.687914,118.57959,28.323368,-0.021339,0.188675,0.767685,-0.61205,18.638336,133.3638,11.17377,0.014356,0.890124,0.235899,0.389647,-9.910292,85.909233,14.202079,0.137473,0.953718,-0.02609,0.266161,-4.05296,53.036354,-1.75328,-0.0466,0.932546,0.031622,0.356633,-17.322906,6.857851,-2.878608,-0.112743,0.885205,0.096929,0.440802,3.85965,86.443245,28.071314,0.016798,0.866361,-0.193887,0.45994,14.408651,51.072556,25.399059,-0.018641,0.876005,0.056701,0.478595,4.438049,6.652582,40.802467,-0.0466,0.932546,0.031622,0.356633,-6.917107,1.896184,-13.946283,-0.018641,0.876005,0.056701,0.478595,17.254786,2.062,32.432877
1,0.008333,-0.022361,0.922922,0.019793,0.383827,-2.942397,86.142372,21.116304,-0.021165,0.924611,0.087999,0.370004,-3.395065,94.144096,21.271572,0.007669,0.928558,-0.048308,0.367951,-5.757169,116.428909,24.60354,0.193152,0.919452,-0.196208,0.28072,-4.586272,139.831802,22.626617,0.10694,0.951211,-0.259291,0.12857,3.325854,151.769363,17.306292,-0.053214,0.879248,0.007572,0.473321,-8.205231,134.439392,20.888849,0.428579,-0.610959,0.162107,-0.645578,-17.281151,133.003784,7.04678,0.289628,0.075444,-0.432132,-0.850697,-12.15877,114.314735,-9.523448,0.414852,0.071086,-0.530856,-0.735552,2.950671,133.447235,-12.518991,-0.078053,0.952543,-0.032892,0.292382,-2.50809,134.605881,26.23406,0.403043,0.898415,-0.028242,-0.172075,11.063186,137.395966,35.403145,0.091611,0.384001,0.425384,-0.814371,26.766539,118.683304,28.100204,-0.024969,0.181476,0.768022,-0.613666,18.518715,133.64357,11.195827,0.014539,0.890348,0.235595,0.389312,-9.8279,85.887413,14.181757,0.138063,0.953723,-0.026285,0.26582,-3.997441,53.00433,-1.762419,-0.046611,0.932486,0.032185,0.356738,-17.325686,6.842437,-2.880399,-0.112745,0.885244,0.097339,0.440632,3.943105,86.397331,28.050852,0.017571,0.866361,-0.194822,0.459514,14.504704,51.032566,25.350138,-0.01882,0.875928,0.056602,0.47874,4.436341,6.650081,40.797962,-0.046611,0.932486,0.032185,0.356738,-6.915732,1.89685,-13.951367,-0.01882,0.875928,0.056602,0.47874,17.256966,2.059376,32.434387
2,0.016667,-0.022072,0.922878,0.020821,0.383895,-2.866562,86.134026,21.087721,-0.020939,0.924466,0.089845,0.369936,-3.321283,94.135292,21.259933,0.007288,0.928643,-0.046909,0.367924,-5.703951,116.401077,24.671776,0.191754,0.92002,-0.195657,0.280201,-4.573933,139.810501,22.749165,0.107199,0.951197,-0.259393,0.128246,3.295027,151.774353,17.423916,-0.052924,0.878997,0.009853,0.473779,-8.18375,134.415878,20.999308,0.42701,-0.611084,0.159103,-0.647244,-17.246294,133.025192,7.143897,0.286062,0.077544,-0.433646,-0.850944,-12.082539,114.467659,-9.560754,0.411917,0.074645,-0.532589,-0.735596,2.950447,133.689713,-12.413852,-0.078977,0.953034,-0.029587,0.290883,-2.486218,134.579819,26.344181,0.400252,0.898838,-0.025318,-0.176769,11.109278,137.366837,35.478245,0.087256,0.37881,0.425111,-0.817417,26.843475,118.792999,27.892771,-0.027386,0.17485,0.76764,-0.61596,18.392448,133.910049,11.222935,0.014862,0.890307,0.234799,0.389875,-9.751304,85.892036,14.151955,0.138522,0.953613,-0.026336,0.265969,-3.955259,52.981926,-1.748942,-0.046861,0.932477,0.032392,0.356709,-17.325777,6.832492,-2.876317,-0.112745,0.88553,0.097319,0.440062,4.01818,86.376015,28.023487,0.018067,0.866165,-0.195458,0.459596,14.5774,51.010967,25.317265,-0.01868,0.875854,0.056525,0.478891,4.438498,6.65403,40.792282,-0.046861,0.932477,0.032392,0.356709,-6.913354,1.895596,-13.948841,-0.01868,0.875854,0.056525,0.478891,17.260286,2.059171,32.432777
3,0.025,-0.021836,0.922853,0.021798,0.383915,-2.787382,86.153519,21.051916,-0.021113,0.924331,0.091488,0.369861,-3.244617,94.154282,21.240028,0.007166,0.928737,-0.045286,0.367894,-5.662222,116.411385,24.718103,0.191157,0.920317,-0.195396,0.279813,-4.565647,139.827927,22.864037,0.10714,0.951151,-0.259765,0.127884,3.283462,151.803467,17.535734,-0.053872,0.878688,0.012054,0.474195,-8.168004,134.433334,21.098761,0.4258,-0.61081,0.156658,-0.648895,-17.214092,133.050339,7.23183,0.282321,0.079695,-0.435765,-0.850913,-11.99384,114.603996,-9.57809,0.409053,0.077763,-0.533851,-0.735956,2.934827,133.933243,-12.291551,-0.079525,0.953393,-0.026873,0.28982,-2.470101,134.589691,26.443464,0.397972,0.899009,-0.022695,-0.181346,11.143037,137.367844,35.553925,0.083274,0.373974,0.425155,-0.820032,26.886436,118.913376,27.700891,-0.029344,0.168826,0.767328,-0.617936,18.260944,134.179657,11.252923,0.015102,0.890204,0.233704,0.390757,-9.67203,85.923157,14.11566,0.139244,0.953128,-0.025944,0.267367,-3.908024,52.975632,-1.719277,-0.046545,0.932145,0.032134,0.35764,-17.331728,6.843519,-2.920914,-0.11234,0.885952,0.096609,0.439472,4.097267,86.383888,27.988171,0.018497,0.866452,-0.195739,0.458918,14.606071,51.001884,25.307325,-0.0188,0.875837,0.05639,0.478932,4.431172,6.65704,40.793396,-0.046545,0.932145,0.032134,0.35764,-6.901389,1.896638,-13.972103,-0.0188,0.875837,0.05639,0.478932,17.254213,2.060247,32.436867
4,0.033333,-0.021529,0.922878,0.022604,0.383826,-2.713736,86.19931,21.011614,-0.021221,0.924253,0.093336,0.369587,-3.171363,94.199707,21.213581,0.006883,0.928896,-0.043987,0.367655,-5.621326,116.423752,24.76441,0.18949,0.920991,-0.194627,0.279264,-4.560065,139.845932,22.961781,0.107837,0.950912,-0.260423,0.127742,3.237264,151.854279,17.631292,-0.054657,0.878448,0.014499,0.47448,-8.155531,134.450012,21.186558,0.425194,-0.610629,0.1536,-0.650192,-17.189787,133.083206,7.310316,0.279184,0.082369,-0.437621,-0.850741,-11.90994,114.750671,-9.605169,0.406326,0.080976,-0.535435,-0.73597,2.921726,134.18335,-12.166447,-0.080607,0.953659,-0.024553,0.28885,-2.454819,134.602829,26.528368,0.39637,0.898858,-0.020923,-0.18576,11.171209,137.392838,35.615902,0.078994,0.36995,0.425486,-0.822106,26.896885,119.026543,27.524277,-0.030861,0.163457,0.765626,-0.621407,18.14045,134.441528,11.28325,0.015495,0.890061,0.232002,0.39208,-9.599969,85.980484,14.076558,0.139526,0.95285,-0.025573,0.268246,-3.888173,52.975159,-1.65659,-0.046247,0.932177,0.032178,0.357592,-17.326553,6.848746,-2.911971,-0.111616,0.886449,0.095424,0.438913,4.172496,86.418129,27.946669,0.018759,0.867131,-0.195692,0.457644,14.595458,51.007282,25.311872,-0.018909,0.875882,0.056305,0.478857,4.423617,6.661576,40.797478,-0.046247,0.932177,0.032178,0.357592,-6.900313,1.8996,-13.96601,-0.018909,0.875882,0.056305,0.478857,17.245859,2.064094,32.440109
5,0.041667,-0.021176,0.922929,0.023273,0.383682,-2.634703,86.26963,20.964117,-0.021256,0.924207,0.094933,0.369293,-3.091181,94.269775,21.178217,0.006577,0.929083,-0.042239,0.367392,-5.566361,116.4655,24.793007,0.18775,0.921659,-0.194046,0.27864,-4.549125,139.894958,23.061018,0.108603,0.950565,-0.261461,0.127558,3.195069,151.93399,17.72229,-0.054845,0.878608,0.016362,0.474102,-8.135829,134.497894,21.271633,0.424546,-0.609962,0.151639,-0.651699,-17.181334,133.154449,7.400432,0.27651,0.084505,-0.439583,-0.850393,-11.829437,114.909866,-9.587341,0.404081,0.084414,-0.537311,-0.735452,2.906169,134.443405,-12.030908,-0.081734,0.953849,-0.022004,0.288109,-2.432027,134.644897,26.61031,0.395335,0.898503,-0.01884,-0.189861,11.202113,137.446136,35.682213,0.0773,0.364767,0.426092,-0.824267,26.891014,119.15023,27.362957,-0.031785,0.157318,0.766973,-0.621284,17.973972,134.686798,11.317256,0.016092,0.889821,0.229779,0.393906,-9.523402,86.062111,14.031163,0.13971,0.952513,-0.024973,0.2694,-3.884159,52.982212,-1.571,-0.045963,0.932205,0.032069,0.357565,-17.322176,6.857821,-2.902334,-0.110633,0.88706,0.093769,0.438283,4.253997,86.47715,27.897072,0.018707,0.867554,-0.195339,0.456993,14.559333,51.026962,25.329525,-0.01884,0.875879,0.056155,0.478883,4.418758,6.667808,40.797108,-0.045963,0.932205,0.032069,0.357565,-6.8998,1.902274,-13.957155,-0.01884,0.875879,0.056155,0.478883,17.240158,2.065268,32.441223
6,0.05,-0.020776,0.922982,0.023821,0.383543,-2.561434,86.358109,20.910538,-0.020812,0.924221,0.096224,0.368948,-3.015332,94.358109,21.135275,0.0059,0.929299,-0.040394,0.367064,-5.489601,116.521606,24.808247,0.187638,0.92194,-0.193396,0.278239,-4.534398,139.958649,23.144678,0.108186,0.950472,-0.262375,0.126724,3.199857,152.009125,17.817404,-0.05508,0.878881,0.018488,0.473491,-8.108561,134.557602,21.342215,0.425403,-0.60958,0.148723,-0.652171,-17.172434,133.239914,7.480539,0.274886,0.087368,-0.441584,-0.849593,-11.752111,115.070343,-9.565832,0.4024,0.087779,-0.538451,-0.735146,2.872924,134.702667,-11.885121,-0.082871,0.95387,-0.019679,0.287883,-2.400864,134.703629,26.67675,0.394816,0.897923,-0.017177,-0.193804,11.231398,137.518555,35.747242,0.074839,0.36088,0.426781,-0.825846,26.86409,119.270775,27.219088,-0.032934,0.152402,0.766065,-0.623566,17.84107,134.92189,11.350409,0.016883,0.889611,0.227044,0.395929,-9.452532,86.161827,13.979641,0.139321,0.952589,-0.024038,0.269417,-3.910868,52.991379,-1.46444,-0.045773,0.932564,0.032429,0.356619,-17.290104,6.852147,-2.871403,-0.10962,0.887698,0.091712,0.43768,4.329665,86.554382,27.841434,0.018325,0.867581,-0.194648,0.457251,14.502874,51.059448,25.366888,-0.019109,0.875894,0.055809,0.478884,4.419591,6.673059,40.793739,-0.045773,0.932564,0.032429,0.356619,-6.89093,1.903608,-13.951185,-0.019109,0.875894,0.055809,0.478884,17.241886,2.065063,32.442242
7,0.058333,-0.02007,0.923053,0.023995,0.383398,-2.496946,86.461952,20.857224,-0.020445,0.924248,0.097538,0.368556,-2.941437,94.462288,21.088947,0.005223,0.929537,-0.038526,0.366675,-5.418961,116.600487,24.820948,0.186805,0.922333,-0.193072,0.277721,-4.526237,140.044815,23.226788,0.108263,0.95022,-0.263488,0.12623,3.180634,152.110703,17.89468,-0.05552,0.87917,0.020584,0.472814,-8.088032,134.639908,21.411449,0.426252,-0.608833,0.146381,-0.652843,-17.171562,133.34137,7.560842,0.273451,0.090045,-0.443722,-0.848662,-11.669565,115.234505,-9.526032,0.400898,0.091291,-0.540118,-0.734316,2.842558,134.970428,-11.735686,-0.083577,0.953882,-0.017815,0.287762,-2.375751,134.784805,26.741106,0.394553,0.897283,-0.015602,-0.197402,11.254912,137.604233,35.812592,0.073797,0.35665,0.427473,-0.827419,26.826414,119.394066,27.094215,-0.03344,0.147434,0.766375,-0.624352,17.685589,135.138397,11.385092,0.017594,0.889247,0.22436,0.398238,-9.390785,86.279617,13.928673,0.139401,0.952132,-0.023133,0.271066,-3.93573,53.021347,-1.356533,-0.045346,0.932454,0.031836,0.357014,-17.296429,6.88017,-2.871522,-0.108451,0.888339,0.089514,0.437126,4.396893,86.644295,27.785774,0.017645,0.867414,-0.193802,0.457955,14.423561,51.101006,25.409069,-0.019133,0.875891,0.05568,0.478904,4.421388,6.680661,40.79092,-0.045346,0.932454,0.031836,0.357014,-6.894057,1.91039,-13.938787,-0.019133,0.875891,0.05568,0.478904,17.243668,2.06953,32.441132
8,0.066667,-0.019705,0.923149,0.024469,0.383157,-2.429334,86.570053,20.793123,-0.020205,0.924319,0.098785,0.368059,-2.871272,94.570251,21.034222,0.00488,0.92982,-0.036647,0.366153,-5.356992,116.694603,24.822506,0.185685,0.922889,-0.192649,0.276917,-4.512498,140.145737,23.303949,0.108634,0.949918,-0.264762,0.125522,3.156801,152.232117,17.964098,-0.055468,0.879603,0.022155,0.471944,-8.065758,134.739746,21.475161,0.427826,-0.607863,0.144261,-0.653189,-17.176792,133.465942,7.64033,0.272749,0.092736,-0.445986,-0.847411,-11.58323,115.399384,-9.459475,0.399897,0.094749,-0.541632,-0.733307,2.806297,135.236359,-11.577658,-0.084536,0.953836,-0.0159,0.287746,-2.347448,134.87854,26.798512,0.394699,0.89647,-0.014155,-0.200881,11.278161,137.709885,35.873875,0.07373,0.352129,0.428474,-0.828842,26.773119,119.521477,26.975588,-0.033189,0.142504,0.767777,-0.623787,17.519279,135.352356,11.419913,0.018544,0.889039,0.221423,0.400296,-9.32707,86.397713,13.868197,0.139252,0.951555,-0.022291,0.27323,-3.987088,53.045048,-1.25107,-0.044778,0.932257,0.03178,0.357605,-17.309137,6.896198,-2.869438,-0.106997,0.888879,0.087003,0.436894,4.468402,86.742393,27.71805,0.016869,0.867514,-0.192862,0.458191,14.320983,51.143108,25.454086,-0.019179,0.875923,0.055636,0.478849,4.420336,6.685254,40.793198,-0.044778,0.932257,0.03178,0.357605,-6.89894,1.918848,-13.925934,-0.019179,0.875923,0.055636,0.478849,17.241821,2.07361,32.442474
9,0.075,-0.019042,0.923246,0.024508,0.382955,-2.36619,86.693481,20.731216,-0.019921,0.924394,0.099948,0.367571,-2.798502,94.694054,20.977064,0.003977,0.930088,-0.034682,0.365674,-5.288134,116.795525,24.817131,0.184186,0.923539,-0.191899,0.276272,-4.517701,140.253632,23.368446,0.109501,0.949441,-0.266324,0.125071,3.103291,152.369858,18.027077,-0.056727,0.879837,0.024397,0.471247,-8.056352,134.842239,21.527355,0.42888,-0.606765,0.142324,-0.653944,-17.184544,133.565811,7.704079,0.271576,0.095899,-0.448366,-0.846178,-11.494629,115.549644,-9.417099,0.399145,0.098177,-0.543295,-0.732035,2.766496,135.503479,-11.416101,-0.085294,0.953837,-0.014477,0.287594,-2.332438,134.98262,26.844639,0.39496,0.895691,-0.013338,-0.203881,11.291816,137.824326,35.918812,0.073938,0.348076,0.429356,-0.830078,26.714355,119.646004,26.875242,-0.031979,0.138359,0.768471,-0.623929,17.358988,135.550812,11.450718,0.019425,0.889114,0.218164,0.401874,-9.267457,86.533264,13.809516,0.138825,0.951014,-0.021246,0.275405,-4.056653,53.077042,-1.124917,-0.044577,0.932276,0.031498,0.357608,-17.309427,6.912413,-2.857811,-0.105532,0.889421,0.084315,0.436675,4.535076,86.853699,27.65292,0.016204,0.867935,-0.191744,0.457886,14.207211,51.197277,25.513285,-0.019125,0.875976,0.055516,0.478767,4.416278,6.695965,40.796696,-0.044577,0.932276,0.031498,0.357608,-6.902061,1.924797,-13.912346,-0.019125,0.875976,0.055516,0.478767,17.235193,2.08034,32.444221
