Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.024638,0.930847,-0.009315,0.364459,-1.87349,88.597351,11.718831,-0.021398,0.937367,0.127637,0.323411,-1.451383,96.602249,11.723787,-0.027004,0.948569,0.003091,0.315403,-4.142182,117.802025,16.668819,0.095976,0.934781,-0.210871,0.269271,-5.392736,141.282684,16.40616,0.072932,0.954858,-0.196316,0.210685,-0.048094,153.936417,9.718051,-0.100694,0.881571,0.128461,0.442935,-8.674587,135.679718,14.66519,0.433699,-0.467983,0.096544,-0.763922,-18.43284,134.620773,1.260298,0.237978,0.320138,-0.530143,-0.748216,-4.579286,120.509995,-14.834937,0.369916,0.392837,-0.586207,-0.60432,1.200584,143.977112,-9.208446,-0.113429,0.967986,0.057777,0.216331,-2.426758,136.064789,19.342014,0.386108,0.862226,-0.00994,-0.3277,12.204968,139.297913,26.518049,0.057799,0.241253,0.450785,-0.857466,24.62365,122.155334,12.305382,-0.015909,0.020377,0.803089,-0.595298,13.138596,140.090759,1.093196,0.048415,0.902285,0.076652,0.4215,-9.040247,88.97937,5.081461,0.074608,0.93764,0.007296,0.33943,-9.882145,52.580864,-1.547882,-0.087104,0.943089,0.07124,0.312922,-16.368294,5.060521,-4.639618,-0.045316,0.871303,-0.116451,0.474569,5.293268,88.215332,18.356201,-0.054144,0.846129,-0.120865,0.516262,4.125318,52.364159,27.457672,-0.026465,0.825244,0.074815,0.559174,2.531133,5.989605,39.974499,-0.087104,0.943089,0.07124,0.312922,-6.568269,1.636975,-16.78997,-0.026465,0.825244,0.074815,0.559174,16.815296,1.960115,34.048439
1,0.008333,0.024564,0.930789,-0.009443,0.364608,-1.864799,88.601166,11.72743,-0.021245,0.937306,0.127516,0.323644,-1.443042,96.606079,11.730109,-0.02693,0.948487,0.002915,0.315657,-4.12719,117.808365,16.67194,0.096195,0.934701,-0.210981,0.269383,-5.371745,141.289276,16.402166,0.072673,0.954861,-0.196647,0.210449,-0.019404,153.939697,9.713979,-0.100729,0.881551,0.12827,0.443022,-8.654048,135.686646,14.660946,0.433774,-0.467754,0.096876,-0.763977,-18.409481,134.624298,1.254267,0.238426,0.320362,-0.530153,-0.74797,-4.548302,120.503593,-14.825684,0.370926,0.39274,-0.585904,-0.604057,1.224279,143.976013,-9.206286,-0.113366,0.967965,0.057603,0.216504,-2.408661,136.071442,19.341061,0.386225,0.862197,-0.009975,-0.327638,12.221061,139.303375,26.521727,0.057979,0.241283,0.450836,-0.857419,24.637205,122.15567,12.313014,-0.016068,0.020226,0.803474,-0.59478,13.154195,140.091293,1.095318,0.048531,0.902151,0.076593,0.421785,-9.02951,88.980881,5.087716,0.074338,0.937783,0.007376,0.33909,-9.878932,52.582542,-1.541588,-0.087417,0.943361,0.071138,0.312039,-16.339392,5.05845,-4.629395,-0.045524,0.871303,-0.116379,0.474568,5.299911,88.221451,18.367144,-0.053856,0.846502,-0.120959,0.515657,4.147912,52.37043,27.471262,-0.026208,0.825348,0.074683,0.559049,2.534597,5.995065,39.982639,-0.087417,0.943361,0.071138,0.312039,-6.558853,1.633766,-16.795122,-0.026208,0.825348,0.074683,0.559049,16.814409,1.957882,34.051331
2,0.016667,0.024408,0.930757,-0.009686,0.364694,-1.854472,88.603783,11.736738,-0.021162,0.937272,0.127492,0.323758,-1.433633,96.608749,11.734914,-0.026913,0.948443,0.002697,0.315791,-4.11545,117.817963,16.678179,0.096225,0.934657,-0.211155,0.269391,-5.356006,141.298965,16.398785,0.072684,0.954836,-0.19695,0.210276,-0.001585,153.94635,9.706526,-0.100679,0.881482,0.127995,0.443251,-8.638735,135.696198,14.658813,0.434569,-0.46751,0.096986,-0.763661,-18.387783,134.632462,1.247601,0.239246,0.320678,-0.529958,-0.747711,-4.516049,120.495461,-14.808922,0.371388,0.392736,-0.585885,-0.603796,1.256183,143.968109,-9.201806,-0.113254,0.967951,0.057393,0.216681,-2.394655,136.081787,19.340605,0.386411,0.862123,-0.010237,-0.327607,12.233357,139.311249,26.525867,0.058228,0.241321,0.45095,-0.857332,24.643234,122.152481,12.325029,-0.0159,0.020178,0.803745,-0.594419,13.165951,140.088104,1.100942,0.04848,0.902039,0.0767,0.42201,-9.018111,88.978874,5.095606,0.074605,0.937602,0.007282,0.339534,-9.859138,52.581371,-1.539361,-0.085778,0.943196,0.071949,0.312806,-16.345102,5.060965,-4.630504,-0.045581,0.871032,-0.116427,0.475049,5.309167,88.228691,18.377871,-0.053699,0.846394,-0.120801,0.515889,4.154123,52.378876,27.486361,-0.025995,0.825211,0.074583,0.559275,2.53265,5.998221,39.977062,-0.085778,0.943196,0.071949,0.312806,-6.559386,1.643183,-16.794008,-0.025995,0.825211,0.074583,0.559275,16.813448,1.954693,34.05246
3,0.025,0.024354,0.930765,-0.009702,0.364677,-1.849658,88.615059,11.744235,-0.021084,0.937249,0.127358,0.323882,-1.42953,96.620064,11.741844,-0.026802,0.948395,0.002558,0.315947,-4.106657,117.82901,16.680012,0.096461,0.934592,-0.211328,0.269396,-5.340154,141.310333,16.395849,0.072636,0.954839,-0.197228,0.210019,0.021906,153.953308,9.701332,-0.100611,0.881484,0.127589,0.443378,-8.623965,135.708206,14.655823,0.434824,-0.467233,0.097375,-0.763636,-18.369705,134.641022,1.242477,0.239893,0.320696,-0.529757,-0.747639,-4.488619,120.489059,-14.792785,0.37182,0.392724,-0.585935,-0.603488,1.294008,143.964417,-9.200427,-0.113259,0.967932,0.057147,0.216827,-2.381329,136.092834,19.339624,0.386723,0.862049,-0.010354,-0.32743,12.244554,139.323853,26.528522,0.058549,0.241355,0.451119,-0.857212,24.648041,122.150978,12.33916,-0.015412,0.020606,0.803788,-0.594359,13.180172,140.085129,1.108881,0.048482,0.901835,0.076598,0.422464,-9.013585,88.989059,5.103347,0.074558,0.937806,0.007453,0.338978,-9.854609,52.590431,-1.525396,-0.085771,0.943331,0.07172,0.312451,-16.332657,5.069599,-4.626521,-0.045518,0.870766,-0.116589,0.475501,5.314269,88.241058,18.38512,-0.053823,0.845779,-0.120459,0.516963,4.144692,52.393608,27.501068,-0.025978,0.825137,0.074351,0.559417,2.534636,6.00633,39.968616,-0.085771,0.943331,0.07172,0.312451,-6.556092,1.644374,-16.795292,-0.025978,0.825137,0.074351,0.559417,16.816133,1.956388,34.050072
4,0.033333,0.024028,0.930764,-0.009711,0.364701,-1.840756,88.618454,11.751719,-0.021137,0.937235,0.127194,0.323985,-1.425436,96.623703,11.747299,-0.026498,0.94837,0.002445,0.316049,-4.104181,117.84407,16.68005,0.096545,0.934555,-0.211448,0.269398,-5.322403,141.326172,16.395231,0.072588,0.954785,-0.197616,0.209915,0.042766,153.966629,9.698458,-0.10047,0.881484,0.127156,0.443535,-8.609469,135.726166,14.654594,0.435513,-0.467078,0.097582,-0.763312,-18.351524,134.657379,1.238704,0.24071,0.320911,-0.529478,-0.747481,-4.465097,120.486008,-14.774767,0.372366,0.392532,-0.585721,-0.603484,1.324272,143.958145,-9.196053,-0.113126,0.967899,0.057035,0.217073,-2.367592,136.106812,19.339729,0.387003,0.861992,-0.010205,-0.327252,12.255735,139.333786,26.535629,0.058885,0.241353,0.451262,-0.857114,24.654114,122.152306,12.352223,-0.015237,0.020738,0.803917,-0.594184,13.192402,140.086441,1.115409,0.048408,0.90177,0.076287,0.422667,-9.00466,88.986458,5.110475,0.07454,0.937864,0.007125,0.338828,-9.849074,52.583767,-1.49551,-0.086997,0.943662,0.071194,0.311232,-16.3367,5.062217,-4.565447,-0.045499,0.870342,-0.116858,0.476214,5.323149,88.250443,18.392965,-0.053781,0.84558,-0.120122,0.517372,4.135241,52.407528,27.524338,-0.025911,0.825036,0.074161,0.559593,2.532719,6.012002,39.962132,-0.086997,0.943662,0.071194,0.311232,-6.580199,1.63299,-16.749182,-0.025911,0.825036,0.074161,0.559593,16.815203,1.95587,34.050213
5,0.041667,0.023847,0.930776,-0.009799,0.36468,-1.830796,88.627975,11.764344,-0.021161,0.937214,0.126989,0.324125,-1.417654,96.633339,11.757553,-0.026414,0.948311,0.00238,0.316232,-4.095449,117.85762,16.681631,0.096764,0.934483,-0.211636,0.269421,-5.308903,141.339951,16.394911,0.072548,0.954796,-0.197804,0.209702,0.063708,153.97583,9.695472,-0.100402,0.881436,0.127,0.443691,-8.596409,135.740479,14.653349,0.435656,-0.466834,0.098176,-0.763304,-18.33432,134.672195,1.234411,0.2413,0.320861,-0.529134,-0.747556,-4.442181,120.47979,-14.755455,0.372437,0.392524,-0.585925,-0.603248,1.366462,143.948441,-9.189206,-0.112924,0.967884,0.056824,0.217302,-2.356263,136.120178,19.340864,0.387235,0.861969,-0.009906,-0.327048,12.265284,139.34166,26.542839,0.059058,0.241368,0.451419,-0.857015,24.661324,122.155525,12.363042,-0.015202,0.020937,0.804052,-0.593995,13.207009,140.091644,1.122756,0.048543,0.901656,0.076205,0.422909,-8.995167,88.992081,5.12339,0.074573,0.937989,0.007322,0.33847,-9.849374,52.589428,-1.481561,-0.085502,0.943541,0.071919,0.311846,-16.334719,5.068624,-4.567855,-0.045385,0.870139,-0.117083,0.476539,5.333574,88.26387,18.4053,-0.053748,0.844906,-0.119614,0.518593,4.126869,52.424061,27.546432,-0.025705,0.824683,0.074107,0.56013,2.529417,6.016484,39.939835,-0.085502,0.943541,0.071919,0.311846,-6.575672,1.645132,-16.751163,-0.025705,0.824683,0.074107,0.56013,16.817429,1.955059,34.044933
6,0.05,0.023755,0.930764,-0.010006,0.364712,-1.829643,88.638138,11.777228,-0.02106,0.937204,0.126775,0.324243,-1.416664,96.643509,11.766824,-0.026278,0.948274,0.002267,0.316356,-4.087888,117.87027,16.683384,0.096871,0.934452,-0.211672,0.269463,-5.293581,141.352966,16.393486,0.072579,0.954754,-0.198092,0.209613,0.082533,153.987534,9.694377,-0.100319,0.881397,0.126832,0.443835,-8.58246,135.754364,14.651736,0.435842,-0.466645,0.098626,-0.763254,-18.316702,134.686783,1.230074,0.241938,0.320926,-0.52886,-0.747516,-4.420091,120.47683,-14.740324,0.373053,0.392381,-0.585763,-0.603118,1.40061,143.944046,-9.186038,-0.112736,0.967851,0.056649,0.21759,-2.343428,136.132584,19.340853,0.387421,0.861937,-0.009696,-0.326918,12.275371,139.348648,26.550838,0.059139,0.241419,0.451568,-0.856916,24.668388,122.158524,12.373215,-0.015193,0.021155,0.804147,-0.59386,13.221661,140.097626,1.129742,0.048567,0.901582,0.07618,0.42307,-8.993637,88.999084,5.135691,0.074561,0.938208,0.007563,0.337859,-9.849062,52.596329,-1.468562,-0.086569,0.943765,0.070898,0.311104,-16.327459,5.075693,-4.572037,-0.045495,0.870168,-0.117059,0.476482,5.334351,88.277199,18.418766,-0.053571,0.844667,-0.119441,0.51904,4.136216,52.437721,27.562321,-0.025872,0.824634,0.073732,0.560244,2.526662,6.024334,39.932396,-0.086569,0.943765,0.070898,0.311104,-6.578206,1.632792,-16.757721,-0.025872,0.824634,0.073732,0.560244,16.815729,1.955988,34.044823
7,0.058333,0.023708,0.930703,-0.010211,0.364863,-1.830979,88.645905,11.793303,-0.020978,0.937179,0.126467,0.324439,-1.417502,96.651245,11.779628,-0.026204,0.948214,0.002161,0.316544,-4.081974,117.881073,16.684248,0.097204,0.93439,-0.211616,0.269603,-5.282742,141.363968,16.390522,0.07255,0.954716,-0.198397,0.209506,0.103247,153.997131,9.696724,-0.100123,0.881323,0.12673,0.444055,-8.572069,135.765793,14.648252,0.435957,-0.46639,0.099131,-0.763279,-18.301109,134.703644,1.222391,0.242624,0.321102,-0.528662,-0.747358,-4.397488,120.476845,-14.726891,0.374023,0.392315,-0.585075,-0.603228,1.427857,143.945023,-9.184329,-0.112629,0.967803,0.0566,0.217872,-2.334837,136.143417,19.339813,0.387448,0.861943,-0.00987,-0.326866,12.280681,139.355652,26.55814,0.058982,0.241675,0.451602,-0.856837,24.674362,122.161354,12.386177,-0.015461,0.021298,0.804239,-0.593723,13.233653,140.103409,1.134983,0.048644,0.901503,0.076053,0.423251,-8.992861,89.004471,5.149362,0.074507,0.938598,0.007958,0.336778,-9.856125,52.600838,-1.449012,-0.086735,0.943803,0.070689,0.310993,-16.32045,5.080014,-4.578851,-0.045747,0.8702,-0.116772,0.47647,5.330903,88.287338,18.437246,-0.053414,0.844043,-0.119358,0.520088,4.159323,52.444588,27.571398,-0.025434,0.824471,0.073878,0.560485,2.525915,6.027708,39.92522,-0.086735,0.943803,0.070689,0.310993,-6.572653,1.632605,-16.764423,-0.025434,0.824471,0.073878,0.560485,16.815573,1.955485,34.041767
8,0.066667,0.023678,0.930662,-0.010559,0.364961,-1.834287,88.651398,11.811943,-0.020918,0.937164,0.126169,0.324605,-1.419224,96.656639,11.792936,-0.026068,0.948165,0.002017,0.316703,-4.077917,117.889938,16.685942,0.097577,0.934311,-0.211749,0.269636,-5.270395,141.373199,16.387611,0.072577,0.954742,-0.198463,0.209316,0.126915,154.001633,9.693989,-0.099953,0.881237,0.12654,0.444317,-8.561084,135.775848,14.645227,0.435885,-0.466267,0.099648,-0.763328,-18.283506,134.717255,1.214299,0.24303,0.321186,-0.528329,-0.747425,-4.379282,120.474541,-14.720246,0.374362,0.392276,-0.584792,-0.603317,1.460925,143.940109,-9.18001,-0.112481,0.967766,0.056579,0.218118,-2.325311,136.15213,19.338835,0.387522,0.861982,-0.009594,-0.326683,12.287751,139.359177,26.56444,0.058948,0.241757,0.451715,-0.856757,24.684605,122.165535,12.394444,-0.015598,0.021321,0.804326,-0.593601,13.251316,140.109772,1.141843,0.048654,0.901437,0.076169,0.423371,-8.9948,89.006882,5.166362,0.074498,0.93861,0.008049,0.336745,-9.854172,52.604641,-1.440164,-0.086628,0.943861,0.070587,0.310869,-16.314823,5.083823,-4.577678,-0.046123,0.870464,-0.116323,0.476061,5.326226,88.295906,18.457525,-0.053035,0.843934,-0.119507,0.520269,4.199131,52.447987,27.576956,-0.025407,0.824461,0.073864,0.560503,2.524927,6.03064,39.923553,-0.086628,0.943861,0.070587,0.310869,-6.571163,1.632025,-16.765314,-0.025407,0.824461,0.073864,0.560503,16.814558,1.957601,34.040604
9,0.075,0.023695,0.930578,-0.010726,0.365168,-1.840348,88.65683,11.829231,-0.020812,0.937136,0.125855,0.324813,-1.424044,96.66201,11.807926,-0.025971,0.948108,0.001882,0.316881,-4.074571,117.895531,16.688377,0.097931,0.934255,-0.211723,0.269722,-5.260661,141.379059,16.385269,0.072612,0.954744,-0.198599,0.209164,0.14681,154.005463,9.696025,-0.099693,0.881197,0.126256,0.444537,-8.552181,135.782272,14.642665,0.435452,-0.466022,0.100353,-0.763633,-18.269848,134.728104,1.207942,0.243319,0.321182,-0.528113,-0.747486,-4.36113,120.472145,-14.710829,0.374895,0.392272,-0.584553,-0.60322,1.490578,143.935745,-9.174773,-0.112326,0.967744,0.056509,0.218314,-2.318096,136.157745,19.338575,0.387541,0.862006,-0.009471,-0.326601,12.29328,139.359863,26.569778,0.058758,0.241858,0.451801,-0.856696,24.692106,122.167015,12.400561,-0.016001,0.021226,0.804566,-0.593268,13.264429,140.116165,1.147919,0.048388,0.901409,0.076336,0.42343,-8.997893,89.01136,5.180401,0.074785,0.938649,0.008109,0.336571,-9.833827,52.609085,-1.428948,-0.086592,0.943844,0.070238,0.31101,-16.318876,5.09249,-4.579952,-0.046606,0.870853,-0.115671,0.475462,5.317198,88.302299,18.478064,-0.052668,0.84399,-0.119922,0.520121,4.250671,52.446484,27.573719,-0.025307,0.824626,0.073704,0.560285,2.527926,6.034952,39.935513,-0.086592,0.943844,0.070238,0.31101,-6.572228,1.630306,-16.762257,-0.025307,0.824626,0.073704,0.560285,16.813013,1.956241,34.045448
