Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.000844,0.934288,0.031804,0.355096,-0.741272,87.54686,16.138391,-0.026209,0.938005,0.112165,0.326924,-0.934979,95.546654,16.609964,0.001319,0.947034,0.038485,0.318816,-3.564457,116.44101,20.758629,0.082825,0.947432,-0.186787,0.246219,-4.082757,139.886688,22.492538,0.069928,0.960243,-0.211962,0.167677,0.540647,153.002014,16.165981,-0.062601,0.887137,0.127682,0.439051,-7.525472,134.558365,20.267345,0.444227,-0.546492,-0.024599,-0.70951,-17.604233,134.575729,7.059227,0.122238,0.228766,-0.594863,-0.76083,-7.367639,123.086182,-13.270407,0.264801,0.305177,-0.596735,-0.693292,-2.740586,146.790146,-8.271839,-0.087,0.961536,0.149995,0.213029,-1.300095,134.347092,24.985018,0.382616,0.852302,0.132358,-0.33116,13.554769,136.065018,32.225037,-0.002209,0.196753,0.477576,-0.856274,25.994089,121.670822,15.249689,-0.07995,-0.00729,0.790313,-0.60742,14.966962,141.027496,7.333427,0.010992,0.902095,0.184502,0.389952,-8.051616,87.752243,9.651499,0.135457,0.949875,-0.066746,0.273739,-3.460485,53.273819,-2.984485,-0.053031,0.933487,0.017949,0.354214,-17.58432,7.405215,-0.454555,-0.096866,0.886613,0.0374,0.450706,6.569071,87.341484,22.625284,0.026706,0.830002,-0.239915,0.502816,14.173201,51.132626,23.402327,0.008302,0.849764,0.00457,0.527078,0.447205,8.673326,41.252155,-0.053031,0.933487,0.017949,0.354214,-7.20526,2.133164,-11.403201,0.008302,0.849764,0.00457,0.527078,13.524564,2.305877,34.631691
1,0.008333,-0.000733,0.934245,0.031864,0.355205,-0.725703,87.548462,16.144133,-0.02632,0.937938,0.112414,0.327021,-0.918145,95.548203,16.617218,0.001425,0.947001,0.038633,0.318896,-3.555989,116.440033,20.773966,0.082876,0.94746,-0.186826,0.246065,-4.071956,139.885147,22.515982,0.070563,0.960123,-0.212521,0.167392,0.551823,152.999588,16.187885,-0.062486,0.887111,0.127879,0.439063,-7.514897,134.557999,20.288355,0.44381,-0.546569,-0.024625,-0.70971,-17.593781,134.581757,7.080342,0.121993,0.229028,-0.594656,-0.760952,-7.361563,123.103271,-13.25775,0.26462,0.305584,-0.596384,-0.693484,-2.728197,146.802551,-8.239391,-0.087105,0.961466,0.150115,0.213216,-1.290327,134.344376,25.006989,0.382694,0.852251,0.132432,-0.331172,13.561289,136.063675,32.253342,-0.00231,0.196958,0.477603,-0.856211,25.997179,121.668449,15.276353,-0.080304,-0.007074,0.790092,-0.607664,14.975035,141.025955,7.354572,0.011171,0.901984,0.184306,0.390297,-8.034527,87.756363,9.65561,0.135514,0.949808,-0.066632,0.273972,-3.456187,53.272865,-2.971178,-0.052286,0.933387,0.018471,0.35456,-17.582838,7.404292,-0.456614,-0.096827,0.886665,0.037519,0.450602,6.583121,87.340569,22.632656,0.026833,0.829972,-0.240041,0.5028,14.188751,51.131813,23.399693,0.009527,0.849583,0.004849,0.527347,0.447026,8.678967,41.252769,-0.052286,0.933387,0.018471,0.35456,-7.202216,2.138499,-11.406794,0.009527,0.849583,0.004849,0.527347,13.517208,2.299737,34.629467
2,0.016667,-0.000702,0.934204,0.032052,0.355297,-0.702744,87.56279,16.147562,-0.026501,0.937845,0.112703,0.327173,-0.895826,95.56234,16.623621,0.001515,0.946938,0.038845,0.319056,-3.545379,116.44883,20.788422,0.083042,0.94747,-0.186988,0.245845,-4.060793,139.893158,22.541142,0.071236,0.960046,-0.213037,0.166888,0.566744,153.004242,16.208836,-0.062374,0.887111,0.128137,0.439004,-7.503244,134.567215,20.309889,0.443579,-0.546648,-0.024803,-0.709788,-17.584316,134.597778,7.103564,0.121854,0.229394,-0.594423,-0.761046,-7.356948,123.130463,-13.243261,0.264411,0.306133,-0.596114,-0.693554,-2.718384,146.823257,-8.204863,-0.08698,0.961388,0.150211,0.213552,-1.280269,134.351105,25.030508,0.382628,0.85221,0.132512,-0.331322,13.567286,136.063828,32.28672,-0.002448,0.197069,0.477663,-0.856152,26.00069,121.674644,15.302795,-0.080302,-0.006924,0.789799,-0.608047,14.984369,141.0327,7.380961,0.011493,0.9019,0.18383,0.390706,-8.010298,87.772629,9.657672,0.135464,0.949765,-0.066451,0.274191,-3.461578,53.276722,-2.945888,-0.053151,0.933514,0.017949,0.354124,-17.579752,7.404536,-0.449606,-0.096704,0.886709,0.03747,0.450546,6.60481,87.352959,22.637451,0.026867,0.829929,-0.240042,0.502868,14.20087,51.142162,23.403109,0.008559,0.849785,0.004216,0.527042,0.454889,8.689562,41.253494,-0.053151,0.933514,0.017949,0.354124,-7.201514,2.133742,-11.399635,0.008559,0.849785,0.004216,0.527042,13.526484,2.309327,34.633953
3,0.025,-0.00026,0.934145,0.032032,0.355453,-0.689043,87.589493,16.150934,-0.026578,0.937773,0.113158,0.327216,-0.875468,95.589058,16.629168,0.001432,0.946929,0.038945,0.319071,-3.532281,116.452515,20.80707,0.083279,0.947465,-0.187,0.245776,-4.052935,139.8965,22.562971,0.071627,0.959935,-0.213604,0.166634,0.580681,153.006012,16.231846,-0.061929,0.887047,0.128652,0.439046,-7.49412,134.570084,20.330849,0.443232,-0.546723,-0.024846,-0.709945,-17.575804,134.621613,7.125059,0.121588,0.229645,-0.594263,-0.761138,-7.352757,123.164009,-13.229407,0.264066,0.30663,-0.595829,-0.693711,-2.710692,146.850937,-8.171966,-0.087159,0.961316,0.150194,0.213814,-1.271293,134.354706,25.051695,0.382689,0.852167,0.132978,-0.331176,13.571509,136.071747,32.316608,-0.002319,0.196998,0.477636,-0.856183,26.007446,121.687653,15.330241,-0.080399,-0.00689,0.789656,-0.60822,14.988602,141.044052,7.408079,0.011775,0.901807,0.183156,0.391228,-7.994436,87.807358,9.658877,0.13541,0.949789,-0.065993,0.274243,-3.476858,53.293633,-2.907048,-0.052241,0.933415,0.018207,0.354508,-17.578674,7.41421,-0.451694,-0.096605,0.88677,0.037402,0.450453,6.61635,87.37162,22.64299,0.02687,0.829884,-0.239964,0.502978,14.203782,51.159023,23.408979,0.00866,0.849806,0.003775,0.527011,0.458892,8.702835,41.251667,-0.052241,0.933415,0.018207,0.354508,-7.200475,2.140492,-11.400353,0.00866,0.849806,0.003775,0.527011,13.525867,2.310028,34.635147
4,0.033333,-0.000123,0.93408,0.032052,0.355622,-0.670548,87.616028,16.152548,-0.026873,0.937674,0.113387,0.327398,-0.855135,95.615578,16.631832,0.001783,0.946869,0.039352,0.319199,-3.526799,116.468262,20.812555,0.083327,0.94748,-0.187161,0.245579,-4.038181,139.910706,22.591749,0.072106,0.959816,-0.21425,0.166285,0.596112,153.017563,16.255632,-0.061789,0.887025,0.128926,0.439028,-7.481004,134.587936,20.353426,0.442822,-0.546783,-0.024931,-0.710152,-17.563782,134.647537,7.148499,0.121191,0.229812,-0.59427,-0.761145,-7.344263,123.203407,-13.215319,0.263863,0.306965,-0.595533,-0.693894,-2.706328,146.887726,-8.139856,-0.087348,0.96124,0.150232,0.214052,-1.259475,134.365265,25.075647,0.382767,0.852097,0.132954,-0.331275,13.57886,136.08667,32.348656,-0.002359,0.197071,0.477709,-0.856126,26.00843,121.70079,15.359118,-0.080538,-0.006853,0.789551,-0.608339,14.993551,141.060364,7.434992,0.01219,0.901784,0.18241,0.391617,-7.973588,87.836632,9.657933,0.135149,0.949651,-0.065701,0.274921,-3.500073,53.303452,-2.870236,-0.052959,0.933574,0.017668,0.354009,-17.572828,7.413536,-0.444335,-0.096374,0.886859,0.0372,0.450343,6.632492,87.395424,22.64716,0.026867,0.829908,-0.239761,0.503037,14.198382,51.178421,23.417673,0.008958,0.849734,0.003547,0.527124,0.462173,8.712849,41.244717,-0.052959,0.933574,0.017668,0.354009,-7.200113,2.132531,-11.394678,0.008958,0.849734,0.003547,0.527124,13.526091,2.309783,34.63208
5,0.041667,-0.000185,0.934064,0.031997,0.355669,-0.64712,87.635086,16.154247,-0.026899,0.937615,0.113757,0.327435,-0.83234,95.634689,16.632351,0.001686,0.94684,0.039594,0.319256,-3.511373,116.491722,20.828882,0.083291,0.947631,-0.18683,0.24526,-4.030779,139.933273,22.617332,0.07299,0.959631,-0.215356,0.165539,0.597699,153.045319,16.287689,-0.061428,0.887074,0.129123,0.438924,-7.471533,134.610275,20.376427,0.442639,-0.546836,-0.025116,-0.710218,-17.558844,134.682846,7.175024,0.121248,0.23006,-0.594261,-0.761069,-7.342769,123.249344,-13.196497,0.264327,0.307537,-0.595006,-0.693916,-2.71014,146.931915,-8.11447,-0.087328,0.961181,0.150326,0.214259,-1.250564,134.387787,25.099396,0.382961,0.85199,0.133297,-0.331188,13.584936,136.106689,32.378784,-0.002203,0.196905,0.477779,-0.856125,26.009867,121.719673,15.386805,-0.080417,-0.006906,0.788935,-0.609152,14.999193,141.073425,7.4688,0.012519,0.901796,0.181682,0.391917,-7.949517,87.85421,9.658859,0.135114,0.94965,-0.065287,0.27504,-3.515023,53.302032,-2.830743,-0.052736,0.933554,0.017869,0.354086,-17.574419,7.406005,-0.443307,-0.096071,0.886978,0.036893,0.450199,6.655278,87.415962,22.649637,0.026852,0.829913,-0.239534,0.503136,14.191526,51.192963,23.428814,0.009125,0.849695,0.003291,0.527185,0.465108,8.716872,41.238354,-0.052736,0.933554,0.017869,0.354086,-7.201754,2.12809,-11.395189,0.009125,0.849695,0.003291,0.527185,13.526386,2.304836,34.629177
6,0.05,4.4e-05,0.934032,0.031848,0.355766,-0.628537,87.665192,16.156725,-0.026725,0.937553,0.114234,0.327461,-0.809529,95.664955,16.633884,0.001442,0.946824,0.039542,0.31931,-3.489718,116.528511,20.853891,0.084252,0.947582,-0.186444,0.245416,-4.019328,139.970291,22.636349,0.072912,0.959483,-0.216422,0.165039,0.634589,153.082306,16.325344,-0.061475,0.887069,0.12943,0.438836,-7.457523,134.645264,20.396338,0.440906,-0.547025,-0.023942,-0.71119,-17.547209,134.720566,7.196762,0.119937,0.229318,-0.594373,-0.761413,-7.338745,123.289825,-13.180132,0.26342,0.307183,-0.594962,-0.694456,-2.693921,146.977554,-8.082099,-0.087252,0.961045,0.150651,0.214672,-1.237082,134.426605,25.12018,0.383016,0.851971,0.132957,-0.33131,13.592974,136.13829,32.41235,-0.002256,0.197131,0.477776,-0.856075,26.011627,121.744308,15.421679,-0.080372,-0.006589,0.788351,-0.609918,15.007889,141.09227,7.498292,0.012959,0.901715,0.180767,0.392511,-7.929589,87.887527,9.659932,0.134923,0.949665,-0.064696,0.275222,-3.542945,53.311623,-2.780826,-0.05306,0.933526,0.017793,0.354116,-17.570574,7.40324,-0.444557,-0.095757,0.887065,0.036534,0.450124,6.672515,87.442863,22.653517,0.026828,0.830008,-0.239201,0.50314,14.176625,51.213455,23.44504,0.009366,0.849618,0.003062,0.527306,0.467899,8.721897,41.231281,-0.05306,0.933526,0.017793,0.354116,-7.193931,2.127028,-11.393495,0.009366,0.849618,0.003062,0.527306,13.526854,2.300433,34.626675
7,0.058333,0.000171,0.934016,0.031846,0.35581,-0.60698,87.70237,16.159483,-0.026818,0.937501,0.114493,0.327513,-0.786078,95.702133,16.63732,0.001439,0.946795,0.039847,0.319358,-3.473471,116.560074,20.865522,0.08431,0.947618,-0.186349,0.24533,-4.00787,140.000717,22.661486,0.073302,0.959334,-0.217151,0.164773,0.646307,153.113815,16.352915,-0.061318,0.887012,0.1298,0.438865,-7.444774,134.676315,20.418013,0.440747,-0.547087,-0.02429,-0.71123,-17.53425,134.761871,7.218341,0.119604,0.229497,-0.59432,-0.761453,-7.330089,123.346855,-13.169511,0.263156,0.307222,-0.594989,-0.694515,-2.686247,147.030746,-8.054249,-0.087375,0.960986,0.150693,0.214854,-1.224812,134.456146,25.14242,0.38301,0.851947,0.133406,-0.331198,13.601928,136.17038,32.440727,-0.002346,0.197006,0.477714,-0.856138,26.024563,121.783974,15.44657,-0.080931,-0.006904,0.788515,-0.609628,15.014486,141.133728,7.528852,0.013446,0.901713,0.179795,0.392946,-7.90741,87.927025,9.662071,0.134703,0.949664,-0.064145,0.27546,-3.575714,53.326118,-2.728321,-0.052738,0.933562,0.01775,0.354069,-17.570177,7.405224,-0.439616,-0.095368,0.887195,0.036063,0.449989,6.693449,87.477715,22.656897,0.026697,0.830032,-0.238862,0.503269,14.156884,51.240276,23.465088,0.009576,0.849654,0.002662,0.527247,0.472042,8.732491,41.230927,-0.052738,0.933562,0.01775,0.354069,-7.198195,2.124009,-11.390559,0.009576,0.849654,0.002662,0.527247,13.525033,2.297848,34.62735
8,0.066667,0.000189,0.934014,0.031996,0.355802,-0.577716,87.744965,16.159222,-0.026861,0.937426,0.114803,0.327615,-0.757396,95.744576,16.639412,0.001227,0.946725,0.040228,0.319519,-3.450518,116.593658,20.877825,0.083732,0.947662,-0.186412,0.245309,-4.000411,140.032883,22.687412,0.074036,0.959129,-0.217726,0.164882,0.637996,153.148514,16.372467,-0.061323,0.886958,0.130065,0.438894,-7.433123,134.707642,20.439539,0.440291,-0.547135,-0.024647,-0.711463,-17.52174,134.79715,7.239234,0.11908,0.229639,-0.59433,-0.761484,-7.321145,123.407028,-13.164324,0.262886,0.307439,-0.595104,-0.694423,-2.681195,147.086838,-8.028123,-0.087525,0.960874,0.15109,0.215016,-1.214755,134.488617,25.166098,0.38288,0.851976,0.133643,-0.331178,13.608813,136.203659,32.470661,-0.002613,0.196971,0.477724,-0.85614,26.037252,121.826218,15.473153,-0.081082,-0.007056,0.788248,-0.609952,15.027314,141.17836,7.56309,0.014113,0.901736,0.17869,0.393373,-7.878265,87.970993,9.66199,0.134397,0.949525,-0.063628,0.276209,-3.61766,53.342121,-2.674828,-0.052577,0.93351,0.017858,0.354225,-17.573267,7.406953,-0.435685,-0.095005,0.887275,0.035552,0.449948,6.722834,87.518936,22.656452,0.02669,0.830146,-0.238549,0.50323,14.14586,51.273674,23.485624,0.009778,0.849643,0.002291,0.527262,0.477293,8.751493,41.229538,-0.052577,0.93351,0.017858,0.354225,-7.199057,2.127043,-11.385148,0.009778,0.849643,0.002291,0.527262,13.525743,2.304514,34.629017
9,0.075,0.00029,0.934026,0.032138,0.355757,-0.555899,87.790314,16.160385,-0.027123,0.937382,0.114833,0.327707,-0.734858,95.789772,16.643282,0.001394,0.946672,0.040801,0.319602,-3.437475,116.623245,20.875927,0.082699,0.947824,-0.186192,0.245202,-3.9887,140.060272,22.713467,0.074902,0.958895,-0.218216,0.165204,0.618789,153.185303,16.395451,-0.061135,0.886918,0.130423,0.438894,-7.42078,134.737564,20.458609,0.439908,-0.547178,-0.025003,-0.711655,-17.510155,134.837921,7.258966,0.118814,0.229828,-0.594421,-0.761397,-7.312849,123.470673,-13.158984,0.263093,0.308021,-0.594957,-0.694213,-2.682482,147.149887,-8.009316,-0.087875,0.960779,0.151282,0.215163,-1.203249,134.513153,25.18601,0.382539,0.852074,0.134097,-0.331138,13.616172,136.237015,32.49691,-0.002951,0.196832,0.477637,-0.856219,26.059252,121.879868,15.492964,-0.081324,-0.00722,0.788753,-0.609264,15.04071,141.237122,7.593879,0.014616,0.90184,0.17764,0.393593,-7.857072,88.019142,9.663957,0.134104,0.949483,-0.063069,0.276624,-3.657758,53.36367,-2.619061,-0.052941,0.93358,0.017738,0.353992,-17.573769,7.414135,-0.428797,-0.094613,0.88726,0.034949,0.450107,6.745276,87.561485,22.656813,0.026575,0.830199,-0.238134,0.503344,14.122765,51.307571,23.513699,0.009901,0.84964,0.00203,0.527266,0.4807,8.765757,41.230919,-0.052941,0.93358,0.017738,0.353992,-7.201453,2.13484,-11.380347,0.009901,0.84964,0.00203,0.527266,13.526032,2.310365,34.632469
