Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.019577,0.922038,0.02004,0.386083,-2.306781,86.480751,15.460965,0.007371,0.927008,0.072945,0.367806,-2.141433,94.484184,15.878369,0.044918,0.932035,-0.020325,0.358999,-3.010194,115.972939,18.933889,0.1472,0.925307,-0.235676,0.258063,-0.698054,139.374023,18.801338,0.080803,0.952335,-0.261306,0.135087,6.07074,151.185181,11.866422,-0.005323,0.877524,0.037323,0.478049,-4.604381,134.321014,16.70315,0.371522,-0.600675,0.156757,-0.690354,-13.624009,134.758682,2.75715,0.240714,0.145606,-0.448331,-0.848442,-7.779239,117.860283,-15.41906,0.401131,0.208925,-0.514987,-0.728171,5.943044,138.381241,-14.647523,-0.045532,0.963117,0.085312,0.251107,1.163848,133.780777,21.94644,0.414946,0.865037,0.11043,-0.259491,15.61407,134.526093,30.111712,0.023484,0.295706,0.46085,-0.836435,28.897173,117.683456,16.328503,-0.133082,0.131006,0.771597,-0.608083,19.443327,135.560501,4.136053,0.018415,0.882073,0.216444,0.418044,-9.160605,86.984924,8.5087,0.145348,0.958485,-0.049423,0.240288,-3.665828,53.470551,-6.19172,-0.060332,0.944176,0.008247,0.323765,-18.198357,7.675502,-4.995455,-0.125288,0.852201,0.088387,0.500244,4.547043,85.97657,22.413231,0.031786,0.781995,-0.230964,0.578039,15.722057,50.709724,21.477055,-0.004077,0.784177,0.022617,0.620111,0.500067,7.873872,37.071686,-0.060332,0.944176,0.008247,0.323765,-8.490133,2.169678,-16.433489,-0.004077,0.784177,0.022617,0.620111,14.977235,2.120699,33.507275
1,0.008333,0.019265,0.922368,0.020404,0.385293,-2.316922,86.388985,15.474537,0.006991,0.927261,0.072955,0.367174,-2.158078,94.39238,15.895261,0.044963,0.932247,-0.02075,0.358418,-3.040985,115.90033,18.948452,0.147002,0.925114,-0.236873,0.25777,-0.719843,139.3004,18.796597,0.081408,0.952227,-0.261159,0.135765,6.048041,151.092392,11.828245,-0.005299,0.877629,0.03713,0.47787,-4.630816,134.247452,16.706909,0.371387,-0.600262,0.156292,-0.690891,-13.656128,134.682526,2.764501,0.240287,0.146284,-0.448689,-0.848258,-7.778639,117.808151,-15.423487,0.400767,0.209746,-0.515153,-0.728018,5.917732,138.344482,-14.619714,-0.045065,0.96327,0.085051,0.250693,1.143865,133.708633,21.943239,0.414673,0.865171,0.110191,-0.259585,15.6024,134.442596,30.094826,0.022944,0.2962,0.460706,-0.836355,28.894564,117.606544,16.312317,-0.133649,0.131173,0.771361,-0.608222,19.446173,135.487015,4.11074,0.01748,0.882385,0.218286,0.416465,-9.182908,86.890099,8.534059,0.145662,0.958153,-0.050492,0.241199,-3.596036,53.432529,-6.260734,-0.060645,0.944303,0.008521,0.323329,-18.181917,7.656521,-4.98755,-0.126038,0.852471,0.089766,0.49935,4.549065,85.887863,22.415014,0.032331,0.782021,-0.232174,0.577489,15.818995,50.653137,21.409494,-0.00402,0.784112,0.022588,0.620195,0.500973,7.874507,37.067051,-0.060645,0.944303,0.008521,0.323329,-8.480173,2.16105,-16.436062,-0.00402,0.784112,0.022588,0.620195,14.978145,2.11957,33.505497
2,0.016667,0.018913,0.922729,0.020606,0.384434,-2.324757,86.301476,15.48632,0.006745,0.927493,0.07305,0.366573,-2.171975,94.304955,15.90772,0.044609,0.932436,-0.021363,0.357933,-3.065011,115.828476,18.963619,0.147181,0.92486,-0.237507,0.257998,-0.749142,139.228836,18.777706,0.08158,0.952099,-0.261062,0.136742,6.029243,151.007736,11.797465,-0.005463,0.877742,0.037183,0.477658,-4.661326,134.172241,16.699156,0.371528,-0.599865,0.155462,-0.691347,-13.693309,134.603073,2.760945,0.239903,0.14735,-0.448971,-0.848033,-7.778364,117.757523,-15.441606,0.400255,0.21052,-0.515195,-0.728046,5.889924,138.310379,-14.589642,-0.045012,0.963407,0.085113,0.250154,1.119271,133.641693,21.9298,0.414676,0.86528,0.110022,-0.259286,15.58693,134.375168,30.065218,0.022828,0.296611,0.460553,-0.836296,28.886868,117.53273,16.298006,-0.134086,0.131544,0.771233,-0.608208,19.441927,135.409729,4.081901,0.016794,0.882625,0.220043,0.415056,-9.203926,86.797554,8.558549,0.146101,0.957917,-0.051428,0.241672,-3.54135,53.395237,-6.332,-0.060461,0.944195,0.00918,0.32366,-18.188433,7.640722,-4.990574,-0.126681,0.852735,0.090998,0.498512,4.554412,85.805397,22.414093,0.032858,0.78211,-0.233275,0.576895,15.907283,50.599194,21.344952,-0.004205,0.784052,0.022429,0.620275,0.501594,7.873124,37.059898,-0.060461,0.944195,0.00918,0.32366,-8.479205,2.16219,-16.440857,-0.004205,0.784052,0.022429,0.620275,14.980032,2.117798,33.504147
3,0.025,0.018335,0.923116,0.021019,0.383508,-2.326338,86.225525,15.499443,0.006063,0.927753,0.072993,0.365936,-2.184225,94.229073,15.923245,0.044811,0.932627,-0.021691,0.35739,-3.102189,115.762581,18.967955,0.146824,0.924711,-0.238514,0.257806,-0.772102,139.161423,18.769716,0.082106,0.95188,-0.261261,0.137571,6.001017,150.925934,11.760164,-0.005638,0.877797,0.036986,0.477569,-4.689836,134.106384,16.697824,0.371333,-0.599558,0.155029,-0.691815,-13.724592,134.52887,2.761147,0.239154,0.148177,-0.449296,-0.847928,-7.78399,117.706665,-15.45465,0.399286,0.211535,-0.515412,-0.728131,5.857476,138.274704,-14.556056,-0.044907,0.963574,0.084575,0.249711,1.096552,133.574432,21.921917,0.414414,0.865475,0.108416,-0.25973,15.571892,134.310516,30.043427,0.022095,0.297712,0.460262,-0.836085,28.871164,117.456772,16.289421,-0.134608,0.132034,0.770703,-0.608658,19.443542,135.328613,4.047798,0.016284,0.882857,0.221665,0.413717,-9.219832,86.714035,8.585382,0.146619,0.957894,-0.052082,0.24131,-3.49636,53.363495,-6.397659,-0.060808,0.944017,0.009266,0.324111,-18.204107,7.630038,-5.003118,-0.127093,0.853068,0.092041,0.497645,4.567156,85.737007,22.413504,0.03329,0.782228,-0.234275,0.576305,15.98175,50.552666,21.283312,-0.004194,0.784011,0.022327,0.620331,0.501047,7.874289,37.054043,-0.060808,0.944017,0.009266,0.324111,-8.479914,2.158473,-16.444033,-0.004194,0.784011,0.022327,0.620331,14.979139,2.116343,33.501106
4,0.033333,0.017923,0.92355,0.021356,0.382463,-2.328318,86.153122,15.510455,0.005602,0.928019,0.073025,0.365262,-2.193893,94.156685,15.936552,0.044611,0.932829,-0.022086,0.356864,-3.129269,115.70208,18.977518,0.145238,0.924771,-0.23945,0.25762,-0.801408,139.100952,18.757284,0.083432,0.951497,-0.26144,0.139077,5.933836,150.864227,11.709247,-0.005392,0.877994,0.036706,0.477231,-4.721132,134.043884,16.694141,0.371278,-0.599066,0.154572,-0.692372,-13.766685,134.468643,2.764545,0.238645,0.149084,-0.449871,-0.847607,-7.788826,117.669151,-15.46001,0.399246,0.21204,-0.515087,-0.728236,5.815993,138.264435,-14.521106,-0.044745,0.963797,0.084064,0.249052,1.071409,133.516724,21.911894,0.414501,0.865493,0.109726,-0.258979,15.558147,134.254013,30.012936,0.022885,0.297582,0.460162,-0.836165,28.873577,117.409157,16.263676,-0.134645,0.132226,0.770836,-0.60844,19.440126,135.263702,4.011847,0.015811,0.883287,0.223046,0.412073,-9.237756,86.636436,8.611966,0.146936,0.957991,-0.052526,0.240631,-3.468728,53.330223,-6.451992,-0.061348,0.943886,0.00956,0.324382,-18.214008,7.610205,-5.013809,-0.127344,0.853461,0.093116,0.496707,4.581119,85.6698,22.408945,0.033676,0.782505,-0.235354,0.575466,16.048355,50.50491,21.208582,-0.003896,0.783881,0.02269,0.620484,0.496966,7.877689,37.047966,-0.061348,0.943886,0.00956,0.324382,-8.476607,2.153284,-16.450478,-0.003896,0.783881,0.02269,0.620484,14.976295,2.122779,33.495174
5,0.041667,0.017576,0.924058,0.021645,0.381235,-2.326882,86.087753,15.522949,0.00549,0.92838,0.072812,0.364388,-2.198794,94.091309,15.951027,0.044123,0.933115,-0.022458,0.356154,-3.133446,115.660767,18.985741,0.146512,0.924275,-0.240474,0.257723,-0.820934,139.060898,18.739214,0.082925,0.95149,-0.261475,0.139362,5.95466,150.793411,11.678616,-0.005563,0.878477,0.036388,0.476365,-4.740676,133.999329,16.687166,0.371272,-0.598623,0.154023,-0.692881,-13.81363,134.412903,2.775066,0.23811,0.149884,-0.450227,-0.847428,-7.800071,117.637405,-15.459831,0.398423,0.212975,-0.515251,-0.728297,5.778327,138.25087,-14.480956,-0.044391,0.963902,0.083971,0.24874,1.060451,133.480911,21.896252,0.414641,0.86546,0.10955,-0.258942,15.553405,134.208664,29.987038,0.023203,0.297797,0.460039,-0.836148,28.863922,117.35582,16.2428,-0.134534,0.132657,0.770528,-0.608761,19.431225,135.200256,3.976016,0.015574,0.88365,0.22427,0.410637,-9.254893,86.566612,8.642801,0.147112,0.958042,-0.052911,0.240236,-3.457307,53.300358,-6.498279,-0.061765,0.94375,0.009981,0.324687,-18.226353,7.589197,-5.022884,-0.12738,0.8537,0.093956,0.496129,4.601129,85.608887,22.403097,0.033677,0.782171,-0.23628,0.57554,16.099764,50.45631,21.14386,-0.00409,0.783865,0.022783,0.6205,0.496471,7.871106,37.045097,-0.061765,0.94375,0.009981,0.324687,-8.476014,2.149171,-16.456577,-0.00409,0.783865,0.022783,0.6205,14.9784,2.121917,33.493633
6,0.05,0.017317,0.924575,0.021962,0.379972,-2.323153,86.039696,15.536242,0.004465,0.928761,0.072934,0.363407,-2.20025,94.043175,15.967272,0.044456,0.933433,-0.022972,0.355244,-3.175047,115.610611,18.991417,0.145113,0.924362,-0.241405,0.257336,-0.839625,139.008255,18.725676,0.083796,0.951186,-0.261518,0.140823,5.901052,150.737732,11.626711,-0.005462,0.878701,0.036478,0.475946,-4.768432,133.949326,16.684473,0.371394,-0.598317,0.153415,-0.693215,-13.85466,134.366745,2.781151,0.237552,0.150878,-0.450604,-0.847208,-7.812868,117.612206,-15.46368,0.397617,0.213896,-0.515446,-0.728331,5.735609,138.246567,-14.43675,-0.044503,0.964077,0.083451,0.248216,1.042349,133.428375,21.88253,0.414594,0.865499,0.109484,-0.258915,15.543619,134.165741,29.957527,0.023239,0.298535,0.459128,-0.836384,28.856853,117.313133,16.215628,-0.136526,0.133159,0.769642,-0.609328,19.407288,135.121887,3.919046,0.015231,0.884372,0.225395,0.408474,-9.270139,86.515892,8.675067,0.147112,0.958118,-0.053262,0.239858,-3.45281,53.286297,-6.538771,-0.061998,0.943726,0.010206,0.324704,-18.229099,7.578716,-5.025342,-0.127303,0.854173,0.094564,0.495217,4.623832,85.563507,22.397419,0.033823,0.782288,-0.23704,0.575059,16.138081,50.417984,21.085041,-0.004244,0.7838,0.022773,0.620582,0.492327,7.868308,37.039581,-0.061998,0.943726,0.010206,0.324704,-8.475301,2.147571,-16.460306,-0.004244,0.7838,0.022773,0.620582,14.976313,2.121666,33.492386
7,0.058333,0.01703,0.925086,0.022342,0.378717,-2.311217,86.005501,15.549055,0.003937,0.929136,0.072928,0.362453,-2.194304,94.008873,15.983805,0.044237,0.933748,-0.023452,0.354413,-3.187411,115.579292,19.000753,0.145557,0.924058,-0.242474,0.257172,-0.853838,138.976807,18.708199,0.083595,0.951111,-0.261627,0.141246,5.903141,150.68277,11.58596,-0.005586,0.879043,0.036714,0.475294,-4.786074,133.91568,16.679058,0.37127,-0.598023,0.153076,-0.69361,-13.892881,134.332352,2.78919,0.236956,0.151799,-0.450973,-0.847014,-7.827882,117.596054,-15.464669,0.396968,0.214966,-0.515759,-0.728147,5.690542,138.248138,-14.391664,-0.044264,0.964244,0.082865,0.247807,1.034229,133.400055,21.866983,0.414654,0.865437,0.109262,-0.25912,15.542938,134.135986,29.928728,0.02372,0.298571,0.458858,-0.836506,28.848188,117.280235,16.182972,-0.136426,0.133458,0.769593,-0.609347,19.387732,135.07457,3.872838,0.015286,0.884893,0.226197,0.406897,-9.277013,86.478935,8.706789,0.147029,0.957993,-0.053552,0.240343,-3.466003,53.276283,-6.568154,-0.062359,0.943613,0.01036,0.324958,-18.242094,7.569343,-5.033595,-0.127115,0.854772,0.094891,0.494168,4.654579,85.532066,22.391319,0.033887,0.782394,-0.237651,0.57466,16.167128,50.387566,21.037315,-0.004516,0.783861,0.022716,0.620505,0.491592,7.86615,37.037895,-0.062359,0.943613,0.01036,0.324958,-8.477809,2.146952,-16.463762,-0.004516,0.783861,0.022716,0.620505,14.976992,2.123192,33.490517
8,0.066667,0.01683,0.925682,0.022255,0.377273,-2.305726,85.978905,15.572469,0.003388,0.929599,0.072387,0.361379,-2.190578,93.982437,16.004545,0.043948,0.934109,-0.023391,0.353501,-3.194039,115.558372,18.992476,0.144782,0.923911,-0.243846,0.256836,-0.87445,138.957214,18.695534,0.084024,0.950893,-0.261661,0.142395,5.867008,150.64592,11.530367,-0.005713,0.879396,0.0367,0.47464,-4.807773,133.893875,16.674089,0.371414,-0.597739,0.152643,-0.693873,-13.935179,134.305756,2.797602,0.236449,0.152792,-0.451428,-0.846735,-7.846075,117.583702,-15.461304,0.396327,0.215947,-0.515953,-0.728069,5.637615,138.257202,-14.342814,-0.044066,0.96445,0.082282,0.247234,1.023022,133.381531,21.85055,0.414734,0.865397,0.109096,-0.259194,15.541739,134.117752,29.894241,0.024616,0.297971,0.459147,-0.836535,28.841639,117.257523,16.148785,-0.134107,0.133588,0.769758,-0.609625,19.377699,135.050262,3.843339,0.015508,0.885312,0.226944,0.405559,-9.293,86.447647,8.751811,0.146718,0.957995,-0.053659,0.240499,-3.497024,53.270554,-6.584267,-0.063131,0.943554,0.010383,0.324981,-18.247782,7.555938,-5.034803,-0.126903,0.855457,0.095193,0.492978,4.681547,85.510162,22.393127,0.034057,0.782662,-0.238129,0.574086,16.189825,50.365936,20.996233,-0.00458,0.783796,0.022661,0.620588,0.48735,7.867506,37.031425,-0.063131,0.943554,0.010383,0.324981,-8.474392,2.142796,-16.461578,-0.00458,0.783796,0.022661,0.620588,14.973677,2.124382,33.488075
9,0.075,0.016834,0.926287,0.022282,0.375782,-2.292733,85.964478,15.596086,0.002693,0.930135,0.072067,0.360068,-2.176975,93.967995,16.028395,0.043574,0.934579,-0.023642,0.352285,-3.199784,115.555069,18.995159,0.145164,0.923626,-0.245161,0.256396,-0.89283,138.954895,18.677917,0.083929,0.950778,-0.261925,0.142729,5.862031,150.616165,11.480739,-0.005946,0.879892,0.036495,0.473732,-4.828917,133.888336,16.669945,0.371558,-0.597319,0.152324,-0.694227,-13.984818,134.288971,2.811912,0.236129,0.153559,-0.45197,-0.846396,-7.865217,117.578995,-15.447863,0.39599,0.216914,-0.516209,-0.727783,5.582863,138.27446,-14.299044,-0.043845,0.964666,0.08176,0.246602,1.015795,133.382095,21.831284,0.414981,0.86528,0.108687,-0.259361,15.545527,134.117584,29.85512,0.02573,0.297575,0.458918,-0.836769,28.830564,117.244484,16.111099,-0.133145,0.133604,0.769813,-0.609763,19.346354,135.016464,3.795235,0.015632,0.886022,0.227354,0.403771,-9.301953,86.433052,8.797974,0.146427,0.958128,-0.053473,0.24019,-3.532648,53.270042,-6.578566,-0.063059,0.943565,0.01085,0.324949,-18.252541,7.545295,-5.034485,-0.126399,0.856092,0.095408,0.491963,4.716488,85.495903,22.394197,0.034063,0.783021,-0.238586,0.573406,16.199459,50.345253,20.951397,-0.004667,0.783839,0.022589,0.620536,0.485742,7.867804,37.031128,-0.063059,0.943565,0.01085,0.324949,-8.479724,2.144326,-16.467506,-0.004667,0.783839,0.022589,0.620536,14.971887,2.124594,33.48719
