Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.002559,0.952318,0.021161,0.304362,1.505562,87.455765,14.083022,-0.037583,0.951864,0.125069,0.277309,1.363242,95.4645,14.393619,-0.01881,0.960849,0.053881,0.271131,-1.620369,115.915512,18.993561,0.070407,0.953507,-0.17966,0.231495,-3.157445,139.27774,21.188555,0.071592,0.964749,-0.163631,0.193283,0.951032,152.568024,14.871759,-0.096989,0.89455,0.175638,0.399405,-6.525999,133.805618,19.21283,0.436078,-0.520829,-0.081977,-0.729283,-17.52697,133.253677,6.774581,0.096793,0.270015,-0.606247,-0.741747,-6.205458,124.720505,-14.417398,0.252694,0.346754,-0.603241,-0.672315,-3.291286,148.002579,-7.488667,-0.093904,0.965506,0.165506,0.177731,0.133506,133.859772,23.299936,0.37272,0.84578,0.103725,-0.367393,15.405187,135.895004,29.518429,-0.017556,0.193808,0.459681,-0.866501,26.935005,121.763016,11.701531,-0.120654,-0.010124,0.801544,-0.585548,15.090781,140.709335,4.161772,0.015418,0.915305,0.182866,0.358524,-6.458791,87.53405,8.41504,0.144067,0.9421,-0.06198,0.296395,-2.650781,53.019798,-4.382351,-0.018302,0.921369,0.03059,0.38705,-17.462629,7.32356,-2.874188,-0.085084,0.920357,-0.015007,0.381416,9.469914,87.37748,19.751003,0.00546,0.866955,-0.247963,0.432289,14.842113,50.923096,23.17518,-0.0032,0.892175,-0.0012,0.451677,4.083705,8.775515,43.611656,-0.018302,0.921369,0.03059,0.38705,-6.655838,2.019848,-13.384953,-0.0032,0.892175,-0.0012,0.451677,15.931216,2.432495,34.963257
1,0.008333,-0.00257,0.952346,0.021064,0.304282,1.523941,87.458328,14.077799,-0.03767,0.95188,0.12512,0.277219,1.381944,95.467125,14.386873,-0.01883,0.96088,0.053755,0.271047,-1.605168,115.916458,18.987919,0.070515,0.953472,-0.179763,0.231526,-3.141384,139.279282,21.177137,0.071715,0.964675,-0.163871,0.193404,0.971016,152.567505,14.858577,-0.096942,0.894634,0.175569,0.399259,-6.51039,133.806732,19.2034,0.4365,-0.520845,-0.082059,-0.729009,-17.515547,133.25412,6.768879,0.097121,0.269925,-0.60613,-0.741832,-6.195605,124.711296,-14.420062,0.252554,0.346631,-0.603249,-0.672424,-3.272367,147.993927,-7.503122,-0.093896,0.965522,0.165348,0.177796,0.149817,133.861786,23.289354,0.372848,0.845736,0.103563,-0.36741,15.420789,135.897385,29.509476,-0.017343,0.193849,0.459739,-0.866465,26.945124,121.757797,11.695045,-0.120533,-0.010116,0.801737,-0.58531,15.10378,140.704422,4.14907,0.015476,0.91538,0.18279,0.358368,-6.441368,87.535782,8.411147,0.144182,0.941951,-0.062007,0.296808,-2.641553,53.019608,-4.383507,-0.018517,0.921284,0.030371,0.387259,-17.46505,7.326898,-2.882767,-0.08493,0.920323,-0.01506,0.38153,9.48925,87.380867,19.744452,0.005489,0.866973,-0.248048,0.432205,14.849119,50.924664,23.168606,-0.003094,0.892183,-0.001406,0.451662,4.086803,8.781162,43.611443,-0.018517,0.921284,0.030371,0.387259,-6.652141,2.019697,-13.385479,-0.003094,0.892183,-0.001406,0.451662,15.931645,2.431326,34.964382
2,0.016667,-0.002515,0.952384,0.020838,0.304177,1.54192,87.461945,14.073175,-0.037771,0.951877,0.125202,0.27718,1.401894,95.470901,14.379075,-0.018903,0.960886,0.053617,0.271046,-1.590233,115.920189,18.982531,0.069825,0.953485,-0.180156,0.231376,-3.127947,139.283585,21.164572,0.072484,0.964569,-0.163952,0.193578,0.966295,152.569656,14.829707,-0.097076,0.894629,0.1756,0.399224,-6.496589,133.810211,19.192486,0.436714,-0.520868,-0.081994,-0.728872,-17.501816,133.253845,6.758194,0.097296,0.269893,-0.606086,-0.741857,-6.182548,124.70182,-14.427394,0.252476,0.346679,-0.603374,-0.672317,-3.256062,147.98378,-7.516874,-0.093852,0.965565,0.165145,0.177772,0.163578,133.866959,23.278481,0.37291,0.845728,0.103091,-0.367498,15.435118,135.902588,29.4972,-0.017375,0.194036,0.45983,-0.866374,26.953775,121.752098,11.687769,-0.120469,-0.010049,0.801685,-0.585395,15.120152,140.700348,4.135958,0.015567,0.915451,0.182589,0.358285,-6.424636,87.539032,8.408268,0.144223,0.941994,-0.061953,0.296662,-2.637472,53.017639,-4.376039,-0.018722,0.921428,0.030006,0.386937,-17.462835,7.325411,-2.87904,-0.084793,0.920333,-0.015195,0.381533,9.508474,87.384865,19.738083,0.005564,0.866957,-0.248016,0.432253,14.855247,50.927235,23.167561,-0.003049,0.89215,-0.001546,0.451726,4.08686,8.782297,43.604259,-0.018722,0.921428,0.030006,0.386937,-6.656489,2.010418,-13.38457,-0.003049,0.89215,-0.001546,0.451726,15.931654,2.428229,34.960243
3,0.025,-0.002437,0.952423,0.020671,0.304069,1.560156,87.463692,14.068392,-0.037875,0.95189,0.125226,0.27711,1.422172,95.472771,14.372134,-0.01886,0.960908,0.053555,0.270984,-1.574566,115.92498,18.97629,0.069932,0.953418,-0.18051,0.231343,-3.10945,139.288773,21.156212,0.072467,0.964562,-0.163958,0.193615,0.989694,152.569153,14.812592,-0.097173,0.894641,0.17558,0.399184,-6.478952,133.815552,19.185123,0.436872,-0.520868,-0.082088,-0.728767,-17.484619,133.255753,6.751375,0.097312,0.269793,-0.606188,-0.741808,-6.166106,124.702576,-14.434145,0.252688,0.346232,-0.603386,-0.672456,-3.242846,147.987823,-7.528458,-0.093826,0.965604,0.164964,0.177744,0.18177,133.871979,23.270216,0.373109,0.845653,0.103141,-0.367455,15.453799,135.908157,29.487556,-0.01706,0.193967,0.459889,-0.866365,26.966476,121.751198,11.679385,-0.120292,-0.010088,0.801679,-0.585439,15.135005,140.697388,4.124303,0.015701,0.915498,0.182464,0.358223,-6.407691,87.541191,8.405309,0.144112,0.942156,-0.061946,0.296205,-2.63385,53.016724,-4.374639,-0.018551,0.921603,0.030029,0.386526,-17.44846,7.321331,-2.86784,-0.084696,0.920417,-0.015322,0.381345,9.528003,87.3862,19.731474,0.00569,0.867068,-0.248087,0.431988,14.865343,50.927639,23.165804,-0.003083,0.892194,-0.001807,0.451638,4.089811,8.786201,43.605942,-0.018551,0.921603,0.030029,0.386526,-6.653099,2.004894,-13.383924,-0.003083,0.892194,-0.001807,0.451638,15.931799,2.425757,34.962769
4,0.033333,-0.002426,0.95245,0.020472,0.303997,1.579267,87.469635,14.066702,-0.037502,0.95194,0.125178,0.27701,1.442442,95.478836,14.367477,-0.01932,0.960916,0.053426,0.27095,-1.537063,115.924622,18.972704,0.070036,0.953388,-0.180529,0.23142,-3.091003,139.288239,21.140966,0.072464,0.964541,-0.164105,0.193598,1.011837,152.567795,14.798017,-0.096869,0.894761,0.175675,0.398947,-6.456062,133.811279,19.172665,0.437051,-0.520987,-0.08214,-0.728569,-17.469973,133.26004,6.745832,0.09743,0.269718,-0.606148,-0.741852,-6.158221,124.700569,-14.440763,0.252593,0.34637,-0.603529,-0.672293,-3.230973,147.984039,-7.541373,-0.093896,0.965604,0.164838,0.177822,0.204675,133.875198,23.257627,0.37326,0.845588,0.103209,-0.36743,15.475348,135.913925,29.477468,-0.016874,0.193907,0.459926,-0.866362,26.983225,121.752808,11.669501,-0.120169,-0.010044,0.801491,-0.585722,15.15259,140.698151,4.11312,0.015754,0.915597,0.182288,0.358057,-6.389448,87.54612,8.404825,0.14417,0.942221,-0.061838,0.295991,-2.626197,53.017025,-4.365751,-0.018753,0.921656,0.029917,0.386397,-17.442621,7.321954,-2.867062,-0.084536,0.920406,-0.01541,0.381406,9.547981,87.393143,19.728579,0.005728,0.867067,-0.248075,0.431996,14.871761,50.932777,23.164705,-0.002709,0.892138,-0.001913,0.451751,4.093302,8.790842,43.602268,-0.018753,0.921656,0.029917,0.386397,-6.648458,2.004786,-13.384011,-0.002709,0.892138,-0.001913,0.451751,15.93264,2.422649,34.961166
5,0.041667,-0.002443,0.952489,0.020286,0.303887,1.59941,87.475441,14.064294,-0.03757,0.951966,0.125176,0.276914,1.463269,95.484772,14.362166,-0.019304,0.960946,0.053333,0.27086,-1.518692,115.931557,18.967041,0.070096,0.953392,-0.180596,0.231334,-3.070516,139.29567,21.131453,0.072494,0.96452,-0.164358,0.193474,1.033673,152.573975,14.786741,-0.09672,0.894914,0.175496,0.398717,-6.436344,133.818634,19.164757,0.437084,-0.521027,-0.082137,-0.72852,-17.45731,133.267593,6.744181,0.097476,0.26947,-0.606192,-0.741901,-6.147679,124.706039,-14.4427,0.25249,0.346241,-0.603594,-0.672339,-3.216428,147.99231,-7.553128,-0.093975,0.965608,0.164868,0.177733,0.225163,133.882767,23.248453,0.373344,0.845565,0.103245,-0.367388,15.496382,135.924347,29.465988,-0.016729,0.193842,0.459882,-0.866403,27.002626,121.760536,11.659119,-0.120189,-0.010089,0.801507,-0.585696,15.169024,140.7034,4.101924,0.015829,0.915711,0.182141,0.357838,-6.370597,87.550476,8.404222,0.144208,0.942209,-0.061806,0.296016,-2.619379,53.017593,-4.359649,-0.018898,0.921701,0.029748,0.386297,-17.438341,7.323199,-2.865287,-0.084361,0.920405,-0.015535,0.381441,9.569418,87.400414,19.724365,0.005744,0.867038,-0.248064,0.432061,14.877696,50.938152,23.164337,-0.002653,0.892115,-0.002134,0.451796,4.096879,8.795685,43.599545,-0.018898,0.921701,0.029748,0.386297,-6.645576,2.003016,-13.38214,-0.002653,0.892115,-0.002134,0.451796,15.935206,2.420997,34.961857
6,0.05,-0.002435,0.952525,0.02016,0.303784,1.618778,87.481888,14.061586,-0.037638,0.951989,0.125141,0.276839,1.483412,95.491295,14.357585,-0.019284,0.960971,0.053231,0.270794,-1.500633,115.939156,18.960739,0.071028,0.953329,-0.180537,0.231357,-3.050089,139.303818,21.120934,0.071919,0.964606,-0.164592,0.19306,1.079984,152.578171,14.78481,-0.096728,0.894949,0.175547,0.398613,-6.416673,133.826691,19.155741,0.437191,-0.521143,-0.082283,-0.728356,-17.440325,133.275391,6.737564,0.097371,0.269452,-0.606237,-0.741884,-6.138099,124.71312,-14.452976,0.252428,0.346157,-0.6037,-0.672311,-3.209229,147.997589,-7.561816,-0.093966,0.965658,0.164709,0.17761,0.245403,133.891006,23.238506,0.37346,0.845569,0.103603,-0.36716,15.518125,135.934067,29.451868,-0.016128,0.193372,0.460067,-0.866421,27.028477,121.770668,11.647322,-0.119209,-0.010765,0.801608,-0.585746,15.195992,140.713013,4.097295,0.015968,0.91572,0.181989,0.357885,-6.352461,87.556282,8.403244,0.144248,0.942155,-0.061803,0.296171,-2.614072,53.019627,-4.35418,-0.018543,0.921699,0.029758,0.386318,-17.43672,7.326305,-2.863776,-0.084309,0.920565,-0.015737,0.381056,9.590017,87.407494,19.719929,0.005936,0.867118,-0.24804,0.431911,14.890514,50.945045,23.16993,-0.002466,0.892081,-0.002224,0.451863,4.098143,8.801675,43.597195,-0.018543,0.921699,0.029758,0.386318,-6.647203,2.002216,-13.381979,-0.002466,0.892081,-0.002224,0.451863,15.935123,2.422149,34.961235
7,0.058333,-0.002465,0.952567,0.020058,0.303659,1.640412,87.49012,14.059448,-0.037746,0.952038,0.12511,0.276672,1.505126,95.499596,14.353761,-0.019302,0.961025,0.053172,0.270612,-1.481659,115.944412,18.954214,0.071067,0.95332,-0.18063,0.231307,-3.030782,139.309341,21.111813,0.071853,0.964583,-0.164703,0.193104,1.100542,152.582138,14.773254,-0.096519,0.89509,0.175209,0.398498,-6.397992,133.831863,19.14863,0.437205,-0.521199,-0.082472,-0.728287,-17.426035,133.281189,6.734324,0.097282,0.269366,-0.606261,-0.741907,-6.128386,124.724052,-14.460733,0.252282,0.346111,-0.603758,-0.672338,-3.198792,148.007767,-7.570061,-0.094154,0.96568,0.164667,0.17743,0.265614,133.896881,23.228886,0.373479,0.845573,0.103548,-0.367149,15.539293,135.947296,29.437468,-0.015999,0.19329,0.460083,-0.866433,27.049356,121.781937,11.634313,-0.119117,-0.011048,0.801775,-0.58553,15.216014,140.72406,4.084729,0.01608,0.915896,0.181793,0.357528,-6.332311,87.563301,8.403179,0.144266,0.942191,-0.061708,0.296068,-2.611746,53.021633,-4.345888,-0.01761,0.921667,0.029932,0.386425,-17.433163,7.327673,-2.86296,-0.084126,0.920588,-0.015895,0.381035,9.613134,87.416946,19.715717,0.005967,0.867085,-0.248039,0.431977,14.89687,50.952591,23.171244,-0.002354,0.892111,-0.002456,0.451804,4.100492,8.809185,43.596313,-0.01761,0.921667,0.029932,0.386425,-6.650444,1.997446,-13.385026,-0.002354,0.892111,-0.002456,0.451804,15.933734,2.422096,34.960823
8,0.066667,-0.00222,0.95261,0.019671,0.303551,1.654584,87.501465,14.06111,-0.037782,0.952076,0.12501,0.27658,1.524944,95.511208,14.350721,-0.019382,0.96105,0.053153,0.270521,-1.460979,115.952087,18.945984,0.071087,0.953313,-0.180734,0.231248,-3.013295,139.316956,21.101856,0.071844,0.964575,-0.164826,0.193043,1.118714,152.588165,14.760387,-0.096471,0.895138,0.175254,0.398382,-6.380017,133.838806,19.139744,0.437164,-0.52127,-0.082556,-0.728251,-17.411438,133.289307,6.728383,0.097109,0.269271,-0.606329,-0.741908,-6.118266,124.734627,-14.470047,0.252102,0.346028,-0.603811,-0.6724,-3.190142,148.0186,-7.577871,-0.094201,0.965691,0.164675,0.177338,0.284309,133.905197,23.218803,0.373425,0.845596,0.103527,-0.367157,15.558776,135.957581,29.424793,-0.016039,0.193307,0.459991,-0.866478,27.070623,121.79377,11.62155,-0.119216,-0.011041,0.801641,-0.585693,15.233594,140.733429,4.071712,0.016237,0.9159,0.18158,0.35762,-6.319446,87.576851,8.406709,0.144239,0.942238,-0.061555,0.295962,-2.613956,53.029842,-4.332261,-0.01708,0.921704,0.029858,0.386367,-17.428621,7.333317,-2.860625,-0.083948,0.920968,-0.016179,0.380143,9.628613,87.426079,19.715509,0.006027,0.867113,-0.247891,0.432005,14.895632,50.960171,23.180271,-0.002496,0.892057,-0.002643,0.451908,4.099675,8.809772,43.591125,-0.01708,0.921704,0.029858,0.386367,-6.653126,1.994815,-13.385902,-0.002496,0.892057,-0.002643,0.451908,15.935467,2.419703,34.961334
9,0.075,-0.002196,0.95265,0.019524,0.303434,1.67323,87.509415,14.059764,-0.037889,0.9521,0.124958,0.276505,1.544718,95.519241,14.347269,-0.019354,0.961074,0.053092,0.270452,-1.444416,115.959457,18.93924,0.070949,0.953369,-0.180669,0.231112,-2.994531,139.324677,21.092808,0.071916,0.964557,-0.165138,0.192839,1.132069,152.597565,14.751305,-0.096387,0.895146,0.175355,0.398338,-6.361981,133.846588,19.131779,0.437147,-0.521364,-0.082671,-0.728181,-17.395092,133.300644,6.721764,0.096947,0.269196,-0.606375,-0.741919,-6.107857,124.748337,-14.48079,0.251875,0.346034,-0.603872,-0.672427,-3.180647,148.030441,-7.58704,-0.094281,0.965729,0.164585,0.177173,0.302944,133.912888,23.209862,0.373236,0.84565,0.102983,-0.367378,15.578851,135.969406,29.410946,-0.016358,0.193489,0.459975,-0.86644,27.089628,121.803688,11.608519,-0.119338,-0.011183,0.801493,-0.585869,15.254244,140.746536,4.057834,0.016367,0.915939,0.181404,0.357603,-6.30219,87.584343,8.407318,0.144284,0.942232,-0.061474,0.295975,-2.610405,53.032887,-4.323588,-0.016982,0.9217,0.029717,0.386392,-17.426851,7.336658,-2.86075,-0.083804,0.921009,-0.016341,0.380069,9.648649,87.434479,19.71221,0.006118,0.867194,-0.247843,0.431869,14.901694,50.967194,23.183558,-0.002217,0.892039,-0.002724,0.451946,4.103354,8.814618,43.588657,-0.016982,0.9217,0.029717,0.386392,-6.652415,1.993084,-13.384539,-0.002217,0.892039,-0.002724,0.451946,15.93625,2.418742,34.95919
