Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.009322,0.942151,0.028355,0.333858,0.716729,85.042038,15.310946,-0.016226,0.94129,0.103607,0.320898,0.42415,93.043777,15.689346,-0.006366,0.947442,0.012973,0.3196,-1.707284,114.524925,19.744701,0.144732,0.941277,-0.163534,0.2575,-2.185968,138.030502,20.227091,0.098751,0.960362,-0.201458,0.165432,4.073834,150.989868,15.100426,-0.049387,0.886371,0.1065,0.447844,-5.634558,132.597214,18.282526,0.424529,-0.559067,0.113009,-0.70317,-15.503353,132.727463,4.91742,0.267366,0.183715,-0.47134,-0.820124,-6.596137,116.57238,-12.682763,0.400569,0.227711,-0.588821,-0.664065,5.399534,137.983627,-11.471395,-0.091472,0.964081,0.056153,0.242956,0.582385,132.626694,23.01593,0.324051,0.907773,0.04541,-0.262443,14.957291,135.103668,30.969715,-0.026499,0.30131,0.401584,-0.864431,31.587114,120.7108,18.070631,-0.115916,0.067369,0.734655,-0.665062,19.667131,137.783722,6.060394,-0.003831,0.893256,0.25274,0.371756,-6.878006,85.055412,9.156034,0.145032,0.966556,-0.078685,0.196325,0.329434,52.777435,-7.447974,-0.029997,0.966657,0.020365,0.253494,-14.62982,7.333887,-2.874491,-0.124347,0.880605,0.059976,0.453294,8.311463,85.028671,21.465857,0.00678,0.820844,-0.270013,0.503252,18.428217,49.432461,21.728655,0.00501,0.859273,0.016396,0.51123,4.831888,8.38426,42.704773,-0.029997,0.966657,0.020365,0.253494,-7.027297,1.796757,-15.794793,0.00501,0.859273,0.016396,0.51123,17.769005,2.37189,35.502357
1,0.008333,-0.009214,0.942528,0.027932,0.33283,0.705432,85.172401,15.285385,-0.015877,0.941695,0.103427,0.319784,0.417162,93.174553,15.658292,-0.007078,0.947799,0.013479,0.318506,-1.690787,114.640022,19.710403,0.144113,0.941504,-0.163777,0.256863,-2.208181,138.144531,20.205208,0.099349,0.960033,-0.202899,0.165221,4.031827,151.106842,15.061882,-0.049411,0.886623,0.107773,0.447039,-5.652008,132.706329,18.265924,0.424235,-0.560421,0.112037,-0.702425,-15.544664,132.851547,4.918629,0.266818,0.183848,-0.47071,-0.820634,-6.703573,116.714645,-12.731518,0.400025,0.227843,-0.588785,-0.664379,5.31835,138.108246,-11.489314,-0.092259,0.964226,0.056625,0.241971,0.575702,132.74408,22.985098,0.323969,0.907962,0.044383,-0.262069,14.961667,135.244781,30.911419,-0.025659,0.300992,0.401273,-0.864711,31.604225,120.838013,18.044317,-0.114528,0.066866,0.734937,-0.665042,19.644186,137.917786,6.007633,-0.003492,0.893917,0.250558,0.371647,-6.902741,85.18438,9.147091,0.144093,0.966608,-0.077451,0.197252,0.220398,52.824951,-7.334301,-0.029818,0.9666,0.020368,0.253732,-14.635929,7.336781,-2.870233,-0.123385,0.881091,0.058123,0.452853,8.313605,85.160431,21.423677,0.006039,0.821416,-0.268738,0.50301,18.308016,49.530376,21.768829,0.00476,0.859339,0.015307,0.511155,4.83782,8.415219,42.695129,-0.029818,0.9666,0.020368,0.253732,-7.029128,1.798437,-15.787496,0.00476,0.859339,0.015307,0.511155,17.769405,2.378726,35.502968
2,0.016667,-0.009003,0.942841,0.027723,0.331967,0.692879,85.297333,15.256333,-0.015977,0.942098,0.103378,0.318605,0.409243,93.299736,15.627464,-0.007096,0.948233,0.013753,0.317198,-1.696334,114.757988,19.67738,0.142692,0.941884,-0.163691,0.256317,-2.217949,138.262146,20.184868,0.099852,0.959507,-0.204734,0.165712,3.97912,151.239456,15.027491,-0.049145,0.887239,0.107996,0.445791,-5.665818,132.824051,18.252485,0.423704,-0.561073,0.111995,-0.702232,-15.596387,132.97493,4.933434,0.266043,0.183076,-0.470902,-0.820948,-6.7921,116.841743,-12.738501,0.399537,0.227382,-0.588988,-0.66465,5.235638,138.23468,-11.509073,-0.092641,0.964471,0.056589,0.240854,0.574874,132.861023,22.954481,0.323563,0.908014,0.043967,-0.262459,14.976414,135.37709,30.847586,-0.02529,0.300147,0.401004,-0.86514,31.621939,120.983574,17.969486,-0.113296,0.066141,0.735016,-0.665237,19.626669,138.054626,5.95396,-0.003277,0.894509,0.248557,0.371568,-6.926583,85.311302,9.132064,0.143257,0.966751,-0.076283,0.197614,0.125986,52.877827,-7.233728,-0.029715,0.966605,0.020105,0.253747,-14.635162,7.349309,-2.86625,-0.122454,0.881828,0.056164,0.451917,8.312341,85.283371,21.380604,0.005352,0.821955,-0.267383,0.502859,18.18317,49.619804,21.810778,0.004886,0.859213,0.014659,0.511385,4.836291,8.434084,42.67725,-0.029715,0.966605,0.020105,0.253747,-7.029724,1.802563,-15.780708,0.004886,0.859213,0.014659,0.511385,17.766224,2.379049,35.497711
3,0.025,-0.008784,0.943188,0.027268,0.331022,0.680741,85.412422,15.233353,-0.016104,0.942486,0.103582,0.317382,0.403205,93.415291,15.59906,-0.007207,0.94867,0.013641,0.315891,-1.70669,114.886597,19.661098,0.142611,0.942038,-0.16357,0.255874,-2.230899,138.390808,20.162649,0.099849,0.959096,-0.206704,0.165644,3.960022,151.370697,15.004375,-0.04965,0.887702,0.108423,0.444706,-5.683151,132.951523,18.24147,0.422956,-0.561926,0.111855,-0.702023,-15.644148,133.089157,4.945014,0.265051,0.182284,-0.471064,-0.821352,-6.887088,116.965187,-12.758748,0.399207,0.226655,-0.588859,-0.665211,5.150253,138.359863,-11.536535,-0.092595,0.964755,0.057053,0.239622,0.570456,132.991028,22.926262,0.323147,0.908088,0.043505,-0.262792,14.991953,135.505127,30.783484,-0.02486,0.299301,0.400668,-0.865602,31.642269,121.124199,17.897539,-0.11201,0.0653,0.734826,-0.665748,19.609993,138.182327,5.902305,-0.003007,0.894967,0.246757,0.371666,-6.951051,85.426918,9.124454,0.142461,0.966833,-0.075205,0.1982,0.036035,52.927338,-7.137963,-0.02956,0.966585,0.019767,0.253867,-14.636021,7.361266,-2.862946,-0.121553,0.882465,0.054529,0.451117,8.312533,85.397934,21.342253,0.004617,0.822638,-0.266379,0.502283,18.072355,49.7047,21.839239,0.005168,0.859379,0.013726,0.511129,4.846546,8.466792,42.67971,-0.02956,0.966585,0.019767,0.253867,-7.029931,1.803571,-15.772316,0.005168,0.859379,0.013726,0.511129,17.763287,2.383825,35.500034
4,0.033333,-0.008586,0.943539,0.026825,0.330061,0.661151,85.511246,15.209275,-0.016058,0.942904,0.103283,0.316238,0.389325,93.514549,15.569617,-0.007368,0.949069,0.014116,0.314664,-1.708456,114.97686,19.620419,0.142367,0.942235,-0.163783,0.255148,-2.246228,138.480347,20.141453,0.099999,0.958846,-0.208055,0.165309,3.934189,151.459961,14.96993,-0.049258,0.888213,0.109065,0.443571,-5.699987,133.040359,18.224997,0.422539,-0.563011,0.111334,-0.701487,-15.695768,133.194077,4.954851,0.264121,0.181487,-0.471092,-0.821812,-6.995049,117.080353,-12.785989,0.398207,0.226364,-0.589112,-0.665686,5.053286,138.464661,-11.570895,-0.093698,0.964908,0.057591,0.238446,0.565665,133.080215,22.893658,0.322397,0.908284,0.04301,-0.263116,14.999002,135.628113,30.718172,-0.024745,0.298617,0.400006,-0.866147,31.665295,121.272766,17.824358,-0.111361,0.064475,0.73481,-0.665955,19.590595,138.307327,5.84957,-0.003066,0.89545,0.245123,0.371584,-6.983121,85.525963,9.116003,0.141819,0.9669,-0.074208,0.19871,-0.038502,52.966915,-7.045348,-0.02967,0.966553,0.01953,0.253995,-14.636451,7.368988,-2.857232,-0.120766,0.883101,0.052901,0.450278,8.305423,85.496536,21.302547,0.003946,0.823232,-0.265329,0.501871,17.961878,49.776249,21.869574,0.005074,0.859449,0.013139,0.511028,4.850066,8.484131,42.674702,-0.02967,0.966553,0.01953,0.253995,-7.026213,1.805472,-15.761646,0.005074,0.859449,0.013139,0.511028,17.762373,2.387613,35.498558
5,0.041667,-0.008391,0.943852,0.026555,0.329192,0.641639,85.600105,15.183173,-0.015618,0.943327,0.103061,0.31507,0.374524,93.603691,15.540721,-0.00795,0.949469,0.014402,0.313429,-1.695728,115.05587,19.588751,0.141755,0.942483,-0.163873,0.254511,-2.263031,138.558548,20.114685,0.10039,0.95853,-0.209419,0.165184,3.896748,151.543015,14.930719,-0.048681,0.888749,0.109585,0.442433,-5.714583,133.114319,18.206348,0.422255,-0.56436,0.110294,-0.700738,-15.745768,133.287735,4.963186,0.263352,0.180911,-0.470812,-0.822346,-7.110841,117.194519,-12.82835,0.397426,0.225908,-0.589418,-0.666037,4.958894,138.562256,-11.610514,-0.094221,0.965122,0.057911,0.237293,0.563059,133.161728,22.858807,0.321729,0.908422,0.042699,-0.263508,15.011372,135.726746,30.650026,-0.025079,0.2978,0.399624,-0.866595,31.689119,121.396759,17.7428,-0.110612,0.063823,0.734502,-0.666483,19.5755,138.428894,5.800881,-0.003105,0.895809,0.243573,0.371739,-7.013903,85.61618,9.104069,0.141286,0.966957,-0.07327,0.19916,-0.10642,53.00111,-6.959938,-0.02964,0.966499,0.01937,0.254218,-14.640906,7.375383,-2.854618,-0.119876,0.883646,0.051411,0.449618,8.29718,85.58403,21.262278,0.003276,0.823664,-0.2643,0.501709,17.848158,49.836384,21.889158,0.004875,0.859287,0.012773,0.511311,4.843006,8.491373,42.656155,-0.02964,0.966499,0.01937,0.254218,-7.025435,1.807173,-15.753922,0.004875,0.859287,0.012773,0.511311,17.75976,2.388376,35.49353
6,0.05,-0.008068,0.944185,0.026153,0.328276,0.614908,85.676292,15.15726,-0.015475,0.943738,0.102971,0.313871,0.355143,93.680313,15.510683,-0.008096,0.949895,0.014549,0.312127,-1.702588,115.130928,19.559126,0.140616,0.942775,-0.164028,0.253962,-2.277855,138.633301,20.09024,0.100735,0.958078,-0.210999,0.165586,3.848014,151.626648,14.888382,-0.048574,0.889286,0.109546,0.441373,-5.732437,133.187958,18.190517,0.421375,-0.565345,0.110218,-0.700486,-15.795091,133.359238,4.971227,0.261961,0.179763,-0.471299,-0.822763,-7.216039,117.274368,-12.854833,0.396678,0.225211,-0.589724,-0.666447,4.854792,138.650208,-11.653503,-0.094468,0.965366,0.058277,0.236112,0.557893,133.237183,22.825783,0.320834,0.908355,0.042186,-0.264908,15.02322,135.810287,30.582678,-0.025883,0.296751,0.399368,-0.867049,31.692526,121.518982,17.621801,-0.110152,0.062743,0.734525,-0.666636,19.555611,138.536118,5.748562,-0.003232,0.895949,0.242335,0.372207,-7.052516,85.695221,9.093161,0.14076,0.966927,-0.072547,0.199938,-0.162258,53.035671,-6.887649,-0.029269,0.966503,0.019253,0.254254,-14.639035,7.385549,-2.850109,-0.119136,0.884443,0.050036,0.448402,8.282332,85.657372,21.221359,0.002452,0.824173,-0.263605,0.501244,17.741648,49.886303,21.899828,0.005084,0.859484,0.012563,0.510983,4.846892,8.505591,42.664562,-0.029269,0.966503,0.019253,0.254254,-7.027145,1.810938,-15.748755,0.005084,0.859484,0.012563,0.510983,17.75466,2.394229,35.492878
7,0.058333,-0.007769,0.944485,0.025897,0.327441,0.586818,85.73378,15.134007,-0.015426,0.944075,0.102997,0.312853,0.333231,93.738083,15.48535,-0.008117,0.950254,0.014417,0.311037,-1.7206,115.210983,19.542013,0.140126,0.942897,-0.164181,0.253682,-2.294234,138.713531,20.067593,0.100833,0.957592,-0.212877,0.165936,3.81727,151.709534,14.855469,-0.048904,0.889773,0.109542,0.440355,-5.753259,133.2677,18.17738,0.420743,-0.566689,0.109671,-0.699865,-15.844673,133.424652,4.979845,0.260866,0.178745,-0.471318,-0.823322,-7.337099,117.352165,-12.891595,0.395828,0.22457,-0.590345,-0.666619,4.749535,138.716705,-11.701493,-0.094087,0.965686,0.05876,0.234833,0.547684,133.318146,22.798201,0.320334,0.908414,0.042118,-0.265322,15.035428,135.878738,30.517323,-0.026165,0.296025,0.399219,-0.867358,31.709919,121.609604,17.538687,-0.109585,0.061907,0.734339,-0.667012,19.546614,138.629501,5.696572,-0.003116,0.895859,0.241362,0.373056,-7.091403,85.756096,9.083591,0.140227,0.966868,-0.072055,0.200774,-0.220488,53.061687,-6.834136,-0.02953,0.966465,0.019065,0.254382,-14.643194,7.390311,-2.843796,-0.118444,0.885089,0.04886,0.447439,8.265039,85.711456,21.184423,0.001808,0.824654,-0.262932,0.500809,17.642277,49.919636,21.906122,0.004702,0.859527,0.012358,0.51092,4.841889,8.5046,42.660801,-0.02953,0.966465,0.019065,0.254382,-7.025323,1.812501,-15.737534,0.004702,0.859527,0.012358,0.51092,17.751371,2.393712,35.491787
8,0.066667,-0.007641,0.944756,0.025635,0.326682,0.558437,85.774109,15.114715,-0.015244,0.944445,0.102745,0.311824,0.308442,93.778656,15.462976,-0.00829,0.95062,0.01444,0.309912,-1.730155,115.255653,19.514339,0.139494,0.943067,-0.16439,0.253264,-2.311273,138.758026,20.039076,0.101116,0.957169,-0.214424,0.166208,3.781328,151.757278,14.812922,-0.048571,0.890301,0.109796,0.439261,-5.772728,133.310745,18.157543,0.421196,-0.568172,0.108357,-0.698594,-15.897197,133.47644,4.985457,0.260461,0.17803,-0.471277,-0.823628,-7.460818,117.41291,-12.927747,0.395198,0.223824,-0.590792,-0.666848,4.639625,138.769135,-11.75407,-0.094451,0.965965,0.059253,0.233411,0.539086,133.363968,22.763474,0.319679,0.908541,0.041838,-0.265723,15.04668,135.93605,30.441385,-0.026237,0.294838,0.39889,-0.867911,31.731684,121.692261,17.448418,-0.108769,0.060622,0.734953,-0.666587,19.522242,138.708359,5.649068,-0.003204,0.895749,0.240735,0.373725,-7.129529,85.7967,9.076688,0.139852,0.966928,-0.071636,0.2009,-0.258176,53.079952,-6.794894,-0.029677,0.96647,0.01892,0.254356,-14.639614,7.392698,-2.837487,-0.117748,0.88574,0.047983,0.446428,8.246404,85.751511,21.15274,0.001128,0.825018,-0.262464,0.500457,17.551067,49.941227,21.897766,0.00456,0.859536,0.01243,0.510904,4.835925,8.502349,42.657257,-0.029677,0.96647,0.01892,0.254356,-7.021072,1.811928,-15.729547,0.00456,0.859536,0.01243,0.510904,17.747101,2.395414,35.48793
9,0.075,-0.007473,0.945061,0.025402,0.325821,0.524589,85.798302,15.099105,-0.01502,0.944826,0.102394,0.310794,0.278676,93.803085,15.444943,-0.008296,0.950982,0.014396,0.3088,-1.740788,115.276787,19.485968,0.139085,0.943208,-0.16464,0.252799,-2.320888,138.779205,20.009367,0.101163,0.956793,-0.21604,0.166254,3.75877,151.779053,14.769668,-0.048347,0.890828,0.110239,0.438105,-5.786683,133.33168,18.136557,0.421413,-0.569315,0.107672,-0.697638,-15.945575,133.505386,4.991108,0.259597,0.176764,-0.471949,-0.823789,-7.567949,117.440674,-12.948577,0.394452,0.222712,-0.59127,-0.667238,4.523685,138.804504,-11.813266,-0.094641,0.966174,0.059402,0.232428,0.535879,133.385498,22.727711,0.319443,0.908704,0.041275,-0.265536,15.057474,135.965118,30.376553,-0.026568,0.294499,0.398735,-0.868087,31.755247,121.721581,17.399742,-0.10842,0.060058,0.734845,-0.666814,19.510244,138.766754,5.598919,-0.003375,0.895517,0.240492,0.374435,-7.174404,85.822044,9.075155,0.139639,0.96696,-0.07135,0.200994,-0.285883,53.09671,-6.771261,-0.029622,0.966429,0.018738,0.254533,-14.643097,7.399809,-2.837381,-0.117087,0.886305,0.047223,0.44556,8.223583,85.774567,21.123055,0.000477,0.825432,-0.262064,0.499984,17.461637,49.947433,21.886564,0.004327,0.859568,0.012736,0.510845,4.829264,8.48833,42.656197,-0.029622,0.966429,0.018738,0.254533,-7.020892,1.813447,-15.724848,0.004327,0.859568,0.012736,0.510845,17.743917,2.392699,35.483521
