Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.005323,0.892698,-0.014932,0.450376,-3.463176,89.203171,16.102106,-0.026974,0.902423,0.10125,0.417917,-3.279177,97.215164,15.926836,-0.009271,0.911443,-0.008361,0.411236,-6.212311,118.733955,19.451445,0.182586,0.931283,-0.155561,0.27418,-6.448031,142.242035,18.913748,0.112297,0.975874,-0.161528,0.094698,0.88482,154.888412,14.474031,-0.076114,0.85366,0.062217,0.511468,-9.524636,136.754578,16.543705,0.471494,-0.529088,0.166066,-0.685698,-17.253849,135.652939,1.878046,0.32794,0.115651,-0.465955,-0.813613,-7.438146,117.125229,-12.629453,0.431468,0.130949,-0.548516,-0.704143,5.754267,137.538818,-15.503293,-0.109449,0.943154,0.036314,0.311709,-4.355001,136.940369,22.400045,0.346353,0.910022,0.044594,-0.223409,8.632706,139.994354,32.300987,-0.022438,0.354151,0.409597,-0.840419,25.467205,124.429726,21.145973,-0.137382,0.137458,0.739986,-0.643935,15.522556,141.364807,7.275699,0.052712,0.860614,0.085869,0.499191,-9.272511,89.164597,8.239969,0.098708,0.930095,0.01653,0.353422,-9.457555,52.909122,0.822792,-0.05816,0.933567,0.056419,0.349124,-17.720655,5.811423,-4.008261,-0.060419,0.846402,-0.07555,0.523685,2.346158,89.241753,23.964241,-0.043832,0.863826,-0.109627,0.489761,3.202809,52.927525,31.0389,-0.011702,0.848142,0.078307,0.523818,1.681464,6.206882,42.204853,-0.05816,0.933567,0.056419,0.349124,-7.318014,1.680859,-15.415091,-0.011702,0.848142,0.078307,0.523818,15.331131,2.059908,35.00198
1,0.008333,0.005133,0.892903,-0.014474,0.449987,-3.461304,89.195168,16.11569,-0.027411,0.90249,0.101867,0.417593,-3.283404,97.207413,15.945521,-0.009528,0.911554,-0.00772,0.410998,-6.244798,118.726646,19.48842,0.18273,0.931378,-0.155341,0.273888,-6.504037,142.234985,18.973288,0.112189,0.97596,-0.161302,0.094325,0.829328,154.882629,14.538015,-0.076474,0.853565,0.063057,0.51147,-9.576502,136.74675,16.599672,0.471533,-0.529045,0.165287,-0.685892,-17.303823,135.649429,1.932688,0.327649,0.115895,-0.466078,-0.813625,-7.47265,117.147293,-12.596968,0.430894,0.131437,-0.548834,-0.704156,5.709933,137.56604,-15.455994,-0.109283,0.943284,0.036584,0.311343,-4.403883,136.932068,22.453394,0.345859,0.910105,0.044408,-0.223871,8.592602,139.978943,32.345009,-0.023162,0.353782,0.409427,-0.840638,25.433975,124.434677,21.172016,-0.137682,0.136735,0.740017,-0.643989,15.467668,141.383118,7.323734,0.052571,0.860866,0.08615,0.498723,-9.277527,89.157433,8.258642,0.098675,0.930189,0.016551,0.353183,-9.447104,52.904438,0.828976,-0.058187,0.933703,0.056534,0.348736,-17.707834,5.806184,-4.000755,-0.0607,0.846639,-0.075416,0.523288,2.354918,89.232903,23.97274,-0.043577,0.863363,-0.109748,0.490572,3.237651,52.919697,31.049452,-0.011841,0.848256,0.078457,0.52361,1.678919,6.199458,42.211967,-0.058187,0.933703,0.056534,0.348736,-7.314024,1.678797,-15.416783,-0.011841,0.848256,0.078457,0.52361,15.327074,2.058892,35.002529
2,0.016667,0.004976,0.893083,-0.014447,0.449633,-3.46418,89.182053,16.137785,-0.027835,0.902641,0.102219,0.417151,-3.288793,97.194328,15.966807,-0.009329,0.911772,-0.007074,0.41053,-6.27006,118.697441,19.515163,0.182131,0.931754,-0.154608,0.27342,-6.533532,142.206406,19.0317,0.111929,0.976054,-0.161083,0.094039,0.776295,154.870987,14.605909,-0.076369,0.853715,0.063946,0.511126,-9.607604,136.720856,16.653957,0.471309,-0.529147,0.164586,-0.686136,-17.347178,135.640488,1.992171,0.327069,0.115981,-0.466199,-0.813777,-7.509708,117.164421,-12.56636,0.430181,0.131789,-0.548886,-0.704486,5.664886,137.587296,-15.409451,-0.109957,0.943212,0.03713,0.31126,-4.428921,136.89917,22.502533,0.345429,0.910123,0.044639,-0.224415,8.564373,139.96138,32.393604,-0.023665,0.353258,0.409254,-0.840928,25.408468,124.440636,21.192047,-0.137979,0.135881,0.739619,-0.644563,15.41664,141.397415,7.368422,0.052459,0.861146,0.086669,0.498161,-9.286657,89.141937,8.285381,0.0988,0.930182,0.016505,0.353169,-9.434649,52.894722,0.82716,-0.058311,0.933681,0.056629,0.34876,-17.708096,5.798692,-4.00251,-0.060976,0.847255,-0.075036,0.522312,2.358297,89.222168,23.990189,-0.043267,0.863267,-0.110021,0.490708,3.281268,52.907223,31.052824,-0.011782,0.848392,0.078793,0.52334,1.682035,6.190175,42.222954,-0.058311,0.933681,0.056629,0.34876,-7.312313,1.675501,-15.41826,-0.011782,0.848392,0.078793,0.52334,15.326932,2.057925,35.002594
3,0.025,0.004793,0.893252,-0.014062,0.44931,-3.4662,89.170898,16.151964,-0.027553,0.902773,0.103056,0.416679,-3.296272,97.18338,15.985116,-0.010137,0.911945,-0.006998,0.410128,-6.28069,118.686554,19.574169,0.182095,0.931902,-0.153776,0.273411,-6.580475,142.194824,19.078516,0.111588,0.976125,-0.160924,0.093973,0.722974,154.87056,14.674157,-0.076361,0.853875,0.064478,0.510793,-9.64828,136.703354,16.706404,0.470623,-0.528995,0.16435,-0.686781,-17.399178,135.631119,2.050002,0.326251,0.115909,-0.466419,-0.813989,-7.549529,117.180061,-12.532001,0.429676,0.131924,-0.548822,-0.704818,5.616078,137.611099,-15.361634,-0.109805,0.943148,0.037906,0.311412,-4.464684,136.89267,22.55028,0.344817,0.910214,0.045111,-0.22489,8.526572,139.94165,32.448112,-0.024094,0.352798,0.409025,-0.84122,25.381327,124.454185,21.216553,-0.138182,0.135051,0.739206,-0.645168,15.36662,141.411209,7.417222,0.052353,0.861356,0.087059,0.497741,-9.294388,89.131073,8.303796,0.098863,0.930192,0.016445,0.353128,-9.424799,52.888046,0.824919,-0.058196,0.933686,0.056734,0.348748,-17.706074,5.793023,-4.001126,-0.061484,0.847987,-0.074591,0.521128,2.361988,89.210716,24.000134,-0.042655,0.863739,-0.110463,0.489829,3.34387,52.895439,31.053114,-0.01179,0.848481,0.07895,0.523172,1.684292,6.182697,42.232449,-0.058196,0.933686,0.056734,0.348748,-7.31146,1.671502,-15.418546,-0.01179,0.848481,0.07895,0.523172,15.327274,2.054938,35.005898
4,0.033333,0.004488,0.893417,-0.013482,0.449004,-3.46404,89.159737,16.163019,-0.028186,0.902795,0.103385,0.416507,-3.302707,97.172516,16.002226,-0.009631,0.912025,-0.006064,0.409977,-6.316124,118.660904,19.591352,0.181035,0.932306,-0.153503,0.272888,-6.612311,142.170212,19.145563,0.111653,0.976209,-0.160471,0.093799,0.658091,154.862396,14.733937,-0.076468,0.853975,0.065212,0.510516,-9.681836,136.68425,16.762918,0.46995,-0.529104,0.16394,-0.687255,-17.441595,135.620605,2.110579,0.325286,0.115993,-0.466679,-0.814215,-7.590963,117.195465,-12.503496,0.429011,0.132205,-0.549033,-0.705007,5.563834,137.640945,-15.311052,-0.110631,0.94317,0.038431,0.31099,-4.496146,136.860367,22.60535,0.344236,0.910319,0.04533,-0.225314,8.497808,139.93045,32.493126,-0.02457,0.352195,0.408714,-0.84161,25.363287,124.471649,21.238209,-0.138313,0.134291,0.738866,-0.645687,15.316236,141.430618,7.466091,0.052276,0.861531,0.087424,0.497382,-9.297667,89.119781,8.318891,0.098997,0.930027,0.016266,0.353532,-9.412729,52.880871,0.819834,-0.058487,0.933634,0.056831,0.348823,-17.709835,5.787831,-3.998324,-0.061973,0.848556,-0.074078,0.520216,2.369586,89.199684,24.007147,-0.042091,0.864224,-0.110913,0.488921,3.409553,52.883236,31.045746,-0.011741,0.848552,0.079027,0.523046,1.693695,6.175479,42.237373,-0.058487,0.933634,0.056831,0.348823,-7.310458,1.672576,-15.413669,-0.011741,0.848552,0.079027,0.523046,15.3346,2.049153,35.006081
5,0.041667,0.00416,0.893568,-0.012917,0.448724,-3.463458,89.150391,16.17399,-0.02833,0.902864,0.104034,0.416187,-3.310937,97.16346,16.018866,-0.009803,0.912152,-0.005511,0.409699,-6.340529,118.645271,19.631771,0.180509,0.932548,-0.153017,0.272685,-6.654888,142.154739,19.20645,0.111392,0.976281,-0.16022,0.093788,0.59716,154.859558,14.800956,-0.07661,0.853999,0.066193,0.510328,-9.72172,136.668488,16.820986,0.469399,-0.529219,0.163581,-0.687628,-17.487141,135.616974,2.170774,0.324478,0.116049,-0.466934,-0.814383,-7.636758,117.213402,-12.470622,0.428477,0.132456,-0.549306,-0.705071,5.505871,137.669418,-15.260571,-0.110988,0.943244,0.03944,0.310511,-4.532525,136.843521,22.660334,0.34374,0.910361,0.045524,-0.22586,8.468667,139.915253,32.538067,-0.025111,0.351543,0.40858,-0.841932,25.338957,124.482216,21.255047,-0.138354,0.133574,0.738786,-0.645919,15.263441,141.452286,7.512866,0.052314,0.861671,0.087736,0.49708,-9.302049,89.109741,8.333564,0.099008,0.92993,0.016127,0.353791,-9.410513,52.875172,0.813467,-0.058724,0.933629,0.057004,0.348767,-17.711983,5.78191,-3.994968,-0.062407,0.848833,-0.073456,0.519799,2.375133,89.19104,24.014416,-0.041755,0.863811,-0.111208,0.489612,3.46987,52.871807,31.030285,-0.011987,0.848466,0.078987,0.523186,1.703097,6.167647,42.229023,-0.058724,0.933629,0.057004,0.348767,-7.311343,1.674291,-15.411904,-0.011987,0.848466,0.078987,0.523186,15.348117,2.043938,35.004013
6,0.05,0.003828,0.893725,-0.01233,0.44843,-3.46135,89.142235,16.182587,-0.028111,0.902991,0.104848,0.415722,-3.317854,97.155586,16.033447,-0.01058,0.912325,-0.005261,0.409296,-6.353609,118.64431,19.686256,0.180618,0.93263,-0.15244,0.272656,-6.706301,142.153152,19.256853,0.110952,0.976369,-0.16002,0.093741,0.544694,154.86409,14.867294,-0.07692,0.854048,0.066908,0.510107,-9.766394,136.661514,16.875137,0.469429,-0.529308,0.162806,-0.687724,-17.537733,135.612701,2.227867,0.324052,0.116337,-0.467173,-0.814374,-7.679249,117.232597,-12.437531,0.42801,0.132709,-0.549599,-0.70508,5.447406,137.697311,-15.209717,-0.110692,0.94336,0.040373,0.310145,-4.572292,136.846024,22.709835,0.343439,0.910322,0.046047,-0.226371,8.438634,139.89978,32.580326,-0.025533,0.350798,0.40861,-0.842216,25.307688,124.488625,21.265575,-0.138514,0.132693,0.738672,-0.646197,15.209413,141.469559,7.558794,0.052273,0.861849,0.088014,0.496726,-9.305156,89.101028,8.346046,0.09914,0.929796,0.016016,0.35411,-9.403793,52.869751,0.809943,-0.058756,0.93355,0.05715,0.348951,-17.719082,5.778652,-3.995947,-0.062785,0.849062,-0.07284,0.519467,2.382456,89.183441,24.019127,-0.040987,0.865224,-0.111807,0.487039,3.527498,52.861031,31.010527,-0.012176,0.848507,0.07885,0.523135,1.702039,6.163582,42.22784,-0.058756,0.93355,0.05715,0.348951,-7.313426,1.675826,-15.410045,-0.012176,0.848507,0.07885,0.523135,15.347134,2.039224,35.00333
7,0.058333,0.00352,0.893889,-0.011835,0.448118,-3.466837,89.137329,16.189718,-0.028402,0.903109,0.105459,0.415291,-3.331363,97.150902,16.045397,-0.010416,0.91253,-0.004726,0.40885,-6.388688,118.637779,19.719017,0.180084,0.932923,-0.151903,0.272303,-6.744855,142.147034,19.315907,0.110715,0.976427,-0.159877,0.093661,0.48634,154.871323,14.93243,-0.076973,0.854339,0.067279,0.509562,-9.806597,136.657639,16.93117,0.46933,-0.529395,0.162173,-0.687873,-17.596119,135.611664,2.293357,0.323652,0.116428,-0.467367,-0.814409,-7.731843,117.25309,-12.395098,0.427698,0.132781,-0.549899,-0.705021,5.384663,137.725174,-15.157361,-0.110722,0.943431,0.040848,0.309855,-4.606733,136.83638,22.760908,0.343133,0.910262,0.045942,-0.227096,8.409948,139.886826,32.624828,-0.02589,0.350208,0.408701,-0.842406,25.272963,124.491417,21.279684,-0.138499,0.131423,0.738875,-0.646228,15.157294,141.486847,7.599293,0.052219,0.861975,0.088347,0.496455,-9.31614,89.095154,8.357286,0.099169,0.929665,0.015885,0.354452,-9.401326,52.867802,0.802166,-0.058765,0.933521,0.057223,0.349015,-17.721895,5.776846,-3.995994,-0.063184,0.849525,-0.07214,0.51876,2.382466,89.179504,24.02215,-0.040636,0.86488,-0.112206,0.487587,3.585376,52.853298,30.984041,-0.012225,0.848409,0.078703,0.523315,1.704754,6.161714,42.216621,-0.058765,0.933521,0.057223,0.349015,-7.314466,1.676298,-15.40929,-0.012225,0.848409,0.078703,0.523315,15.352462,2.033997,34.998978
8,0.066667,0.003302,0.894077,-0.011432,0.447755,-3.472952,89.134888,16.196247,-0.028622,0.90326,0.10608,0.414789,-3.343557,97.148636,16.056087,-0.010479,0.91276,-0.00415,0.408342,-6.418631,118.62793,19.75148,0.179983,0.933122,-0.151317,0.272018,-6.788774,142.13736,19.372101,0.110327,0.97651,-0.159701,0.09355,0.434127,154.870483,15.000593,-0.076835,0.854493,0.067976,0.509232,-9.850046,136.648575,16.985373,0.469742,-0.52957,0.161534,-0.687608,-17.651445,135.617172,2.352858,0.323593,0.116609,-0.467622,-0.81426,-7.786067,117.267921,-12.346498,0.427211,0.133413,-0.550225,-0.704943,5.313878,137.744934,-15.10449,-0.110947,0.943522,0.041427,0.309419,-4.643713,136.824524,22.809418,0.342952,0.910195,0.045748,-0.227674,8.380274,139.877014,32.663052,-0.026341,0.34976,0.408699,-0.842579,25.236183,124.49025,21.295649,-0.138364,0.131,0.73853,-0.646737,15.105457,141.495987,7.63939,0.052213,0.862036,0.088618,0.496301,-9.328649,89.092537,8.368599,0.099112,0.929633,0.01584,0.354555,-9.404759,52.868675,0.796641,-0.058796,0.933545,0.057121,0.348962,-17.72135,5.77651,-3.996513,-0.063295,0.849524,-0.071504,0.518834,2.382745,89.177246,24.023897,-0.040213,0.866015,-0.11277,0.485472,3.616707,52.845322,30.950424,-0.012491,0.848456,0.078278,0.523296,1.701798,6.162622,42.214119,-0.058796,0.933545,0.057121,0.348962,-7.315094,1.673321,-15.409928,-0.012491,0.848456,0.078278,0.523296,15.349325,2.027762,35.000233
9,0.075,0.003173,0.894321,-0.011069,0.447279,-3.483423,89.134567,16.200859,-0.028945,0.903399,0.106583,0.414335,-3.358554,97.148468,16.064903,-0.010154,0.912971,-0.003342,0.407884,-6.453058,118.617905,19.774887,0.179482,0.933391,-0.15076,0.271733,-6.824942,142.127945,19.436626,0.109843,0.976569,-0.159613,0.093651,0.379311,154.874237,15.072716,-0.076799,0.854637,0.068548,0.508919,-9.888337,136.643097,17.043522,0.469627,-0.529818,0.161197,-0.687575,-17.700514,135.621323,2.416088,0.323042,0.11657,-0.46788,-0.814337,-7.842964,117.281303,-12.30003,0.426638,0.133528,-0.550357,-0.705165,5.246563,137.768036,-15.050763,-0.111193,0.943598,0.041953,0.309029,-4.676061,136.80928,22.862535,0.34275,0.910094,0.045948,-0.228341,8.354138,139.864868,32.706989,-0.026714,0.34926,0.408777,-0.842736,25.201597,124.493134,21.306778,-0.138464,0.130474,0.73856,-0.646787,15.05653,141.511749,7.674746,0.052089,0.862189,0.088904,0.495998,-9.347466,89.093246,8.379457,0.099069,0.92959,0.015818,0.35468,-9.407771,52.872204,0.793952,-0.058454,0.93354,0.057126,0.349031,-17.720625,5.779159,-3.996929,-0.063327,0.849462,-0.071088,0.518989,2.38062,89.175888,24.022261,-0.040164,0.866085,-0.113056,0.485286,3.631432,52.83987,30.924248,-0.012558,0.848442,0.078106,0.523344,1.70135,6.163019,42.209549,-0.058454,0.93354,0.057126,0.349031,-7.315967,1.672202,-15.410439,-0.012558,0.848442,0.078106,0.523344,15.34938,2.024562,34.99868
