Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.002977,0.922257,0.021166,0.385986,-2.906233,85.100327,17.226473,-0.005928,0.927408,0.078291,0.365719,-2.99319,93.109024,17.55785,0.022264,0.93317,-0.004848,0.358713,-4.478123,114.594719,20.62253,0.15056,0.93025,-0.189867,0.275532,-3.41921,138.085709,20.785385,0.094004,0.958331,-0.209823,0.169528,3.301005,150.605682,15.172742,-0.039083,0.873411,0.082338,0.478378,-7.052646,132.858139,18.625418,0.414422,-0.530841,0.144967,-0.724877,-16.011982,133.032715,4.634857,0.26724,0.235993,-0.474386,-0.80489,-5.956365,116.455887,-11.923671,0.401763,0.290582,-0.561514,-0.662458,4.859394,138.401352,-8.807494,-0.055963,0.961234,0.051068,0.265123,-1.25743,132.560638,23.858324,0.400491,0.876616,0.100216,-0.2472,12.91719,133.898239,32.421444,0.024116,0.279635,0.475516,-0.833731,27.118927,117.258774,19.324459,-0.09336,0.051709,0.797158,-0.594264,17.739719,135.937241,7.60057,-0.001306,0.875332,0.249202,0.414355,-9.768842,85.313744,10.267873,0.152639,0.956902,-0.063175,0.238849,-2.041729,52.903378,-5.837039,-0.024233,0.947073,0.016749,0.319665,-17.531622,7.465988,-3.530661,-0.131864,0.846486,0.084222,0.5089,3.956375,84.886917,24.185072,0.029876,0.794994,-0.24858,0.55254,15.390163,49.69202,23.875172,-0.015002,0.818205,0.027168,0.574089,-0.095062,7.656813,41.283844,-0.024233,0.947073,0.016749,0.319665,-8.305207,1.81523,-15.292229,-0.015002,0.818205,0.027168,0.574089,14.022684,2.21938,36.134483
1,0.008333,0.003149,0.922105,0.021561,0.386325,-2.935299,85.068306,17.181595,-0.005649,0.927306,0.078555,0.365925,-3.022281,93.076714,17.519836,0.022592,0.93311,-0.004737,0.358848,-4.500846,114.561096,20.599287,0.15157,0.929917,-0.190481,0.275679,-3.429451,138.051437,20.772684,0.093802,0.95838,-0.209612,0.16962,3.322743,150.55191,15.154979,-0.038643,0.873478,0.082521,0.478261,-7.06502,132.826752,18.609341,0.414539,-0.530522,0.145452,-0.724947,-16.029236,133.016586,4.622102,0.267886,0.236437,-0.47391,-0.804825,-5.963568,116.424896,-11.915423,0.402312,0.290568,-0.561527,-0.66212,4.864158,138.363449,-8.791155,-0.055603,0.961141,0.051187,0.26551,-1.271551,132.523865,23.843876,0.400796,0.876288,0.10021,-0.247872,12.897569,133.848068,32.418171,0.023994,0.279169,0.47591,-0.833666,27.06986,117.205063,19.29385,-0.093482,0.05107,0.797435,-0.593927,17.695177,135.901886,7.590557,-0.001452,0.874808,0.249462,0.415304,-9.792773,85.287926,10.218129,0.152669,0.956671,-0.06384,0.239578,-2.030767,52.887188,-5.889363,-0.024317,0.946995,0.016954,0.319878,-17.539764,7.458803,-3.534642,-0.132575,0.846203,0.084576,0.509129,3.922176,84.848679,24.145061,0.02977,0.794668,-0.248999,0.552826,15.412485,49.672123,23.843782,-0.015041,0.818172,0.027165,0.574135,-0.092849,7.65636,41.281437,-0.024317,0.946995,0.016954,0.319878,-8.306506,1.814776,-15.294072,-0.015041,0.818172,0.027165,0.574135,14.02582,2.219523,36.133984
2,0.016667,0.003384,0.921951,0.021875,0.386672,-2.963669,85.054993,17.135534,-0.00536,0.927227,0.078998,0.366035,-3.049263,93.063156,17.479837,0.02275,0.9331,-0.00469,0.358866,-4.524365,114.555695,20.583025,0.152016,0.92974,-0.190953,0.275703,-3.446851,138.045731,20.761181,0.094358,0.958237,-0.209896,0.169772,3.320468,150.534576,15.135789,-0.03846,0.873447,0.08269,0.478302,-7.083688,132.822418,18.596628,0.414421,-0.530296,0.145801,-0.72511,-16.047043,133.02037,4.60895,0.268444,0.236992,-0.473622,-0.804646,-5.974329,116.422546,-11.918124,0.403502,0.290742,-0.560719,-0.662004,4.854374,138.360245,-8.783054,-0.055118,0.961092,0.051652,0.265698,-1.290529,132.516983,23.831358,0.401263,0.87589,0.100492,-0.248406,12.877062,133.821182,32.411251,0.024019,0.27858,0.476353,-0.833609,27.016756,117.171715,19.259953,-0.093668,0.050616,0.797857,-0.59337,17.645308,135.887665,7.578367,-0.001512,0.874343,0.249399,0.41632,-9.815863,85.281357,10.167086,0.152574,0.956531,-0.064269,0.240083,-2.03317,52.878307,-5.925786,-0.024465,0.946964,0.01711,0.319949,-17.544331,7.452404,-3.537709,-0.133093,0.845897,0.084651,0.509489,3.888525,84.828636,24.103981,0.029663,0.794611,-0.249175,0.552833,15.413347,49.6632,23.823006,-0.01507,0.81813,0.027186,0.574193,-0.093138,7.655251,41.278465,-0.024465,0.946964,0.01711,0.319949,-8.307144,1.814279,-15.296885,-0.01507,0.81813,0.027186,0.574193,14.026637,2.21941,36.132996
3,0.025,0.003533,0.921812,0.02211,0.386989,-2.985698,85.063156,17.088978,-0.005594,0.927125,0.07922,0.36624,-3.070655,93.071136,17.437651,0.023366,0.933043,-0.004178,0.35898,-4.559184,114.559052,20.545265,0.151681,0.929712,-0.191582,0.275543,-3.4633,138.047974,20.756405,0.095384,0.958,-0.210206,0.170153,3.298059,150.530792,15.110519,-0.03814,0.873393,0.082918,0.478388,-7.103618,132.830536,18.583561,0.414185,-0.530063,0.146132,-0.725348,-16.065063,133.041733,4.594851,0.268688,0.237493,-0.473178,-0.804678,-5.98467,116.441177,-11.924808,0.403785,0.290982,-0.560271,-0.662105,4.852404,138.370224,-8.769491,-0.055079,0.961058,0.051907,0.26578,-1.312183,132.51326,23.819498,0.40167,0.875509,0.100622,-0.249037,12.854099,133.813782,32.402111,0.024133,0.277866,0.476845,-0.833563,26.961088,117.158829,19.222698,-0.093391,0.049824,0.798117,-0.593131,17.593401,135.892029,7.567511,-0.001324,0.873853,0.248972,0.417603,-9.83308,85.294121,10.11595,0.152388,0.95647,-0.064465,0.240389,-2.052128,52.875282,-5.94592,-0.024701,0.946915,0.017257,0.320068,-17.55175,7.446361,-3.540376,-0.133372,0.845753,0.084368,0.509701,3.861684,84.832184,24.062006,0.029367,0.794488,-0.249128,0.553047,15.393194,49.668713,23.812277,-0.015046,0.818097,0.027181,0.57424,-0.092946,7.656818,41.276295,-0.024701,0.946915,0.017257,0.320068,-8.308487,1.814834,-15.297943,-0.015046,0.818097,0.027181,0.57424,14.027164,2.220436,36.132309
4,0.033333,0.003705,0.921671,0.022245,0.387317,-3.007766,85.091476,17.043444,-0.005399,0.927045,0.079513,0.366382,-3.091143,93.099342,17.395145,0.023488,0.933015,-0.003875,0.359049,-4.576987,114.585754,20.517464,0.152043,0.929576,-0.191881,0.275595,-3.480885,138.074524,20.744041,0.096051,0.957769,-0.210866,0.170262,3.292447,150.549118,15.094349,-0.037812,0.873424,0.083257,0.478299,-7.120903,132.858536,18.567213,0.413705,-0.53003,0.146382,-0.725595,-16.086016,133.084351,4.581082,0.268796,0.238067,-0.472518,-0.80486,-6.007595,116.486374,-11.942357,0.403973,0.291392,-0.559764,-0.66224,4.847083,138.403015,-8.755774,-0.054719,0.960984,0.052079,0.26609,-1.330329,132.537811,23.80389,0.401707,0.87528,0.100684,-0.249759,12.831791,133.824646,32.395424,0.02431,0.277159,0.477001,-0.833704,26.91893,117.177261,19.185244,-0.093016,0.049122,0.798467,-0.592779,17.541695,135.914154,7.554827,-0.001089,0.873491,0.248351,0.418729,-9.850157,85.326698,10.065661,0.152069,0.956351,-0.064575,0.241034,-2.082973,52.884941,-5.95656,-0.02476,0.946858,0.017214,0.320236,-17.558104,7.448062,-3.543722,-0.133424,0.845681,0.083878,0.509888,3.834624,84.856262,24.021227,0.028953,0.794538,-0.248889,0.553105,15.351345,49.68771,23.806351,-0.015365,0.818111,0.026874,0.574226,-0.092015,7.662091,41.275234,-0.02476,0.946858,0.017214,0.320236,-8.31017,1.815995,-15.297355,-0.015365,0.818111,0.026874,0.574226,14.028953,2.223623,36.135803
5,0.041667,0.003837,0.921577,0.022548,0.387521,-3.023057,85.138626,16.987103,-0.005169,0.926983,0.079638,0.366514,-3.106448,93.146255,17.344082,0.023616,0.932979,-0.003114,0.359143,-4.585785,114.636574,20.475546,0.153077,0.929402,-0.191912,0.275589,-3.496959,138.125305,20.73781,0.096383,0.957584,-0.211962,0.169752,3.303915,150.588898,15.096911,-0.037847,0.87341,0.08361,0.478259,-7.134856,132.911499,18.552252,0.413278,-0.529961,0.146436,-0.725878,-16.101139,133.141785,4.566942,0.268632,0.238567,-0.472232,-0.804935,-6.019753,116.552696,-11.963628,0.404088,0.291659,-0.558723,-0.662931,4.837179,138.465744,-8.748517,-0.054384,0.960946,0.052279,0.266256,-1.345429,132.584641,23.789818,0.402025,0.875009,0.100846,-0.250131,12.814967,133.858658,32.386105,0.024641,0.276544,0.47715,-0.833813,26.879585,117.206589,19.157835,-0.092909,0.048634,0.798594,-0.592663,17.491619,135.950653,7.541295,-0.000907,0.873452,0.247336,0.419411,-9.862343,85.378601,10.006437,0.151625,0.956334,-0.064522,0.241396,-2.125857,52.899593,-5.955049,-0.024736,0.946855,0.017256,0.320244,-17.560963,7.449102,-3.542111,-0.133351,0.845894,0.082869,0.509719,3.816229,84.898651,23.967766,0.028537,0.794788,-0.248454,0.552964,15.291393,49.716209,23.810368,-0.015207,0.818071,0.026899,0.574286,-0.094424,7.667467,41.274384,-0.024736,0.946855,0.017256,0.320244,-8.312963,1.817973,-15.296144,-0.015207,0.818071,0.026899,0.574286,14.025979,2.226894,36.135632
6,0.05,0.003982,0.921473,0.022749,0.387756,-3.037026,85.199638,16.938791,-0.005027,0.926887,0.079878,0.366709,-3.119611,93.207108,17.299618,0.023725,0.932912,-0.002671,0.359313,-4.597468,114.69265,20.442177,0.153078,0.929346,-0.192138,0.275619,-3.5114,138.181259,20.725903,0.097167,0.957306,-0.212791,0.169832,3.291214,150.641418,15.079516,-0.037473,0.87342,0.084182,0.47817,-7.147858,132.968994,18.534262,0.412379,-0.529932,0.146871,-0.726322,-16.117916,133.218979,4.551718,0.268402,0.23919,-0.471666,-0.805158,-6.041485,116.635368,-11.987354,0.404239,0.292213,-0.558555,-0.662736,4.828956,138.540482,-8.731459,-0.05442,0.960861,0.052502,0.266511,-1.360428,132.638107,23.773779,0.40265,0.874472,0.104216,-0.249621,12.795335,133.910675,32.377903,0.026316,0.274815,0.477439,-0.834168,26.847319,117.282043,19.106802,-0.092698,0.04803,0.798949,-0.592267,17.435953,136.007721,7.527173,-0.000386,0.873352,0.246168,0.420305,-9.872725,85.443848,9.954762,0.151007,0.956273,-0.06435,0.24207,-2.189904,52.922142,-5.945578,-0.025187,0.946812,0.01712,0.320342,-17.567423,7.451516,-3.544332,-0.132987,0.84616,0.081782,0.509548,3.798671,84.955421,23.922819,0.027776,0.79472,-0.247845,0.553373,15.211591,49.752556,23.81642,-0.015211,0.818046,0.026816,0.574326,-0.093232,7.670659,41.271736,-0.025187,0.946812,0.01712,0.320342,-8.31235,1.821144,-15.293154,-0.015211,0.818046,0.026816,0.574326,14.02718,2.228102,36.135117
7,0.058333,0.004232,0.921435,0.02237,0.387864,-3.060948,85.275818,16.893372,-0.004701,0.926835,0.080366,0.366736,-3.137539,93.283531,17.250147,0.023494,0.932908,-0.002537,0.359339,-4.608344,114.740013,20.413588,0.152479,0.929455,-0.192046,0.275649,-3.534661,138.229172,20.699308,0.098352,0.956985,-0.213391,0.170207,3.251719,150.696823,15.049948,-0.036401,0.873376,0.084806,0.478223,-7.168251,133.015167,18.507034,0.411974,-0.530011,0.146628,-0.726544,-16.139244,133.306396,4.525884,0.268375,0.240201,-0.471002,-0.805255,-6.063469,116.739403,-12.030252,0.404167,0.293352,-0.558045,-0.662706,4.81285,138.63118,-8.723954,-0.05481,0.960825,0.052452,0.266571,-1.380942,132.686905,23.746851,0.402424,0.874506,0.103675,-0.250094,12.772338,133.972198,32.353172,0.026099,0.274378,0.477303,-0.834397,26.821556,117.348564,19.072876,-0.092309,0.047363,0.798701,-0.592717,17.392754,136.076935,7.513197,-3.3e-05,0.873423,0.244863,0.42092,-9.894971,85.521683,9.907761,0.15032,0.956354,-0.063927,0.24229,-2.264438,52.95253,-5.920469,-0.024861,0.946796,0.017059,0.320419,-17.571522,7.4568,-3.544759,-0.132454,0.8464,0.080509,0.509491,3.773075,85.029945,23.878983,0.026757,0.794441,-0.246997,0.554202,15.106627,49.801319,23.830246,-0.015211,0.817991,0.02679,0.574406,-0.094217,7.67374,41.266224,-0.024861,0.946796,0.017059,0.320419,-8.31841,1.821469,-15.292751,-0.015211,0.817991,0.02679,0.574406,14.027015,2.230544,36.132534
8,0.066667,0.004478,0.921368,0.022375,0.388022,-3.075106,85.366119,16.83798,-0.004583,0.926749,0.080662,0.36689,-3.148154,93.373795,17.196352,0.023494,0.932851,-0.002105,0.35949,-4.619271,114.825348,20.372864,0.15275,0.929383,-0.191894,0.275847,-3.55292,138.314575,20.67775,0.098842,0.956685,-0.214469,0.170255,3.241163,150.781708,15.036455,-0.036049,0.873424,0.085138,0.478103,-7.184153,133.101227,18.480059,0.411137,-0.530059,0.146603,-0.726988,-16.159809,133.407532,4.502222,0.267811,0.240944,-0.470486,-0.805522,-6.086239,116.859756,-12.07446,0.403757,0.294004,-0.55749,-0.663134,4.796886,138.741333,-8.71541,-0.054785,0.960755,0.053097,0.266702,-1.398538,132.770538,23.721594,0.40232,0.87447,0.10347,-0.25047,12.752514,134.048981,32.332603,0.026216,0.273773,0.477162,-0.834672,26.796383,117.430054,19.040752,-0.092094,0.046633,0.798877,-0.59257,17.345125,136.158646,7.498912,0.000414,0.873629,0.243158,0.421482,-9.906699,85.616531,9.850152,0.149618,0.956479,-0.063336,0.242387,-2.348051,52.985809,-5.885518,-0.025255,0.946749,0.016755,0.320543,-17.57926,7.462624,-3.548462,-0.131805,0.846575,0.078983,0.509608,3.756486,85.115707,23.825808,0.025815,0.794524,-0.246073,0.554539,14.994243,49.856373,23.84828,-0.015111,0.818016,0.026572,0.574383,-0.09363,7.680246,41.265022,-0.025255,0.946749,0.016755,0.320543,-8.319607,1.822754,-15.289121,-0.015111,0.818016,0.026572,0.574383,14.025029,2.229969,36.13176
9,0.075,0.004592,0.921335,0.022305,0.388103,-3.091006,85.465858,16.793776,-0.004273,0.926719,0.080927,0.366913,-3.161963,93.473564,17.151817,0.023247,0.932848,-0.001761,0.359516,-4.625124,114.926636,20.344296,0.153075,0.929358,-0.191584,0.275968,-3.575416,138.416473,20.660099,0.099495,0.956337,-0.215868,0.170063,3.226161,150.884918,15.030749,-0.03578,0.873327,0.085789,0.478184,-7.202815,133.201569,18.459759,0.410467,-0.530153,0.146378,-0.727343,-16.176537,133.526398,4.481101,0.267393,0.241669,-0.470068,-0.805688,-6.104673,117.000488,-12.118409,0.403364,0.29515,-0.556833,-0.663416,4.779389,138.871475,-8.713737,-0.054328,0.960724,0.05355,0.266813,-1.417311,132.872559,23.701525,0.401806,0.87467,0.101482,-0.251407,12.733418,134.132141,32.315838,0.025527,0.273759,0.476705,-0.834959,26.774389,117.51152,19.023043,-0.092075,0.045971,0.798967,-0.592504,17.294418,136.252106,7.485259,0.001024,0.873846,0.241414,0.422033,-9.921342,85.717827,9.804775,0.148753,0.956595,-0.062668,0.242634,-2.446696,53.024601,-5.84102,-0.025325,0.946722,0.016647,0.320624,-17.58592,7.468504,-3.548036,-0.131009,0.847064,0.07731,0.509257,3.73933,85.21389,23.782776,0.024765,0.794507,-0.244975,0.555097,14.866848,49.919731,23.873854,-0.014918,0.817966,0.026578,0.574459,-0.095406,7.686666,41.260952,-0.025325,0.946722,0.016647,0.320624,-8.323832,1.826324,-15.285665,-0.014918,0.817966,0.026578,0.574459,14.022427,2.233209,36.128796
